movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age
Wild Target,2010,Jonathan Lynn,34,1,Bill Nighy,Emily Blunt,man,woman,1949-12-12,1983-02-23,61,27
"Fort Apache, The Bronx",1981,Daniel Petrie,33,1,Paul Newman,Rachel Ticotin,man,woman,1925-01-26,1958-11-01,56,23
Hollywood Ending,2002,Woody Allen,33,1,Woody Allen,Debra Messing,man,woman,1935-12-01,1968-08-15,67,34
The Mother,2003,Roger Michell,33,1,Anne Reid,Daniel Craig,woman,man,1935-05-28,1968-03-02,68,35
Daddy Long Legs,1955,Jean Negulesco,32,1,Fred Astaire,Leslie Caron,man,woman,1899-05-10,1931-07-01,56,24
Lolita,1997,Adrian Lyne,32,1,Jeremy Irons,Dominique Swain,man,woman,1948-09-19,1980-08-12,49,17
Mighty Aphrodite,1995,Woody Allen,32,1,Woody Allen,Mira Sorvino,man,woman,1935-12-01,1967-09-28,60,28
Stone,2010,John Curran,32,1,Robert De Niro,Milla Jovovich,man,woman,1943-08-18,1975-12-17,67,35
The Private Lives of Pippa Lee,2009,Rebecca Miller,32,1,Alan Arkin,Robin Wright,man,woman,1934-03-26,1966-04-08,75,43
Third Person,2013,Paul Haggis,32,1,Liam Neeson,Olivia Wilde,man,woman,1952-06-07,1984-03-10,61,29
Elegy,2008,Isabel Coixet,31,1,Ben Kingsley,Penelope Cruz,man,woman,1943-12-31,1974-04-28,65,34
Mighty Aphrodite,1995,Woody Allen,31,2,Woody Allen,Helena Bonham Carter,man,woman,1935-12-01,1966-05-26,60,29
A View to a Kill,1985,John Glen,30,1,Roger Moore,Mary Stavin,man,woman,1927-10-14,1957-08-20,58,28
Enemy of the State,1998,Tony Scott,30,1,Jon Voight,Anna Gunn,man,woman,1938-12-29,1968-08-11,60,30
For Your Eyes Only,1981,John Glen,30,1,Roger Moore,Carole Bouquet,man,woman,1927-10-14,1957-08-18,54,24
Funny Face,1957,Stanley Donen,30,1,Fred Astaire,Audrey Hepburn,man,woman,1899-05-10,1929-05-04,58,28
Houseboat,1958,Melville Shavelson,30,1,Cary Grant,Sophia Loren,man,woman,1904-01-18,1934-09-20,54,24
Kindergarten Cop 2,2016,Don Michael Paul,30,1,Dolph Lundgren,Darla Taylor,man,woman,1957-11-03,1987-01-31,59,29
Sabrina,1954,Billy Wilder,30,1,Humphrey Bogart,Audrey Hepburn,man,woman,1899-12-25,1929-05-04,55,25
The Quiet American,1958,Joseph L. Mankiewicz,30,2,Michael Redgrave,Giorgia Moll,man,woman,1908-03-20,1938-01-14,50,20
A Single Man,2009,Tom Ford,29,1,Colin Firth,Nicholas Hoult,man,man,1960-09-10,1989-12-07,49,20
A View to a Kill,1985,John Glen,29,2,Roger Moore,Fiona Fullerton,man,woman,1927-10-14,1956-10-10,58,29
Arbitrage,2012,Nicholas Jarecki,29,1,Richard Gere,Laetitia Casta,man,woman,1949-08-31,1978-05-11,63,34
Bulworth,1998,Warren Beatty,29,1,Warren Beatty,Halle Berry,man,woman,1937-03-30,1966-08-14,61,32
Mank,2020,David Fincher,29,1,Gary Oldman,Tuppence Middleton,man,woman,1958-03-21,1987-02-21,62,33
Sense and Sensibility,1995,Ang Lee,29,1,Alan Rickman,Kate Winslet,man,woman,1946-02-21,1975-10-05,49,20
The Departed,2006,Martin Scorsese,29,1,Jack Nicholson,Kristen Dalton,man,woman,1937-04-22,1966-02-14,69,40
The Man Who Wasn't There,2001,Joel Coen,29,1,Billy Bob Thornton,Scarlett Johansson,man,woman,1955-08-04,1984-11-22,46,17
A Perfect Murder,1998,Andrew Davis,28,1,Michael Douglas,Gwyneth Paltrow,man,woman,1944-09-25,1972-09-27,54,26
A View to a Kill,1985,John Glen,28,3,Roger Moore,Tanya Roberts,man,woman,1927-10-14,1955-10-15,58,30
Beat the Devil,1953,John Huston,28,1,Humphrey Bogart,Gina Lollobrigida,man,woman,1899-12-25,1927-07-04,54,26
Café Society,2016,Woody Allen,28,1,Steve Carell,Kristen Stewart,man,woman,1962-08-16,1990-04-09,54,26
Crazy Heart,2009,Scott Cooper,28,1,Jeff Bridges,Maggie Gyllenhaal,man,woman,1949-12-04,1977-11-16,60,32
Gangster Squad,2013,Ruben Fleischer,28,1,Sean Penn,Emma Stone,man,woman,1960-08-17,1988-11-06,53,25
High Noon,1952,Fred Zinnemann,28,1,Gary Cooper,Grace Kelly,man,woman,1901-05-07,1929-11-12,51,23
Last Tango in Paris,1972,Bernardo Bertolucci,28,1,Marlon Brando,Maria Schneider,man,woman,1924-04-03,1952-03-27,48,20
Love in the Afternoon,1957,undefined,28,1,Gary Cooper,Audrey Hepburn,man,woman,1901-05-07,1929-05-04,56,28
Magic in the Moonlight,2014,Woody Allen,28,1,Colin Firth,Emma Stone,man,woman,1960-09-10,1988-11-06,54,26
Freeheld,2015,Peter Sollett,27,1,Julianne Moore,Elliot Page,woman,woman,1960-12-03,1987-02-21,55,28
"Six Days, Seven Nights",1998,Ivan Reitman,27,1,Harrison Ford,Anne Heche,man,woman,1942-07-13,1969-05-25,56,29
Tadpole,2002,Gary Winick,27,1,Sigourney Weaver,Aaron Stanford,woman,man,1949-10-08,1976-12-27,53,26
The Oranges,2012,Julian Farino,27,1,Hugh Laurie,Leighton Meester,man,woman,1959-06-11,1986-04-09,53,26
The Squid and the Whale,2005,Noah Baumbach,27,1,Jeff Daniels,Anna Paquin,man,woman,1955-01-19,1982-07-24,50,23
You Should Have Left,2020,David Koepp,27,1,Kevin Bacon,Amanda Seyfried,man,woman,1958-07-08,1985-12-03,62,35
As Good as It Gets,1997,James L. Brooks,26,1,Jack Nicholson,Helen Hunt,man,woman,1937-04-22,1963-06-15,60,34
Behind the Candelabra,2013,Steven Soderbergh,26,1,Michael Douglas,Matt Damon,man,man,1944-09-25,1970-10-08,69,43
Black Mass,2015,Scott Cooper,26,1,Johnny Depp,Dakota Johnson,man,woman,1963-06-09,1989-10-04,52,26
Die Another Day,2002,Lee Tamahori,26,1,Pierce Brosnan,Rosamund Pike,man,woman,1953-05-16,1979-01-27,49,23
High Society,1956,Charles Walters,26,1,Bing Crosby,Grace Kelly,man,woman,1903-05-03,1929-11-12,53,27
I Love Trouble,1994,Charles Shyer,26,1,Nick Nolte,Julia Roberts,man,woman,1941-02-08,1967-10-28,53,27
Indecent Proposal,1993,Adrian Lyne,26,1,Robert Redford,Demi Moore,man,woman,1936-08-18,1962-11-11,57,31
Manhattan,1979,Woody Allen,26,1,Woody Allen,Mariel Hemingway,man,woman,1935-12-01,1961-11-22,44,18
Phantom Thread,2017,Paul Thomas Anderson,26,1,Daniel Day-Lewis,Vicky Krieps,man,woman,1957-04-29,1983-10-04,60,34
The Color of Money,1986,Martin Scorsese,26,1,Paul Newman,Helen Shaver,man,woman,1925-01-26,1951-02-24,61,35
Amelia,2009,Mira Nair,25,1,Richard Gere,Hilary Swank,man,woman,1949-08-31,1974-07-30,60,35
Charade,1963,Stanley Donen,25,1,Cary Grant,Audrey Hepburn,man,woman,1904-01-18,1929-05-04,59,34
Chloe,2009,Atom Egoyan,25,1,Julianne Moore,Amanda Seyfried,woman,woman,1960-12-03,1985-12-03,49,24
Dark Passage,1947,Delmer Daves,25,1,Humphrey Bogart,Lauren Bacall,man,woman,1899-12-25,1924-09-16,48,23
I Married a Witch,1942,René Clair,25,1,Fredric March,Veronica Lake,man,woman,1897-08-31,1922-11-14,45,20
Key Largo,1948,John Huston,25,1,Humphrey Bogart,Lauren Bacall,man,woman,1899-12-25,1924-09-16,49,24
Knock Knock,2015,Eli Roth,25,1,Keanu Reeves,Lorenza Izzo,man,woman,1964-09-02,1989-09-19,51,26
Love Actually,2003,Richard Curtis,25,1,Alan Rickman,Heike Makatsch,man,woman,1946-02-21,1971-08-13,57,32
Rumor Has It...,2005,Rob Reiner,25,1,Richard Jenkins,Jennifer Taylor,man,woman,1947-05-03,1972-04-19,58,33
Seabiscuit,2003,Gary Ross,25,1,Jeff Bridges,Elizabeth Banks,man,woman,1949-12-04,1974-02-10,54,29
Spun,2002,Jonas Åkerlund,25,1,Mickey Rourke,Brittany Murphy,man,woman,1952-09-16,1977-11-10,50,25
State of the Union,1948,Frank Capra,25,1,Spencer Tracy,Angela Lansbury,man,woman,1900-04-05,1925-10-16,48,23
The Big Sleep,1946,Howard Hawks,25,1,Humphrey Bogart,Lauren Bacall,man,woman,1899-12-25,1924-09-16,47,22
The Misfits,1961,John Huston,25,1,Clark Gable,Marilyn Monroe,man,woman,1901-02-01,1926-06-01,60,35
To Catch a Thief,1955,Alfred Hitchcock,25,1,Cary Grant,Grace Kelly,man,woman,1904-01-18,1929-11-12,51,26
To Have and Have Not,1944,Howard Hawks,25,1,Humphrey Bogart,Lauren Bacall,man,woman,1899-12-25,1924-09-16,45,20
Vertigo,1958,Alfred Hitchcock,25,1,James Stewart,Kim Novak,man,woman,1908-05-20,1933-02-13,50,25
World's Greatest Dad,2009,Bobcat Goldthwait,25,1,Robin Williams,Alexie Gilmore,man,woman,1951-07-21,1976-01-01,58,33
15 Minutes,2001,John Herzfeld,24,1,Robert De Niro,Melina Kanakaredes,man,woman,1943-08-18,1967-04-23,58,34
American Gangster,2007,Ridley Scott,24,1,Denzel Washington,Lymari Nadal,man,woman,1954-12-28,1978-02-11,53,29
Beyond the Sea,2004,Kevin Spacey,24,1,Kevin Spacey,Kate Bosworth,man,woman,1959-07-26,1983-01-02,45,21
Cleaner,2007,Renny Harlin,24,1,Ed Harris,Eva Mendes,man,woman,1950-11-28,1974-03-05,57,33
Dark Shadows,2012,Tim Burton,24,1,Johnny Depp,Bella Heathcote,man,woman,1963-06-09,1987-05-27,49,25
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,24,1,Tom Atkins,Stacey Nelkin,man,woman,1935-11-13,1959-09-10,47,23
In a Lonely Place,1950,Nicholas Ray,24,1,Humphrey Bogart,Gloria Grahame,man,woman,1899-12-25,1923-11-28,51,27
Indiana Jones and the Last Crusade,1989,Steven Spielberg,24,2,Harrison Ford,Alison Doody,man,woman,1942-07-13,1966-03-09,47,23
Knock Knock,2015,Eli Roth,24,2,Keanu Reeves,Ana de Armas,man,woman,1964-09-02,1988-04-30,51,27
Live and Let Die,1973,Guy Hamilton,24,1,Roger Moore,Jane Seymour,man,woman,1927-10-14,1951-02-15,46,22
Moonraker,1979,Lewis Gilbert,24,1,Roger Moore,Emily Bolton,man,woman,1927-10-14,1951-06-15,52,28
Rio Bravo,1959,Howard Hawks,24,1,John Wayne,Angie Dickinson,man,woman,1907-05-26,1931-09-30,52,28
Surrogates,2009,Jonathan Mostow,24,1,Bruce Willis,Rosamund Pike,man,woman,1955-03-19,1979-01-27,54,30
The Horse Whisperer,1998,Robert Redford,24,1,Robert Redford,Kristin Scott Thomas,man,woman,1936-08-18,1960-05-24,62,38
The Wrong Man,1956,Alfred Hitchcock,24,1,Henry Fonda,Vera Miles,man,woman,1905-05-16,1929-08-23,51,27
A Walk in the Woods,2015,Ken Kwapis,23,1,Robert Redford,Emma Thompson,man,woman,1936-08-18,1959-04-15,79,56
En kongelig affaere,2012,Nikolaj Arcel,23,1,Mads Mikkelsen,Alicia Vikander,man,woman,1965-11-22,1988-10-03,47,24
Flight,2012,Robert Zemeckis,23,1,Denzel Washington,Kelly Reilly,man,woman,1954-12-28,1977-07-18,58,35
Hobbs & Shaw,2019,David Leitch,23,1,Jason Statham,Eiza Gonzalez,man,woman,1967-07-26,1990-01-30,52,29
Moonraker,1979,Lewis Gilbert,23,2,Roger Moore,Corinne Clery,man,woman,1927-10-14,1950-03-23,52,29
Octopussy,1983,John Glen,23,1,Roger Moore,Kristina Wayborn,man,woman,1927-10-14,1950-09-24,56,33
Sabrina,1995,Sydney Pollack,23,2,Harrison Ford,Julia Ormond,man,woman,1942-07-13,1965-01-04,53,30
Seeking a Friend for the End of the World,2012,Lorene Scafaria,23,1,Steve Carell,Keira Knightley,man,woman,1962-08-16,1985-03-26,50,27
The Details,2011,Jacob Aaron Estes,23,1,Ray Liotta,Kerry Washington,man,woman,1954-12-18,1977-01-31,57,34
The Duchess,2008,Saul Dibb,23,1,Ralph Fiennes,Keira Knightley,man,woman,1962-12-22,1985-03-26,46,23
The First Wives Club,1996,Hugh Wilson,23,1,Victor Garber,Elizabeth Berkley,man,woman,1949-03-16,1972-07-28,47,24
The Man with the Golden Gun,1974,Guy Hamilton,23,1,Christopher Lee,Maud Adams,man,woman,1922-06-27,1945-02-12,52,29
The Rum Diary,2011,Bruce Robinson,23,1,Johnny Depp,Amber Heard,man,woman,1963-06-09,1986-04-22,48,25
Autumn in New York,2000,Joan Chen,22,1,Richard Gere,Winona Ryder,man,woman,1949-08-31,1971-10-29,51,29
Dial M for Murder,1954,Alfred Hitchcock,22,1,Ray Milland,Grace Kelly,man,woman,1907-03-01,1929-11-12,47,25
Focus,2015,"Glenn Ficarra, John Requa",22,1,Will Smith,Margot Robbie,man,woman,1968-09-25,1990-07-02,47,25
Live and Let Die,1973,Guy Hamilton,22,2,Roger Moore,Gloria Hendry,man,woman,1927-10-14,1949-03-03,46,24
Live and Let Die,1973,Guy Hamilton,22,3,Roger Moore,Madeline Smith,man,woman,1927-10-14,1949-08-02,46,24
Luci del varietà,1951,Federico Fellini,22,1,Peppino De Filippo,Carla Del Poggio,man,woman,1903-08-24,1925-12-02,48,26
The Mummy,2017,Alex Kurtzman,22,1,Tom Cruise,Annabelle Wallis,man,woman,1962-07-03,1984-09-25,55,33
The Other Woman,2014,Nick Cassavetes,22,1,Nikolaj Coster-Waldau,Kate Upton,man,woman,1970-07-27,1992-06-10,44,22
The Prom,2020,Ryan Murphy,22,1,Meryl Streep,Keegan-Michael Key,woman,man,1949-06-22,1971-03-22,71,49
The Royal Tenenbaums,2001,Wes Anderson,22,1,Bill Murray,Gwyneth Paltrow,man,woman,1950-09-21,1972-09-27,51,29
Up Close & Personal,1996,Jon Avnet,22,1,Robert Redford,Michelle Pfeiffer,man,woman,1936-08-18,1958-04-29,60,38
A View to a Kill,1985,John Glen,21,4,Roger Moore,Grace Jones,man,woman,1927-10-14,1948-05-19,58,37
Blame,2017,Quinn Shephard,21,1,Chris Messina,Quinn Shephard,man,woman,1974-08-11,1995-02-28,43,22
Bugsy,1991,Barry Levinson,21,1,Warren Beatty,Annette Bening,man,woman,1937-03-30,1958-05-29,54,33
Deja Vu,2006,Tony Scott,21,1,Denzel Washington,Paula Patton,man,woman,1954-12-28,1975-12-05,52,31
Don Jon,2013,Joseph Gordon-Levitt,21,1,Julianne Moore,Joseph Gordon-Levitt,woman,man,1960-12-03,1981-02-17,53,32
Edge of Tomorrow,2014,Doug Liman,21,1,Tom Cruise,Emily Blunt,man,woman,1962-07-03,1983-02-23,52,31
For Your Eyes Only,1981,John Glen,21,2,Roger Moore,Cassandra Harris,man,woman,1927-10-14,1948-12-15,54,33
Heat,1995,Michael Mann,21,1,Robert De Niro,Amy Brenneman,man,woman,1943-08-18,1964-06-22,52,31
Husbands and Wives,1992,Woody Allen,21,2,Sydney Pollack,Judy Davis,man,woman,1934-07-01,1955-04-23,58,37
It's Complicated,2009,Nancy Meyers,21,1,Alec Baldwin,Lake Bell,man,woman,1958-04-03,1979-03-24,51,30
Just Go with It,2011,Dennis Dugan,21,1,Adam Sandler,Brooklyn Decker,man,woman,1966-09-09,1987-04-12,45,24
King Arthur,2004,Antoine Fuqua,21,1,Clive Owen,Keira Knightley,man,woman,1964-10-03,1985-03-26,40,19
Licence to Kill,1989,John Glen,21,1,Timothy Dalton,Talisa Soto,man,woman,1946-03-21,1967-03-27,43,22
Modern Times,1936,Charlie Chaplin,21,1,Charlie Chaplin,Paulette Goddard,man,woman,1889-04-16,1910-06-03,47,26
My Cousin Vinny,1992,Jonathan Lynn,21,1,Joe Pesci,Marisa Tomei,man,woman,1943-02-09,1964-12-04,49,28
My Fair Lady,1964,George Cukor,21,1,Rex Harrison,Audrey Hepburn,man,woman,1908-03-05,1929-05-04,56,35
Rear Window,1954,Alfred Hitchcock,21,1,James Stewart,Grace Kelly,man,woman,1908-05-20,1929-11-12,46,25
Richard III,1995,Richard Loncraine,21,1,Ian McKellen,Kristin Scott Thomas,man,woman,1939-05-25,1960-05-24,56,35
Teacher's Pet,1958,George Seaton,21,1,Clark Gable,Doris Day,man,woman,1901-02-01,1922-04-03,57,36
The Bubble,2022,Judd Apatow,21,1,Pedro Pascal,Maria Bakalova,man,woman,1975-04-02,1996-06-04,47,26
The Great Dictator,1940,Charlie Chaplin,21,1,Charlie Chaplin,Paulette Goddard,man,woman,1889-04-16,1910-06-03,51,30
The Royal Tenenbaums,2001,Wes Anderson,21,2,Gene Hackman,Anjelica Huston,man,woman,1930-01-30,1951-07-08,71,50
The Verdict,1982,Sidney Lumet,21,1,Paul Newman,Charlotte Rampling,man,woman,1925-01-26,1946-02-05,57,36
Tomorrow Never Dies,1997,Roger Spottiswoode,21,1,Pierce Brosnan,Cecilie Thomsen,man,woman,1953-05-16,1974-10-29,44,23
V for Vendetta,2005,James McTeigue,21,1,Hugo Weaving,Natalie Portman,man,woman,1960-04-04,1981-06-09,45,24
American Beauty,1999,Sam Mendes,20,1,Kevin Spacey,Mena Suvari,man,woman,1959-07-26,1979-02-13,40,20
Get Smart,2008,Peter Segal,20,1,Steve Carell,Anne Hathaway,man,woman,1962-08-16,1982-11-12,46,26
Jurassic Park,1993,Steven Spielberg,20,1,Sam Neill,Laura Dern,man,woman,1947-09-14,1967-02-10,46,26
Killer Joe,2011,William Friedkin,20,1,Matthew McConaughey,Juno Temple,man,woman,1969-11-04,1989-07-20,42,22
L.A. Story,1991,Mick Jackson,20,1,Steve Martin,Sarah Jessica Parker,man,woman,1945-08-14,1965-03-25,46,26
Moonraker,1979,Lewis Gilbert,20,3,Roger Moore,Lois Chiles,man,woman,1927-10-14,1947-04-15,52,32
North by Northwest,1959,Alfred Hitchcock,20,1,Cary Grant,Eva Marie Saint,man,woman,1904-01-18,1924-07-04,55,35
Notes on a Scandal,2006,Richard Eyre,20,1,Cate Blanchett,Andrew Simpson,woman,man,1969-05-14,1989-01-01,37,17
Patch Adams,1998,Tom Shadyac,20,1,Robin Williams,Monica Potter,man,woman,1951-07-21,1971-06-30,47,27
Pushing Tin,1999,Mike Newell,20,1,Billy Bob Thornton,Angelina Jolie,man,woman,1955-08-04,1975-06-04,44,24
Regarding Henry,1991,Mike Nichols,20,1,Harrison Ford,Rebecca Miller,man,woman,1942-07-13,1962-09-15,49,29
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",20,1,Gene Kelly,Debbie Reynolds,man,woman,1912-08-23,1932-04-01,40,20
The Duchess,2008,Saul Dibb,20,2,Ralph Fiennes,Hayley Atwell,man,woman,1962-12-22,1982-04-05,46,26
The Fifth Element,1997,Luc Besson,20,1,Bruce Willis,Milla Jovovich,man,woman,1955-03-19,1975-12-17,42,22
The Northman,2022,Robert Eggers,20,1,Alexander Skarsgard,Anya Taylor-Joy,man,woman,1976-08-25,1996-04-16,46,26
The Only Living Boy in New York,2017,Marc Webb,20,1,Pierce Brosnan,Kate Beckinsale,man,woman,1953-05-16,1973-07-26,64,44
The Spy Who Loved Me,1977,Lewis Gilbert,20,1,Roger Moore,Barbara Bach,man,woman,1927-10-14,1947-08-27,50,30
Training Day,2001,Antoine Fuqua,20,1,Denzel Washington,Eva Mendes,man,woman,1954-12-28,1974-03-05,47,27
Virginia,2010,Dustin Lance Black,20,1,Ed Harris,Jennifer Connelly,man,woman,1950-11-28,1970-12-12,60,40
Water for Elephants,2011,Francis Lawrence,20,1,Christoph Waltz,Reese Witherspoon,man,woman,1956-10-04,1976-03-21,55,35
American Pie,1999,"Paul Weitz, Chris Weitz",19,1,Jennifer Coolidge,Eddie Kay Thomas,woman,man,1961-08-28,1980-10-31,38,19
An American in Paris,1951,Vincente Minnelli,19,1,Gene Kelly,Leslie Caron,man,woman,1912-08-23,1931-07-01,39,20
Baby Driver,2017,Edgar Wright,19,1,Jon Hamm,Eiza Gonzalez,man,woman,1971-03-10,1990-01-30,46,27
Birdman,2014,Alejandro González Iñárritu,19,1,Edward Norton,Emma Stone,man,woman,1969-08-18,1988-11-06,45,26
Buffalo '66,1998,Vincent Gallo,19,1,Vincent Gallo,Christina Ricci,man,woman,1961-04-11,1980-02-12,37,18
Firewall,2006,Richard Loncraine,19,1,Harrison Ford,Virginia Madsen,man,woman,1942-07-13,1961-09-11,64,45
Gone Girl,2014,David Fincher,19,1,Ben Affleck,Emily Ratajkowski,man,woman,1972-08-15,1991-06-07,42,23
Mighty Aphrodite,1995,Woody Allen,19,3,Peter Weller,Helena Bonham Carter,man,woman,1947-06-24,1966-05-26,48,29
Mother's Day,2016,Garry Marshall,19,1,Timothy Olyphant,Shay Mitchell,man,woman,1968-05-20,1987-04-10,48,29
Män som hatar kvinnor,2009,Niels Arden Oplev,19,1,Michael Nyqvist,Noomi Rapace,man,woman,1960-11-08,1979-12-28,49,30
Skyfall,2012,Sam Mendes,19,1,Daniel Craig,Tonia Sotiropoulou,man,woman,1968-03-02,1987-04-28,44,25
Star of Midnight,1935,Stephen Roberts,19,1,William Powell,Ginger Rogers,man,woman,1892-06-29,1911-07-16,43,24
Street Kings,2008,David Ayer,19,1,Keanu Reeves,Martha Higareda,man,woman,1964-09-02,1983-08-24,44,25
Suburban Girl,2007,Marc Klein,19,1,Alec Baldwin,Sarah Michelle Gellar,man,woman,1958-04-03,1977-04-14,49,30
Suicide Squad,2016,David Ayer,19,1,Jared Leto,Margot Robbie,man,woman,1971-12-26,1990-07-02,45,26
The Bridges of Madison County,1995,Clint Eastwood,19,1,Clint Eastwood,Meryl Streep,man,woman,1930-05-31,1949-06-22,65,46
The Lord of the Rings,2001,Peter Jackson,19,1,Viggo Mortensen,Liv Tyler,man,woman,1958-10-20,1977-07-01,43,24
The Mothman Prophecies,2002,Mark Pellington,19,1,Richard Gere,Debra Messing,man,woman,1949-08-31,1968-08-15,53,34
The Naked Gun,1988,David Zucker,19,1,Leslie Nielsen,Priscilla Presley,man,woman,1926-02-11,1945-04-24,62,43
Thunderball,1965,Terence Young,19,1,Adolfo Celi,Claudine Auger,man,woman,1922-07-27,1941-04-26,43,24
Transcendence,2014,Wally Pfister,19,1,Johnny Depp,Rebecca Hall,man,woman,1963-06-09,1982-05-03,51,32
A Single Man,2009,Tom Ford,18,2,Colin Firth,Matthew Goode,man,man,1960-09-10,1978-04-03,49,31
All I See Is You,2017,Marc Forster,18,1,Jason Clarke,Blake Lively,man,woman,1969-07-17,1987-08-25,48,30
Always Be My Maybe,2019,Nahnatchka Khan,18,1,Keanu Reeves,Ali Wong,man,woman,1964-09-02,1982-04-19,55,37
Austin Powers in Goldmember,2002,Jay Roach,18,1,Mike Myers,Beyonce Knowles,man,woman,1963-04-25,1981-09-04,39,21
Avengers: Infinity War,2018,Joe & Anthony Russo,18,1,Paul Bettany,Elizabeth Olsen,man,woman,1971-05-27,1989-02-16,47,29
Big Eyes,2014,Tim Burton,18,1,Christoph Waltz,Amy Adams,man,woman,1956-10-04,1974-08-20,58,40
Color of Night,1994,Richard Rush,18,1,Bruce Willis,Jane March,man,woman,1955-03-19,1973-03-20,39,21
Guess Who's Coming to Dinner,1967,John Huston,18,1,Sidney Poitier,Katharine Houghton,man,woman,1927-02-20,1945-03-10,40,22
Milk,2008,Gus Van Sant,18,1,Sean Penn,James Franco,man,man,1960-08-17,1978-04-19,48,30
Octopussy,1983,John Glen,18,2,Roger Moore,Maud Adams,man,woman,1927-10-14,1945-02-12,56,38
Once,2007,John Carney,18,1,Glen Hansard,Marketa Irglova,man,woman,1970-04-21,1988-02-28,37,19
Pretty Woman,1990,Garry Marshall,18,1,Richard Gere,Julia Roberts,man,woman,1949-08-31,1967-10-28,41,23
Quantum of Solace,2008,Marc Forster,18,1,Daniel Craig,Gemma Arterton,man,woman,1968-03-02,1986-02-02,40,22
Raising Helen,2004,Garry Marshall,18,1,John Corbett,Kate Hudson,man,woman,1961-05-09,1979-04-19,43,25
Random Hearts,1999,Sydney Pollack,18,1,Harrison Ford,Kristin Scott Thomas,man,woman,1942-07-13,1960-05-24,57,39
Replicas,2018,Jeffrey Nachmanoff,18,1,Keanu Reeves,Alice Eve,man,woman,1964-09-02,1982-02-06,54,36
Runaway Bride,1999,Garry Marshall,18,1,Richard Gere,Julia Roberts,man,woman,1949-08-31,1967-10-28,50,32
Rushmore,1998,Wes Anderson,18,1,Bill Murray,Olivia Williams,man,woman,1950-09-21,1968-07-26,48,30
Scarface,1983,Brian De Palma,18,1,Al Pacino,Michelle Pfeiffer,man,woman,1940-04-25,1958-04-29,43,25
Something's Gotta Give,2003,Nancy Meyers,18,2,Diane Keaton,Keanu Reeves,woman,man,1946-01-05,1964-09-02,57,39
St. Vincent,2014,Theodore Melfi,18,1,Bill Murray,Naomi Watts,man,woman,1950-09-21,1968-09-28,64,46
Tadpole,2002,Gary Winick,18,2,Bebe Neuwirth,Aaron Stanford,woman,man,1958-12-31,1976-12-27,44,26
The Killing of a Chinese Bookie,1976,John Cassavetes,18,1,Ben Gazzara,Azizi Johari,man,woman,1930-08-28,1948-08-24,46,28
The Man with the Golden Gun,1974,Guy Hamilton,18,2,Roger Moore,Maud Adams,man,woman,1927-10-14,1945-02-12,47,29
The Rum Diary,2011,Bruce Robinson,18,2,Aaron Eckhart,Amber Heard,man,woman,1968-03-12,1986-04-22,43,25
