country,account_type,year,value
Cyprus,current,2015,-260
Latvia,current,2015,-113
Lithuania,current,2015,-847.2
Luxembourg,current,2015,2641
Malta,current,2015,226.6
Netherlands,current,2015,43421
Austria,current,2015,5940
Portugal,current,2015,210
Slovenia,current,2015,1760.1
Slovakia,current,2015,-1391.1
Finland,current,2015,-1509
Belgium,budget,2009,-18775.1
Germany,budget,2009,-79590
Estonia,budget,2009,-308.9
Ireland,budget,2009,-23467
Greece,budget,2009,-35966
Spain,budget,2009,-118194
France,budget,2009,-138934
Italy,budget,2009,-82548
Cyprus,budget,2009,-1014.7
Latvia,budget,2009,-1711.2
Lithuania,budget,2009,-2452.6
Luxembourg,budget,2009,-249.5
Malta,budget,2009,-198.8
Netherlands,budget,2009,-31781
Austria,budget,2009,-15351.9
Portugal,budget,2009,-17203.6
Slovenia,budget,2009,-2112.3
Slovakia,budget,2009,-4996.5
Finland,budget,2009,-4577
Belgium,budget,2010,-14609.1
Germany,budget,2010,-108904
Estonia,budget,2010,27.6
Ireland,budget,2010,-53712.1
Greece,budget,2010,-25309
Spain,budget,2010,-101404
France,budget,2010,-137410
Italy,budget,2010,-67573.1
Cyprus,budget,2010,-911.6
Latvia,budget,2010,-1545.1
Lithuania,budget,2010,-1934.1
Luxembourg,budget,2010,-264.5
Malta,budget,2010,-158
Netherlands,budget,2010,-33533
Austria,budget,2010,-13141.6
Portugal,budget,2010,-20100.2
Slovenia,budget,2010,-2042.8
Slovakia,budget,2010,-5058.1
Finland,budget,2010,-4883
Belgium,budget,2011,-15898.7
Germany,budget,2011,-25863
Estonia,budget,2011,193.1
Ireland,budget,2011,-21876.6
Greece,budget,2011,-21280
Spain,budget,2011,-103214
France,budget,2011,-106104
Italy,budget,2011,-60231
Cyprus,budget,2011,-1122.1
Latvia,budget,2011,-870.1
Lithuania,budget,2011,-2795.9
Luxembourg,budget,2011,221.4
Malta,budget,2011,-164.6
Netherlands,budget,2011,-28791
Austria,budget,2011,-7919.3
Portugal,budget,2011,-13006.1
Slovenia,budget,2011,-2461.7
Slovakia,budget,2011,-3020.7
Finland,budget,2011,-2056
Belgium,budget,2012,-16409.4
Germany,budget,2012,-929
Estonia,budget,2012,-46.2
Ireland,budget,2012,-14114.3
Greece,budget,2012,-16951
Spain,budget,2012,-108847
France,budget,2012,-104043
Italy,budget,2012,-47078
Cyprus,budget,2012,-1082.2
Latvia,budget,2012,-265.9
Lithuania,budget,2012,-1049
Luxembourg,budget,2012,152.2
Malta,budget,2012,-250
Netherlands,budget,2012,-25586
Austria,budget,2012,-6975.5
Portugal,budget,2012,-9529.1
Slovenia,budget,2012,-1458.8
Slovakia,budget,2012,-3158.9
Finland,budget,2012,-4362
Belgium,budget,2013,-12281.4
Germany,budget,2013,-3967
Estonia,budget,2013,-32.2
Ireland,budget,2013,-11026.6
Greece,budget,2013,-23765
Spain,budget,2013,-71687
France,budget,2013,-86468
Italy,budget,2013,-46893
Cyprus,budget,2013,-930.8
Latvia,budget,2013,-264.6
Lithuania,budget,2013,-912.4
Luxembourg,budget,2013,453.6
Malta,budget,2013,-185.5
Netherlands,budget,2013,-19343
Austria,budget,2013,-6316.5
Portugal,budget,2013,-8245.2
Slovenia,budget,2013,-5319.4
Slovakia,budget,2013,-2017.4
Finland,budget,2013,-5315
Belgium,budget,2014,-12397
Germany,budget,2014,16693
Estonia,budget,2014,137.6
Ireland,budget,2014,-7045
Greece,budget,2014,-6355
Spain,budget,2014,-61942
France,budget,2014,-83941
Italy,budget,2014,-49340
Cyprus,budget,2014,-1577.4
Latvia,budget,2014,-352.3
Lithuania,budget,2014,-226.5
Luxembourg,budget,2014,655.8
Malta,budget,2014,-147.8
Netherlands,budget,2014,-14452
Austria,budget,2014,-9092
Portugal,budget,2014,-12402.3
Slovenia,budget,2014,-2071.7
Slovakia,budget,2014,-2056.1
Finland,budget,2014,-6597
Belgium,budget,2015,-10075.8
Germany,budget,2015,23856
Estonia,budget,2015,14.2
Ireland,budget,2015,-5014.1
Greece,budget,2015,-9941
Spain,budget,2015,-57004
France,budget,2015,-79697
Italy,budget,2015,-43153
Cyprus,budget,2015,-236.2
Latvia,budget,2015,-331.4
Lithuania,budget,2015,-97.4
Luxembourg,budget,2015,686.5
Malta,budget,2015,-97.6
Netherlands,budget,2015,-13970
Austria,budget,2015,-3601.9
Portugal,budget,2015,-7917.8
Slovenia,budget,2015,-1103.8
Slovakia,budget,2015,-2026.9
Finland,budget,2015,-5783
