type,nationality,part,score,year
Academic,Oman,speaking,5.805794694,2024-2025
Academic,Oman,overall,5.407793385,2024-2025
Academic,Pakistan,listening,6.238513179,2024-2025
Academic,Pakistan,reading,6.64637099,2024-2025
Academic,Pakistan,writing,6.03071177,2024-2025
Academic,Pakistan,speaking,6.348896715,2024-2025
Academic,Pakistan,overall,6.379663512,2024-2025
Academic,Philippines,listening,6.672408575,2024-2025
Academic,Philippines,reading,7.188776797,2024-2025
Academic,Philippines,writing,6.295712484,2024-2025
Academic,Philippines,speaking,6.826834805,2024-2025
Academic,Philippines,overall,6.810088272,2024-2025
Academic,Russian Federation,listening,7.093962759,2024-2025
Academic,Russian Federation,reading,7.191370683,2024-2025
Academic,Russian Federation,writing,6.187802477,2024-2025
Academic,Russian Federation,speaking,6.690509392,2024-2025
Academic,Russian Federation,overall,6.855672217,2024-2025
Academic,Saudi Arabia,listening,5.593148387,2024-2025
Academic,Saudi Arabia,reading,5.987793548,2024-2025
Academic,Saudi Arabia,writing,5.382180645,2024-2025
Academic,Saudi Arabia,speaking,6.1792,2024-2025
Academic,Saudi Arabia,overall,5.848309677,2024-2025
Academic,Spain,listening,7.389408707,2024-2025
Academic,Spain,reading,7.494282001,2024-2025
Academic,Spain,writing,6.328525016,2024-2025
Academic,Spain,speaking,6.8948018190000004,2024-2025
Academic,Spain,overall,7.091033138,2024-2025
Academic,Sri Lanka,listening,6.358745951,2024-2025
Academic,Sri Lanka,reading,6.783404674,2024-2025
Academic,Sri Lanka,writing,6.036933133,2024-2025
Academic,Sri Lanka,speaking,6.376301481,2024-2025
Academic,Sri Lanka,overall,6.451527071,2024-2025
Academic,Taiwan,listening,6.506386494,2024-2025
Academic,Taiwan,reading,6.583608671,2024-2025
Academic,Taiwan,writing,5.891671368,2024-2025
Academic,Taiwan,speaking,6.00145056,2024-2025
Academic,Taiwan,overall,6.310258683,2024-2025
Academic,Thailand,listening,6.239857537,2024-2025
Academic,Thailand,reading,6.543395014,2024-2025
Academic,Thailand,writing,5.80543877,2024-2025
Academic,Thailand,speaking,5.949789787,2024-2025
Academic,Thailand,overall,6.198082639,2024-2025
Academic,Turkey,listening,6.549898024,2024-2025
Academic,Turkey,reading,6.781044143,2024-2025
Academic,Turkey,writing,5.930468622,2024-2025
Academic,Turkey,speaking,6.217584453,2024-2025
Academic,Turkey,overall,6.433867829,2024-2025
Academic,Ukraine,listening,6.660760409,2024-2025
Academic,Ukraine,reading,6.919619795,2024-2025
Academic,Ukraine,writing,5.958415126,2024-2025
Academic,Ukraine,speaking,6.576402521,2024-2025
Academic,Ukraine,overall,6.593191445,2024-2025
Academic,United Arab Emirates,listening,5.13692908,2024-2025
Academic,United Arab Emirates,reading,5.614092265,2024-2025
Academic,United Arab Emirates,writing,5.111062658,2024-2025
Academic,United Arab Emirates,speaking,5.902593528,2024-2025
Academic,United Arab Emirates,overall,5.503718155,2024-2025
Academic,Uzbekistan,listening,5.992052375,2024-2025
Academic,Uzbekistan,reading,6.3745797809999996,2024-2025
Academic,Uzbekistan,writing,5.810225335,2024-2025
Academic,Uzbekistan,speaking,5.858836784,2024-2025
Academic,Uzbekistan,overall,6.073507917,2024-2025
Academic,Vietnam,listening,6.485403129,2024-2025
Academic,Vietnam,reading,6.383911047,2024-2025
Academic,Vietnam,writing,6.064897479,2024-2025
Academic,Vietnam,speaking,5.609705204,2024-2025
Academic,Vietnam,overall,6.201269127,2024-2025
General_Training,Algeria,listening,5.562318138,2024-2025
General_Training,Algeria,reading,5.875121242,2024-2025
General_Training,Algeria,writing,5.710475267,2024-2025
General_Training,Algeria,speaking,6.053346266,2024-2025
General_Training,Algeria,overall,5.863482056,2024-2025
General_Training,Argentina,listening,6.205400982,2024-2025
General_Training,Argentina,reading,6.303109656,2024-2025
General_Training,Argentina,writing,6.012438625,2024-2025
General_Training,Argentina,speaking,6.12405892,2024-2025
General_Training,Argentina,overall,6.225368249,2024-2025
General_Training,Bangladesh,listening,5.826253446,2024-2025
General_Training,Bangladesh,reading,6.450219545,2024-2025
General_Training,Bangladesh,writing,6.046053303,2024-2025
General_Training,Bangladesh,speaking,6.274430716,2024-2025
General_Training,Bangladesh,overall,6.212958235,2024-2025
General_Training,Brazil,listening,6.553688824,2024-2025
General_Training,Brazil,reading,6.665205746,2024-2025
General_Training,Brazil,writing,6.179936693,2024-2025
General_Training,Brazil,speaking,6.628682737,2024-2025
General_Training,Brazil,overall,6.572559046,2024-2025
General_Training,Cameroon,listening,4.954490756,2024-2025
General_Training,Cameroon,reading,5.419811837,2024-2025
General_Training,Cameroon,writing,5.893720599,2024-2025
General_Training,Cameroon,speaking,6.09211246,2024-2025
General_Training,Cameroon,overall,5.652062138,2024-2025
General_Training,Chile,listening,5.95236134,2024-2025
General_Training,Chile,reading,6.055464031,2024-2025
General_Training,Chile,writing,5.837451949,2024-2025
General_Training,Chile,speaking,5.968286656,2024-2025
General_Training,Chile,overall,6.020181219,2024-2025
General_Training,China,listening,6.396747736,2024-2025
General_Training,China,reading,6.44645006,2024-2025
General_Training,China,writing,6.048673127,2024-2025
General_Training,China,speaking,5.977135981,2024-2025
General_Training,China,overall,6.280400912,2024-2025
General_Training,Colombia,listening,6.040714995,2024-2025
General_Training,Colombia,reading,6.190086064,2024-2025
General_Training,Colombia,writing,5.976828865,2024-2025
General_Training,Colombia,speaking,6.245696789,2024-2025
General_Training,Colombia,overall,6.175686859,2024-2025
General_Training,Egypt,listening,6.228419453,2024-2025
General_Training,Egypt,reading,6.601367781,2024-2025
General_Training,Egypt,writing,6.124012158,2024-2025
General_Training,Egypt,speaking,6.517781155,2024-2025
General_Training,Egypt,overall,6.43100304,2024-2025
General_Training,France,listening,6.969648094,2024-2025
General_Training,France,reading,7.095894428,2024-2025
General_Training,France,writing,6.377272727,2024-2025
General_Training,France,speaking,6.808211144,2024-2025
General_Training,France,overall,6.878739003,2024-2025
General_Training,Germany,listening,7.207226355,2024-2025
General_Training,Germany,reading,7.522582359,2024-2025
General_Training,Germany,writing,6.584218916,2024-2025
General_Training,Germany,speaking,7.39293305,2024-2025
General_Training,Germany,overall,7.234059511,2024-2025
General_Training,Ghana,listening,5.351949769,2024-2025
General_Training,Ghana,reading,6.083526107,2024-2025
General_Training,Ghana,writing,6.196298744,2024-2025
General_Training,Ghana,speaking,6.914656312,2024-2025
General_Training,Ghana,overall,6.198942498,2024-2025
General_Training,Hong Kong,listening,6.710093897,2024-2025
General_Training,Hong Kong,reading,6.966614502,2024-2025
General_Training,Hong Kong,writing,6.295383412,2024-2025
General_Training,Hong Kong,speaking,6.390975483,2024-2025
General_Training,Hong Kong,overall,6.656233698,2024-2025
General_Training,India,listening,6.232582157,2024-2025
General_Training,India,reading,6.917953427,2024-2025
General_Training,India,writing,6.194004278,2024-2025
General_Training,India,speaking,6.388422235,2024-2025
General_Training,India,overall,6.496894465,2024-2025
General_Training,Indonesia,listening,5.588441331,2024-2025
General_Training,Indonesia,reading,5.952766045,2024-2025
General_Training,Indonesia,writing,5.798444422,2024-2025
General_Training,Indonesia,speaking,5.735757701,2024-2025
General_Training,Indonesia,overall,5.831461832,2024-2025
General_Training,"Iran, Islamic Republic of",listening,5.990910171,2024-2025
General_Training,"Iran, Islamic Republic of",reading,6.350998099,2024-2025
General_Training,"Iran, Islamic Republic of",writing,6.059470057,2024-2025
General_Training,"Iran, Islamic Republic of",speaking,6.409992871,2024-2025
General_Training,"Iran, Islamic Republic of",overall,6.265862643,2024-2025
General_Training,Italy,listening,6.600890985,2024-2025
General_Training,Italy,reading,6.74620021,2024-2025
General_Training,Italy,writing,6.126834382,2024-2025
General_Training,Italy,speaking,6.498034591,2024-2025
General_Training,Italy,overall,6.556341719,2024-2025
General_Training,Japan,listening,5.637114673,2024-2025
General_Training,Japan,reading,5.906535142,2024-2025
General_Training,Japan,writing,5.702219482,2024-2025
General_Training,Japan,speaking,5.647595561,2024-2025
General_Training,Japan,overall,5.787669544,2024-2025
General_Training,Kenya,listening,5.948319684,2024-2025
General_Training,Kenya,reading,6.514120305,2024-2025
General_Training,Kenya,writing,6.372070037,2024-2025
General_Training,Kenya,speaking,7.06297656,2024-2025
General_Training,Kenya,overall,6.537560011,2024-2025
General_Training,"Korea, Republic of",listening,5.986945447,2024-2025
General_Training,"Korea, Republic of",reading,6.27446402,2024-2025
General_Training,"Korea, Republic of",writing,5.868605392,2024-2025
General_Training,"Korea, Republic of",speaking,5.850137975,2024-2025
General_Training,"Korea, Republic of",overall,6.060708979,2024-2025
General_Training,Malaysia,listening,6.581548975,2024-2025
General_Training,Malaysia,reading,6.964236902,2024-2025
General_Training,Malaysia,writing,6.343963554,2024-2025
General_Training,Malaysia,speaking,6.63166287,2024-2025
General_Training,Malaysia,overall,6.69476082,2024-2025
General_Training,Mauritius,listening,6.492921857,2024-2025
General_Training,Mauritius,reading,6.931766704,2024-2025
General_Training,Mauritius,writing,6.485843715,2024-2025
General_Training,Mauritius,speaking,6.824178935,2024-2025
General_Training,Mauritius,overall,6.744903737,2024-2025
General_Training,Mexico,listening,6.525674125,2024-2025
General_Training,Mexico,reading,6.70697074,2024-2025
General_Training,Mexico,writing,6.192771084,2024-2025
General_Training,Mexico,speaking,6.672977625,2024-2025
General_Training,Mexico,overall,6.586488812,2024-2025
General_Training,Nepal,listening,5.90721306,2024-2025
General_Training,Nepal,reading,6.608529069,2024-2025
General_Training,Nepal,writing,6.05430618,2024-2025
General_Training,Nepal,speaking,6.154381143,2024-2025
General_Training,Nepal,overall,6.244002999,2024-2025
General_Training,Nigeria,listening,6.004078034,2024-2025
General_Training,Nigeria,reading,6.550380249,2024-2025
General_Training,Nigeria,writing,6.455935192,2024-2025
General_Training,Nigeria,speaking,7.112101841,2024-2025
General_Training,Nigeria,overall,6.592736691,2024-2025
General_Training,Pakistan,listening,5.233027313,2024-2025
General_Training,Pakistan,reading,5.931831547,2024-2025
General_Training,Pakistan,writing,5.715254182,2024-2025
General_Training,Pakistan,speaking,5.954701385,2024-2025
General_Training,Pakistan,overall,5.77130162,2024-2025
General_Training,Peru,listening,6.030760626,2024-2025
General_Training,Peru,reading,6.17253915,2024-2025
General_Training,Peru,writing,5.995525727,2024-2025
General_Training,Peru,speaking,6.21336689,2024-2025
General_Training,Peru,overall,6.166107383,2024-2025
General_Training,Philippines,listening,5.300258511,2024-2025
General_Training,Philippines,reading,5.994561203,2024-2025
General_Training,Philippines,writing,5.85603975,2024-2025
General_Training,Philippines,speaking,6.001326126,2024-2025
General_Training,Philippines,overall,5.850265225,2024-2025
General_Training,Russian Federation,listening,7.042840143,2024-2025
General_Training,Russian Federation,reading,7.086076954,2024-2025
General_Training,Russian Federation,writing,6.366124554,2024-2025
General_Training,Russian Federation,speaking,6.71102737,2024-2025
General_Training,Russian Federation,overall,6.86493455,2024-2025
General_Training,Saudi Arabia,listening,4.24423859,2024-2025
General_Training,Saudi Arabia,reading,5.020899232,2024-2025
General_Training,Saudi Arabia,writing,4.826140985,2024-2025
General_Training,Saudi Arabia,speaking,5.414482603,2024-2025
General_Training,Saudi Arabia,overall,4.938770899,2024-2025
General_Training,South Africa,listening,6.486681465,2024-2025
General_Training,South Africa,reading,7.044506104,2024-2025
General_Training,South Africa,writing,6.508102109,2024-2025
General_Training,South Africa,speaking,7.928967814,2024-2025
General_Training,South Africa,overall,7.055382908,2024-2025
General_Training,Spain,listening,6.421116961,2024-2025
General_Training,Spain,reading,6.486179015,2024-2025
General_Training,Spain,writing,6.086874765,2024-2025
General_Training,Spain,speaking,6.231289959,2024-2025
General_Training,Spain,overall,6.369217751,2024-2025
General_Training,Sri Lanka,listening,5.498924311,2024-2025
General_Training,Sri Lanka,reading,6.086152943,2024-2025
General_Training,Sri Lanka,writing,5.750977899,2024-2025
General_Training,Sri Lanka,speaking,6.013543908,2024-2025
General_Training,Sri Lanka,overall,5.901672208,2024-2025
General_Training,Taiwan,listening,6.127389706,2024-2025
General_Training,Taiwan,reading,6.350367647,2024-2025
General_Training,Taiwan,writing,5.947610294,2024-2025
General_Training,Taiwan,speaking,6.063602941,2024-2025
General_Training,Taiwan,overall,6.185845588,2024-2025
General_Training,Thailand,listening,4.928331688,2024-2025
General_Training,Thailand,reading,5.449555775,2024-2025
General_Training,Thailand,writing,5.39733465,2024-2025
General_Training,Thailand,speaking,5.409476802,2024-2025
General_Training,Thailand,overall,5.360612043,2024-2025
General_Training,Turkey,listening,5.648084256,2024-2025
General_Training,Turkey,reading,6.016161249,2024-2025
General_Training,Turkey,writing,5.721173052,2024-2025
General_Training,Turkey,speaking,5.84565099,2024-2025
General_Training,Turkey,overall,5.870346831,2024-2025
General_Training,Ukraine,listening,6.523717595,2024-2025
General_Training,Ukraine,reading,6.783783784,2024-2025
General_Training,Ukraine,writing,6.141753999,2024-2025
General_Training,Ukraine,speaking,6.677881964,2024-2025
General_Training,Ukraine,overall,6.593491451,2024-2025
General_Training,United States of America,listening,8.019122049,2024-2025
General_Training,United States of America,reading,8.348353841,2024-2025
General_Training,United States of America,writing,7.424842035,2024-2025
General_Training,United States of America,speaking,8.726637845,2024-2025
General_Training,United States of America,overall,8.190222813,2024-2025
General_Training,Vietnam,listening,5.756957606,2024-2025
General_Training,Vietnam,reading,5.874014963,2024-2025
General_Training,Vietnam,writing,5.882044888,2024-2025
General_Training,Vietnam,speaking,5.489226933,2024-2025
General_Training,Vietnam,overall,5.815261845,2024-2025
General_Training,Zimbabwe,listening,5.707749965,2024-2025
General_Training,Zimbabwe,reading,6.288573045,2024-2025
General_Training,Zimbabwe,writing,6.27633998,2024-2025
General_Training,Zimbabwe,speaking,6.930207891,2024-2025
General_Training,Zimbabwe,overall,6.365436289,2024-2025
Academic,Azerbaijan,listening,6.858096727622714,2023-2024
Academic,Azerbaijan,reading,6.60274302213667,2023-2024
Academic,Azerbaijan,writing,6.0543792107795955,2023-2024
Academic,Azerbaijan,speaking,6.476179018286814,2023-2024
Academic,Azerbaijan,overall,6.56111645813282,2023-2024
Academic,Bangladesh,listening,5.979472374491902,2023-2024
Academic,Bangladesh,reading,5.583762099166674,2023-2024
Academic,Bangladesh,writing,5.643343576482674,2023-2024
Academic,Bangladesh,speaking,5.768333613765376,2023-2024
Academic,Bangladesh,overall,5.808826524738534,2023-2024
Academic,Cambodia,listening,6.179128625910089,2023-2024
Academic,Cambodia,reading,5.770021957702531,2023-2024
Academic,Cambodia,writing,5.790130590546632,2023-2024
Academic,Cambodia,speaking,6.103027851612158,2023-2024
Academic,Cambodia,overall,6.022766670518895,2023-2024
Academic,China,listening,5.934177481137174,2023-2024
Academic,China,reading,6.25543791972293,2023-2024
Academic,China,writing,5.769177161657698,2023-2024
Academic,China,speaking,5.538916932087328,2023-2024
Academic,China,overall,5.939190059964673,2023-2024
Academic,Colombia,listening,6.739538890712176,2023-2024
Academic,Colombia,reading,6.839883491959304,2023-2024
Academic,Colombia,writing,6.026583524778471,2023-2024
Academic,Colombia,speaking,6.520758122743683,2023-2024
Academic,Colombia,overall,6.595011486708238,2023-2024
Academic,Egypt,listening,7.0245236599664995,2023-2024
Academic,Egypt,reading,6.579616834170854,2023-2024
Academic,Egypt,writing,6.094482830820771,2023-2024
Academic,Egypt,speaking,6.668184673366834,2023-2024
Academic,Egypt,overall,6.654653475711893,2023-2024
Academic,France,listening,7.112630840617244,2023-2024
Academic,France,reading,7.107154418905795,2023-2024
Academic,France,writing,6.206674220351786,2023-2024
Academic,France,speaking,6.727851516132513,2023-2024
Academic,France,overall,6.851893816769181,2023-2024
Academic,Ghana,listening,6.740879076902554,2023-2024
Academic,Ghana,reading,6.045421196558394,2023-2024
Academic,Ghana,writing,6.243080104048556,2023-2024
Academic,Ghana,speaking,7.040752351097178,2023-2024
Academic,Ghana,overall,6.580070699659841,2023-2024
Academic,Hong Kong,listening,7.047891835289045,2023-2024
Academic,Hong Kong,reading,6.836705780898703,2023-2024
Academic,Hong Kong,writing,6.201084110998183,2023-2024
Academic,Hong Kong,speaking,6.358557393205827,2023-2024
Academic,Hong Kong,overall,6.676968801010195,2023-2024
Academic,India,listening,6.6466969002496885,2023-2024
Academic,India,reading,6.13602688203122,2023-2024
Academic,India,writing,6.114863063126901,2023-2024
Academic,India,speaking,6.214472587451447,2023-2024
Academic,India,overall,6.341287674655816,2023-2024
Academic,Indonesia,listening,7.0199562602515035,2023-2024
Academic,Indonesia,reading,6.8919081465281575,2023-2024
Academic,Indonesia,writing,6.132728266812466,2023-2024
Academic,Indonesia,speaking,6.415855658829962,2023-2024
Academic,Indonesia,overall,6.679923455440131,2023-2024
Academic,"Iran, Islamic Republic of",listening,6.615783633841886,2023-2024
Academic,"Iran, Islamic Republic of",reading,6.356463245492372,2023-2024
Academic,"Iran, Islamic Republic of",writing,6.020846047156727,2023-2024
Academic,"Iran, Islamic Republic of",speaking,6.542122052704577,2023-2024
Academic,"Iran, Islamic Republic of",overall,6.449791955617198,2023-2024
Academic,Italy,listening,7.314990227033529,2023-2024
Academic,Italy,reading,7.481844835363103,2023-2024
Academic,Italy,writing,6.23175086453165,2023-2024
Academic,Italy,speaking,6.666873402495865,2023-2024
Academic,Italy,overall,6.987840174409863,2023-2024
Academic,Japan,listening,5.946169857593306,2023-2024
Academic,Japan,reading,6.056550501823877,2023-2024
Academic,Japan,writing,5.696144096613977,2023-2024
Academic,Japan,speaking,5.506038373554809,2023-2024
Academic,Japan,overall,5.864899120004946,2023-2024
Academic,Jordan,listening,6.7416938504288995,2023-2024
Academic,Jordan,reading,6.3228222786033585,2023-2024
Academic,Jordan,writing,5.938081430469977,2023-2024
Academic,Jordan,speaking,6.739881599613386,2023-2024
Academic,Jordan,overall,6.499033466231727,2023-2024
Academic,Kazakhstan,listening,6.559990256802839,2023-2024
Academic,Kazakhstan,reading,6.396843900062635,2023-2024
Academic,Kazakhstan,writing,5.842769155821561,2023-2024
Academic,Kazakhstan,speaking,6.12826223119215,2023-2024
Academic,Kazakhstan,overall,6.296784744937018,2023-2024
Academic,Kenya,listening,6.740702425903895,2023-2024
Academic,Kenya,reading,6.274220245176641,2023-2024
Academic,Kenya,writing,6.26353902653494,2023-2024
Academic,Kenya,speaking,6.919671028810842,2023-2024
Academic,Kenya,overall,6.613510577768582,2023-2024
Academic,"Korea, Republic of",listening,6.520251767687089,2023-2024
Academic,"Korea, Republic of",reading,6.489536927289819,2023-2024
Academic,"Korea, Republic of",writing,5.938570319205461,2023-2024
Academic,"Korea, Republic of",speaking,5.880083377610659,2023-2024
Academic,"Korea, Republic of",overall,6.270548085175951,2023-2024
Academic,Kuwait,listening,5.719799676244436,2023-2024
Academic,Kuwait,reading,5.249165317685148,2023-2024
Academic,Kuwait,writing,5.304102590044517,2023-2024
Academic,Kuwait,speaking,5.967624443545123,2023-2024
Academic,Kuwait,overall,5.624190611088628,2023-2024
Academic,Malaysia,listening,7.542156627469803,2023-2024
Academic,Malaysia,reading,7.228901687864971,2023-2024
Academic,Malaysia,writing,6.4425645948324135,2023-2024
Academic,Malaysia,speaking,6.788576913846892,2023-2024
Academic,Malaysia,overall,7.063354931605471,2023-2024
Academic,Mexico,listening,6.738218539616779,2023-2024
Academic,Mexico,reading,6.6854393233212495,2023-2024
Academic,Mexico,writing,5.968151216986017,2023-2024
Academic,Mexico,speaking,6.534481270498878,2023-2024
Academic,Mexico,overall,6.54440704298291,2023-2024
Academic,Mongolia,listening,6.650881482434693,2023-2024
Academic,Mongolia,reading,6.29848153390812,2023-2024
Academic,Mongolia,writing,5.784648050443958,2023-2024
Academic,Mongolia,speaking,6.297516407154807,2023-2024
Academic,Mongolia,overall,6.321515892420538,2023-2024
Academic,Myanmar,listening,6.899704221564937,2023-2024
Academic,Myanmar,reading,6.766066146813659,2023-2024
Academic,Myanmar,writing,6.138679752621672,2023-2024
Academic,Myanmar,speaking,6.276418392040871,2023-2024
Academic,Myanmar,overall,6.581339069642377,2023-2024
Academic,Nepal,listening,6.5818100249406895,2023-2024
Academic,Nepal,reading,6.0184697974329335,2023-2024
Academic,Nepal,writing,6.006227568586897,2023-2024
Academic,Nepal,speaking,6.0084098789464075,2023-2024
Academic,Nepal,overall,6.217333779426973,2023-2024
Academic,Nigeria,listening,6.817134389742349,2023-2024
Academic,Nigeria,reading,6.330399983871618,2023-2024
Academic,Nigeria,writing,6.330581428168219,2023-2024
Academic,Nigeria,speaking,7.087093262368453,2023-2024
Academic,Nigeria,overall,6.704638925849764,2023-2024
Academic,Oman,listening,5.291372707115501,2023-2024
Academic,Oman,reading,5.006248740173352,2023-2024
Academic,Oman,writing,5.368776456359605,2023-2024
Academic,Oman,speaking,5.79197742390647,2023-2024
Academic,Oman,overall,5.429222938923604,2023-2024
Academic,Pakistan,listening,6.559841954840987,2023-2024
Academic,Pakistan,reading,6.160265534085604,2023-2024
Academic,Pakistan,writing,5.9541691811939925,2023-2024
Academic,Pakistan,speaking,6.293875180761304,2023-2024
Academic,Pakistan,overall,6.305523609988271,2023-2024
Academic,Philippines,listening,7.188591311682834,2023-2024
Academic,Philippines,reading,6.685111767186841,2023-2024
Academic,Philippines,writing,6.274167018135808,2023-2024
Academic,Philippines,speaking,6.821024884015183,2023-2024
Academic,Philippines,overall,6.805989034162801,2023-2024
