type,language,part,score,year
Academic,Italian,speaking,6.641986095,2024-2025
Academic,Italian,overall,7.004814663,2024-2025
Academic,Japanese,listening,5.98700514,2024-2025
Academic,Japanese,reading,5.921829446,2024-2025
Academic,Japanese,writing,5.646530229,2024-2025
Academic,Japanese,speaking,5.453180144,2024-2025
Academic,Japanese,overall,5.815271597,2024-2025
Academic,Kannada,listening,6.469640288,2024-2025
Academic,Kannada,reading,7.016618705,2024-2025
Academic,Kannada,writing,6.330503597,2024-2025
Academic,Kannada,speaking,6.715179856,2024-2025
Academic,Kannada,overall,6.695251799,2024-2025
Academic,Kazakh,listening,6.243551028,2024-2025
Academic,Kazakh,reading,6.442896125,2024-2025
Academic,Kazakh,writing,5.788120793,2024-2025
Academic,Kazakh,speaking,6.081753684,2024-2025
Academic,Kazakh,overall,6.203383664,2024-2025
Academic,Khmer,listening,5.785483219,2024-2025
Academic,Khmer,reading,6.200768298,2024-2025
Academic,Khmer,writing,5.815861302,2024-2025
Academic,Khmer,speaking,6.052567732,2024-2025
Academic,Khmer,overall,6.025525677,2024-2025
Academic,Korean,listening,6.517023935,2024-2025
Academic,Korean,reading,6.531490375,2024-2025
Academic,Korean,writing,5.947678732,2024-2025
Academic,Korean,speaking,5.874175159,2024-2025
Academic,Korean,overall,6.282183437,2024-2025
Academic,Malayalam,listening,6.5579498449999996,2024-2025
Academic,Malayalam,reading,7.012437451,2024-2025
Academic,Malayalam,writing,6.278772452,2024-2025
Academic,Malayalam,speaking,6.471191392,2024-2025
Academic,Malayalam,overall,6.644173199,2024-2025
Academic,Marathi,listening,6.569190966,2024-2025
Academic,Marathi,reading,7.115306622,2024-2025
Academic,Marathi,writing,6.355674428,2024-2025
Academic,Marathi,speaking,6.664638836,2024-2025
Academic,Marathi,overall,6.740227956,2024-2025
Academic,Mongolian,listening,6.364215968,2024-2025
Academic,Mongolian,reading,6.759965537,2024-2025
Academic,Mongolian,writing,5.770189546,2024-2025
Academic,Mongolian,speaking,6.218552556,2024-2025
Academic,Mongolian,overall,6.339345204,2024-2025
Academic,Nepali,listening,6.014858913,2024-2025
Academic,Nepali,reading,6.566534372,2024-2025
Academic,Nepali,writing,5.99166707,2024-2025
Academic,Nepali,speaking,6.019093945,2024-2025
Academic,Nepali,overall,6.211195005,2024-2025
Academic,Other,listening,6.284527351,2024-2025
Academic,Other,reading,6.578842383,2024-2025
Academic,Other,writing,5.986451079,2024-2025
Academic,Other,speaking,6.383198661,2024-2025
Academic,Other,overall,6.371382446,2024-2025
Academic,Portuguese,listening,7.141881781,2024-2025
Academic,Portuguese,reading,7.189908343,2024-2025
Academic,Portuguese,writing,6.18738309,2024-2025
Academic,Portuguese,speaking,6.887766554,2024-2025
Academic,Portuguese,overall,6.916339319,2024-2025
Academic,Punjabi,listening,5.928017758,2024-2025
Academic,Punjabi,reading,6.492570845,2024-2025
Academic,Punjabi,writing,6.008207873,2024-2025
Academic,Punjabi,speaking,5.975761265,2024-2025
Academic,Punjabi,overall,6.165571687,2024-2025
Academic,Russian,listening,6.702911343,2024-2025
Academic,Russian,reading,6.908216391,2024-2025
Academic,Russian,writing,6.015439394,2024-2025
Academic,Russian,speaking,6.46291254,2024-2025
Academic,Russian,overall,6.586367853,2024-2025
Academic,Sinhalese,listening,6.382881117,2024-2025
Academic,Sinhalese,reading,6.815244668,2024-2025
Academic,Sinhalese,writing,6.048462986,2024-2025
Academic,Sinhalese,speaking,6.378646487,2024-2025
Academic,Sinhalese,overall,6.469965496,2024-2025
Academic,Spanish,listening,6.930180925,2024-2025
Academic,Spanish,reading,6.913918938,2024-2025
Academic,Spanish,writing,6.093072417,2024-2025
Academic,Spanish,speaking,6.611164911,2024-2025
Academic,Spanish,overall,6.699985828,2024-2025
Academic,Swahili,listening,6.267707185,2024-2025
Academic,Swahili,reading,6.7728815000000004,2024-2025
Academic,Swahili,writing,6.26762236,2024-2025
Academic,Swahili,speaking,6.917083722,2024-2025
Academic,Swahili,overall,6.617609636,2024-2025
Academic,Tagalog,listening,6.506800919,2024-2025
Academic,Tagalog,reading,7.065359477,2024-2025
Academic,Tagalog,writing,6.205529058,2024-2025
Academic,Tagalog,speaking,6.759053171,2024-2025
Academic,Tagalog,overall,6.69775658,2024-2025
Academic,Tamil,listening,6.489385671,2024-2025
Academic,Tamil,reading,6.954588695,2024-2025
Academic,Tamil,writing,6.212011215,2024-2025
Academic,Tamil,speaking,6.532994543,2024-2025
Academic,Tamil,overall,6.609898363,2024-2025
Academic,Telugu,listening,6.183921553,2024-2025
Academic,Telugu,reading,6.696401799,2024-2025
Academic,Telugu,writing,6.113416265,2024-2025
Academic,Telugu,speaking,6.385368127,2024-2025
Academic,Telugu,overall,6.408667288,2024-2025
Academic,Thai,listening,6.264193157,2024-2025
Academic,Thai,reading,6.56033063,2024-2025
Academic,Thai,writing,5.803921569,2024-2025
Academic,Thai,speaking,5.940819117,2024-2025
Academic,Thai,overall,6.205323017,2024-2025
Academic,Turkish,listening,6.56006067,2024-2025
Academic,Turkish,reading,6.800494435,2024-2025
Academic,Turkish,writing,5.930373095,2024-2025
Academic,Turkish,speaking,6.221779009,2024-2025
Academic,Turkish,overall,6.44198156,2024-2025
Academic,Ukrainian,listening,6.656852617,2024-2025
Academic,Ukrainian,reading,6.915920569,2024-2025
Academic,Ukrainian,writing,5.953914141,2024-2025
Academic,Ukrainian,speaking,6.575528007,2024-2025
Academic,Ukrainian,overall,6.589761249,2024-2025
Academic,Urdu,listening,6.277278209,2024-2025
Academic,Urdu,reading,6.697775606,2024-2025
Academic,Urdu,writing,6.053976275,2024-2025
Academic,Urdu,speaking,6.383070487,2024-2025
Academic,Urdu,overall,6.416619594,2024-2025
Academic,Uzbek,listening,5.950666685,2024-2025
Academic,Uzbek,reading,6.333463791,2024-2025
Academic,Uzbek,writing,5.792079408,2024-2025
Academic,Uzbek,speaking,5.820184081,2024-2025
Academic,Uzbek,overall,6.038449081,2024-2025
Academic,Vietnamese,listening,6.486078045,2024-2025
Academic,Vietnamese,reading,6.384423441,2024-2025
Academic,Vietnamese,writing,6.065060569,2024-2025
Academic,Vietnamese,speaking,5.609565022,2024-2025
Academic,Vietnamese,overall,6.201586855,2024-2025
General_Training,Afrikaans,listening,6.203361345,2024-2025
General_Training,Afrikaans,reading,6.752731092,2024-2025
General_Training,Afrikaans,writing,6.328781513,2024-2025
General_Training,Afrikaans,speaking,7.646218487,2024-2025
General_Training,Afrikaans,overall,6.79789916,2024-2025
General_Training,Akan,listening,5.118261456,2024-2025
General_Training,Akan,reading,5.878874663,2024-2025
General_Training,Akan,writing,6.100909704,2024-2025
General_Training,Akan,speaking,6.783861186,2024-2025
General_Training,Akan,overall,6.031334232,2024-2025
General_Training,Arabic,listening,5.435721519,2024-2025
General_Training,Arabic,reading,5.942810127,2024-2025
General_Training,Arabic,writing,5.646075949,2024-2025
General_Training,Arabic,speaking,6.145088608,2024-2025
General_Training,Arabic,overall,5.854455696,2024-2025
General_Training,Bengali,listening,5.88392435,2024-2025
General_Training,Bengali,reading,6.490780142,2024-2025
General_Training,Bengali,writing,6.083782506,2024-2025
General_Training,Bengali,speaking,6.319952719,2024-2025
General_Training,Bengali,overall,6.258250591,2024-2025
General_Training,Chinese,listening,6.420310486,2024-2025
General_Training,Chinese,reading,6.499341964,2024-2025
General_Training,Chinese,writing,6.070759024,2024-2025
General_Training,Chinese,speaking,6.02523367,2024-2025
General_Training,Chinese,overall,6.317535991,2024-2025
General_Training,Dari,listening,4.273934031,2024-2025
General_Training,Dari,reading,5.112630732,2024-2025
General_Training,Dari,writing,5.419549477,2024-2025
General_Training,Dari,speaking,5.663716814,2024-2025
General_Training,Dari,overall,5.178197908,2024-2025
General_Training,English,listening,6.3645118,2024-2025
General_Training,English,reading,6.956829381,2024-2025
General_Training,English,writing,6.499712459,2024-2025
General_Training,English,speaking,7.108837094,2024-2025
General_Training,English,overall,6.795118568,2024-2025
General_Training,Farsi,listening,6.028434173,2024-2025
General_Training,Farsi,reading,6.3923656190000004,2024-2025
General_Training,Farsi,writing,6.074591015,2024-2025
General_Training,Farsi,speaking,6.441249026,2024-2025
General_Training,Farsi,overall,6.297260452,2024-2025
General_Training,Filipino,listening,5.351231169,2024-2025
General_Training,Filipino,reading,6.023020146,2024-2025
General_Training,Filipino,writing,5.873827818,2024-2025
General_Training,Filipino,speaking,6.002359489,2024-2025
General_Training,Filipino,overall,5.874342065,2024-2025
General_Training,French,listening,5.560486025,2024-2025
General_Training,French,reading,5.799047534,2024-2025
General_Training,French,writing,5.944276304,2024-2025
General_Training,French,speaking,6.133434218,2024-2025
General_Training,French,overall,5.923891757,2024-2025
General_Training,German,listening,7.155150215,2024-2025
General_Training,German,reading,7.491201717,2024-2025
General_Training,German,writing,6.51888412,2024-2025
General_Training,German,speaking,7.270171674,2024-2025
General_Training,German,overall,7.170171674,2024-2025
General_Training,Gujarati,listening,6.268953839,2024-2025
General_Training,Gujarati,reading,6.940771754,2024-2025
General_Training,Gujarati,writing,6.098695965,2024-2025
General_Training,Gujarati,speaking,6.295274541,2024-2025
General_Training,Gujarati,overall,6.465452412,2024-2025
General_Training,Hindi,listening,6.466636439,2024-2025
General_Training,Hindi,reading,7.110486397,2024-2025
General_Training,Hindi,writing,6.324534213,2024-2025
General_Training,Hindi,speaking,6.622357791,2024-2025
General_Training,Hindi,overall,6.695201979,2024-2025
General_Training,Ibo/Igbo,listening,5.847647748,2024-2025
General_Training,Ibo/Igbo,reading,6.413778671,2024-2025
General_Training,Ibo/Igbo,writing,6.460739997,2024-2025
General_Training,Ibo/Igbo,speaking,7.061108321,2024-2025
General_Training,Ibo/Igbo,overall,6.505608572,2024-2025
General_Training,Indonesian,listening,5.59387732,2024-2025
General_Training,Indonesian,reading,5.947600724,2024-2025
General_Training,Indonesian,writing,5.795043006,2024-2025
General_Training,Indonesian,speaking,5.720291987,2024-2025
General_Training,Indonesian,overall,5.826901313,2024-2025
General_Training,Italian,listening,6.726296663,2024-2025
General_Training,Italian,reading,6.82292699,2024-2025
General_Training,Italian,writing,6.156095144,2024-2025
General_Training,Italian,speaking,6.510406343,2024-2025
General_Training,Italian,overall,6.616617113,2024-2025
General_Training,Japanese,listening,5.66630167,2024-2025
General_Training,Japanese,reading,5.909389543,2024-2025
General_Training,Japanese,writing,5.70626882,2024-2025
General_Training,Japanese,speaking,5.640158774,2024-2025
General_Training,Japanese,overall,5.793457432,2024-2025
General_Training,Kannada,listening,6.447168508,2024-2025
General_Training,Kannada,reading,7.020027624,2024-2025
General_Training,Kannada,writing,6.45718232,2024-2025
General_Training,Kannada,speaking,6.82320442,2024-2025
General_Training,Kannada,overall,6.74378453,2024-2025
General_Training,Korean,listening,6.021044158,2024-2025
General_Training,Korean,reading,6.292433303,2024-2025
General_Training,Korean,writing,5.880979761,2024-2025
General_Training,Korean,speaking,5.868675253,2024-2025
General_Training,Korean,overall,6.081416743,2024-2025
General_Training,Malayalam,listening,6.367304193,2024-2025
General_Training,Malayalam,reading,6.899864596,2024-2025
General_Training,Malayalam,writing,6.269898024,2024-2025
General_Training,Malayalam,speaking,6.448609994,2024-2025
General_Training,Malayalam,overall,6.559323827,2024-2025
General_Training,Marathi,listening,6.727986955,2024-2025
General_Training,Marathi,reading,7.255262378,2024-2025
General_Training,Marathi,writing,6.510228283,2024-2025
General_Training,Marathi,speaking,6.846131041,2024-2025
General_Training,Marathi,overall,6.89831011,2024-2025
General_Training,Nepali,listening,5.904597216,2024-2025
General_Training,Nepali,reading,6.609025728,2024-2025
General_Training,Nepali,writing,6.054154365,2024-2025
General_Training,Nepali,speaking,6.154997891,2024-2025
General_Training,Nepali,overall,6.243188528,2024-2025
General_Training,Other,listening,5.912611413,2024-2025
General_Training,Other,reading,6.44151897,2024-2025
General_Training,Other,writing,6.067120855,2024-2025
General_Training,Other,speaking,6.381825633,2024-2025
General_Training,Other,overall,6.264112284,2024-2025
General_Training,Pashto,listening,4.621853898,2024-2025
General_Training,Pashto,reading,5.389195826,2024-2025
General_Training,Pashto,writing,5.348680172,2024-2025
General_Training,Pashto,speaking,5.818600368,2024-2025
General_Training,Pashto,overall,5.356353591,2024-2025
General_Training,Portuguese,listening,6.67466611,2024-2025
General_Training,Portuguese,reading,6.798205342,2024-2025
General_Training,Portuguese,writing,6.226523372,2024-2025
General_Training,Portuguese,speaking,6.69490818,2024-2025
General_Training,Portuguese,overall,6.662458264,2024-2025
General_Training,Punjabi,listening,6.00751795,2024-2025
General_Training,Punjabi,reading,6.759335512,2024-2025
General_Training,Punjabi,writing,6.08948838,2024-2025
General_Training,Punjabi,speaking,6.202823816,2024-2025
General_Training,Punjabi,overall,6.328303137,2024-2025
General_Training,Russian,listening,6.947125813,2024-2025
General_Training,Russian,reading,7.048129067,2024-2025
General_Training,Russian,writing,6.331751627,2024-2025
General_Training,Russian,speaking,6.725732104,2024-2025
General_Training,Russian,overall,6.826464208,2024-2025
General_Training,Shona,listening,5.663979514,2024-2025
General_Training,Shona,reading,6.238050076,2024-2025
General_Training,Shona,writing,6.254362671,2024-2025
General_Training,Shona,speaking,6.858118361,2024-2025
General_Training,Shona,overall,6.317905918,2024-2025
General_Training,Sinhalese,listening,5.888805347,2024-2025
General_Training,Sinhalese,reading,6.427401838,2024-2025
General_Training,Sinhalese,writing,5.997827903,2024-2025
General_Training,Sinhalese,speaking,6.278195489,2024-2025
General_Training,Sinhalese,overall,6.210776942,2024-2025
General_Training,Spanish,listening,6.269530055,2024-2025
General_Training,Spanish,reading,6.37873224,2024-2025
General_Training,Spanish,writing,6.052830601,2024-2025
General_Training,Spanish,speaking,6.296218579,2024-2025
General_Training,Spanish,overall,6.31263388,2024-2025
General_Training,Swahili,listening,5.619875776,2024-2025
General_Training,Swahili,reading,6.158592133,2024-2025
General_Training,Swahili,writing,6.203726708,2024-2025
General_Training,Swahili,speaking,6.788198758,2024-2025
General_Training,Swahili,overall,6.254658385,2024-2025
General_Training,Tagalog,listening,5.252630041,2024-2025
General_Training,Tagalog,reading,5.962302747,2024-2025
General_Training,Tagalog,writing,5.835135398,2024-2025
General_Training,Tagalog,speaking,6.013198909,2024-2025
General_Training,Tagalog,overall,5.827440094,2024-2025
General_Training,Tamil,listening,5.777324709,2024-2025
General_Training,Tamil,reading,6.37335958,2024-2025
General_Training,Tamil,writing,5.908417698,2024-2025
General_Training,Tamil,speaking,6.182695913,2024-2025
General_Training,Tamil,overall,6.125140607,2024-2025
General_Training,Telugu,listening,6.482760433,2024-2025
General_Training,Telugu,reading,7.099915905,2024-2025
General_Training,Telugu,writing,6.275622832,2024-2025
General_Training,Telugu,speaking,6.576999895,2024-2025
General_Training,Telugu,overall,6.673078945,2024-2025
General_Training,Thai,listening,4.946294559,2024-2025
General_Training,Thai,reading,5.442073171,2024-2025
General_Training,Thai,writing,5.397514071,2024-2025
General_Training,Thai,speaking,5.398452158,2024-2025
General_Training,Thai,overall,5.361515009,2024-2025
General_Training,Turkish,listening,5.66851145,2024-2025
General_Training,Turkish,reading,6.032633588,2024-2025
General_Training,Turkish,writing,5.727194656,2024-2025
General_Training,Turkish,speaking,5.85019084,2024-2025
General_Training,Turkish,overall,5.882061069,2024-2025
General_Training,Ukrainian,listening,6.540160643,2024-2025
General_Training,Ukrainian,reading,6.798862115,2024-2025
General_Training,Ukrainian,writing,6.136546185,2024-2025
General_Training,Ukrainian,speaking,6.684069612,2024-2025
General_Training,Ukrainian,overall,6.60107095,2024-2025
General_Training,Urdu,listening,5.32596323,2024-2025
General_Training,Urdu,reading,6.021610155,2024-2025
General_Training,Urdu,writing,5.76152944,2024-2025
General_Training,Urdu,speaking,6.015953227,2024-2025
General_Training,Urdu,overall,5.844227519,2024-2025
General_Training,Vietnamese,listening,5.74622108,2024-2025
General_Training,Vietnamese,reading,5.859640103,2024-2025
General_Training,Vietnamese,writing,5.872596401,2024-2025
General_Training,Vietnamese,speaking,5.476812339,2024-2025
General_Training,Vietnamese,overall,5.803496144,2024-2025
General_Training,Yoruba,listening,5.771319444,2024-2025
General_Training,Yoruba,reading,6.258819444,2024-2025
General_Training,Yoruba,writing,6.317291667,2024-2025
General_Training,Yoruba,speaking,6.906944444,2024-2025
General_Training,Yoruba,overall,6.375902778,2024-2025
Academic,Akan,listening,6.65485001947799,2023-2024
Academic,Akan,reading,5.964030645370731,2023-2024
Academic,Akan,writing,6.205687573042462,2023-2024
Academic,Akan,speaking,6.9837683417737955,2023-2024
Academic,Akan,overall,6.5136345929100115,2023-2024
Academic,Arabic,listening,6.078908786894781,2023-2024
Academic,Arabic,reading,5.67105486356807,2023-2024
Academic,Arabic,writing,5.534831943973247,2023-2024
Academic,Arabic,speaking,6.206635002180972,2023-2024
Academic,Arabic,overall,5.936473125575534,2023-2024
Academic,Bengali,listening,6.019210530855891,2023-2024
Academic,Bengali,reading,5.624070527750462,2023-2024
Academic,Bengali,writing,5.669547814985422,2023-2024
Academic,Bengali,speaking,5.800489105118783,2023-2024
Academic,Bengali,overall,5.843486361989545,2023-2024
Academic,Burmese,listening,6.896223795640705,2023-2024
Academic,Burmese,reading,6.769679300291545,2023-2024
Academic,Burmese,writing,6.139733444398168,2023-2024
Academic,Burmese,speaking,6.27391364709149,2023-2024
Academic,Burmese,overall,6.58107732889074,2023-2024
Academic,Chinese,listening,5.991343709402145,2023-2024
Academic,Chinese,reading,6.284109840283262,2023-2024
Academic,Chinese,writing,5.78826298494536,2023-2024
Academic,Chinese,speaking,5.581047456504573,2023-2024
Academic,Chinese,overall,5.975956389943195,2023-2024
Academic,English,listening,7.217359988475759,2023-2024
Academic,English,reading,6.668337948364998,2023-2024
Academic,English,writing,6.411759527506122,2023-2024
Academic,English,speaking,7.119948140915857,2023-2024
Academic,English,overall,6.9178537701874285,2023-2024
Academic,Farsi,listening,6.64595412551768,2023-2024
Academic,Farsi,reading,6.379834342147181,2023-2024
Academic,Farsi,writing,6.033736858872253,2023-2024
Academic,Farsi,speaking,6.554475947754062,2023-2024
Academic,Farsi,overall,6.4699745141764895,2023-2024
Academic,Filipino,listening,7.2119928971451985,2023-2024
Academic,Filipino,reading,6.709056139871603,2023-2024
Academic,Filipino,writing,6.284114192050266,2023-2024
Academic,Filipino,speaking,6.8295314847698405,2023-2024
Academic,Filipino,overall,6.822087146564677,2023-2024
Academic,French,listening,6.98388569689129,2023-2024
Academic,French,reading,6.934115901221415,2023-2024
Academic,French,writing,6.158574635668353,2023-2024
Academic,French,speaking,6.699478710855751,2023-2024
Academic,French,overall,6.756706365815608,2023-2024
Academic,German,listening,8.142427482956824,2023-2024
Academic,German,reading,7.866194359042908,2023-2024
Academic,German,writing,6.633538297019115,2023-2024
Academic,German,speaking,7.559617698168694,2023-2024
Academic,German,overall,7.614222697500334,2023-2024
Academic,Gujarati,listening,6.399223203982156,2023-2024
Academic,Gujarati,reading,5.872242029659485,2023-2024
Academic,Gujarati,writing,5.921769234743968,2023-2024
Academic,Gujarati,speaking,5.960893229301228,2023-2024
Academic,Gujarati,overall,6.1018016155979264,2023-2024
Academic,Hindi,listening,6.943222378592262,2023-2024
Academic,Hindi,reading,6.401869301841767,2023-2024
Academic,Hindi,writing,6.240347549409533,2023-2024
Academic,Hindi,speaking,6.4517632421628015,2023-2024
Academic,Hindi,overall,6.572926227334842,2023-2024
Academic,Ibo/Igbo,listening,6.610526858439014,2023-2024
Academic,Ibo/Igbo,reading,6.144911846582122,2023-2024
Academic,Ibo/Igbo,writing,6.31302196102691,2023-2024
Academic,Ibo/Igbo,speaking,7.022012578616352,2023-2024
Academic,Ibo/Igbo,overall,6.583513764305598,2023-2024
Academic,Indonesian,listening,7.001810141652696,2023-2024
Academic,Indonesian,reading,6.889496318973686,2023-2024
Academic,Indonesian,writing,6.122810214544306,2023-2024
Academic,Indonesian,speaking,6.401669217873023,2023-2024
Academic,Indonesian,overall,6.668440362514275,2023-2024
Academic,Italian,listening,7.317597666259314,2023-2024
Academic,Italian,reading,7.502128749950724,2023-2024
Academic,Italian,writing,6.231166476130405,2023-2024
Academic,Italian,speaking,6.6527969409074785,2023-2024
Academic,Italian,overall,6.990006701620215,2023-2024
Academic,Japanese,listening,5.936870987562769,2023-2024
Academic,Japanese,reading,6.050172680466979,2023-2024
Academic,Japanese,writing,5.691813038964341,2023-2024
Academic,Japanese,speaking,5.4973409326864,2023-2024
Academic,Japanese,overall,5.857787571243935,2023-2024
Academic,Kannada,listening,6.965679758308157,2023-2024
Academic,Kannada,reading,6.433232628398792,2023-2024
Academic,Kannada,writing,6.298489425981873,2023-2024
Academic,Kannada,speaking,6.670271903323263,2023-2024
Academic,Kannada,overall,6.657039274924471,2023-2024
Academic,Kazakh,listening,6.50765019308794,2023-2024
Academic,Kazakh,reading,6.3480471232341005,2023-2024
Academic,Kazakh,writing,5.8224568607322675,2023-2024
Academic,Kazakh,speaking,6.08283228234834,2023-2024
Academic,Kazakh,overall,6.254851640025419,2023-2024
Academic,Khmer,listening,6.179058460808728,2023-2024
Academic,Khmer,reading,5.769892090596466,2023-2024
Academic,Khmer,writing,5.787857227558401,2023-2024
Academic,Khmer,speaking,6.099549389303925,2023-2024
Academic,Khmer,overall,6.021463298944623,2023-2024
Academic,Korean,listening,6.526276784958076,2023-2024
Academic,Korean,reading,6.49625222325739,2023-2024
Academic,Korean,writing,5.941051918353519,2023-2024
Academic,Korean,speaking,5.878694842042856,2023-2024
Academic,Korean,overall,6.2739688320487845,2023-2024
Academic,Malayalam,listening,6.811068224866874,2023-2024
Academic,Malayalam,reading,6.377229191236911,2023-2024
Academic,Malayalam,writing,6.191120760516064,2023-2024
Academic,Malayalam,speaking,6.334012365533755,2023-2024
Academic,Malayalam,overall,6.49239662628212,2023-2024
Academic,Marathi,listening,7.078625574060753,2023-2024
Academic,Marathi,reading,6.5262269684059095,2023-2024
Academic,Marathi,writing,6.316577214629558,2023-2024
Academic,Marathi,speaking,6.62396945720135,2023-2024
Academic,Marathi,overall,6.700188125933713,2023-2024
Academic,Mongolian,listening,6.633642602948653,2023-2024
Academic,Mongolian,reading,6.296962379257753,2023-2024
Academic,Mongolian,writing,5.779295882053889,2023-2024
Academic,Mongolian,speaking,6.281011692933401,2023-2024
Academic,Mongolian,overall,6.311260803253686,2023-2024
Academic,Nepali,listening,6.574691224936089,2023-2024
Academic,Nepali,reading,6.010271968460283,2023-2024
Academic,Nepali,writing,6.002286937505775,2023-2024
Academic,Nepali,speaking,6.0025410416730836,2023-2024
Academic,Nepali,overall,6.210983460128746,2023-2024
Academic,Other,listening,6.717849290425745,2023-2024
Academic,Other,reading,6.425014991005397,2023-2024
Academic,Other,writing,6.0576054367379575,2023-2024
Academic,Other,speaking,6.525714571257246,2023-2024
Academic,Other,overall,6.495852488506896,2023-2024
Academic,Portuguese,listening,7.185091420534459,2023-2024
Academic,Portuguese,reading,7.139709329582748,2023-2024
Academic,Portuguese,writing,6.1813408345053915,2023-2024
Academic,Portuguese,speaking,6.942616033755274,2023-2024
Academic,Portuguese,overall,6.923441162681669,2023-2024
Academic,Punjabi,listening,6.217010103316399,2023-2024
Academic,Punjabi,reading,5.7231006335978085,2023-2024
Academic,Punjabi,writing,5.948952565785718,2023-2024
Academic,Punjabi,speaking,5.780686683029853,2023-2024
Academic,Punjabi,overall,5.980284262800388,2023-2024
Academic,Russian,listening,6.931411660835159,2023-2024
Academic,Russian,reading,6.750237075308198,2023-2024
Academic,Russian,writing,6.027173735325856,2023-2024
Academic,Russian,speaking,6.48217847683202,2023-2024
Academic,Russian,overall,6.61209574572447,2023-2024
Academic,Sinhalese,listening,6.724544108118115,2023-2024
Academic,Sinhalese,reading,6.2567573822086455,2023-2024
Academic,Sinhalese,writing,6.001874479311303,2023-2024
Academic,Sinhalese,speaking,6.386975840044432,2023-2024
Academic,Sinhalese,overall,6.405211515319818,2023-2024
Academic,Spanish,listening,6.9275294652096004,2023-2024
Academic,Spanish,reading,6.958370138555889,2023-2024
Academic,Spanish,writing,6.099765287837872,2023-2024
Academic,Spanish,speaking,6.654203366731444,2023-2024
Academic,Spanish,overall,6.723292027357847,2023-2024
Academic,Swahili,listening,6.6429816002230275,2023-2024
Academic,Swahili,reading,6.194103707833844,2023-2024
Academic,Swahili,writing,6.220309450794536,2023-2024
Academic,Swahili,speaking,6.845518539169222,2023-2024
Academic,Swahili,overall,6.541364650125453,2023-2024
