id,slug,shortname,name,city,region,country,latitude,longitude,source,current_prediction,is_groundhog,type,active,description,image,predictions_count
19,sir-walter-wally,Wally,Sir Walter Wally,Raleigh,North Carolina,USA,35.7821867,-78.6414861,https://twitter.com/sirwalterw?lang=en,,TRUE,Groundhog,FALSE,"Sir Walter Wally was the official prognosticating groundhog from Raleigh, North Carolina, where he lived at the Museum of Natural Sciences before retiring in 2023. While active, Wally was a media darling and is regularly featured on The Weather Channel’s list of national Groundhog Day representatives. He was also very active on Twitter where he would publish his predictions and subtweet Punxsutawney Phil.",https://groundhog-day.com/images/ghogs/sir-walter-wally.jpeg,23
20,schnogadahl-sammi,Sammi,Schnogadahl Sammi,Kresgeville,Pennsylvania,USA,40.9014222,-75.497874,https://groundhoglodge.org/schedule/groundhog-lodge-number-6/,https://www.tnonline.com/20230202/monroe-groundhog-more-winter-coming/,FALSE,Taxidermied groundhog,TRUE,"Schnogadahl Sammi is a literally unpronounceable taxidermied groundhog mounted on a wooden plank who makes Groundhog Day predictions for Groundhog Lodge #6 near Kresgeville, Pennsylvania. The event was canceled in 2021 and 2022 due to the pandemic, but Sammi returned for a prediction in 2023. The prediction ritual starts with members of the lodge gathering around Sammi, and then giving a welcome, a prayer and a prediction in both English and Pennsylvania Dutch. When he is not the centre of attention on February 2nd, Sammi resides in the unbelievably-named community of Kunkletown.",https://groundhog-day.com/images/ghogs/schnogadahl-sammi.jpeg,22
21,poor-richard,Richard,Poor Richard,York,Pennsylvania,USA,39.9658603,-76.729263,http://www.yorkslumberinggroundhoglodge.com,https://www.therecordherald.com/videos/news/2023/02/02/hear-york-groundhogs-prediction-spring-and-eagles-vs-kansas-city-chiefs/11169342002/,FALSE,Taxidermied groundhog,TRUE,"Poor Richard is a taxidermied groundhog who prognosticates for the Slumbering Groundhog Lodge, in York, Pennsylvania. The York Slumbering Groundhog Lodge prides itself on carrying on the tradition of recognizing the importance of the groundhog in predicting the weather for the remaining 6 weeks of winter. Very rarely has York’s “Poor Richard” been wrong.",https://groundhog-day.com/images/ghogs/poor-richard.jpeg,21
22,balzac-billy,Billy,Balzac Billy,Balzac,Alberta,Canada,51.1908339,-114.0008889,https://www.facebook.com/bluegrasscgy,https://edmontonjournal.com/news/local-news/edmonton-weather-balzac-billy-says-spring-will-come-early-for-alberta,FALSE,Person in a gopher suit,TRUE,"Balzac Billy is the “Prairie Prognosticator”, a man-sized gopher mascot who prognosticates weather on Groundhog Day from the town of Balzac, Alberta. Billy is not a real groundhog because groundhogs are not native to Alberta. Instead, Billy is more properly a Richardson Ground Squirrel (ie, a gopher) who lives in a man-sized burrow outside the Blue Grass Nursery & Garden Centre. Billy eats seeds, leaves, roots and flowers, as well as some insects, and of course his annual Groundhog Day Breakfast!",https://groundhog-day.com/images/ghogs/balzac-billy.jpeg,19
23,uni-the-groundhog,Uni,Uni the Groundhog,Myerstown,Pennsylvania,USA,40.4181266,-76.2999232,https://www.facebook.com/Grundsau-Lodsch-17-Om-Union-Kanal-598077903658052/,https://www.facebook.com/100068885919997/videos/699426181862636/,FALSE,Taxidermied groundhog,TRUE,"Every year on February 2nd, Myerstown’s favorite groundhog “Uni” is placed on a raft for a ceremonial ride down the Tulpehocken Creek.  After his ride, he makes his weather prediction for the next six weeks. Since 1981, the Union Kanaal Grundsau Lodsch No. 17 has hosted the ceremony, which is performed in both English and the Pennsylvania Dutch language.",https://groundhog-day.com/images/ghogs/uni-the-groundhog.jpeg,19
24,grover-and-sue,Grover and Sue,Grover and Sue,Pine Grove,Pennsylvania,USA,40.5716175,-76.3676593,https://www.facebook.com/SweetArrowLake,https://www.facebook.com/SweetArrowLake/posts/pfbid02C8XQkEgg79Ptv2buPs6SBNBvoXSdwqe8PFpy8dAxBxYXa91Q7ukU5ZuFkqaKJZp9l,FALSE,Taxidermied groundhogs,TRUE,"Grover the Groundhog and Sweet Arrow Sue are a taxidermied groundhog couple representing Groundhog Lodge no. 5, from Pine Grove, Pennsylvania. Grover met with tragedy in a roadside accident but doesn’t let that get in the way of his duties as a public figure. He is an ambassador for his species, he predicts the weather, and he promotes recycling because he is recycled. Grover Pinebush was officially married to Sweet Arrow Sue in 2011, making them only married groundhog couple in Pennsylvania.",https://groundhog-day.com/images/ghogs/grover-and-sue.jpeg,17
25,ms-g,Ms. G,Ms. G,Lincoln,Massachusetts,USA,42.4094032,-71.333952300000007,https://www.facebook.com/MassAudubonDrumlinFarm,https://www.cbsnews.com/boston/news/massachusetts-groundhog-day-ms-g-drumlin-farm-early-spring/,TRUE,Groundhog,TRUE,"Ms. G has been the official state groundhog of Massachusetts since 2014, after a successful nomination effort from Hunnewell Elementary School students. Ms. G has health issues that prevent her from living alone in the wild, but she fills her day with visiting schools and community groups in her role as an ambassador of the natural world.",https://groundhog-day.com/images/ghogs/ms-g.jpeg,16
26,stormy-marmot,Stormy,Stormy Marmot,Aurora,Colorado,USA,39.6890151,-104.8269175,http://www.marmotadventures.com/php/index.php,"http://www.marmotadventures.com/php/story.php?2023-02-02,1",FALSE,Plush yellow-bellied marmot,TRUE,"Stormy Marmot is a plush yellow-bellied marmot from Aurora, Colorado. He is one of the few famous groundhogs west of the Mississippi. When he is not predicting the upcoming forecast, Stormy loves travelling the world (voyaging from Texas to Alaska to Hong Kong) and updating his fans on his various social media accounts.",https://groundhog-day.com/images/ghogs/stormy-marmot.jpeg,16
27,chuckles-the-groundhog,Chuckles,Chuckles the Groundhog,Manchester,Connecticut,USA,41.7555391,-72.5221167,https://lutzmuseum.org/special-events/groundhog-day/,https://www.wtnh.com/news/connecticut/connecticut-groundhog-chuckles-xi-to-make-prognostication-for-groundhogs-day/,TRUE,Groundhog,TRUE,"Chuckles (XI) presides over the annual Groundhog Day ceremony in Connecticut. Before making his prediction, the 8-month-old groundhog was sworn in as the official state groundhog by the former town mayor, then whispered his prediction into the ear of current mayor. Chuckles comes from a long line of furry prognosticators and resides at the Lutz Children’s Museum, the traditional residence of the Chuckles’.",https://groundhog-day.com/images/ghogs/chuckles-the-groundhog.jpeg,15
28,stonewall-jackson,Stonewall,Stonewall Jackson,Wantage,New Jersey,USA,41.2109112,-74.6968543,https://www.facebook.com/spacefarms,https://www.facebook.com/spacefarms/posts/pfbid02KNshAJfDQ9VrA5QNqN6xe9NPf4eAiL6AV1Zc1dKV4r3aJJg98APZVXTefUhK3Kefl,TRUE,Groundhog,TRUE,"Stonewall Jackson (VI) is a weather-predicting groundhog from Wantage, New Jersey, where he lives on Space Farms. Stonewall is still “in training” but he is from a proud prognosticating dynasty so he should have a leg up on other would-be weather-guessers.",https://groundhog-day.com/images/ghogs/stonewall-jackson.jpeg,15
29,flatiron-freddy,Freddy,Flatiron Freddy,Boulder,Colorado,USA,40.0247794,-105.2271559,https://twitter.com/boulderosmp,https://twitter.com/boulderosmp/status/1621176329742983168,FALSE,Taxidermied yellow-bellied marmot,TRUE,"Flatiron Freddy is a top hat-wearing, yellow-bellied marmot who became a Groundhog Day weather prognosticator about a decade ago. Freddy is stuffed — not with the secret wisdom of unforetold weather events, but with actual stuffing, having died some years ago. Freddy generally chooses to arrive in style: sometimes flying in via zipline, rolling up in a monster truck, or sliding in on his snowboard.",https://groundhog-day.com/images/ghogs/flatiron-freddy.jpeg,14
30,snohomish-slew,Slew,Snohomish Slew,Snohomish,Washington,USA,47.812527,-122.3818957,https://www.facebook.com/Thefrogturtlerescuelady/,https://www.facebook.com/Thefrogturtlerescuelady/posts/pfbid02H7PJq4KToY4kemB3QLeYLNFfkPwXLLVPXB8UPFoLFTaADJYaPg8kczyZLKqcyqX7l,FALSE,Bullfrog,TRUE,"Snohomish Slew, a frognosticating bullfrog, makes an annual Groundfrog Day weather forecast for the Pacific Northwest in downtown Snohomish. There is much accompanying pomp and ceremony. From Thayer Cueter, Slew’s handler: “The pinnacle celebration moment [is] when Slew whispers his frogcast to his favourite scribe in Groundfrogese. [The] gathered crowd will be ribbeted! by every transcribed word from Slew as he accurately predicts our winter weather fate for six more weeks.”",https://groundhog-day.com/images/ghogs/snohomish-slew.jpeg,14
31,two-rivers-tunnel,Tunnel,Two Rivers Tunnel,Cape Breton,Nova Scotia,Canada,45.9364617,-60.3005507,https://www.facebook.com/TwoRiversWildlifePark/,https://www.facebook.com/TwoRiversWildlifePark/videos/1914636798878260,TRUE,Groundhog,TRUE,"Two Rivers Tunnel is the official prognosticator for Cape Breton, located in Two Rivers Wildlife Park. Tunnel the groundhog lives in a charming green house and speaks in a distinct Groundhogese dialect — most likely native to Cape Breton, where he has been making predictions for over 20 years.",https://groundhog-day.com/images/ghogs/two-rivers-tunnel.jpeg,14
32,bee-cave-bob,Bob,Bee Cave Bob,Bee Cave,Texas,USA,30.304515,-97.93843,https://twitter.com/beecavebob,https://www.kvue.com/article/weather/bee-cave-bob-early-spring/269-d0663758-745d-4111-a44f-6beae877d734,FALSE,Armadillo,TRUE,"Bee Cave Bob has helped Texans predict the early arrival of spring or the prolongment of winter since 2010. Bob is part of a Groundhog Day secessionist movement: with founder T. Booth rechristening it “Armadillo Day,” and stating “we don’t need no mangy groundhog in Pennsylvania predicting the weather for us.” In addition to weather forecasts, Bob also predicts the upcoming year’s partisan lean.",https://groundhog-day.com/images/ghogs/bee-cave-bob.jpeg,13
33,chilly-charlie,Charlie,Chilly Charlie,Woodstock,Ontario,Canada,43.124424,-80.7544241,https://www.facebook.com/southgatectr,https://www.facebook.com/southgatectr/posts/pfbid02FmX2tZC9sh7DuUoNcU9qNPKhsVcyhC6RSYNEQoFNtHJn9hh8YQste74pHYT6h9p9l,FALSE,Person in a groundhog suit,TRUE,"Chilly Charlie is a groundhog mascot who makes the annual Groundhog Day prediction for Woodstock, Ontario. Woodstock’s traditional Groundhog Day celebration/pancake breakfast started in 2003, and has in recent years been modified to a drive-through format.",https://groundhog-day.com/images/ghogs/chilly-charlie.jpeg,13
34,fred-la-marmotte,Fred,Fred la Marmotte,Val-d’Espoir,Quebec,Canada,48.5143473,-64.3996831,https://www.fredlamarmotteofficielleduquebec.ca,,TRUE,Groundhog,FALSE,"Fred la marmotte was a prognosticating Quebecois groundhog from Val-d’Espoir in the Gaspésie, Quebec before retiring in 2023. Overwhelmed by his gift of clairvoyance, Fred relied upon his handler and a mascot in his likeness to announce his prediction. Fred was unique in being the only weather-predicting groundhog whose habitat was located on a World Heritage Site, the “Géoparc mondial UNESCO de Percé.”",https://groundhog-day.com/images/ghogs/fred-la-marmotte.jpeg,13
35,middlemiss-mike,Mike,Middlemiss Mike,Melbourne,Ontario,Canada,42.8156259,-81.5525152,https://www.facebook.com/groups/1007977346248663,https://www.facebook.com/groups/1007977346248663/posts/1823563481356708/,FALSE,Plush prairie dog,TRUE,"Middlemiss Mike is a plush prairie dog prognosticator from Melbourne, Ontario. Jack Galbraith (pictured) started the event in 2007, remarking that weather predictions in faraway Punxatawney aren’t typically accurate in Ontario. Mike’s family grew over the years: in 2008 he met Melbourne Minnie, and in the following years they were blessed with children and friends: Little Wolfe, Maple, Leaf, Alby, and Bobby Jo. JoAnn Galbraith (Jack’s wife) carries on the now-famous tradition with the local village to help pass the winter blues.",https://groundhog-day.com/images/ghogs/middlemiss-mike.jpeg,13
36,beardsley-bart,Bart,Beardsley Bart,Bridgeport,Connecticut,USA,41.2097196,-73.1843214,https://www.facebook.com/ConnecticutsBeardsleyZoo,https://www.facebook.com/ConnecticutsBeardsleyZoo/posts/pfbid02PJMn7E8fMZkTCy3wcwT239maj6ioTJyxPBpaZDyen3wZSZY5jUeqd8iDUupYPKUel,FALSE,Prairie dog,TRUE,"Beardsley Bart is the principal prognosticating prairie dog at Connecticut’s Beardsley Zoo. His official title is Senior Spring Arrival Specialist. Every year, Beardsley Bart says that spring is coming eventually, and he has always been 100 percent correct.",https://groundhog-day.com/images/ghogs/beardsley-bart.jpeg,12
37,sand-mountain-sam,Sam,Sand Mountain Sam,Albertville,Alabama,USA,34.1666754,-86.1192772,https://twitter.com/wqsb_1051,https://twitter.com/wqsb_1051/status/1621143552586821639,FALSE,Opossum,TRUE,"Sand Mountain Sam is a legendary prognosticating opossum from Albertville, Alabama, who has been making predictions for over a decade. In 2020, the state game warden nearly cancelled the tradition (usually, having a possum as a pet is against the law), but in 2022 Sam returned, emerging from a whiskey barrel to predict an early spring.",https://groundhog-day.com/images/ghogs/sand-mountain-sam.jpeg,12
38,bowman-bill,Bill,Bowman Bill,Stephens City,Virginia,USA,39.1014751,-78.1945146,https://www.handleyregional.org/events/groundhog-day-bowman-bill,https://www.facebook.com/handleyregional/posts/pfbid028t2gL8vyG3Micfu1uZXLa9pgu74S7vgNB5VttCdcBpPBEZDB4QpiCQYeRTL8KHAUl,FALSE,Groundhog puppet,TRUE,"Bowman Bill is the resident puppet prognosticator at Bowman Library, in Stephens City, Virginia. Bill’s Groundhog Day ceremony includes awards, crafts, stories and ice cream: if Bill sees his shadow, the ice cream is topped with chocolate sauce. Not one to hog the limelight, Bill shares his Groundhog Day with two live groundhogs, Tiva and Luna, who come to the library to observe Bill’s technique first hand.",https://groundhog-day.com/images/ghogs/bowman-bill.jpeg,11
39,buffalo-bert,Bert,Buffalo Bert,Buffalo,New York,USA,42.7245868,-78.6732692,https://www.buffalogroundhogday.com,https://www.facebook.com/buffalogroundhogday/posts/pfbid02LWQ5fjJVDsCML7m4uFwEZ1YQGYb6WebwXrBMgDejbPdKzyEeysftysqnunzDQ2oKl,TRUE,Groundhog,TRUE,"Buffalo Bert is the official prognosticating groundhog for the city of Buffalo, New York, residing at the Hawk Creek Wildlife Refuge. Bert is the world’s most accurate weather prognosticator with a 100% accurate prediction rate. He was rescued as an orphan and now embraces serving the public. “Bert is a survivor, and was rescued for a reason,” says Tanya Lowe, Director of Wildlife Education, “Now he’s a Buffalo ambassador.” Like the fine citizens of Buffalo, Bert fears no weather and has never met a party he didn’t like.",https://groundhog-day.com/images/ghogs/buffalo-bert.jpeg,11
40,dover-doug,Doug,Dover Doug,Dover Township,Pennsylvania,USA,39.9979137,-76.8571679,https://www.linkedin.com/in/dover-doug/,https://www.wgal.com/article/groundhog-day-2023-south-central-pennsylvania-groundhogs-make-predictions/42734289,FALSE,Person in a groundhog suit,TRUE,"Dover Doug is a groundhog mascot who makes an annual Groundhog Day prediction in Pennsylvania’s Dover Township. Unlike traditional groundhogs, Doug doesn’t use his shadow, but rather an ‘interpretive dance’ Groundhogese variation (featuring hand movements, wiggles and head shakes) to deliver his prognostication to the attendant Burrow Master and Shadow Keeper. And with great results: a prior Burrow Master said Doug “has been making predictions for about 30 years and has always been 100 percent accurate.”",https://groundhog-day.com/images/ghogs/dover-doug.jpeg,11
41,fenwick-flossie,Flossie,Fenwick Flossie,Pelham,Ontario,Canada,43.0208392,-79.3629854,https://www.facebook.com/fabulousfenwicklions/,https://www.facebook.com/fabulousfenwicklions/posts/pfbid0o8dfArMP11nYrftTNC3WnWYVFDnbqqvdsYE5xWNxz4a2r3awZfeuU51wSNegu6Jzl,FALSE,Person in a groundhog suit,TRUE,"Fenwick Flossie is an adult-sized groundhog mascot organized by the local Lion’s Club in Fenwick, Ontario. Flossie is a non-gender mascot, given life by an octogenarian Lion’s club member who has suited up for the role each year for nearly three decades. The club prefers to not release the person’s identity to protect the mystery of who is channelling the woodchuck spirit.",https://groundhog-day.com/images/ghogs/fenwick-flossie.jpeg,11
42,lawrenceville-lucy,Lucy,Lawrenceville Lucy,Lawrenceville,Pennsylvania,USA,41.9735597,-77.201705,https://www.facebook.com/LawrencevilleLucy,https://www.facebook.com/LawrencevilleLucy/posts/pfbid0goaTZggrkS2Vnf72scF2LU98CfHRWfdcUovEnJLWTP2eBnTZ4ARQMqHdgsVftWqnl,TRUE,Groundhog,TRUE,"Lawrenceville Lucy is a wild groundhog living in a burrow overlooking Cowanesque Lake near Lawrenceville, Pennsylvania. Every year on February 2nd, she gives a very spirited prediction and updates her Facebook page with the news. Uncommonly in wild groundhogs, Lucy is partial to hot chocolate with marshmallows and chocolate sprinkles, but doesn’t let it interfere with her work of making accurate, unbiased predictions. ",https://groundhog-day.com/images/ghogs/lawrenceville-lucy.jpeg,11
43,mount-joy-minnie,Minnie,Mount Joy Minnie,Mount Joy,Pennsylvania,USA,40.1091208,-76.5043106,https://www.facebook.com/mountjoychamber,https://www.facebook.com/mountjoychamber/posts/pfbid02S1BhFVa8LJbWhfRH6bRv8CXyawyHeus76TECCqB7pmQqbMtuft33fq5iHip9b3mBl,FALSE,Plush groundhog,TRUE,"Mount Joy Minnie is a plush groundhog who makes an annual weather prediction for Mount Joy, Pennsylvania. Minnie wakes up bright and early every year on February 2nd to host a hot chocolate and doughnut breakfast where her handlers read out her official proclamation. In addition, Minnie hosts a crazy hat contest, which is even crazier than you are imagining. When she is off the clock, Minnie likes posting updates on Facebook and hanging out with her friend Ginger the cat.",https://groundhog-day.com/images/ghogs/mount-joy-minnie.jpeg,11
