city,country,description,location,state,state_abbrev,longitude,latitude,city_longitude,city_latitude
Calumet,United States,As you go in the old place back in 1903 a man was murdered but all sorts of orbs were seen and sightings and even screaming in the break of the night as you still go there you can hear screams and screams of a young girl that had died there her name was Elanda Rowe. The ghost of the great actress Helena Modjeska has also been seen here and is considered the resident ghost.,Calumet theatre,Michigan,MI,-88.45344229999999,47.24782339999999,-88.45400599999999,47.24659219999999
Canton,United States,"many legends about this rd. the bridge is said to be haunted by a woman who's child was killed by a car, she walks the bridge and you can hear the baby cry. dark figures chase your car and there is said to be a house on a side rd. that is haunted",Denton rd,Michigan,MI,-83.52522599999999,42.2853235,-83.48211599999999,42.3086444
Canton,United States,"The story goes that a group of kids were playing chicken near Denton Road bridge, and one of them proved to be chicken. His car swerved off the road when they reached the bridge, and crashed into the river below. Many people claim to see a light come out of river and chase their vehicle to the end of the road, if they stop at the center of the bridge at night.- November 2003 Update: the road has been reconfigured in that area and that the bridge no longer exists. That is not to say that the hauntings no longer occur.",Denton Road Bridge,Michigan,MI,-83.52522599999999,42.2853235,-83.48211599999999,42.3086444
Canton,United States,"Old Frank's Nursery & Crafts - Employees of this store were said to hear moaning after closing, along with merchandise falling off shelves. Other employees even said to be pushed by the spirit.",Ford Road,Michigan,MI,-83.4895295,42.3218667,-83.48211599999999,42.3086444
Canton,United States,Reports of whispers heard and cars being pushed.,Gyde Rd.,Michigan,MI,-83.5177329,42.3428997,-83.48211599999999,42.3086444
Cass City,United States,"Back in the 1800's a young lady got in a horse and buggy accident. Her buggy wheel went off the bridge and flipped, she drown in 2 feet of water. On foggy summer night you can see her hand come up over the road and hear her please for help!",Crawford Rd. bridge,Michigan,MI,-83.1334217,43.5727986,-83.17466929999999,43.6008515
Central Lake,United States,"The Lamplights Inn has been a landmark in Central Lake since 1924. It was built in the very early 1900s. Beginning in the early '50s, the successive owners have had persistent reports of ghosts. A man and woman dressed in late '20s - early '30s garb have been seen many times over the years, not only by owners' families, but also by employees and customers alike. The descriptions are uncannily similar. A customer recently reported the man and woman ghosts dancing together in the bar area with a little girl ghost looking on. These ghosts also window peep (on the second floor). They certainly appear to be fun loving. Another story tells of the daughter of a former hotel manager, who was preparing to elope with her fiancée, and tripped on her gown while descending the ladder. She fell to her death and returns to walk the hallway upstairs in her wedding gown. And, it is a fact that Mrs. Gill who, with her husband, were the first managers of the hotel, returned and lived out her remaining years at the hotel. She died in the early '50s in one of the upstairs bedrooms. Many people have reported seeing her stand in the upstairs window looking onto the village. In 1979 Ted Strzempek bought the lamplight he said he was in the upstairs hallway painting when a women in a white dress ran by him and through all the boxes he had stacked by the wall she ran into a bedroom and he ran in after her only to find an empty room. The Murphy's now own the lamplight and if you ask them if the lamplight is haunted they will not deny it.",Murphy's Lamplight Inn,Michigan,MI,-85.264923,45.0720901,-85.2645105,45.0700047
Charlevoix,United States,This spot is said to be haunted by a ghost believed to be in his late teens to early 20's who died in the grinder of the old mill that used to stand on the site.,Weathervane Restaurant,Michigan,MI,-85.25928429999999,45.3192451,-85.2584004,45.3180632
Charlotte,United States,when you are in the bottom of the theatre you will feel a coldness breeze and people say that is Rick Eaton the theatre was named after him. he died in 1923 and the theatre was built in 1902. Rick was a nice guy and his poor wife killed herself on the bottom below the upstairs and she shot herself and the bottom was where Rick died. he was up on the little balcony in the bottom and he was painting and he fell off.,Eaton Theatre,Michigan,MI,-84.8354913,42.56126099999999,-84.83582109999999,42.5636478
Charlotte,United States,people say that in the Charlotte Jr. High the old ISS room use to be a freezer room. They say back in the 60's a older man that was a teacher threw a kid in the freezer room. He got frostbitten and dies! Now the kids there say when they get in trouble and go in the ISS room the little boy haunts them.,Old Charlotte Jr. High,Michigan,MI,-84.85648599999999,42.5556987,-84.83582109999999,42.5636478
Cheboygan,United States,An old farmer went insane and killed his family and then himself. If you go out to the site at night you feel overwhelmed by fright. And never take a stone from the tomb you will be dealt with in a not so nice matter. 2 people drove over the tomb on purpose and there truck just died for no reason. There friends in a car behind them had the steering wheel jerked and they crashed into a tree.,Hikyes Tomb,Michigan,MI,,,-84.4744795,45.64695630000001
Cheboygan,United States,January 2007 has been removed,Pellston,Michigan,MI,-84.7839364,45.552789,-84.4744795,45.64695630000001
Cheboygan,United States,"Years ago there was a terrible train accident and when the train tipped over there was a man who was badly hurt and the wreck jogged his mind so much that he started to beat his skull against the stump of an old tree. In the process of doing so, he asked himself ""why am I hear""?. Well, he beat himself to death until his skull cracked wide open. At 1:00am in the morning you can still hear the ghost of the man saying why am I here as he beats his head on the stump.",Where the old Train Station used to be,Michigan,MI,,,-84.4744795,45.64695630000001
Chelsea,United States,Reports that lockers slam when no ones there and in the girls bathroom you here the toilets flush and whispers heard and behind the stage you can feel an odd presents in there when your alone.,Beach Middle School,Michigan,MI,-84.0096366,42.3182386,-84.0205029,42.3180919
Chelsea,United States,"in the dark, you can feel an odd presence of someone else there with you. There have been reports of ghost sitings near the operation rooms.",Chelsea hospital,Michigan,MI,-84.0165056,42.3104227,-84.0205029,42.3180919
Chelsea,United States,"The foundation of the house is still there. They say at night the house reappears. Also at the back of the house, there are slave house's and old barn which are said to be haunted.",Pink Palace,Michigan,MI,,,-84.0205029,42.3180919
Chesaning,United States,"Store merchandise has been found moved when stores are opened in the morning. Employees hair pulled, employee shoved, voices can be heard at night. A Santa decoration was seen by 3 eye witnesses as it lifted from a table and was sat down on the floor outside a store. Transparent images of a woman and man seen separately over periods of time. Numerous unexplainable events occurring since mall opened in 1985. Unknown before this date. A smallpox outbreak in 1837 devastated some of the last remaining Indians in this area before the village of Chesaning was started.",Chesaning Market Street Square (a mini mall with indoor shops),Michigan,MI,,,-84.11497469999999,43.1847483
Clarksdale,United States,It is said that late at night if you go over the Sunflower Bridge...turn off your car and roll down your windows that the cries of help and people yelling could be heard.,Sunflower Bridge,Michigan,MI,-83.3426114,42.7150605,-83.4192941,42.7351196
Clarkston,United States,Closed Down- Sightings of people around the cinema. scratching and bumping noises heard every night. Shadows of people running on the screen. Little girl sits on the stage.,Clarkston Cinema,Michigan,MI,-83.43415,42.660509,-83.4192941,42.7351196
Clarkston,United States,In the late 1800 a man was slaughtered off of what is now dixie and white lake road. Reports from employee's say that the man comes out at night and walks towards deer lake raquet club and back to cvs.,CVS off dixie us 20,Michigan,MI,-83.426161,42.7229641,-83.4192941,42.7351196
Clinton Township,United States,"In the woods right off Hayes and 18 there is a small cemetery that has about 30 stones, most of them dating back to the 1800's and its said that if you come alone to the cemetery at 12:00 at night on a Friday you will very loud whispers in the woods that corner the whole cemetery and if you brave enough to stay longer the whispers come closer until there right in front of your face",18 mile road and Hayes,Michigan,MI,-82.97202519999999,42.5975415,-82.9195514,42.5868882
Clinton Township,United States,"There have been several acts of violence here. About 20 years ago a man escaped from a mental home and broke into the front office. In the process he broke several windows, trashed the place, slit his wrists and neck, and was found by the sales staff in the morning wrapped in a blanket talking to himself. He did not die but it was a very violent experience. 10 or so years ago a man was distressed over losing his parents and shot himself in the head overnight on top of his parent s grave. Several of the grounds crew have seen a man dematerialize in the same area a few times. This was in the summit hill garden which is the oldest garden in the cemetery. In the day or night there can be an overwhelming feeling of being watched. About 6 or 7 years ago there was a sales manager who quit after seeing an Indian in the sales office walk thru a wall. There is also a story not verified that a police officer shot a teenager on the grounds and the boy died and was buried there. In the months following the cop went mad and one night was caught wearing camouflage and face paint digging up the boy that he killed. There have also been a few graves that people have tried to dig up but have failed since the vault lids are VERY heavy. Whispers and screams have been heard.",Cadillac Memorial Gardens East,Michigan,MI,-82.9564118,42.5811627,-82.9195514,42.5868882
Clinton Township,United States,"In the Spring, Summer, and sometimes early Fall, some of the streets will have fog only at the end of them, and there will be Shadows of teenager looking people walking down the middle of the street. Also, sometimes if you cross the middle of the streets you feel a temperature drop repeatedly.",Chateau Clinton Trailer Park,Michigan,MI,-82.9707913,42.5764741,-82.9195514,42.5868882
Clinton County,United States,R.B.W. (Rodney B. Wilson) - People have said to hear a noise from the hall ways like a drum beating after closing hours when only the janitors are there.,St. Johns,Michigan,MI,-84.55915209999999,43.001143,-84.5222189,42.9663458
