date,time,size,version,os,country,ip_id
2018-10-23,00:15:06,83023632,3.5.1patched,win,US,34
2018-10-23,05:47:27,74976620,3.3.3,osx,RU,74
2018-10-23,05:47:34,515,3.1.1,src,NA,28
2018-10-23,05:47:38,515,3.1.1,src,NA,28
2018-10-23,05:47:52,82976273,3.5.1,win,CN,75
2018-10-23,05:48:36,82971492,3.5.1,win,US,76
2018-10-23,05:48:41,82976948,3.5.1,win,IN,55
2018-10-23,05:48:51,506,3.1.1,src,NA,28
2018-10-23,05:48:46,917556,3.5.1,win,NA,28
2018-10-23,05:49:08,82979177,3.5.1,win,IL,77
2018-10-23,05:50:03,77631088,3.5.1,osx,HK,78
2018-10-23,18:00:41,82877755,3.5.1,win,FR,79
2018-10-23,18:00:42,83040458,3.5.1patched,win,US,42
2018-10-23,18:00:00,82973245,3.5.1,win,ZA,80
2018-10-23,18:01:34,82974121,3.5.1,win,US,81
2018-10-23,18:01:45,82973481,3.5.1,win,US,82
2018-10-23,18:01:46,82972458,3.5.1,win,US,83
2018-10-23,18:01:57,82969846,3.5.1,win,US,83
2018-10-23,18:02:36,83040495,3.5.1patched,win,US,15
2018-10-23,18:02:52,77630433,3.5.1,osx,NA,28
2018-10-23,18:02:41,82877758,3.5.1,win,CO,84
2018-10-23,18:03:11,73213617,3.2.4,osx,US,37
2018-10-23,18:03:16,82877759,3.5.1,win,AR,85
2018-10-23,18:03:18,83039603,3.5.1patched,win,US,42
2018-10-23,18:03:23,82975170,3.5.1,win,NA,28
2018-10-23,18:03:36,82968934,3.5.1,win,UA,86
2018-10-23,18:03:56,82975624,3.5.1,win,IL,87
2018-10-23,18:03:54,83039653,3.5.1patched,win,US,34
2018-10-23,18:03:59,77630862,3.5.1,osx,US,88
2018-10-23,18:04:19,83039242,3.5.1patched,win,US,70
2018-10-23,18:04:26,77630287,3.5.1,osx,PL,89
2018-10-23,18:04:29,77629542,3.5.1,osx,GB,90
2018-10-23,18:04:50,82970782,3.5.1,win,US,91
2018-10-23,18:05:10,83619170,devel,win,US,92
2018-10-23,18:05:16,77630172,3.5.1,osx,IL,93
2018-10-23,18:05:20,82968748,3.5.1,win,DE,94
2018-10-23,18:05:27,82974192,3.5.1,win,NA,28
2018-10-23,10:25:51,82973122,3.5.1,win,GB,95
2018-10-23,10:25:49,82975516,3.5.1,win,ES,96
2018-10-23,10:26:13,6602384,3.5.1,win,NA,28
2018-10-23,10:26:37,82969621,3.5.1,win,NL,97
2018-10-23,10:27:08,82972644,3.5.1,win,DE,98
2018-10-23,10:27:09,82972561,3.5.1,win,TW,99
2018-10-23,10:27:41,82975193,3.5.1,win,EU,100
2018-10-23,10:27:54,82975937,3.5.1,win,IN,101
2018-10-23,10:28:02,82974460,3.5.1,win,FI,102
2018-10-23,10:28:28,83028599,3.5.1patched,win,US,33
2018-10-23,10:28:47,82877755,3.5.1,win,GB,103
2018-10-23,10:28:48,82969350,3.5.1,win,BR,104
2018-10-23,10:28:55,82972942,3.5.1,win,DE,105
2018-10-23,10:29:25,82971804,3.5.1,win,DE,106
2018-10-23,10:29:42,82971385,3.5.1,win,PL,107
2018-10-23,10:29:40,82973940,3.5.1,win,DE,108
2018-10-23,10:30:03,82973300,3.5.1,win,IE,109
2018-10-23,10:30:31,77630197,3.5.1,osx,NA,28
2018-10-23,22:41:02,82974766,3.5.1,win,US,110
2018-10-23,22:41:19,82975172,3.5.1,win,US,111
2018-10-23,22:41:13,77352477,3.4.4,osx,US,37
2018-10-23,22:41:23,82973452,3.5.1,win,NA,28
2018-10-23,22:42:46,77633627,3.5.1,osx,NA,28
2018-10-23,22:42:55,83040906,3.5.1patched,win,US,92
2018-10-23,22:36:51,82968766,3.5.1,win,US,112
2018-10-23,22:44:08,82974329,3.5.1,win,US,110
2018-10-23,22:44:07,78105149,latest,osx,US,37
2018-10-23,22:45:28,82976213,3.5.1,win,US,15
2018-10-23,23:20:49,82969478,3.5.1,win,US,113
2018-10-23,23:20:55,82877759,3.5.1,win,US,114
2018-10-23,23:20:56,83040565,3.5.1patched,win,US,69
2018-10-23,23:20:57,74889266,3.3.3,osx,US,37
2018-10-23,23:21:14,82971134,3.5.1,win,CO,115
2018-10-23,23:21:15,29813366,3.5.1,src,NA,28
2018-10-23,23:21:39,82375202,3.4.3,win,BR,116
2018-10-23,23:21:51,82972942,3.5.1,win,US,117
2018-10-23,23:22:34,77355844,3.4.4,osx,US,37
2018-10-23,23:23:04,83037992,3.5.1patched,win,US,69
2018-10-23,23:23:12,18911045,3.5.1,win,US,118
2018-10-23,23:23:15,82551338,3.4.4,win,US,34
2018-10-23,23:23:37,77266228,3.4.4,osx,US,37
2018-10-23,23:23:50,78015789,latest,osx,US,37
2018-10-23,23:24:07,77628793,3.5.1,osx,BR,119
2018-10-23,23:24:00,82973578,3.5.1,win,HK,120
2018-10-23,23:24:28,77631106,3.5.1,osx,AU,121
2018-10-23,23:24:40,82877758,3.5.1,win,US,122
2018-10-23,18:30:52,82975166,3.5.1,win,GB,123
2018-10-23,18:31:26,78015788,latest,osx,US,37
2018-10-23,18:31:30,82968938,3.5.1,win,US,124
2018-10-23,18:31:35,82972281,3.5.1,win,IN,125
2018-10-23,18:31:38,42189,devel,win,RU,126
2018-10-23,18:31:51,82972331,3.5.1,win,US,127
2018-10-23,18:32:06,82877759,3.5.1,win,NA,28
2018-10-23,18:32:08,82976323,3.5.1,win,GB,128
2018-10-23,18:32:25,82973829,3.5.1,win,MX,129
2018-10-23,18:32:29,83038892,3.5.1patched,win,US,70
2018-10-23,18:32:38,82970418,3.5.1,win,ES,130
2018-10-23,18:32:21,82970666,3.5.1,win,BR,131
2018-10-23,18:32:43,82971970,3.5.1,win,US,132
2018-10-23,18:32:49,83037694,3.5.1patched,win,US,13
2018-10-23,18:32:59,29813370,3.5.1,src,US,133
2018-10-23,18:32:52,83520541,devel,win,RU,134
2018-10-23,18:33:23,82968785,3.5.1,win,US,135
2018-10-23,18:33:16,82969548,3.5.1,win,LV,136
2018-10-23,18:33:29,82972276,3.5.1,win,FI,137
2018-10-23,18:33:36,82973680,3.5.1,win,TR,138
2018-10-23,18:33:56,83045425,3.5.1patched,win,US,82
2018-10-23,18:34:09,82974518,3.5.1,win,JP,139
2018-10-23,18:34:40,77632265,3.5.1,osx,GB,140
2018-10-23,18:34:56,82973636,3.5.1,win,CA,141
2018-10-23,18:35:11,82973231,3.5.1,win,US,142
2018-10-23,18:35:16,77628668,3.5.1,osx,FR,143
2018-10-23,00:50:53,74286525,3.3.3,win,CO,144
2018-10-23,00:51:12,82968712,3.5.1,win,KR,145
2018-10-23,00:51:55,83025512,3.5.1patched,win,US,146
2018-10-23,00:52:00,83022696,3.5.1patched,win,US,34
2018-10-23,00:52:04,29852939,3.5.1,src,AU,147
2018-10-23,00:52:30,82877759,3.5.1,win,US,148
2018-10-23,00:52:38,78102973,latest,osx,US,37
2018-10-23,00:52:58,82973473,3.5.1,win,CN,149
2018-10-23,00:54:32,83602221,devel,win,US,15
2018-10-23,00:54:34,83599874,devel,win,US,15
2018-10-23,00:54:38,82877758,3.5.1,win,KR,150
2018-10-23,15:00:14,77631009,3.5.1,osx,US,151
2018-10-23,15:00:14,82972420,3.5.1,win,ES,152
2018-10-23,15:00:18,82973230,3.5.1,win,RO,153
2018-10-23,15:00:28,82977397,3.5.1,win,CN,154
2018-10-23,17:21:08,78015788,latest,osx,US,37
2018-10-23,17:21:15,82968757,3.5.1,win,US,155
2018-10-23,17:22:14,83039188,3.5.1patched,win,US,146
2018-10-23,17:22:16,82877755,3.5.1,win,CA,156
2018-10-23,17:22:49,82877758,3.5.1,win,US,157
2018-10-23,17:22:47,82973878,3.5.1,win,US,158
2018-10-23,17:22:47,82974228,3.5.1,win,NA,28
2018-10-23,17:23:23,82971250,3.5.1,win,NA,28
2018-10-23,17:23:30,82972053,3.5.1,win,MX,159
2018-10-23,17:23:43,78105283,latest,osx,US,37
2018-10-23,17:24:29,74373241,3.3.3,win,US,69
2018-10-23,17:24:39,82973411,3.5.1,win,US,160
2018-10-23,17:24:50,77630491,3.5.1,osx,US,161
2018-10-23,17:24:53,77626840,3.5.1,osx,US,162
2018-10-23,17:24:47,82973680,3.5.1,win,UY,163
2018-10-23,17:25:19,82973886,3.5.1,win,US,164
2018-10-23,17:25:18,82973546,3.5.1,win,NL,165
2018-10-23,17:25:20,83039619,3.5.1patched,win,US,69
2018-10-23,17:25:30,82970656,3.5.1,win,US,166
2018-10-23,17:25:34,83043175,3.5.1patched,win,US,42
2018-10-23,17:25:33,82972596,3.5.1,win,US,167
2018-10-23,21:00:25,65662483,3.2.5,win,US,146
2018-10-23,21:00:22,82974193,3.5.1,win,NA,28
2018-10-23,15:15:41,83616554,devel,win,US,33
2018-10-23,15:15:51,82975216,3.5.1,win,NA,28
2018-10-23,15:15:48,82977099,3.5.1,win,US,168
2018-10-23,15:15:58,77629845,3.5.1,osx,CN,169
2018-10-23,15:16:02,82973077,3.5.1,win,BE,170
2018-10-23,15:16:09,82976570,3.5.1,win,NA,28
2018-10-23,15:16:59,83044516,3.5.1patched,win,US,82
2018-10-23,15:17:04,82877758,3.5.1,win,NA,28
2018-10-23,15:17:23,82976660,3.5.1,win,NA,28
2018-10-23,15:17:52,82968739,3.5.1,win,FR,171
2018-10-23,15:17:58,82974634,3.5.1,win,US,172
2018-10-23,15:18:24,77629386,3.5.1,osx,NA,28
2018-10-23,15:18:21,77629061,3.5.1,osx,TW,173
2018-10-23,15:19:00,82972688,3.5.1,win,CN,174
2018-10-23,15:19:16,77266228,3.4.4,osx,US,37
2018-10-23,15:19:29,82968704,3.5.1,win,IT,175
2018-10-23,15:19:58,77629659,3.5.1,osx,NA,28
2018-10-23,15:20:02,82551850,3.4.4,win,US,11
2018-10-23,15:20:17,78104039,latest,osx,US,37
2018-10-23,15:20:31,83045874,3.5.1patched,win,US,70
2018-10-23,09:00:05,82971048,3.5.1,win,KR,176
2018-10-23,17:36:00,74286529,3.3.3,win,US,177
2018-10-23,17:36:04,82972131,3.5.1,win,US,178
2018-10-23,17:36:07,46881205,3.5.1,win,EC,179
2018-10-23,17:36:05,82971851,3.5.1,win,TR,180
2018-10-23,17:36:19,78103651,latest,osx,US,37
2018-10-23,17:36:18,82877759,3.5.1,win,CA,181
2018-10-23,17:36:46,82973336,3.5.1,win,US,11
2018-10-23,17:36:49,82971751,3.5.1,win,JP,182
2018-10-23,17:36:50,83041607,3.5.1patched,win,US,69
2018-10-23,17:36:58,83037577,3.5.1patched,win,US,13
2018-10-23,17:37:01,82877759,3.5.1,win,UA,183
2018-10-23,17:37:14,82969763,3.5.1,win,NA,28
2018-10-23,17:37:19,77629785,3.5.1,osx,US,184
2018-10-23,17:37:35,77632616,3.5.1,osx,NA,28
2018-10-23,17:37:39,83041563,3.5.1patched,win,US,11
2018-10-23,17:37:59,73213613,3.2.4,osx,US,37
2018-10-23,17:38:05,78015785,latest,osx,US,37
2018-10-23,17:38:10,77540673,3.5.1,osx,US,185
2018-10-23,17:38:19,82877755,3.5.1,win,CL,186
2018-10-23,17:38:19,82877758,3.5.1,win,CA,156
2018-10-23,17:38:47,82974300,3.5.1,win,CA,187
2018-10-23,17:38:47,82968709,3.5.1,win,MX,188
2018-10-23,17:38:51,82553193,3.4.4,win,US,92
2018-10-23,17:38:57,83039802,3.5.1patched,win,CZ,189
2018-10-23,17:39:09,82970548,3.5.1,win,US,190
2018-10-23,17:39:18,82877755,3.5.1,win,DK,191
2018-10-23,17:39:27,82971385,3.5.1,win,NA,28
2018-10-23,17:39:31,29847884,3.5.1,src,CA,192
2018-10-23,17:39:27,29846240,3.5.1,src,PL,193
2018-10-23,17:39:43,77628333,3.5.1,osx,US,194
2018-10-23,17:39:52,82968747,3.5.1,win,AR,195
2018-10-23,17:39:48,82551140,3.4.4,win,US,34
2018-10-23,17:40:04,74889266,3.3.3,osx,US,37
2018-10-23,17:40:35,29813366,3.5.1,src,US,133
2018-10-23,17:40:35,82969126,3.5.1,win,PL,193
2018-10-23,12:35:56,82977055,3.5.1,win,LT,196
2018-10-23,12:36:16,83037497,3.5.1patched,win,US,42
2018-10-23,12:36:34,77628787,3.5.1,osx,US,197
2018-10-23,12:36:27,82968713,3.5.1,win,FR,198
2018-10-23,12:36:28,77627181,3.5.1,osx,AU,199
2018-10-23,12:37:28,77629290,3.5.1,osx,NA,28
2018-10-23,12:37:27,77295319,3.4.3,osx,US,37
2018-10-23,12:37:29,112296,3.5.1,win,NA,28
2018-10-23,12:37:39,506323,3.5.1,win,IN,200
2018-10-23,12:37:43,78107756,3.5.0,osx,US,37
2018-10-23,12:37:50,109291,3.5.1,win,NA,28
2018-10-23,12:38:05,82552759,3.4.4,win,US,15
2018-10-23,12:38:30,82973645,3.5.1,win,US,201
2018-10-23,12:38:53,82969378,3.5.1,win,CL,202
2018-10-23,12:39:00,1042458,3.5.1,src,CN,203
2018-10-23,12:39:07,82877755,3.5.1,win,CA,204
2018-10-23,12:39:14,82975804,3.5.1,win,US,205
2018-10-23,12:39:26,901570,3.5.1,win,KE,206
2018-10-23,12:39:30,2031227,3.5.1,win,KE,206
2018-10-23,12:39:41,83037496,3.5.1patched,win,US,13
2018-10-23,12:39:43,82877759,3.5.1,win,IT,207
2018-10-23,12:39:41,82972749,3.5.1,win,CN,208
2018-10-23,12:40:02,30200626,3.4.1,src,IT,209
2018-10-23,12:40:10,77628036,3.5.1,osx,JP,210
2018-10-23,12:40:18,82975532,3.5.1,win,RU,211
2018-10-23,00:00:32,82973420,3.5.1,win,ES,212
2018-10-23,00:00:36,82877759,3.5.1,win,FR,79
2018-10-23,00:00:42,83025737,3.5.1patched,win,US,11
2018-10-23,00:00:59,83024316,3.5.1patched,win,US,33
2018-10-23,00:01:11,82877758,3.5.1,win,BE,213
2018-10-23,00:01:34,82970680,3.5.1,win,US,92
2018-10-23,00:01:23,82977134,3.5.1,win,NG,214
2018-10-23,00:02:15,83028362,3.5.1patched,win,US,82
2018-10-23,00:02:47,82974200,3.5.1,win,US,82
2018-10-23,00:02:45,82970575,3.5.1,win,US,42
2018-10-23,00:02:56,83023137,3.5.1patched,win,US,33
2018-10-23,00:03:21,82972860,3.5.1,win,US,15
2018-10-23,00:03:17,82974622,3.5.1,win,MX,215
2018-10-23,00:04:02,82972769,3.5.1,win,CA,216
2018-10-23,00:03:39,82977317,3.5.1,win,VN,217
2018-10-23,00:04:04,77629656,3.5.1,osx,JP,218
2018-10-23,00:04:21,82550769,3.4.4,win,US,82
2018-10-23,00:04:31,82969476,3.5.1,win,US,92
2018-10-23,00:04:38,77628885,3.5.1,osx,NA,28
2018-10-23,00:04:39,11439429,3.4.2,src,US,219
2018-10-23,00:04:42,83023433,3.5.1patched,win,US,13
2018-10-23,00:05:01,77629135,3.5.1,osx,CA,220
2018-10-23,00:05:04,77628127,3.5.1,osx,NA,28
2018-10-23,00:05:19,82973266,3.5.1,win,US,221
2018-10-23,20:05:48,74889266,3.3.3,osx,US,37
2018-10-23,20:05:58,82975300,3.5.1,win,CZ,222
2018-10-23,20:05:33,82977187,3.5.1,win,NA,28
2018-10-23,20:06:25,83040773,3.5.1patched,win,US,15
2018-10-23,20:06:13,82968758,3.5.1,win,US,223
2018-10-23,20:06:47,77540673,3.5.1,osx,US,224
2018-10-23,20:06:49,83040312,3.5.1patched,win,US,15
2018-10-23,20:06:31,82877758,3.5.1,win,NA,28
2018-10-23,20:07:32,77266228,3.4.4,osx,US,37
2018-10-23,20:07:32,82973832,3.5.1,win,IN,225
2018-10-23,20:08:36,83039762,3.5.1patched,win,US,34
2018-10-23,20:09:04,82972610,3.5.1,win,US,226
2018-10-23,20:09:10,82974949,3.5.1,win,US,227
2018-10-23,20:09:35,83037289,3.5.1patched,win,US,228
2018-10-23,20:09:45,82971582,3.5.1,win,GB,229
2018-10-23,20:09:55,77632827,3.5.1,osx,US,230
2018-10-23,20:09:56,82974229,3.5.1,win,US,13
2018-10-23,20:09:56,77632414,3.5.1,osx,US,231
2018-10-23,20:10:23,83615879,devel,win,US,69
2018-10-23,11:00:15,1095048,3.5.1,osx,IN,232
2018-10-23,11:00:30,82877755,3.5.1,win,FR,79
2018-10-23,09:10:38,77632213,3.5.1,osx,NA,28
2018-10-23,09:10:52,49968180,3.5.1,win,ES,233
2018-10-23,09:10:57,82877759,3.5.1,win,DE,234
2018-10-23,09:10:51,78015788,latest,osx,US,37
2018-10-23,09:11:10,82968712,3.5.1,win,ES,235
2018-10-23,09:11:12,83029238,3.5.1patched,win,US,42
2018-10-23,09:11:15,1722565,3.5.1,win,CN,236
2018-10-23,09:11:49,82972491,3.5.1,win,DE,237
2018-10-23,09:12:06,852466,3.5.1,win,JP,238
2018-10-23,09:12:07,2317835,3.5.1,win,JP,238
2018-10-23,09:12:29,82974652,3.5.1,win,JP,239
2018-10-23,09:12:50,83454109,3.5.0,win,NA,28
2018-10-23,09:13:07,78192336,3.4.0,win,NA,28
2018-10-23,09:13:35,1065674,3.5.1,osx,JP,240
2018-10-23,09:13:39,1080975,3.5.1,osx,JP,240
2018-10-23,09:14:52,82972841,3.5.1,win,US,241
2018-10-23,09:15:02,82877759,3.5.1,win,CH,242
2018-10-23,09:15:20,83602213,devel,win,US,69
2018-10-23,09:15:16,82970566,3.5.1,win,CN,243
2018-10-23,09:15:19,83029049,3.5.1patched,win,US,146
2018-10-23,09:15:21,77628892,3.5.1,osx,DE,244
2018-10-23,05:36:23,82877759,3.5.1,win,JP,245
2018-10-23,05:37:23,82974391,3.5.1,win,VN,246
2018-10-23,05:38:39,83031514,3.5.1patched,win,US,92
2018-10-23,05:38:38,7014077,3.5.1,win,RU,247
2018-10-23,05:39:05,82877755,3.5.1,win,TR,248
2018-10-23,05:39:57,28607075,3.1.1,src,NA,28
2018-10-23,05:39:59,513,3.1.1,src,NA,28
2018-10-23,05:39:56,506,3.1.1,src,NA,28
2018-10-23,21:05:59,82976352,3.5.1,win,DE,249
2018-10-23,21:06:23,82975674,3.5.1,win,MA,250
2018-10-23,21:06:23,83041977,3.5.1patched,win,US,228
2018-10-23,21:06:26,83618849,devel,win,US,11
2018-10-23,21:06:35,82971547,3.5.1,win,DE,251
2018-10-23,21:06:40,82973776,3.5.1,win,US,252
2018-10-23,21:06:52,82877755,3.5.1,win,AU,253
2018-10-23,21:06:57,74889266,3.3.3,osx,US,37
2018-10-23,21:07:19,83040404,3.5.1patched,win,US,82
2018-10-23,21:07:43,1076489,3.3.3,osx,NA,28
2018-10-23,21:07:51,74971907,3.3.3,osx,NA,28
2018-10-23,21:07:52,77540677,3.5.1,osx,EC,254
2018-10-23,21:08:00,82973200,3.5.1,win,US,255
2018-10-23,21:08:07,82972484,3.5.1,win,US,256
2018-10-23,21:08:29,10689105,2.0.0,src,US,257
2018-10-23,21:08:41,82973721,3.5.1,win,NA,28
2018-10-23,21:08:48,83042834,3.5.1patched,win,US,33
2018-10-23,21:09:27,82970574,3.5.1,win,MX,258
2018-10-23,21:09:49,82969711,3.5.1,win,US,259
2018-10-23,21:10:09,82974705,3.5.1,win,US,260
2018-10-23,21:10:20,77631419,3.5.1,osx,US,261
2018-10-23,21:10:36,83618308,devel,win,US,11
2018-10-23,12:30:41,82877758,3.5.1,win,DE,262
2018-10-23,12:31:15,82971897,3.5.1,win,NA,28
2018-10-23,12:31:52,82973022,3.5.1,win,FR,263
2018-10-23,12:32:04,82877758,3.5.1,win,IN,200
2018-10-23,12:32:03,82972056,3.5.1,win,CN,264
2018-10-23,12:33:37,77625785,3.5.1,osx,EU,265
2018-10-23,12:34:26,82555032,3.4.4,win,KR,266
2018-10-23,12:35:02,77635184,3.5.1,osx,US,267
2018-10-23,07:50:55,82973834,3.5.1,win,NL,268
2018-10-23,07:50:59,82877758,3.5.1,win,FR,269
2018-10-23,07:51:31,82877755,3.5.1,win,IN,51
2018-10-23,07:51:37,78015788,latest,osx,US,37
2018-10-23,07:52:23,82877758,3.5.1,win,GB,270
2018-10-23,07:52:37,78115868,latest,osx,US,37
2018-10-23,07:52:39,82971925,3.5.1,win,LT,271
2018-10-23,07:52:46,82976534,3.5.1,win,DE,272
2018-10-23,07:52:39,74286525,3.3.3,win,US,273
2018-10-23,07:53:39,82971366,3.5.1,win,DE,274
2018-10-23,07:53:59,2566168,3.5.1,win,NA,28
2018-10-23,07:54:03,83029597,3.5.1patched,win,US,69
2018-10-23,07:54:41,82971604,3.5.1,win,TW,275
2018-10-23,07:54:50,82877755,3.5.1,win,AU,276
2018-10-23,07:55:16,82972807,3.5.1,win,CN,277
2018-10-23,07:55:23,82971772,3.5.1,win,FR,278
2018-10-23,13:00:05,82971295,3.5.1,win,NA,28
2018-10-23,13:00:18,82877755,3.5.1,win,FR,79
2018-10-23,13:00:20,78015788,latest,osx,US,37
2018-10-23,13:00:23,78015788,latest,osx,US,37
2018-10-23,13:00:22,78015788,latest,osx,US,37
2018-10-23,13:00:28,78107801,latest,osx,US,37
2018-10-23,13:00:23,82877758,3.5.1,win,DE,279
2018-10-23,15:10:56,82971978,3.5.1,win,US,280
2018-10-23,15:10:42,82877759,3.5.1,win,AT,281
2018-10-23,15:11:09,31540263,3.5.1,win,ES,282
2018-10-23,15:11:19,77540673,3.5.1,osx,FI,283
2018-10-23,15:11:45,73213613,3.2.4,osx,US,37
2018-10-23,15:11:54,77629515,3.5.1,osx,NA,28
2018-10-23,15:11:39,4959923,3.5.1,win,SZ,284
2018-10-23,15:12:39,83042221,3.5.1patched,win,US,11
2018-10-23,15:12:41,83615248,devel,win,US,15
2018-10-23,15:12:49,1032903,3.5.1,win,VN,285
2018-10-23,15:13:03,82975291,3.5.1,win,US,286
2018-10-23,15:13:04,83038053,3.5.1patched,win,US,70
2018-10-23,15:13:15,74889266,3.3.3,osx,US,37
2018-10-23,15:13:15,13152629,3.5.1,win,VN,285
2018-10-23,15:13:05,82877759,3.5.1,win,AT,281
2018-10-23,15:13:45,77628571,3.5.1,osx,US,287
2018-10-23,15:13:57,29846602,3.5.1,src,GB,288
2018-10-23,15:14:08,82877755,3.5.1,win,NA,28
2018-10-23,15:14:08,82971769,3.5.1,win,US,289
2018-10-23,15:14:18,82877758,3.5.1,win,US,290
2018-10-23,15:14:24,82968649,3.5.1,win,CN,291
2018-10-23,15:14:59,82877755,3.5.1,win,US,292
2018-10-23,15:14:54,77629287,3.5.1,osx,SE,293
2018-10-23,15:15:00,77266232,3.4.4,osx,US,37
