date,total_membership,full_members,guests,daily_active_members,daily_members_posting_messages,weekly_active_members,weekly_members_posting_messages,messages_in_public_channels,messages_in_private_channels,messages_in_shared_channels,messages_in_d_ms,percent_of_messages_public_channels,percent_of_messages_private_channels,percent_of_messages_d_ms,percent_of_views_public_channels,percent_of_views_private_channels,percent_of_views_d_ms,name,public_channels_single_workspace,messages_posted
2017-11-12,430,430,0,61,7,124,22,10,0,0,25,0.2857,0,0.7143,0.828,0,0.172,0,24,10629
2017-11-13,429,429,0,68,13,125,25,27,0,0,4,0.871,0,0.129,0.9757,0,0.0243,0,24,10692
2017-11-14,429,429,0,61,11,128,26,11,0,0,11,0.5,0,0.5,0.8973,0,0.1027,0,24,10719
2017-11-15,429,429,0,50,8,124,26,9,0,0,123,0.0682,0,0.9318,0.4773,0,0.5227,0,24,10856
2017-11-16,429,429,0,32,0,122,24,0,0,0,0,0,0,0,0.9873,0,0.0127,0,24,10859
2017-11-17,429,429,0,29,4,119,23,2,0,0,13,0.1333,0,0.8667,0.7067,0,0.2933,0,24,10877
2017-11-18,429,429,0,21,7,119,25,17,0,0,12,0.5862,0,0.4138,0.8125,0,0.1875,0,24,10908
2017-11-19,429,429,0,28,7,105,27,11,0,0,0,1,0,0,0.9916,0.0084,0,0,24,10921
2017-11-20,429,429,0,39,6,98,24,15,0,0,0,1,0,0,1,0,0,0,24,10940
2017-11-21,429,429,0,44,6,87,22,23,0,0,1,0.9583,0,0.0417,1,0,0,0,24,10968
2017-11-22,429,429,0,37,6,82,21,3,0,0,17,0.15,0,0.85,0.7727,0,0.2273,0,24,10994
2017-11-23,429,429,0,27,3,79,22,1,0,0,6,0.1429,0,0.8571,0.8088,0,0.1912,0,24,11004
2017-11-24,429,429,0,49,4,89,22,4,0,0,0,1,0,0,1,0,0,0,25,11377
2017-11-25,429,429,0,30,2,96,21,1,0,0,0,1,0,0,1,0,0,0,25,11382
2017-11-26,429,429,0,35,4,99,18,1,0,0,14,0.0667,0,0.9333,0.7629,0,0.2371,0,25,11398
2017-11-27,429,429,0,43,3,106,13,0,0,0,9,0,0,1,0.8766,0,0.1234,0,25,11408
2017-11-28,429,429,0,43,5,109,14,11,0,0,4,0.7333,0,0.2667,0.9308,0,0.0692,0,25,11429
2017-11-29,429,429,0,29,2,105,13,3,0,0,0,1,0,0,1,0,0,0,25,11438
2017-11-30,429,429,0,33,5,107,14,4,0,0,1,0.8,0,0.2,0.9829,0,0.0171,0,25,11448
2017-12-01,429,429,0,68,3,106,13,9,0,0,0,1,0,0,0.9872,0.0043,0.0085,0,26,11828
2017-12-02,429,429,0,21,0,106,12,0,0,0,0,0,0,0,0.973,0.027,0,0,26,11828
2017-12-03,429,429,0,16,2,105,14,4,0,0,0,1,0,0,1,0,0,0,26,11833
2017-12-04,429,429,0,47,5,107,14,12,0,0,1,0.9231,0,0.0769,0.9858,0,0.0142,0,26,11853
2017-12-05,429,429,0,44,2,112,12,2,0,0,0,1,0,0,1,0,0,0,26,11859
2017-12-06,429,429,0,39,5,115,13,15,0,0,0,1,0,0,1,0,0,0,26,11876
2017-12-07,429,429,0,47,16,119,20,22,0,0,2,0.9167,0,0.0833,0.9746,0,0.0254,0,27,11913
2017-12-08,429,429,0,43,13,114,25,18,0,0,2,0.9,0,0.1,0.9728,0,0.0272,0,27,11947
2017-12-09,429,429,0,23,7,108,29,4,0,0,4,0.5,0,0.5,0.8933,0,0.1067,0,27,11960
2017-12-10,429,429,0,26,6,107,30,9,0,0,2,0.8182,0,0.1818,0.9792,0,0.0208,0,27,11973
2017-12-11,429,429,0,40,5,102,30,14,0,0,0,1,0,0,1,0,0,0,27,11998
2017-12-12,429,429,0,30,4,95,32,8,0,0,0,1,0,0,0.9908,0,0.0092,0,27,12016
2017-12-13,429,429,0,31,3,92,32,2,0,0,4,0.3333,0,0.6667,0.8378,0,0.1622,0,27,12029
2017-12-14,429,429,0,31,6,84,24,5,0,0,3,0.625,0,0.375,0.9189,0,0.0811,0,27,12039
2017-12-15,429,429,0,26,2,77,16,3,0,0,1,0.75,0,0.25,0.94,0,0.06,0,27,12047
2017-12-16,429,429,0,20,1,77,13,1,0,0,0,1,0,0,0.9701,0,0.0299,0,27,12053
2017-12-17,429,429,0,15,0,78,12,0,0,0,0,0,0,0,1,0,0,0,27,12053
2017-12-18,429,429,0,36,2,76,10,2,0,0,0,1,0,0,1,0,0,0,27,12060
2017-12-19,429,429,0,65,7,91,14,7,0,0,8,0.4667,0,0.5333,0.9313,0.0125,0.0563,0,27,12083
2017-12-20,429,429,0,39,3,102,15,4,0,0,0,1,0,0,0.989,0.011,0,0,27,12093
2017-12-21,429,429,0,20,2,99,13,11,0,0,0,1,0,0,0.9701,0,0.0299,0,27,12118
2017-12-22,429,429,0,24,2,101,12,2,0,0,0,1,0,0,1,0,0,0,27,12155
2017-12-23,429,429,0,57,5,111,14,10,2,0,5,0.5882,0.1176,0.2941,0.7113,0.0034,0.2852,0,15,21022
2017-12-24,429,429,0,29,2,112,15,3,0,0,0,1,0,0,0.8876,0,0.1124,0,15,21025
2017-12-25,429,429,0,22,2,114,14,4,0,0,0,1,0,0,0.9,0,0.1,0,15,20950
2017-12-26,430,430,0,29,4,100,11,3,0,0,1,0.75,0,0.25,0.837,0.0217,0.1413,0,15,20958
2017-12-27,430,430,0,20,1,100,11,0,0,0,0,0,0,0,0.8243,0.0135,0.1622,0,15,20961
2017-12-28,430,430,0,23,3,103,12,2,1,0,0,0.6667,0.3333,0,0.9995,2e-4,3e-4,0,15,20963
2017-12-29,430,430,0,58,6,109,13,6,1,0,9,0.375,0.0625,0.5625,0.8378,0.027,0.1351,0,15,20984
2017-12-30,520,520,0,105,47,169,55,67,9,0,49,0.536,0.072,0.392,0.8084,0.0232,0.1684,0,15,21261
2017-12-31,546,546,0,125,41,196,78,72,0,0,12,0.8571,0,0.1429,0.9516,0.003,0.0455,0,15,21394
2018-01-01,574,574,0,135,34,227,91,69,0,0,13,0.8415,0,0.1585,0.9474,0,0.0526,0,15,21530
2018-01-02,623,623,0,186,53,282,125,73,1,0,18,0.7935,0.0109,0.1957,0.9454,0.0012,0.0535,0,15,22418
2018-01-03,635,635,0,159,36,300,139,133,0,0,20,0.8693,0,0.1307,0.9576,7e-4,0.0417,0,15,22605
2018-01-04,637,637,0,130,36,306,143,95,0,0,3,0.9694,0,0.0306,0.9854,9e-4,0.0138,0,15,22720
2018-01-05,637,637,0,132,22,309,144,59,0,0,25,0.7024,0,0.2976,0.9505,0,0.0495,0,15,22818
2018-01-06,672,672,0,130,32,333,141,82,0,0,52,0.6119,0,0.3881,0.8919,0.0018,0.1063,0,16,23005
2018-01-07,688,688,0,115,19,342,131,52,0,0,9,0.8525,0,0.1475,0.9553,0,0.0447,0,16,23108
2018-01-08,709,709,0,155,32,357,130,37,0,0,35,0.5139,0,0.4861,0.9251,0,0.0749,0,17,23229
2018-01-09,718,718,0,135,31,347,113,50,0,0,11,0.8197,0,0.1803,0.9709,0,0.0291,0,17,23319
2018-01-10,722,722,0,127,25,331,110,83,0,0,19,0.8137,0,0.1863,0.9413,0.0013,0.0575,0,17,23442
2018-01-11,855,855,0,220,79,426,149,119,0,0,42,0.7391,0,0.2609,0.8961,0,0.1039,0,17,16826
2018-01-12,865,865,0,135,34,424,157,74,0,0,12,0.8605,0,0.1395,0.9613,0,0.0387,0,17,16948
2018-01-13,866,866,0,103,16,418,146,47,0,0,1,0.9792,0,0.0208,0.9893,0,0.0107,0,17,17006
2018-01-14,877,877,0,102,17,410,141,28,0,0,5,0.8485,0,0.1515,0.9778,0,0.0222,0,17,17054
2018-01-15,882,882,0,134,26,386,131,60,0,0,16,0.7895,0,0.2105,0.9601,0,0.0399,0,17,17159
2018-01-16,883,883,0,140,16,379,119,28,0,0,10,0.7368,0,0.2632,0.9633,0,0.0367,0,17,17195
2018-01-17,883,883,0,122,13,373,115,19,0,0,1,0.95,0,0.05,0.9938,0,0.0062,0,17,17226
2018-01-18,887,887,0,127,15,316,71,31,0,0,4,0.8857,0,0.1143,0.9853,0,0.0147,0,17,17263
2018-01-19,889,889,0,211,28,353,68,60,0,0,118,0.3371,0,0.6629,0.8613,0,0.1387,0,18,17457
2018-01-20,904,904,0,118,16,360,74,27,0,0,42,0.3913,0,0.6087,0.8588,0,0.1412,0,18,17544
2018-01-21,907,907,0,105,27,361,78,43,0,0,41,0.5119,0,0.4881,0.8999,0,0.1001,0,18,17635
2018-01-22,915,915,0,160,35,363,82,72,0,0,12,0.8571,0,0.1429,0.9675,0,0.0325,0,18,17721
2018-01-23,920,920,0,143,25,366,84,71,0,0,12,0.8554,0,0.1446,0.9622,0,0.0378,0,18,17826
2018-01-24,932,932,0,217,30,389,92,81,0,0,9,0.9,0,0.1,0.9612,0,0.0388,0,18,17947
2018-01-25,938,938,0,140,27,390,91,57,0,0,8,0.8769,0,0.1231,0.9602,0,0.0398,0,18,18029
2018-01-26,939,939,0,119,21,370,83,34,0,0,10,0.7727,0,0.2273,0.963,0,0.037,0,18,18091
2018-01-27,941,941,0,88,15,359,83,35,0,0,8,0.814,0,0.186,0.962,0,0.038,0,18,18135
2018-01-28,931,931,0,95,19,360,81,49,0,0,4,0.9245,0,0.0755,0.987,0,0.013,0,18,18190
2018-01-29,935,935,0,209,27,367,79,63,0,0,79,0.4437,0,0.5563,0.8559,0,0.1441,0,18,18338
2018-01-30,936,936,0,137,22,363,77,50,0,0,4,0.9259,0,0.0741,0.978,0,0.022,0,18,18393
2018-01-31,937,937,0,125,16,340,73,31,0,0,15,0.6739,0,0.3261,0.9456,0,0.0544,0,18,18440
2018-02-01,938,938,0,108,20,337,73,65,0,0,14,0.8228,0,0.1772,0.9659,0,0.0341,0,18,18532
2018-02-02,938,938,0,105,20,330,69,51,0,0,3,0.9444,0,0.0556,0.98740000000000006,0,0.0126,0,19,18593
2018-02-03,944,944,0,71,6,329,65,13,0,0,0,1,0,0,0.9757,0,0.0243,0,19,18612
2018-02-04,951,951,0,70,11,323,65,12,0,0,2,0.8571,0,0.1429,0.9567,0,0.0433,0,19,18637
2018-02-05,955,955,0,109,22,273,61,34,0,0,1,0.9714,0,0.0286,0.9812,0,0.0188,0,19,18680
2018-02-06,956,956,0,104,15,261,61,18,0,0,3,0.8571,0,0.1429,0.975,0,0.025,0,19,18722
2018-02-07,956,956,0,92,16,242,60,106,0,0,0,1,0,0,0.998,0,0.002,0,19,18830
2018-02-08,957,957,0,207,25,311,65,73,0,0,2,0.9733,0,0.0267,0.9813,0,0.0188,0,19,18913
2018-02-09,957,957,0,115,13,320,60,41,0,0,3,0.9318,0,0.0682,0.9869,0,0.0131,0,19,18959
2018-02-10,957,957,0,64,7,317,61,9,0,0,2,0.8182,0,0.1818,0.9849,0,0.0151,0,19,18970
2018-02-11,970,970,0,76,14,332,66,38,0,0,76,0.3333,0,0.6667,0.709,0,0.291,0,19,19109
2018-02-12,978,978,0,122,20,334,63,36,0,0,9,0.8,0,0.2,0.9496,0,0.0504,0,19,19168
2018-02-13,979,979,0,92,14,330,61,22,0,0,17,0.5641,0,0.4359,0.9298,0,0.0702,0,19,19213
2018-02-14,979,979,0,95,13,335,58,25,0,0,1,0.9615,0,0.0385,0.9948,0,0.0052,0,19,19239
2018-02-15,979,979,0,85,13,259,47,24,0,0,3,0.8889,0,0.1111,0.9848,0,0.0152,0,19,19266
2018-02-16,979,979,0,76,11,240,47,14,0,0,7,0.6667,0,0.3333,0.9363,0,0.0637,0,19,19290
2018-02-17,980,980,0,52,5,231,43,12,0,0,16,0.4286,0,0.5714,0.8344,0,0.1656,0,19,19322
2018-02-18,990,990,0,62,16,230,49,22,0,0,7,0.7586,0,0.2414,0.9069,0,0.0931,0,19,19369
2018-02-19,995,995,0,78,16,213,46,20,0,0,10,0.6667,0,0.3333,0.9255,0,0.0745,0,19,19409
2018-02-20,996,996,0,200,32,288,64,53,0,0,5,0.9138,0,0.0862,0.9779,0,0.0221,0,19,19470
2018-02-21,997,997,0,149,15,313,67,30,0,0,1,0.9677,0,0.0323,0.9819,0,0.0181,0,19,19504
2018-02-22,997,997,0,111,18,319,70,28,0,0,47,0.3733,0,0.6267,0.8337,0,0.1663,0,19,19579
2018-02-23,997,997,0,173,27,326,79,56,0,0,40,0.5833,0,0.4167,0.896,0,0.104,0,19,19687
2018-02-24,1002,1002,0,71,12,330,83,14,4,0,8,0.5385,0.1538,0.3077,0.8204,0.0571,0.1224,0,18,19746
2018-02-25,1008,1008,0,77,14,337,77,19,9,0,11,0.4872,0.2308,0.2821,0.822,0.0623,0.1157,0,18,19805
2018-02-26,1010,1010,0,182,18,344,76,44,4,0,12,0.7333,0.0667,0.2,0.9245,0.0328,0.0427,0,18,19873
2018-02-27,1011,1011,0,115,19,320,59,32,8,0,105,0.2207,0.0552,0.7241,0.8089,0.0592,0.1319,0,18,20044
2018-02-28,1011,1011,0,186,28,319,57,66,21,0,29,0.569,0.181,0.25,0.8916,0.042,0.0664,0,18,20166
2018-03-01,1011,1011,0,100,25,319,58,55,0,0,2,0.9649,0,0.0351,0.9756,0.0019,0.0225,0,18,20229
2018-03-02,1011,1011,0,89,23,312,54,77,7,0,89,0.4451,0.0405,0.5145,0.6997,0.0526,0.2477,0,18,20407
2018-03-03,1014,1014,0,77,10,307,53,15,0,0,0,1,0,0,0.8303,0.0036,0.1661,0,17,21418
2018-03-04,1039,1039,0,139,27,325,61,50,12,0,15,0.6494,0.1558,0.1948,0.7836,0.0523,0.1641,0,17,21513
2018-03-05,1046,1046,0,156,22,324,66,63,11,0,21,0.6632,0.1158,0.2211,0.7964,0.0622,0.1414,0,17,21626
2018-03-06,1050,1050,0,185,23,331,70,70,3,0,36,0.6422,0.0275,0.3303,0.8797,0.0146,0.1056,0,17,21745
2018-03-07,1051,1051,0,197,32,326,75,47,4,0,128,0.2626,0.0223,0.7151,0.755,0.0294,0.21560000000000001,0,17,21934
2018-03-08,1054,1054,0,178,27,331,75,95,6,0,53,0.6169,0.039,0.3442,0.8773,0.0257,0.097,0,18,22109
2018-03-09,1056,1056,0,170,25,336,79,79,4,0,11,0.8404,0.0426,0.117,0.9393,0.0206,0.0401,0,18,22225
2018-03-10,1061,1061,0,93,15,341,83,30,0,0,1,0.9677,0,0.0323,0.9535,0.0026,0.0439,0,18,22265
2018-03-11,1064,1064,0,89,18,331,78,45,4,0,112,0.2795,0.0248,0.6957,0.659,0.0214,0.3196,0,18,22433
2018-03-12,1068,1068,0,175,34,334,85,54,16,0,7,0.7013,0.2078,0.0909,0.889,0.0616,0.0493,0,18,22533
2018-03-13,1068,1068,0,131,16,316,81,31,61,0,28,0.2583,0.5083,0.2333,0.648,0.2674,0.0846,0,18,22656
2018-03-14,1068,1068,0,92,18,303,74,94,8,0,19,0.7769,0.0661,0.157,0.8757,0.0527,0.0716,0,18,22784
2018-03-15,1071,1071,0,78,13,294,62,21,12,0,115,0.1419,0.0811,0.777,0.4693,0.0803,0.4503,0,18,22942
2018-03-16,1071,1071,0,95,20,289,58,69,5,0,43,0.5897,0.0427,0.3675,0.8055,0.0629,0.1316,0,18,23063
2018-03-17,1080,1080,0,67,13,289,60,24,1,0,20,0.5333,0.0222,0.4444,0.7854,0.0383,0.1762,0,18,23125
2018-03-18,1082,1082,0,67,16,286,59,26,5,0,43,0.3514,0.0676,0.5811,0.7139,0.0518,0.2343,0,18,23204
2018-03-19,1086,1086,0,90,15,245,47,40,18,0,59,0.3419,0.1538,0.5043,0.7102,0.1042,0.1855,0,18,23332
2018-03-20,1089,1089,0,86,13,218,48,16,11,0,3,0.5333,0.3667,0.1,0.8176,0.1368,0.0456,0,18,23367
2018-03-21,1091,1091,0,83,5,215,44,5,1,0,8,0.3571,0.0714,0.5714,0.8566,0.0574,0.0861,0,18,23384
2018-03-22,1091,1091,0,87,12,215,43,34,5,0,0,0.8718,0.1282,0,0.9164,0.0593,0.0243,0,18,23426
2018-03-23,1091,1091,0,73,14,205,39,21,5,0,131,0.1338,0.0318,0.8344,0.5494,0.0236,0.427,0,18,23591
2018-03-24,1102,1102,0,54,14,207,40,8,0,0,227,0.034,0,0.966,0.2726,0.0058,0.7217,0,18,23836
2018-03-25,1103,1103,0,57,7,205,39,5,0,0,8,0.3846,0,0.6154,0.9558,0,0.0442,0,18,23853
2018-03-26,1105,1105,0,88,15,201,41,13,4,0,65,0.1585,0.0488,0.7927,0.7158,0.0463,0.2379,0,18,23949
2018-03-27,1106,1106,0,177,26,256,47,45,13,0,125,0.2459,0.071,0.6831,0.7667,0.0405,0.1929,0,18,24137
2018-03-28,1107,1107,0,116,17,265,54,32,0,0,5,0.8649,0,0.1351,0.9622,0.0063,0.0315,0,18,24184
2018-03-29,1107,1107,0,74,13,265,54,35,4,0,17,0.625,0.0714,0.3036,0.8653,0.0449,0.0898,0,18,24242
2018-03-30,1107,1107,0,70,8,258,53,22,0,0,0,1,0,0,0.9892,0.0036,0.0072,0,18,24264
2018-03-31,1112,1112,0,120,17,274,53,38,9,0,62,0.3486,0.0826,0.5688,0.7653,0.0532,0.1815,0,18,24379
2018-04-01,1114,1114,0,88,16,287,55,49,0,0,7,0.875,0,0.125,0.9438,0.0047,0.0515,0,18,24441
2018-04-02,1117,1117,0,154,18,291,60,50,6,0,2,0.8621,0.1034,0.0345,0.9555,0.0187,0.0259,0,18,24506
2018-04-03,1118,1118,0,179,11,299,54,15,10,0,1,0.5769,0.3846,0.0385,0.9403,0.0413,0.0185,0,18,24540
2018-04-04,1118,1118,0,128,16,293,51,28,17,0,1,0.6087,0.3696,0.0217,0.9317,0.0512,0.0171,0,18,24594
2018-04-05,1118,1118,0,98,11,294,55,12,0,0,4,0.75,0,0.25,0.9659,0.0028,0.0313,0,18,24612
2018-04-06,1133,1133,0,192,34,329,74,59,0,0,29,0.6705,0,0.3295,0.9216,9e-4,0.0775,0,18,24748
2018-04-07,1143,1143,0,110,24,334,73,47,0,0,13,0.7833,0,0.2167,0.9161,0.0017,0.0822,0,18,24828
2018-04-08,1149,1149,0,113,17,344,73,13,13,0,38,0.2031,0.2031,0.5938,0.8158,0.0635,0.1207,0,18,24908
2018-04-09,1152,1152,0,202,35,353,78,64,7,0,25,0.6667,0.0729,0.2604,0.9228,0.0283,0.0489,0,19,25026
2018-04-10,1153,1153,0,162,30,339,88,95,14,0,22,0.7252,0.1069,0.1679,0.886,0.0673,0.0467,0,19,25175
2018-04-11,1153,1153,0,181,21,344,87,57,1,0,38,0.5938,0.0104,0.3958,0.8953,0.0315,0.0732,0,19,25284
2018-04-12,1155,1155,0,115,24,346,90,98,16,0,7,0.8099,0.1322,0.0579,0.9192,0.0634,0.0174,0,19,25408
