key_ID,village,interview_date,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,items_owned,no_meals,months_lack_food,instanceID
17,God,2016-11-21T00:00:00Z,8,20,sunbricks,1,NULL,NULL,1,mobile_phone,2,Nov;Dec,uuid:4707f3dc-df18-4348-9c2c-eec651e89b6b
18,God,2016-11-21T00:00:00Z,4,20,muddaub,1,NULL,NULL,3,bicycle;mobile_phone,2,Oct;Nov,uuid:7ffe7bd1-a15c-420c-a137-e1f006c317a3
19,God,2016-11-21T00:00:00Z,9,23,burntbricks,2,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Oct;Nov;Dec,uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d
20,God,2016-11-21T00:00:00Z,6,1,burntbricks,1,NULL,NULL,1,bicycle;cow_plough;solar_torch,2,Oct;Nov,uuid:d1005274-bf52-4e79-8380-3350dd7c2bac
21,God,2016-11-21T00:00:00Z,8,20,burntbricks,1,no,never,3,NULL,2,Jan;Feb;Mar;Oct;Nov;Dec,uuid:6570a7d0-6a0b-452c-aa2e-922500e35749
22,God,2016-11-21T00:00:00Z,4,20,muddaub,1,NULL,NULL,1,radio,2,Jan;Feb;Mar;Apr;Aug;Sept;Oct;Nov;Dec,uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9
23,Ruaca,2016-11-21T00:00:00Z,10,20,burntbricks,4,NULL,NULL,3,cow_cart;bicycle;television;radio;cow_plough;solar_panel;electricity;mobile_phone,3,none,uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de
24,Ruaca,2016-11-21T00:00:00Z,6,4,burntbricks,2,no,never,3,radio;table;sofa_set;mobile_phone,2,Nov;Dec,uuid:661457d3-7e61-45e8-a238-7415e7548f82
25,Ruaca,2016-11-21T00:00:00Z,11,6,burntbricks,3,no,never,2,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone,2,Jan;Feb;Oct,uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee
26,Ruaca,2016-11-21T00:00:00Z,3,20,burntbricks,2,no,never,2,radio;cow_plough;table;mobile_phone,2,none,uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e
27,Ruaca,2016-11-21T00:00:00Z,7,36,burntbricks,2,NULL,NULL,3,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none,uuid:3197cded-1fdc-4c0c-9b10-cfcc0bf49c4d
28,Ruaca,2016-11-21T00:00:00Z,2,2,muddaub,1,no,more_once,1,NULL,3,Aug;Sept;Oct,uuid:1de53318-a8cf-4736-99b1-8239f8822473
29,Ruaca,2016-11-21T00:00:00Z,7,10,burntbricks,2,yes,frequently,1,motorcyle;bicycle;radio;table;mobile_phone,3,Jan;Feb,uuid:adcd7463-8943-4c67-b25f-f72311409476
30,Ruaca,2016-11-21T00:00:00Z,7,22,muddaub,2,NULL,NULL,1,bicycle;radio;mobile_phone,2,Jan;Feb,uuid:59341ead-92be-45a9-8545-6edf9f94fdc6
31,Ruaca,2016-11-21T00:00:00Z,3,2,muddaub,1,NULL,NULL,1,NULL,3,none,uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8
32,Ruaca,2016-11-21T00:00:00Z,19,69,muddaub,2,yes,more_once,5,cow_cart;motorcyle;radio;cow_plough;solar_panel;mobile_phone,2,none,uuid:25597af3-cd79-449c-a48a-fb9aea6c48bf
33,Ruaca,2016-11-21T00:00:00Z,8,34,muddaub,1,no,more_once,2,cow_cart;lorry;motorcyle;sterio;cow_plough;solar_panel;mobile_phone,2,none,uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758
34,Chirodzo,2016-11-17T00:00:00Z,8,18,burntbricks,3,yes,more_once,3,television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Dec,uuid:14c78c45-a7cc-4b2a-b765-17c82b43feb4
35,Chirodzo,2016-11-17T00:00:00Z,5,45,muddaub,1,yes,more_once,2,bicycle;cow_plough,3,Jan;Sept;Oct;Nov;Dec,uuid:ff7496e7-984a-47d3-a8a1-13618b5683ce
36,Chirodzo,2016-11-17T00:00:00Z,6,23,sunbricks,1,yes,once,3,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none,uuid:c90eade0-1148-4a12-8c0e-6387a36f45b1
37,Chirodzo,2016-11-17T00:00:00Z,3,8,burntbricks,1,NULL,NULL,2,bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Jan;Nov;Dec,uuid:408c6c93-d723-45ef-8dee-1b1bd3fe20cd
38,God,2016-11-17T00:00:00Z,10,19,muddaub,1,yes,never,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Nov,uuid:81309594-ff58-4dc1-83a7-72af5952ee08
39,God,2016-11-17T00:00:00Z,6,22,muddaub,1,NULL,NULL,1,NULL,3,Nov,uuid:c0fb6310-55af-4831-ae3d-2729556c3285
40,God,2016-11-17T00:00:00Z,9,23,burntbricks,1,yes,never,1,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Sept;Oct;Nov,uuid:c0b34854-eede-4e81-b183-ef58a45bfc34
41,God,2016-11-17T00:00:00Z,7,22,muddaub,1,NULL,NULL,2,motorcyle;bicycle;radio;cow_plough;table,3,Oct;Nov,uuid:b3ba34d8-eea1-453d-bc73-c141bcbbc5e5
42,God,2016-11-17T00:00:00Z,8,8,sunbricks,1,no,never,3,mobile_phone,3,Jan;Nov;Dec,uuid:e3a1dd8a-1bda-428c-a014-2b527f11ae64
43,Chirodzo,2016-11-17T00:00:00Z,7,29,muddaub,1,no,never,2,cow_plough;mobile_phone,2,Jan;Feb;Oct;Nov;Dec,uuid:b4dff49f-ef27-40e5-a9d1-acf287b47358
44,Chirodzo,2016-11-17T00:00:00Z,2,6,muddaub,1,NULL,NULL,3,radio;solar_torch,2,Jan;Dec,uuid:f9fadf44-d040-4fca-86c1-2835f79c4952
45,Chirodzo,2016-11-17T00:00:00Z,9,7,muddaub,1,no,never,4,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none,uuid:e3554d22-35b1-4fb9-b386-dd5866ad5792
46,Chirodzo,2016-11-17T00:00:00Z,10,42,burntbricks,2,no,once,2,motorcyle;computer;television;sterio;solar_panel;solar_torch;table;mobile_phone,2,Sept;Oct;Nov,uuid:35f297e0-aa5d-4149-9b7b-4965004cfc37
47,Chirodzo,2016-11-17T00:00:00Z,2,2,muddaub,1,yes,once,1,solar_torch;mobile_phone,3,none,uuid:2d0b1936-4f82-4ec3-a3b5-7c3c8cd6cc2b
48,Chirodzo,2016-11-16T00:00:00Z,7,58,muddaub,1,NULL,NULL,3,radio,3,June;July;Aug;Sept;Oct;Nov,uuid:e180899c-7614-49eb-a97c-40ed013a38a2
49,Chirodzo,2016-11-16T00:00:00Z,6,26,burntbricks,2,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec,uuid:2303ebc1-2b3c-475a-8916-b322ebf18440
50,Chirodzo,2016-11-16T00:00:00Z,6,7,muddaub,1,yes,never,1,solar_torch,2,June;July;Aug;Sept;Oct;Nov;Dec,uuid:4267c33c-53a7-46d9-8bd6-b96f58a4f92c
51,Chirodzo,2016-11-16T00:00:00Z,5,30,muddaub,1,NULL,NULL,1,radio,3,Oct;Nov,uuid:18ac8e77-bdaf-47ab-85a2-e4c947c9d3ce
52,Chirodzo,2016-11-16T00:00:00Z,11,15,burntbricks,3,no,never,3,motorcyle;television;radio;cow_plough;solar_panel;mobile_phone,3,Aug;Sept;Oct;Nov,uuid:6db55cb4-a853-4000-9555-757b7fae2bcf
21,Chirodzo,2016-11-16T00:00:00Z,8,16,burntbricks,3,yes,frequently,2,bicycle;radio;mobile_phone,2,Nov,uuid:cc7f75c5-d13e-43f3-97e5-4f4c03cb4b12
54,Chirodzo,2016-11-16T00:00:00Z,7,15,muddaub,1,no,never,1,NULL,2,Sept;Oct;Nov,uuid:273ab27f-9be3-4f3b-83c9-d3e1592de919
55,Chirodzo,2016-11-16T00:00:00Z,9,23,muddaub,2,NULL,NULL,1,television;cow_plough;mobile_phone,2,Oct;Nov,uuid:883c0433-9891-4121-bc63-744f082c1fa0
56,Chirodzo,2016-11-16T00:00:00Z,12,23,burntbricks,2,yes,never,2,motorcyle;bicycle;mobile_phone,3,none,uuid:973c4ac6-f887-48e7-aeaf-4476f2cfab76
57,Chirodzo,2016-11-16T00:00:00Z,4,27,burntbricks,1,no,never,1,radio,2,none,uuid:a7184e55-0615-492d-9835-8f44f3b03a71
58,Chirodzo,2016-11-16T00:00:00Z,11,45,burntbricks,3,no,never,3,motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,2,none,uuid:a7a3451f-cd0d-4027-82d9-8dcd1234fcca
59,Chirodzo,2016-11-16T00:00:00Z,2,60,muddaub,3,NULL,NULL,3,NULL,2,none,uuid:1936db62-5732-45dc-98ff-9b3ac7a22518
60,Chirodzo,2016-11-16T00:00:00Z,8,15,burntbricks,2,no,never,4,cow_plough,2,none,uuid:85465caf-23e4-4283-bb72-a0ef30e30176
61,Chirodzo,2016-11-16T00:00:00Z,10,14,muddaub,1,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,3,Jan;Feb;Dec,uuid:2401cf50-8859-44d9-bd14-1bf9128766f2
62,Chirodzo,2016-11-16T00:00:00Z,5,5,muddaub,1,NULL,NULL,1,bicycle;radio;mobile_phone,3,Aug;Sept;Oct;Nov,uuid:c6597ecc-cc2a-4c35-a6dc-e62c71b345d6
63,Chirodzo,2016-11-16T00:00:00Z,4,10,muddaub,1,NULL,NULL,1,NULL,3,Jan;Oct;Nov;Dec,uuid:86ed4328-7688-462f-aac7-d6518414526a
64,Chirodzo,2016-11-16T00:00:00Z,6,1,muddaub,1,NULL,NULL,1,bicycle;solar_torch;table;sofa_set;mobile_phone,3,Jan;Feb;Dec,uuid:28cfd718-bf62-4d90-8100-55fafbe45d06
65,Chirodzo,2016-11-16T00:00:00Z,8,20,burntbricks,3,no,once,3,motorcyle;radio;cow_plough;table,3,Jan;Feb;Mar,uuid:143f7478-0126-4fbc-86e0-5d324339206b
66,Chirodzo,2016-11-16T00:00:00Z,10,37,burntbricks,3,yes,frequently,4,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none,uuid:a457eab8-971b-4417-a971-2e55b8702816
67,Chirodzo,2016-11-16T00:00:00Z,5,31,burntbricks,2,no,more_once,4,motorcyle;radio;cow_plough;solar_panel;mobile_phone,3,none,uuid:6c15d667-2860-47e3-a5e7-7f679271e419
68,Chirodzo,2016-11-16T00:00:00Z,8,52,burntbricks,3,no,more_once,3,motorcyle;television;sterio;solar_panel;mobile_phone,3,none,uuid:ef04b3eb-b47d-412e-9b09-4f5e08fc66f9
69,Chirodzo,2016-11-16T00:00:00Z,4,12,muddaub,1,no,more_once,1,bicycle;radio;solar_torch;mobile_phone,3,none,uuid:f86933a5-12b8-4427-b821-43c5b039401d
70,Chirodzo,2016-11-16T00:00:00Z,8,25,burntbricks,2,no,more_once,4,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,2,none,uuid:1feb0108-4599-4bf9-8a07-1f5e66a50a0a
71,Ruaca,2016-11-18T00:00:00Z,6,14,burntbricks,1,yes,more_once,3,radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov,uuid:761f9c49-ec93-4932-ba4c-cc7b78dfcef1
127,Chirodzo,2016-11-16T00:00:00Z,4,18,burntbricks,8,NULL,NULL,1,mobile_phone,2,Aug;Sept;Oct,uuid:f6d04b41-b539-4e00-868a-0f62b427587d
133,Ruaca,2016-11-23T00:00:00Z,5,25,burntbricks,2,no,never,5,cow_cart;car;lorry;motorcyle;bicycle;television;sterio;cow_plough;solar_panel;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,Jan;Oct;Nov,uuid:429d279a-a519-4dcc-9f64-4673b0fd5d53
152,Ruaca,2016-11-24T00:00:00Z,10,16,burntbricks,1,yes,once,3,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;mobile_phone,3,none,uuid:59738c17-1cda-49ee-a563-acd76f6bc487
153,Ruaca,2016-11-24T00:00:00Z,5,41,burntbricks,1,NULL,NULL,1,NULL,2,Oct;Nov,uuid:7e7961ca-fa1c-4567-9bfa-a02f876e4e03
155,God,2016-11-24T00:00:00Z,4,4,burntbricks,1,NULL,NULL,1,electricity,2,Jan;Sept;Oct;Nov;Dec,uuid:77b3021b-a9d6-4276-aaeb-5bfcfd413852
178,Ruaca,2016-11-25T00:00:00Z,5,79,burntbricks,2,yes,frequently,3,radio;cow_plough;solar_panel;mobile_phone,3,none,uuid:2186e2ec-f65a-47cc-9bc1-a0f36dd9591c
177,God,2016-11-25T00:00:00Z,10,13,sunbricks,1,no,more_once,2,motorcyle;television;cow_plough;solar_panel;mobile_phone,3,Nov,uuid:87998c33-c8d2-49ec-9dae-c123735957ec
180,Ruaca,2016-11-25T00:00:00Z,7,50,muddaub,1,no,never,3,cow_plough;solar_panel,3,Oct;Nov,uuid:ece89122-ea99-4378-b67e-a170127ec4e6
181,God,2016-11-25T00:00:00Z,11,25,sunbricks,2,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,3,none,uuid:bf373763-dca5-4906-901b-d1bacb4f0286
182,God,2016-11-25T00:00:00Z,7,21,muddaub,3,no,more_once,2,solar_panel,3,Jan;Feb;Nov;Dec,uuid:394033e8-a6e2-4e39-bfac-458753a1ed78
186,God,2016-11-28T00:00:00Z,7,24,muddaub,1,no,more_once,2,cow_plough;mobile_phone,3,none,uuid:268bfd97-991c-473f-bd51-bc80676c65c6
187,God,2016-11-28T00:00:00Z,5,43,muddaub,2,yes,more_once,4,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none,uuid:0a42c9ee-a840-4dda-8123-15c1bede5dfc
195,God,2016-11-28T00:00:00Z,5,48,burntbricks,1,no,never,3,cow_cart;bicycle;radio;cow_plough;solar_torch,2,Sept;Oct;Nov,uuid:2c132929-9c8f-450a-81ff-367360ce2c19
196,God,2016-11-28T00:00:00Z,7,49,burntbricks,2,yes,more_once,3,radio;cow_plough;mobile_phone,3,none,uuid:44e427d1-a448-4bf2-b529-7d67b2266c06
197,God,2016-11-28T00:00:00Z,5,19,burntbricks,2,no,more_once,3,bicycle;television;radio;cow_plough;solar_torch;table;mobile_phone,2,Nov,uuid:85c99fd2-775f-40c9-8654-68223f59d091
198,God,2016-11-28T00:00:00Z,3,49,burntbricks,1,no,never,1,NULL,3,Nov,uuid:28c64954-739c-444c-a6e0-355878e471c8
201,God,2016-11-21T00:00:00Z,4,6,muddaub,2,NULL,NULL,2,bicycle;radio;solar_torch;mobile_phone,2,Oct;Nov;Dec,uuid:9e79a31c-3ea5-44f0-80f9-a32db49422e3
202,God,2016-11-17T00:00:00Z,12,12,burntbricks,4,yes,more_once,3,cow_cart;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Mar;Oct;Nov;Dec,uuid:06d39051-38ef-4757-b68b-3327b1f16b9d
72,Ruaca,2017-04-26T00:00:00Z,6,24,muddaub,1,yes,more_once,3,bicycle;radio;cow_plough,2,Jan;Aug;Sept;Oct;Nov;Dec,uuid:c4a2c982-244e-45a5-aa4b-71fa53f99e18
73,Ruaca,2017-04-26T00:00:00Z,7,9,burntbricks,2,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,3,Jan;Sept;Oct,uuid:ac3da862-9e6c-4962-94b6-f4c31624f207
76,Ruaca,2017-04-26T00:00:00Z,17,48,burntbricks,2,yes,more_once,4,bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none,uuid:4178a296-903a-4a8e-9cfa-0cd6143476e8
83,Ruaca,2017-04-27T00:00:00Z,5,22,burntbricks,1,yes,never,2,radio;cow_plough;solar_torch,2,Aug;Sept;Oct,uuid:a1e9df00-c8ae-411c-931c-c7df898c68d0
85,Ruaca,2017-04-27T00:00:00Z,7,40,sunbricks,1,no,never,2,radio;cow_plough,2,Oct;Nov,uuid:4d0f472b-f8ae-4026-87c9-6b5be14b0a70
89,God,2017-04-27T00:00:00Z,5,10,burntbricks,2,no,never,3,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov,uuid:b3b309c6-f234-4830-8b30-87d26a17ee1d
101,God,2017-04-27T00:00:00Z,3,4,muddaub,1,no,never,1,bicycle;solar_torch,3,Sept;Oct;Nov,uuid:3c174acd-e431-4523-9ad6-eb14cddca805
103,Ruaca,2017-04-27T00:00:00Z,6,96,sunbricks,1,no,never,5,cow_cart;cow_plough;solar_panel;sofa_set;mobile_phone,3,Jan;Feb;Dec,uuid:e9d79844-ef14-493b-bbd6-d13691cc660e
102,Ruaca,2017-04-28T00:00:00Z,12,15,burntbricks,2,yes,frequently,2,cow_plough;table;sofa_set;mobile_phone,3,Jan;Feb,uuid:76206b0b-af74-4344-b24f-81e839f0d7b0
78,Ruaca,2017-04-28T00:00:00Z,6,48,burntbricks,1,no,more_once,2,cow_plough,2,Aug;Sept;Oct,uuid:da3fa7cc-5ce9-44fd-9a78-b8982b607515
80,Ruaca,2017-04-28T00:00:00Z,5,12,muddaub,1,no,more_once,1,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch,3,none,uuid:a85df6df-0336-46fa-a9f4-522bf6f8b438
104,Ruaca,2017-04-28T00:00:00Z,14,52,sunbricks,1,yes,never,4,cow_cart;bicycle;cow_plough,3,Jan;Feb;Dec,uuid:bb2bb365-7d7d-4fe9-9353-b21269676119
105,Ruaca,2017-04-28T00:00:00Z,6,40,sunbricks,1,yes,frequently,2,motorcyle;radio;cow_plough;solar_panel;mobile_phone,3,Jan;Feb;Dec,uuid:af0904ee-4fdb-4090-973f-599c81ddf022
106,God,2017-04-30T00:00:00Z,15,22,sunbricks,5,no,never,2,cow_cart;motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov;Dec,uuid:468797c1-4a65-4f35-9c83-e28ce46972a2
109,God,2017-05-03T00:00:00Z,4,12,sunbricks,1,NULL,NULL,3,cow_cart;bicycle;radio;cow_plough;table,3,July;Aug;Sept;Oct;Nov,uuid:602cd3f6-4a97-49c6-80e3-bcfd5c78dfa4
110,Ruaca,2017-05-03T00:00:00Z,6,22,sunbricks,3,no,never,3,bicycle;radio;cow_plough;table;mobile_phone,2,none,uuid:e7c51ac4-24e4-475e-88e7-f85e896945e3
113,Ruaca,2017-05-03T00:00:00Z,11,26,burntbricks,3,no,never,4,cow_cart;motorcyle;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none,uuid:01210861-aba1-4268-98d0-0260e05f5155
118,Ruaca,2017-05-04T00:00:00Z,5,25,muddaub,1,NULL,NULL,1,radio;solar_torch;mobile_phone,3,Oct;Nov;Dec,uuid:77335b2e-8812-4a35-b1e5-ca9ab626dfea
125,Ruaca,2017-05-04T00:00:00Z,5,14,burntbricks,1,no,more_once,2,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Jan;Sept;Oct;Nov;Dec,uuid:02b05c68-302e-4e7a-b229-81cb1377fd29
119,Ruaca,2017-05-04T00:00:00Z,3,14,muddaub,1,no,never,4,bicycle;cow_plough;solar_panel;mobile_phone,3,none,uuid:fa201fce-4e94-44b8-b435-c558c2e1ed55
115,Ruaca,2017-05-11T00:00:00Z,4,16,sunbricks,2,NULL,NULL,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none,uuid:628fe23d-188f-43e4-a203-a4bf3257d461
108,God,2017-05-11T00:00:00Z,15,22,burntbricks,2,no,never,4,cow_cart;bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Aug;Sept;Oct;Nov,uuid:e4f4d6ba-e698-45a5-947f-ba6da88cc22b
116,Ruaca,2017-05-11T00:00:00Z,5,25,burntbricks,3,NULL,NULL,3,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec,uuid:cfee6297-2c0e-4f8a-94cc-9aaee0bd64cb
117,Ruaca,2017-05-11T00:00:00Z,10,28,muddaub,4,NULL,NULL,1,motorcyle;television;radio;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Nov;Dec,uuid:3fe626b3-c794-48e1-a80f-5bfe440c507b
144,Ruaca,2017-05-18T00:00:00Z,7,5,burntbricks,4,no,frequently,4,cow_cart;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,none,uuid:0670cef6-d233-4852-89d8-36955261b0a3
143,Ruaca,2017-05-18T00:00:00Z,10,24,burntbricks,2,no,frequently,3,cow_cart;motorcyle;television;radio;cow_plough;solar_torch;table;mobile_phone,3,Jan;Dec,uuid:9a096a12-b335-468c-b3cc-1191180d62de
150,Ruaca,2017-05-18T00:00:00Z,7,8,muddaub,1,no,never,1,mobile_phone,3,Sept;Oct;Nov,uuid:92613d0d-e7b1-4d62-8ea4-451d7cd0a982
159,God,2017-05-18T00:00:00Z,4,24,sunbricks,1,no,never,1,radio;solar_panel;solar_torch,3,Sept;Oct;Nov,uuid:37577f91-d665-443e-8d70-b914954cef4b
160,God,2017-06-03T00:00:00Z,7,13,burntbricks,2,yes,frequently,2,cow_cart;cow_plough;solar_torch;mobile_phone,2,Nov,uuid:f22831ec-6bc3-4b73-9197-4b01e01abb66
165,Ruaca,2017-06-03T00:00:00Z,9,14,burntbricks,1,no,never,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,none,uuid:62f3f7af-f0f3-4f88-b9e0-acf8baa49ae4
166,Ruaca,2017-06-03T00:00:00Z,11,16,muddaub,1,no,never,1,bicycle;solar_torch;mobile_phone,2,Feb;Mar,uuid:40aac732-94df-496c-97ba-5b67f59bcc7a
167,Ruaca,2017-06-03T00:00:00Z,8,24,muddaub,1,no,never,3,motorcyle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Nov;Dec,uuid:a9d1a013-043b-475d-a71b-77ed80abe970
174,Ruaca,2017-06-03T00:00:00Z,12,25,burntbricks,2,no,never,3,car;lorry;motorcyle;radio;sterio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone;fridge,3,Jan;Feb;Dec,uuid:43ec6132-478c-4f87-878d-fb3c0c4d0c74
175,Ruaca,2017-06-03T00:00:00Z,7,36,burntbricks,1,no,never,4,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,2,Jan;Oct;Nov;Dec,uuid:64fc743e-8176-40f6-8ae4-36ae97fac1d9
189,Ruaca,2017-06-03T00:00:00Z,15,16,sunbricks,1,no,never,3,motorcyle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,3,Nov,uuid:c17e374c-280b-4e78-bf21-74a7c1c73492
191,Ruaca,2017-06-03T00:00:00Z,10,5,burntbricks,4,no,never,1,radio;cow_plough;solar_panel;solar_torch;mobile_phone,2,Oct;Nov;Dec,uuid:dad53aff-b520-4015-a9e3-f5fdf9168fe1
192,Chirodzo,2017-06-03T00:00:00Z,9,20,burntbricks,1,no,once,1,bicycle;television;radio;sterio;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec,uuid:f94409a6-e461-4e4c-a6fb-0072d3d58b00
126,Ruaca,2017-05-18T00:00:00Z,3,7,burntbricks,1,no,more_once,3,motorcyle;radio;solar_panel,3,Oct;Nov;Dec,uuid:69caea81-a4e5-4e8d-83cd-9c18d8e8d965
193,Ruaca,2017-06-04T00:00:00Z,7,10,cement,3,no,more_once,3,car;lorry;television;radio;sterio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,none,uuid:5ccc2e5a-ea90-48b5-8542-69400d5334df
