name,x,y,dist2HW,cc
Simon Urbanek,7.736016116841154,1.0650440529642882,2,55366
Alassane Samba,5.782792461673119,1.0807473703236448,3,70781
Tech Mahindra,5.789449775513936,0.9303720094531222,3,70781
Orange,5.785884976544715,0.9838687514562527,3,70781
Mark Culp,9.241286316644299,1.8931232094341761,2,65774
Kjell Johnson,9.306979353895436,1.8629666780732737,2,65808
George Michailidis,7.042608952454023,4.485525435816831,3,81178
Jiaxun Chen,10.215008591330884,-1.7425722667576695,3,78680
Rui Jin,10.316647293416015,-1.6551005060279775,3,78680
Yongming Qu,10.42414085936584,-1.5839190858810692,3,78671
Run Zhuang,10.515924579699565,-1.494603572001285,3,78671
Ying Zhang,10.478219012567992,-1.5013778643969806,3,78680
Hans W. Borchers,7.920121320480418,1.7651300776618488,1,52880.00000000001
Emeline Courtois,9.104288357168244,-2.310881540521828,3,80389
Ismail Ahmed,7.756119219648608,-0.32683459616384275,2,65086
Herve Perdry,9.764389654213627,-1.9260118920869356,3,79090
Graeme L. Hickey,9.588282487108852,0.9416968749763766,2,64352.00000000001
Yongqiang Zhang,10.253792413359584,-0.6425890520053053,3,74551
Becton,11.128695257056945,0.30413563266723476,3,76006
Dickinson,11.139200589040879,0.37439179098142,3,76006
Onno Hansen-Goos,8.03071515783017,2.721307293420059,2,63650
Rabea Griese,8.399516898880986,4.597959092012528,3,79003
Catharina Lippmann,8.70999255217891,4.538528405603012,3,79003
Florian Lerch,9.177437671083169,4.391048080850036,3,78992
Daeyoung Lim,12.181065644992845,3.0650986514333027,4,90377
Elena Rantou,12.79916716701334,4.511147073736749,5,105790
Jessica Kim,12.591236223666844,4.786946152143101,5,105790
Sungwoo Choi,12.995609881201037,4.21051309876029,5,105790
Nam Hee Choi,12.288077067535397,5.133883638384806,5,105790
Stella Grosser,13.183703816264513,3.8793308407611082,5,105790
Andreas Scheidegger,6.113963483895799,-2.4952235771600657,4,86183
Anders Granholm,5.842846283694219,-2.039600137717231,3,83194
Benjamin Skov Kaas-Hansen,5.543013504876907,-1.8047375844403188,3,83194
Aksel Karl Georg Jensen,5.52763272926416,-1.8101909428986753,3,83189
Theis Lange,6.560638520524499,0.005329681227322433,2,67783
Marc Vandemeulebroecke,9.325161280360149,-0.9981566513416197,2,70289
Pengyi Yang,11.707939878817898,-1.340865036623539,3,88140
Dewey Dunnington,7.5720492515868285,0.4709630209220588,1,56603.00000000001
Apache Arrow,7.933471232326847,1.0077549250244562,2,61316.99999999999
Michael Schramm,6.101126630008418,3.5640204436825447,3,77297
Nick Bond,5.551584468055189,5.1310060633577885,4,92714
Yalin Zhu,6.568712959062285,-1.2516624667467495,3,72608
Jiaxiang Li,7.802924937993219,-0.653054895484834,2,64963.00000000001
Nakagawara Ryo,9.785750443045634,-2.204631365282671,3,80380
Renata T C Yokota,10.907166065808267,7.350644799148991,6,119335.99999999999
Caspar W N Looman,10.546179035271443,7.511432502235969,6,119335.99999999999
Wilma J Nusselder,11.176089832931632,7.214116517725582,6,119335.99999999999
Herman Van Oyen,10.343623001547211,7.5915204361307165,6,119335.99999999999
Geert Molenberghs,10.349144420224881,6.32210415240525,5,103922
Joao Melo,9.30177151841849,6.141408766059481,4,96723
Dean Attali,8.806890013006308,0.3422488821741614,1,57794
Hamada S. Badr,8.358285566385955,1.1419346669333224,2,59127
Yili Hong,6.36029115321313,1.8931820471603773,2,64649
Yimeng Xie,5.269030106731837,3.5417660194012153,3,80062
Zhongnan Jin,5.144098054145104,3.402941606181623,3,80063
Caleb King,5.017254385853405,3.240634576062944,3,80064
Stephane Dray,7.87464321414053,1.5783306450448167,1,52644
Thibaut Jombart,8.18113053792929,1.0768079903617003,2,58913.99999999999
Zhian N. Kamvar,8.244891354005848,0.40104988302055944,1,52639
Caitlin Collins,7.474949317604308,-0.18559514028269206,2,65117.00000000001
Roman Lustrik,7.564795686447016,-0.22244594492270417,2,65117.00000000001
Marie-Pauline Beugin,7.594461189945264,-0.23455332121135394,2,65117.00000000001
Brian J. Knaus,7.858958130325087,-0.3000423211372296,2,65089.99999999999
Peter Solymos,7.68623817530027,1.0722376229695418,1,55054.99999999999
Vladimir Mikryukov,7.587969551856297,-0.26306860923377223,2,65114.99999999999
Klaus Schliep,7.313965856766225,0.573755992336057,2,59001
Tiago Maie,7.538267699089093,-0.21383072735484865,2,65117.00000000001
Libor Morkovsky,7.49407420468274,-0.1974402053258802,2,65117.00000000001
Anne Cori,8.007745836311678,-0.04653308192759398,2,64097.99999999999
Federico Calboli,8.331999307575098,-0.3003883286404804,2,65103
Rj Ewing,7.506718060203067,0.7262630871432251,2,60361
Frederic Michaud,7.457067722797802,-0.16714257358236032,2,65117.00000000001
Rebecca Decamp,7.515001069875017,-0.20621734469282343,2,65117.00000000001
Alexandre Courtiol,8.078066174335675,-0.38532042534716326,2,65090.99999999999
Lindsay V. Clark,7.320028165275678,-0.12319576594965613,2,64655.00000000001
Pavel Dimens,7.623632992742053,-0.24665727689496464,2,65117.00000000001
Clement Calenge,8.034632669376222,3.264480149398145,2,68048
Mathieu Basille,10.077000886409797,4.480175203150355,3,83457
Manuela Royer,8.037403723070701,3.2461200879951067,2,68054
Nicole Mentenich,1.5213125895472845,0.32427279156650174,5,113848.00000000001
Bastian Becker,1.614801363549152,-0.23329611136524225,5,113846.00000000001
Christoph Tasto,1.6703514391126966,-0.4783236624164788,5,113848.00000000001
Steffen Jeske,2.864026529173982,0.04596114116388222,4,98434
Marta Karas,10.217893574621016,0.8430951598392565,2,68441
Jacek Urbanek,10.22512224632763,0.5986371239769257,2,68462
Ciprian Crainiceanu,9.63761879782714,1.5617617909555341,2,65878
Adi Gherman,10.202664206234635,0.5096373013118435,2,68535
Jaroslaw Harezlak,9.277341017948768,2.8451488077054985,3,70438
William Fadel,11.652652102067705,1.6896126189973295,3,81161
Luis Cayuela,5.720075932356406,0.7601016753840601,3,71331
Marcelino De La Cruz,3.872792154355417,0.4787854368046812,4,86746
David Bauman,8.713813320181767,2.4235092356038197,2,66621
Guillaume Blanchet,8.112766994152683,2.6149741977370846,2,66621
Daniel Borcard,7.684379214006815,1.0487460411361902,2,59500.99999999999
Sylvie Clappe,8.635714709845344,2.464118640342324,2,66621
Guillaume Guenard,7.228128066012635,2.4263549267150952,2,64665.00000000001
Guillaume Larocque,8.320612661264134,2.5792052620773607,2,66621
Pierre Legendre,7.386974875165364,0.9135349299756464,2,58098
Naima Madi,8.550402136766193,2.502252550905609,2,66621
Helene H Wagner,8.784346630561625,2.3811245407583495,2,66621
Carlos J. Gil Bellosta,5.27754874395618,0.1413262755795818,3,74431
Karsten Tabelow,9.201719415383009,-0.056327253847362015,2,65378.00000000001
Sandrine Pavoine,8.35367426553849,1.8391987705115451,1,53794.00000000001
Christophe Ambroise,4.955233118460005,0.9421317466904315,3,77651
Shubham Chaturvedi,4.967269686224238,1.1783207686745198,3,77655
Alia Dehman,4.96965338088783,0.902839992589266,3,77655
Guillem Rigaill,6.111569891337376,1.7379796841870623,2,68589
Nathalie Vialaneix,4.99304157592087,1.5439313169902071,3,77307
Gabriel Hoffman,4.965348566861406,1.0916557638417503,3,77655
Tyler Morgan-Wall,9.50612422950634,4.372910051375644,3,79452
Luke Winslow,7.150217202971624,-0.8034542440296365,2,67428
Taylor Leach,8.141445331110708,-2.655987757217313,3,80305
Tobi Hahn,6.529590773990578,-2.587191415883393,3,82844
Marina Knight,3.3838684572117463,-0.8255024440049564,4,96231
Guy Nason,3.8978843932354956,-1.6584278736405043,4,95833
Ben Straub,9.759400513770245,0.002563487783675739,2,66994
Stefan Bundfuss,9.440066088585848,-0.23191070209492237,2,66582
Thomas Neitmann,8.934798868535662,-0.051044275050986916,2,63097
Samia Kabi,9.151681833100145,-0.2688818028505944,2,66616
Gordon Miller,9.531659094035101,-0.13155230423902484,2,66796
Teckla Akinyi,9.102310912509946,-0.3188139236161389,2,66616
Andrew Smith,8.316449640416176,-0.05448611129746115,2,61463.00000000001
Konstantina Koukourikou,9.13840150753449,-0.28616772444219774,2,66616
Ross Farrugia,9.415963770183945,-0.24957047079176725,2,66582
Eric Simms,9.749303271359322,0.3489034391680043,2,67103
Annie Yang,9.186408343241968,-0.27173495929144575,2,66612
Robin Koeger,9.375524213928427,-0.11063054665181958,2,67103
Sophie Shapcott,9.454591675807338,-0.17189057208904954,2,67028
Ojesh Upadhyay,9.741254939267215,0.39905079819855627,2,67103
Jack Mcgavigan,9.628987928117844,0.14359850514623854,2,67103
Kamila Duniec,9.72323240181772,0.28394179318537155,2,67103
Gayatri G,9.630747007192406,0.24668212491742342,2,67103
Alana Harris,9.557049487656212,-0.037991411178903534,2,67101
Mahdi About,9.642002324947939,0.051426849626182825,2,67098
Pooja Kumari,9.71623832993895,0.36723958132732665,2,67103
Claudia Carlucci,9.506428426941733,-0.08331274988676679,2,67098
Daniil Stefonishin,9.457776740277838,-0.03070762514975744,2,67103
Sadchla Mascary,9.397975903413219,-0.20181428150756775,2,67016
Zelos Zhu,9.351557012072016,-0.22216991691203183,2,67033
Jeffrey Dickinson,9.582358312106336,0.18327654180079989,2,67103
Ania Golab,9.73434798748962,0.2560521758782841,2,67103
Kangjie Zhang,9.682476247428605,0.18030784113620593,2,67103
Daphne Grasselly,9.662065306260022,0.2292169286664146,2,67103
Adam Forys,9.08693031592376,-0.2819963541432072,2,66183
Edoardo Mancini,9.768526967789295,0.04650361910504908,2,66771
Stefan Thoma,9.396004894739363,-0.08385073751694508,2,67103
Michael Thorpe,9.74948981635293,0.3129753575143541,2,67103
Declan Hodges,9.538535426485263,0.01647776100012726,2,67103
Jaxon Abercrombie,9.49537284486689,0.08141221239471697,2,67103
Nick Ramirez,9.551445103812215,0.13218526285976895,2,67103
Pavan Kumar,9.12205506594381,-0.3044805037088949,2,66616
Hamza Rahal,9.703582277175922,0.23998526757280908,2,67103
Yohann Omnes,9.450051295975051,0.006956485412519603,2,67103
Alice Ehmann,9.623859579394315,0.18733879376390622,2,67103
Tom Ratford,9.626294489024595,0.10419526433711974,2,67103
Vignesh Thanikachalam,9.372797162169604,-0.19069190049755297,2,67033
Ondrej Slama,9.715697890410047,0.320554867043295,2,67103
Shimeng Huang,9.54246355408609,-0.014314956000022097,2,67102
James Kim,9.554877554690686,0.08591891111029763,2,67103
Shan Lee,9.467267142942081,-0.1051649008417641,2,67098
Bill Denney,8.444351063093004,0.8625207572287714,1,52957
Syed Mubasheer,9.615542925554083,0.015769296675833943,2,67098
Wenyi Liu,9.749857157426035,0.37822770638879505,2,67103
Dinakar Kulkarni,9.685569710352812,0.3289193401363212,2,67103
Franciszek Walkowiak,9.668112177773455,0.28558331664658004,2,67103
Tamara Senior,9.591954859749293,-0.02211471155577003,2,67098
Jordanna Morrish,9.42030081134529,-0.0515805702427278,2,67103
Anthony Howard,9.593342299810846,0.08324522852608915,2,67103
Barbara O'reilly,9.70931860948491,0.20587218453031877,2,67103
John Kirkpatrick,9.6667695448865,0.14188590008410348,2,67103
James Black,9.320956201984435,-0.1841913144643089,2,67032
Leena Khatri,9.516037611989326,0.041067616247461906,2,67103
Gopi Vegesna,9.309404927225525,-1.5809297905589668,3,74116
Antonio Rodriguez,10.942874254339287,-0.7558878595492026,3,78405
Clinical Data Interchange Standards Consortium,10.969836629656568,-0.6961515750040307,3,78407
Amit Jain,7.961603059457864,-0.3247821829924773,2,64404
Stephen Gormley,8.801309014757058,-1.7781884945016941,3,74169
Hinal Patel,9.093769593518541,-1.6919534705039991,3,74169
Vinh Nguyen,9.04843550428109,-1.707615146103702,3,74169
Karl Kennedy,9.00376383374388,-1.7223544458343387,3,74169
Matt Marino,9.138763938464654,-1.674965384594935,3,74169
Liming Jin,8.74520055806662,-1.7912157188678024,3,74169
Yirong Cao,8.150591583374458,-1.64298086395235,3,72583
Zhang Kangjie,8.858524507688236,-1.7647157776469513,3,74169
Amgen Inc.,8.958589295685972,-1.7365733759907447,3,74169
Bristol Myers Squibb,8.911312753275038,-1.7505082524683375,3,74169
Ritika Aggarwal,10.40435914958072,-1.1374484110706966,3,76206
Jane Gao,10.288909108800103,-1.2655289225247606,3,76206
William Holmes,8.422136722914209,-0.2876160980945532,2,61872
Josie Jackson,10.233613629047573,-1.3212190391835785,3,76206
Sonali Jain,10.344846001673279,-1.205502211996253,3,76206
Yuki Matsunaga,10.12128991241881,-1.425656122953216,3,76206
Rachel Linacre,10.468382643789091,-1.0587131898719422,3,76206
Lucy Palmen,10.176560402013912,-1.3754826154993032,3,76206
Nandini R Thampi,10.068495611791404,-1.4718075289402794,3,76206
Aldrich Salva,10.01602078254493,-1.5150232770752372,3,76206
Sukalpo Saha,11.489870029512467,-0.2381304605417541,3,81689
Vikram S,11.220012452720507,-0.8697995339844674,3,81689
Arjun Rubalingam,11.434971632535117,-0.3940003173698659,3,81689
Dhivya Kanagaraj,11.463079393570144,-0.3169599541558405,3,81689
Federico Baratin,11.282888084756152,-0.7482048659760409,3,81689
Yamini Purna Bollu,11.404470792657676,-0.4746950105985611,3,81689
Ilse Augustyns,11.131300625978803,-1.0247549302536196,3,81689
Kalyani Bodicherla,11.166111323629144,-0.9592939354833833,3,81689
Hilde Delanghe,11.449480142990831,-0.3551402580467148,3,81689
Neetu Sangari,11.320761062755308,-0.6694084529983161,3,81689
Abdul Khayat,11.388943663202895,-0.513234118165497,3,81689
Ankur Jindal,11.505044778282194,-0.19250470330363384,3,81689
Jayashree V,11.262756756239096,-0.7890506843882911,3,81689
Jagadish Katam,11.24188373529165,-0.8296622782604334,3,81689
Andrea Pammolli,11.338378738697752,-0.6308449699063081,3,81689
Daniele Bottigliengo,11.355596541610186,-0.5916964241800178,3,81689
Ranya Ben Hsain,11.196628904871627,-0.9104845101268992,3,81689
Marleen Nijs,11.47630445571317,-0.2783846372023365,3,81689
Mandy Peng,11.302337973284835,-0.7082415342716538,3,81689
Tina Zhai,11.372613607779822,-0.5520844156154473,3,81689
Pfizer Inc.,11.189538639700395,-0.9545599971663887,3,81681
Johnson,11.41961957090105,-0.4347623644479356,3,81689
Adrian Dusa,9.274767212194526,1.1469027032622363,2,64922.99999999999
David Ardia,8.663017910760349,1.7757487898502125,1,58525
Lennart Hoogerheide,10.406433918357399,2.674943241922457,2,73933
Herman Van Dijk,10.376034287082415,2.7171918525559566,2,73933
Pierre Vandekerkhove,5.56679163324541,3.515466068206029,3,78156
Denys Pommeret,5.470455346194874,3.4174040712883555,3,78155
Yahia Salhi,5.657342837211904,3.5990124049731502,3,78156
Kisung You,5.18983296806482,-6.028194972835693,6,127353.00000000001
Xiaozhi Zhu,4.9279545979693005,-7.100781298578681,7,142770
Cole Monnahan,8.96822186856473,2.5843669211079447,2,63991.99999999999
Ben Woodard,10.370921782296136,-0.7025259776312633,2,73586
Tim Wilson,10.567686438152743,-0.37541081956760025,2,73587
Charles Gallagher,10.460200666842661,-0.5653487552903632,2,73587
Mark Edmondson,8.573521165333892,0.2027607500330478,1,58173
Yifan Ethan Xu,7.856715746371444,8.449773000584761,6,124656.00000000001
Xiao-Feng Wang,9.212900350339545,7.143796183546149,5,109239
Shuoran Li,8.083458351728176,-3.939168464350673,4,93882
Hongfan Chen,8.305182845940557,-3.9264142366346677,4,93882
Lili Zhao,7.838207781403546,-3.942504507394236,4,93882
Michael Kleinsasser,7.057620435467979,-2.3604810627033417,3,78467
Mahdi Teimouri,7.806697193368256,6.331985968546928,4,96556
Christian Kleiber,7.520657060732341,1.6000561066607002,2,55483
Achim Zeileis,7.829443905879209,1.8120348797974786,1,50826
Elisabeth Dahlqwist,9.38375883034132,4.896001922500656e-4,2,67074
Arvid Sjolander,5.343961776488033,2.4962461349451743,3,78959
Andreas Weigel,4.685654033244947,2.245124143248942,3,81700
Jonas Bhend,5.032885819723394,2.9707834692827295,3,81699
Ben Bolker,7.911432625640967,1.270904697617111,1,47873
Jake Westfall,7.6922776390958845,1.3449316454919011,2,61901.00000000001
Frederik Aust,7.924512603131848,0.6463100426832398,1,53882.00000000001
Mattan S. Ben-Shachar,7.603801176892211,0.5164854326625646,2,59269.99999999999
Soren Hojsgaard,8.122788824435984,1.1790131246357005,2,60358
John Fox,7.9477600668428385,1.5456591036579803,1,51947
Michael A. Lawrence,7.230046732221042,1.222750194871023,2,61901.00000000001
Ulf Mertens,7.321705079234957,1.2511091430911951,2,61901.00000000001
Jonathon Love,7.141816600827929,1.0637689751644044,2,61560.00000000001
Russell Lenth,7.270265119258293,0.9214541233575999,2,61608.00000000001
Rune Haubo Bojesen Christensen,8.48312815506578,1.5556006996566072,2,59484
Michael D. Sumner,7.419972087978835,0.8120321597252844,1,57801.00000000001
Alicja Wolny-Dominiak,5.285983421382816,-1.317700913576194,3,82856
Anna Saczewska-Piotrowska,4.58445603733212,-2.8016337521589336,4,98273
Sebastian Krantz,7.90897145678193,1.5437636186378252,1,57497.99999999999
Sy Han Chiou,10.84649376671994,2.2088927538043728,3,75004
Sangwook Kang,10.63060097866925,2.6476299076122847,3,75276
Jun Yan,8.906736099343345,1.8286139291675774,2,59872.00000000001
Woojung Bae,10.73336659232964,2.4721559411000595,3,75286
Dongrak Choi,10.777092665321549,2.394598576224399,3,75286
David Brown,5.280034237942515,-0.16120743278692498,3,75496
Kaue De Sousa,5.431092803203222,-0.43907779720005086,3,75497
Jacob Van Etten,7.105355449904546,0.6275114800100628,2,60082
Sytze De Bruin,5.337778251524543,-0.27728146884867155,3,75497
Stef Van Buuren,6.625783006827387,-0.3418265700554548,2,68003
Tim Taylor,9.253656562221023,0.5863648114402236,2,64868
Sylvain Arlot,4.57780510292362,6.314038642041837,5,109334
Benjamin Auder,4.137955424518529,4.4211745801212805,4,95453
Melina Gallopin,6.773004836710042,6.297313870388759,4,98271
Matthieu Lerasle,4.820881663298984,6.466889967156196,5,109346
Guillaume Maillard,4.5638743603480245,6.307777652055932,5,109346
Matthias Bogaert,11.952985351553536,-3.2841512752262805,4,105761
Michel Ballings,11.948833406394805,-1.3281058143442988,3,90352
Dirk Van Den Poel,11.064032029051404,-3.95031891398362,4,105753.99999999999
