Package,authorsR
adapt4pv,Ismail Ahmed
adapt4pv,Herve Perdry
adaptalint,Max Conway
adaptalint,Natasha Latysheva
adaptDiag,Graeme L. Hickey
adaptDiag,Yongqiang Zhang
adaptDiag,Becton
adaptDiag,Dickinson
adaptDiag,Company
AdaptGauss,Michael Thrun
AdaptGauss,Onno Hansen-Goos
AdaptGauss,Rabea Griese
AdaptGauss,Catharina Lippmann
AdaptGauss,Florian Lerch
AdaptGauss,Jorn Lotsch
AdaptGauss,Alfred Ultsch
adaptiveGPCA,Julia Fukuyama
AdaptiveSparsity,Kristen Zygmunt
AdaptiveSparsity,Eleanor Wong
AdaptiveSparsity,Tom Fletcher
adaptivetau,Philip Johnson
adaptIVPT,Daeyoung Lim
adaptIVPT,Elena Rantou
adaptIVPT,Jessica Kim
adaptIVPT,Sungwoo Choi
adaptIVPT,Nam Hee Choi
adaptIVPT,Stella Grosser
adaptMCMC,Andreas Scheidegger
adaptMT,Lihua Lei
adaptr,Anders Granholm
adaptr,Benjamin Skov Kaas-Hansen
adaptr,Aksel Karl Georg Jensen
adaptr,Theis Lange
ADAPTS,Samuel A Danziger
adaptsmoFMRI,Maximilian Hughes
adaptTest,Marc Vandemeulebroecke
AdaSampling,Pengyi Yang
adbcdrivermanager,Dewey Dunnington
adbcdrivermanager,Apache Arrow
adbcsqlite,Dewey Dunnington
adbcsqlite,Apache Arrow
adc,Michael Schramm
adc,Nick Bond
ADCT,Yalin Zhu
add2ggplot,Jiaxiang Li
add2ggplot,Nakagawara Ryo
addhaz,Renata T C Yokota
addhaz,Caspar W N Looman
addhaz,Wilma J Nusselder
addhaz,Herman Van Oyen
addhaz,Geert Molenberghs
addhazard,Jie Kate Hu
addhazard,Norman Breslow
addhazard,Gary Chan
addinsJoaoMelo,Joao Melo
addinslist,Dean Attali
addinsOutline,Pedro L. Luque-Calvo
additive,Hamada S. Badr
additiveDEA,Andreas Diomedes Soteriades
additivityTests,Marie Simeckova
addreg,Mark W. Donoghoe
addreg,Ian C. Marschner
addScales,Bert Gunter
ADDT,Yili Hong
ADDT,Yimeng Xie
ADDT,Zhongnan Jin
ADDT,Caleb King
ade4,Stephane Dray
ade4TkGUI,Jean Thioulouse
adea,Fernando Fernandez-Palacin
adea,Manuel Munoz-Marquez
adegenet,Thibaut Jombart
adegenet,Zhian N. Kamvar
adegenet,Caitlin Collins
adegenet,Roman Lustrik
adegenet,Marie-Pauline Beugin
adegenet,Brian J. Knaus
adegenet,Peter Solymos
adegenet,Vladimir Mikryukov
adegenet,Klaus Schliep
adegenet,Tiago Maie
adegenet,Libor Morkovsky
adegenet,Ismail Ahmed
adegenet,Anne Cori
adegenet,Federico Calboli
adegenet,Rj Ewing
adegenet,Frederic Michaud
adegenet,Rebecca Decamp
adegenet,Alexandre Courtiol
adegenet,Lindsay V. Clark
adegenet,Pavel Dimens
adegraphics,Stephane Dray
adehabitatHR,Clement Calenge
adehabitatHR,Scott Fortmann-Roe
adehabitatHS,Clement Calenge
adehabitatHS,Mathieu Basille
adehabitatLT,Clement Calenge
adehabitatLT,Stephane Dray
adehabitatLT,Manuela Royer
adehabitatMA,Clement Calenge
adehabitatMA,Mathieu Basille
adephylo,Thibaut Jombart
adepro,Nicole Mentenich
adepro,Bastian Becker
adepro,Christoph Tasto
adepro,Steffen Jeske
adept,Marta Karas
adept,Jacek Urbanek
adept,Ciprian Crainiceanu
adept,John Muschelli
adept,Adi Gherman
adeptdata,Marta Karas
adeptdata,Jacek Urbanek
adeptdata,Jaroslaw Harezlak
adeptdata,William Fadel
AdequacyModel,Pedro Rafael Diniz Marinho
AdequacyModel,Marcelo Bourguignon
AdequacyModel,Cicero Rafael Barros Dias
ADER,Luis Cayuela
ADER,Marcelino De La Cruz
adespatial,Stephane Dray
adespatial,David Bauman
adespatial,Guillaume Blanchet
adespatial,Daniel Borcard
adespatial,Sylvie Clappe
adespatial,Guillaume Guenard
adespatial,Thibaut Jombart
adespatial,Guillaume Larocque
adespatial,Pierre Legendre
adespatial,Naima Madi
adespatial,Helene H Wagner
adfExplorer,Pepijn De Vries
adformR,Pablo Sanchez
ADGofTest,Carlos J. Gil Bellosta
adheRenceRX,Brennan Beal
AdhereR,Dan Dediu
AdhereR,Alexandra Dima
AdhereR,Samuel Allemann
AdhereRViz,Dan Dediu
AdhereRViz,Alexandra Dima
AdhereRViz,Samuel Allemann
adimpro,Karsten Tabelow
adiv,Sandrine Pavoine
adjclust,Christophe Ambroise
adjclust,Shubham Chaturvedi
adjclust,Alia Dehman
adjclust,Pierre Neuvial
adjclust,Guillem Rigaill
adjclust,Nathalie Vialaneix
adjclust,Gabriel Hoffman
adjROC,E. F. Haghish
adjSURVCI,Manoj Khanal
adjSURVCI,Kwang Woo Ahn
adjSURVCI,Soyoung Kim
adjustedcranlogs,Tyler Morgan-Wall
adjustedCurves,Robin Denz
adklakedata,Luke Winslow
adklakedata,Taylor Leach
adklakedata,Tobi Hahn
adlift,Matt Nunes
adlift,Marina Knight
adlift,Guy Nason
admiral,Ben Straub
admiral,Stefan Bundfuss
admiral,Thomas Neitmann
admiral,Samia Kabi
admiral,Gordon Miller
admiral,Teckla Akinyi
admiral,Andrew Smith
admiral,Konstantina Koukourikou
admiral,Ross Farrugia
admiral,Eric Simms
admiral,Annie Yang
admiral,Robin Koeger
admiral,Sophie Shapcott
admiral,Ojesh Upadhyay
admiral,Jack Mcgavigan
admiral,Kamila Duniec
admiral,Gayatri G
admiral,Alana Harris
admiral,Mahdi About
admiral,Pooja Kumari
admiral,Claudia Carlucci
admiral,Daniil Stefonishin
admiral,Sadchla Mascary
admiral,Zelos Zhu
admiral,Jeffrey Dickinson
admiral,Ania Golab
admiral,Kangjie Zhang
admiral,Daphne Grasselly
admiral,Adam Forys
admiral,Edoardo Mancini
admiral,Stefan Thoma
admiral,Michael Thorpe
admiral,Declan Hodges
admiral,Jaxon Abercrombie
admiral,Nick Ramirez
admiral,Pavan Kumar
admiral,Hamza Rahal
admiral,Yohann Omnes
admiral,Alice Ehmann
admiral,Tom Ratford
admiral,Vignesh Thanikachalam
admiral,Ondrej Slama
admiral,Shimeng Huang
admiral,James Kim
admiral,Shan Lee
admiral,Bill Denney
admiral,Syed Mubasheer
admiral,Wenyi Liu
admiral,Dinakar Kulkarni
admiral,Franciszek Walkowiak
admiral,Tamara Senior
admiral,Jordanna Morrish
admiral,Anthony Howard
admiral,Barbara O'reilly
admiral,John Kirkpatrick
admiral,James Black
admiral,Leena Khatri
admiral.test,Ben Straub
admiral.test,Stefan Bundfuss
admiral.test,Gordon Miller
admiral.test,Thomas Neitmann
admiral.test,Syed Mubasheer
admiral.test,Ross Farrugia
admiral.test,Shan Lee
admiral.test,Gopi Vegesna
admiral.test,Sophie Shapcott
admiral.test,Mahdi About
admiral.test,Antonio Rodriguez
admiral.test,Claudia Carlucci
admiral.test,Annie Yang
admiral.test,Tamara Senior
admiral.test,Clinical Data Interchange Standards Consortium
admiraldev,Ben Straub
admiraldev,Stefan Bundfuss
admiraldev,Thomas Neitmann
admiraldev,Samia Kabi
admiraldev,Pooja Kumari
admiraldev,Syed Mubasheer
admiraldev,Ross Farrugia
admiraldev,Sadchla Mascary
admiraldev,Zelos Zhu
admiraldev,Jeffrey Dickinson
admiraldev,Ania Golab
admiraldev,Ondrej Slama
admiralonco,Stefan Bundfuss
admiralonco,Ross Farrugia
admiralonco,Amit Jain
admiralonco,Andrew Smith
admiralonco,Teckla Akinyi
admiralonco,Samia Kabi
admiralonco,Stephen Gormley
admiralonco,Hinal Patel
admiralonco,Vinh Nguyen
admiralonco,Karl Kennedy
admiralonco,Matt Marino
admiralonco,Gopi Vegesna
admiralonco,Thomas Neitmann
admiralonco,Annie Yang
admiralonco,Konstantina Koukourikou
admiralonco,Pavan Kumar
admiralonco,Liming Jin
admiralonco,Yirong Cao
admiralonco,Zhang Kangjie
admiralonco,Amgen Inc.
admiralonco,Bristol Myers Squibb
admiralophtha,Edoardo Mancini
admiralophtha,Ritika Aggarwal
admiralophtha,Jane Gao
admiralophtha,William Holmes
admiralophtha,Josie Jackson
admiralophtha,Sonali Jain
admiralophtha,Yuki Matsunaga
admiralophtha,Gordon Miller
admiralophtha,Rachel Linacre
admiralophtha,Lucy Palmen
admiralophtha,Nandini R Thampi
admiralophtha,Aldrich Salva
admiralvaccine,Sukalpo Saha
admiralvaccine,Vikram S
admiralvaccine,Ben Straub
admiralvaccine,Arjun Rubalingam
admiralvaccine,Dhivya Kanagaraj
admiralvaccine,Federico Baratin
admiralvaccine,Yamini Purna Bollu
admiralvaccine,Ilse Augustyns
admiralvaccine,Kalyani Bodicherla
admiralvaccine,Hilde Delanghe
admiralvaccine,Neetu Sangari
admiralvaccine,Abdul Khayat
admiralvaccine,Ankur Jindal
admiralvaccine,Jayashree V
admiralvaccine,Jagadish Katam
admiralvaccine,Andrea Pammolli
admiralvaccine,Daniele Bottigliengo
admiralvaccine,Ranya Ben Hsain
admiralvaccine,Marleen Nijs
admiralvaccine,Mandy Peng
admiralvaccine,Tina Zhai
admiralvaccine,Ross Farrugia
admiralvaccine,Stefan Bundfuss
admiralvaccine,Edoardo Mancini
admiralvaccine,Pfizer Inc.
admiralvaccine,Johnson
admiralvaccine,Johnson
admisc,Adrian Dusa
AdMit,David Ardia
AdMit,Lennart Hoogerheide
AdMit,Herman Van Dijk
admix,Xavier Milhaud
admix,Pierre Vandekerkhove
admix,Denys Pommeret
admix,Yahia Salhi
admixr,Martin Petr
ADMM,Kisung You
ADMM,Xiaozhi Zhu
admmDensestSubmatrix,Brendan Ames
ADMMsigma,Matt Galloway
ADMUR,Adrian Timpson
adnuts,Cole Monnahan
adobeanalyticsr,Ben Woodard
adobeanalyticsr,Tim Wilson
adobeanalyticsr,Charles Gallagher
adobeanalyticsr,Mark Edmondson
ADP,Mickey Kislev
ADP,Shira Kislev
ADPclust,Yifan Ethan Xu
ADPclust,Xiao-Feng Wang
ADPF,Phillip Barak
ADPF,Samuel Kruse
adpss,Kosuke Kashiwabara
ads,Raphael Pelissier
adsDataHubR,Pankaj Bhatlawande
AdvancedBasketballStats,Francisco Javier Cantero
AdvancedBasketballStats,Juan Jose Cuadrado
AdvBinomApps,Daniel Kurz
AdvBinomApps,Horst Lewitschnig
AdvDif4,Jader Lugon Junior
AdvDif4,Pedro Paulo Gomes Watts Rodrigues
AdvDif4,Luiz Bevilacqua
AdvDif4,Gisele Moraes Marinho
AdvDif4,Diego Campos Knupp
AdvDif4,Joao Flavio Vieira Vasconcellos
AdvDif4,Antonio Jose Da Silva Neto.
adventr,Andy Field
ADVICE,L. Tazik
ADVICE,W.j. Braun
adw,Panfeng Zhang
adw,Guoyu Ren
adw,Yun Qin
adw,Chenchen Ren
adw,Xiang Zheng
adwave,Jean Sanderson
adwordsR,Sean Longthorpe
adwordsR,Johannes Burkhardt
AEDForecasting,Claster William B.
AEDForecasting,Philip Sallis
AEDForecasting,Nhat Cuong Pham
AEenrich,Shuoran Li
AEenrich,Hongfan Chen
AEenrich,Lili Zhao
AEenrich,Michael Kleinsasser
AEP,Mahdi Teimouri
AER,Christian Kleiber
AER,Achim Zeileis
AeRobiology,Jesus Rojo
AeroSampleR,Mark Hogue
AF,Elisabeth Dahlqwist
AF,Arvid Sjolander
afc,Andreas Weigel
afc,Jonas Bhend
afdx,John J. Aponte
afdx,Orvalho Augusto
afex,Henrik Singmann
afex,Ben Bolker
afex,Jake Westfall
afex,Frederik Aust
afex,Mattan S. Ben-Shachar
afex,Soren Hojsgaard
afex,John Fox
afex,Michael A. Lawrence
afex,Ulf Mertens
afex,Jonathon Love
afex,Russell Lenth
afex,Rune Haubo Bojesen Christensen
AFFECT,Hsiao-Ting Huang
affinity,Michael D. Sumner
affinitymatrix,Edoardo Ciscato
affluenceIndex,Alicja Wolny-Dominiak
affluenceIndex,Anna Saczewska-Piotrowska
AFheritability,Elisabeth Dahlqwist
AFM,Mathieu Beauvais
AFM,Irma Liascukiene
AFM,Jessem Landoulsi
afmToolkit,Rafael Benitez
afmToolkit,Vicente Jose Bolos
afmToolkit,Jose-Luis Toca-Herrera
afpt,Marco Kleinheerenbrink
afpt,Anders Hedenstrom
AFR,Timur Abilkassymov
AFR,Shyngys Shuneyev
AFR,Alua Makhmetova
africamonitor,Sebastian Krantz
aftgee,Sy Han Chiou
aftgee,Sangwook Kang
aftgee,Jun Yan
afthd,Atanu Bhattacharjee
afthd,Gajendra Kumar Vishwakarma
afthd,Pragya Kumari
aftR2,Yuyao Wang
aftR2,Ronghui Xu
afttest,Woojung Bae
afttest,Dongrak Choi
afttest,Jun Yan
afttest,Sangwook Kang
ag5Tools,David Brown
ag5Tools,Kaue De Sousa
ag5Tools,Jacob Van Etten
ag5Tools,Sytze De Bruin
AGD,Stef Van Buuren
ageg,Austin Anders
agena.ai,Erhan Pisirir
agena.ai,Eugene Dementiev
agena.ai,Martin Neil
ageutils,Tim Taylor
agfh,Marten Thompson
agfh,Snigdhansu Chatterjee
agghoo,Sylvain Arlot
agghoo,Benjamin Auder
agghoo,Melina Gallopin
agghoo,Matthieu Lerasle
agghoo,Guillaume Maillard
AggregateR,Matthias Bogaert
AggregateR,Michel Ballings
AggregateR,Dirk Van Den Poel
aggregation,Lynn Yi
aggregation,Lior Pachter
aggTrees,Riccardo Di Francesco
aggutils,Molly Hickman
aggutils,Zach Jacobs
AGHmatrix,Rodrigo Amadeu
AGHmatrix,Luis Ferrao
AGHmatrix,Catherine Cellon
AGHmatrix,Leticia Lara
AGHmatrix,Marcio Resende
AGHmatrix,Ivone Oliveira
AGHmatrix,Patricio Munoz
AGHmatrix,Augusto Garcia
aghq,Alex Stringer
aglm,Kenji Kondo
aglm,Kazuhisa Takahashi
aglm,Hikari Banno
agop,Marek Gagolewski
agop,Anna Cena
AGPRIS,Edoardo Baldoni
agRee,Dai Feng
AgreementInterval,Jialin Xu
AgreementInterval,Jason Liao
agricolae,Felipe De Mendiburu
agricolaeplotr,Jens Harbers
agridat,Kevin Wright
agrifeature,Chun-Han Lee
agriTutorial,Rodney Edmondson
agriTutorial,Hans-Peter Piepho
agriTutorial,Muhammad Yaseen
agriutilities,Johan Aparicio
agriutilities,Alexia Bornhorst
agriutilities,The Alliance Of Bioversity International
agriutilities,Ciat
agriwater,Cesar De Oliveira Ferreira Silva
agriwater,Antonio Heriberto De Castro Teixeira
agriwater,Rodrigo Lilla Manzione
agrmt,Didier Ruedin
AgroR,Gabriel Danilo Shimizu
AgroR,Rodrigo Yudi Palhaci Marubayashi
AgroR,Leandro Simoes Azeredo Goncalves
AgroReg,Gabriel Danilo Shimizu
AgroReg,Leandro Simoes Azeredo Goncalves
agrostab,Anna Cheshkova
AgroTech,Rodrigo Yudi Palhaci Marubayashi
AgroTech,Gabriel Danilo Shimizu
AgroTech,Otavio Jorge Grigoli Abi Saab
ags,Moritz Marbach
agtboost,Berent Anund Stromnes Lunde
agua,Max Kuhn
agua,Qiushi Yan
agua,Steven Pawley
agua,Posit Software
agvgd,Ramiro Magno
agvgd,Isabel Duarte
agvgd,Ana-Teresa Maia
ahaz,Anders Gorst-Rasmussen
AHM,Sumin Shen
AHM,Lulu Kang
AHM,Xinwei Deng
AHMbook,Marc Kery
AHMbook,Andy Royle
AHMbook,Mike Meredith
AHMbook,Ken Kellner
AHMbook,Urs Breitenmoser
AHMbook,Richard Chandler
AHMbook,Bob Dorazio
AHMbook,Evan Grant
AHMbook,John-Andren Henden
AHMbook,Roland Kays
AHMbook,David King
AHMbook,Xavier Lambin
AHMbook,Jeremy Mizel
AHMbook,Anja Molinari-Jobin
AHMbook,Rene-Jean Monneret
AHMbook,Arielle Parsons
AHMbook,Rene Ruffinoni
AHMbook,Michael Schaub
AHMbook,Rahel Solmann
AHMbook,Nicolas Strebel
AHMbook,Chris Sutherland
AHMbook,Mathias Tobler
AHMbook,Gesa Von Hirschheydt
AHMbook,Fridolin Zimmermann
AHMbook,Butterfly Conservation
AHMbook,Dutch Centre For Field Ornithology Sovon
AHMbook,Groupe Pelerin Jura
AHMbook,Hubbard Brook Ecosystem Study
AHMbook,Joint Nature Conservation Committee Jncc
AHMbook,North Carolina Museum Of Natural Sciences
AHMbook,Progetto Lince Italia
ahMLE,Chengyuan Lu
ahnr,Jose Roberto Ayala Solares
AhoCorasickTrie,Matt Chambers
AhoCorasickTrie,Tomas Petricek
AHPGaussian,Cid Edson Povoas
AHPGaussian,Marcos Dos Santos
AHPhybrid,Miguel Angelo Lellis Moreira
AHPhybrid,Marcos Dos Santos
AHPhybrid,Carlos Francisco Simoes Gomes
AHPhybrid,Claudio De Souza Rocha Junior
ahpsurvey,Frankie Cho
AHPtools,Amarnath Bose
ahptopsis2n,Raquel Coutinho
ahptopsis2n,Marcos Dos Santos
AHPWR,Luciane Ferreira Alcoforado
AHPWR,Lyncoln Sousa
AHPWR,Orlando Celso Longo
AHPWR,Alessandra Simao
AHPWR,Steven Dutt Ross
AHPWR,Leonardo Filgueira
AHSurv,Hassan
AHSurv,Muse
AHSurv,Mwalili
AHSurv,Ngesa
AHSurv,Kilai
ahw,Kjetil Roysland
ahw,Pal Christie Ryalen
aIc,Greg Gloor
AICcmodavg,Marc J. Mazerolle
AICcPermanova,Derek Corcoran
AID,Osman Dag
aidar,Andreas Pfeiffer
aides,Enoch Kang
aifeducation,Berding Florian
aifeducation,Pargmann Julia
aifeducation,Riebenbauer Elisabeth
aifeducation,Rebmann Karin
aifeducation,Slopinski Andreas
aihuman,Sooahn Shin
aihuman,Zhichao Jiang
aihuman,Kosuke Imai
aimPlot,Yusman Kamaleri
aimsir17,Jim Duggan
aion,Nicolas Frerebeau
aion,Joe Roe
aion,Brice Lebrun
AIPW,Yongqi Zhong
AIPW,Ashley Naimi
AIPW,Gabriel Conzuelo
AIPW,Edward Kennedy
aire.zmvm,Diego Valle-Jones
airGR,Laurent Coron
airGR,Olivier Delaigue
airGR,Guillaume Thirel
airGR,David Dorchies
airGR,Charles Perrin
airGR,Claude Michel
airGR,Vazken Andreassian
airGR,Francois Bourgin
airGR,Pierre Brigode
airGR,Nicolas Le Moine
airGR,Thibaut Mathevet
airGR,Safouane Mouelhi
airGR,Ludovic Oudin
airGR,Raji Pushpalatha
airGR,Audrey Valery
airGRdatasets,Olivier Delaigue
airGRdatasets,Pierre Brigode
airGRdatasets,Guillaume Thirel
airGRdatasets,Benoit Genot
airGRdatasets,Guilherme Mendoza Guimaraes
airGRdatassim,Gaia Piazzi
airGRdatassim,Olivier Delaigue
airGRdatassim,Guillaume Thirel
airGRdatassim,Maxime Logez
airGRiwrm,David Dorchies
airGRiwrm,Olivier Delaigue
airGRiwrm,Guillaume Thirel
airGRteaching,Olivier Delaigue
airGRteaching,Laurent Coron
airGRteaching,Pierre Brigode
airGRteaching,Guillaume Thirel
aiRly,Piotr Janus
AirMonitor,Jonathan Callahan
AirMonitor,Spencer Pease
AirMonitor,Hans Martin
AirMonitor,Rex Thompson
airnow,Brian Connelly
airportr,Dmitry Shkolnik
airports,Mine Cetinkaya-Rundel
airqualityES,Jose V. Die
airqualityES,Jose R. Caro
airr,Jason Vander Heiden
airr,Susanna Marquez
airr,Scott Christley
airr,Katharina Imkeller
airr,Ulrik Stervbo
airt,Sevvandi Kandanaarachchi
aiRthermo,Jon Saenz
aiRthermo,Santos J. Gonzalez-Roji
aiRthermo,Sheila Carreno-Madinabeitia
aiRthermo,Gabriel Ibarra-Berastegi
aisoph,Yunro Chung
ajv,Jason Thorpe
akc,Tian-Yuan Huang
Ake,W. E. Wansouwe
Ake,S. M. Some
Ake,C. C. Kokonendji
akiFlagger,Ishan Saran
akiFlagger,Shivam Saran
akiFlagger,Rishi Saran
akiFlagger,Aditya Biswas
akiFlagger,Sankee Mummareddy
akiFlagger,Yu Yamamoto
akiFlagger,Francis Perry Wilson
akima,Hiroshi Akima
akima,Albrecht Gebhardt
