response_id,main_branch,age,remote_work,ed_level,years_code,years_code_pro,dev_type,org_size,purchase_influence,buildvs_buy,country,currency,comp_total,so_visit_freq,so_account,so_part_freq,so_comm,ai_select,ai_sent,ai_acc,ai_complex,ai_threat,survey_length,survey_ease,converted_comp_yearly,r_used,r_want_to_use
80,1,4,3,2,42,26,23,NA,NA,NA,United States of America,NA,NA,5,3,2,6,3,2,4,3,2,2,3,NA,0,0
81,1,3,1,3,20,10,13,NA,NA,NA,Germany,NA,NA,5,3,3,6,1,NA,NA,NA,NA,1,3,NA,0,0
82,1,2,1,3,12,9,16,NA,NA,NA,Finland,NA,NA,3,3,2,1,3,4,4,1,2,2,3,NA,0,0
83,1,3,3,3,34,20,20,NA,NA,NA,Slovakia,NA,NA,5,3,5,5,2,1,NA,NA,2,1,3,NA,0,0
84,1,2,3,7,15,4,12,NA,NA,NA,Poland,NA,NA,2,3,1,3,1,NA,NA,NA,NA,2,3,NA,0,0
85,1,2,NA,2,19,12,13,NA,NA,NA,United States of America,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,2,NA,0,0
86,4,1,NA,6,4,NA,26,NA,NA,NA,United States of America,NA,NA,2,3,5,6,1,NA,NA,NA,NA,1,3,NA,0,0
87,1,4,1,6,40,29,16,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,1,3,5,1,3,1,3,1,2,2,2,NA,0,0
88,1,2,1,2,12,9,16,NA,NA,NA,Germany,NA,NA,3,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
89,1,3,1,3,20,20,16,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,3,NA,0,0
90,2,2,2,3,2,NA,31,NA,NA,NA,India,NA,NA,1,3,5,5,2,1,NA,NA,2,1,2,NA,0,0
91,4,1,NA,7,2,NA,8,NA,NA,NA,Russian Federation,NA,NA,2,3,4,1,1,NA,NA,NA,NA,1,3,NA,0,0
92,4,8,NA,4,7,NA,33,NA,NA,NA,Poland,NA,NA,1,3,4,3,3,2,1,4,2,1,2,NA,0,0
93,1,5,1,2,40,37,32,NA,NA,NA,United States of America,NA,NA,5,3,6,6,3,1,3,3,1,2,2,NA,0,NA
94,1,2,1,2,10,4,16,NA,NA,NA,Ireland,NA,NA,2,3,4,2,2,1,NA,NA,2,1,2,NA,0,0
95,2,8,NA,7,4,NA,16,NA,NA,NA,"Iran, Islamic Republic of...",NA,NA,3,3,1,1,3,1,1,4,3,1,3,NA,0,0
96,1,2,2,2,6,2,16,NA,NA,NA,Greece,NA,NA,3,3,2,1,3,1,3,1,3,2,2,NA,0,0
97,1,2,3,2,11,7,18,NA,NA,NA,India,NA,NA,2,3,5,6,3,5,5,2,3,2,2,NA,0,NA
98,1,5,1,5,37,33,16,NA,NA,NA,United States of America,NA,NA,5,3,6,5,2,6,NA,NA,2,1,2,NA,0,NA
99,1,1,1,6,4,1,12,NA,NA,NA,Italy,NA,NA,5,3,5,3,3,5,2,2,2,1,3,NA,0,0
100,4,8,NA,4,2,NA,17,NA,NA,NA,Israel,NA,NA,5,3,5,1,1,NA,NA,NA,NA,2,2,NA,0,0
101,1,2,3,6,15,11,12,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,3,4,3,3,5,5,1,3,1,2,NA,0,0
102,1,2,2,3,10,3,16,NA,NA,NA,Poland,NA,NA,2,3,5,3,3,2,4,4,2,1,2,NA,0,0
103,1,2,3,2,11,8,12,NA,NA,NA,Italy,NA,NA,3,3,4,1,3,1,3,2,2,1,3,NA,0,0
104,1,3,1,3,30,15,26,NA,NA,NA,France,NA,NA,3,3,2,5,3,3,1,4,2,1,3,NA,0,0
105,1,4,1,7,30,24,12,NA,NA,NA,Germany,NA,NA,3,3,1,5,3,1,5,3,2,2,NA,NA,0,NA
106,1,2,3,2,7,3,12,NA,NA,NA,India,NA,NA,1,3,5,3,3,2,4,1,2,1,2,NA,0,0
107,3,8,NA,8,7,NA,33,NA,NA,NA,Italy,NA,NA,1,3,5,3,1,NA,NA,NA,NA,1,2,NA,0,0
108,1,2,2,2,8,6,13,NA,NA,NA,United States of America,NA,NA,2,3,2,3,3,2,4,1,1,1,2,NA,0,0
109,1,4,1,2,29,26,16,NA,NA,NA,Belgium,NA,NA,5,3,3,5,1,NA,NA,NA,NA,1,2,NA,0,0
110,3,1,NA,7,10,0,33,NA,NA,NA,Australia,NA,NA,3,3,1,6,3,5,5,2,2,1,2,NA,0,0
111,1,1,1,3,11,6,18,NA,NA,NA,Greece,NA,NA,5,3,1,1,3,1,3,2,3,1,3,NA,0,0
112,2,1,NA,7,8,NA,33,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,1,NA,2,3,2,4,1,1,1,2,NA,0,NA
113,1,4,1,2,15,13,15,NA,NA,NA,Ireland,NA,NA,3,3,1,5,3,1,4,1,1,2,3,NA,0,0
114,1,4,1,3,35,35,1,NA,NA,NA,United States of America,NA,NA,3,3,3,3,1,NA,NA,NA,NA,1,2,NA,1,1
115,1,2,3,1,5,4,15,NA,NA,NA,Turkey,NA,NA,3,3,1,5,1,NA,NA,NA,NA,2,2,NA,0,0
116,1,3,1,2,16,12,13,NA,NA,NA,United States of America,NA,NA,3,3,5,6,3,2,4,1,2,1,3,NA,0,0
117,1,3,1,3,33,27,29,NA,NA,NA,Germany,NA,NA,2,3,1,1,1,NA,NA,NA,NA,NA,3,NA,0,0
118,1,1,3,7,9,5,6,NA,NA,NA,Austria,NA,NA,3,3,1,6,3,5,3,2,2,2,2,NA,0,0
119,1,2,1,2,10,7,12,NA,NA,NA,Sweden,NA,NA,2,3,4,3,3,1,5,1,2,1,2,NA,0,0
120,1,3,3,2,25,25,16,NA,NA,NA,Mexico,NA,NA,5,3,2,6,1,NA,NA,NA,NA,1,2,NA,0,NA
121,3,2,1,2,9,3,5,NA,NA,NA,United Republic of Tanzania,NA,NA,4,3,5,6,3,5,5,5,2,1,2,NA,0,0
122,3,4,1,3,34,30,26,NA,NA,NA,Ireland,NA,NA,2,3,5,3,3,2,5,3,2,1,2,NA,0,1
123,4,8,NA,6,5,NA,33,NA,NA,NA,United States of America,NA,NA,2,3,1,6,1,NA,NA,NA,NA,1,3,NA,0,0
124,1,2,1,2,12,8,12,NA,NA,NA,Germany,NA,NA,1,2,NA,3,1,NA,NA,NA,NA,1,2,NA,0,0
125,1,3,3,2,15,12,23,NA,NA,NA,Japan,NA,NA,5,3,5,5,3,1,4,1,2,1,2,NA,0,0
126,1,2,1,3,13,5,15,NA,NA,NA,Austria,NA,NA,3,3,3,5,3,1,4,3,2,1,2,NA,0,0
127,1,2,1,3,11,8,12,NA,NA,NA,India,NA,NA,1,3,4,6,3,5,3,2,2,2,2,NA,0,0
128,1,2,3,3,18,10,16,NA,NA,NA,United States of America,NA,NA,3,3,2,6,3,1,4,1,3,1,NA,NA,0,0
129,1,3,3,2,30,23,16,NA,NA,NA,United States of America,NA,NA,2,3,1,6,3,1,5,2,2,1,3,NA,0,0
130,1,3,2,6,30,30,16,NA,NA,NA,Sweden,NA,NA,3,3,1,1,3,1,4,3,2,1,3,NA,0,0
131,1,3,3,3,22,18,13,NA,NA,NA,Ukraine,NA,NA,3,3,1,6,1,NA,NA,NA,NA,1,3,NA,0,0
132,3,2,1,2,13,9,23,NA,NA,NA,Germany,NA,NA,2,3,5,1,3,5,5,1,2,2,3,NA,0,0
133,1,1,3,3,5,3,12,NA,NA,NA,Ukraine,NA,NA,3,3,2,6,3,1,5,2,2,1,2,NA,0,0
134,1,1,1,7,10,2,16,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,3,4,2,1,NA,NA,NA,NA,1,2,NA,0,0
135,3,6,1,3,51,45,21,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,2,5,2,2,NA,NA,2,1,3,NA,0,0
136,1,1,NA,2,10,4,16,NA,NA,NA,Hungary,NA,NA,5,3,5,6,3,2,3,3,2,1,2,NA,0,0
137,4,8,NA,4,3,NA,16,NA,NA,NA,United States of America,NA,NA,5,3,2,5,1,NA,NA,NA,NA,1,2,NA,0,0
138,1,3,1,2,11,9,16,NA,NA,NA,Argentina,NA,NA,3,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
139,4,1,NA,4,6,NA,33,NA,NA,NA,Sweden,NA,NA,3,3,5,3,1,NA,NA,NA,NA,1,2,NA,0,0
140,1,8,1,6,8,6,16,NA,NA,NA,Pakistan,NA,NA,3,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
141,3,2,NA,2,8,4,20,NA,NA,NA,India,NA,NA,3,3,3,6,2,1,NA,NA,1,1,3,NA,0,0
142,1,2,2,7,10,5,16,NA,NA,NA,Italy,NA,NA,5,3,3,6,3,1,3,4,2,1,3,NA,0,0
143,3,4,1,2,8,6,NA,NA,NA,NA,India,NA,NA,1,3,1,1,3,5,5,2,2,1,1,NA,0,0
144,1,1,1,7,5,1,21,NA,NA,NA,Australia,NA,NA,3,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
145,1,2,1,2,9,6,16,NA,NA,NA,United States of America,NA,NA,2,3,4,1,1,NA,NA,NA,NA,1,3,NA,0,0
146,1,2,1,2,5,1,18,NA,NA,NA,United States of America,NA,NA,5,3,4,3,3,3,4,2,3,1,2,NA,0,0
147,1,3,1,2,23,17,5,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,1,3,1,NA,NA,NA,NA,1,2,NA,0,NA
148,1,3,NA,2,25,18,16,NA,NA,NA,United States of America,NA,NA,3,3,4,5,2,3,NA,NA,2,1,2,NA,0,0
149,1,2,3,2,8,6,16,NA,NA,NA,United States of America,NA,NA,2,3,1,3,2,1,NA,NA,1,1,2,NA,0,0
150,1,3,3,7,14,13,16,NA,NA,NA,Croatia,NA,NA,5,3,6,5,3,6,1,4,2,1,2,NA,0,0
151,1,2,3,2,11,3,16,NA,NA,NA,Turkey,NA,NA,5,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
152,1,3,NA,7,22,22,15,NA,NA,NA,Finland,NA,NA,2,3,1,6,2,4,NA,NA,1,1,3,NA,NA,NA
153,1,3,1,2,5,4,16,NA,NA,NA,United States of America,NA,NA,1,3,4,1,3,2,3,3,2,2,2,NA,0,0
154,1,2,3,3,12,4,12,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,1,5,3,1,4,2,2,1,2,NA,0,NA
155,1,2,1,3,15,11,17,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,3,3,5,5,3,1,3,4,2,2,3,NA,0,0
156,1,2,3,3,12,10,16,NA,NA,NA,Portugal,NA,NA,3,3,2,6,3,1,5,2,2,1,3,NA,0,0
157,1,5,1,8,40,31,16,NA,NA,NA,Netherlands,NA,NA,5,3,3,6,3,2,1,NA,2,2,2,NA,0,0
158,1,1,2,1,5,4,16,NA,NA,NA,United States of America,NA,NA,3,3,5,1,3,2,5,3,2,2,2,NA,0,0
159,1,2,1,2,12,5,16,NA,NA,NA,Sri Lanka,NA,NA,3,3,1,5,3,2,4,4,2,2,3,NA,0,0
160,1,1,3,6,14,3,12,NA,NA,NA,United States of America,NA,NA,5,3,1,5,3,1,1,4,2,1,2,NA,0,0
161,3,1,1,2,6,0,20,NA,NA,NA,Netherlands,NA,NA,3,3,5,3,1,NA,NA,NA,NA,1,2,NA,0,0
162,1,2,3,3,10,5,16,NA,NA,NA,Latvia,NA,NA,2,3,1,6,3,2,3,1,2,1,3,NA,0,0
163,1,2,3,2,18,6,16,NA,NA,NA,Sri Lanka,NA,NA,3,3,1,5,3,5,4,1,2,1,3,NA,0,0
164,1,3,1,3,30,19,16,NA,NA,NA,Portugal,NA,NA,3,3,2,6,2,1,NA,NA,2,2,3,NA,0,0
165,1,2,1,2,9,9,16,NA,NA,NA,India,NA,NA,3,3,1,5,3,1,3,1,2,1,2,NA,0,0
166,1,3,3,3,18,16,16,NA,NA,NA,United States of America,NA,NA,3,3,5,5,3,5,5,3,2,1,2,NA,0,0
167,1,1,2,2,10,2,16,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,3,5,6,3,2,3,1,1,1,3,NA,0,0
168,4,1,NA,7,3,NA,33,NA,NA,NA,China,NA,NA,2,3,1,1,3,1,3,2,2,1,2,NA,0,0
169,1,2,1,2,14,8,15,NA,NA,NA,Singapore,NA,NA,1,3,1,6,3,1,3,2,1,2,3,NA,0,0
170,1,4,2,3,28,21,19,NA,NA,NA,China,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,2,NA,0,0
171,1,1,3,2,3,2,33,NA,NA,NA,Lebanon,NA,NA,2,3,5,6,3,1,4,1,2,2,2,NA,0,0
172,3,3,3,3,25,15,31,NA,NA,NA,United States of America,NA,NA,2,3,5,2,2,2,NA,NA,2,1,3,NA,0,0
173,1,1,3,7,6,2,16,NA,NA,NA,Romania,NA,NA,1,3,1,1,3,5,5,3,2,1,3,NA,0,0
174,1,1,1,2,5,0,12,NA,NA,NA,Philippines,NA,NA,5,3,1,1,3,2,3,3,1,2,3,NA,0,0
175,3,1,NA,7,10,NA,33,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,1,1,NA,3,1,NA,NA,NA,NA,1,2,NA,0,0
176,1,2,2,3,8,2,16,NA,NA,NA,United States of America,NA,NA,5,3,2,5,3,1,4,4,2,1,2,NA,0,0
177,1,3,1,2,24,15,16,NA,NA,NA,United States of America,NA,NA,2,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
178,1,2,1,2,9,2,29,NA,NA,NA,Spain,NA,NA,2,3,5,6,3,5,5,2,2,1,2,NA,0,0
179,1,5,NA,6,33,31,26,NA,NA,NA,Germany,NA,NA,1,3,5,3,3,1,1,4,2,1,2,NA,0,0
180,3,1,NA,7,10,0,26,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,4,3,5,2,2,2,NA,NA,2,1,3,NA,0,0
181,1,2,1,3,10,6,16,NA,NA,NA,Portugal,NA,NA,2,3,5,5,3,5,4,2,2,1,2,NA,1,0
182,2,1,3,7,5,NA,26,NA,NA,NA,Poland,NA,NA,2,2,NA,2,1,NA,NA,NA,NA,1,2,NA,0,0
183,1,2,3,2,14,8,12,NA,NA,NA,United States of America,NA,NA,3,3,5,1,3,1,5,2,2,1,2,NA,0,0
184,1,4,3,7,7,4,16,NA,NA,NA,Canada,NA,NA,3,3,3,6,1,NA,NA,NA,NA,1,2,NA,0,NA
185,1,3,3,3,30,17,16,NA,NA,NA,Hungary,NA,NA,5,3,1,6,3,5,5,1,1,1,2,NA,0,0
186,1,3,1,3,22,19,16,NA,NA,NA,France,NA,NA,2,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
187,1,2,2,2,4,1,5,NA,NA,NA,Russian Federation,NA,NA,3,3,2,5,3,5,5,2,1,NA,NA,NA,0,0
188,1,3,3,7,9,4,20,NA,NA,NA,United States of America,NA,NA,2,3,4,3,3,5,5,3,2,1,3,NA,0,0
189,1,2,3,2,8,8,23,NA,NA,NA,Canada,NA,NA,1,3,4,3,2,1,NA,NA,1,1,3,NA,0,0
190,1,3,1,6,19,18,16,NA,NA,NA,Czech Republic,NA,NA,2,3,1,6,1,NA,NA,NA,NA,1,2,NA,0,0
191,1,5,3,7,31,30,12,NA,NA,NA,Canada,NA,NA,1,3,1,3,2,1,NA,NA,1,1,3,NA,0,0
192,1,3,1,7,20,15,12,NA,NA,NA,Bulgaria,NA,NA,2,3,1,1,3,1,3,1,3,1,3,NA,0,0
193,1,1,3,2,11,5,16,NA,NA,NA,Bulgaria,NA,NA,5,3,3,6,1,NA,NA,NA,NA,1,2,NA,0,0
194,5,3,1,2,25,NA,23,NA,NA,NA,Portugal,NA,NA,4,3,5,6,3,1,5,3,2,1,2,NA,0,0
195,1,1,2,2,10,3,29,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,3,3,4,6,1,NA,NA,NA,NA,1,2,NA,0,0
196,1,2,1,3,17,11,27,NA,NA,NA,India,NA,NA,5,3,5,5,2,2,NA,NA,1,2,3,NA,0,0
197,1,3,2,5,30,15,1,NA,NA,NA,Germany,NA,NA,1,3,1,1,3,3,4,4,2,1,1,NA,1,1
198,1,2,1,7,16,14,29,NA,NA,NA,Portugal,NA,NA,1,3,5,3,1,NA,NA,NA,NA,1,3,NA,0,0
