name,address,town_city,county_area,state_region,country,lat,long,type,status,year_completed,approaches,driveways,lane_type,functional_class,control_type,other_control_type,previous_control_type
Meridian Ave. N / N 42nd St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3338,47.65797,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Bagley Ave. N / N 44th St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3326,47.66029,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Ridgewood St. / Casler Ave.,"Clearwater, Pinellas Co., FL (United States)",Clearwater, Pinellas Co., FL,United States,-82.76752,27.97013,Traffic Calming Circle,Existing,2002,0,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
Darien Ln. / (unknown),"Twinsburg, Summit Co., OH (United States)",Twinsburg, Summit Co., OH,United States,-81.42608,41.32028,Traffic Calming Circle,Existing,2007,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
Westbury Dr. / Alta Dena St.,"Huntsville, Madison Co., AL (United States)",Huntsville, Madison Co., AL,United States,-86.56959999999998,34.68877,Traffic Calming Circle,Existing,0,3,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
<![CDATA[O'Shaughnessy Ave. / England St.]]>,"Huntsville, Madison Co., AL (United States)",Huntsville, Madison Co., AL,United States,-86.57289,34.74288,Traffic Calming Circle,Existing,0,4,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Old Mill Pointe / (unknown),"Wattsville, Accomack Co., VA (United States)",Wattsville, Accomack Co., VA,United States,-75.48856999999998,37.95075,Traffic Calming Circle,Existing,2008,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
NH 10 (Lyme Rd.) / (no intersecting street),"Hanover, Grafton Co., NH (United States)",Hanover, Grafton Co., NH,United States,-72.2686808,43.7276275,Roundabout,Existing,2006,2,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Guilford Ave. / E 32nd St.,"Baltimore, Baltimore City Co., MD (United States)",Baltimore, Baltimore City Co., MD,United States,-76.61345,39.32703,Roundabout,Existing,2012,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,All-Way Stop
Pulaski Rd. / 16th St. NE,"Buffalo, Wright Co., MN (United States)",Buffalo, Wright Co., MN,United States,-93.84424000000001,45.19438,Other,Existing,2002,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
6th St. E / 15th Ave. E,"West Fargo, Cass Co., ND (United States)",West Fargo, Cass Co., ND,United States,-96.89176680000001,46.8589378,Traffic Calming Circle,Existing,2006,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
S 34th St. / 40th Ave. S,"Grand Forks, Grand Forks Co., ND (United States)",Grand Forks, Grand Forks Co., ND,United States,-97.0773578,47.8824351,Roundabout,Existing,2014,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
N Clarendon Ave,"Portland, Multnomah Co., OR (United States)",Portland, Multnomah Co., OR,United States,-122.72415,45.58974,Traffic Calming Circle,Existing,0,1,1,Single-Lane,Other (At-Grade),Unknown,None,Unknown
NE 24th Ave. / Brazee St.,"Portland, Multnomah Co., OR (United States)",Portland, Multnomah Co., OR,United States,-122.6411,45.5405,Traffic Calming Circle,Existing,1989,4,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
NE Holman St. / NE 37th Ave.,"Portland, Multnomah Co., OR (United States)",Portland, Multnomah Co., OR,United States,-122.6255741,45.5682635,Traffic Calming Circle,Existing,1988,4,0,Single-Lane,Other (At-Grade),Unknown,None,Unknown
SE 58th Ave. / SE Woodward St.,"Portland, Multnomah Co., OR (United States)",Portland, Multnomah Co., OR,United States,-122.6031,45.5014,Traffic Calming Circle,Existing,1988,4,0,Single-Lane,Other (At-Grade),Unknown,None,Unknown
W Dimond Blvd. / Snead St. / Westpark Dr.,"Anchorage, Anchorage, AK (United States)",Anchorage, Anchorage, AK,United States,-149.98944,61.13943,Roundabout,Existing,2016,3,1,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
D St. / Jeanne Dr.,"Fairbanks, Fairbanks North Star, AK (United States)",Fairbanks, Fairbanks North Star, AK,United States,-147.67641,64.85369,Traffic Calming Circle,Existing,2010,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
D St. / Cindy Dr.,"Fairbanks, Fairbanks North Star, AK (United States)",Fairbanks, Fairbanks North Star, AK,United States,-147.67694,64.85149,Traffic Calming Circle,Existing,2010,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
D St. / Shannon Dr.,"Fairbanks, Fairbanks North Star, AK (United States)",Fairbanks, Fairbanks North Star, AK,United States,-147.67696,64.85,Traffic Calming Circle,Existing,2010,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
C St. / Eureka Ave.,"Fairbanks, Fairbanks North Star, AK (United States)",Fairbanks, Fairbanks North Star, AK,United States,-147.68117,64.84572,Traffic Calming Circle,Existing,2010,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
C St. / Dunbar Ave.,"Fairbanks, Fairbanks North Star, AK (United States)",Fairbanks, Fairbanks North Star, AK,United States,-147.68117,64.84676,Traffic Calming Circle,Existing,2010,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
Shasta View Dr. / Lemurian Rd.,"Redding, Shasta Co., CA (United States)",Redding, Shasta Co., CA,United States,-122.30641,40.52218,Roundabout,Existing,2016,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Shasta St. / Almond Ave.,"Redding, Shasta Co., CA (United States)",Redding, Shasta Co., CA,United States,-122.40809,40.58272,Traffic Calming Circle,Existing,2006,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Uncontrolled
Shasta St. / Olive Ave.,"Redding, Shasta Co., CA (United States)",Redding, Shasta Co., CA,United States,-122.40524,40.58343,Roundabout,Existing,2006,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Madison River Dr. / Yellowstone Dr.,"Redding, Shasta Co., CA (United States)",Redding, Shasta Co., CA,United States,-122.31782,40.54201,Traffic Calming Circle,Existing,2002,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Madison River Dr. / Clark River Dr.,"Redding, Shasta Co., CA (United States)",Redding, Shasta Co., CA,United States,-122.3191353,40.541977,Traffic Calming Circle,Existing,2002,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
NW West St. / NW Pennsylvania Ave.,"Chehalis, Lewis Co., WA (United States)",Chehalis, Lewis Co., WA,United States,-122.97639,46.66652,Traffic Calming Circle,Existing,2008,4,0,Unknown,Other (At-Grade),One-Way/Two-Way Stop,None,One/Two-Way Stop
Royal Pointe Dr. / Arrowhead Dr.,"Bloomington, McLean Co., IL (United States)",Bloomington, McLean Co., IL,United States,-88.93044999999998,40.49332,Traffic Calming Circle,Removed,2014,4,0,Single-Lane,Other (At-Grade),Other,None,Unknown
Montserrat Ln. / Blackhawk Ct.,"Loomis, Placer Co., CA (United States)",Loomis, Placer Co., CA,United States,-121.18684,38.786143,Roundabout,Existing,2007,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Everson Goshen Rd. / E Smith Rd.,"Bellingham, Whatcom Co., WA (United States)",Bellingham, Whatcom Co., WA,United States,-122.37755,48.83263,Roundabout,Existing,2015,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,All-Way Stop
US 2-US 97 / Enterprise Dr.,"East Wenatchee, Douglas Co., WA (United States)",East Wenatchee, Douglas Co., WA,United States,-120.2973121,47.5110122,Roundabout,Existing,2016,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Seabeck Hwy NW / NW Holly Rd.,"Seabeck, Kitsap Co., WA (United States)",Seabeck, Kitsap Co., WA,United States,-122.75692,47.60901,Roundabout,Existing,2015,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
NW 46th St. / NW Rochester Rd.,"Topeka, Shawnee Co., KS (United States)",Topeka, Shawnee Co., KS,United States,-95.67268,39.1291,Roundabout,Existing,2014,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
Central St. / Buena Vista Ave.,"Jackson, Hinds Co., MS (United States)",Jackson, Hinds Co., MS,United States,-90.21358,32.30306,Roundabout,Existing,2005,4,0,Single-Lane,Other (At-Grade),Unknown,Unknown,All-Way Stop
King St. / Rye Lake Ave.,"Greenwich, Fairfield Co., CT (United States)",Greenwich, Fairfield Co., CT,United States,-73.70279999999998,41.07508,Roundabout,Removed,2006,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
34th Ave. SW / SW Elmgrove St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3753,47.53009,Traffic Calming Circle,Existing,0,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
31st Ave. E / E. Pike St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.2925,47.6141,Traffic Calming Circle,Existing,0,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
32nd Ave. E / E. Pike St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.2914,47.61408,Traffic Calming Circle,Existing,0,4,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Tanbridge Rd. / Wells Rd. ,"Wilmington, New Hanover Co., NC (United States)",Wilmington, New Hanover Co., NC,United States,-77.83775799999998,34.244063,Roundabout,Existing,2009,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,Unknown
Irby Dr. / Amelia Dr.,"Conway, Faulkner Co., AR (United States)",Conway, Faulkner Co., AR,United States,-92.489252,35.106755,Traffic Calming Circle,Existing,2003,4,0,Single-Lane,Other (At-Grade),All-Way Stop,None,One/Two-Way Stop
Irby Dr. / Poteete Dr.,"Conway, Faulkner Co., AR (United States)",Conway, Faulkner Co., AR,United States,-92.493551,35.106807,Traffic Calming Circle,Existing,2003,3,0,Single-Lane,Other (At-Grade),All-Way Stop,None,One/Two-Way Stop
IN-46 / IN-641 SB Ramps,"Terre Haute, Vigo Co., IN (United States)",Terre Haute, Vigo Co., IN,United States,-87.33552799999998,39.414627,Roundabout,Existing,2016,3,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,None,None (new)
Bridgetown Pike / W Maple (SR 0213) / Bridgetown Pike (SR 2010),"Lower Southampton Township, Bucks Co., PA (United States)",Lower Southampton Township, Bucks Co., PA,United States,-74.96831,40.17417,Roundabout,Existing,2016,3,1,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
Bair Blvd / Rachel Dr,"New Stanton, Westmoreland Co., PA (United States)",New Stanton, Westmoreland Co., PA,United States,-79.61571999999998,40.21929,Roundabout,Existing,2016,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
N Vandeventer Ave. / W Ila St.,"Fayetteville, Washington Co., AR (United States)",Fayetteville, Washington Co., AR,United States,-94.164354,36.071005,Traffic Calming Circle,Existing,2008,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),One-Way/Two-Way Stop,None,One/Two-Way Stop
N Vandeventer Ave. / W Cleburn St.,"Fayetteville, Washington Co., AR (United States)",Fayetteville, Washington Co., AR,United States,-94.164265,36.074713,Traffic Calming Circle,Existing,2008,4,0,Single-Lane,Other (At-Grade),One-Way/Two-Way Stop,None,One/Two-Way Stop
S 63rd St. / Shirley St.,"Omaha, Douglas Co., NE (United States)",Omaha, Douglas Co., NE,United States,-96.0096,41.24148,Roundabout,Existing,2017,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
G Rd. / 23rd Rd.,"Grand Junction, Mesa Co., CO (United States)",Grand Junction, Mesa Co., CO,United States,-108.626687,39.10632,Roundabout,Existing,2011,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Aspen Trl. / Amberley Way,"(unincorporated), Strathcona Co., AB (Canada)",(unincorporated), Strathcona Co., AB,Canada,-113.279852,53.561698,Roundabout,Existing,2014,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Bethel Way / Bison Way,"(unincorporated), Strathcona Co., AB (Canada)",(unincorporated), Strathcona Co., AB,Canada,-113.302111,53.550337,Roundabout,Existing,2015,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Fairplains Rd. / Reynolds Rd.,"North Wilkesboro, Wilkes Co., NC (United States)",North Wilkesboro, Wilkes Co., NC,United States,-81.14436999999998,36.19561,Roundabout,Existing,2017,3,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
Schweitzer Cutoff Rd / N Boyer Ave,"Sandpoint, Bonner Co., ID (United States)",Sandpoint, Bonner Co., ID,United States,-116.5519,48.30915,Roundabout,Existing,2017,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
Mohawk Boulevard / Mason City HS parking lots,"Mason City, Cerro Gordo Co., IA (United States)",Mason City, Cerro Gordo Co., IA,United States,-93.16502,43.14796,Roundabout,Existing,2013,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,None (new)
SR 763 (Wedgefield Rd.) / Pitts Rd.,"Sumter, Sumter Co., SC (United States)",Sumter, Sumter Co., SC,United States,-80.40885799999998,33.910036,Roundabout,Existing,2016,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Sound Beach Ave. / (unknown),"Greenwich, Fairfield Co., CT (United States)",Greenwich, Fairfield Co., CT,United States,-73.567154,41.03011,Traffic Calming Circle,Existing,0,4,0,Single-Lane,Other (At-Grade),Other,None,None (new)
S Main St. / 10th Ave.,"Stillwater, Payne Co., OK (United States)",Stillwater, Payne Co., OK,United States,-97.058587,36.111249,Roundabout,Existing,2015,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
Nicola St. / 12th Ave.,"Kamloops, Thompson-Nicola, BC (Canada)",Kamloops, Thompson-Nicola, BC,Canada,-120.311765,50.672239,Traffic Calming Circle,Existing,2014,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
King St. / 19th St. S,"La Crosse, La Crosse Co., WI (United States)",La Crosse, La Crosse Co., WI,United States,-91.22819,43.81013,Traffic Calming Circle,Existing,0,4,0,Single-Lane,Other (At-Grade),Other,Unknown,Unknown
Enterprise Ave. / Lewis Ranch Rd.,"Conway, Faulkner Co., AR (United States)",Conway, Faulkner Co., AR,United States,-92.41281,35.06992,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,None (new)
Pine Cone Dr. / (future),"Buford, Hall Co., GA (United States)",Buford, Hall Co., GA,United States,-84.02947,34.18283,Other,Existing,0,3,0,Single-Lane,Other (At-Grade),Uncontrolled,Unknown,Unknown
Gould Rd. / Powell Ave.,"Bexley, Franklin Co., OH (United States)",Bexley, Franklin Co., OH,United States,-82.92368999999998,39.965988,Traffic Calming Circle,Existing,0,4,0,Single-Lane,Other (At-Grade),One-Way/Two-Way Stop,Unknown,Unknown
Pol. Ind. Río Pinto / Pol. Ind. Río Pinto III,"Coaña, Asturias, Principality of Asturias (Spain)",Coaña, Asturias, Principality of Asturias,Spain,-6.761098,43.542734,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Calle Levante,"Arona, Santa Cruz de Tenerife, Canary Islands (Spain)",Arona, Santa Cruz de Tenerife, Canary Islands,Spain,-16.648647,28.050338,Other,Existing,0,1,0,Single-Lane,Other (At-Grade),Other,Unknown,Unknown
(unknown) / (unknown),"Granadilla de Abona, Santa Cruz de Tenerife, Canary Islands (Spain)",Granadilla de Abona, Santa Cruz de Tenerife, Canary Islands,Spain,-16.578782,28.033319,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Hwy 27 (Main Ave. W) / 4th St.,"Sundre, Alberta, AB (Canada)",Sundre, Alberta, AB,Canada,-114.64517,51.79629,Roundabout,Existing,2017,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
Hwy 27 (Main Ave. W) / 2nd St.,"Sundre, Alberta, AB (Canada)",Sundre, Alberta, AB,Canada,-114.641839,51.797055,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
US 81 (5th St.) / 20th Ave. SE,"Watertown, Codington Co., SD (United States)",Watertown, Codington Co., SD,United States,-97.1089,44.87638,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
North Rd. / 13th St W,"Grand Island, Hall Co., NE (United States)",Grand Island, Hall Co., NE,United States,-98.397617,40.931538,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,All-Way Stop
S Adams Central Ave. / (High school parking lot) / (Elementary school parking lot),"Hastings, Adams Co., NE (United States)",Hastings, Adams Co., NE,United States,-98.45891,40.570689,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
Main St. / (unknown),"Superior, Boulder Co., CO (United States)",Superior, Boulder Co., CO,United States,-105.163529,39.951686,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Goffstown Rd. / Eddy Rd. / Amoskeag St. / I-293 Ramps,"Manchester, Hillsborough Co., NH (United States)",Manchester, Hillsborough Co., NH,United States,-71.475071,43.004024,Rotary,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Freeway Ramps (Grade-Separated),Uncontrolled,Unknown,Unknown
12th Ave. NE / 9th St. NE,"West Fargo, Cass Co., ND (United States)",West Fargo, Cass Co., ND,United States,-96.882846,46.890715,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
N Airport Rd. / Aggie Rd.,"Jonesboro, Craighead Co., AR (United States)",Jonesboro, Craighead Co., AR,United States,-90.650221,35.846305,Roundabout,Existing,2016,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,All-Way Stop
W 32nd St. / Central City Rd. / Antelope Rd.,"Joplin, Jasper Co., MO (United States)",Joplin, Jasper Co., MO,United States,-94.58438,37.056328,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,All-Way Stop
Belle Place Olivier Rd. (LA 320) / Loreauville Rd. (LA 86),"New Iberia, Iberia Par., LA (United States)",New Iberia, Iberia Par., LA,United States,-91.743492,30.009469,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,All-Way Stop
W 186th St. / Spring Mill Rd.,"Westfield, Hamilton Co., IN (United States)",Westfield, Hamilton Co., IN,United States,-86.165637,40.056918,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
SR 754 (Coalfield Rd.) / Queesgate Rd. / Miners Trail Rd.,"Midlothian, Chesterfield Co., VA (United States)",Midlothian, Chesterfield Co., VA,United States,-77.654328,37.477248,Roundabout,Existing,2013,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Crestview Dr. / Birdhaven Loop,"Newberg, Yamhill Co., OR (United States)",Newberg, Yamhill Co., OR,United States,-122.936991,45.314836,Roundabout,Existing,2012,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
N Meridian Ave. / NW 178th St. (W Edmond Rd.),"Edmond, Oklahoma Co., OK (United States)",Edmond, Oklahoma Co., OK,United States,-97.60285,35.65307,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
N325 / A12 Ramps / A348 / President Kennedylaan,"Arnhem, Arnhem, Gelderland (Netherlands)",Arnhem, Arnhem, Gelderland,Netherlands,5.97865,51.98192,Signalized Roundabout/Circle,Existing,0,5,0,Multilane (3+ Lane),Freeway Ramps (Grade-Separated),Signal,Unknown,Unknown
N408 / E35-A12 Ramps,"Utrecht, Utrecht, Utrecht (Netherlands)",Utrecht, Utrecht, Utrecht,Netherlands,5.12223,52.05643,Signalized Roundabout/Circle,Existing,0,4,0,Multilane (3+ Lane),Freeway Ramps (Grade-Separated),Signal,Unknown,Unknown
S Miller St / Red Apple Rd,"Wenatchee, Chelan Co., WA (United States)",Wenatchee, Chelan Co., WA,United States,-120.324561,47.407973,Roundabout,Existing,2018,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,Unknown,All-Way Stop
SR 155 (Garces Hwy.) / Browning Ave.,"Delano, Kern Co., CA (United States)",Delano, Kern Co., CA,United States,-119.223208,35.761454,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
CR 2 / Mille Roches Rd.,"Long Sault, Stormont, Dundas and Glengarry, ON (Canada)",Long Sault, Stormont, Dundas and Glengarry,Canada,-74.89133599999998,45.028936,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
E Parkcenter Blvd. / S Shadywood Way,"Boise, Ada Co., ID (United States)",Boise, Ada Co., ID,United States,-116.129566,43.572907,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Village Hwy. / Doss Rd. / Spring Mill Rd.,"Concord, Campbell Co., VA (United States)",Concord, Campbell Co., VA,United States,-78.98111799999998,37.334379,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Skyggnisbraut / Urdarbrunnur,"Reykjavik, Höfuðborgarsvæðið (Iceland)",Reykjavik, Höfuðborgarsvæðið,NA,Iceland,-21.734155,64.135777,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
US 59 / CR 22,"Detroit Lakes, Becker Co., MN (United States)",Detroit Lakes, Becker Co., MN,United States,-95.87928,46.762163,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
N470 / A13 Ramps,"Delft, Delft, South Holland (Netherlands)",Delft, Delft, South Holland,Netherlands,4.38912,51.9964,Signalized Roundabout/Circle,Existing,0,4,0,Multilane (3+ Lane),Freeway Ramps (Grade-Separated),Signal,Unknown,Unknown
Salsmastaregatan / Tingstadsvagen,"Hisings Backa, Gothenburg, Vastra Gotaland County (Sweden)",Hisings Backa, Gothenburg, Vastra Gotaland County,Sweden,11.98604,57.73039,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
E Kesugi Ken Dr. / (unknown),"Talkeetna, Matanuska-Susitna Borough, AK (United States)",Talkeetna, Matanuska-Susitna Borough, AK,United States,-150.22817,62.60097,Roundabout,Existing,2016,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Hagvägen / Studuvägen / Rte 87 / E14-E45 Ramps,"Ostersund, Ostersund, Jamtland County (Sweden)",Ostersund, Ostersund, Jamtland County,Sweden,14.69087,63.17962,Roundabout,Existing,0,5,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Railway St. / 3rd St. / 3rd Ave.,"Cochrane, Cochrane, ON (Canada)",Cochrane, Cochrane, ON,Canada,-81.029752,49.061872,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,One/Two-Way Stop
Vallarondellen,"Linkoping, Linkoping, Ostergotland County (Sweden)",Linkoping, Linkoping, Ostergotland County,Sweden,15.58261,58.40636,Rotary,Existing,0,6,0,Multilane (3+ Lane),Other (At-Grade),All-Way Yield,Unknown,Unknown
E Edgewood Dr. / N Lightning Dr.,"Grand Chute, Outagamie Co., WI (United States)",Grand Chute, Outagamie Co., WI,United States,-88.368522,44.316501,Roundabout,Existing,2017,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
