...1,Date,Team 1,Score 1,Score 2,Team 2,Venue,Tournament,Stage,T1 game no,T2 game no,Series,Margin,Winner,Loser,Notes
43,1999-03-22,United States,62,0,China,Hong Kong,Hong Kong Sevens,Pool C,8,1,1,62,United States,China,NA
44,1999-03-22,Arabian Gulf,22,0,Singapore,Hong Kong,Hong Kong Sevens,Pool D,7,7,2,22,Arabian Gulf,Singapore,NA
45,1999-03-22,New Zealand Wild Ducks,66,0,Japan,Hong Kong,Hong Kong Sevens,Pool A,8,8,2,66,New Zealand Wild Ducks,Japan,NA
46,1999-03-22,Australia,17,14,Samoa,Hong Kong,Hong Kong Sevens,Pool B,8,2,1,3,Australia,Samoa,NA
47,1999-03-22,England,36,0,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool D,7,8,1,36,England,Arabian Gulf,NA
48,1999-03-22,New Zealand Wild Ducks,59,0,Russia,Hong Kong,Hong Kong Sevens,Pool A,9,2,1,59,New Zealand Wild Ducks,Russia,NA
49,1999-03-22,Australia,38,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool B,9,8,1,38,Australia,Hong Kong,NA
50,1999-03-22,England,46,0,Singapore,Hong Kong,Hong Kong Sevens,Pool D,8,8,1,46,England,Singapore,NA
51,1999-03-23,Samoa,36,0,Russia,Hong Kong,Hong Kong Sevens,Plate Quarter-Final,3,3,1,36,Samoa,Russia,NA
52,1999-03-23,Japan,15,5,Hong Kong,Hong Kong,Hong Kong Sevens,Plate Quarter-Final,9,9,1,10,Japan,Hong Kong,NA
53,1999-03-23,Singapore,12,0,China,Hong Kong,Hong Kong Sevens,Plate Quarter-Final,9,2,1,12,Singapore,China,NA
54,1999-03-23,Samoa,31,5,Arabian Gulf,Hong Kong,Hong Kong Sevens,Plate Semi-Final,4,9,1,26,Samoa,Arabian Gulf,NA
55,1999-03-23,Japan,41,0,Singapore,Hong Kong,Hong Kong Sevens,Plate Semi-Final,10,10,1,41,Japan,Singapore,NA
56,1999-03-23,United States,24,5,England,Hong Kong,Hong Kong Sevens,Semi-Final,9,9,2,19,United States,England,NA
57,1999-03-23,New Zealand Wild Ducks,38,0,Australia,Hong Kong,Hong Kong Sevens,Semi-Final,10,10,2,38,New Zealand Wild Ducks,Australia,NA
58,1999-03-23,Samoa,46,0,Japan,Hong Kong,Hong Kong Sevens,Plate final,5,11,1,46,Samoa,Japan,NA
59,1999-03-23,United States,0,29,New Zealand Wild Ducks,Hong Kong,Hong Kong Sevens,Final,10,11,2,29,New Zealand Wild Ducks,United States,NA
60,2000-03-22,Samoa,31,0,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool A,6,10,2,31,Samoa,Arabian Gulf,NA
61,2000-03-22,New Zealand,41,0,Wales,Hong Kong,Hong Kong Sevens,Pool A,1,1,1,41,New Zealand,Wales,NA
62,2000-03-22,Hong Kong,31,0,Thailand,Hong Kong,Asian Sevens,Pool A,10,1,1,31,Hong Kong,Thailand,NA
63,2000-03-22,Samoa,22,10,Wales,Hong Kong,Hong Kong Sevens,Pool A,7,2,1,12,Samoa,Wales,NA
64,2000-03-22,Thailand,17,10,Arabian Gulf,Hong Kong,Asian Sevens,Pool A,2,11,1,7,Thailand,Arabian Gulf,NA
65,2000-03-22,New Zealand,62,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool A,2,11,1,62,New Zealand,Hong Kong,NA
66,2000-03-22,Wales,25,0,Thailand,Hong Kong,Hong Kong Sevens,Pool A,3,3,1,25,Wales,Thailand,NA
67,2000-03-22,New Zealand,38,0,Samoa,Hong Kong,Hong Kong Sevens,Pool A,3,8,1,38,New Zealand,Samoa,NA
68,2000-03-22,Hong Kong,22,5,Arabian Gulf,Hong Kong,Asian Sevens,Pool A,12,12,2,17,Hong Kong,Arabian Gulf,NA
69,2000-03-22,New Zealand,52,0,Thailand,Hong Kong,Hong Kong Sevens,Pool A,4,4,1,52,New Zealand,Thailand,NA
70,2000-03-22,Samoa,19,12,Hong Kong,Hong Kong,Hong Kong Sevens,Pool A,9,13,2,7,Samoa,Hong Kong,NA
71,2000-03-22,Wales,54,0,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool A,4,13,1,54,Wales,Arabian Gulf,NA
72,2000-03-22,Samoa,53,0,Thailand,Hong Kong,Hong Kong Sevens,Pool A,10,5,1,53,Samoa,Thailand,NA
73,2000-03-22,Wales,12,12,Hong Kong,Hong Kong,Hong Kong Sevens,Pool A,5,14,1,0,Draw,Draw,NA
74,2000-03-22,New Zealand,50,0,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool A,5,14,1,50,New Zealand,Arabian Gulf,NA
75,2000-03-22,Australia,56,0,Singapore,Hong Kong,Hong Kong Sevens,Pool B,11,11,1,56,Australia,Singapore,NA
76,2000-03-22,United States,29,0,Netherlands,Hong Kong,Hong Kong Sevens,Pool B,11,8,1,29,United States,Netherlands,NA
77,2000-03-22,Kazakhstan,19,5,Japan,Hong Kong,Hong Kong Sevens,Pool B,1,12,1,14,Kazakhstan,Japan,NA
78,2000-03-22,Australia,48,7,Netherlands,Hong Kong,Hong Kong Sevens,Pool B,12,9,2,41,Australia,Netherlands,NA
79,2000-03-22,Kazakhstan,34,0,Singapore,Hong Kong,Hong Kong Sevens,Pool B,2,12,1,34,Kazakhstan,Singapore,NA
80,2000-03-22,United States,35,0,Japan,Hong Kong,Hong Kong Sevens,Pool B,12,13,1,35,United States,Japan,NA
81,2000-03-22,Netherlands,10,5,Kazakhstan,Hong Kong,Hong Kong Sevens,Pool B,10,3,1,5,Netherlands,Kazakhstan,NA
82,2000-03-22,United States,7,7,Australia,Hong Kong,Hong Kong Sevens,Pool B,13,13,1,0,Draw,Draw,NA
83,2000-03-22,Japan,43,7,Singapore,Hong Kong,Hong Kong Sevens,Pool B,14,13,2,36,Japan,Singapore,NA
84,2000-03-22,United States,14,0,Kazakhstan,Hong Kong,Hong Kong Sevens,Pool B,14,4,1,14,United States,Kazakhstan,NA
85,2000-03-22,Australia,29,5,Japan,Hong Kong,Hong Kong Sevens,Pool B,14,15,2,24,Australia,Japan,NA
86,2000-03-22,Netherlands,29,5,Singapore,Hong Kong,Hong Kong Sevens,Pool B,11,14,2,24,Netherlands,Singapore,NA
87,2000-03-22,Australia,12,5,Kazakhstan,Hong Kong,Hong Kong Sevens,Pool B,15,5,1,7,Australia,Kazakhstan,NA
88,2000-03-22,Netherlands,24,10,Japan,Hong Kong,Hong Kong Sevens,Pool B,12,16,2,14,Netherlands,Japan,NA
89,2000-03-22,United States,50,0,Singapore,Hong Kong,Hong Kong Sevens,Pool B,15,15,3,50,United States,Singapore,NA
90,2000-03-23,Japan,46,0,Arabian Gulf,Hong Kong,Asian Sevens,3rd-6th Place Semi-Final,17,15,1,46,Japan,Arabian Gulf,NA
91,2000-03-23,Singapore,19,0,Thailand,Hong Kong,Asian Sevens,3rd-6th Place Semi-Final,16,6,1,19,Singapore,Thailand,NA
92,2000-03-23,Kazakhstan,46,0,Hong Kong,Hong Kong,Hong Kong Sevens,Plate Semi-Final,6,15,1,46,Kazakhstan,Hong Kong,NA
93,2000-03-23,Netherlands,12,7,Wales,Hong Kong,Hong Kong Sevens,Plate Semi-Final,13,6,1,5,Netherlands,Wales,NA
94,2000-03-23,Australia,26,10,Samoa,Hong Kong,Hong Kong Sevens,Semi-Final,16,11,2,16,Australia,Samoa,NA
95,2000-03-23,New Zealand,17,10,United States,Hong Kong,Hong Kong Sevens,Semi-Final,6,16,1,7,New Zealand,United States,NA
96,2000-03-23,Japan,55,7,Singapore,Hong Kong,Asian Sevens,3rd Place Match,18,17,3,48,Japan,Singapore,NA
97,2000-03-23,Kazakhstan,20,7,Netherlands,Hong Kong,Hong Kong Sevens,Plate final,7,14,2,13,Kazakhstan,Netherlands,NA
98,2000-03-24,Kazakhstan,41,0,Hong Kong,Hong Kong,Asian Sevens,Final,8,16,2,41,Kazakhstan,Hong Kong,NA
99,2000-03-24,New Zealand,36,10,Australia,Hong Kong,Hong Kong Sevens,Final,7,17,1,26,New Zealand,Australia,NA
100,2000-12-31,Jamaica,L,W,Cayman Islands,Kingston,Exhibition,NA,1,1,1,NA,Cayman Islands,Jamaica,Exact date and scores not known
101,2000-12-31,Jamaica,L,W,Cayman Islands,Kingston,Exhibition,NA,2,2,2,NA,Cayman Islands,Jamaica,Exact date and scores not known
102,2001-03-28,New Zealand,31,0,Samoa,Hong Kong,Hong Kong Sevens,Pool A,8,12,2,31,New Zealand,Samoa,NA
103,2001-03-28,Sweden,29,0,Kazakhstan,Hong Kong,Hong Kong Sevens,Pool A,1,9,1,29,Sweden,Kazakhstan,NA
104,2001-03-28,Samoa,39,7,Japan,Hong Kong,Hong Kong Sevens,Pool A,13,19,2,32,Samoa,Japan,NA
105,2001-03-28,New Zealand,55,0,Sweden,Hong Kong,Hong Kong Sevens,Pool A,9,2,1,55,New Zealand,Sweden,NA
106,2001-03-28,Kazakhstan,39,0,Japan,Hong Kong,Hong Kong Sevens,Pool A,10,20,2,39,Kazakhstan,Japan,NA
107,2001-03-28,Samoa,32,5,Sweden,Hong Kong,Hong Kong Sevens,Pool A,14,3,1,27,Samoa,Sweden,NA
108,2001-03-28,New Zealand,45,0,Kazakhstan,Hong Kong,Hong Kong Sevens,Pool A,10,11,1,45,New Zealand,Kazakhstan,NA
109,2001-03-28,Sweden,19,7,Japan,Hong Kong,Hong Kong Sevens,Pool A,4,21,1,12,Sweden,Japan,NA
110,2001-03-28,Samoa,15,10,Kazakhstan,Hong Kong,Hong Kong Sevens,Pool A,15,12,1,5,Samoa,Kazakhstan,NA
111,2001-03-28,New Zealand,45,0,Japan,Hong Kong,Hong Kong Sevens,Pool A,11,22,1,45,New Zealand,Japan,NA
112,2001-03-28,United States,17,0,Australia,Hong Kong,Hong Kong Sevens,Pool B,17,18,2,17,United States,Australia,NA
113,2001-03-28,England,27,0,Netherlands,Hong Kong,Hong Kong Sevens,Pool B,10,15,2,27,England,Netherlands,NA
114,2001-03-28,United States,33,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool B,18,17,2,33,United States,Hong Kong,NA
115,2001-03-28,England,27,0,Australia,Hong Kong,Hong Kong Sevens,Pool B,11,19,2,27,England,Australia,NA
116,2001-03-28,Netherlands,20,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool B,16,18,1,20,Netherlands,Hong Kong,NA
117,2001-03-28,United States,10,0,England,Hong Kong,Hong Kong Sevens,Pool B,19,12,3,10,United States,England,NA
118,2001-03-28,Australia,45,0,Netherlands,Hong Kong,Hong Kong Sevens,Pool B,20,17,3,45,Australia,Netherlands,NA
119,2001-03-28,England,46,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool B,13,19,1,46,England,Hong Kong,NA
120,2001-03-28,United States,26,0,Netherlands,Hong Kong,Hong Kong Sevens,Pool B,20,18,2,26,United States,Netherlands,NA
121,2001-03-28,Australia,43,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool B,21,20,2,43,Australia,Hong Kong,NA
122,2001-03-28,Singapore,7,5,Thailand,Hong Kong,Hong Kong Sevens,Asian pool,18,7,2,2,Singapore,Thailand,NA
123,2001-03-28,Arabian Gulf,22,5,Thailand,Hong Kong,Hong Kong Sevens,Asian pool,16,8,2,17,Arabian Gulf,Thailand,NA
124,2001-03-28,Singapore,7,5,Arabian Gulf,Hong Kong,Hong Kong Sevens,Asian pool,19,17,3,2,Singapore,Arabian Gulf,NA
125,2001-03-28,China,19,17,Arabian Gulf,Hong Kong,Hong Kong Sevens,Asian pool,3,18,1,2,China,Arabian Gulf,NA
126,2001-03-28,China,20,0,Singapore,Hong Kong,Hong Kong Sevens,Asian pool,4,20,2,20,China,Singapore,NA
127,2001-03-28,China,5,5,Thailand,Hong Kong,Hong Kong Sevens,Asian pool,5,9,1,0,Draw,Draw,NA
128,2001-03-29,Hong Kong,17,0,Arabian Gulf,Hong Kong,Asian Sevens,Quarter-Final,21,19,3,17,Hong Kong,Arabian Gulf,NA
129,2001-03-29,Kazakhstan,29,0,Thailand,Hong Kong,Asian Sevens,Quarter-Final,13,10,1,29,Kazakhstan,Thailand,NA
130,2001-03-29,Japan,10,0,Singapore,Hong Kong,Asian Sevens,Quarter-Final,23,21,4,10,Japan,Singapore,NA
131,2001-03-29,Australia,31,0,Sweden,Hong Kong,Hong Kong Sevens,Plate Semi-Final,22,5,1,31,Australia,Sweden,NA
132,2001-03-29,Kazakhstan,24,0,Netherlands,Hong Kong,Hong Kong Sevens,Plate Semi-Final,14,19,3,24,Kazakhstan,Netherlands,NA
133,2001-03-29,Hong Kong,19,5,Japan,Hong Kong,Asian Sevens,Semi-Final,22,24,2,14,Hong Kong,Japan,NA
134,2001-03-29,Kazakhstan,48,0,China,Hong Kong,Asian Sevens,Semi-Final,15,6,1,48,Kazakhstan,China,NA
135,2001-03-29,United States,10,0,Samoa,Hong Kong,Hong Kong Sevens,Semi-Final,21,16,1,10,United States,Samoa,NA
136,2001-03-29,New Zealand,25,0,England,Hong Kong,Hong Kong Sevens,Semi-Final,12,14,1,25,New Zealand,England,NA
137,2001-03-29,China,19,5,Japan,Hong Kong,Asian Sevens,3rd Place Match,7,25,1,14,China,Japan,NA
138,2001-03-30,Hong Kong,25,12,Japan,Hong Kong,Hong Kong Sevens,Bowl final,23,26,3,13,Hong Kong,Japan,NA
139,2001-03-30,Australia,41,12,Kazakhstan,Hong Kong,Hong Kong Sevens,Plate final,23,16,2,29,Australia,Kazakhstan,NA
140,2001-03-30,Samoa,25,0,England,Hong Kong,Hong Kong Sevens,3rd Place Match,17,15,1,25,Samoa,England,NA
141,2001-03-30,Kazakhstan,45,0,Hong Kong,Hong Kong,Asian Sevens,Final,17,24,3,45,Kazakhstan,Hong Kong,NA
142,2001-03-30,New Zealand,22,0,United States,Hong Kong,Hong Kong Sevens,Final,13,22,2,22,New Zealand,United States,NA
143,2002-03-21,Aotearoa Maori New Zealand,50,0,Thailand,Hong Kong,Hong Kong Sevens,Pool A,1,11,1,50,Aotearoa Maori New Zealand,Thailand,NA
144,2002-03-21,Hong Kong,19,7,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool A,25,20,4,12,Hong Kong,Arabian Gulf,NA
145,2002-03-21,Aotearoa Maori New Zealand,43,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool A,2,26,1,43,Aotearoa Maori New Zealand,Hong Kong,NA
146,2002-03-21,Arabian Gulf,0,47,Aotearoa Maori New Zealand,Hong Kong,Hong Kong Sevens,Pool A,21,3,1,47,Aotearoa Maori New Zealand,Arabian Gulf,NA
147,2002-03-21,Hong Kong,31,0,Thailand,Hong Kong,Hong Kong Sevens,Pool A,27,12,2,31,Hong Kong,Thailand,NA
148,2002-03-21,Thailand,12,17,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool A,13,22,3,5,Arabian Gulf,Thailand,NA
149,2002-03-21,United States,32,0,China,Hong Kong,Hong Kong Sevens,Pool B,23,8,2,32,United States,China,NA
150,2002-03-21,Kazakhstan,36,0,Japan,Hong Kong,Hong Kong Sevens,Pool B,18,27,3,36,Kazakhstan,Japan,NA
151,2002-03-21,United States,12,10,Kazakhstan,Hong Kong,Hong Kong Sevens,Pool B,24,19,2,2,United States,Kazakhstan,NA
152,2002-03-21,Japan,0,34,United States,Hong Kong,Hong Kong Sevens,Pool B,28,25,2,34,United States,Japan,NA
153,2002-03-21,Kazakhstan,24,0,China,Hong Kong,Hong Kong Sevens,Pool B,20,9,2,24,Kazakhstan,China,NA
154,2002-03-21,China,10,5,Japan,Hong Kong,Hong Kong Sevens,Pool B,10,29,2,5,China,Japan,NA
155,2002-03-22,Arabian Gulf,19,7,Japan,Hong Kong,Hong Kong Sevens,Bowl Semi-Final,23,30,2,12,Arabian Gulf,Japan,NA
156,2002-03-22,Thailand,0,5,China,Hong Kong,Hong Kong Sevens,Bowl Semi-Final,14,11,2,5,China,Thailand,NA
157,2002-03-22,New Zealand,19,0,Kazakhstan,Hong Kong,Hong Kong Sevens,Semi-Final,14,21,2,19,New Zealand,Kazakhstan,NA
158,2002-03-22,Hong Kong,0,15,United States,Hong Kong,Hong Kong Sevens,Semi-Final,28,26,3,15,United States,Hong Kong,NA
159,2002-03-22,Japan,12,10,Thailand,Hong Kong,Asian Sevens,5th Place Match,31,15,1,2,Japan,Thailand,NA
160,2002-03-22,Arabian Gulf,22,5,China,Hong Kong,Asian Sevens,3rd Place Match,24,12,2,17,Arabian Gulf,China,NA
161,2002-03-22,Hong Kong,0,55,Kazakhstan,Hong Kong,Asian Sevens,Final,29,22,4,55,Kazakhstan,Hong Kong,NA
162,2002-03-22,New Zealand,14,7,United States,Hong Kong,Hong Kong Sevens,Final,15,27,3,7,New Zealand,United States,NA
163,2003-03-27,Singapore,17,10,Kyrgyzstan,Hong Kong,Asian Sevens,Pool A,22,1,1,7,Singapore,Kyrgyzstan,NA
164,2003-03-27,Kazakhstan,29,5,Thailand,Hong Kong,Asian Sevens,Pool A,23,16,2,24,Kazakhstan,Thailand,NA
165,2003-03-27,Thailand,22,17,Singapore,Hong Kong,Asian Sevens,Pool A,17,23,3,5,Thailand,Singapore,NA
166,2003-03-27,Kazakhstan,56,0,Kyrgyzstan,Hong Kong,Asian Sevens,Pool A,24,2,1,56,Kazakhstan,Kyrgyzstan,NA
167,2003-03-27,Kazakhstan,38,0,Singapore,Hong Kong,Asian Sevens,Pool A,25,24,2,38,Kazakhstan,Singapore,NA
168,2003-03-27,Thailand,26,7,Kyrgyzstan,Hong Kong,Asian Sevens,Pool A,18,3,1,19,Thailand,Kyrgyzstan,NA
169,2003-03-27,Arabian Gulf,28,0,Uzbekistan,Hong Kong,Asian Sevens,Pool B,25,1,1,28,Arabian Gulf,Uzbekistan,NA
170,2003-03-27,Hong Kong,43,0,Sri Lanka,Hong Kong,Asian Sevens,Pool B,30,1,1,43,Hong Kong,Sri Lanka,NA
171,2003-03-27,China,22,0,Uzbekistan,Hong Kong,Asian Sevens,Pool B,13,2,1,22,China,Uzbekistan,NA
172,2003-03-27,Hong Kong,22,5,Arabian Gulf,Hong Kong,Asian Sevens,Pool B,31,26,5,17,Hong Kong,Arabian Gulf,NA
173,2003-03-27,Sri Lanka,24,0,Uzbekistan,Hong Kong,Asian Sevens,Pool B,2,3,1,24,Sri Lanka,Uzbekistan,NA
174,2003-03-27,Arabian Gulf,22,0,China,Hong Kong,Asian Sevens,Pool B,27,14,3,22,Arabian Gulf,China,NA
175,2003-03-27,China,5,0,Sri Lanka,Hong Kong,Asian Sevens,Pool B,15,3,1,5,China,Sri Lanka,NA
176,2003-03-27,Hong Kong,40,5,Uzbekistan,Hong Kong,Asian Sevens,Pool B,32,4,1,35,Hong Kong,Uzbekistan,NA
177,2003-03-27,Arabian Gulf,51,0,Sri Lanka,Hong Kong,Asian Sevens,Pool B,28,4,1,51,Arabian Gulf,Sri Lanka,NA
178,2003-03-27,Hong Kong,34,0,China,Hong Kong,Asian Sevens,Pool B,33,16,1,34,Hong Kong,China,NA
179,2003-03-27,Singapore,50,0,Uzbekistan,Hong Kong,Asian Sevens,5th-10th place Pool A,25,5,1,50,Singapore,Uzbekistan,NA
180,2003-03-27,China,0,15,Kyrgyzstan,Hong Kong,Asian Sevens,5th-10th place Pool B,17,4,1,15,Kyrgyzstan,China,NA
181,2003-03-27,Sri Lanka,5,27,Kyrgyzstan,Hong Kong,Asian Sevens,5th-10th place Pool B,5,5,1,22,Kyrgyzstan,Sri Lanka,NA
182,2003-03-27,China,10,5,Sri Lanka,Hong Kong,Asian Sevens,5th-10th place Pool B,18,6,2,5,China,Sri Lanka,NA
183,2003-03-27,Uzbekistan,0,28,Sri Lanka,Hong Kong,Asian Sevens,9th place Match,6,7,2,28,Sri Lanka,Uzbekistan,NA
184,2003-03-27,Singapore,12,10,Kyrgyzstan,Hong Kong,Asian Sevens,5th place Match,26,6,2,2,Singapore,Kyrgyzstan,NA
185,2003-03-28,Aotearoa Maori New Zealand,26,12,England,Hong Kong,Hong Kong Sevens,Pool A,4,16,1,14,Aotearoa Maori New Zealand,England,NA
186,2003-03-28,United States,38,0,Fiji,Hong Kong,Hong Kong Sevens,Pool A,28,7,1,38,United States,Fiji,NA
187,2003-03-28,Aotearoa Maori New Zealand,38,0,Fiji,Hong Kong,Hong Kong Sevens,Pool A,5,8,1,38,Aotearoa Maori New Zealand,Fiji,NA
188,2003-03-28,England,5,0,United States,Hong Kong,Hong Kong Sevens,Pool A,17,29,4,5,England,United States,NA
189,2003-03-28,Aotearoa Maori New Zealand,22,0,United States,Hong Kong,Hong Kong Sevens,Pool A,6,30,1,22,Aotearoa Maori New Zealand,United States,NA
190,2003-03-28,England,27,0,Fiji,Hong Kong,Hong Kong Sevens,Pool A,18,9,1,27,England,Fiji,NA
191,2003-03-28,Kazakhstan,W,L,Thailand,Hong Kong,Hong Kong Sevens,Pool B,26,19,3,NA,Kazakhstan,Thailand,NA
192,2003-03-28,Hong Kong,W,L,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool B,34,29,6,NA,Hong Kong,Arabian Gulf,NA
193,2003-03-28,Kazakhstan,W,L,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool B,27,30,1,NA,Kazakhstan,Arabian Gulf,NA
194,2003-03-28,Hong Kong,W,L,Thailand,Hong Kong,Hong Kong Sevens,Pool B,35,20,3,NA,Hong Kong,Thailand,NA
195,2003-03-28,Arabian Gulf,W,L,Thailand,Hong Kong,Hong Kong Sevens,Pool B,31,21,4,NA,Arabian Gulf,Thailand,NA
196,2003-03-28,Kazakhstan,34,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool B,28,36,5,34,Kazakhstan,Hong Kong,NA
