test_no,date,team_1,score_1,score_2,team_2,venue,home_test_no,away_test_no,series_no,tournament,margin_of_victory,home_away_win,winner,loser
38,1990-04-14,Netherlands,0,10,France,Amsterdam,16,18,8,Friendly,10,A,France,Netherlands
39,1990-08-26,New Zealand,56,0,Netherlands,Christchurch,1,17,1,RugbyFest,56,H,New Zealand,Netherlands
40,1990-08-28,New Zealand,8,0,USSR,Christchurch,2,1,1,RugbyFest,8,H,New Zealand,USSR
41,1990-08-29,Netherlands,0,38,United States,Christchurch,18,4,1,RugbyFest,38,N,United States,Netherlands
42,1990-08-30,Netherlands,12,4,USSR,Christchurch,19,2,1,RugbyFest,8,N,Netherlands,USSR
43,1990-08-30,New Zealand,9,3,United States,Christchurch,3,5,1,RugbyFest,6,H,New Zealand,United States
44,1990-08-31,United States,32,0,USSR,Christchurch,6,3,1,RugbyFest,32,N,United States,USSR
45,1990-09-01,New Zealand,12,4,World XV,Christchurch,4,1,1,RugbyFest,8,H,New Zealand,World XV
46,1990-10-21,Netherlands,0,26,England,Utrecht,20,6,1,Friendly,26,A,England,Netherlands
47,1991-03-24,England,24,13,Wales,Waterloo,7,6,5,Friendly,11,H,England,Wales
48,1991-04-06,Canada,8,24,New Zealand,Glamorgan Wanderers,4,5,1,World Cup,16,N,New Zealand,Canada
49,1991-04-06,France,62,0,Japan,Aberavon,19,1,1,World Cup,62,N,France,Japan
50,1991-04-06,Netherlands,0,7,United States,Pontypool,21,7,2,World Cup,7,N,United States,Netherlands
51,1991-04-06,England,12,0,Spain,Swansea,8,2,1,World Cup,12,N,England,Spain
52,1991-04-08,Wales,9,9,Canada,Glamorgan Wanderers,7,5,1,World Cup,0,D,Draw,Draw
53,1991-04-08,France,37,0,Sweden,Glamorgan Wanderers,20,7,1,World Cup,37,N,France,Sweden
54,1991-04-08,Netherlands,28,0,USSR,Llanharan,22,4,2,World Cup,28,N,Netherlands,USSR
55,1991-04-08,England,25,9,Italy,Llanharan,9,9,1,World Cup,16,N,England,Italy
56,1991-04-10,Wales,6,24,New Zealand,Llanharan,8,6,1,World Cup,18,A,New Zealand,Wales
57,1991-04-10,Japan,0,20,Sweden,Llanharan,2,8,1,World Cup,20,N,Sweden,Japan
58,1991-04-10,United States,46,0,USSR,Glamorgan Wanderers,8,5,2,World Cup,46,N,United States,USSR
59,1991-04-10,Italy,7,13,Spain,Glamorgan Wanderers,10,3,1,World Cup,6,N,Spain,Italy
60,1991-04-11,Canada,38,0,USSR,"Cardiff IHE, Cyncoed",6,6,1,World Cup,38,N,Canada,USSR
61,1991-04-11,Italy,18,0,Sweden,"Cardiff IHE, Cyncoed",11,9,1,World Cup,18,N,Italy,Sweden
62,1991-04-11,Wales,3,6,Netherlands,"Cardiff IHE, Cyncoed",9,23,2,World Cup,3,A,Netherlands,Wales
63,1991-04-11,Japan,0,30,Spain,"Cardiff IHE, Cyncoed",3,4,1,World Cup,30,N,Spain,Japan
64,1991-04-12,New Zealand,0,7,United States,Cardiff Arms Park,7,9,2,World Cup,7,N,United States,New Zealand
65,1991-04-12,England,13,0,France,Cardiff Arms Park,10,21,1,World Cup,13,N,England,France
66,1991-04-12,Canada,6,0,Italy,"Cardiff IHE, Cyncoed",7,12,1,World Cup,6,N,Canada,Italy
67,1991-04-12,Netherlands,0,8,Spain,"Cardiff IHE, Cyncoed",24,5,1,World Cup,8,N,Spain,Netherlands
68,1991-04-13,Canada,19,4,Spain,"Cardiff IHE, Cyncoed",8,6,1,World Cup,15,N,Canada,Spain
69,1991-04-14,England,6,19,United States,Cardiff Arms Park,11,10,1,World Cup,13,N,United States,England
70,1991-11-09,Sweden,20,6,Germany,Trelleborg,10,2,2,Friendly,14,H,Sweden,Germany
71,1992-02-09,Wales,10,14,England,National Stadium Cardiff,10,12,6,Friendly,4,A,England,Wales
72,1992-06-13,France,14,10,Spain,Bon Encontre,22,7,2,Friendly,4,H,France,Spain
73,1992-09-13,United States,13,12,Canada,"Blaine, Minnesota",11,9,4,Friendly,1,H,United States,Canada
74,1992-10-17,Germany,0,39,Netherlands,Hanover,3,25,1,Friendly,39,A,Netherlands,Germany
75,1992-11-15,France,24,0,Netherlands,Fécamp,23,26,9,Friendly,24,H,France,Netherlands
76,1993-02-14,Scotland,10,0,Ireland,"Raeburn Place, Edinburgh",1,1,1,Friendly,10,H,Scotland,Ireland
77,1993-03-13,Italy,8,5,Netherlands,"Stadio Comunale, Rho",13,27,3,Friendly,3,H,Italy,Netherlands
78,1993-03-14,England,23,5,Wales,Northampton RFC,13,11,7,Friendly,18,H,England,Wales
79,1993-04-04,Italy,0,24,France,Rovigo,14,24,5,Friendly,24,A,France,Italy
80,1993-06-08,Canada,22,8,Wales,"Brampton, Ontario",10,12,2,Canada Cup,14,H,Canada,Wales
81,1993-06-08,England,17,6,United States,"Fletcher’s Fields, Toronto",14,12,2,Canada Cup,11,N,England,United States
82,1993-06-10,Canada,8,12,England,"Ajax, Ontario",11,15,1,Canada Cup,4,A,England,Canada
83,1993-06-10,United States,26,0,Wales,"Fletcher’s Fields, Toronto",13,13,1,Canada Cup,26,N,United States,Wales
84,1993-06-12,England,38,0,Wales,"Fletcher’s Fields, Toronto",16,14,8,Canada Cup,38,N,England,Wales
85,1993-06-12,Canada,3,60,United States,"Markham, Ontario",12,14,5,Canada Cup,57,A,United States,Canada
86,1993-10-10,Netherlands,53,0,Germany,Delft,28,4,2,Friendly,53,H,Netherlands,Germany
87,1993-10-31,Germany,11,10,Kazakhstan,Hanover,5,1,1,Friendly,1,H,Germany,Kazakhstan
88,1993-12-19,Scotland,0,23,Wales,"Burnbrae, Glasgow",2,15,1,Friendly,23,A,Wales,Scotland
89,1994-02-13,Ireland,0,5,Scotland,"Ravenhill, Belfast",2,3,2,Friendly,5,A,Scotland,Ireland
90,1994-02-13,Wales,10,11,England,Bridgend,16,17,9,Friendly,1,A,England,Wales
91,1994-02-18,England,32,8,France,Wolverhampton,18,25,2,Friendly,24,H,England,France
92,1994-04-11,Sweden,0,111,United States,Melrose,11,15,1,World Cup,111,N,United States,Sweden
93,1994-04-11,England,66,0,Russia,Boroughmuir,19,1,1,World Cup,66,N,England,Russia
94,1994-04-11,Canada,5,11,Wales,Edinburgh Academicals RFC,13,17,3,World Cup,6,N,Wales,Canada
95,1994-04-13,Japan,10,5,Sweden,Melrose,4,12,2,World Cup,5,N,Japan,Sweden
96,1994-04-13,Scotland,51,0,Russia,Boroughmuir,4,2,1,World Cup,51,H,Scotland,Russia
97,1994-04-13,Kazakhstan,8,29,Wales,Edinburgh Academicals RFC,2,18,1,World Cup,21,N,Wales,Kazakhstan
98,1994-04-15,Japan,0,121,United States,Melrose,5,16,1,World Cup,121,N,United States,Japan
99,1994-04-15,Scotland,0,26,England,Boroughmuir,5,20,1,World Cup,26,A,England,Scotland
100,1994-04-15,France,31,0,Ireland,West of Scotland RFC,26,3,1,World Cup,31,N,France,Ireland
101,1994-04-15,Canada,28,0,Kazakhstan,Edinburgh Academicals RFC,14,3,1,World Cup,28,N,Canada,Kazakhstan
102,1994-04-17,Russia,13,20,Sweden,Kirkcaldy,3,13,1,World Cup,7,N,Sweden,Russia
103,1994-04-17,United States,76,0,Ireland,Boroughmuir,17,4,1,World Cup,76,N,United States,Ireland
104,1994-04-17,England,24,10,Canada,Gala,21,15,2,World Cup,14,N,England,Canada
105,1994-04-17,France,99,0,Japan,Edinburgh Academicals RFC,27,6,2,World Cup,99,N,France,Japan
106,1994-04-17,Scotland,0,8,Wales,Melrose,6,19,2,World Cup,8,A,Wales,Scotland
107,1994-04-19,Kazakhstan,25,0,Russia,Gala,4,4,1,World Cup,25,N,Kazakhstan,Russia
108,1994-04-20,United States,56,15,Wales,Gala,18,20,2,World Cup,41,N,United States,Wales
109,1994-04-20,England,18,6,France,Gala,22,28,3,World Cup,12,N,England,France
110,1994-04-20,Canada,57,0,Japan,Melrose,16,7,1,World Cup,57,N,Canada,Japan
111,1994-04-20,Scotland,10,3,Ireland,Melrose,7,5,3,World Cup,7,H,Scotland,Ireland
112,1994-04-21,Kazakhstan,31,12,Sweden,Stirling County,5,14,1,World Cup,19,N,Kazakhstan,Sweden
113,1994-04-23,Ireland,11,3,Japan,Boroughmuir,6,8,1,World Cup,8,N,Ireland,Japan
114,1994-04-23,Scotland,11,5,Canada,Boroughmuir,8,17,1,World Cup,6,H,Scotland,Canada
115,1994-04-24,France,27,0,Wales,Edinburgh Academicals RFC,29,21,1,World Cup,27,N,France,Wales
116,1994-04-23,Kazakhstan,29,12,Sweden,Boroughmuir,6,15,2,World Cup,17,N,Kazakhstan,Sweden
117,1994-04-24,England,38,23,United States,Edinburgh Academicals RFC,23,19,3,World Cup,15,N,England,United States
118,1994-04-24,Scotland,60,0,Sweden,Meggetland,9,16,1,Friendly,60,H,Scotland,Sweden
119,1994-05-16,Spain,0,3,Italy,Madrid,8,15,2,Friendly,60,H,Italy,Spain
120,1994-09-02,Australia,0,37,New Zealand,Sydney,1,8,1,Friendly,37,A,New Zealand,Australia
121,1994-11-19,Germany,12,0,Sweden,Hamburg,6,17,3,Friendly,12,H,Germany,Sweden
122,1994-11-28,Germany,3,15,Kazakhstan,Hanover,7,7,2,Friendly,12,A,Kazakhstan,Germany
123,1994-12-18,Wales,0,5,Scotland,Bridgend,22,10,3,Friendly,5,A,Scotland,Wales
124,1994-12-18,England,30,5,Netherlands,Wasps,24,29,2,Friendly,25,H,England,Netherlands
125,1995-02-12,England,25,0,Wales,Sale RFC,25,23,10,Friendly,25,H,England,Wales
126,1995-02-18,Scotland,20,3,Ireland,"Myreside, Edinburgh",11,7,4,Friendly,17,H,Scotland,Ireland
127,1995-03-05,Ireland,10,39,France,Dublin,8,30,2,Friendly,29,A,France,Ireland
128,1995-04-12,France,17,0,Netherlands,Treviso,31,30,10,FIRA,17,N,France,Netherlands
129,1995-04-12,Italy,0,5,Spain,Treviso,16,9,3,FIRA,5,A,Spain,Italy
130,1995-04-16,Italy,23,19,Netherlands,Treviso,17,31,4,FIRA,4,H,Italy,Netherlands
131,1995-04-16,France,6,22,Spain,Treviso,32,10,3,FIRA,16,N,Spain,France
132,1995-04-30,Scotland,10,12,Italy,"Meggetland, Edinburgh",12,18,1,Friendly,2,A,Italy,Scotland
133,1995-05-14,Germany,50,0,Portugal,Heidelberg,8,1,1,Friendly,50,H,Germany,Portugal
134,1995-07-22,New Zealand,64,0,Australia,Auckland,9,2,2,Friendly,64,H,New Zealand,Australia
135,1995-09-23,Netherlands,5,3,Scotland,Amsterdam,32,13,1,Friendly,2,H,Netherlands,Scotland
136,1996-01-21,Ireland,0,21,Scotland,Blackrock,9,14,5,Home Nations,21,A,Scotland,Ireland
137,1996-02-04,England,56,3,Wales,Leicester,26,24,11,Home Nations,53,H,England,Wales
138,1996-02-18,France,6,15,England,Villand Bonnot,33,27,4,Friendly,9,A,England,France
139,1996-02-18,Wales,11,6,Scotland,Bridgend,25,15,4,Home Nations,5,H,Wales,Scotland
140,1996-03-03,Scotland,8,12,England,"Meggetland, Edinburgh",16,28,2,Home Nations,4,A,England,Scotland
141,1996-03-03,Ireland,22,6,Wales,"Old Belvedere RFC, Dublin",10,26,1,Home Nations,16,H,Ireland,Wales
142,1996-03-17,England,12,8,Ireland,"London Irish, Sunbury",29,11,1,Home Nations,4,H,England,Ireland
143,1996-04-10,Spain,53,0,Germany,Madrid,11,9,1,FIRA,53,H,Spain,Germany
144,1996-04-11,France,57,8,Italy,Madrid,34,19,6,FIRA,49,N,France,Italy
145,1996-04-11,Netherlands,29,11,Germany,Madrid,33,10,3,FIRA,18,N,Netherlands,Germany
146,1996-04-12,Spain,29,0,Netherlands,Madrid,12,34,2,FIRA,29,H,Spain,Netherlands
147,1996-04-13,Italy,11,6,Netherlands,Madrid,20,35,5,FIRA,5,N,Italy,Netherlands
148,1996-04-13,Italy,39,0,Germany,Madrid,21,11,1,FIRA,39,N,Italy,Germany
149,1996-04-14,Spain,10,15,France,Madrid,13,35,4,FIRA,5,A,France,Spain
150,1996-08-24,Germany,3,53,Kazakhstan,Hanover,12,8,3,Friendly,50,A,Kazakhstan,Germany
151,1996-08-31,Australia,5,28,New Zealand,Sydney,3,10,3,Friendly,23,A,New Zealand,Australia
152,1996-09-08,Canada,3,88,New Zealand,St Albert,18,11,2,Canada Cup,85,A,New Zealand,Canada
153,1996-09-08,France,16,39,United States,Edmonton,36,20,1,Canada Cup,23,N,United States,France
154,1996-09-11,New Zealand,88,8,United States,Edmonton,12,21,3,Canada Cup,80,N,New Zealand,United States
155,1996-09-11,Canada,34,3,France,Edmonton,19,37,1,Canada Cup,31,H,Canada,France
156,1996-09-14,France,0,109,New Zealand,Edmonton,38,13,1,Canada Cup,109,N,New Zealand,France
157,1996-09-14,Canada,14,22,United States,Edmonton,20,22,6,Canada Cup,8,A,United States,Canada
158,1996-11-30,Scotland,27,3,Netherlands,Meggetland,17,36,2,Friendly,24,H,Scotland,Netherlands
159,1997-01-05,England,17,15,Spain,Leeds,30,14,2,Friendly,2,H,England,Spain
160,1997-01-12,Scotland,10,0,Wales,Meggetland,18,27,5,Home Nations,10,H,Scotland,Wales
161,1997-01-26,Wales,32,5,Ireland,Bridgend,28,12,2,Home Nations,27,H,Wales,Ireland
162,1997-01-26,England,23,3,Scotland,Blackheath,31,19,3,Home Nations,20,H,England,Scotland
163,1997-02-09,Ireland,0,32,England,Limerick,13,32,2,Home Nations,32,A,England,Ireland
164,1997-02-23,England,15,17,France,Northampton,33,39,5,Friendly,2,A,France,England
165,1997-02-23,Scotland,28,3,Ireland,"Pennypit, Edinburgh",20,14,6,Home Nations,25,H,Scotland,Ireland
166,1997-03-09,Wales,22,24,England,Worcester,29,34,12,Home Nations,2,A,England,Wales
167,1997-04-02,France,58,18,Germany,"Nice, France",40,13,1,FIRA,40,H,France,Germany
168,1997-04-02,England,40,3,Netherlands,"Nice, France",35,37,3,FIRA,37,N,England,Netherlands
169,1997-04-02,Spain,27,0,Ireland,"Nice, France",15,15,1,FIRA,27,N,Spain,Ireland
170,1997-04-02,Italy,7,31,Scotland,"Nice, France",22,21,2,FIRA,24,N,Scotland,Italy
171,1997-04-04,Italy,13,5,Ireland,"Nice, France",23,16,1,FIRA,8,N,Italy,Ireland
172,1997-04-04,Netherlands,32,10,Germany,"Nice, France",38,14,4,FIRA,22,N,Netherlands,Germany
173,1997-04-04,France,10,15,England,"Nice, France",41,36,6,FIRA,5,A,England,France
174,1997-04-04,Scotland,11,10,Spain,"Nice, France",22,16,1,FIRA,1,N,Scotland,Spain
175,1997-04-06,Germany,0,16,Ireland,"Nice, France",15,17,1,FIRA,16,N,Ireland,Germany
176,1997-04-06,Italy,24,26,Netherlands,"Nice, France",24,39,6,FIRA,2,N,Netherlands,Italy
177,1997-04-06,France,8,25,Spain,"Nice, France",42,17,5,FIRA,17,A,Spain,France
178,1997-04-06,England,24,8,Scotland,"Nice, France",37,23,4,FIRA,16,N,England,Scotland
179,1997-07-06,Canada,12,21,United States,"Ajax, Ontario",21,23,7,Friendly,9,A,United States,Canada
180,1997-12-31,Kazakhstan,0,15,Russia,?,9,5,2,Friendly,15,A,Russia,Kazakhstan
181,1997-12-31,Kazakhstan,12,35,Russia,?,10,6,3,Friendly,23,A,Russia,Kazakhstan
182,1997-12-31,Kazakhstan,5,7,Russia,?,11,7,4,Friendly,2,A,Russia,Kazakhstan
183,1997-12-31,Spain,17,12,Russia,?,18,8,1,Friendly,5,H,Spain,Russia
184,1997-08-02,Australia,24,28,United States,Brisbane,4,24,1,Friendly,4,A,United States,Australia
185,1997-08-05,Sweden,0,42,Scotland,Stockholm,18,24,2,Friendly,42,A,Scotland,Sweden
186,1997-08-13,New Zealand,67,0,England,Burnham,14,38,1,Friendly,67,H,New Zealand,England
187,1997-08-16,New Zealand,44,0,Australia,Dunedin,15,5,4,Friendly,44,H,New Zealand,Australia
188,1997-08-31,Germany,0,84,England,Hürth,16,39,1,Friendly,84,A,England,Germany
189,1997-10-26,Netherlands,31,7,Germany,Amsterdam,40,17,5,Friendly,24,H,Netherlands,Germany
190,1997-11-09,Germany,6,32,Ireland,Hamburg,18,18,2,Friendly,26,A,Ireland,Germany
191,1997-12-07,Spain,15,15,England,Toledo,19,40,3,Friendly,0,D,Draw,Draw
192,1998-02-01,France,5,13,England,"Villeneuve d'Ascq, Lille",43,41,7,Friendly,8,A,England,France
193,1998-02-08,Ireland,0,15,Scotland,"Old Belvedere, Dublin",19,25,7,Home Nations,15,A,Scotland,Ireland
194,1998-02-15,England,29,12,Wales,Waterloo,42,30,13,Home Nations,17,H,England,Wales
195,1998-02-15,Netherlands,5,29,Spain,Amsterdam,41,20,3,Friendly,17,H,Spain,Netherlands
196,1998-02-21,Scotland,19,3,France,"Raeburn Place, Edinburgh",26,44,1,Friendly,16,H,Scotland,France
197,1998-03-01,Wales,12,22,Scotland,Cardiff,31,27,6,Home Nations,10,A,Scotland,Wales
198,1998-03-15,Spain,29,3,Kazakhstan,L'Hospitalet,21,12,1,Friendly,10,A,Spain,Kazakhstan
199,1998-03-21,Scotland,8,5,England,Stewarts Melville,28,43,5,Home Nations,3,H,Scotland,England
200,1998-03-22,Ireland,10,27,Wales,"Old Crescent RFC, Rosbrien",20,32,3,Home Nations,17,A,Wales,Ireland
201,1998-04-05,England,62,8,Ireland,Worcester,44,21,3,Home Nations,54,H,England,Ireland
202,1998-04-08,Japan,42,14,Hong Kong,Kumagaya Rugby Stadium,9,1,1,Friendly,28,H,Japan,Hong Kong
203,1998-04-12,Japan,39,0,Hong Kong,Kumagaya Rugby Stadium,10,2,2,Friendly,39,H,Japan,Hong Kong
204,1998-05-01,Netherlands,7,16,Canada,Amsterdam,42,22,1,World Cup,9,A,Canada,Netherlands
205,1998-05-02,England,75,0,Sweden,Amsterdam,45,19,2,World Cup,75,N,England,Sweden
206,1998-05-02,Spain,28,18,Wales,Amsterdam,22,33,1,World Cup,10,N,Spain,Wales
207,1998-05-02,Russia,0,84,United States,Amsterdam,9,25,1,World Cup,84,N,United States,Russia
208,1998-05-02,Germany,6,134,New Zealand,Amsterdam,19,16,1,World Cup,128,N,New Zealand,Germany
209,1998-05-02,Italy,8,37,Scotland,Amsterdam,25,29,3,World Cup,29,N,Scotland,Italy
210,1998-05-02,France,23,6,Kazakhstan,Amsterdam,45,13,1,World Cup,17,N,France,Kazakhstan
211,1998-05-02,Australia,21,0,Ireland,Amsterdam,6,22,1,World Cup,21,N,Australia,Ireland
212,1998-05-05,Canada,6,72,England,Amsterdam,23,46,3,World Cup,66,N,England,Canada
213,1998-05-05,Netherlands,44,0,Sweden,Amsterdam,43,20,4,World Cup,44,H,Netherlands,Sweden
214,1998-05-05,Spain,16,38,United States,Amsterdam,23,26,1,World Cup,22,N,United States,Spain
215,1998-05-05,Russia,7,83,Wales,Amsterdam,10,34,1,World Cup,76,N,Wales,Russia
216,1998-05-05,New Zealand,76,0,Scotland,Amsterdam,17,30,1,World Cup,76,N,New Zealand,Scotland
217,1998-05-05,Germany,5,34,Italy,Amsterdam,20,26,2,World Cup,29,N,Italy,Germany
218,1998-05-05,Australia,8,10,France,Amsterdam,7,46,1,World Cup,2,N,France,Australia
219,1998-05-05,Ireland,6,12,Kazakhstan,Amsterdam,23,14,1,World Cup,6,N,Kazakhstan,Ireland
220,1998-05-09,Australia,13,30,England,Amsterdam,8,47,1,World Cup,17,N,England,Australia
221,1998-05-09,Scotland,10,25,United States,Amsterdam,31,27,1,World Cup,15,N,United States,Scotland
222,1998-05-09,Canada,9,7,France,Amsterdam,24,47,2,World Cup,2,N,Canada,France
223,1998-05-09,New Zealand,46,3,Spain,Amsterdam,18,24,1,World Cup,43,N,New Zealand,Spain
224,1998-05-09,Netherlands,18,21,Ireland,Amsterdam,44,24,1,World Cup,3,A,Ireland,Netherlands
225,1998-05-09,Germany,12,55,Wales,Amsterdam,21,35,1,World Cup,43,N,Wales,Germany
226,1998-05-09,Kazakhstan,47,5,Sweden,Amsterdam,15,21,3,World Cup,42,N,Kazakhstan,Sweden
227,1998-05-09,Italy,51,7,Russia,Amsterdam,27,11,1,World Cup,44,N,Italy,Russia
228,1998-05-12,England,11,44,New Zealand,Amsterdam,48,19,2,World Cup,33,N,New Zealand,England
229,1998-05-12,Canada,6,46,United States,Amsterdam,25,28,8,World Cup,40,N,United States,Canada
230,1998-05-12,Australia,17,15,Spain,Amsterdam,9,25,1,World Cup,2,N,Australia,Spain
231,1998-05-12,France,7,27,Scotland,Amsterdam,48,32,2,World Cup,20,N,Scotland,France
232,1998-05-12,Ireland,20,5,Italy,Amsterdam,25,28,2,World Cup,15,N,Ireland,Italy
233,1998-05-12,Kazakhstan,18,13,Wales,Amsterdam,16,36,2,World Cup,5,N,Kazakhstan,Wales
234,1998-05-12,Netherlands,61,0,Russia,Amsterdam,45,12,1,World Cup,61,H,Netherlands,Russia
235,1998-05-12,Germany,20,18,Sweden,Amsterdam,22,22,4,World Cup,2,N,Germany,Sweden
236,1998-05-15,Russia,3,23,Sweden,Amsterdam,13,23,2,World Cup,20,N,Sweden,Russia
237,1998-05-15,Italy,10,12,Wales,Amsterdam,29,37,1,World Cup,2,N,Wales,Italy
238,1998-05-15,Netherlands,67,3,Germany,Amsterdam,46,23,6,World Cup,64,H,Netherlands,Germany
239,1998-05-15,Ireland,10,26,Kazakhstan,Amsterdam,26,17,2,World Cup,16,N,Kazakhstan,Ireland
240,1998-05-16,Canada,15,31,England,Amsterdam,26,49,4,World Cup,16,N,England,Canada
241,1998-05-16,France,9,22,Spain,Amsterdam,49,26,6,World Cup,13,N,Spain,France
242,1998-05-16,Australia,25,15,Scotland,Amsterdam,10,33,1,World Cup,10,N,Australia,Scotland
243,1998-05-16,New Zealand,44,12,United States,Amsterdam,20,29,4,World Cup,32,N,New Zealand,United States
244,1998-08-29,Australia,3,27,New Zealand,Sydney,11,21,5,Friendly,24,A,New Zealand,Australia
245,1998-12-05,Spain,3,5,Scotland,?,27,34,2,Friendly,2,A,Scotland,Spain
246,1999-02-07,Ireland,0,24,France,Dublin,27,50,3,5 Nations,24,A,France,Ireland
247,1999-02-07,Scotland,23,0,Wales,"Inverleith, Edinburgh",35,38,7,5 Nations,23,H,Scotland,Wales
248,1999-02-28,England,34,7,Scotland,Richmond RFC,50,36,6,5 Nations,27,H,England,Scotland
249,1999-02-28,Wales,26,0,Ireland,Venue unknown,39,28,4,5 Nations,26,H,Wales,Ireland
250,1999-03-05,France,34,5,Wales,Savigny-en-Barley,51,40,2,5 Nations,29,H,France,Wales
251,1999-03-07,Ireland,0,56,England,Dublin,29,51,4,5 Nations,56,A,England,Ireland
252,1999-03-21,England,13,8,France,Worcester,52,52,8,5 Nations,5,H,England,France
253,1999-03-21,Scotland,22,5,Ireland,"Inverleith, Edinburgh",37,30,8,5 Nations,17,H,Scotland,Ireland
254,1999-04-09,France,48,18,Scotland,Melun,53,38,3,5 Nations,30,H,France,Scotland
255,1999-04-09,Germany,12,19,Netherlands,Hanover,24,47,7,Friendly,7,A,Netherlands,Germany
256,1999-04-10,Wales,11,83,England,Swansea,41,53,14,5 Nations,72,A,England,Wales
257,1999-04-11,Germany,6,34,Kazakhstan,Hanover,25,18,4,Friendly,28,A,Kazakhstan,Germany
258,1999-04-19,France,28,0,Kazakhstan,"Belluno, Italy",54,19,2,FIRA,28,N,France,Kazakhstan
259,1999-04-19,England,91,3,Netherlands,"Belluno, Italy",54,48,4,FIRA,88,N,England,Netherlands
260,1999-04-19,Spain,14,8,Wales,"Belluno, Italy",28,42,2,FIRA,6,N,Spain,Wales
261,1999-04-19,Italy,15,43,Scotland,"Belluno, Italy",30,39,4,FIRA,28,A,Scotland,Italy
262,1999-04-21,Netherlands,0,24,Kazakhstan,"Belluno, Italy",49,20,1,FIRA,24,N,Kazakhstan,Netherlands
