repair_id,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,estimated_year_of_production,repaired,repairability
0041_2026_0307_001,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,2024,yes,4
0907_2026_0207_021,2026-02-07,907,Bognor Regis,GB,Hair straightener / Hot brush,Household appliances electric,Ghd,2006,yes,10
0227_2026_0307_060,2026-03-07,227,Rugby,GB,Vacuum cleaner,Household appliances electric,Sebo,2010,half,10
0907_2026_0207_020,2026-02-07,907,Bognor Regis,GB,Radio / CD / cassette player,Display and sound equipment,Roberts,NA,yes,10
0227_2026_0307_014,2026-03-07,227,Rugby,GB,Video camera,Display and sound equipment,Sony,NA,yes,9
0227_2026_0307_011,2026-03-07,227,Rugby,GB,Electric kettle / Electric jug,Household appliances electric,Russell Hobbs,2019,no,5
0227_2026_0307_008,2026-03-07,227,Rugby,GB,Circular saw,Tools electric,Wickes,2015,no,NA
0227_2026_0307_059,2026-03-07,227,Rugby,GB,Shirt (dress shirt),Textile,Unknown/n.a.,NA,yes,NA
0460_2026_0307_573,2026-03-07,460,Kirchzarten,DE,Paper shredder,Tools electric,Genie,2025,yes,9
0227_2026_0307_058,2026-03-07,227,Rugby,GB,Glove,Textile,Unknown/n.a.,NA,yes,NA
0227_2026_0307_057,2026-03-07,227,Rugby,GB,Glove,Textile,Unknown/n.a.,NA,yes,NA
0227_2026_0307_055,2026-03-07,227,Rugby,GB,Trousers / pants,Textile,Unknown/n.a.,NA,yes,NA
0907_2026_0307_019,2026-03-07,907,Bognor Regis,GB,Strimmer,Tools electric,Black and Decker,2002,yes,10
0907_2026_0307_018,2026-03-07,907,Bognor Regis,GB,Vacuum cleaner,Household appliances electric,Shark,2010,yes,4
0907_2026_0307_017,2026-03-07,907,Bognor Regis,GB,Bolster,Tools non-electric,Unknown/n.a.,NA,yes,4
0907_2026_0307_014,2026-03-07,907,Bognor Regis,GB,Lawn mower / lawn raker,Tools electric,Bosch,NA,yes,4
0907_2026_0307_013,2026-03-07,907,Bognor Regis,GB,Tweezers,Tools non-electric,Unknown/n.a.,NA,yes,7
0907_2026_0307_012,2026-03-07,907,Bognor Regis,GB,Electric lawnmower,Tools electric,Bosch,NA,yes,4
0907_2026_0307_011,2026-03-07,907,Bognor Regis,GB,Knife / knives / scissors,Household appliances non-electric,Unknown/n.a.,NA,yes,8
0907_2026_0307_010,2026-03-07,907,Bognor Regis,GB,Sunglasses,Other,Ray-Ban,NA,yes,4
0907_2026_0307_009,2026-03-07,907,Bognor Regis,GB,Knife / knives / scissors,Household appliances non-electric,Unknown/n.a.,NA,yes,1
0853_2025_1004_002,2025-10-04,853,Gorredijk,NL,Handheld vacuum cleaner,Household appliances electric,Black+Decker,2015,no,2
0460_2026_0307_583,2026-03-07,460,Kirchzarten,DE,Tuner / CD player,Display and sound equipment,Sony,2000,yes,1
0907_2026_0307_008,2026-03-07,907,Bognor Regis,GB,Knife / knives / scissors,Household appliances non-electric,Unknown/n.a.,NA,yes,3
0858_2026_0307_009,2026-03-07,858,Vitrolles,FR,Keyboard,Computer equipment / phones,Wacom,2016,yes,4
0460_2026_0307_580,2026-03-07,460,Kirchzarten,DE,Amplifier,Display and sound equipment,Kenwood,1986,yes,10
0858_2026_0307_008,2026-03-07,858,Vitrolles,FR,Food processor,Household appliances electric,Seb,2015,yes,3
0907_2026_0307_007,2026-03-07,907,Bognor Regis,GB,Sunglasses,Other,Cartier,NA,no,1
0907_2026_0307_006,2026-03-07,907,Bognor Regis,GB,Sound mixer,Display and sound equipment,Goodmans,NA,yes,10
0858_2026_0307_007,2026-03-07,858,Vitrolles,FR,Multitool,Tools electric,Dremel,2000,yes,4
0227_2026_0307_009,2026-03-07,227,Rugby,GB,Pressure washer / High-pressure cleaner / Jet washer,Tools electric,Kärcher,NA,yes,8
0907_2026_0307_005,2026-03-07,907,Bognor Regis,GB,Rollator / Mobility walker,Other,Unknown/n.a.,NA,yes,4
0853_2026_0207_004,2026-02-07,853,Gorredijk,NL,Laptop,Computer equipment / phones,HP,2024,half,5
0858_2026_0307_006,2026-03-07,858,Vitrolles,FR,Wall clock,Clocks / alarm clocks,Unknown/n.a.,2023,yes,10
0227_2026_0307_010,2026-03-07,227,Rugby,GB,Knife / knives / scissors,Household appliances non-electric,Unknown/n.a.,NA,yes,10
0853_2025_0906_002,2025-09-06,853,Gorredijk,NL,Pruning shears / Garden shears / Secateurs,Tools electric,Top craft,2018,no,4
0460_2026_0307_572,2026-03-07,460,Kirchzarten,DE,Popcorn maker,Household appliances electric,Tchibo,2004,no,9
0853_2026_0307_004,2026-03-07,853,Gorredijk,NL,Coffee maker,Household appliances electric,Philips,2021,half,7
0853_2026_0307_012,2026-03-07,853,Gorredijk,NL,Charger (battery / power supply),Tools electric,Unknown/n.a.,1990,no,8
0907_2026_0307_004,2026-03-07,907,Bognor Regis,GB,Hair brush,Other,Denman,NA,no,2
0853_2026_0307_016,2026-03-07,853,Gorredijk,NL,Massage equipment / Massager,Household appliances electric,Medisana,2020,no,4
0227_2026_0307_052,2026-03-07,227,Rugby,GB,Coat / Jacket,Textile,Unknown/n.a.,2012,yes,NA
0227_2026_0307_005,2026-03-07,227,Rugby,GB,Stroller / Push chair / Buggy,Other,Graco,2022,no,3
0907_2026_0307_003,2026-03-07,907,Bognor Regis,GB,Spoon,Household appliances non-electric,Unknown/n.a.,NA,yes,2
0227_2026_0307_006,2026-03-07,227,Rugby,GB,Air fryer,Household appliances electric,Dawoo,2023,yes,10
0802_2026_0307_009,2026-03-07,802,Rolde,NL,Fan heater,Household appliances electric,Tomado,NA,yes,4
0858_2026_0307_005,2026-03-07,858,Vitrolles,FR,Coffee maker,Household appliances electric,Petra,NA,no,1
0802_2026_0307_008,2026-03-07,802,Rolde,NL,Underwear,Textile,Unknown/n.a.,NA,yes,8
0460_2026_0307_559,2026-03-07,460,Kirchzarten,DE,Flour grinder / flour mill,Household appliances non-electric,Messerschmidt,1988,yes,6
0907_2026_0307_002,2026-03-07,907,Bognor Regis,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Darlac,NA,yes,9
0802_2026_0307_007,2026-03-07,802,Rolde,NL,Laptop,Computer equipment / phones,Unknown/n.a.,NA,yes,9
0853_2026_0307_009,2026-03-07,853,Gorredijk,NL,Electric heater / radiator,Household appliances electric,Unknown/n.a.,2021,yes,8
0853_2026_0307_015,2026-03-07,853,Gorredijk,NL,Hot plate,Household appliances electric,Rommelsbacher,2022,yes,5
0907_2026_0307_001,2026-03-07,907,Bognor Regis,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,NA,yes,4
0858_2026_0307_003,2026-03-07,858,Vitrolles,FR,Night light,Household appliances electric,Unknown/n.a.,NA,yes,10
0802_2026_0307_006,2026-03-07,802,Rolde,NL,Flashlight / electric torch,Household appliances electric,Unknown/n.a.,NA,yes,7
0802_2025_1101_024,2025-11-01,802,Rolde,NL,Electric kettle / Electric jug,Household appliances electric,Tefal,NA,yes,7
0858_2026_0307_004,2026-03-07,858,Vitrolles,FR,Stereoset / music centre,Display and sound equipment,Sony,2010,no,1
0802_2025_1101_023,2025-11-01,802,Rolde,NL,Cutlery,Household appliances non-electric,Unknown/n.a.,NA,no,2
0802_2025_1101_022,2025-11-01,802,Rolde,NL,Bread bin / drum / tin,Household appliances non-electric,Unknown/n.a.,NA,yes,9
0227_2026_0307_001,2026-03-07,227,Rugby,GB,Game console,Toys electric,PlayStation,NA,half,NA
0802_2025_1101_021,2025-11-01,802,Rolde,NL,transistor radio,Display and sound equipment,Grundig,NA,yes,7
0824_2025_0423_001,2025-04-23,824,Chieri - Eco3R Lab,IT,Television,Display and sound equipment,Blaupunkt,2020,yes,8
0853_2026_0307_013,2026-03-07,853,Gorredijk,NL,Upright vacuum cleaner,Household appliances electric,Dyson,2024,half,1
0460_2026_0307_567,2026-03-07,460,Kirchzarten,DE,Tuner / amplifier / receiver,Display and sound equipment,Adcom,1996,yes,7
0802_2025_1101_006,2025-11-01,802,Rolde,NL,Wiel,Other,Unknown/n.a.,NA,no,5
0227_2026_0307_007,2026-03-07,227,Rugby,GB,Vacuum cleaner,Household appliances electric,Dyson,2020,half,9
0824_2025_0723_001,2025-07-23,824,Chieri - Eco3R Lab,IT,Radio,Display and sound equipment,Telefunken,NA,yes,7
0853_2026_0307_001,2026-03-07,853,Gorredijk,NL,Vacuum cleaner,Household appliances electric,Princess,2021,no,1
0227_2026_0307_056,2026-03-07,227,Rugby,GB,Coat / Jacket,Textile,Unknown/n.a.,2020,yes,9
0802_2025_1101_019,2025-11-01,802,Rolde,NL,olieradiator,Household appliances electric,Unknown/n.a.,NA,yes,8
0227_2026_0307_003,2026-03-07,227,Rugby,GB,Knife / knives / scissors,Household appliances non-electric,Various,2020,yes,10
0227_2026_0307_004,2026-03-07,227,Rugby,GB,Electric chocolate heater,Household appliances electric,Hotel Chocolat,2022,half,NA
0227_2026_0307_051,2026-03-07,227,Rugby,GB,Knapsack,Textile,Karrimor,2010,yes,10
0853_2026_0307_017,2026-03-07,853,Gorredijk,NL,Trousers / pants,Other,Unknown/n.a.,2025,yes,7
0802_2025_1101_018,2025-11-01,802,Rolde,NL,Laptop,Computer equipment / phones,Unknown/n.a.,NA,yes,7
0802_2025_1101_017,2025-11-01,802,Rolde,NL,Speaker,Display and sound equipment,Unknown/n.a.,NA,yes,10
0853_2026_0307_005,2026-03-07,853,Gorredijk,NL,Vacuum cleaner,Household appliances electric,Miele,2021,yes,9
0802_2025_1101_016,2025-11-01,802,Rolde,NL,Air fryer,Household appliances electric,Unknown/n.a.,NA,no,1
0802_2025_1101_015,2025-11-01,802,Rolde,NL,Bicycle light / bike light,Bicycles,Unknown/n.a.,NA,no,1
0227_2026_0307_002,2026-03-07,227,Rugby,GB,Air fryer,Household appliances electric,Unknown/n.a.,NA,yes,10
0802_2025_1101_014,2025-11-01,802,Rolde,NL,Food processor,Household appliances electric,Philips,NA,no,1
0802_2025_1101_013,2025-11-01,802,Rolde,NL,Christmas lights,Other,Unknown/n.a.,NA,yes,7
0824_2025_0125_003,2025-01-25,824,Chieri - Eco3R Lab,IT,Electric screwdriver,Tools electric,Practyl,NA,yes,10
0858_2026_0307_002,2026-03-07,858,Vitrolles,FR,Handheld vacuum cleaner,Household appliances electric,Tineco,2021,yes,10
0802_2025_1101_012,2025-11-01,802,Rolde,NL,Trousers / pants,Textile,Unknown/n.a.,NA,yes,6
0802_2025_1101_011,2025-11-01,802,Rolde,NL,Flag,Textile,Unknown/n.a.,NA,yes,10
0824_2025_0216_001,2025-02-16,824,Chieri - Eco3R Lab,IT,Vacuum cleaner,Household appliances electric,Dyson,NA,yes,8
0802_2025_1101_010,2025-11-01,802,Rolde,NL,Trousers / pants,Textile,Unknown/n.a.,NA,half,3
0419_2026_0307_009,2026-03-07,419,Seyssinet-Pariset,FR,Stereoset / music centre,Display and sound equipment,Philips,2015,yes,5
0802_2025_1101_009,2025-11-01,802,Rolde,NL,Trousers / pants,Textile,Unknown/n.a.,NA,yes,7
0984_2026_0117_048,2026-01-17,984,Ried,AT,Mini disc player,Display and sound equipment,Unknown/n.a.,NA,yes,10
0824_2025_0226_005,2025-02-26,824,Chieri - Eco3R Lab,IT,Steam cleaner,Household appliances electric,Polti,NA,yes,8
0984_2026_0117_047,2026-01-17,984,Ried,AT,Shaver / Razor,Household appliances electric,Unknown/n.a.,NA,yes,10
0984_2026_0117_046,2026-01-17,984,Ried,AT,Bread slicer,Household appliances electric,Graef,1990,yes,10
0853_2026_0307_008,2026-03-07,853,Gorredijk,NL,Radio,Display and sound equipment,Tivoli Audio,2014,half,8
0802_2025_1101_008,2025-11-01,802,Rolde,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,NA,yes,7
0984_2026_0117_045,2026-01-17,984,Ried,AT,Electric drill / Power drill,Tools electric,Unknown/n.a.,NA,yes,8
0858_2026_0307_001,2026-03-07,858,Vitrolles,FR,Booster démarreur,Other,Norauto,2000,no,1
0984_2026_0117_043,2026-01-17,984,Ried,AT,Sewing box,Textile,Unknown/n.a.,1960,yes,10
0984_2026_0117_042,2026-01-17,984,Ried,AT,Tuner / amplifier / CD player,Display and sound equipment,Philips,2000,yes,8
0984_2026_0117_041,2026-01-17,984,Ried,AT,E-bike,Bicycles,Unknown/n.a.,2022,half,2
0984_2026_0117_040,2026-01-17,984,Ried,AT,Coat / Jacket,Textile,Unknown/n.a.,NA,yes,8
0984_2026_0117_039,2026-01-17,984,Ried,AT,Coat / Jacket,Textile,Unknown/n.a.,NA,yes,10
0808_2026_0207_001,2026-02-07,808,Leiden - Ons Buiten,NL,Microwave,Household appliances electric,Unknown/n.a.,NA,yes,7
0984_2026_0117_038,2026-01-17,984,Ried,AT,Skirt,Textile,Unknown/n.a.,NA,yes,10
0984_2026_0117_037,2026-01-17,984,Ried,AT,Hat,Textile,Unknown/n.a.,NA,yes,10
0984_2026_0117_036,2026-01-17,984,Ried,AT,Electric kettle / Electric jug,Household appliances electric,WMF,2022,no,1
0419_2026_0307_008,2026-03-07,419,Seyssinet-Pariset,FR,Food processor,Household appliances electric,Bosch,2016,no,2
0984_2026_0117_035,2026-01-17,984,Ried,AT,Desk lamp,Household appliances electric,Unknown/n.a.,NA,yes,10
0984_2026_0117_034,2026-01-17,984,Ried,AT,Jeans,Textile,Unknown/n.a.,NA,yes,10
0984_2026_0117_033,2026-01-17,984,Ried,AT,Electric kettle / Electric jug,Household appliances electric,WMF,2010,no,1
0808_2025_1206_003,2025-12-06,808,Leiden - Ons Buiten,NL,Coffee maker,Household appliances electric,Unknown/n.a.,NA,no,1
0984_2026_0117_032,2026-01-17,984,Ried,AT,Coffee grinder,Household appliances electric,ECM,2015,yes,8
0802_2025_1101_007,2025-11-01,802,Rolde,NL,Metal detector,Tools electric,Unknown/n.a.,NA,yes,7
0984_2026_0117_031,2026-01-17,984,Ried,AT,Sewing machine,Household appliances electric,Unknown/n.a.,NA,yes,4
0984_2026_0117_030,2026-01-17,984,Ried,AT,Pressure washer / High-pressure cleaner / Jet washer,Tools electric,Kärcher,2020,half,10
0460_2026_0307_578,2026-03-07,460,Kirchzarten,DE,Toaster,Household appliances electric,Cloer,2010,yes,5
0808_2026_0103_003,2026-01-03,808,Leiden - Ons Buiten,NL,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,NA,yes,5
0824_2024_1211_004,2024-12-11,824,Chieri - Eco3R Lab,IT,Fan heater,Household appliances electric,OZEANOS,NA,no,1
0853_2026_0307_006,2026-03-07,853,Gorredijk,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,2022,yes,8
0808_2026_0307_005,2026-03-07,808,Leiden - Ons Buiten,NL,Fan heater,Household appliances electric,Tristar,NA,yes,5
0808_2026_0307_004,2026-03-07,808,Leiden - Ons Buiten,NL,olie kachel,Household appliances non-electric,Zibro,2024,half,6
0824_2024_0805_001,2024-08-05,824,Chieri - Eco3R Lab,IT,Television,Display and sound equipment,Nikkei,NA,yes,10
0802_2026_0307_005,2026-03-07,802,Rolde,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,NA,no,5
0853_2026_0307_014,2026-03-07,853,Gorredijk,NL,Towel,Textile,Unknown/n.a.,2025,yes,6
0808_2026_0307_003,2026-03-07,808,Leiden - Ons Buiten,NL,Lawn mower / lawn raker,Tools non-electric,Unknown/n.a.,NA,yes,6
0419_2026_0307_007,2026-03-07,419,Seyssinet-Pariset,FR,Microwave,Household appliances electric,Samsung,NA,no,NA
0808_2026_0307_002,2026-03-07,808,Leiden - Ons Buiten,NL,Dvd / video player,Display and sound equipment,Unknown/n.a.,NA,no,NA
0824_2024_1211_003,2024-12-11,824,Chieri - Eco3R Lab,IT,Bicycle / Bike,Bicycles,Lilly and Reynolds,1960,yes,10
0802_2026_0307_004,2026-03-07,802,Rolde,NL,Coffee maker,Household appliances electric,Philips,NA,yes,8
0419_2026_0307_006,2026-03-07,419,Seyssinet-Pariset,FR,Steam cleaner,Household appliances electric,Black+Decker,2024,no,8
0853_2026_0307_003,2026-03-07,853,Gorredijk,NL,Massage equipment / Massager,Tools electric,Unknown/n.a.,2025,no,10
0808_2026_0103_002,2026-01-03,808,Leiden - Ons Buiten,NL,Trousers / pants,Textile,Unknown/n.a.,NA,yes,5
0808_2026_0103_001,2026-01-03,808,Leiden - Ons Buiten,NL,Coat / Jacket,Textile,Unknown/n.a.,NA,yes,1
0419_2026_0307_005,2026-03-07,419,Seyssinet-Pariset,FR,Coffee grinder,Household appliances electric,Unknown/n.a.,2025,no,10
0808_2026_0307_001,2026-03-07,808,Leiden - Ons Buiten,NL,Coat / Jacket,Textile,Unknown/n.a.,NA,yes,10
0853_2026_0307_010,2026-03-07,853,Gorredijk,NL,Laptop,Computer equipment / phones,Acer,2021,yes,1
0853_2026_0307_011,2026-03-07,853,Gorredijk,NL,Blouse,Textile,Unknown/n.a.,NA,yes,6
0802_2026_0307_003,2026-03-07,802,Rolde,NL,Cassette deck,Display and sound equipment,Sony,NA,yes,9
0419_2026_0307_004,2026-03-07,419,Seyssinet-Pariset,FR,Stick mixer / Hand blender,Household appliances electric,Mandine,2024,no,10
0802_2026_0307_002,2026-03-07,802,Rolde,NL,Mixer / Blender,Household appliances electric,Philips,NA,yes,8
0808_2025_1206_002,2025-12-06,808,Leiden - Ons Buiten,NL,sticker,Household appliances non-electric,pick up,NA,yes,10
0802_2026_0307_001,2026-03-07,802,Rolde,NL,Toaster,Household appliances electric,Brabantia,NA,yes,9
0808_2025_1206_001,2025-12-06,808,Leiden - Ons Buiten,NL,Outdoor lamp,Household appliances electric,Labtec,NA,yes,9
0419_2026_0307_003,2026-03-07,419,Seyssinet-Pariset,FR,Stick mixer / Hand blender,Household appliances electric,SilverCrest,NA,yes,10
0419_2026_0307_002,2026-03-07,419,Seyssinet-Pariset,FR,cave,Household appliances electric,Unknown/n.a.,2018,no,7
0419_2026_0307_001,2026-03-07,419,Seyssinet-Pariset,FR,vaporetto,Household appliances electric,Polti,2006,yes,8
