date,fixed_rate_30_yr,fees_and_pts_30_yr,fixed_rate_15_yr,fees_and_pts_15_yr,adjustable_rate_5_1_hybrid,fees_and_pts_5_1_hybrid,adjustable_margin_5_1_hybrid,spread_30_yr_fixed_and_5_1_adjustable
1972-02-25,7.31,0.9,NA,NA,NA,NA,NA,NA
1972-03-03,7.32,0.9,NA,NA,NA,NA,NA,NA
1972-03-10,7.32,1,NA,NA,NA,NA,NA,NA
1972-03-17,7.31,0.9,NA,NA,NA,NA,NA,NA
1972-03-24,7.31,0.9,NA,NA,NA,NA,NA,NA
1972-03-31,7.23,0.9,NA,NA,NA,NA,NA,NA
1972-04-07,7.25,0.9,NA,NA,NA,NA,NA,NA
1972-04-14,7.29,0.9,NA,NA,NA,NA,NA,NA
1972-04-21,7.29,0.9,NA,NA,NA,NA,NA,NA
1972-04-28,7.33,1,NA,NA,NA,NA,NA,NA
1972-05-05,7.33,0.8,NA,NA,NA,NA,NA,NA
1972-05-12,7.38,0.9,NA,NA,NA,NA,NA,NA
1972-05-19,7.38,0.9,NA,NA,NA,NA,NA,NA
1972-05-26,7.4,0.9,NA,NA,NA,NA,NA,NA
1972-06-02,7.36,1,NA,NA,NA,NA,NA,NA
1972-06-09,7.38,1,NA,NA,NA,NA,NA,NA
1972-06-16,7.38,0.9,NA,NA,NA,NA,NA,NA
1972-06-23,7.36,0.9,NA,NA,NA,NA,NA,NA
1972-06-30,7.38,0.8,NA,NA,NA,NA,NA,NA
1972-07-07,7.38,0.9,NA,NA,NA,NA,NA,NA
1972-07-14,7.4,0.9,NA,NA,NA,NA,NA,NA
1972-07-21,7.4,0.9,NA,NA,NA,NA,NA,NA
1972-07-28,7.4,1,NA,NA,NA,NA,NA,NA
1972-08-04,7.35,0.9,NA,NA,NA,NA,NA,NA
1972-08-11,7.41,0.9,NA,NA,NA,NA,NA,NA
1972-08-18,7.42,0.9,NA,NA,NA,NA,NA,NA
1972-08-25,7.42,0.9,NA,NA,NA,NA,NA,NA
1972-09-01,7.42,1,NA,NA,NA,NA,NA,NA
1972-09-08,7.42,0.9,NA,NA,NA,NA,NA,NA
1972-09-15,7.42,0.9,NA,NA,NA,NA,NA,NA
1972-09-22,7.41,1,NA,NA,NA,NA,NA,NA
1972-09-29,7.43,1,NA,NA,NA,NA,NA,NA
1972-10-06,7.41,0.9,NA,NA,NA,NA,NA,NA
1972-10-13,7.41,0.9,NA,NA,NA,NA,NA,NA
1972-10-20,7.44,1,NA,NA,NA,NA,NA,NA
1972-10-27,7.42,1,NA,NA,NA,NA,NA,NA
1972-11-03,7.43,1,NA,NA,NA,NA,NA,NA
1972-11-10,7.42,1,NA,NA,NA,NA,NA,NA
1972-11-17,7.42,1,NA,NA,NA,NA,NA,NA
1972-11-24,7.44,0.9,NA,NA,NA,NA,NA,NA
1972-12-01,7.45,1,NA,NA,NA,NA,NA,NA
1972-12-08,7.43,1,NA,NA,NA,NA,NA,NA
1972-12-15,7.43,1,NA,NA,NA,NA,NA,NA
1972-12-22,7.45,1,NA,NA,NA,NA,NA,NA
1972-12-29,7.45,0.9,NA,NA,NA,NA,NA,NA
1973-01-05,7.44,0.9,NA,NA,NA,NA,NA,NA
1973-01-12,7.44,0.9,NA,NA,NA,NA,NA,NA
1973-01-19,7.44,0.9,NA,NA,NA,NA,NA,NA
1973-01-26,7.43,0.9,NA,NA,NA,NA,NA,NA
1973-02-02,7.43,0.9,NA,NA,NA,NA,NA,NA
1973-02-09,7.43,1,NA,NA,NA,NA,NA,NA
1973-02-16,7.45,0.9,NA,NA,NA,NA,NA,NA
1973-02-23,7.45,1,NA,NA,NA,NA,NA,NA
1973-03-02,7.45,1,NA,NA,NA,NA,NA,NA
1973-03-09,7.45,0.9,NA,NA,NA,NA,NA,NA
1973-03-16,7.45,0.9,NA,NA,NA,NA,NA,NA
1973-03-23,7.45,0.9,NA,NA,NA,NA,NA,NA
1973-03-30,7.49,0.9,NA,NA,NA,NA,NA,NA
1973-04-06,7.51,1,NA,NA,NA,NA,NA,NA
1973-04-13,7.54,0.9,NA,NA,NA,NA,NA,NA
1973-04-20,7.56,0.9,NA,NA,NA,NA,NA,NA
1973-04-27,7.56,0.9,NA,NA,NA,NA,NA,NA
1973-05-04,7.58,0.9,NA,NA,NA,NA,NA,NA
1973-05-11,7.64,0.9,NA,NA,NA,NA,NA,NA
1973-05-18,7.69,0.9,NA,NA,NA,NA,NA,NA
1973-05-24,7.7,0.9,NA,NA,NA,NA,NA,NA
1973-06-01,7.7,0.9,NA,NA,NA,NA,NA,NA
1973-06-08,7.73,0.9,NA,NA,NA,NA,NA,NA
1973-06-15,7.73,0.9,NA,NA,NA,NA,NA,NA
1973-06-22,7.75,0.9,NA,NA,NA,NA,NA,NA
1973-06-29,7.76,0.9,NA,NA,NA,NA,NA,NA
1973-07-06,7.89,0.9,NA,NA,NA,NA,NA,NA
1973-07-13,8.01,1,NA,NA,NA,NA,NA,NA
1973-07-20,8.12,0.9,NA,NA,NA,NA,NA,NA
1973-07-27,8.18,1,NA,NA,NA,NA,NA,NA
1973-08-03,8.26,1,NA,NA,NA,NA,NA,NA
1973-08-10,8.4,1.1,NA,NA,NA,NA,NA,NA
1973-08-17,8.55,1,NA,NA,NA,NA,NA,NA
1973-08-24,8.61,1,NA,NA,NA,NA,NA,NA
1973-08-31,8.66,1.1,NA,NA,NA,NA,NA,NA
1973-09-07,8.77,1.1,NA,NA,NA,NA,NA,NA
1973-09-14,8.81,1.1,NA,NA,NA,NA,NA,NA
1973-09-21,8.83,1.1,NA,NA,NA,NA,NA,NA
1973-09-28,8.85,1.1,NA,NA,NA,NA,NA,NA
1973-10-05,8.82,1.1,NA,NA,NA,NA,NA,NA
1973-10-12,8.83,1.1,NA,NA,NA,NA,NA,NA
1973-10-19,8.75,1,NA,NA,NA,NA,NA,NA
1973-10-26,8.68,1,NA,NA,NA,NA,NA,NA
1973-11-02,8.62,1,NA,NA,NA,NA,NA,NA
1973-11-09,8.59,1,NA,NA,NA,NA,NA,NA
1973-11-16,8.58,1,NA,NA,NA,NA,NA,NA
1973-11-23,8.57,1,NA,NA,NA,NA,NA,NA
1973-11-30,8.55,1,NA,NA,NA,NA,NA,NA
1973-12-07,8.53,1,NA,NA,NA,NA,NA,NA
1973-12-14,8.53,1,NA,NA,NA,NA,NA,NA
1973-12-21,8.53,1,NA,NA,NA,NA,NA,NA
1973-12-28,8.56,1,NA,NA,NA,NA,NA,NA
1974-01-04,8.56,1,NA,NA,NA,NA,NA,NA
1974-01-11,8.53,1,NA,NA,NA,NA,NA,NA
1974-01-18,8.55,1,NA,NA,NA,NA,NA,NA
1974-01-25,8.52,1,NA,NA,NA,NA,NA,NA
1974-02-01,8.48,1,NA,NA,NA,NA,NA,NA
1974-02-08,8.46,1,NA,NA,NA,NA,NA,NA
1974-02-15,8.46,1,NA,NA,NA,NA,NA,NA
1974-02-22,8.42,1,NA,NA,NA,NA,NA,NA
1974-03-01,8.41,1,NA,NA,NA,NA,NA,NA
1974-03-08,8.41,1,NA,NA,NA,NA,NA,NA
1974-03-15,8.4,1,NA,NA,NA,NA,NA,NA
1974-03-22,8.4,1,NA,NA,NA,NA,NA,NA
1974-03-29,8.41,1,NA,NA,NA,NA,NA,NA
1974-04-05,8.44,1,NA,NA,NA,NA,NA,NA
1974-04-12,8.53,1,NA,NA,NA,NA,NA,NA
1974-04-19,8.63,1,NA,NA,NA,NA,NA,NA
1974-04-26,8.73,1,NA,NA,NA,NA,NA,NA
1974-05-03,8.87,1,NA,NA,NA,NA,NA,NA
1974-05-10,8.98,1,NA,NA,NA,NA,NA,NA
1974-05-17,8.97,1.1,NA,NA,NA,NA,NA,NA
1974-05-24,9.01,1.1,NA,NA,NA,NA,NA,NA
1974-05-31,9.03,1.2,NA,NA,NA,NA,NA,NA
1974-06-07,9.06,1.2,NA,NA,NA,NA,NA,NA
1974-06-14,9.11,1.1,NA,NA,NA,NA,NA,NA
1974-06-21,9.07,1.2,NA,NA,NA,NA,NA,NA
1974-06-28,9.1,1.3,NA,NA,NA,NA,NA,NA
1974-07-05,9.14,1.3,NA,NA,NA,NA,NA,NA
1974-07-12,9.19,1.3,NA,NA,NA,NA,NA,NA
1974-07-19,9.37,1.2,NA,NA,NA,NA,NA,NA
1974-07-26,9.42,1.2,NA,NA,NA,NA,NA,NA
1974-08-02,9.47,1.3,NA,NA,NA,NA,NA,NA
1974-08-09,9.5,1.3,NA,NA,NA,NA,NA,NA
1974-08-16,9.6,1.2,NA,NA,NA,NA,NA,NA
1974-08-23,9.62,1.3,NA,NA,NA,NA,NA,NA
1974-08-30,9.74,1.3,NA,NA,NA,NA,NA,NA
1974-09-06,9.88,1.4,NA,NA,NA,NA,NA,NA
1974-09-13,9.92,1.4,NA,NA,NA,NA,NA,NA
1974-09-20,10,1.4,NA,NA,NA,NA,NA,NA
1974-09-27,10.03,1.4,NA,NA,NA,NA,NA,NA
1974-10-04,10.02,1.5,NA,NA,NA,NA,NA,NA
1974-10-11,9.96,1.5,NA,NA,NA,NA,NA,NA
1974-10-18,9.99,1.5,NA,NA,NA,NA,NA,NA
1974-10-25,9.94,1.5,NA,NA,NA,NA,NA,NA
1974-11-01,9.87,1.5,NA,NA,NA,NA,NA,NA
1974-11-08,9.81,1.4,NA,NA,NA,NA,NA,NA
1974-11-15,9.81,1.3,NA,NA,NA,NA,NA,NA
1974-11-22,9.73,1.3,NA,NA,NA,NA,NA,NA
1974-11-29,9.72,1.4,NA,NA,NA,NA,NA,NA
1974-12-06,9.69,1.3,NA,NA,NA,NA,NA,NA
1974-12-13,9.63,1.3,NA,NA,NA,NA,NA,NA
1974-12-20,9.58,1.3,NA,NA,NA,NA,NA,NA
1974-12-27,9.56,1.2,NA,NA,NA,NA,NA,NA
1975-01-03,9.6,1.2,NA,NA,NA,NA,NA,NA
1975-01-10,9.49,1.2,NA,NA,NA,NA,NA,NA
1975-01-17,9.43,1.2,NA,NA,NA,NA,NA,NA
1975-01-24,9.35,1.3,NA,NA,NA,NA,NA,NA
1975-01-31,9.29,1.2,NA,NA,NA,NA,NA,NA
1975-02-07,9.2,1.3,NA,NA,NA,NA,NA,NA
1975-02-14,9.13,1.2,NA,NA,NA,NA,NA,NA
1975-02-21,9.07,1.2,NA,NA,NA,NA,NA,NA
1975-02-28,9.02,1.1,NA,NA,NA,NA,NA,NA
1975-03-07,9,1.1,NA,NA,NA,NA,NA,NA
1975-03-14,8.89,1.1,NA,NA,NA,NA,NA,NA
1975-03-21,8.86,1.1,NA,NA,NA,NA,NA,NA
1975-03-28,8.86,1.1,NA,NA,NA,NA,NA,NA
1975-04-04,8.83,1,NA,NA,NA,NA,NA,NA
1975-04-11,8.81,1,NA,NA,NA,NA,NA,NA
1975-04-18,8.8,1,NA,NA,NA,NA,NA,NA
1975-04-25,8.84,1,NA,NA,NA,NA,NA,NA
1975-05-02,8.92,1.1,NA,NA,NA,NA,NA,NA
1975-05-09,8.88,1,NA,NA,NA,NA,NA,NA
1975-05-16,8.92,1.1,NA,NA,NA,NA,NA,NA
1975-05-23,8.92,1.1,NA,NA,NA,NA,NA,NA
1975-05-30,8.89,1.1,NA,NA,NA,NA,NA,NA
1975-06-06,8.89,1,NA,NA,NA,NA,NA,NA
1975-06-13,8.9,1,NA,NA,NA,NA,NA,NA
1975-06-20,8.88,1,NA,NA,NA,NA,NA,NA
1975-06-27,8.9,1.1,NA,NA,NA,NA,NA,NA
1975-07-03,8.88,1.1,NA,NA,NA,NA,NA,NA
1975-07-11,8.9,1.1,NA,NA,NA,NA,NA,NA
1975-07-18,8.89,1.1,NA,NA,NA,NA,NA,NA
1975-07-25,8.89,1.1,NA,NA,NA,NA,NA,NA
1975-08-01,8.89,1.1,NA,NA,NA,NA,NA,NA
1975-08-08,8.89,1.1,NA,NA,NA,NA,NA,NA
1975-08-15,8.93,1.1,NA,NA,NA,NA,NA,NA
1975-08-22,8.98,1.1,NA,NA,NA,NA,NA,NA
1975-08-29,9.02,1.1,NA,NA,NA,NA,NA,NA
1975-09-05,9.08,1.1,NA,NA,NA,NA,NA,NA
1975-09-12,9.16,1.1,NA,NA,NA,NA,NA,NA
1975-09-19,9.14,1.2,NA,NA,NA,NA,NA,NA
1975-09-26,9.14,1.1,NA,NA,NA,NA,NA,NA
1975-10-03,9.2,1.1,NA,NA,NA,NA,NA,NA
1975-10-10,9.21,1.1,NA,NA,NA,NA,NA,NA
1975-10-17,9.21,1.1,NA,NA,NA,NA,NA,NA
1975-10-24,9.26,1.1,NA,NA,NA,NA,NA,NA
1975-10-31,9.24,1.2,NA,NA,NA,NA,NA,NA
1975-11-07,9.19,1.2,NA,NA,NA,NA,NA,NA
1975-11-14,9.16,1.1,NA,NA,NA,NA,NA,NA
1975-11-21,9.12,1.1,NA,NA,NA,NA,NA,NA
1975-11-28,9.11,1.1,NA,NA,NA,NA,NA,NA
1975-12-05,9.11,1.1,NA,NA,NA,NA,NA,NA
1975-12-12,9.11,1.1,NA,NA,NA,NA,NA,NA
1975-12-19,9.08,1.1,NA,NA,NA,NA,NA,NA
1975-12-26,9.09,1.1,NA,NA,NA,NA,NA,NA
1976-01-02,9.1,1.1,NA,NA,NA,NA,NA,NA
1976-01-09,9.07,1.1,NA,NA,NA,NA,NA,NA
1976-01-16,9.01,1.1,NA,NA,NA,NA,NA,NA
1976-01-23,9,1.1,NA,NA,NA,NA,NA,NA
1976-01-30,8.9,1,NA,NA,NA,NA,NA,NA
1976-02-06,8.86,0.9,NA,NA,NA,NA,NA,NA
1976-02-13,8.83,0.9,NA,NA,NA,NA,NA,NA
1976-02-20,8.81,0.9,NA,NA,NA,NA,NA,NA
1976-02-27,8.75,1.1,NA,NA,NA,NA,NA,NA
1976-03-05,8.77,1.3,NA,NA,NA,NA,NA,NA
1976-03-12,8.75,1.3,NA,NA,NA,NA,NA,NA
1976-03-19,8.75,1.3,NA,NA,NA,NA,NA,NA
1976-03-26,8.75,1.3,NA,NA,NA,NA,NA,NA
1976-04-02,8.7,1.3,NA,NA,NA,NA,NA,NA
1976-04-09,8.7,1.3,NA,NA,NA,NA,NA,NA
1976-04-16,8.75,1.3,NA,NA,NA,NA,NA,NA
1976-04-23,8.75,1.3,NA,NA,NA,NA,NA,NA
1976-04-30,8.75,1.3,NA,NA,NA,NA,NA,NA
1976-05-07,8.75,1.3,NA,NA,NA,NA,NA,NA
1976-05-14,8.75,1.3,NA,NA,NA,NA,NA,NA
1976-05-21,8.78,1.3,NA,NA,NA,NA,NA,NA
1976-05-28,8.78,1.3,NA,NA,NA,NA,NA,NA
1976-06-04,8.78,1.3,NA,NA,NA,NA,NA,NA
1976-06-11,8.83,1.3,NA,NA,NA,NA,NA,NA
1976-06-18,8.88,1.3,NA,NA,NA,NA,NA,NA
1976-06-25,8.9,1.3,NA,NA,NA,NA,NA,NA
1976-07-02,8.93,1.3,NA,NA,NA,NA,NA,NA
1976-07-09,8.93,1.2,NA,NA,NA,NA,NA,NA
1976-07-16,8.93,1.2,NA,NA,NA,NA,NA,NA
1976-07-23,8.9,1.1,NA,NA,NA,NA,NA,NA
1976-07-30,8.98,1.2,NA,NA,NA,NA,NA,NA
1976-08-06,9,1.2,NA,NA,NA,NA,NA,NA
1976-08-13,9,1.2,NA,NA,NA,NA,NA,NA
1976-08-20,9,1.2,NA,NA,NA,NA,NA,NA
1976-08-27,9,1.2,NA,NA,NA,NA,NA,NA
1976-09-03,9,1.2,NA,NA,NA,NA,NA,NA
1976-09-10,8.97,1.2,NA,NA,NA,NA,NA,NA
1976-09-17,8.97,1.2,NA,NA,NA,NA,NA,NA
1976-09-24,8.97,1.2,NA,NA,NA,NA,NA,NA
1976-10-01,8.9,1.2,NA,NA,NA,NA,NA,NA
1976-10-08,8.95,1.2,NA,NA,NA,NA,NA,NA
1976-10-15,8.95,1.2,NA,NA,NA,NA,NA,NA
1976-10-22,8.95,1.1,NA,NA,NA,NA,NA,NA
1976-10-29,8.9,1.1,NA,NA,NA,NA,NA,NA
1976-11-05,8.85,1.3,NA,NA,NA,NA,NA,NA
1976-11-12,8.8,1.3,NA,NA,NA,NA,NA,NA
1976-11-19,8.8,1.3,NA,NA,NA,NA,NA,NA
1976-11-26,8.8,1.3,NA,NA,NA,NA,NA,NA
1976-12-03,8.8,1.3,NA,NA,NA,NA,NA,NA
1976-12-10,8.8,1.2,NA,NA,NA,NA,NA,NA
1976-12-17,8.8,1.2,NA,NA,NA,NA,NA,NA
1976-12-24,8.78,1.2,NA,NA,NA,NA,NA,NA
1976-12-31,8.78,1.2,NA,NA,NA,NA,NA,NA
1977-01-07,8.7,1.1,NA,NA,NA,NA,NA,NA
1977-01-14,8.73,1.1,NA,NA,NA,NA,NA,NA
1977-01-21,8.73,1.1,NA,NA,NA,NA,NA,NA
1977-01-28,8.73,1.1,NA,NA,NA,NA,NA,NA
1977-02-04,8.68,1.1,NA,NA,NA,NA,NA,NA
1977-02-11,8.7,1.1,NA,NA,NA,NA,NA,NA
1977-02-18,8.65,1.2,NA,NA,NA,NA,NA,NA
1977-02-25,8.65,1.1,NA,NA,NA,NA,NA,NA
1977-03-04,8.65,1.2,NA,NA,NA,NA,NA,NA
1977-03-11,8.7,1.2,NA,NA,NA,NA,NA,NA
1977-03-18,8.7,1.2,NA,NA,NA,NA,NA,NA
1977-03-25,8.7,1.2,NA,NA,NA,NA,NA,NA
1977-04-01,8.7,1.1,NA,NA,NA,NA,NA,NA
1977-04-08,8.75,1.2,NA,NA,NA,NA,NA,NA
1977-04-15,8.75,1.1,NA,NA,NA,NA,NA,NA
1977-04-22,8.78,1.1,NA,NA,NA,NA,NA,NA
1977-04-29,8.78,1.1,NA,NA,NA,NA,NA,NA
1977-05-06,8.78,1.2,NA,NA,NA,NA,NA,NA
1977-05-13,8.83,1.1,NA,NA,NA,NA,NA,NA
1977-05-20,8.85,1.1,NA,NA,NA,NA,NA,NA
1977-05-27,8.85,1.1,NA,NA,NA,NA,NA,NA
1977-06-03,8.85,1.1,NA,NA,NA,NA,NA,NA
1977-06-10,8.85,1.1,NA,NA,NA,NA,NA,NA
1977-06-17,8.85,1.1,NA,NA,NA,NA,NA,NA
1977-06-24,8.88,1.1,NA,NA,NA,NA,NA,NA
1977-07-01,8.95,1.1,NA,NA,NA,NA,NA,NA
1977-07-08,8.93,1.1,NA,NA,NA,NA,NA,NA
1977-07-15,8.95,1.1,NA,NA,NA,NA,NA,NA
1977-07-22,8.95,1.1,NA,NA,NA,NA,NA,NA
1977-07-29,8.93,1.1,NA,NA,NA,NA,NA,NA
1977-08-05,8.95,1.1,NA,NA,NA,NA,NA,NA
1977-08-12,8.95,1.1,NA,NA,NA,NA,NA,NA
1977-08-19,8.93,1.1,NA,NA,NA,NA,NA,NA
1977-08-26,8.93,1.1,NA,NA,NA,NA,NA,NA
1977-09-02,8.88,1.1,NA,NA,NA,NA,NA,NA
1977-09-09,8.9,1.1,NA,NA,NA,NA,NA,NA
1977-09-16,8.9,1.1,NA,NA,NA,NA,NA,NA
1977-09-23,8.9,1.1,NA,NA,NA,NA,NA,NA
1977-09-30,8.9,1.2,NA,NA,NA,NA,NA,NA
1977-10-07,8.93,1.2,NA,NA,NA,NA,NA,NA
1977-10-14,8.93,1.2,NA,NA,NA,NA,NA,NA
1977-10-21,8.93,1.2,NA,NA,NA,NA,NA,NA
1977-10-28,8.9,1.1,NA,NA,NA,NA,NA,NA
1977-11-04,8.9,1.1,NA,NA,NA,NA,NA,NA
1977-11-11,8.93,1.1,NA,NA,NA,NA,NA,NA
1977-11-18,8.93,1.1,NA,NA,NA,NA,NA,NA
1977-11-25,8.93,1.2,NA,NA,NA,NA,NA,NA
1977-12-02,8.95,1.1,NA,NA,NA,NA,NA,NA
1977-12-09,8.95,1.2,NA,NA,NA,NA,NA,NA
1977-12-16,8.95,1.3,NA,NA,NA,NA,NA,NA
1977-12-23,8.95,1.3,NA,NA,NA,NA,NA,NA
1977-12-30,9,1.2,NA,NA,NA,NA,NA,NA
1978-01-06,9,1.3,NA,NA,NA,NA,NA,NA
1978-01-13,9.03,1.2,NA,NA,NA,NA,NA,NA
1978-01-20,8.98,1.3,NA,NA,NA,NA,NA,NA
1978-01-27,9.05,1.3,NA,NA,NA,NA,NA,NA
1978-02-03,9.13,1.3,NA,NA,NA,NA,NA,NA
1978-02-10,9.15,1.3,NA,NA,NA,NA,NA,NA
1978-02-17,9.15,1.3,NA,NA,NA,NA,NA,NA
1978-02-24,9.15,1.3,NA,NA,NA,NA,NA,NA
1978-03-03,9.15,1.3,NA,NA,NA,NA,NA,NA
1978-03-10,9.15,1.3,NA,NA,NA,NA,NA,NA
1978-03-17,9.23,1.3,NA,NA,NA,NA,NA,NA
1978-03-24,9.23,1.3,NA,NA,NA,NA,NA,NA
1978-03-31,9.25,1.3,NA,NA,NA,NA,NA,NA
1978-04-07,9.28,1.3,NA,NA,NA,NA,NA,NA
1978-04-14,9.33,1.3,NA,NA,NA,NA,NA,NA
1978-04-21,9.38,1.2,NA,NA,NA,NA,NA,NA
1978-04-28,9.43,1.2,NA,NA,NA,NA,NA,NA
1978-05-05,9.48,1.2,NA,NA,NA,NA,NA,NA
1978-05-12,9.55,1.4,NA,NA,NA,NA,NA,NA
1978-05-19,9.58,1.3,NA,NA,NA,NA,NA,NA
1978-05-26,9.68,1.4,NA,NA,NA,NA,NA,NA
1978-06-02,9.68,1.4,NA,NA,NA,NA,NA,NA
1978-06-09,9.7,1.4,NA,NA,NA,NA,NA,NA
1978-06-16,9.73,1.4,NA,NA,NA,NA,NA,NA
1978-06-23,9.7,1.4,NA,NA,NA,NA,NA,NA
1978-06-30,9.73,1.4,NA,NA,NA,NA,NA,NA
1978-07-07,9.73,1.5,NA,NA,NA,NA,NA,NA
1978-07-14,9.73,1.5,NA,NA,NA,NA,NA,NA
1978-07-21,9.75,1.3,NA,NA,NA,NA,NA,NA
1978-07-28,9.75,1.3,NA,NA,NA,NA,NA,NA
1978-08-04,9.78,1.3,NA,NA,NA,NA,NA,NA
1978-08-11,9.78,1.3,NA,NA,NA,NA,NA,NA
1978-08-18,9.78,1.3,NA,NA,NA,NA,NA,NA
1978-08-25,9.8,1.3,NA,NA,NA,NA,NA,NA
1978-09-01,9.75,1.31,NA,NA,NA,NA,NA,NA
1978-09-08,9.75,1.3,NA,NA,NA,NA,NA,NA
1978-09-15,9.75,1.3,NA,NA,NA,NA,NA,NA
1978-09-22,9.75,1.4,NA,NA,NA,NA,NA,NA
1978-09-29,9.78,1.4,NA,NA,NA,NA,NA,NA
1978-10-06,9.85,1.2,NA,NA,NA,NA,NA,NA
1978-10-13,9.85,1.2,NA,NA,NA,NA,NA,NA
1978-10-20,9.85,1.2,NA,NA,NA,NA,NA,NA
1978-10-27,9.88,1.2,NA,NA,NA,NA,NA,NA
1978-11-03,9.9,1.2,NA,NA,NA,NA,NA,NA
1978-11-10,10.05,1.2,NA,NA,NA,NA,NA,NA
1978-11-17,10.2,1.2,NA,NA,NA,NA,NA,NA
1978-11-24,10.28,1.3,NA,NA,NA,NA,NA,NA
1978-12-01,10.3,1.4,NA,NA,NA,NA,NA,NA
1978-12-08,10.35,1.4,NA,NA,NA,NA,NA,NA
1978-12-15,10.35,1.4,NA,NA,NA,NA,NA,NA
1978-12-22,10.35,1.4,NA,NA,NA,NA,NA,NA
1978-12-29,10.38,1.4,NA,NA,NA,NA,NA,NA
1979-01-05,10.38,1.5,NA,NA,NA,NA,NA,NA
1979-01-12,10.38,1.5,NA,NA,NA,NA,NA,NA
1979-01-19,10.4,1.5,NA,NA,NA,NA,NA,NA
1979-01-26,10.4,1.5,NA,NA,NA,NA,NA,NA
1979-02-02,10.4,1.5,NA,NA,NA,NA,NA,NA
1979-02-09,10.43,1.5,NA,NA,NA,NA,NA,NA
1979-02-16,10.4,1.5,NA,NA,NA,NA,NA,NA
1979-02-23,10.4,1.5,NA,NA,NA,NA,NA,NA
1979-03-02,10.43,1.5,NA,NA,NA,NA,NA,NA
1979-03-09,10.4,1.5,NA,NA,NA,NA,NA,NA
1979-03-16,10.4,1.5,NA,NA,NA,NA,NA,NA
1979-03-23,10.45,1.6,NA,NA,NA,NA,NA,NA
1979-03-30,10.45,1.6,NA,NA,NA,NA,NA,NA
1979-04-06,10.48,1.6,NA,NA,NA,NA,NA,NA
1979-04-13,10.48,1.6,NA,NA,NA,NA,NA,NA
1979-04-20,10.5,1.2,NA,NA,NA,NA,NA,NA
1979-04-27,10.53,1.6,NA,NA,NA,NA,NA,NA
