week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
1985-06-23,3,3690242,The Odd Couple,Broadhurst Theatre,184435,NA,25.96,NA,7105,1181,0.752,8,0
1985-06-23,3,3690242,The Tap Dance Kid,Minskoff Theatre,177212,NA,26.91,NA,6585,1621,0.5078,8,0
1985-06-30,4,3986642,42nd Street,St. James Theatre,292841,NA,29.41,NA,9957,1655,0.752,8,0
1985-06-30,4,3986642,A Chorus Line,Sam S. Shubert Theatre,230472,NA,29.39,NA,7841,1472,0.6658,8,0
1985-06-30,4,3986642,Aren't We All?,Brooks Atkinson Theatre,210620,NA,31.76,NA,6632,1088,0.7619,8,0
1985-06-30,4,3986642,Arms and the Man,Circle in the Square Theatre,94546,NA,19.96,NA,4737,682,0.8682,8,0
1985-06-30,4,3986642,As Is,Lyceum Theatre,79324,NA,19.61,NA,4045,684,0.7392,8,0
1985-06-30,4,3986642,Big River,Eugene O'Neill Theatre,292678,NA,35.67,NA,8205,1018,1.0075,8,0
1985-06-30,4,3986642,Biloxi Blues,Neil Simon Theatre,308513,NA,27.94,NA,11043,1336,1.0332,8,0
1985-06-30,4,3986642,Brighton Beach Memoirs,46th Street Theatre,123915,NA,19.3,NA,6421,1368,0.5867,8,0
1985-06-30,4,3986642,Cats,Winter Garden Theatre,465011,NA,38.78,NA,11991,1482,1.0114,8,0
1985-06-30,4,3986642,Doubles,Ritz Theatre,69184,NA,18.9,NA,3660,499,0.9168,8,0
1985-06-30,4,3986642,La Cage aux Folles,Palace Theatre,414452,NA,34.37,NA,12058,1683,0.8956,8,0
1985-06-30,4,3986642,Leader of the Pack,Ambassador Theatre,115667,NA,25.18,NA,4594,1083,0.5302,8,0
1985-06-30,4,3986642,Oh! Calcutta!,Edison Theatre,33246,NA,14.22,NA,2338,499,0.5206,9,0
1985-06-30,4,3986642,Singin' in the Rain,Gershwin Theatre,158132,NA,28.41,NA,5566,1933,0.3599,0,8
1985-06-30,4,3986642,Sunday in the Park with George,Booth Theatre,147551,NA,24.74,NA,5965,771,0.9671,8,0
1985-06-30,4,3986642,The King and I,Broadway Theatre,605546,NA,43.78,NA,13833,1765,0.9797,8,0
1985-06-30,4,3986642,The Odd Couple,Broadhurst Theatre,168628,NA,25.84,NA,6525,1181,0.6906,8,0
1985-06-30,4,3986642,The Tap Dance Kid,Minskoff Theatre,176316,NA,27.46,NA,6421,1621,0.4951,8,0
1985-07-07,5,2929052,42nd Street,St. James Theatre,235685,NA,28.44,NA,8288,1655,0.626,8,0
1985-07-07,5,2929052,A Chorus Line,Sam S. Shubert Theatre,183355,NA,29.65,NA,6184,1472,0.5251,8,0
1985-07-07,5,2929052,Aren't We All?,Brooks Atkinson Theatre,177952,NA,29.89,NA,5953,1088,0.6839,8,0
1985-07-07,5,2929052,Arms and the Man,Circle in the Square Theatre,79715,NA,20.39,NA,3910,682,0.7166,8,0
1985-07-07,5,2929052,As Is,Lyceum Theatre,75075,NA,17.83,NA,4210,684,0.7694,8,0
1985-07-07,5,2929052,Big River,Eugene O'Neill Theatre,267335,NA,33.95,NA,7874,1018,0.9668,8,0
1985-07-07,5,2929052,Biloxi Blues,Neil Simon Theatre,276542,NA,31.51,NA,8775,1336,0.821,8,0
1985-07-07,5,2929052,Brighton Beach Memoirs,46th Street Theatre,95933,NA,18.22,NA,5266,1368,0.4812,8,0
1985-07-07,5,2929052,Cats,Winter Garden Theatre,471456,NA,39.06,NA,12069,1482,1.018,8,0
1985-07-07,5,2929052,Doubles,Ritz Theatre,60204,NA,16.65,NA,3615,499,0.9056,8,0
1985-07-07,5,2929052,La Cage aux Folles,Palace Theatre,392549,NA,34.13,NA,11500,1683,0.8541,8,0
1985-07-07,5,2929052,Leader of the Pack,Ambassador Theatre,81304,NA,19.72,NA,4123,1083,0.4759,8,0
1985-07-07,5,2929052,Oh! Calcutta!,Edison Theatre,32298,NA,14.23,NA,2269,499,0.5052,9,0
1985-07-07,5,2929052,Singin' in the Rain,Gershwin Theatre,109538,NA,30.6,NA,3580,1933,0.2315,7,1
1985-07-07,5,2929052,Sunday in the Park with George,Booth Theatre,126401,NA,24.09,NA,5248,771,0.8508,8,0
1985-07-07,5,2929052,The Odd Couple,Broadhurst Theatre,141575,NA,22.17,NA,6386,1181,0.6759,8,0
1985-07-07,5,2929052,The Tap Dance Kid,Minskoff Theatre,122135,NA,26.94,NA,4534,1621,0.3496,8,0
1985-07-14,6,3072770,42nd Street,St. James Theatre,252046,NA,29.29,NA,8606,1655,0.65,8,0
1985-07-14,6,3072770,A Chorus Line,Sam S. Shubert Theatre,192005,NA,29.3,NA,6552,1472,0.5564,8,0
1985-07-14,6,3072770,Aren't We All?,Brooks Atkinson Theatre,213901,NA,31.77,NA,6732,1088,0.7734,8,0
1985-07-14,6,3072770,Arms and the Man,Circle in the Square Theatre,61130,NA,20.73,NA,2949,682,0.5405,8,0
1985-07-14,6,3072770,As Is,Lyceum Theatre,74784,NA,17.08,NA,4379,684,0.8003,8,0
1985-07-14,6,3072770,Big River,Eugene O'Neill Theatre,285309,NA,34.93,NA,8169,1018,1.0031,8,0
1985-07-14,6,3072770,Biloxi Blues,Neil Simon Theatre,288929,NA,27.86,NA,10369,1336,0.9702,8,0
1985-07-14,6,3072770,Brighton Beach Memoirs,46th Street Theatre,94826,NA,18.58,NA,5103,1368,0.4663,8,0
1985-07-14,6,3072770,Cats,Winter Garden Theatre,470452,NA,39.14,NA,12020,1482,1.0138,8,0
1985-07-14,6,3072770,Doubles,Ritz Theatre,61308,NA,17.43,NA,3517,499,0.881,8,0
1985-07-14,6,3072770,La Cage aux Folles,Palace Theatre,402772,NA,34.42,NA,11700,1683,0.869,8,0
1985-07-14,6,3072770,Leader of the Pack,Ambassador Theatre,94973,NA,19.58,NA,4851,1083,0.5599,8,0
1985-07-14,6,3072770,Oh! Calcutta!,Edison Theatre,31947,NA,14.22,NA,2247,499,0.5003,9,0
1985-07-14,6,3072770,Singin' in the Rain,Gershwin Theatre,135628,NA,29.91,NA,4535,1933,0.2933,8,0
1985-07-14,6,3072770,Sunday in the Park with George,Booth Theatre,122045,NA,26.6,NA,4588,771,0.7438,8,0
1985-07-14,6,3072770,The Odd Couple,Broadhurst Theatre,163507,NA,23.03,NA,7100,1181,0.7515,8,0
1985-07-14,6,3072770,The Tap Dance Kid,Minskoff Theatre,127208,NA,27.3,NA,4659,1621,0.3593,8,0
1985-07-21,7,3260312,42nd Street,St. James Theatre,292708,NA,29.75,NA,9838,1655,0.7431,8,0
1985-07-21,7,3260312,A Chorus Line,Sam S. Shubert Theatre,221613,NA,27.96,NA,7925,1472,0.673,8,0
1985-07-21,7,3260312,Aren't We All?,Brooks Atkinson Theatre,242361,NA,31.84,NA,7613,1088,0.8747,8,0
1985-07-21,7,3260312,Arms and the Man,Circle in the Square Theatre,59055,NA,20.34,NA,2904,682,0.5323,8,0
1985-07-21,7,3260312,As Is,Lyceum Theatre,78172,NA,16.93,NA,4617,684,0.8438,8,0
1985-07-21,7,3260312,Big River,Eugene O'Neill Theatre,282254,NA,34.4,NA,8206,1018,1.0076,8,0
1985-07-21,7,3260312,Biloxi Blues,Neil Simon Theatre,287590,NA,27.11,NA,10610,1336,0.9927,8,0
1985-07-21,7,3260312,Brighton Beach Memoirs,46th Street Theatre,99940,NA,18.38,NA,5438,1368,0.4969,8,0
1985-07-21,7,3260312,Cats,Winter Garden Theatre,465589,NA,38.75,NA,12015,1482,1.0134,8,0
1985-07-21,7,3260312,Doubles,Ritz Theatre,64884,NA,18.34,NA,3537,499,0.886,8,0
1985-07-21,7,3260312,La Cage aux Folles,Palace Theatre,390698,NA,39.08,NA,9997,1683,0.7425,8,0
1985-07-21,7,3260312,Leader of the Pack,Ambassador Theatre,107966,NA,21.61,NA,4996,1083,0.5766,8,0
1985-07-21,7,3260312,Oh! Calcutta!,Edison Theatre,30099,NA,14.22,NA,2117,499,0.4714,9,0
1985-07-21,7,3260312,Singin' in the Rain,Gershwin Theatre,199436,NA,29.7,NA,6715,1933,0.4342,8,0
1985-07-21,7,3260312,Sunday in the Park with George,Booth Theatre,121307,NA,26.12,NA,4645,771,0.7531,8,0
1985-07-21,7,3260312,The Odd Couple,Broadhurst Theatre,165166,NA,23.05,NA,7165,1181,0.7584,8,0
1985-07-21,7,3260312,The Tap Dance Kid,Minskoff Theatre,151474,NA,27.34,NA,5540,1621,0.4272,8,0
1985-07-28,8,2989271,42nd Street,St. James Theatre,298993,NA,29.14,NA,10260,1655,0.7749,8,0
1985-07-28,8,2989271,A Chorus Line,Sam S. Shubert Theatre,221924,NA,28.39,NA,7818,1472,0.6639,8,0
1985-07-28,8,2989271,Arms and the Man,Circle in the Square Theatre,75553,NA,19.49,NA,3876,682,0.7104,8,0
1985-07-28,8,2989271,As Is,Lyceum Theatre,71798,NA,16.24,NA,4421,684,0.8079,8,0
1985-07-28,8,2989271,Big River,Eugene O'Neill Theatre,296883,NA,36.18,NA,8206,1018,1.0076,8,0
1985-07-28,8,2989271,Biloxi Blues,Neil Simon Theatre,288256,NA,26.73,NA,10786,1336,1.0092,8,0
1985-07-28,8,2989271,Brighton Beach Memoirs,46th Street Theatre,106670,NA,17.8,NA,5992,1368,0.5475,8,0
1985-07-28,8,2989271,Cats,Winter Garden Theatre,466630,NA,38.82,NA,12019,1482,1.0137,8,0
1985-07-28,8,2989271,Doubles,Ritz Theatre,67931,NA,18.26,NA,3720,499,0.9319,8,0
1985-07-28,8,2989271,La Cage aux Folles,Palace Theatre,408931,NA,34.54,NA,11841,1683,0.8795,8,0
1985-07-28,8,2989271,Oh! Calcutta!,Edison Theatre,30558,NA,14.23,NA,2147,499,0.4781,9,0
1985-07-28,8,2989271,Singin' in the Rain,Gershwin Theatre,224685,NA,30.16,NA,7449,1933,0.4817,8,0
1985-07-28,8,2989271,Sunday in the Park with George,Booth Theatre,124033,NA,28.74,NA,4315,771,0.6996,8,0
1985-07-28,8,2989271,The Odd Couple,Broadhurst Theatre,164469,NA,25.48,NA,6456,1181,0.6833,8,0
1985-07-28,8,2989271,The Tap Dance Kid,Minskoff Theatre,141957,NA,26.42,NA,5374,1621,0.4144,8,0
1985-08-04,9,2999130,42nd Street,St. James Theatre,273645,NA,29.38,NA,9314,1655,0.7035,8,0
1985-08-04,9,2999130,A Chorus Line,Sam S. Shubert Theatre,221873,NA,28.67,NA,7739,1472,0.6572,8,0
1985-08-04,9,2999130,Arms and the Man,Circle in the Square Theatre,52820,NA,16.73,NA,3157,682,0.5786,8,0
1985-08-04,9,2999130,As Is,Lyceum Theatre,75222,NA,16.9,NA,4450,684,0.8132,8,0
1985-08-04,9,2999130,Big River,Eugene O'Neill Theatre,292503,NA,36.02,NA,8120,1018,0.9971,8,0
1985-08-04,9,2999130,Biloxi Blues,Neil Simon Theatre,281677,NA,26.62,NA,10581,1336,0.99,8,0
1985-08-04,9,2999130,Brighton Beach Memoirs,46th Street Theatre,117727,NA,17.59,NA,6691,1368,0.6114,8,0
1985-08-04,9,2999130,Cats,Winter Garden Theatre,496136,NA,41.24,NA,12031,1482,1.0148,8,0
1985-08-04,9,2999130,Doubles,Ritz Theatre,71166,NA,19.19,NA,3709,499,0.9291,8,0
1985-08-04,9,2999130,La Cage aux Folles,Palace Theatre,380020,NA,34.55,NA,11000,1683,0.817,8,0
1985-08-04,9,2999130,Oh! Calcutta!,Edison Theatre,37101,NA,14.25,NA,2604,499,0.5798,9,0
1985-08-04,9,2999130,Singin' in the Rain,Gershwin Theatre,243138,NA,28.89,NA,8415,1933,0.5442,8,0
1985-08-04,9,2999130,Sunday in the Park with George,Booth Theatre,129002,NA,28.74,NA,4489,771,0.7278,8,0
1985-08-04,9,2999130,The Odd Couple,Broadhurst Theatre,160674,NA,24.56,NA,6541,1181,0.6923,8,0
1985-08-04,9,2999130,The Tap Dance Kid,Minskoff Theatre,166426,NA,25.33,NA,6570,1621,0.5066,8,0
1985-08-11,10,3161255,42nd Street,St. James Theatre,295896,NA,29.45,NA,10048,1655,0.7589,8,0
1985-08-11,10,3161255,A Chorus Line,Sam S. Shubert Theatre,248522,NA,28.42,NA,8746,1472,0.7427,8,0
1985-08-11,10,3161255,Arms and the Man,Circle in the Square Theatre,83452,NA,18.26,NA,4569,682,0.8374,8,0
1985-08-11,10,3161255,As Is,Lyceum Theatre,74144,NA,17.46,NA,4246,684,0.776,8,0
1985-08-11,10,3161255,Big River,Eugene O'Neill Theatre,300266,NA,36.86,NA,8146,1018,1.0002,8,0
1985-08-11,10,3161255,Biloxi Blues,Neil Simon Theatre,290979,NA,26.98,NA,10786,1336,1.0092,8,0
1985-08-11,10,3161255,Brighton Beach Memoirs,46th Street Theatre,115156,NA,18.66,NA,6170,1368,0.5638,8,0
1985-08-11,10,3161255,Cats,Winter Garden Theatre,467829,NA,38.91,NA,12024,1482,1.0142,8,0
1985-08-11,10,3161255,Doubles,Ritz Theatre,77267,NA,21.45,NA,3602,499,0.9023,8,0
1985-08-11,10,3161255,La Cage aux Folles,Palace Theatre,420820,NA,38.08,NA,11050,1683,0.8207,8,0
1985-08-11,10,3161255,Oh! Calcutta!,Edison Theatre,36843,NA,14.25,NA,2585,499,0.5756,9,0
1985-08-11,10,3161255,Singin' in the Rain,Gershwin Theatre,254139,NA,33.08,NA,7683,1933,0.4968,8,0
1985-08-11,10,3161255,Sunday in the Park with George,Booth Theatre,158142,NA,27.59,NA,5731,771,0.9292,8,0
1985-08-11,10,3161255,The Odd Couple,Broadhurst Theatre,167553,NA,25.66,NA,6529,1181,0.691,8,0
1985-08-11,10,3161255,The Tap Dance Kid,Minskoff Theatre,170247,NA,25.62,NA,6645,1621,0.5124,8,0
1985-08-18,11,3200365,42nd Street,St. James Theatre,347623,NA,33.37,NA,10416,1655,0.7867,8,0
1985-08-18,11,3200365,A Chorus Line,Sam S. Shubert Theatre,285858,NA,28.52,NA,10023,1472,0.8511,8,0
1985-08-18,11,3200365,Arms and the Man,Circle in the Square Theatre,52110,NA,17.43,NA,2990,682,0.548,8,0
1985-08-18,11,3200365,As Is,Lyceum Theatre,83119,NA,17.67,NA,4705,684,0.8598,8,0
1985-08-18,11,3200365,Big River,Eugene O'Neill Theatre,307622,NA,37.74,NA,8152,1018,1.001,8,0
1985-08-18,11,3200365,Biloxi Blues,Neil Simon Theatre,298553,NA,27.61,NA,10815,1336,1.0119,8,0
1985-08-18,11,3200365,Brighton Beach Memoirs,46th Street Theatre,132770,NA,18.18,NA,7302,1368,0.6672,8,0
1985-08-18,11,3200365,Cats,Winter Garden Theatre,467007,NA,38.82,NA,12029,1482,1.0146,8,0
1985-08-18,11,3200365,Doubles,Ritz Theatre,75758,NA,21.06,NA,3597,499,0.9011,8,0
1985-08-18,11,3200365,La Cage aux Folles,Palace Theatre,448050,NA,35.38,NA,12664,1683,0.9406,8,0
1985-08-18,11,3200365,Oh! Calcutta!,Edison Theatre,43638,NA,14.26,NA,3060,499,0.6814,9,0
1985-08-18,11,3200365,Singin' in the Rain,Gershwin Theatre,300251,NA,29.8,NA,10077,1933,0.6516,8,0
1985-08-18,11,3200365,Sunday in the Park with George,Booth Theatre,169714,NA,28.36,NA,5985,771,0.9703,8,0
1985-08-18,11,3200365,The Odd Couple,Broadhurst Theatre,188292,NA,25.89,NA,7272,1181,0.7697,8,0
1985-08-25,12,3099133,42nd Street,St. James Theatre,341894,NA,29.09,NA,11754,1655,0.8878,8,0
1985-08-25,12,3099133,A Chorus Line,Sam S. Shubert Theatre,275565,NA,27.78,NA,9918,1472,0.8422,8,0
1985-08-25,12,3099133,Arms and the Man,Circle in the Square Theatre,55426,NA,17.6,NA,3149,682,0.5772,8,0
1985-08-25,12,3099133,As Is,Lyceum Theatre,90086,NA,18.04,NA,4993,684,0.9125,8,0
1985-08-25,12,3099133,Big River,Eugene O'Neill Theatre,306577,NA,37.69,NA,8134,1018,0.9988,8,0
1985-08-25,12,3099133,Biloxi Blues,Neil Simon Theatre,296460,NA,27.05,NA,10961,1336,1.0255,8,0
1985-08-25,12,3099133,Brighton Beach Memoirs,46th Street Theatre,128344,NA,18.89,NA,6796,1368,0.621,8,0
1985-08-25,12,3099133,Cats,Winter Garden Theatre,469538,NA,39.07,NA,12019,1482,1.0137,8,0
1985-08-25,12,3099133,Doubles,Ritz Theatre,74070,NA,20.7,NA,3579,499,0.8965,8,0
1985-08-25,12,3099133,La Cage aux Folles,Palace Theatre,422990,NA,35.46,NA,11929,1683,0.886,8,0
1985-08-25,12,3099133,Oh! Calcutta!,Edison Theatre,42037,NA,14.25,NA,2950,499,0.6569,9,0
1985-08-25,12,3099133,Singin' in the Rain,Gershwin Theatre,290986,NA,32.3,NA,9009,1933,0.5826,8,0
1985-08-25,12,3099133,Sunday in the Park with George,Booth Theatre,155738,NA,26.87,NA,5795,771,0.9395,8,0
1985-08-25,12,3099133,The Odd Couple,Broadhurst Theatre,149422,NA,24.91,NA,5999,1181,0.6349,8,0
1985-09-01,13,3117089,42nd Street,St. James Theatre,343578,NA,29.94,NA,11475,1655,0.8667,8,0
1985-09-01,13,3117089,A Chorus Line,Sam S. Shubert Theatre,254608,NA,28.62,NA,8896,1472,0.7554,8,0
1985-09-01,13,3117089,Arms and the Man,Circle in the Square Theatre,72695,NA,18.51,NA,3927,682,0.7198,8,0
1985-09-01,13,3117089,As Is,Lyceum Theatre,74598,NA,19.25,NA,3875,684,0.7082,8,0
1985-09-01,13,3117089,Big River,Eugene O'Neill Theatre,303347,NA,37.27,NA,8140,1018,0.9995,8,0
1985-09-01,13,3117089,Biloxi Blues,Neil Simon Theatre,279943,NA,26.28,NA,10653,1336,0.9967,8,0
1985-09-01,13,3117089,Brighton Beach Memoirs,46th Street Theatre,146256,NA,18.52,NA,7896,1368,0.7215,8,0
1985-09-01,13,3117089,Cats,Winter Garden Theatre,467790,NA,39.05,NA,11978,1482,1.0103,8,0
1985-09-01,13,3117089,Doubles,Ritz Theatre,81971,NA,22.14,NA,3702,499,0.9274,8,0
1985-09-01,13,3117089,La Cage aux Folles,Palace Theatre,420642,NA,35.18,NA,11956,1683,0.888,8,0
1985-09-01,13,3117089,Oh! Calcutta!,Edison Theatre,50090,NA,15.04,NA,3330,499,0.7415,9,0
1985-09-01,13,3117089,Singin' in the Rain,Gershwin Theatre,311262,NA,29.58,NA,10524,1933,0.6805,8,0
1985-09-01,13,3117089,Sunday in the Park with George,Booth Theatre,152527,NA,27.21,NA,5606,771,0.9089,8,0
1985-09-01,13,3117089,The Odd Couple,Broadhurst Theatre,157782,NA,23.95,NA,6587,1181,0.6972,8,0
1985-09-08,14,2474396,42nd Street,St. James Theatre,219745,NA,30.31,NA,7251,1655,0.5477,8,0
1985-09-08,14,2474396,A Chorus Line,Sam S. Shubert Theatre,172328,NA,29.37,NA,5868,1472,0.4983,8,0
1985-09-08,14,2474396,As Is,Lyceum Theatre,52284,NA,19.51,NA,2680,684,0.4898,8,0
1985-09-08,14,2474396,Big River,Eugene O'Neill Theatre,252347,NA,34.37,NA,7342,1018,0.9015,8,0
1985-09-08,14,2474396,Biloxi Blues,Neil Simon Theatre,212616,NA,27.02,NA,7868,1336,0.7362,8,0
1985-09-08,14,2474396,Brighton Beach Memoirs,46th Street Theatre,81921,NA,18.84,NA,4348,1368,0.3973,8,0
1985-09-08,14,2474396,Cats,Winter Garden Theatre,467305,NA,38.91,NA,12009,1482,1.0129,8,0
1985-09-08,14,2474396,Doubles,Ritz Theatre,60982,NA,20.99,NA,2905,499,0.7277,8,0
1985-09-08,14,2474396,La Cage aux Folles,Palace Theatre,350580,NA,33.62,NA,10427,1683,0.7744,8,0
1985-09-08,14,2474396,Oh! Calcutta!,Edison Theatre,39163,NA,14.26,NA,2746,499,0.6114,9,0
1985-09-08,14,2474396,Singin' in the Rain,Gershwin Theatre,226665,NA,31.97,NA,7089,1933,0.4584,8,0
1985-09-08,14,2474396,Song and Dance,Royale Theatre,118201,NA,32.09,NA,3684,1069,0.6892,0,5
1985-09-08,14,2474396,Sunday in the Park with George,Booth Theatre,117529,NA,28.51,NA,4123,771,0.6685,8,0
1985-09-08,14,2474396,The Odd Couple,Broadhurst Theatre,102730,NA,25.47,NA,4033,1181,0.4269,8,0
1985-09-15,15,2844860,42nd Street,St. James Theatre,240626,NA,30.5,NA,7890,1655,0.5959,8,0
1985-09-15,15,2844860,A Chorus Line,Sam S. Shubert Theatre,190672,NA,28.68,NA,6649,1472,0.5646,8,0
1985-09-15,15,2844860,As Is,Lyceum Theatre,57567,NA,18.75,NA,3071,684,0.5612,8,0
1985-09-15,15,2844860,Big River,Eugene O'Neill Theatre,272763,NA,35.46,NA,7692,1018,0.9445,8,0
1985-09-15,15,2844860,Biloxi Blues,Neil Simon Theatre,238743,NA,26.28,NA,9085,1336,0.85,8,0
1985-09-15,15,2844860,Brighton Beach Memoirs,46th Street Theatre,85020,NA,18.05,NA,4709,1368,0.4303,8,0
1985-09-15,15,2844860,Cats,Winter Garden Theatre,463117,NA,38.61,NA,11995,1482,1.0117,8,0
1985-09-15,15,2844860,Doubles,Ritz Theatre,55243,NA,19,NA,2908,499,0.7285,8,0
1985-09-15,15,2844860,La Cage aux Folles,Palace Theatre,389388,NA,34.59,NA,11256,1683,0.836,8,0
