show,synopsis
The Boys of Winter,Seven marines preparing for a mission in Vietnam debate the causes and justifications of the war.
The Mystery of Edwin Drood,"In the musical adaptation of Charles Dickens's last, unfinished novel, the audience gets to decide who murdered the mysterious orphan Edwin Drood, with the musical presented in the style of a Victorian music hall, with a master of ceremonies, a woman playing Drood and other conventions of the period."
I'm Not Rappaport,"A lifelong radical and world-class kibitzer, retiree Nat Moyer spends his afternoons spinning outrageous yarns that both intrigue and infuriate fellow octogenarian Midge Carter, the half-blind building superintendent with whom Nat shares his Central Park bench."
Blood Knot,"Two half-brothers, one of whom appears black and one of whom appears white, live together in a shack outside South Africa's Port Elizabeth, enacting daily routines and games that reveal their dangerous codependence."
Hay Fever,"Members of a theatrical family each invite a guest for a weekend on their country estate, leading to many complications and clashes between the culture of the theatre and the culture of the rest of the world."
Jerry's Girls,"A group of female performers pay tribute to the song catalogue of Jerry Herman, with tunes from Hello, Dolly!, Mame, La Cage aux Folles, Mack and Mabel and more."
Wind in the Willows,"The adventures of the animals in the classic Kenneth Grahame children's book, including the reckless Toad, the egotistical Rat and the shy, bookish Mole, are musicalized by Jane Iredale, William Perry and Roger McGough."
Benefactors,"An architect's decision to build a development in a slum in South London is mocked by his journalist friend, as both men and their wives look at the state of their ideals and their marriages."
Corpse!,NA
Lillian,NA
The Caretaker,"A vagabond enters and changes the lives of two brothers who live together in a cluttered London apartment, in this early work from Harold Pinter."
Jerome Kern Goes to Hollywood,Four performers sing a selection of Jerome Kern songs that appeared in Hollywood films.
Uptown...It's Hot!,"The history of 20th-century African-American pop music, from jazz to Motown to rap, is showcased in this musical revue."
Precious Sons,"A young, budding actor is offered a part in a touring company of A Streetcar Named Desire — and the chance to escape the crumbling marriage of his overworked father and nagging mother — in George Furth's family drama."
Execution of Justice,"Emily Mann's play examines the 1978 trial of Dan White, a member of the San Francisco Board of Supervisors who murdered Harvey Milk, a fellow supervisor who was openly gay, and the city's mayor, George Moscone."
So Long on Lonely Street,Family members gather at the fading family home in Atlanta for the funeral of Aunt Pearl and the reading of her will.
Social Security,An art gallery owner and her husband are thrown into a panic when her mother intimates that she may be living with them for an extended period.
"The Flying Karamazov Brothers ""Juggling and Cheap Theatrics""",NA
Big Deal,"A failed boxer joins a group of small-time criminals who plan to rob a Chicago apartment, in this Depression-era musical featuring a score of the era's standards with book, direction and choreography by Bob Fosse."
Loot,"In this British farce, a teenager and his friend rob a bank and hide the loot in the teen's mother's coffin, but the arrival of an inspector sends their hapless plans into chaos."
The Boys in Autumn,"Tom Sawyer and Huck Finn reunite in 1920s Hannibal, years after their boyish adventures, hashing over the good old days and revealing surprising secrets."
Sweet Charity,"A New York taxi dancer is open-hearted but unlucky in love, until she meets a strait-laced claustrophobe and nurses him through an elevator jam, in this musical adaptation of the Federico Fellini film The Nights of Cabiria."
The Petition,"A retired British general's wife joins a public protest against nuclear armaments, prompting them to examine the divisions in their politics and in their married life."
Long Day's Journey Into Night,"The Tyrone family — the miserly actor father, the grasping mother addicted to morphine, the alcoholic older son and the tubercular younger son — come to grips with their twisted love for one another in Eugene O'Neill's Pulitzer Prize and Tony Award-winning play."
The House of Blue Leaves,"On the day in 1965 that the Pope visits New York and masses of people line the streets in adulation, Artie, a zookeeper living in Sunnyside, Queens, thinks its time for his life to be blessed, too. He desperately wants to escape his lower middle-class existence and become a popular singer and songwriter, but his life is complicated by an ambitious mistress, a crazy wife and a bomb-making son."
Arsenic and Old Lace,"A drama critic must deal with his eccentric family, including two sweet aunts who cheerfully poison elderly men with elderberry wine."
"Mummenschanz: ""The New Show""","The Swiss mime trio Mummenschanz performs a show dealing with light, darkness and objects attempting to replace a person's ""missing"" head."
Cuba and His Teddy Bear,A good-hearted Cuban drug dealer on the Lower East Side must deal with his rebellious teenage son.
Honky Tonk Nights,"A black vaudeville troupe moves from Hell's Kitchen to Harlem, with its star duo getting some additional opportunities from white show business that require personal compromise and threaten to tear them apart."
Me and My Girl,"Unsophisticated Cockney Bill Snibson finds out he is the long-lost Earl of Hereford, and must choose between fitting in with proper society or losing his girl, fishmonger's assistant Sally Smith."
Rags,"In this musical by Charles Strouse, Stephen Schwartz and Joseph Stein, Jewish immigrants in 1910 discover that America does not deliver what they thought it promised even as they find romance, fight for labor equality, and experience disappointment and tragedy."
The Life and Adventures of Nicholas Nickleby,"David Edgar dramatizes Charles Dickens' novel as a two-part, eight-and-a-half-hour play, detailing the efforts of young, fatherless Nicholas to provide for his mother and sister, despite the obstacles provided by his distrusting uncle Ralph and Wackford Squeers, the odious schoolmaster who is his initial employer."
You Never Can Tell,NA
Raggedy Ann,A sick child's doll comes to life and brings her through a nightmarish fantasy world to the Doll Doctor to help her get well.
Into the Light,"An American physicist becomes obsessed with an expedition to determine whether the Shroud of Turin, said to contain an imprint of Christ's face, is real or fake."
Rowan Atkinson at the Atkinson,British comedian Rowan Atkinson performs an evening of sketch comedy with a focus on scatological humor.
A Little Like Magic,"The Canadian puppeteer troupe Famous People Players manipulate puppet versions of well-known figures, using disembodied human limbs and special effects."
Flamenco Puro,A group of Spanish gypsies perform the flamenco songs and dances of their heritage.
The Front Page,"A managing editor of a Chicago newspaper fights to keep his star reporter on the story of a condemned anarchist's jailbreak, when the reporter is ready to quit and get married."
Oh Coward!,"Roderick Cook conceives, directs and stars in this revue of songs, dramatic scenes and other excerpts from the writings of Noël Coward."
Smile,NA
Broadway Bound,"In the third and last play of Neil Simon's Brighton Beach trilogy, Eugene Jerome (based on Simon) and his brother deal with their parents' crumbling marriage as they start careers as comedy writers."
Wild Honey,"A provincial Russian schoolteacher struggles to remain faithful to his wife, despite the attentions of three other women, in Michael Frayn's adaptation of Anton Chekhov's first known play."
Jackie Mason's The World According to Me!,"Jackie Mason brings an evening of Jewish-themed, politically barbed standup to Broadway."
Stepping Out,A group of amateur dancers meet once a week and squabble through rehearsals for their big performance at a charity pageant.
Sweet Sue,A WASP-y married woman debates with her alter ego over her attraction to her son's college roommate.
Stardust,"Six performers sing songs with lyrics by Mitchell Parrish, including ""Sweet Lorraine,"" ""Sophisticated Lady,"" ""Stardust"" and many other classic standards."
Coastal Disturbances,"A photographer romancing a lifeguard, two former college roommates and an older married couple vacation on a private New England beach and confront the possibilities of their lives ahead."
Death and the King's Horseman,A Nigerian chief prepares to commit suicide as a ritual means of joining his predecessor in the next world — until a British commanding officer intervenes with the argument that this act violates his country's code of conduct.
Les Miserables,NA
Starlight Express,"Little steam engine Rusty enters a cross-country race against the flashier trains Greaseball and Electra, hoping to impress pretty sidecar Pearl, in this musical look at a fantasy train world from Andrew Lloyd Webber and Richard Stilgoe."
Blithe Spirit,NA
Fences,"Troy Maxson, a former baseball player in the Negro Leagues now reduced to collecting trash, must deal with his headstrong football-player son and his wife, who reevaluates their marriage when Troy comes home with the baby he fathered with another woman."
Safe Sex,A gay man nurses his lover through AIDS and must meet the lover's wife and son after he dies.
A Month of Sundays,A crotchety senior citizen faces his old age and lingering family problems in a Westchester retirement home.
Barbara Cook: A Concert for the Theatre,"Barbara Cook returns to Broadway for an evening of classic and contemporary songs from the musical theatre and the Great American Songbook, along with some backstage anecdotes."
The Mikado,NA
The Musical Comedy Murders of 1940,"A backers' audition for a new musical on a suburban estate turns deadly, with plenty of confusing murders and knotty plots to unravel, in John Bishop's comedic thriller."
Sleight of Hand,A magician develops a new trick that proves dangerous in Jon Pielmeier's suspense thriller.
The Regard of Flight,"Creator Bill Irwin stars in an evening of physical comedy in the vaudeville tradition, featuring costars M.C. O'Connor and Doug Skinner."
All My Sons,"Golden Globe winner Annette Bening and Tony Award winner Tracy Letts star in a new revival of Arthur Miller's All My Sons, directed by Tony Award winner Jack O'Brien. Bening returns to Broadway after her Tony nominated debut in 1987's Coastal Disturbances. Letts, a Pulitzer Prize- and Tony Award-winning playwright (August: Osage County), won a Tony Award in 2013 for his performance as George in Who's Afraid of Virginia Woolf?. All My Sons will be the latest in Roundabout Theatre Company's long history with Miller, following productions of The Price, After the Fall, The Man Who Had All the Luck, The Crucible, and A View from the Bridge."
Asinamali!,"Five prisoners in a South African jail recount the circumstances that led to their imprisonment through dialogue, song and dance."
Pygmalion,"In George Bernard Shaw's play, based on a classical myth, a blustering phonetics professor bets that he can turn a Cockney flower girl into a passable society lady in three months."
Les Liaisons Dangereuses,"Former lovers, La Marquise de Merteuil and Le Vicomte de Valmont compete in games of seduction and revenge. These merciless aristocrats toy with the hearts and reputations of innocents. Merteuil incites Valmont to corrupt the convent-educated Cecile de Volanges before her wedding night but Valmont has other designs. His target is the peerlessly virtuous and happily married Madame de Tourvel."
The Comedy of Errors,"A well-born man from ancient Syracuse and his slave search for their long-lost brothers in Ephesus, causing confusion with their various spouses and love interests along the way, in William Shakespeare's farce."
Broadway,NA
Dreamgirls,"An opportunistic show business promoter sets the career of a female trio of black singers soaring as 1960s Motown music becomes popular with both white and black audiences, necessitating the overweight lead singer's demotion in favor of a more glamorous singer who had previously sung backup."
Sherlock's Last Case,"Dr. Watson gives us the truth about Arthur Conan Doyle's legendary detective Sherlock Holmes — he is a self-absorbed, egotistical tyrant in private, even as he is tested once again to solve the case of ""the perfect murder."""
Anything Goes,"An evangelist-turned-nightclub singer, a lovelorn stockbroker wooing a lovely debutante, the debutante's British lord fiancé, and a gangster disguised as a minister all turn up on a luxury cruise liner to sing, dance and romance."
Roza,"A former prostitute and concentration-camp survivor takes care of the children of prostitutes in Paris, including one boy who is searching for his real parents."
Into the Woods,"A childless baker and his wife endeavor to lift their family curse by journeying into the woods, where they encounter Rapunzel (and her witchly ""mother""), Cinderella, Jack (of Beanstalk fame), Little Red Riding Hood and other classic fairy tale characters, and they all must learn the responsibility that comes with getting what you want."
Late Nite Comic,"A standup comic and an aspiring dancer have an on-again, off-again romance through their careers' ups and downs."
Burn This,"Thirty years after it first premiered at Circle Repertory Company, Lanford Wilson’s acclaimed play Burn This is getting its first-ever Broadway revival in a production helmed by Tony winner Michael Mayer (Spring Awakening, Hedwig and the Angry Inch) starring three-time Emmy Award nominee Adam Driver and Golden Globe Award winner and Emmy nominee Keri Russell."
Cabaret,"A cast of six performs excerpts from William Shakespeare's poetry, set to music by Lance Mulcahy."
Mort Sahl on Broadway!,Mort Sahl brings an evening of comedy and political commentary to Broadway.
Don't Get God Started,A series of African-American-themed skits depict problems that are cured by religion in this gospel musical.
Breaking the Code,"Hugh Whitmore's play depicts Alan Turing, the British mathematician who cracked the Nazis' Enigma code but was branded a criminal for being openly gay."
Teddy &amp; Alice,"President Theodore ""Teddy"" Roosevelt's relationship with his rebellious daughter, Alice, is examined in this musical, featuring the classic music of John Philip Sousa set to lyrics by Hal Hackady and a book by Jerome Alden."
Penn & Teller,NA
The Phantom of the Opera,"For over 30 years, The Phantom of the Opera has been the Broadway musical all others are measured against. The timeless story, the unforgettable score, the undeniable obsession that could never die… Winner of seven 1988 Tony Awards, including Best Musical, Andrew Lloyd Webber’s stunning masterwork is more than the longest-running musical in Broadway history—it’s an international phenomenon that unmasks emotions, leaving audiences everywhere breathless."
Sarafina!,A South African student who has survived arrest and torture in the apartheid culture is inspired by her teacher to lead her classmates in a musical celebration of the life of Nelson Mandela.
Serious Money,The greed and ruthlessness of the 1980s London stock market is theatricalized and satirized by Caryl Churchill.
A Walk in the Woods,"A Russian and an American, both advocating nuclear disarmament from different positions at a Geneva summit, debate the pros and cons of the issue and come to understand and learn from each other."
A Streetcar Named Desire,"Fragile Southern belle Blanche DuBois moves to New Orleans to live with her sister, Stella, and her brutish brother-in-law, Stanley Kowalski, in a dingy apartment.  Temperaments clash, fireworks fly and secrets are revealed in Tennessee Williams' Pulitzer Prize-winning drama."
M. Butterfly,Clive Owen returns to Broadway starring in David Henry Hwang's Tony Award-winning M. Butterfly. This new production is directed by Julie Taymor (The Lion King) and is the first Broadway revival of Hwang's beloved classic since its premiere in 1988.
The Gospel at Colonus,"Sophocles' Oedipus at Colonus, in which the exiled king Oedipus seeks a place where he may be properly buried, is retold as a gospel musical within the framework of a Pentecostal church service."
Joe Turner's Come and Gone,"August Wilson depicts the great migration of African-Americans, from the farms of the South to the cities of the North, in this drama of folks passing through a Pittsburgh boardinghouse in 1911 in search of identity and stability."
Oba Oba,A group of dancers perform to the pop and classical music of Brazil in this musical revue.
Mail,NA
Speed-the-Plow,David Mamet satirizes Hollywood's chasm between business and art as two powerful producers debate whether to produce a spiritual novel or a surefire blockbuster.
Chess,NA
Macbeth,NA
Michael Feinstein in Concert,Singer and music archivist Michael Feinstein performs a concert of songs from the Great American Songbook.
Romance / Romance,NA
Carrie,NA
Juno and the Paycock,Unemployed Captain Boyle would rather drink his days away with his friend Joxer than get a job to provide for his wife Juno and their children. Sean O'Casey's tale traces the effects of the 1920s Irish civil war on its working-class people.
The Night of the Iguana,"A defrocked priest accused of having sexual relations with a teenage girl seeks shelter at a Mexican inn run by his blowsy, widowed old friend, who finds herself competing for his attentions with a kindly spinster who is caring for her grandfather, an aging poet."
Canciones De Mi Padre,NA
Checkmates,"Two African-American couples, one older and more traditional, the other younger and upwardly mobile, share a two-family home in Detroit in Ron Milner's comedy."
Ain't Misbehavin',"A cast of five singers perform the music and celebrate the freewheeling spirit of Harlem musician Thomas ""Fats"" Waller."
Paul Robeson,NA
"Michael Feinstein in Concert: ""Isn't It Romantic""",Cabaret singer Michael Feinstein performs an evening of tunes from the Great American Songbook in conjunction with the release of his album Isn't It Romantic.
The Devil's Disciple,"A town drunkard substitutes himself for the minister British soldiers are attempting to capture and hang, in George Bernard Shaw's 1897 satire of New England Puritanism and political self-importance during the Revolutionary War."
Legs Diamond,The Prohibition-era gangster Legs Diamond reveals a show-business yen in this musical adaptation of the biographical film The Rise of Legs Diamond.
Spoils of War,A Brooklyn boy who desperately wants to reunite his divorced parents finds an unexpected friend in his father's new mistress.
Our Town,"The Stage Manager guides audiences through a small New England town in the early 1900s, as its inhabitants grow up, get married and discover the beauty of life, in Thornton Wilder's Pulitzer Prize-winning play."
Rumors,"In Neil Simon's murderous farce, four couples arrive at the 10th anniversary celebration party for New York's deputy mayor and his wife, only to find the mayor wounded in bed and the wife missing."
Eastern Standard,A group of four upwardly mobile New Yorkers invite a homeless woman to spend the summer with them at a Hamptons beach house as they come to terms with their relationships and situations.
Black and Blue,This revue celebrates the blues and jazz music and dance made popular by black performers in the 1920s and 1930s.
Senator Joe,NA
Jerome Robbins' Broadway,"Jerome Robbins recreates the direction and choreography of many of his classic set pieces from Broadway musicals, including scenes and numbers from Fiddler on the Roof, West Side Story, On the Town and more."
Born Yesterday,"A millionaire junk dealer with designs on Washington politics hires a sophisticated writer to educate his dumb-blonde girlfriend, Billie Dawn, who ends up falling for the writer and turning the tables on her boyfriend's shady business deals."
Hizzoner!,Legendary New York mayor Fiorello H. LaGuardia recounts his triumphs and setbacks in Paul Shyre's one-man play.
Shirley Valentine,"A Liverpool housewife who feels unappreciated rediscovers herself on a trip to Greece where she has an affair with a local tavern-keeper, in Willy Russell's one-woman play."
Cafe Crown,"A variety of Yiddish theatrical types, most notably an impresario who plans to ""improve"" King Lear, gather regularly at a Second Avenue café."
Lend Me a Tenor,"On a historic night at the Cleveland Opera Company, world-famous tenor Tito Morelli is to perform in Otello. Through a series of mishaps, Tito receives a double dose of tranquilizers, causing the house manager to believe he is dead and setting off a chain reaction of slapstick and mistaken identity."
Run for Your Wife,"In Ray Cooney's sex farce, a seemingly ordinary taxi driver has two wives who live minutes from each other in the London suburbs, and he must try desperately to keep them from learning about each other."
Metamorphosis,"A commercial traveler with a domineering father awakens one morning to find himself transformed into a dung beetle, in Stephen Berkoff's adaptation of the Franz Kafka short story."
Chu Chem,"A scholar and his daughter journey to Kaifeng Fu, China, for traces of the Jewish immigrants who settled there 800 years earlier. While they are there, a prince falls for the daughter, but she refuses to become part of his traditional harem."
Starmites,"A lonely teenage girl magically finds herself in the comic-book world she adores, where she must lead the Starmites in their efforts to save the earth and battle the evil Shak Graa."
Welcome to the Club,Four divorced men commiserate over their marriages while locked up in alimony jail.
Ghetto,"Queens homeboy returns with comic tales of growing up, family life and his chosen profession."
Largely New York,"Clown and actor Bill Irwin brings New York to life through mime, dance and multimedia in a series of vignettes."
"Mandy Patinkin in Concert: ""Dress Casual""","Tony Award winner Mandy Patinkin performs a concert in conjunction with the release of his album Dress Casual, featuring pop standards and theatre music by Harold Arlen, Rodgers and Hammerstein, Stephen Sondheim, and more."
Shenandoah,"A pacifist who refuses to participate in the Civil War is drawn into it when one of his sons is abducted and another is killed, in this musical adaptation of the 1965 film."
Sweeney Todd,"A barber who was unjustly imprisoned for years by a corrupt judge returns to England bent on revenge — a revenge that turns indiscriminately murderous, leading his resourceful accomplice, Mrs. Lovett, to bake the victims into meat pies."
Orpheus Descending,"A Sicilian immigrant's daughter, unhappily running a dry-goods store in the South and tending to her dying husband, is reawakened by a mysterious drifter who appears in town."
Mastergate,"A Hollywood studio and the White House plot together to stage a Central American guerilla raid, in Larry Gelbart's political satire, inspired by the Iran-Contra scandal."
Dangerous Games,"This new entry from the popular Lord of the Dance franchise features exciting and ground-breaking new technology, including holographs, special effects lighting, dancing robots, world champion acrobats and of course the greatest team of Irish Dancers in the world."
The Secret Rapture,A kind owner of a small graphic art business must care for her alcoholic stepmother after her father's death. The tragedy that follows leaves her hard-driving politician sister to pick up the pieces.
Grand Hotel,"An aging ballerina, a baron who must steal jewels to make a living, a dying bookkeeper, and a typist with dreams of screen stardom are just a few of the guests who pass through the Grand Hotel in Berlin in the early 1930s, where life goes on even as many of the guests' lives change suddenly and permanently."
Meet Me in St. Louis,"This stage adaptation of the classic 1944 film musical examines one year in the life of the Smith family, who live in St. Louis just as the 1904 World's Fair is preparing to take place there — until the father's New York job offer threatens to take them away."
Threepenny Opera,"The outlaw Macheath is repeatedly betrayed and sent to prison, only to receive a last-minute reprieve from Queen Victoria, in Kurt Weill and Bertolt Brecht's darkly satirical adaptation of
John Gay's The Beggar's Opera."
Gypsy,NA
Prince of Central Park,"A 12-year-old hides from an abusive foster mother in a Central Park treehouse, where he meets an eccentric but lovable cast of characters."
Sid Caesar & Company,"Sid Caesar headlines an evening of comedy, song and dance, with many of the sketches taken from his classic TV series, Your Show of Shows."
A Few Good Men,"A group of military defense lawyers tackle a case of murder in Guantanamo Bay, in which the defendant may have been covering up for their superior officers."
Love Letters,NA
The Tenth Man,"An unhappy lawyer is pulled off the street by several old Jewish men to serve as the tenth man needed to start a prayer service at a Long Island synagogue. He meets the granddaughter of one of the regulars, who is believed to be possessed by a dybbuk (wandering spirit) and vows to help cure her of her sickness after his own is relieved."
The Circle,NA
Artist Descending a Staircase,"Dadaist artists Martello and Beauchamp accuse each other of pushing their elderly (and now traditionalist) colleague Donner down a staircase, in this satirical thriller by Tom Stoppard that follows the men's friendships from 1914 to 1972."
City of Angels,"A disillusioned crime novelist adapts his latest novel into a screenplay as his marriage falls apart. At the same time, we see the adventures of his detective, presented as if in a black-and-white film. The detective has a way with women but is forever haunted by the one who got away, in this musical spoof of film noir crime movies and Hollywood's treatment of writers."
The Merchant of Venice,"Moneylender Shylock forces the Christian merchant Antonio to offer him a ""pound of flesh"" in exchange for money to allow Antonio's friend to marry the beautiful and wealthy Portia, in William Shakespeare's tale of revenge, greed and religion."
Tru,NA
Miss Margarida's Way,"A tyrannical eighth-grade teacher addresses the audience as her class, railing against religion, education and democracy."
Oba Oba '90,A group of dancers perform to the pop and classical music of Brazil in this musical revue.
Cat on a Hot Tin Roof,"In Tennessee Williams' Pulitzer Prize winner, a wealthy Southern patriarch faces impending death and manipulates his family, as his children squabble and mislead in desperate attempts to secure the family inheritance."
Lettice and Lovage,A flamboyant tour guide who loves to embellish the history behind an English country house butts heads with a fact-conscious official at the house.
The Grapes of Wrath,"The Joads, a family of sharecroppers in Oklahoma, are driven west by the Depression and the drought of the Dust Bowl, in Frank Galati's adaptation of the John Steinbeck novel."
Aspects of Love,"A young man has an affair with an older actress who later marries his uncle, with whom she has a daughter who eventually falls for the young man years later."
Accomplice,"Two English couples plot the murders of various spouses at a country estate and then debate theatrical matters, in this spoof-thriller by Rupert Holmes."
A Change in the Heir,"Two branches of the same royal family bring up their children as the opposite sex in hopes of gaining the crown. Mistaken identity and romance result, in this musical farce."
The Piano Lesson,NA
Truly Blessed,"The gospel singer Mahalia Jackson's life story, from humble beginnings in New Orleans to national success at the height of the civil rights movement, is told using her signature music and some original songs."
Prelude to a Kiss,"An old man and a young bride accidentally switch bodies, creating chaos and humor in their relationships and teaching them about the true meaning of love."
Some Americans Abroad,"A group of American college professors and students rush to take in as much of English culture and theatre as they can, in Richard Nelson's satire of middle-class tourist culture."
Zoya's Apartment,"A Russian brothel operating under the guise of a dress-making shop is run by a madam who dreams of escaping to Paris as her ex-aristocrat husband retreats into oblivion, in Mikhael Bulgakov's 1926 play."
The Cemetery Club,The monthly gathering of four Jewish women at their husbands' graves is interrupted by a would-be suitor for one of the women.
The Miser,"A rich miser wants to marry off his daughter to a rich older man and his son to a rich widow, having his own designs on his son's beloved, in Moliere's 1668 comedy."
Stand-Up Tragedy,"A new Catholic school teacher seeks to rescue a Hispanic student, who shows promise as an artist, from a horrifying family life and an educational system with little sympathy."
Michael Feinstein in Concert: Piano and Voice,Singer and music archivist Michael Feinstein performs a concert of songs from the Great American Songbook.
Once On This Island,"Ti Moune is a fearless peasant girl who falls in love with a wealthy boy from the other side of the island. When their divided cultures keep them apart, Ti Moune is guided by the powerful island gods, Erzulie, Asaka, Papa Ge, and Agwe, on a remarkable quest to reunite with the man who has captured her heart."
Jackie Mason: Brand New,"Jackie Mason skewers politics, Jewish-Gentile differences, and more in this evening of comedy, staged on a set resembling a TV news show with Mason as anchor."
"Oh, Kay!","This classic Gershwin musical depicts the adventures of two bootleggers — Lady Kay and her brother, the Duke of Durham — in Prohibition-era Long Island."
Buddy,"Eddie Fisher sings, Buddy Hackett performs a comedy monologue, and the two team up for a finale."
Those Were the Days,"A revue of Yiddish songs, dances and sketches, conceived by Zalmen Mlotek and Moishe Rosenfeld and directed and choreographed by Eleanor Reissa."
Fiddler on the Roof,"Tevye, a Jewish milkman in early 1900s Russia, sees his three eldest daughters married, each one moving further from traditional ways, and must cope with the growing anti-Jewish sentiment in his country."
Shadowlands,"The renowned English author C.S. Lewis strikes up a correspondence with the divorced American poet Joy Davidman, which leads to an unexpected romance and marriage and a love that must surmount a tragic obstacle."
"Shogun, the Musical","An English sea captain, shipwrecked in 17th-century Japan, becomes caught in a political power struggle and falls in love with a married noblewoman, in this musical adaptation of James Clavell's novel."
Six Degrees of Separation,"Inspired by a true story, a group of wealthy New Yorkers are taken in by a conman who claims to be the son of actor-director Sidney Poitier. His victims turn detective and try to piece together the connections that gave him access to their lives. Meanwhile, the conman's lies are beginning to catch up with him, leading unexpectedly into darker territory."
"Harry Connick, Jr. in Concert on Broadway","Tony nominee (and Broadway heartthrob) Harry Connick, Jr. graces the stage in this limited concert-style engagement."
Peter Pan,The boy who would not grow up visits the Darling children and takes them on a magical adventure to Never-Never Land in this beloved musical version of the classic J.M. Barrie play.
Mule Bone,"Two African-American male friends come to blows over a woman, and one goes to trial for knocking the other out with a mule bone, in this adaptation of an unfinished play by Langston Hughes and Zora Neale Hurston, based on one of Hurston's short stories."
La Bete,A vulgar street performer and a high-minded playwright compete for favors in the royal court in this 17th-century-set satire.
Taking Sides,"Ronald Harwood's play is based on the true story of German classical conductor Wilhelm Furtwängler, who worked with the Nazis during World War II and found himself ostracized afterwards."
Lost in Yonkers,"Two brothers are sent to live with their formidable German grandmother, their childlike aunt and their gangster uncle in Neil Simon's Pulitzer Prize and Tony Award-winning semi-autobiographical play."
The Speed of Darkness,"Two Vietnam War buddies reunite in South Dakota, one a successful all-American husband and father, the other a homeless philosopher who needs a place to stay."
The Big Love,"Florence Aadland, the mother of a 15-year-old aspiring actress whose relationship with actor Errol Flynn later led to a scandalous trial, is the subject of this one-woman play."
I Hate Hamlet,"An actor retreating from a canceled TV series to play Hamlet in Central Park has a crippling fear of the role, and he gets counseled by the ghost of one of its most celebrated interpreters, John Barrymore."
