match_id,team1,team2,score_team1,score_team2,wickets_team2,wickets_team,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground,ground_city,ground_country,match_date
ODI # 1068,Zimbabwe,Australia,154,158,10,2,away,away,Australia,8,wickets,Day,Wills World Cup,Shane Warne,Australia,"Vidarbha Cricket Association Ground, Nagpur",Zimbabwe,bat first,with 84 balls remaining),Nagpur,Nagpur,India,"Mar 1, 1996"
ODI # 1069,Netherlands,United Arab Emirates,216,220,9,3,away,away,U.A.E.,7,wickets,Day,Wills World Cup,Saleem Raza,United Arab Emirates,"Gaddafi Stadium, Lahore",United Arab Emirates,field first,with 34 balls remaining),Lahore,Lahore,Pakistan,"Mar 1, 1996"
ODI # 1070,India,Sri Lanka,271,272,3,4,home,away,Sri Lanka,6,wickets,Day,Wills World Cup,Sanath Jayasuriya,Sri Lanka,"Feroz Shah Kotla, Delhi",Sri Lanka,field first,with 8 balls remaining),Delhi,Delhi,India,"Mar 2, 1996"
ODI # 1071,England,Pakistan,249,250,9,3,away,home,Pakistan,7,wickets,Day,Wills World Cup,Aamer Sohail,Pakistan,"National Stadium, Karachi",England,bat first,with 14 balls remaining),Karachi,Karachi,Pakistan,"Mar 3, 1996"
ODI # 1072,Australia,West Indies,229,232,6,6,away,away,West Indies,4,wickets,Day,Wills World Cup,Richie Richardson,West Indies,"Sawai Mansingh Stadium, Jaipur",Australia,bat first,with 7 balls remaining),Jaipur,Jaipur,India,"Mar 4, 1996"
ODI # 1073,South Africa,Netherlands,328,168,3,8,away,away,South Africa,160,runs,Day,Wills World Cup,Andrew Hudson,South Africa,Rawalpindi Cricket Stadium,South Africa,bat first,NA,Rawalpindi,Rawalpindi,Pakistan,"Mar 5, 1996"
ODI # 1075,India,Zimbabwe,247,207,5,10,home,away,India,40,runs,Day,Wills World Cup,Ajay Jadeja,India,"Green Park, Kanpur",Zimbabwe,field first,NA,Kanpur,Civil Lines,India,"Mar 6, 1996"
ODI # 1074,Sri Lanka,Kenya,398,254,5,7,home,away,Sri Lanka,144,runs,Day,Wills World Cup,Aravinda de Silva,Sri Lanka,"Asgiriya Stadium, Kandy",Kenya,field first,NA,Kandy,Kandy,Sri Lanka,"Mar 6, 1996"
ODI # 1076,Pakistan,New Zealand,281,235,5,10,home,away,Pakistan,46,runs,Day,Wills World Cup,Saleem Malik,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,field first,NA,Lahore,Lahore,Pakistan,"Mar 6, 1996"
ODI # 1077,England,Sri Lanka,235,236,8,5,away,away,Sri Lanka,5,wickets,Day,Wills World Cup,Sanath Jayasuriya,Sri Lanka,"Iqbal Stadium, Faisalabad",England,bat first,with 56 balls remaining),Faisalabad,Faisalabad,Pakistan,"Mar 9, 1996"
ODI # 1078,India,Pakistan,287,248,8,9,home,away,India,39,runs,Day and night,Wills World Cup,Navjot Sidhu,India,"M Chinnaswamy Stadium, Bangalore",India,bat first,NA,Bengaluru,Bengaluru,India,"Mar 9, 1996"
ODI # 1079,West Indies,South Africa,264,245,8,10,away,away,West Indies,19,runs,Day,Wills World Cup,Brian Lara,West Indies,"National Stadium, Karachi",West Indies,bat first,NA,Karachi,Karachi,Pakistan,"Mar 11, 1996"
ODI # 1080,New Zealand,Australia,286,289,9,4,away,away,Australia,6,wickets,Day and night,Wills World Cup,Mark Waugh,Australia,"MA Chidambaram Stadium, Chepauk, Madras",New Zealand,bat first,with 13 balls remaining),Chennai,Chepauk,India,"Mar 11, 1996"
ODI # 1081,Sri Lanka,India,251,120,8,8,away,home,Sri Lanka,NA,default,Day and night,Wills World Cup,Aravinda de Silva,Sri Lanka,"Eden Gardens, Calcutta",India,field first,NA,Kolkata,Kolkata,India,"Mar 13, 1996"
ODI # 1083,Australia,Sri Lanka,241,245,7,3,away,away,Sri Lanka,7,wickets,Day and night,Wills World Cup,Aravinda de Silva,Sri Lanka,"Gaddafi Stadium, Lahore",Sri Lanka,field first,with 22 balls remaining),Lahore,Lahore,Pakistan,"Mar 17, 1996"
ODI # 1084,New Zealand,West Indies,243,247,10,9,away,home,West Indies,1,wicket,Day,New Zealand tour of West Indies,Dipak Patel,New Zealand,"Sabina Park, Kingston, Jamaica",West Indies,field first,with 5 balls remaining),Kingston,Kingston,West Indies,"Mar 26, 1996"
ODI # 1085,West Indies,New Zealand,238,239,7,6,home,away,New Zealand,4,wickets,Day,New Zealand tour of West Indies,Stephen Fleming,New Zealand,"Queen's Park Oval, Port of Spain, Trinidad",New Zealand,field first,with 1 ball remaining),Port of Spain,Port of Spain,West Indies,"Mar 29, 1996"
ODI # 1086,New Zealand,West Indies,219,225,8,3,away,home,West Indies,7,wickets,Day,New Zealand tour of West Indies,Brian Lara,West Indies,"Queen's Park Oval, Port of Spain, Trinidad",New Zealand,bat first,with 26 balls remaining),Port of Spain,Port of Spain,West Indies,"Mar 30, 1996"
ODI # 1088,Sri Lanka,Pakistan,349,315,9,10,away,away,Sri Lanka,34,runs,Day,Singer Cup,Sanath Jayasuriya,Sri Lanka,"The Padang, Singapore",Pakistan,field first,NA,Singapore,Padang,Singapore,"Apr 2, 1996"
ODI # 1089,India,Sri Lanka,199,187,10,10,away,away,India,12,runs,Day,Singer Cup,Javagal Srinath,India,"The Padang, Singapore",India,bat first,NA,Singapore,Padang,Singapore,"Apr 3, 1996"
ODI # 1090,New Zealand,West Indies,158,154,10,10,away,away,New Zealand,4,runs,Day,New Zealand tour of West Indies,Dipak Patel,New Zealand,"Bourda, Georgetown, Guyana",West Indies,field first,NA,Georgetown,Georgetown,Guyana,"Apr 3, 1996"
ODI # 1091,India,Pakistan,226,190,8,2,away,away,Pakistan,8,wickets,Day,Singer Cup,Aamer Sohail,Pakistan,"The Padang, Singapore",Pakistan,field first,with 30 balls remaining),Singapore,Padang,Singapore,"Apr 5, 1996"
ODI # 1092,New Zealand,West Indies,241,242,8,3,away,home,West Indies,7,wickets,Day,New Zealand tour of West Indies,Phil Simmons,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field first,with 9 balls remaining),Kingstown,Arnos Vale,West Indies,"Apr 6, 1996"
ODI # 1093,Pakistan,Sri Lanka,215,172,10,10,away,away,Pakistan,43,runs,Day,Singer Cup,Saqlain Mushtaq,Pakistan,"The Padang, Singapore",Sri Lanka,field first,NA,Singapore,Padang,Singapore,"Apr 7, 1996"
ODI # 1094,Pakistan,India,271,233,5,10,away,away,Pakistan,38,runs,Day,Pepsi Sharjah Cup,Aamer Sohail,Pakistan,Sharjah Cricket Association Stadium,India,field first,NA,Sharjah,Sharjah,United Arab Emirates,"Apr 12, 1996"
ODI # 1095,South Africa,Pakistan,314,171,3,7,away,away,South Africa,143,runs,Day,Pepsi Sharjah Cup,Daryll Cullinan,South Africa,Sharjah Cricket Association Stadium,South Africa,bat first,NA,Sharjah,Sharjah,United Arab Emirates,"Apr 13, 1996"
ODI # 1096,Sri Lanka,West Indies,251,216,10,9,away,home,Sri Lanka,35,runs,Day,Sri Lanka tour of West Indies,Kumar Dharmasena,Sri Lanka,"Queen's Park Oval, Port of Spain, Trinidad",Sri Lanka,bat first,NA,Port of Spain,Port of Spain,West Indies,"Apr 13, 1996"
ODI # 1097,South Africa,India,288,208,6,8,away,away,South Africa,80,runs,Day,Pepsi Sharjah Cup,Hansie Cronje,South Africa,Sharjah Cricket Association Stadium,South Africa,bat first,NA,Sharjah,Sharjah,United Arab Emirates,"Apr 14, 1996"
ODI # 1098,India,Pakistan,305,277,5,10,away,away,India,28,runs,Day,Pepsi Sharjah Cup,Sachin Tendulkar,India,Sharjah Cricket Association Stadium,India,bat first,NA,Sharjah,Sharjah,United Arab Emirates,"Apr 15, 1996"
ODI # 1099,Pakistan,South Africa,188,189,10,2,away,away,South Africa,8,wickets,Day,Pepsi Sharjah Cup,Craig Matthews,South Africa,Sharjah Cricket Association Stadium,Pakistan,bat first,with 101 balls remaining),Sharjah,Sharjah,United Arab Emirates,"Apr 16, 1996"
ODI # 1100,India,South Africa,215,216,8,5,away,away,South Africa,5,wickets,Day,Pepsi Sharjah Cup,Paul Adams,South Africa,Sharjah Cricket Association Stadium,India,bat first,with 17 balls remaining),Sharjah,Sharjah,United Arab Emirates,"Apr 17, 1996"
ODI # 1101,South Africa,India,287,249,5,9,away,away,South Africa,38,runs,Day,Pepsi Sharjah Cup,Gary Kirsten,South Africa,Sharjah Cricket Association Stadium,South Africa,bat first,NA,Sharjah,Sharjah,United Arab Emirates,"Apr 19, 1996"
ODI # 1102,England,India,291,96,8,5,home,away,No result,NA,NA,Day,India tour of England,Chris Lewis,England,"Kennington Oval, London",England,bat first,NA,The Oval,London,England,"May 23-24, 1996"
ODI # 1103,India,England,158,162,10,4,away,home,England,6,wickets,Day,India tour of England,Graham Thorpe,England,"Headingley, Leeds",England,field first,with 15 balls remaining),Leeds,Leeds,England,"May 25, 1996"
ODI # 1104,India,England,236,239,4,6,away,home,England,4,wickets,Day,India tour of England,Ali Brown,England,"Old Trafford, Manchester",India,bat first,with 7 balls remaining),Manchester,Stretford,England,"May 26-27, 1996"
ODI # 1105,Australia,Zimbabwe,263,138,7,10,away,away,Australia,125,runs,Day and night,Singer World Series,Steve Waugh,Australia,"R Premadasa Stadium, Colombo",Australia,bat first,NA,Colombo (RPS),Khettarama,Sri Lanka,"Aug 26, 1996"
ODI # 1106,India,Sri Lanka,226,230,5,1,away,home,Sri Lanka,9,wickets,Day and night,Singer World Series,Sanath Jayasuriya,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat first,with 34 balls remaining),Colombo (RPS),Khettarama,Sri Lanka,"Aug 28, 1996"
ODI # 1107,Pakistan,England,225,226,5,5,away,home,England,5,wickets,Day,Pakistan tour of England and Scotland,Mike Atherton,England,"Old Trafford, Manchester",Pakistan,bat first,with 20 balls remaining),Manchester,Stretford,England,"Aug 29, 1996"
ODI # 1108,Australia,Sri Lanka,228,232,9,6,away,home,Sri Lanka,4,wickets,Day and night,Singer World Series,Aravinda de Silva,Sri Lanka,"R Premadasa Stadium, Colombo",Australia,bat first,with 25 balls remaining),Colombo (RPS),Khettarama,Sri Lanka,"Aug 30, 1996"
ODI # 1109,England,Pakistan,292,185,8,10,home,away,England,107,runs,Day,Pakistan tour of England and Scotland,Nick Knight,England,"Edgbaston, Birmingham",Pakistan,field first,NA,Birmingham,Birmingham,England,"Aug 31, 1996"
ODI # 1110,Zimbabwe,India,226,229,10,3,away,away,India,7,wickets,Day,Singer World Series,Ajay Jadeja,India,"Sinhalese Sports Club Ground, Colombo",India,field first,with 37 balls remaining),Colombo (SSC),Colombo,Sri Lanka,"Sep 1, 1996"
ODI # 1111,England,Pakistan,246,247,10,8,home,away,Pakistan,2,wickets,Day,Pakistan tour of England and Scotland,Wasim Akram,Pakistan,"Trent Bridge, Nottingham",England,bat first,with 2 balls remaining),Nottingham,Nottingham,England,"Sep 1, 1996"
ODI # 1112,Zimbabwe,Sri Lanka,227,228,5,4,away,home,Sri Lanka,6,wickets,Day,Singer World Series,Aravinda de Silva,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,field first,with 18 balls remaining),Colombo (SSC),Colombo,Sri Lanka,"Sep 3, 1996"
ODI # 1113,India,Australia,201,202,10,7,away,away,Australia,3,wickets,Day,Singer World Series,Steve Waugh,Australia,"Sinhalese Sports Club Ground, Colombo",Australia,field first,with 3 balls remaining),Colombo (SSC),Colombo,Sri Lanka,"Sep 6, 1996"
ODI # 1114,Sri Lanka,Australia,234,184,3,10,home,away,Sri Lanka,50,runs,Day,Singer World Series,Aravinda de Silva,Sri Lanka,"R Premadasa Stadium, Colombo",Australia,field first,NA,Colombo (RPS),Khettarama,Sri Lanka,"Sep 7, 1996"
ODI # 1115,Pakistan,India,170,173,9,2,away,away,India,8,wickets,Day,Pakistan tour of Canada,Sachin Tendulkar,India,"Toronto Cricket, Skating and Curling Club",India,field first,with 19 balls remaining),Toronto,Toronto,Canada,"Sep 16, 1996"
ODI # 1116,India,Pakistan,264,266,6,8,away,away,Pakistan,2,wickets,Day,Pakistan tour of Canada,Saleem Malik,Pakistan,"Toronto Cricket, Skating and Curling Club",Pakistan,field first,with 1 ball remaining),Toronto,Toronto,Canada,"Sep 17, 1996"
ODI # 1117,India,Pakistan,191,136,10,10,away,away,India,55,runs,Day,Pakistan tour of Canada,Rahul Dravid,India,"Toronto Cricket, Skating and Curling Club",India,bat first,NA,Toronto,Toronto,Canada,"Sep 18, 1996"
ODI # 1118,Pakistan,India,258,161,8,10,away,away,Pakistan,97,runs,Day,Pakistan tour of Canada,Ijaz Ahmed,Pakistan,"Toronto Cricket, Skating and Curling Club",India,field first,NA,Toronto,Toronto,Canada,"Sep 21, 1996"
ODI # 1119,Pakistan,India,213,161,9,10,away,away,Pakistan,52,runs,Day,Pakistan tour of Canada,Mushtaq Ahmed,Pakistan,"Toronto Cricket, Skating and Curling Club",Pakistan,bat first,NA,Toronto,Toronto,Canada,"Sep 23, 1996"
ODI # 1120,Kenya,Sri Lanka,188,190,9,3,home,away,Sri Lanka,7,wickets,Day,KCA Centenary Tournament,Muthiah Muralidaran,Sri Lanka,"Gymkhana Club Ground, Nairobi",Sri Lanka,field first,with 116 balls remaining),Nairobi (Gym),Nairobi,Kenya,"Sep 28, 1996"
ODI # 1121,South Africa,Pakistan,321,259,8,10,away,away,South Africa,62,runs,Day,KCA Centenary Tournament,Jonty Rhodes,South Africa,"Gymkhana Club Ground, Nairobi",Pakistan,field first,NA,Nairobi (Gym),Nairobi,Kenya,"Sep 29, 1996"
ODI # 1122,South Africa,Sri Lanka,169,170,10,8,away,away,Sri Lanka,2,wickets,Day,KCA Centenary Tournament,Sanath Jayasuriya,Sri Lanka,Nairobi Club Ground,South Africa,bat first,with 56 balls remaining),Nairobi (Club),Nairobi,Kenya,"Oct 1, 1996"
ODI # 1123,Kenya,Pakistan,148,149,10,6,home,away,Pakistan,4,wickets,Day,KCA Centenary Tournament,Thomas Odoyo,Kenya,"Aga Khan Sports Club Ground, Nairobi",Kenya,bat first,with 58 balls remaining),Nairobi (Aga),Nairobi,Kenya,"Oct 2, 1996"
ODI # 1124,South Africa,Kenya,305,103,8,10,away,home,South Africa,202,runs,Day,KCA Centenary Tournament,Allan Donald,South Africa,"Gymkhana Club Ground, Nairobi",South Africa,bat first,NA,Nairobi (Gym),Nairobi,Kenya,"Oct 3, 1996"
ODI # 1125,Pakistan,Sri Lanka,371,289,9,10,away,away,Pakistan,82,runs,Day,KCA Centenary Tournament,Shahid Afridi,Pakistan,"Gymkhana Club Ground, Nairobi",Sri Lanka,field first,NA,Nairobi (Gym),Nairobi,Kenya,"Oct 4, 1996"
ODI # 1126,Pakistan,South Africa,203,204,10,3,away,away,South Africa,7,wickets,Day,KCA Centenary Tournament,Gary Kirsten,South Africa,"Gymkhana Club Ground, Nairobi",Pakistan,bat first,with 64 balls remaining),Nairobi (Gym),Nairobi,Kenya,"Oct 6, 1996"
ODI # 1127,South Africa,India,261,214,7,10,away,home,South Africa,47,runs,Day and night,Titan Cup,Gary Kirsten,South Africa,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",South Africa,bat first,NA,Hyderabad (Deccan),Hyderabad,India,"Oct 17, 1996"
ODI # 1128,Australia,South Africa,219,220,7,3,away,away,South Africa,7,wickets,Day,Titan Cup,Gary Kirsten,South Africa,"Nehru Stadium, Indore",Australia,bat first,with 23 balls remaining),Indore,Indore,India,"Oct 19, 1996"
ODI # 1129,Australia,India,215,216,7,8,away,home,India,2,wickets,Day and night,Titan Cup,Sachin Tendulkar,India,"M Chinnaswamy Stadium, Bangalore",Australia,bat first,with 7 balls remaining),Bengaluru,Bengaluru,India,"Oct 21, 1996"
ODI # 1130,South Africa,India,249,222,6,7,away,home,South Africa,27,runs,Day,Titan Cup,Daryll Cullinan,South Africa,"Sawai Mansingh Stadium, Jaipur",India,field first,NA,Jaipur,Jaipur,India,"Oct 23, 1996"
ODI # 1131,Australia,South Africa,215,218,10,8,away,away,South Africa,2,wickets,Day,Titan Cup,Allan Donald,South Africa,"Nahar Singh Stadium, Faridabad",Australia,bat first,with 16 balls remaining),Faridabad,Faridabad,India,"Oct 25, 1996"
ODI # 1132,India,South Africa,185,188,10,5,home,away,South Africa,5,wickets,Day,Titan Cup,Jonty Rhodes,South Africa,"Municipal Stadium, Rajkot",India,bat first,with 8 balls remaining),Rajkot,Rajkot,India,"Oct 29, 1996"
ODI # 1133,Zimbabwe,Pakistan,237,239,9,7,away,home,Pakistan,3,wickets,Day,Zimbabwe tour of Pakistan,Saleem Malik,Pakistan,"Bugti Stadium, Quetta",Zimbabwe,bat first,with 5 balls remaining),Quetta,Quetta,Pakistan,"Oct 30, 1996"
ODI # 1134,Australia,South Africa,238,239,6,2,away,away,South Africa,8,wickets,Day,Titan Cup,Pat Symcox,South Africa,"Nehru Stadium, Gauhati",Australia,bat first,with 30 balls remaining),Guwahati,Stadium Road,India,"Nov 1, 1996"
ODI # 1135,Zimbabwe,Pakistan,195,196,10,1,away,home,Pakistan,9,wickets,Day,Zimbabwe tour of Pakistan,Shahid Afridi,Pakistan,"Gaddafi Stadium, Lahore",Zimbabwe,bat first,with 128 balls remaining),Lahore,Lahore,Pakistan,"Nov 1, 1996"
ODI # 1136,Pakistan,Zimbabwe,264,147,9,10,home,away,Pakistan,78,runs,Day,Zimbabwe tour of Pakistan,Ijaz Ahmed,Pakistan,"Arbab Niaz Stadium, Peshawar",Pakistan,bat first,revised target),Peshawar,Peshawar,Pakistan,"Nov 3, 1996"
ODI # 1137,India,Australia,289,284,6,10,home,away,India,5,runs,Day and night,Titan Cup,Mohammad Azharuddin,India,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Australia,field first,NA,Mohali,Mohali,India,"Nov 3, 1996"
