country_code,short_name,table_name,long_name,x2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_population_census_year,latest_population_census_notes
BRA,Brazil,Brazil,Federative Republic of Brazil,BR,Brazilian real,NA,Latin America & Caribbean,Upper middle income,BR,NA,2010,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"National Health Survey, 2013","Integrated household survey (IHS), 2016",TRUE,2006,2013,2018,2020,(expected)
BRB,Barbados,Barbados,Barbados,BB,Barbados dollar,NA,Latin America & Caribbean,High income,BB,2010,NA,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2012",NA,TRUE,NA,1997,2018,2020,(expected)
BRN,Brunei,Brunei Darussalam,Brunei Darussalam,BN,Brunei dollar,NA,East Asia & Pacific,High income,BN,2010,NA,Value added at producer prices (VAP),NA,NA,2008,BPM6,NA,Special trade system,NA,Enhanced General Data Dissemination System (e-GDDS),NA,NA,TRUE,NA,NA,2018,2011,NA
BTN,Bhutan,Bhutan,Kingdom of Bhutan,BT,Bhutanese ngultrum,NA,South Asia,Lower middle income,BT,2000,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,Actual,NA,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2010","Integrated household survey (IHS), 2017",FALSE,2009,NA,2012,2017,NA
BWA,Botswana,Botswana,Republic of Botswana,BW,Botswana pula,NA,Sub-Saharan Africa,Upper middle income,BW,2016,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Family Health Survey 2007-2008,"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015/16",FALSE,2015,2013,2018,2011,NA
CAF,Central African Republic,Central African Republic,Central African Republic,CF,Central African CFA franc,NA,Sub-Saharan Africa,Low income,CF,2005,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2018/19","Priority survey (PS), 2008",FALSE,NA,1993,2017,2003,NA
CAN,Canada,Canada,Canada,CA,Canadian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,North America,High income,CA,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Labor force survey (LFS), 2013",TRUE,2016,2014,2018,2016,NA
CHE,Switzerland,Switzerland,Switzerland,CH,Swiss franc,NA,Europe & Central Asia,High income,CH,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2015",TRUE,2010,2013,2018,2020,"(expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
CHL,Chile,Chile,Republic of Chile,CL,Chilean peso,NA,Latin America & Caribbean,High income,CL,NA,2018,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,General trade system,NA,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Integrated household survey (IHS), 2017",TRUE,2007,2013,2018,2017,NA
CHN,China,China,People's Republic of China,CN,Chinese yuan,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Upper middle income,CN,2015,NA,Value added at producer prices (VAP),IBRD,NA,2008,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"National Sample Survey on Population Changes, 2014","Integrated household survey (IHS), 2015",FALSE,2016,2007,2018,2020,(expected)
CIV,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire,CI,West African CFA franc,NA,Sub-Saharan Africa,Lower middle income,CI,2015,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2015",FALSE,2014,1997,2018,2020,(expected)
CMR,Cameroon,Cameroon,Republic of Cameroon,CM,Central African CFA franc,NA,Sub-Saharan Africa,Lower middle income,CM,2016,NA,Value added at basic prices (VAB),Blend,HIPC,2008,BPM6,Actual,Special trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2020/21","Priority survey (PS), 2014",FALSE,NA,2002,2017,2020,(expected)
COD,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,ZR,2005,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2017/18","1-2-3 survey (1-2-3), 2012/13",FALSE,NA,NA,NA,NA,NA
COG,Congo,"Congo, Rep.",Republic of Congo,CG,Central African CFA franc,NA,Sub-Saharan Africa,Lower middle income,CG,2005,NA,Value added at basic prices (VAB),Blend,HIPC,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2014/15","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",FALSE,2014,2009,2017,2020,(expected)
COL,Colombia,Colombia,Republic of Colombia,CO,Colombian peso,NA,Latin America & Caribbean,Upper middle income,CO,2015,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2017",FALSE,2015,2012,2018,2018,NA
COM,Comoros,Comoros,Union of the Comoros,KM,Comorian franc,NA,Sub-Saharan Africa,Lower middle income,KM,2007,NA,Value added at producer prices (VAP),IDA,HIPC,2008,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2012","Integrated household survey (IHS), 2013",FALSE,NA,NA,2013,2017,NA
CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde,CV,Cabo Verde escudo,NA,Sub-Saharan Africa,Lower middle income,CV,2007,NA,Value added at basic prices (VAB),Blend,NA,1993,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2005","Income survey (IS), 2015",TRUE,2015,NA,2018,2020,(expected)
CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,NA,Latin America & Caribbean,Upper middle income,CR,NA,2017,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017",TRUE,2014,2013,2018,2011,NA
CUW,Curaçao,Curaçao,Curaçao,CW,Netherlands Antillean guilder,NA,Latin America & Caribbean,High income,CW,2011,NA,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,2011,NA
CYM,Cayman Islands,Cayman Islands,Cayman Islands,KY,Cayman Islands dollar,NA,Latin America & Caribbean,High income,KY,2015,NA,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,2015,2020,(expected)
CYP,Cyprus,Cyprus,Republic of Cyprus,CY,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,CY,NA,2010,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2011,NA
CZE,Czech Republic,Czech Republic,Czech Republic,CZ,Czech koruna,NA,Europe & Central Asia,High income,CZ,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"World Health Survey, 2003","Income survey (IS), 2015",TRUE,2010,2013,2018,2011,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
DEU,Germany,Germany,Federal Republic of Germany,DE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,DE,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2011,Population figures compiled from administrative registers and sample surveys while data on housing characteristics are collected through full field enumeration.
DJI,Djibouti,Djibouti,Republic of Djibouti,DJ,Djibouti franc,NA,Middle East & North Africa,Lower middle income,DJ,2013,NA,Value added at basic prices (VAB),IDA,NA,2008,BPM5 (Converted into BPM6 by IMF),Actual,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2006","Priority survey (PS), 2017",FALSE,NA,NA,2009,2020,(expected)
DMA,Dominica,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar,NA,Latin America & Caribbean,Upper middle income,DM,2006,NA,Value added at basic prices (VAB),Blend,NA,1993,BPM6,Actual,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),NA,NA,TRUE,2015,NA,2012,2011,NA
DNK,Denmark,Denmark,Kingdom of Denmark,DK,Danish krone,NA,Europe & Central Asia,High income,DK,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2011,Population figures compiled from administrative registers.
DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso,NA,Latin America & Caribbean,Upper middle income,DO,NA,2007,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",FALSE,2015,1984,2017,2020,(expected)
DZA,Algeria,Algeria,People's Democratic Republic of Algeria,DZ,Algerian dinar,NA,Middle East & North Africa,Lower middle income,DZ,NA,2012,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2018/19","Integrated household survey (IHS), 2011",FALSE,NA,2010,2017,2020,(expected)
ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,NA,Latin America & Caribbean,Upper middle income,EC,2007,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,NA,Special Data Dissemination Standard (SDDS),"Reproductive Health Survey, 2004","Integrated household survey (IHS), 2018",FALSE,NA,2008,2018,2020,(expected)
EGY,Egypt,"Egypt, Arab Rep.",Arab Republic of Egypt,EG,Egyptian pound,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Lower middle income,EG,2016,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Health Issues Survey, 2015","Expenditure survey/budget survey (ES/BS), 2015",TRUE,2009,2012,2018,2017,NA
ERI,Eritrea,Eritrea,State of Eritrea,ER,Eritrean nakfa,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,ER,2011,NA,Value added at basic prices (VAB),IDA,HIPC,1968,BPM5 (Converted into BPM6 by IMF),Estimate,NA,NA,NA,"Demographic and Health Survey, 2002","Priority survey (PS), 1993",FALSE,NA,2012,2003,NA,NA
ESP,Spain,Spain,Kingdom of Spain,ES,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,ES,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2009,2014,2018,2011,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
