indicator_code,indicator_name
BI.EMP.TOTL.SS.PB.ZS,"Social Security workers, as a share of total public employees"
BI.EMP.TOTL.TS.PB.ZS,"Teachers, as a share of public total employees"
BI.POP.TOTL.CV,Sample size
BI.PWK.AGES.PB.CA.MD,"Median age of public paid employees, by industry: Core Public Administration"
BI.PWK.AGES.PB.CA.SM,"Mean age of public paid employees, by industry: Core Public Administration"
BI.PWK.AGES.PB.ED.MD,"Median age of public paid employees, by industry: Education"
BI.PWK.AGES.PB.ED.SM,"Mean age of public paid employees, by industry: Education"
BI.PWK.AGES.PB.HE.MD,"Median age of public paid employees, by industry: Health"
BI.PWK.AGES.PB.HE.SM,"Mean age of public paid employees, by industry: Health"
BI.PWK.AGES.PB.MD,Median age of public paid employees
BI.PWK.AGES.PB.MW.MD,"Median age of public paid employees, by occupation: Medical workers"
BI.PWK.AGES.PB.MW.SM,"Mean age of public paid employees, by occupation: Medical workers"
BI.PWK.AGES.PB.PA.MD,"Median age of public paid employees, by industry: Public Administration"
BI.PWK.AGES.PB.PA.SM,"Mean age of public paid employees, by industry: Public Administration"
BI.PWK.AGES.PB.PS.MD,"Median age of public paid employees, by industry: Public Safety"
BI.PWK.AGES.PB.PS.SM,"Mean age of public paid employees, by industry: Public Safety"
BI.PWK.AGES.PB.SM,Mean age of public paid employees
BI.PWK.AGES.PB.SS.MD,"Median age of public paid employees, by industry: Social Security"
BI.PWK.AGES.PB.SS.SM,"Mean age of public paid employees, by industry: Social Security"
BI.PWK.AGES.PB.TS.MD,"Median age of public paid employees, by occupation: Teachers"
BI.PWK.AGES.PB.TS.SM,"Mean age of public paid employees, by occupation: Teachers"
BI.PWK.AGES.PV.ED.MD,"Median age of private paid employees, by industry: Education"
BI.PWK.AGES.PV.ED.SM,"Mean age of private paid employees, by industry: Education"
BI.PWK.AGES.PV.HE.MD,"Median age of private paid employees, by industry: Health"
BI.PWK.AGES.PV.HE.SM,"Mean age of private paid employees, by industry: Health"
BI.PWK.AGES.PV.MD,Median age of private paid employees
BI.PWK.AGES.PV.MW.MD,"Median age of private paid employees, by occupation: Medical workers"
BI.PWK.AGES.PV.MW.SM,"Mean age of private paid employees, by occupation: Medical workers"
BI.PWK.AGES.PV.SM,Mean age of private paid employees
BI.PWK.AGES.PV.TS.MD,"Median age of private paid employees, by occupation: Teachers"
BI.PWK.AGES.PV.TS.SM,"Mean age of private paid employees, by occupation: Teachers"
BI.PWK.CMPA.GE.MD,"Cross-country public sector pay comparison ratio, by occupation: Government economist (using median)"
BI.PWK.CMPA.GE.SM,"Cross-country public sector pay comparison ratio, by occupation: Government economist (using mean)"
BI.PWK.CMPA.HD.MD,"Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using median)"
BI.PWK.CMPA.HD.SM,"Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using mean)"
BI.PWK.CMPA.HN.MD,"Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using median)"
BI.PWK.CMPA.HN.SM,"Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using mean)"
BI.PWK.CMPA.JU.MD,"Cross-country public sector pay comparison ratio, by occupation: Judge (using median)"
BI.PWK.CMPA.JU.SM,"Cross-country public sector pay comparison ratio, by occupation: Judge (using mean)"
BI.PWK.CMPA.PO.MD,"Cross-country public sector pay comparison ratio, by occupation: Police officer (using median)"
BI.PWK.CMPA.PO.SM,"Cross-country public sector pay comparison ratio, by occupation: Police officer (using mean)"
BI.PWK.CMPA.PT.MD,"Cross-country public sector pay comparison ratio, by occupation: Primary school teacher (using median)"
BI.PWK.CMPA.PT.SM,"Cross-country public sector pay comparison ratio, by occupation: Primary school teacher (using mean)"
BI.PWK.CMPA.SN.MD,"Cross-country public sector pay comparison ratio, by occupation: Senior official (using median)"
BI.PWK.CMPA.SN.SM,"Cross-country public sector pay comparison ratio, by occupation: Senior official (using mean)"
BI.PWK.CMPA.ST.MD,"Cross-country public sector pay comparison ratio, by occupation: Secondary school teacher (using median)"
BI.PWK.CMPA.ST.SM,"Cross-country public sector pay comparison ratio, by occupation: Secondary school teacher (using mean)"
BI.PWK.CMPA.UT.MD,"Cross-country public sector pay comparison ratio, by occupation: University teacher (using median)"
BI.PWK.CMPA.UT.SM,"Cross-country public sector pay comparison ratio, by occupation: University teacher (using mean)"
BI.PWK.PRVS.CK.FE.ZS,"Females, as a share of private paid employees by occupational group: Clerks"
BI.PWK.PRVS.CT.ZS,Share of private paid employees with a contract
BI.PWK.PRVS.EO.FE.ZS,"Females, as a share of private paid employees by occupational group: Elementary occupation"
BI.PWK.PRVS.FE.Q1.ZS,"Females, as a share of private paid employees by wage quintile: Quintile 1"
BI.PWK.PRVS.FE.Q2.ZS,"Females, as a share of private paid employees by wage quintile: Quintile 2"
BI.PWK.PRVS.FE.Q3.ZS,"Females, as a share of private paid employees by wage quintile: Quintile 3"
BI.PWK.PRVS.FE.Q4.ZS,"Females, as a share of private paid employees by wage quintile: Quintile 4"
BI.PWK.PRVS.FE.Q5.ZS,"Females, as a share of private paid employees by wage quintile: Quintile 5"
BI.PWK.PRVS.FE.ZS,"Females, as a share of private paid employees"
BI.PWK.PRVS.HS.ZS,Share of private paid employees with health insurance
BI.PWK.PRVS.NN.ZS,Individuals with no education as a share of private paid employees
BI.PWK.PRVS.PN.FE.ZS,"Females, as a share of private paid employees by occupational group: Professionals"
BI.PWK.PRVS.PR.ZS,Individuals with primary education as a share of private paid employees
BI.PWK.PRVS.RU.ZS,"Rural residents, as a share of private paid employees"
BI.PWK.PRVS.SG.ZS,Individuals with secondary education as a share of private paid employees
BI.PWK.PRVS.SN.FE.ZS,"Females, as a share of private paid employees by occupational group: Managers"
BI.PWK.PRVS.SY.ZS,Share of private paid employees with social security
BI.PWK.PRVS.TN.FE.ZS,"Females, as a share of private paid employees by occupational group: Technicians"
BI.PWK.PRVS.TT.ED.ZS,"Individuals with tertiary education as a share of private paid employees, by industry: Education"
BI.PWK.PRVS.TT.HE.ZS,"Individuals with tertiary education as a share of private paid employees, by industry: Health"
BI.PWK.PRVS.TT.MW.ZS,"Individuals with tertiary Education as a share of private paid employees, by occupation: Medical workers"
BI.PWK.PRVS.TT.TS.ZS,"Individuals with tertiary Education as a share of private paid employees, by occupation: Teachers"
BI.PWK.PRVS.TT.ZS,Individuals with tertiary education as a share of private paid employees
BI.PWK.PRVS.UM.ZS,Share of private paid employees with union membership
BI.PWK.PUBS.CA.FE.ZS,"Females, as a share of public paid employees by industry: Core Public Administration"
BI.PWK.PUBS.CK.FE.ZS,"Females, as a share of public paid employees by occupational group: Clerks"
BI.PWK.PUBS.CT.ZS,Share of public paid employees with a contract
BI.PWK.PUBS.ED.FE.ZS,"Females, as a share of public paid employees by industry: Education"
BI.PWK.PUBS.EO.FE.ZS,"Females, as a share of public paid employees by occupational group: Elementary occupation"
BI.PWK.PUBS.FE.Q1.ZS,"Females, as a share of public paid employees by wage quintile: Quintile 1"
BI.PWK.PUBS.FE.Q2.ZS,"Females, as a share of public paid employees by wage quintile: Quintile 2"
BI.PWK.PUBS.FE.Q3.ZS,"Females, as a share of public paid employees by wage quintile: Quintile 3"
BI.PWK.PUBS.FE.Q4.ZS,"Females, as a share of public paid employees by wage quintile: Quintile 4"
BI.PWK.PUBS.FE.Q5.ZS,"Females, as a share of public paid employees by wage quintile: Quintile 5"
BI.PWK.PUBS.FE.ZS,"Females, as a share of public paid employees"
BI.PWK.PUBS.HE.FE.ZS,"Females, as a share of public paid employees by industry: Health"
BI.PWK.PUBS.HS.ZS,Share of public paid employees with health insurance
BI.PWK.PUBS.MW.FE.ZS,"Females, as a share of public paid employees by occupation: Medical workers"
BI.PWK.PUBS.NN.ZS,Individuals with no education as a share of public paid employees
BI.PWK.PUBS.NO,Number of public paid employees
BI.PWK.PUBS.NO.CA,"Number of public paid employees, by industry: Core Public Administration"
BI.PWK.PUBS.NO.ED,"Number of public paid employees, by industry: Education"
BI.PWK.PUBS.NO.HE,"Number of public paid employees, by industry: Health"
BI.PWK.PUBS.NO.MW,"Number of public paid employees, by occupation: Medical workers"
BI.PWK.PUBS.NO.PA,"Number of public paid employees, by industry: Public Administration"
BI.PWK.PUBS.NO.PS,"Number of public paid employees, by industry: Public Safety"
BI.PWK.PUBS.NO.SS,"Number of public paid employees, by industry: Social Security"
BI.PWK.PUBS.NO.TS,"Number of public paid employees, by occupation: Teachers"
BI.PWK.PUBS.PA.FE.ZS,"Females, as a share of public paid employees by industry: Public Administration"
BI.PWK.PUBS.PN.FE.ZS,"Females, as a share of public paid employees by occupational group: Professionals"
BI.PWK.PUBS.PR.ZS,Individuals with primary education as a share of public paid employees
BI.PWK.PUBS.PS.FE.ZS,"Females, as a share of public paid employees by industry: Public Safety"
BI.PWK.PUBS.RU.CA.ZS,"Rural residents, as a share of public paid employees, by industry: Core Public Administration"
BI.PWK.PUBS.RU.ED.ZS,"Rural residents, as a share of public paid employees, by industry: Education"
BI.PWK.PUBS.RU.HE.ZS,"Rural residents, as a share of public paid employees, by industry: Health"
BI.PWK.PUBS.RU.MW.ZS,"Rural residents, as a share of public paid employees, by occupation: Medical workers"
BI.PWK.PUBS.RU.PA.ZS,"Rural residents, as a share of public paid employees, by industry: Public Administration"
BI.PWK.PUBS.RU.PS.ZS,"Rural residents, as a share of public paid employees, by industry: Public Safety"
BI.PWK.PUBS.RU.SS.ZS,"Rural residents, as a share of public paid employees, by industry: Social Security"
BI.PWK.PUBS.RU.TS.ZS,"Rural residents, as a share of public paid employees, by industry: Teachers"
BI.PWK.PUBS.RU.ZS,"Rural residents, as a share of public paid employees"
BI.PWK.PUBS.SG.ZS,Individuals with secondary education as a share of public paid employees
BI.PWK.PUBS.SN.FE.ZS,"Females, as a share of public paid employees by occupational group: Managers"
BI.PWK.PUBS.SS.FE.ZS,"Females, as a share of public paid employees by industry: Social Security"
BI.PWK.PUBS.SY.ZS,Share of public paid employees with social security
BI.PWK.PUBS.TN.FE.ZS,"Females, as a share of public paid employees by occupational group: Technicians"
BI.PWK.PUBS.TS.FE.ZS,"Females, as a share of public paid employees by industry: Teachers"
BI.PWK.PUBS.TT.CA.ZS,"Individuals with tertiary Education as a share of public paid employees, by industry: Core Public Administration"
BI.PWK.PUBS.TT.ED.ZS,"Individuals with tertiary education as a share of public paid employees, by industry: Education"
BI.PWK.PUBS.TT.HE.ZS,"Individuals with tertiary education as a share of public paid employees, by industry: Health"
BI.PWK.PUBS.TT.MW.ZS,"Individuals with tertiary Education as a share of public paid employees, by occupation: Medical workers"
BI.PWK.PUBS.TT.PA.ZS,"Individuals with tertiary education as a share of public paid employees, by industry: Public Administration"
BI.PWK.PUBS.TT.PS.ZS,"Individuals with tertiary Education as a share of public paid employees, by industry: Public Safety"
BI.PWK.PUBS.TT.SS.ZS,"Individuals with tertiary Education as a share of public paid employees, by industry: Social Security"
BI.PWK.PUBS.TT.TS.ZS,"Individuals with tertiary Education as a share of public paid employees, by occupation: Teachers"
BI.PWK.PUBS.TT.ZS,Individuals with tertiary education as a share of public paid employees
BI.PWK.PUBS.UM.ZS,Share of public paid employees with union membership
BI.PWK.TOTL.NO,Number of paid employees
BI.PWK.TOTL.NO.CA,"Number of paid employees, by industry: Core Public Administration"
BI.PWK.TOTL.NO.ED,"Number of paid employees, by industry: Education"
BI.PWK.TOTL.NO.HE,"Number of paid employees, by industry: Health"
BI.PWK.TOTL.NO.MW,"Number of paid employees, by occupation: Medical workers"
BI.PWK.TOTL.NO.PA,"Number of paid employees, by industry: Public Administration"
BI.PWK.TOTL.NO.PS,"Number of paid employees, by industry: Public Safety"
BI.PWK.TOTL.NO.SS,"Number of paid employees, by industry: Social Security"
BI.PWK.TOTL.NO.TS,"Number of paid employees, by occupation: Teachers"
BI.WAG.CPRS.PB.GE.ZS,"Pay compression ratio in public sector, by occupation: Government economist (clerk as reference)"
BI.WAG.CPRS.PB.HD.ZS,"Pay compression ratio in public sector, by occupation: Hospital doctor (clerk as reference)"
BI.WAG.CPRS.PB.HN.ZS,"Pay compression ratio in public sector, by occupation: Hospital nurse (clerk as reference)"
BI.WAG.CPRS.PB.JU.ZS,"Pay compression ratio in public sector, by occupation: Judge (clerk as reference)"
BI.WAG.CPRS.PB.PO.ZS,"Pay compression ratio in public sector, by occupation: Police officer (clerk as reference)"
BI.WAG.CPRS.PB.PT.ZS,"Pay compression ratio in public sector, by occupation: Primary school teacher (clerk as reference)"
BI.WAG.CPRS.PB.SN.ZS,"Pay compression ratio in public sector, by occupation: Senior officials (clerk as reference)"
BI.WAG.CPRS.PB.ST.ZS,"Pay compression ratio in public sector, by occupation: Secondary school teacher (clerk as reference)"
BI.WAG.CPRS.PB.UT.ZS,"Pay compression ratio in public sector, by occupation: University teacher (clerk as reference)"
BI.WAG.CPRS.PB.ZS,Pay compression ratio in public sector (ratio of 90th/10th percentile earners)
BI.WAG.CPRS.PV.ZS,Pay compression ratio in private sector (ratio of 90th/10th percentile earners)
BI.WAG.PREM.ED,"Public sector wage premium, by industry: Education (compared to formal wage employees)"
BI.WAG.PREM.ED.GP,"Public sector wage premium, by industry: Education (compared to all private employees)"
BI.WAG.PREM.FE.ED,"Public sector wage premium for females, by industry: Education (compared to paid wage employees)"
BI.WAG.PREM.FE.HE,"Public sector wage premium for females, by industry: Health (compared to paid wage employees)"
BI.WAG.PREM.FE.MW,"Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)"
BI.WAG.PREM.FE.TS,"Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)"
BI.WAG.PREM.HE,"Public sector wage premium, by industry: Health (compared to formal wage employees)"
BI.WAG.PREM.HE.GP,"Public sector wage premium, by industry: Health (compared to all private employees)"
BI.WAG.PREM.MA.ED,"Public sector wage premium for males, by industry: Education (compared to paid wage employees)"
BI.WAG.PREM.MA.HE,"Public sector wage premium for males, by industry: Health (compared to paid wage employees)"
BI.WAG.PREM.MA.MW,"Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)"
BI.WAG.PREM.MA.TS,"Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)"
BI.WAG.PREM.MW.PE,"Public sector wage premium, by occupation: Medical workers (compared to all private employees)"
BI.WAG.PREM.MW.WE,"Public sector wage premium, by occupation: Medical workers (compared to formal wage employees)"
BI.WAG.PREM.PB,Public sector wage premium (compared to formal wage employees)
BI.WAG.PREM.PB.CK,"Public sector wage premium, by occupational group: Clerks (compared to formal wage employees)"
BI.WAG.PREM.PB.ED,"P-Value: Public sector wage premium, by education level (compared to formal wage employees)"
BI.WAG.PREM.PB.ED.PE,"P-Value: Public sector wage premium, by industry: Education (compared to all private employees)"
BI.WAG.PREM.PB.ED.WE,"P-Value: Public sector wage premium, by industry: Education (compared to formal wage employees)"
BI.WAG.PREM.PB.EO,"Public sector wage premium, by occupational group: Elementary occupation (compared to formal wage employees)"
BI.WAG.PREM.PB.FE,"Public sector wage premium, by gender: Female (compared to all private employees)"
BI.WAG.PREM.PB.FE.ED,"P-Value: Public sector wage premium for females, by industry: Education (compared to paid wage employees)"
BI.WAG.PREM.PB.FE.HE,"P-Value: Public sector wage premium for females, by industry: Health (compared to paid wage employees)"
BI.WAG.PREM.PB.FE.MW,"P-Value: Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)"
BI.WAG.PREM.PB.FE.TS,"P-Value: Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)"
BI.WAG.PREM.PB.FL,P-Value: Public sector wage premium (compared to formal wage employees)
BI.WAG.PREM.PB.FM,"P-Value: Public sector wage premium, by gender (compared to all private employees)"
BI.WAG.PREM.PB.FM.CA,"P-Value: Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)"
BI.WAG.PREM.PB.FM.ED,"P-Value: Gender wage premium in the public sector, by industry: Education (compared to male paid employees)"
BI.WAG.PREM.PB.FM.HE,"P-Value: Gender wage premium in the public sector, by industry: Health (compared to male paid employees)"
BI.WAG.PREM.PB.FM.PA,"P-Value: Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)"
BI.WAG.PREM.PB.FM.PS,"P-Value: Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)"
BI.WAG.PREM.PB.FM.SS,"P-Value: Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)"
BI.WAG.PREM.PB.GP,Public sector wage premium (compared to all private employees)
BI.WAG.PREM.PB.HE.PE,"P-Value: Public sector wage premium, by industry: Health (compared to all private employees)"
BI.WAG.PREM.PB.HE.WE,"P-Value: Public sector wage premium, by industry: Health (compared to formal wage employees)"
BI.WAG.PREM.PB.MA,"Public sector wage premium, by gender: Male (compared to all private employees)"
BI.WAG.PREM.PB.MA.ED,"P-Value: Public sector wage premium for males, by industry: Education (compared to paid wage employees)"
BI.WAG.PREM.PB.MA.HE,"P-Value: Public sector wage premium for males, by industry: Health (compared to paid wage employees)"
BI.WAG.PREM.PB.MA.MW,"P-Value: Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)"
BI.WAG.PREM.PB.MA.TS,"P-Value: Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)"
BI.WAG.PREM.PB.MW.PE,"P-Value: Public sector wage premium, by occupation: Medical workers (compared to all private employees)"
BI.WAG.PREM.PB.MW.WE,"P-Value: Public sector wage premium, by occupation: Medical workers (compared to formal wage employees)"
BI.WAG.PREM.PB.NN,"Public sector wage premium, by education level: No Education (compared to formal wage employees)"
BI.WAG.PREM.PB.OC,"P-Value: Public sector wage premium, by occupation (compared to formal wage employees)"
BI.WAG.PREM.PB.PN,"Public sector wage premium, by occupational group: Professionals (compared to formal wage employees)"
BI.WAG.PREM.PB.PR,"Public sector wage premium, by education level: Primary Education (compared to formal wage employees)"
BI.WAG.PREM.PB.PV,P-Value: Public sector wage premium (compared to all private employees)
BI.WAG.PREM.PB.SG,"Public sector wage premium, by education level: Secondary Education (compared to formal wage employees)"
BI.WAG.PREM.PB.SN,"Public sector wage premium, by occupational group: Managers (compared to formal wage employees)"
BI.WAG.PREM.PB.TN,"Public sector wage premium, by occupational group: Technicians (compared to formal wage employees)"
BI.WAG.PREM.PB.TS.PE,"P-Value: Public sector wage premium, by occupation: Teacher (compared to all private employees)"
BI.WAG.PREM.PB.TS.WE,"P-Value: Public sector wage premium, by occupation: Teacher (compared to formal wage employees)"
BI.WAG.PREM.PB.TT,"Public sector wage premium, by education level: Tertiary Education (compared to formal wage employees)"
BI.WAG.PREM.PV.FM.ED,"P-Value: Gender wage premium in the private sector, by industry: Education (compared to male paid employees)"
BI.WAG.PREM.PV.FM.HE,"P-Value: Gender wage premium in the private sector, by industry: Health (compared to male paid employees)"
BI.WAG.PREM.PV.FM.MW,"P-Value: Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)"
BI.WAG.PREM.PV.FM.TS,"P-Value: Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)"
BI.WAG.PREM.TS.PE,"Public sector wage premium, by occupation: Teacher (compared to all private employees)"
BI.WAG.PREM.TS.WE,"Public sector wage premium, by occupation: Teacher (compared to formal wage employees)"
BI.WAG.PRVS.ED.FM,"Gender wage premium in the private sector, by industry: Education (compared to male paid employees)"
BI.WAG.PRVS.FM.MD,Female to male wage ratio in the private sector (using median)
BI.WAG.PRVS.FM.SM,Female to male wage ratio in the private sector (using mean)
BI.WAG.PRVS.HE.FM,"Gender wage premium in the private sector, by industry: Health (compared to male paid employees)"
BI.WAG.PRVS.MW.FM,"Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)"
BI.WAG.PRVS.PN,Relative wage of Professionals (using clerk as reference) in private sector
BI.WAG.PRVS.SN,Relative wage of Managers (using clerk as reference) in private sector
BI.WAG.PRVS.TN,Relative wage of Technicians (using clerk as reference) in private sector
BI.WAG.PRVS.TS.FM,"Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)"
BI.WAG.PUBS.CA.FM,"Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)"
BI.WAG.PUBS.ED.FM,"Gender wage premium in the public sector, by industry: Education (compared to male paid employees)"
BI.WAG.PUBS.FM.MD,Female to male wage ratio in the public sector (using median)
BI.WAG.PUBS.FM.SM,Female to male wage ratio in the public sector (using mean)
BI.WAG.PUBS.HE.FM,"Gender wage premium in the public sector, by industry: Health (compared to male paid employees)"
BI.WAG.PUBS.PA.FM,"Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)"
BI.WAG.PUBS.PN,Relative wage of Professionals (using clerk as reference) in public sector
BI.WAG.PUBS.PS.FM,"Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)"
BI.WAG.PUBS.SN,Relative wage of Managers (using clerk as reference) in public sector
BI.WAG.PUBS.SS.FM,"Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)"
BI.WAG.PUBS.TN,Relative wage of Technicians (using clerk as reference) in public sector
BI.WAG.TOTL.GD.ZS,Wage bill as a percentage of GDP
BI.WAG.TOTL.PB.ZS,Wage bill as a percentage of Public Expenditure
