processor,transistor_count,date_of_introduction,designer,process,area
Core 2 Duo Wolfdale 3M,230000000,2008,Intel,45,83
Itanium 2 with 9 MB cache,592000000,2004,Intel,130,432
Core 2 Duo Wolfdale,411000000,2007,Intel,45,107
Core i7 (Quad),731000000,2008,Intel,45,263
AMD K10 quad-core 6M L3,758000000,2008,AMD,45,258
POWER6,789000000,2007,IBM,65,341
Six-core Opteron 2400,904000000,2009,AMD,45,346
16-core SPARC T3,1000000000,2010,Sun/Oracle,40,377
SPARC64 X,2990000000,2012,Fujitsu,28,600
"Apple A7 (dual-core ARM64 ""mobile SoC"")",1000000000,2013,Apple,28,102
Quad-core + GPU Core i7,1160000000,2011,Intel,32,216
Six-core Core i7 (Gulftown),1170000000,2010,Intel,32,240
8-core POWER7 32M L3,1200000000,2010,IBM,45,567
8-core AMD Bulldozer,1200000000,2012,AMD,32,315
Quad-core + GPU AMD Trinity,1303000000,2012,AMD,32,246
Quad-core z196[66],1400000000,2010,IBM,45,512
Quad-core + GPU Core i7 Ivy Bridge,1400000000,2012,Intel,22,160
Quad-core + GPU Core i7 Haswell,1400000000,2014,Intel,22,177
Dual-core Itanium 2,1700000000,2006,Intel,90,596
Quad-core + GPU GT2 Core i7 Skylake K,1750000000,2015,Intel,14,122
Six-core Core i7 Ivy Bridge E,1860000000,2013,Intel,22,256
Dual-core + GPU Iris Core i7 Broadwell-U,1900000000,2015,Intel,14,133
Six-core Xeon 7400,1900000000,2008,Intel,45,503
Quad-core Itanium Tukwila,2000000000,2010,Intel,65,699
"Apple A8 (dual-core ARM64 ""mobile SoC"")",2000000000,2014,Apple,20,89
"Apple A9 (dual-core ARM64 ""mobile SoC"")",2000000000,2015,Apple,14,96
"Apple A9 (dual-core ARM64 ""mobile SoC"")",2000000000,2015,Apple,16,104
"Apple A9X (dual-core ARM64 ""mobile SoC"")",3000000000,2015,Apple,16,143
8-core POWER7+ 80 MB L3 cache,2100000000,2012,IBM,32,567
Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP),2270000000,2011,Intel,32,434
8-core Xeon Nehalem-EX,2300000000,2010,Intel,45,684
8-core Core i7 Haswell-E,2600000000,2014,Intel,22,355
10-core Xeon Westmere-EX,2600000000,2011,Intel,32,512
Six-core zEC12,2750000000,2012,IBM,32,597
"Apple A8X (tri-core ARM64 ""mobile SoC"")",3000000000,2014,Apple,20,128
"Qualcomm Snapdragon 835 (octa-core ARM64 ""mobile SoC"")",3000000000,2016,Qualcomm,10,72
"Qualcomm Snapdragon 845 (octa-core ARM64 ""mobile SoC"")",5300000000,2017,Qualcomm,10,94
"Qualcomm Snapdragon 710 (octa-core ARM64 ""mobile SoC"")",NA,2018,Qualcomm,10,NA
"Qualcomm Snapdragon 675 (octa-core ARM64 ""mobile SoC"")",NA,2018,Qualcomm,11,NA
"Qualcomm Snapdragon 850  (octa-core ARM64 ""mobile SoC"")",5300000000,2017,Qualcomm,10,94
"Qualcomm Snapdragon 855  (octa-core ARM64 ""mobile SoC"")",NA,2018,Qualcomm,7,73
"Samsung Exynos 9820 (octa-core ARM64 ""mobile SoC"")",NA,2019,Samsung,8,127
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"")",8500000000,2018,Qualcomm,7,112
8-core Itanium Poulson,3100000000,2012,Intel,32,544
10-core Core i7 Broadwell-E,3200000000,2016,Intel,14,246
"Apple A10 Fusion (quad-core ARM64 ""mobile SoC"")",3300000000,2016,Apple,16,125
IBM z13,3990000000,2015,IBM,22,678
12-core POWER8,4200000000,2013,IBM,22,650
"Apple A11 Bionic (hexa-core ARM64 ""mobile SoC"")",4300000000,2017,Apple,10,89
15-core Xeon Ivy Bridge-EX,4310000000,2014,Intel,22,541
Zeppelin SoC Ryzen,4800000000,2017,AMD,14,192
Ryzen 5 1600 Ryzen,4800000000,2017,AMD,14,213
Ryzen 5 1600 X Ryzen,4800000000,2017,AMD,14,213
61-core Xeon Phi,5000000000,2012,Intel,22,720
Xbox One main SoC,5000000000,2013,Microsoft/AMD,28,363
18-core Xeon Haswell-E5,5560000000,2014,Intel,22,661
IBM z14,6100000000,2017,IBM,14,696
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"")",6900000000,2018,Apple,7,83
"HiSilicon Kirin 960 (octa-core ARM64 ""mobile SoC"")",4000000000,2016,Huawei,16,110
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"")",6900000000,2018,Huawei,7,74
"HiSilicon Kirin 970 (octa-core ARM64 ""mobile SoC"")",5500000000,2017,Huawei,10,96
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"")",5500000000,2018,Huawei,12,NA
Xbox One X (Project Scorpio) main SoC,7000000000,2017,Microsoft/AMD,16,360
IBM z13 Storage Controller,7100000000,2015,IBM,22,678
28-core Xeon Platinum 8180,8000000000,2017,Intel,14,NA
22-core Xeon Broadwell-E5,7200000000,2016,Intel,14,456
POWER9,8000000000,2017,IBM,14,695
72-core Xeon Phi,8000000000,2016,Intel,14,683
IBM z14 Storage Controller,9700000000,2017,IBM,14,696
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V",250000000,2017,SiFive,28,30
32-core SPARC M7,10000000000,2015,Oracle,20,NA
SPARC64 XII (12-core),5450000000,2017,Fujitsu,20,795
"Apple A12X Bionic (octa-core ARM64 ""mobile SoC"")",10000000000,2018,Apple,7,122
"Apple A10X Fusion (hexa-core ARM64 ""mobile SoC"")",4300000000,2017,Apple,10,96
Centriq 2400,18000000000,2017,Qualcomm,10,398
32-core AMD Epyc,19200000000,2017,AMD,14,768
Fujitsu A64FX,8786000000,2018,Fujitsu,7,NA
GC2 IPU,23600000000,2018,Graphcore,16,825
Tegra Xavier SoC,9000000000,2018,Nvidia,12,350
AMD EPYC Rome,32000000000,2019,AMD,7,NA
