processor,transistor_count,date_of_introduction,designer_s,manufacturer_s,process,area,ref
GT215 Tesla,727000000,2009,Nvidia,TSMC,40,144,[118]
RV740,826000000,2009,ATI,TSMC,40,137,[118]
Juniper RV840,1040000000,2009,ATI,TSMC,40,166,[118]
Cypress RV870,2154000000,2009,ATI,TSMC,40,334,[134]
Cedar RV810,292000000,2010,AMD (formerly ATI),TSMC,40,59,[118]
Redwood RV830,627000000,2010,AMD,TSMC,40,104,[118]
GF106 Fermi,1170000000,2010,Nvidia,TSMC,40,238,[118]
Barts RV940,1700000000,2010,AMD,TSMC,40,255,[118]
Cayman RV970,2640000000,2010,AMD,TSMC,40,389,[118]
GF100 Fermi,3200000000,NA,Nvidia,TSMC,40,526,[135]
GF110 Fermi,3000000000,NA,Nvidia,TSMC,40,520,[135]
GF119 Fermi,292000000,2011,Nvidia,TSMC,40,79,[118]
Caicos RV910,370000000,2011,AMD,TSMC,40,67,[118]
GF108 Fermi,585000000,2011,Nvidia,TSMC,40,116,[118]
Turks RV930,716000000,2011,AMD,TSMC,40,118,[118]
GF104 Fermi,1950000000,2011,Nvidia,TSMC,40,332,[118]
Tahiti,4312711873,2011,AMD,TSMC,28,365,[136]
GK107 Kepler,1270000000,2012,Nvidia,TSMC,28,118,[118]
Cape Verde,1500000000,2012,AMD,TSMC,28,123,[118]
GK106 Kepler,2540000000,2012,Nvidia,TSMC,28,221,[118]
Pitcairn,2800000000,2012,AMD,TSMC,28,212,[118]
GK104 Kepler,3540000000,2012,Nvidia,TSMC,28,294,[137]
GK110 Kepler,7080000000,2012,Nvidia,TSMC,28,561,[138][139]
Oland,1040000000,2013,AMD,TSMC,28,90,[118]
Bonaire,2080000000,2013,AMD,TSMC,28,160,[118]
Hawaii,6300000000,2013,AMD,TSMC,28,438,[118]
GM107 Maxwell,1870000000,2014,Nvidia,TSMC,28,148,[118]
GM206 Maxwell,2940000000,2014,Nvidia,TSMC,28,228,[118]
Tonga,5000000000,2014,AMD,"TSMC, GlobalFoundries",28,366,[118]
GM204 Maxwell,5200000000,2014,Nvidia,TSMC,28,398,[118]
GM200 Maxwell,8000000000,2015,Nvidia,TSMC,28,601,[118]
Fiji,8900000000,2015,AMD,TSMC,28,596,[118]
"Polaris 11 ""Baffin""",3000000000,2016,AMD,"Samsung, GlobalFoundries",14,123,[118][140]
GP106 Pascal,4400000000,2016,Nvidia,TSMC,16,200,[118]
"Polaris 10 ""Ellesmere""",5700000000,2016,AMD,"Samsung, GlobalFoundries",14,232,[141]
GP104 Pascal,7200000000,2016,Nvidia,TSMC,16,314,[118]
GP100 Pascal,15300000000,2016,Nvidia,"TSMC, Samsung",16,610,[142]
GP108 Pascal,1850000000,2017,Nvidia,Samsung,14,74,[118]
"Polaris 12 ""Lexa""",2200000000,2017,AMD,"Samsung, GlobalFoundries",14,101,[118][140]
GP107 Pascal,3300000000,2017,Nvidia,Samsung,14,132,[118]
GP102 Pascal,11800000000,2017,Nvidia,"TSMC, Samsung",16,471,
Vega 10,12500000000,2017,AMD,"Samsung, GlobalFoundries",14,484,[143]
GV100 Volta,21100000000,2017,Nvidia,TSMC,12,815,[1]
TU106 Turing,10800000000,2018,Nvidia,TSMC,12,445,
Vega 20,13230000000,2018,AMD,TSMC,7,331,[118]
TU104 Turing,13600000000,2018,Nvidia,TSMC,12,545,
TU102 Turing,18600000000,2018,Nvidia,TSMC,12,754,[144]
TU117 Turing,4700000000,2019,Nvidia,TSMC,12,200,
TU116 Turing,6600000000,2019,Nvidia,TSMC,12,284,
Navi 10,10300000000,2019,AMD,TSMC,7,251,
