loc_id,latitude,longitude,subnational1_code,entry_technique,sub_id,obs_id,Month,Day,Year,PROJ_PERIOD_ID,species_code,how_many,valid,reviewed,day1_am,day1_pm,day2_am,day2_pm,effort_hrs_atleast,snow_dep_atleast,Data_Entry_Method
L5147006,35.127076,-101.906694,US-TX,/GOOGLE_MAP/ZOOM:15,S80045604,OBS1061349593,1,27,2021,PFW_2021,whcspa,2,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L12740683,39.221398,-77.0865117,US-MD,/GOOGLE_MAP/ZOOM:15,S76899418,OBS1020664330,11,28,2020,PFW_2021,whbnut,2,1,0,0,1,0,1,0.001,0,PFW Mobile App v1.1.17
L10768239,32.2560264,-111.0746205,US-AZ,/GOOGLE_MAP/ZOOM:17,S77087513,OBS1023317980,12,5,2020,PFW_2021,coshum,4,1,0,0,0,1,0,1.001,0,PFW Mobile App v1.1.17
L8193205,41.7418322,-71.3369967,US-RI,/GOOGLE_MAP/ZOOM:15,S76569873,OBS1016081655,11,21,2020,PFW_2021,reshaw,1,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L78156,40.3866316,-80.6465355,US-OH,postal_code,S80229447,OBS1063534425,1,30,2021,PFW_2021,haiwoo,1,1,0,1,1,1,1,1.001,5,PFW Web 4.1.4
L8927802,29.5658676,-95.0343793,US-TX,/GOOGLE_MAP/ZOOM:15,S78081201,OBS1037198750,12,21,2020,PFW_2021,orcwar,2,1,0,0,1,1,1,1.001,0,PFW Web 4.1.4
L13831719,40.8329482,-72.924225,US-NY,/GOOGLE_MAP/ZOOM:15,S84175077,OBS1105570766,3,27,2021,PFW_2021,norcar,7,1,0,0,1,0,1,1.001,0,PFW Mobile App v1.1.17
L12815327,43.5729241,-83.9358656,US-MI,/GOOGLE_MAP/ZOOM:15,S76751518,OBS1018642710,11,23,2020,PFW_2021,bkcchi,1,1,0,1,0,1,0,1.001,0,PFW Web 4.1.4
L77181,43.40873,-88.18539,US-WI,postal_code,S88880921,OBS1165885734,4,17,2021,PFW_2021,rewbla,4,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L281817,40.654887,-75.387363,US-PA,ESRI_WEBSERVICE_STREET,S82622514,OBS1085894084,2,28,2021,PFW_2021,norcar,1,1,0,1,0,0,0,0.001,5,PFW Web 4.1.4
L12629725,38.8941058,-92.3450339,US-MO,/GOOGLE_MAP/ZOOM:12,S79269583,OBS1051977258,1,14,2021,PFW_2021,easblu,2,1,0,1,0,1,0,1.001,0.001,PFW Web 4.1.4
L664025,38.6589495,-121.1582793,US-CA,ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:-1,S79994171,OBS1060725628,1,11,2021,PFW_2021,whbnut,2,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L2409840,35.999726,-79.942212,US-NC,/GOOGLE_MAP/ZOOM:15,S82225190,OBS1081241642,2,20,2021,PFW_2021,amerob,1,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L13477384,41.6107089,-74.1860101,US-NY,/GOOGLE_MAP/ZOOM:15,S84321198,OBS1107000914,3,29,2021,PFW_2021,dowwoo,1,1,0,1,1,1,1,8.001,0,PFW Mobile App v1.1.17
L12649766,40.3918862,-82.7911448,US-OH,/GOOGLE_MAP/ZOOM:15,S76821756,OBS1019567745,11,27,2020,PFW_2021,y00033,1,1,0,1,1,0,1,1.001,0,PFW Web 4.1.4
L6466857,35.6706024,-105.9448648,US-NM,/GOOGLE_MAP/ZOOM:15,S76284321,OBS1012332036,11,14,2020,PFW_2021,houspa,6,1,0,1,0,1,0,1.001,0,PFW Web 4.0.4
L2042109,40.8075981,-77.9111633,US-PA,NA,S77165548,OBS1024359873,12,5,2020,PFW_2021,tuftit,2,1,0,0,1,1,1,1.001,0,PFW Web 4.1.4
L1796568,34.2770805,-118.6762161,US-CA,NA,S85412442,OBS1119540269,2,26,2021,PFW_2021,whcspa,8,1,0,1,1,1,1,1.001,NA,PFW Web 4.1.4
L283470,39.2158963,-77.2114849,US-MD,GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:4,S86106351,OBS1128717041,2,21,2021,PFW_2021,pilwoo,1,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L4005561,49.7032079,-124.961723,CA-BC,/GOOGLE_MAP/ZOOM:15,S77797038,OBS1033290839,12,19,2020,PFW_2021,varthr,1,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L13120621,34.795099,-91.9151644,US-AR,/GOOGLE_MAP/ZOOM:18,S81124403,OBS1072235390,2,13,2021,PFW_2021,rebnut,2,1,0,1,1,1,1,1.001,0.001,PFW Mobile App v1.1.17
L4407228,30.097043,-81.738305,US-FL,/GOOGLE_MAP/ZOOM:15,S78463470,OBS1041911251,1,2,2021,PFW_2021,chispa,10,1,0,1,1,1,0,1.001,0,PFW Mobile App v1.1.17
L8910223,41.49813,-90.744146,US-IA,/GOOGLE_MAP/ZOOM:15,S79249661,OBS1051685301,1,11,2021,PFW_2021,bkcchi,3,1,0,1,1,1,1,1.001,5,PFW Web 4.1.4
L38645,42.0563031,-71.1713219,US-MA,POSTCODE LAT/LONG LOOKUP,S79189398,OBS1050879482,11,28,2020,PFW_2021,tuftit,4,1,0,1,1,1,1,8.001,0.001,PFW Web 4.1.4
L12756508,44.6560055,-86.1877266,US-MI,/GOOGLE_MAP/ZOOM:15,S85049243,OBS1114925055,3,24,2021,PFW_2021,daejun,2,1,0,0,1,0,1,1.001,0,PFW Web 4.1.4
L12816423,44.63872,-86.2298645,US-MI,/GOOGLE_MAP/ZOOM:15,S78573523,OBS1043181167,1,1,2021,PFW_2021,eursta,5,1,0,1,1,1,1,1.001,0.001,PFW Web 4.1.4
L12614949,44.622049,-79.4163137,CA-ON,/GOOGLE_MAP/ZOOM:15,S82642161,OBS1086102848,2,26,2021,PFW_2021,haiwoo,2,1,0,1,0,0,1,0.001,15.001,PFW Web 4.1.4
L12757602,41.425135,-73.434763,US-CT,/GOOGLE_MAP/ZOOM:18,S83130037,OBS1091760250,3,7,2021,PFW_2021,houspa,12,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L811202,32.8392122,-108.20014,US-NM,GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:4,S85460671,OBS1120181335,4,10,2021,PFW_2021,haiwoo,1,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L6480646,42.1369317,-71.4072758,US-MA,/GOOGLE_MAP/ZOOM:18,S78162732,OBS1038187576,12,25,2020,PFW_2021,norcar,1,1,0,0,1,1,1,0.001,0,PFW Web 4.1.4
L7024923,45.1804276,-93.2730247,US-MN,/GOOGLE_MAP/ZOOM:15,S77476493,OBS1028762885,12,12,2020,PFW_2021,rebwoo,1,1,0,1,0,1,0,1.001,0,PFW Web 4.1.4
L1313819,30.6296291,-96.3085632,US-TX,ESRI_WEBSERVICE_STREET,S80689242,OBS1068967261,1,18,2021,PFW_2021,rebwoo,2,1,0,1,1,1,1,1.001,NA,PFW Web 4.1.4
L5116619,47.200852,-122.4712944,US-WA,/GOOGLE_MAP/ZOOM:15,S79184523,OBS1050823537,1,10,2021,PFW_2021,stejay,1,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L6603269,45.7707859,-82.1051216,CA-ON,/GOOGLE_MAP/ZOOM:15,S84995046,OBS1114251047,4,4,2021,PFW_2021,haiwoo,2,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L1032535,32.7458916,-97.3723679,US-TX,ESRI_WEBSERVICE_STREET,S84436598,OBS1107824441,3,29,2021,PFW_2021,pinsis,1,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L32764,44.2205227,-69.7826135,US-ME,POSTCODE LAT/LONG LOOKUP,S88998478,OBS1167406122,12,12,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,5,PFW Web 4.1.4
L26504,44.90561,-93.33663,US-MN,POSTCODE LAT/LONG LOOKUP,S85416395,OBS1119571947,4,3,2021,PFW_2021,amerob,2,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L672842,35.9641633,-78.9434651,US-NC,ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:-2,S83420605,OBS1095083818,3,13,2021,PFW_2021,bnhcow,1,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L12707062,43.6565633,-79.476901,CA-ON,/GOOGLE_MAP/ZOOM:15,S82626713,OBS1085935011,2,28,2021,PFW_2021,dowwoo,1,1,0,1,0,1,0,1.001,0.001,PFW Web 4.1.4
L76565,37.1124423,-80.4488638,US-VA,applet_mo2applet_1.0,S85899262,OBS1125982534,4,17,2021,PFW_2021,norcar,9,1,0,1,0,1,0,1.001,0,PFW Web 4.1.4
L12872957,33.8731873,-84.2237012,US-GA,/GOOGLE_MAP/ZOOM:15,S85389650,OBS1119260181,3,13,2021,PFW_2021,carwre,2,1,0,1,1,1,1,1.001,NA,PFW Web 4.1.4
L12633704,44.5961404,-123.2707145,US-OR,/GOOGLE_MAP/ZOOM:12,S82994175,OBS1090153599,3,6,2021,PFW_2021,whbnut,3,1,0,1,1,1,0,1.001,0,PFW Web 4.1.4
L13316169,33.2229335,-83.4044131,US-GA,/GOOGLE_MAP/ZOOM:12,S79489345,OBS1054491323,1,9,2021,PFW_2021,rebwoo,2,1,0,1,0,1,0,1.001,0,PFW Web 4.1.4
L353532,49.865556,-97.297128,CA-MB,ESRI_WEBSERVICE_STREET,S84838077,OBS1112494164,4,3,2021,PFW_2021,pinsis,1,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L76375,29.68395,-82.37241,US-FL,postal_code,S83991753,OBS1102055435,3,22,2021,PFW_2021,herthr,1,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L8636781,43.0742102,-89.5017155,US-WI,/GOOGLE_MAP/ZOOM:15,S82841553,OBS1088469036,3,4,2021,PFW_2021,rethaw,1,1,0,0,1,0,1,1.001,0.001,PFW Web 4.1.4
L12735189,42.3292689,-83.8165406,US-MI,/GOOGLE_MAP/ZOOM:15,S86233611,OBS1130384474,4,10,2021,PFW_2021,amegfi,1,1,0,1,0,0,1,1.001,0,PFW Mobile App v1.1.17
L7206370,32.575251,-80.162805,US-SC,/GOOGLE_MAP/ZOOM:18,S88178080,OBS1156323050,2,13,2021,PFW_2021,easblu,5,1,0,1,1,1,1,4.001,NA,PFW Web 4.1.4
L3292788,46.0530873,-73.4232179,CA-QC,/GOOGLE_MAP/ZOOM:15,S85856394,OBS1125379111,4,10,2021,PFW_2021,moudov,2,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L276717,36.036237,-95.93775,US-OK,ESRI_WEBSERVICE_STREET,S86122619,OBS1128892350,4,21,2021,PFW_2021,norcar,3,1,0,0,1,1,1,0.001,0,PFW Web 4.1.4
L2405159,42.6003327,-76.5651637,US-NY,/GOOGLE_MAP/ZOOM:18,S77601882,OBS1030502555,12,14,2020,PFW_2021,whbnut,1,1,0,1,1,0,1,1.001,0.001,PFW Web 4.1.4
L10140871,30.4499981,-84.475936,US-FL,/GOOGLE_MAP/ZOOM:15,S77471058,OBS1028686788,11,28,2020,PFW_2021,moudov,3,1,0,0,1,1,1,1.001,0,PFW Web 4.1.4
L12503607,41.9677645,-88.755716,US-IL,/GOOGLE_MAP/ZOOM:16,S78575431,OBS1043203444,1,3,2021,PFW_2021,amegfi,4,1,0,1,1,1,1,8.001,5,PFW Mobile App v1.1.17
L190534,37.4134331,-122.1076889,US-CA,PointMaker1.0_2,S80713300,OBS1069183975,2,7,2021,PFW_2021,chbchi,3,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L6376087,42.2443585,-71.381143,US-MA,/GOOGLE_MAP/ZOOM:18,S78366071,OBS1041452499,1,1,2021,PFW_2021,houfin,2,1,0,1,1,1,1,1.001,0.001,PFW Mobile App v1.1.17
L5239515,36.786501,-119.9810886,US-CA,/GOOGLE_MAP/ZOOM:15,S84673816,OBS1110516557,3,7,2021,PFW_2021,calqua,20,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L808734,39.9910295,-75.4755163,US-PA,ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:2,S81734263,OBS1076005845,2,7,2021,PFW_2021,whtspa,26,1,0,1,1,1,1,1.001,5,PFW Web 4.1.4
L2433107,33.0438171,-97.173377,US-TX,/GOOGLE_MAP/ZOOM:15,S80314057,OBS1064563409,1,23,2021,PFW_2021,carchi,2,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L13832863,43.876644,-79.4466394,CA-ON,/GOOGLE_MAP/ZOOM:18,S82877822,OBS1088818522,3,2,2021,PFW_2021,moudov,8,1,0,1,1,1,1,4.001,NA,PFW Web 4.1.4
L8135694,37.2267152,-76.6889361,US-VA,/GOOGLE_MAP/ZOOM:15,S79405794,OBS1053523885,1,16,2021,PFW_2021,rebnut,1,1,0,1,0,1,0,1.001,NA,PFW Web 4.1.4
L3604621,40.347388,-79.81925,US-PA,/GOOGLE_MAP/ZOOM:15,S81274677,OBS1072977961,1,18,2021,PFW_2021,blujay,2,1,0,1,0,1,0,1.001,0.001,PFW Web 4.1.4
L12723387,42.6285404,-71.0993194,US-MA,/GOOGLE_MAP/ZOOM:15,S83313030,OBS1093884876,3,9,2021,PFW_2021,rewbla,2,1,0,1,0,1,0,1.001,5,PFW Mobile App v1.1.17
L31564,37.74528,-122.44009,US-CA,POSTCODE LAT/LONG LOOKUP,S80391989,OBS1065496384,2,2,2021,PFW_2021,daejun,2,1,0,1,0,1,1,0.001,0,PFW Mobile App v1.1.17
L161629,45.06583,-64.57318,CA-NS,POSTCODE LAT/LONG LOOKUP,S79894347,OBS1059462255,1,23,2021,PFW_2021,blujay,3,1,0,1,1,1,1,8.001,15.001,PFW Web 4.1.4
L12784993,42.368612,-73.964363,US-NY,/GOOGLE_MAP/ZOOM:15,S80621179,OBS1068127586,2,6,2021,PFW_2021,dowwoo,4,1,0,1,0,1,0,1.001,15.001,PFW Mobile App v1.1.17
L8505056,38.1050482,-87.5170469,US-IN,/GOOGLE_MAP/ZOOM:14,S82400963,OBS1083305218,2,20,2021,PFW_2021,houfin,8,1,0,0,1,0,1,0.001,5,PFW Web 4.1.4
L1806789,39.157559,-75.526172,US-DE,POSTCODE LAT/LONG LOOKUP,S77832469,OBS1033807295,12,13,2020,PFW_2021,houspa,3,1,0,1,0,1,0,1.001,NA,PFW Web 4.1.4
L10300894,42.9487411,-73.8394198,US-NY,/GOOGLE_MAP/ZOOM:16,S77041958,OBS1022691390,11,24,2020,PFW_2021,tuftit,2,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L10183774,41.7557284,-87.7675505,US-IL,/GOOGLE_MAP/ZOOM:15,S76418483,OBS1013953167,11,14,2020,PFW_2021,monpar,4,1,0,1,0,1,0,1.001,0,PFW Web 4.1.4
L12711881,33.7757192,-117.7822581,US-CA,/GOOGLE_MAP/ZOOM:19,S80840593,OBS1070548994,2,9,2021,PFW_2021,whcspa,1,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L108021,37.3653832,-76.7232263,US-VA,postal_code,S83965050,OBS1101708234,1,30,2021,PFW_2021,whbnut,1,1,0,1,1,1,1,1.001,0.001,PFW Web 4.1.4
L5278876,41.7248517,-72.1557977,US-CT,/GOOGLE_MAP/ZOOM:12,S83589197,OBS1097134928,12,26,2020,PFW_2021,eursta,9,1,0,1,0,1,0,1.001,15.001,PFW Web 4.1.4
L27661,42.7966918,-73.6682653,US-NY,POSTCODE LAT/LONG LOOKUP,S76570839,OBS1016081731,11,21,2020,PFW_2021,whbnut,2,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L13698706,39.2775165,-84.2933919,US-OH,/GOOGLE_MAP/ZOOM:15,S81602510,OBS1075065970,2,15,2021,PFW_2021,rebwoo,1,1,0,1,1,1,1,8.001,5,PFW Mobile App v1.1.17
L1018873,40.4197449,-75.3836775,US-PA,GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:1,S78006822,OBS1036244322,12,25,2020,PFW_2021,daejun,14,1,0,1,1,1,1,4.001,0.001,PFW Web 4.1.4
L10471889,46.3079878,-122.7276278,US-WA,/GOOGLE_MAP/ZOOM:15,S83110186,OBS1091489437,12,1,2020,PFW_2021,foxspa,2,1,0,1,0,0,0,1.001,NA,PFW Web 4.1.4
L12868783,32.0080345,-102.1208763,US-TX,/GOOGLE_MAP/ZOOM:15,S85681033,OBS1123104638,4,16,2021,PFW_2021,houspa,8,1,0,0,0,0,0,NA,NA,PFW Mobile App v1.1.17
L246355,38.637764,-76.6067963,US-MD,PointMaker1.0_2,S84326415,OBS1106268137,3,27,2021,PFW_2021,norcar,5,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L167221,41.0241241,-75.1864853,US-PA,postal_code,S78595579,OBS1043431723,1,2,2021,PFW_2021,amegfi,2,1,0,1,1,1,1,4.001,0.001,PFW Web 4.1.4
L12732165,40.5635441,-105.110262,US-CO,/GOOGLE_MAP/ZOOM:17,S83541781,OBS1096546369,3,14,2021,PFW_2021,eucdov,2,1,0,1,1,1,1,1.001,15.001,PFW Mobile App v1.1.17
L20784,42.6072046,-71.3860273,US-MA,POSTCODE LAT/LONG LOOKUP,S84510933,OBS1108466082,2,27,2021,PFW_2021,moudov,3,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
L12731682,44.0009817,-121.3851308,US-OR,/GOOGLE_MAP/ZOOM:15,S76507011,OBS1015213464,11,21,2020,PFW_2021,mouchi,2,1,0,0,1,0,0,1.001,0,PFW Mobile App v1.1.17
L12672336,37.5232289,-77.4864864,US-VA,/GOOGLE_MAP/ZOOM:15,S83101506,OBS1091375196,3,8,2021,PFW_2021,houspa,2,1,0,0,1,0,1,1.001,0,PFW Web 4.1.4
L1305575,38.789304,-77.280578,US-VA,GREATDATA_POSTCODE,S81622496,OBS1075137069,2,13,2021,PFW_2021,norcar,3,1,0,1,1,1,1,1.001,NA,PFW Mobile App v1.1.17
L8242114,42.3149486,-72.6498467,US-MA,/GOOGLE_MAP/ZOOM:15,S79890365,OBS1059420601,1,23,2021,PFW_2021,rebwoo,1,1,0,1,0,1,0,1.001,0,PFW Web 4.1.4
L13027708,37.7276876,-81.3012743,US-WV,/GOOGLE_MAP/ZOOM:14,S77957337,OBS1036859800,12,25,2020,PFW_2021,rebwoo,2,1,0,1,1,1,1,8.001,5,PFW Web 4.1.4
L1825416,45.4673657,-75.5268216,CA-ON,NA,S82712005,OBS1086930796,3,1,2021,PFW_2021,haiwoo,1,1,0,1,1,1,1,4.001,15.001,PFW Web 4.1.4
L10888201,32.2204485,-95.2070231,US-TX,/GOOGLE_MAP/ZOOM:15,S80959854,OBS1071267873,2,7,2021,PFW_2021,pinwar,1,1,0,1,1,0,0,1.001,0,PFW Web 4.1.4
L12800841,44.2181852,-80.979483,CA-ON,/GOOGLE_MAP/ZOOM:15,S84298224,OBS1105887801,3,28,2021,PFW_2021,daejun,14,1,0,0,1,0,1,1.001,0.001,PFW Mobile App v1.1.17
L10193612,30.3947577,-87.0567862,US-FL,/GOOGLE_MAP/ZOOM:15,S86614814,OBS1135343505,4,27,2021,PFW_2021,carchi,2,1,0,1,1,1,1,1.001,NA,PFW Web 4.1.4
L2709768,42.8327576,-89.0958933,US-WI,/GOOGLE_MAP/ZOOM:15,S83203521,OBS1092618100,12,16,2020,PFW_2021,daejun,4,1,0,1,1,1,1,4.001,5,PFW Web 4.1.4
L231749,44.4696388,-77.6836166,CA-ON,postal_code,S83076412,OBS1091120907,3,7,2021,PFW_2021,haiwoo,1,1,0,1,1,1,1,4.001,5,PFW Web 4.1.4
L12721178,43.0422022,-81.2589437,CA-ON,/GOOGLE_MAP/ZOOM:18,S84012607,OBS1102380725,3,24,2021,PFW_2021,amerob,1,1,0,1,1,1,1,1.001,0,PFW Web 4.1.4
L12943578,29.0557978,-82.2082776,US-FL,/GOOGLE_MAP/ZOOM:15,S82649861,OBS1086183661,2,28,2021,PFW_2021,amecro,3,1,0,1,0,1,1,8.001,0,PFW Web 4.1.4
L859731,38.7335358,-77.2027435,US-VA,ESRI_WEBSERVICE_STREET,S77029708,OBS1022466453,12,1,2020,PFW_2021,y00033,4,1,0,1,1,1,1,0.001,0,PFW Web 4.1.4
L6480682,39.3069879,-82.081826,US-OH,NA,S77287971,OBS1026132476,12,5,2020,PFW_2021,moudov,10,1,0,1,1,1,0,1.001,0,PFW Web 4.1.4
L469028,43.0330469,-78.6561441,US-NY,ESRI_WEBSERVICE_STREET,S82260042,OBS1081685817,2,17,2021,PFW_2021,amtspa,1,1,0,1,1,1,1,1.001,5,PFW Web 4.1.4
L161518,49.4661474,-115.4453444,CA-BC,POSTCODE LAT/LONG LOOKUP,S76308677,OBS1012590848,11,14,2020,PFW_2021,blujay,4,1,0,1,1,1,1,1.001,5,PFW Web 4.0.4
L10114627,39.5092909,-77.0795227,US-MD,/GOOGLE_MAP/ZOOM:18,S81535416,OBS1074645873,2,15,2021,PFW_2021,houspa,6,1,0,1,0,1,1,1.001,0.001,PFW Mobile App v1.1.17
L12728253,30.5631756,-96.287404,US-TX,/GOOGLE_MAP/ZOOM:14,S80624207,OBS1068162946,2,6,2021,PFW_2021,normoc,1,1,0,1,1,1,1,4.001,0,PFW Web 4.1.4
L4047405,44.69401,-63.8188934,CA-NS,/GOOGLE_MAP/ZOOM:15,S76344444,OBS1012994100,11,15,2020,PFW_2021,rebnut,2,1,0,1,1,1,1,1.001,0,PFW Web 4.0.4
L6526205,39.8550913,-74.873898,US-NJ,/GOOGLE_MAP/ZOOM:15,S84657980,OBS1110346627,4,3,2021,PFW_2021,tuftit,2,1,0,1,0,1,0,1.001,0,PFW Mobile App v1.1.17
L10186961,50.9430112,-113.9838275,CA-AB,/GOOGLE_MAP/ZOOM:18,S79759935,OBS1057815555,1,16,2021,PFW_2021,rocpig1,2,1,0,0,1,1,0,0.001,5,PFW Web 4.1.4
L12795126,37.2855177,-107.6967913,US-CO,/GOOGLE_MAP/ZOOM:18,S78930713,OBS1047666549,1,9,2021,PFW_2021,mouchi,2,1,0,1,1,1,1,1.001,0.001,PFW Mobile App v1.1.17
L1032355,42.7133566,-78.9722773,US-NY,ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:3,S82616469,OBS1085832291,2,28,2021,PFW_2021,amecro,1,1,0,1,1,1,1,1.001,5,PFW Web 4.1.4
L8291710,44.3281308,-72.5033002,US-VT,/GOOGLE_MAP/ZOOM:15,S78279820,OBS1039730486,12,8,2020,PFW_2021,bkcchi,6,1,0,1,1,1,1,1.001,0.001,PFW Web 4.1.4
L5405534,39.1231273,-74.8039205,US-NJ,/GOOGLE_MAP/ZOOM:12,S78765884,OBS1045597405,1,4,2021,PFW_2021,moudov,4,1,0,1,1,1,1,1.001,NA,PFW Web 4.1.4
L12736337,41.8877926,-72.6668831,US-CT,/GOOGLE_MAP/ZOOM:15,S80178630,OBS1062990769,1,31,2021,PFW_2021,sonspa,19,0,0,1,0,1,0,1.001,5,PFW Mobile App v1.1.17
