incident_number,date_time_of_call,cal_year,fin_year,type_of_incident,pump_count,pump_hours_total,hourly_notional_cost,incident_notional_cost,final_description,animal_group_parent,originof_call,property_type,property_category,special_service_type_category,special_service_type,ward_code,ward,borough_code,borough,stn_ground_name,uprn,street,usrn,postcode_district,easting_m,northing_m,easting_rounded,northing_rounded,latitude,longitude
5186091,08/01/2009 14:34,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000115,Cray Valley West,E09000006,Bromley,Orpington,1.0002E+11,Tilbury Close,20301320,BR5,546981,169297,546950,169250,51.4036626,0.111722339
5363091,08/01/2009 19:23,2009,2008/09,Special Service,1,2,255,510,Redacted,Bird,Person (mobile),Lake/pond/reservoir,Outdoor,Animal rescue from water,Animal rescue from water - Bird,E05000620,Queenstown,E09000032,Wandsworth,Clapham,NULL,Battersea Park,NULL,SW11,528666,177290,528650,177250,51.47994253,-0.148525691
5682091,09/01/2009 11:01,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Car,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,E05000535,Camberwell Green,E09000028,Southwark,Peckham,NULL,Valmar Road,NULL,SE5,532478,176515,532450,176550,51.47209876,-0.093952949
5688091,09/01/2009 11:18,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (land line),Other animal boarding/breeding establishment,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000034,Heath,E09000002,Barking and Dagenham,Dagenham,100090039,Rainham Road North,19900293,RM10,549923,186441,549950,186450,51.55693599,0.161258357
5724091,09/01/2009 12:40,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000528,South Richmond,E09000027,Richmond upon Thames,Richmond,10002260585,Church Road,22405449,TW10,518497,174567,518450,174550,51.45768783,-0.29580467
5770091,09/01/2009 13:43,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05011489,Woodside,E09000008,Croydon,Woodside,1.00021E+11,Belmont Road,20500674,SE25,534865,167671,534850,167650,51.39205798,-0.062970325
5789091,09/01/2009 14:30,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Wasteland,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000453,Telegraph Hill,E09000023,Lewisham,New Cross,10023230026,Bessingham Walk,22006012,SE4,535913,174968,535950,174950,51.45738228,-0.045120782
5797091,09/01/2009 14:39,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Ambulance,Woodland/forest - broadleaf/hardwood,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000431,Streatham South,E09000022,Lambeth,Norbury,NULL,Streatham Common South,NULL,SW16,530995,170839,530950,170850,51.42143443,-0.117391508
6259091,10/01/2009 09:35,2009,2008/09,Special Service,1,1,255,255,Redacted,Unknown - Domestic Animal Or Pet,Person (land line),Park,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000540,East Walworth,E09000028,Southwark,Old Kent Road,NULL,Balfour Street,NULL,SE17,532595,178874,532550,178850,51.49327092,-0.091384632
6270091,10/01/2009 10:09,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (land line),Road surface/pavement,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000159,Purley,E09000008,Croydon,Purley,NULL,Brighton Road,NULL,CR8,531679,161982,531650,161950,51.34167993,-0.11084037
6317091,10/01/2009 11:27,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Park,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000540,East Walworth,E09000028,Southwark,Old Kent Road,NULL,Balfour Street,NULL,SE17,532594,178879,532550,178850,51.49331609,-0.091397151
6353091,10/01/2009 12:26,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05009325,Lansbury,E09000030,Tower Hamlets,Poplar,NULL,Brownfield Street,22700211,E14,NULL,NULL,538150,181250,NULL,NULL
6355091,10/01/2009 12:32,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (land line),Road surface/pavement,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000288,Greenhill,E09000015,Harrow,Harrow,NULL,Roxborough Avenue,NULL,HA1,515074,187728,515050,187750,51.57668207,-0.340758362
6378091,10/01/2009 13:05,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Private garage,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000039,Thames,E09000002,Barking and Dagenham,Barking,100089001,Stern Close,19903819,IG11,547091,183173,547050,183150,51.52831647,0.119072708
6400091,10/01/2009 13:28,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Lake/pond/reservoir,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000055,Hendon,E09000003,Barnet,Hendon,NULL,Green Walk,NULL,NW4,524023,188969,524050,188950,51.58594049,-0.211240794
6530091,10/01/2009 16:38,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Cycle path/public footpath/bridleway,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05009321,Bromley North,E09000030,Tower Hamlets,Poplar,NULL,Hancock Road,NULL,E3,538165,182731,538150,182750,51.52659798,-0.009689766
6970091,11/01/2009 10:11,2009,2008/09,Special Service,2,3,255,765,Redacted,Dog,Person (mobile),Lake/pond/reservoir,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Kensington,NULL,Hyde Park,NULL,SW7,527257,180039,527250,180050,51.50496632,-0.167814607
7051091,11/01/2009 12:32,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Bird,E05000315,Hylands,E09000016,Havering,Hornchurch,1.00021E+11,Albany Road,21300936,RM12,552339,186735,552350,186750,51.55893097,0.196208829
7613091,12/01/2009 13:10,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000031,Eastbury,E09000002,Barking and Dagenham,Barking,NULL,Canonsleigh Road,19900436,RM9,NULL,NULL,546950,184150,NULL,NULL
7720091,12/01/2009 16:39,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Park,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000032,Gascoigne,E09000002,Barking and Dagenham,Barking,NULL,Tomlins Orchard,NULL,IG11,544212,183641,544250,183650,51.5332637,0.077790345
8648091,14/01/2009 06:38,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000454,Whitefoot,E09000023,Lewisham,Bromley,NULL,Shroffold Road,22003952,BR1,NULL,NULL,539750,172050,NULL,NULL
9252091,15/01/2009 12:38,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (mobile),Wasteland,Outdoor,Animal rescue from height,Animal rescue from height - Bird,E05000425,Larkhall,E09000022,Lambeth,Clapham,NULL,Deeley Road,NULL,SW8,529741,176685,529750,176650,51.47426021,-0.133275614
10299091,17/01/2009 11:40,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Public toilets,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000348,Chiswick Homefields,E09000018,Hounslow,Chiswick,NULL,Dan Mason Drive,NULL,W4,521444,176789,521450,176750,51.47703452,-0.252645628
10470091,17/01/2009 18:08,2009,2008/09,Special Service,1,2,255,510,Redacted,Dog,Person (mobile),Railings,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,E05000186,Norwood Green,E09000009,Ealing,Southall,NULL,Armstrong Way,NULL,UB2,513501,179808,513550,179850,51.50581677,-0.366000236
10829091,18/01/2009 11:08,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000136,Haverstock,E09000007,Camden,Kentish Town,NULL,Malden Place,20400336,NW5,NULL,NULL,528050,185150,NULL,NULL
10976091,18/01/2009 16:19,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Park,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000310,Gooshays,E09000016,Havering,Harold Hill,NULL,Swindon Lane,NULL,RM3,554742,192355,554750,192350,51.60877075,0.23331818
12317091,21/01/2009 00:43,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000040,Valence,E09000002,Barking and Dagenham,Dagenham,NULL,Greenway,19900158,RM8,NULL,NULL,547450,186950,NULL,NULL
12451091,21/01/2009 10:33,2009,2008/09,Special Service,2,3,255,765,Redacted,Fox,Person (land line),Beach,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,E05000427,Prince's,E09000022,Lambeth,Lambeth,NULL,Albert Embankment,NULL,SE1,530526,178612,530550,178650,51.49139735,-0.121267747
12533091,21/01/2009 14:04,2009,2008/09,Special Service,1,2,255,510,Redacted,Dog,Person (mobile),Park,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000519,"Ham, Petersham and Richmond Riverside",E09000027,Richmond upon Thames,Kingston,NULL,Ham Gate Avenue,NULL,TW10,518938,171828,518950,171850,51.43297839,-0.290379808
12770091,21/01/2009 21:55,2009,2008/09,Special Service,1,1,255,255,Redacted,Fox,Person (mobile),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000411,St. James,E09000021,Kingston upon Thames,New Malden,NULL,Welbeck Close,NULL,KT3,NULL,NULL,521550,167750,NULL,NULL
13245091,22/01/2009 21:35,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000287,Edgware,E09000015,Harrow,Stanmore,NULL,Broomgrove Gardens,21202323,HA8,NULL,NULL,519350,190750,NULL,NULL
14002091,24/01/2009 10:31,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Tenement Building,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000516,Barnes,E09000027,Richmond upon Thames,Hammersmith,NULL,Lonsdale Road,22404716,SW13,NULL,NULL,521950,177550,NULL,NULL
14652091,25/01/2009 10:26,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Railway,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000374,Hillrise,E09000019,Islington,Holloway,NULL,Fairbridge Road,NULL,N19,529970,186960,529950,186950,51.56654715,-0.12619315
14691091,25/01/2009 12:11,2009,2008/09,Special Service,2,3,255,765,Redacted,Dog,Police,River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000364,Syon,E09000018,Hounslow,Heston,NULL,Commerce Road,NULL,TW8,517085,177478,517050,177450,51.48414487,-0.315155902
14784091,25/01/2009 15:27,2009,2008/09,Special Service,1,1,255,255,Redacted,Unknown - Domestic Animal Or Pet,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05011489,Woodside,E09000008,Croydon,Woodside,1.00021E+11,Belmont Road,20500674,SE25,534865,167671,534850,167650,51.39205798,-0.062970325
14796091,25/01/2009 16:01,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Park,Outdoor,Other animal assistance,Animal assistance - Lift heavy livestock animal,E05000564,Sutton Central,E09000029,Sutton,Sutton,NULL,Carshalton Road,NULL,SM1,526028,164010,526050,164050,51.36118516,-0.191210825
15664091,27/01/2009 10:49,2009,2008/09,Special Service,1,1,255,255,Redacted,Squirrel,Person (land line),Vehicle Repair Workshop,Non Residential,Animal rescue from height,Wild animal rescue from height,E05000449,New Cross,E09000023,Lewisham,Deptford,2.00001E+11,Creekside,22004382,SE8,537492,177108,537450,177150,51.47623195,-0.021576172
15682091,27/01/2009 11:21,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000143,St. Pancras and Somers Town,E09000007,Camden,Euston,NULL,Royal College Street,20400512,NW1,NULL,NULL,529450,183750,NULL,NULL
15865091,27/01/2009 17:18,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Football stadium,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000219,Eltham South,E09000011,Greenwich,Eltham,NULL,Footscray Road,NULL,SE9,543250,174250,543250,174250,51.44912339,0.060121979
16245091,28/01/2009 13:40,2009,2008/09,Special Service,1,2,255,510,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000590,Cann Hall,E09000031,Waltham Forest,Leytonstone,1.00023E+11,Ferndale Road,22836050,E11,539647,186846,539650,186850,51.56321059,0.013290743
16271091,28/01/2009 14:41,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000123,Penge and Cator,E09000006,Bromley,Beckenham,NULL,Queen Adelaide Road,20302300,SE20,NULL,NULL,535450,170450,NULL,NULL
17262091,30/01/2009 10:43,2009,2008/09,Special Service,1,1,255,255,Redacted,Unknown - Heavy Livestock Animal,Person (land line),Other Dwelling,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000483,Forest Gate North,E09000025,Newham,Stratford,NULL,Maryland Square,22200086,E15,NULL,NULL,539250,185250,NULL,NULL
17297091,30/01/2009 12:17,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (land line),Purpose Built Flats/Maisonettes - 10 or more storeys,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05011102,Faraday,E09000028,Southwark,Old Kent Road,NULL,Thurlow Street,22502507,SE17,NULL,NULL,532950,178350,NULL,NULL
17633091,30/01/2009 23:36,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000075,Erith,E09000004,Bexley,Erith,NULL,Erith High Street,NULL,DA8,551609,178303,551650,178350,51.48336535,0.182061343
17783091,31/01/2009 09:47,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (land line),Pipe or drain,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000274,Muswell Hill,E09000014,Haringey,Hornsey,2.00002E+11,St. James Lane,21106430,N10,529026,189379,529050,189350,51.58850236,-0.138917727
18369091,01/02/2009 08:48,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000333,Ickenham,E09000017,Hillingdon,Hillingdon,NULL,Long Lane,21401178,UB10,NULL,NULL,507850,185550,NULL,NULL
18386091,01/02/2009 09:30,2009,2008/09,Special Service,1,1,255,255,Redacted,Fox,Person (mobile),Park,Outdoor,Animal rescue from below ground,Wild animal rescue from below ground,E05000044,Burnt Oak,E09000003,Barnet,Mill Hill,NULL,The Greenway,NULL,NW9,520785,190200,520750,190250,51.59770605,-0.257531516
20027091,04/02/2009 00:25,2009,2008/09,Special Service,1,1,255,255,Redacted,Fox,Person (land line),Wasteland,Outdoor,Animal rescue from below ground,Wild animal rescue from below ground,E05000252,Avonmore and Brook Green,E09000013,Hammersmith and Fulham,Hammersmith,34057075,Avonmore Road,21000081,W14,524639,178810,524650,178850,51.49450385,-0.205949974
20379091,04/02/2009 17:47,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05009390,Campden,E09000020,Kensington and Chelsea,Kensington,NULL,Bedford Gardens,21700696,W8,NULL,NULL,525350,180150,NULL,NULL
21166091,06/02/2009 09:08,2009,2008/09,Special Service,2,3,255,765,Redacted,Dog,Other FRS,Lake/pond/reservoir,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05004162,Loughton Forest,E07000072,Epping Forest,Essex,NULL,Warren Hill,NULL,IG10,540410,195273,540450,195250,51.63874348,0.027660488
21319091,06/02/2009 14:42,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Cycle path/public footpath/bridleway,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000422,Gipsy Hill,E09000022,Lambeth,West Norwood,NULL,Gipsy Hill,NULL,SE19,533337,171017,533350,171050,51.42248815,-0.083662056
21401091,06/02/2009 17:14,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Converted Flat/Maisonette - Up to 2 storeys,Dwelling,Animal rescue from water,Animal rescue from water - Domestic pet,E05000420,Coldharbour,E09000022,Lambeth,Brixton,NULL,St. John's Crescent,21901271,SW9,NULL,NULL,531350,175850,NULL,NULL
21458091,06/02/2009 19:29,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Converted Flat/Maisonette - Up to 2 storeys,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000420,Coldharbour,E09000022,Lambeth,Brixton,NULL,St. John's Crescent,21901271,SW9,NULL,NULL,531350,175850,NULL,NULL
21760091,07/02/2009 11:12,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (land line),Tree scrub,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Bird,E05000644,St. James's,E09000033,Westminster,Soho,NULL,Lisle Street,NULL,WC2H,529769,180812,529750,180850,51.51134253,-0.131356592
21807091,07/02/2009 12:43,2009,2008/09,Special Service,1,1,255,255,Redacted,Unknown - Heavy Livestock Animal,Police,Other outdoor location,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000405,Chessington South,E09000021,Kingston upon Thames,Surbiton,NULL,Fair Oak Lane,NULL,KT9,517179,161575,517150,161550,51.34119192,-0.319051309
22115091,08/02/2009 00:59,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Other Residential Home,Other Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000379,St. Mary's,E09000019,Islington,Islington,10012787326,Upper Street,21606199,N1,531616,184385,531650,184350,51.54302515,-0.103421503
22276091,08/02/2009 12:08,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Other FRS,Lake/pond/reservoir,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000593,Chingford Green,E09000031,Waltham Forest,Chingford,NULL,Rangers Road,NULL,E4,539784,194599,539750,194550,51.63284278,0.018351358
26040091,14/02/2009 11:38,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Cycle path/public footpath/bridleway,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000274,Muswell Hill,E09000014,Haringey,Hornsey,10003976332,Park Road,21103726,N8,529321,189057,529350,189050,51.58554114,-0.134780349
26715091,15/02/2009 15:53,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (mobile),River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Bird,E05009330,St. Katharine's & Wapping,E09000030,Tower Hamlets,Shadwell,6009847,Porters Walk,22701920,E1W,534781,180604,534750,180650,51.50830086,-0.059254177
27109091,16/02/2009 11:13,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (land line),Single shop,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000159,Purley,E09000008,Croydon,Purley,NULL,High Street,NULL,CR8,531368,161544,531350,161550,51.33781546,-0.115464278
27805091,17/02/2009 13:23,2009,2008/09,Special Service,2,5,255,1275,Redacted,Cat,Person (mobile),River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000075,Erith,E09000004,Bexley,Erith,NULL,Macarthur Close,NULL,DA8,551276,178506,551250,178550,51.48527845,0.17735639
27898091,17/02/2009 16:13,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (mobile),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Bird,E05000363,Osterley and Spring Grove,E09000018,Hounslow,Heston,NULL,Great West Road,NULL,TW7,516420,177339,516450,177350,51.48303265,-0.32477449
28382091,18/02/2009 13:22,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (land line),Park,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Bird,E05000100,Stonebridge,E09000005,Brent,Park Royal,NULL,Bridge Road,NULL,NW10,520994,184849,520950,184850,51.54957001,-0.256357552
29403091,20/02/2009 09:35,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Purpose Built Flats/Maisonettes - 10 or more storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000034,Heath,E09000002,Barking and Dagenham,Dagenham,NULL,Bradwell Avenue,19900051,RM10,NULL,NULL,549250,186850,NULL,NULL
30133091,21/02/2009 14:08,2009,2008/09,Special Service,1,1,255,255,Redacted,Fox,Person (land line),Bridge,Outdoor Structure,Animal rescue from height,Wild animal rescue from height,E05000416,Bishop's,E09000022,Lambeth,Lambeth,2E+11,Upper Ground,21901574,SE1,531012,180382,531050,180350,51.50719166,-0.1136144
30194091,21/02/2009 16:12,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000060,Underhill,E09000003,Barnet,Barnet,200082080,Milton Avenue,20029780,EN5,524699,195738,524650,195750,51.64662325,-0.199082475
30836091,22/02/2009 13:17,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (land line),Lake/pond/reservoir,Outdoor,Animal rescue from water,Animal rescue from water - Bird,E05000456,Cannon Hill,E09000024,Merton,New Malden,NULL,Cannon Hill Lane,NULL,SW20,523933,168582,523950,168550,51.40273602,-0.219693097
30981091,22/02/2009 17:22,2009,2008/09,Special Service,1,1,255,255,Redacted,Unknown - Domestic Animal Or Pet,Person (mobile),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000442,Downham,E09000023,Lewisham,Bromley,NULL,Swiftsden Way,22001946,BR1,NULL,NULL,539450,170750,NULL,NULL
169092,23/02/2009 15:28,2009,2008/09,Special Service,1,1,255,255,Redacted,Cat,Person (mobile),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000484,Forest Gate South,E09000025,Newham,Stratford,NULL,Woodgrange Road,NULL,E7,NULL,NULL,540550,185150,NULL,NULL
31317091,23/02/2009 16:56,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Bird,E05000597,Hale End and Highams Park,E09000031,Waltham Forest,Woodford,NULL,Hale End Road,22842150,E4,NULL,NULL,538750,191550,NULL,NULL
32555091,25/02/2009 22:18,2009,2008/09,Special Service,1,2,255,510,Redacted,Cat,Person (mobile),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000229,Woolwich Common,E09000011,Greenwich,Plumstead,NULL,Nightingale Place,20800938,SE18,NULL,NULL,543450,178050,NULL,NULL
33526091,27/02/2009 16:35,2009,2008/09,Special Service,1,1,255,255,Redacted,Bird,Person (mobile),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Bird,E05000039,Thames,E09000002,Barking and Dagenham,Barking,NULL,Shaw Avenue,19900574,IG11,NULL,NULL,548150,183450,NULL,NULL
