season,location,round_stage,obstacle_name,obstacle_order
1,Sasuke 23 (Japan),National Finals - Stage 3,Hang Climb,6
1,Sasuke 23 (Japan),National Finals - Stage 3,Spider Flip,7
1,Sasuke 23 (Japan),National Finals - Stage 3,Gliding Ring,8
1,Sasuke 23 (Japan),National Finals - Stage 4,Heavenly Ladder,1
1,Sasuke 23 (Japan),National Finals - Stage 4,G-Rope,2
2,Venice,Qualifying,Quad Steps,1
2,Venice,Qualifying,Rope Swing,2
2,Venice,Qualifying,Bridge of Blades,3
2,Venice,Qualifying,Jumping Spider,4
2,Venice,Qualifying,Jumping Bars,5
2,Venice,Qualifying,Warped Wall,6
2,Venice,Semi-Finals,Quad Steps,1
2,Venice,Semi-Finals,Rope Swing,2
2,Venice,Semi-Finals,Bridge of Blades,3
2,Venice,Semi-Finals,Jumping Spider,4
2,Venice,Semi-Finals,Jumping Bars,5
2,Venice,Semi-Finals,Warped Wall,6
2,Venice,Semi-Finals,Salmon Ladder,7
2,Venice,Semi-Finals,Circle Slider,8
2,Venice,Semi-Finals,Cargo Climb,9
2,Sasuke 26 (Japan),National Finals - Stage 1,Step Slider,1
2,Sasuke 26 (Japan),National Finals - Stage 1,Hazard Swing,2
2,Sasuke 26 (Japan),National Finals - Stage 1,Rolling Escargot,3
2,Sasuke 26 (Japan),National Finals - Stage 1,Jumping Spider,4
2,Sasuke 26 (Japan),National Finals - Stage 1,Half-Pipe Attack,5
2,Sasuke 26 (Japan),National Finals - Stage 1,Warped Wall,6
2,Sasuke 26 (Japan),National Finals - Stage 1,Giant Swing,7
2,Sasuke 26 (Japan),National Finals - Stage 1,Tarzan Rope,8
2,Sasuke 26 (Japan),National Finals - Stage 1,Rope Ladder,9
2,Sasuke 26 (Japan),National Finals - Stage 2,Slider Drop,1
2,Sasuke 26 (Japan),National Finals - Stage 2,Double Salmon Ladder,2
2,Sasuke 26 (Japan),National Finals - Stage 2,Unstable Bridge,3
2,Sasuke 26 (Japan),National Finals - Stage 2,Balance Tank,4
2,Sasuke 26 (Japan),National Finals - Stage 2,Metal Spin,5
2,Sasuke 26 (Japan),National Finals - Stage 2,Wall Lift,6
2,Sasuke 26 (Japan),National Finals - Stage 3,Roulette Cylinder,1
2,Sasuke 26 (Japan),National Finals - Stage 3,Doorknob Grasper,2
2,Sasuke 26 (Japan),National Finals - Stage 3,Cycle Road,3
2,Sasuke 26 (Japan),National Finals - Stage 3,Ultimate Cliffhanger,4
2,Sasuke 26 (Japan),National Finals - Stage 3,Swing Circle,5
2,Sasuke 26 (Japan),National Finals - Stage 3,Bungee Rope Climb,6
2,Sasuke 26 (Japan),National Finals - Stage 3,Flying Bar,7
2,Sasuke 26 (Japan),National Finals - Stage 4,Rope Climb,1
3,Venice,Qualifying,Quad Steps,1
3,Venice,Qualifying,Log Grip,2
3,Venice,Qualifying,Bridge of Blades,3
3,Venice,Qualifying,Jump Hang,4
3,Venice,Qualifying,Jumping Bars,5
3,Venice,Qualifying,Warped Wall,6
3,Venice,Semi-Finals,Quad Steps,1
3,Venice,Semi-Finals,Log Grip,2
3,Venice,Semi-Finals,Bridge of Blades,3
3,Venice,Semi-Finals,Jump Hang,4
3,Venice,Semi-Finals,Jumping Bars,5
3,Venice,Semi-Finals,Warped Wall,6
3,Venice,Semi-Finals,Salmon Ladder,7
3,Venice,Semi-Finals,Unstable Bridge,8
3,Venice,Semi-Finals,Cargo Climb,9
3,Sasuke 27 (Japan),National Finals - Stage 1,Step Slider,1
3,Sasuke 27 (Japan),National Finals - Stage 1,Rolling Escargot,2
3,Sasuke 27 (Japan),National Finals - Stage 1,Giant Swing,3
3,Sasuke 27 (Japan),National Finals - Stage 1,Jumping Spider,4
3,Sasuke 27 (Japan),National Finals - Stage 1,Half-Pipe Attack,5
3,Sasuke 27 (Japan),National Finals - Stage 1,Warped Wall,6
3,Sasuke 27 (Japan),National Finals - Stage 1,Spinning Bridge,7
3,Sasuke 27 (Japan),National Finals - Stage 1,Tarzan Rope,8
3,Sasuke 27 (Japan),National Finals - Stage 1,Rope Ladder,9
3,Sasuke 27 (Japan),National Finals - Stage 2,Slider Drop,1
3,Sasuke 27 (Japan),National Finals - Stage 2,Double Salmon Ladder,2
3,Sasuke 27 (Japan),National Finals - Stage 2,Unstable Bridge,3
3,Sasuke 27 (Japan),National Finals - Stage 2,Balance Tank,4
3,Sasuke 27 (Japan),National Finals - Stage 2,Metal Spin,5
3,Sasuke 27 (Japan),National Finals - Stage 2,Wall Lift,6
3,Sasuke 27 (Japan),National Finals - Stage 3,Arm Bike,1
3,Sasuke 27 (Japan),National Finals - Stage 3,Flying Bar,2
3,Sasuke 27 (Japan),National Finals - Stage 3,Ultimate Cliffhanger,3
3,Sasuke 27 (Japan),National Finals - Stage 3,Jumping Rings,4
3,Sasuke 27 (Japan),National Finals - Stage 3,Chain Seesaw,5
3,Sasuke 27 (Japan),National Finals - Stage 3,Bungee Rope Climb,6
3,Sasuke 27 (Japan),National Finals - Stage 3,Bar Glider,7
3,Sasuke 27 (Japan),National Finals - Stage 4,Rope Climb,1
4,Southwest,Qualifying (Regional/City),Quad Steps,1
4,Southwest,Qualifying (Regional/City),Log Grip,2
4,Southwest,Qualifying (Regional/City),Spinning Log,3
4,Southwest,Qualifying (Regional/City),Jump Hang,4
4,Southwest,Qualifying (Regional/City),Devil Steps,5
4,Southwest,Qualifying (Regional/City),Warped Wall,6
4,Southwest,Finals (Regional/City),Quad Steps,1
4,Southwest,Finals (Regional/City),Log Grip,2
4,Southwest,Finals (Regional/City),Spinning Log,3
4,Southwest,Finals (Regional/City),Jump Hang,4
4,Southwest,Finals (Regional/City),Devil Steps,5
4,Southwest,Finals (Regional/City),Warped Wall,6
4,Southwest,Finals (Regional/City),Salmon Ladder,7
4,Southwest,Finals (Regional/City),Arm Rings,8
4,Southwest,Finals (Regional/City),Cargo Climb,9
4,Midwest,Qualifying (Regional/City),Quad Steps,1
4,Midwest,Qualifying (Regional/City),Log Grip,2
4,Midwest,Qualifying (Regional/City),Bridge of Blades,3
4,Midwest,Qualifying (Regional/City),Jump Hang,4
4,Midwest,Qualifying (Regional/City),Curtain Slider,5
4,Midwest,Qualifying (Regional/City),Warped Wall,6
4,Midwest,Finals (Regional/City),Quad Steps,1
4,Midwest,Finals (Regional/City),Log Grip,2
4,Midwest,Finals (Regional/City),Bridge of Blades,3
4,Midwest,Finals (Regional/City),Jump Hang,4
4,Midwest,Finals (Regional/City),Curtain Slider,5
4,Midwest,Finals (Regional/City),Warped Wall,6
4,Midwest,Finals (Regional/City),Salmon Ladder,7
4,Midwest,Finals (Regional/City),Lamp Grasper,8
4,Midwest,Finals (Regional/City),Cargo Climb,9
4,Northeast,Qualifying (Regional/City),Quad Steps,1
4,Northeast,Qualifying (Regional/City),Log Grip,2
4,Northeast,Qualifying (Regional/City),Bungee Bridge,3
4,Northeast,Qualifying (Regional/City),Jump Hang,4
4,Northeast,Qualifying (Regional/City),Jumping Bars,5
4,Northeast,Qualifying (Regional/City),Wall Lift,6
4,Northeast,Qualifying (Regional/City),Warped Wall,7
4,Northeast,Finals (Regional/City),Quad Steps,1
4,Northeast,Finals (Regional/City),Log Grip,2
4,Northeast,Finals (Regional/City),Bungee Bridge,3
4,Northeast,Finals (Regional/City),Jump Hang,4
4,Northeast,Finals (Regional/City),Jumping Bars,5
4,Northeast,Finals (Regional/City),Wall Lift,6
4,Northeast,Finals (Regional/City),Warped Wall,7
4,Northeast,Finals (Regional/City),Salmon Ladder,8
4,Northeast,Finals (Regional/City),Cycle Road,9
4,Northeast,Finals (Regional/City),Cargo Climb,10
4,Northwest,Qualifying (Regional/City),Quad Steps,1
4,Northwest,Qualifying (Regional/City),Log Grip,2
4,Northwest,Qualifying (Regional/City),Spinning Log,3
4,Northwest,Qualifying (Regional/City),Jump Hang,4
4,Northwest,Qualifying (Regional/City),Pipe Slider / Devil Steps,5
4,Northwest,Qualifying (Regional/City),Warped Wall,6
4,Northwest,Finals (Regional/City),Quad Steps,1
4,Northwest,Finals (Regional/City),Log Grip,2
4,Northwest,Finals (Regional/City),Spinning Log,3
4,Northwest,Finals (Regional/City),Jump Hang,4
4,Northwest,Finals (Regional/City),Pipe Slider / Devil Steps,5
4,Northwest,Finals (Regional/City),Warped Wall,6
4,Northwest,Finals (Regional/City),Salmon Ladder,7
4,Northwest,Finals (Regional/City),Arm Rings,8
4,Northwest,Finals (Regional/City),Cargo Climb,9
4,Mid-South,Qualifying (Regional/City),Quad Steps,1
4,Mid-South,Qualifying (Regional/City),Log Grip,2
4,Mid-South,Qualifying (Regional/City),Bridge of Blades,3
4,Mid-South,Qualifying (Regional/City),Jump Hang,4
4,Mid-South,Qualifying (Regional/City),Rope Junction,5
4,Mid-South,Qualifying (Regional/City),Warped Wall,6
4,Mid-South,Finals (Regional/City),Quad Steps,1
4,Mid-South,Finals (Regional/City),Log Grip,2
4,Mid-South,Finals (Regional/City),Bridge of Blades,3
4,Mid-South,Finals (Regional/City),Jump Hang,4
4,Mid-South,Finals (Regional/City),Rope Junction,5
4,Mid-South,Finals (Regional/City),Warped Wall,6
4,Mid-South,Finals (Regional/City),Salmon Ladder,7
4,Mid-South,Finals (Regional/City),Lamp Grasper,8
4,Mid-South,Finals (Regional/City),Cargo Climb,9
4,Southeast,Qualifying (Regional/City),Quad Steps,1
4,Southeast,Qualifying (Regional/City),Log Grip,2
4,Southeast,Qualifying (Regional/City),Bungee Bridge,3
4,Southeast,Qualifying (Regional/City),Jump Hang,4
4,Southeast,Qualifying (Regional/City),Swing Circle,5
4,Southeast,Qualifying (Regional/City),Wall Lift,6
4,Southeast,Qualifying (Regional/City),Warped Wall,7
4,Southeast,Finals (Regional/City),Quad Steps,1
4,Southeast,Finals (Regional/City),Log Grip,2
4,Southeast,Finals (Regional/City),Bungee Bridge,3
4,Southeast,Finals (Regional/City),Jump Hang,4
4,Southeast,Finals (Regional/City),Swing Circle,5
4,Southeast,Finals (Regional/City),Wall Lift,6
4,Southeast,Finals (Regional/City),Warped Wall,7
4,Southeast,Finals (Regional/City),Salmon Ladder,8
4,Southeast,Finals (Regional/City),Cycle Road,9
4,Southeast,Finals (Regional/City),Cargo Climb,10
4,Las Vegas,National Finals - Stage 1,Step Slider,1
4,Las Vegas,National Finals - Stage 1,Rolling Log,2
4,Las Vegas,National Finals - Stage 1,Giant Swing,3
4,Las Vegas,National Finals - Stage 1,Jumping Spider,4
4,Las Vegas,National Finals - Stage 1,Half-Pipe Attack,5
4,Las Vegas,National Finals - Stage 1,Warped Wall,6
4,Las Vegas,National Finals - Stage 1,Spinning Bridge,7
4,Las Vegas,National Finals - Stage 1,Tarzan Rope,8
4,Las Vegas,National Finals - Stage 1,Rope Ladder,9
4,Las Vegas,National Finals - Stage 2,Slider Drop,1
4,Las Vegas,National Finals - Stage 2,Double Salmon Ladder,2
4,Las Vegas,National Finals - Stage 2,Unstable Bridge,3
4,Las Vegas,National Finals - Stage 2,Balance Tank,4
4,Las Vegas,National Finals - Stage 2,Metal Spin,5
4,Las Vegas,National Finals - Stage 2,Wall Lift,6
4,Las Vegas,National Finals - Stage 3,Roulette Cylinder,1
4,Las Vegas,National Finals - Stage 3,Doorknob Grasper,2
4,Las Vegas,National Finals - Stage 3,Floating Boards,3
4,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,4
4,Las Vegas,National Finals - Stage 3,Bungee Rope Climb,5
4,Las Vegas,National Finals - Stage 3,Hang Climb,6
4,Las Vegas,National Finals - Stage 3,Spider Flip,7
4,Las Vegas,National Finals - Stage 3,Flying Bar,8
4,Las Vegas,National Finals - Stage 4,Rope Climb,1
5,Venice,Qualifying (Regional/City),Quintuple Steps,1
5,Venice,Qualifying (Regional/City),Frame Slider,2
5,Venice,Qualifying (Regional/City),Domino Hill,3
5,Venice,Qualifying (Regional/City),Floating Chains,4
5,Venice,Qualifying (Regional/City),Flying Nunchuks / Trapeze Swing,5
5,Venice,Qualifying (Regional/City),Warped Wall,6
5,Venice,Finals (Regional/City),Quintuple Steps,1
5,Venice,Finals (Regional/City),Frame Slider,2
5,Venice,Finals (Regional/City),Domino Hill,3
5,Venice,Finals (Regional/City),Floating Chains,4
5,Venice,Finals (Regional/City),Flying Nunchuks / Trapeze Swing,5
5,Venice,Finals (Regional/City),Warped Wall,6
5,Venice,Finals (Regional/City),Salmon Ladder,7
5,Venice,Finals (Regional/City),Rope Maze,8
5,Venice,Finals (Regional/City),Cliffhanger,9
5,Venice,Finals (Regional/City),Spider Climb,10
5,Baltimore,Qualifying (Regional/City),Quintuple Steps,1
5,Baltimore,Qualifying (Regional/City),Downhill Jump,2
5,Baltimore,Qualifying (Regional/City),Prism Tilt,3
5,Baltimore,Qualifying (Regional/City),Swing Jump,4
5,Baltimore,Qualifying (Regional/City),Circle Cross,5
5,Baltimore,Qualifying (Regional/City),Warped Wall,6
5,Baltimore,Finals (Regional/City),Quintuple Steps,1
5,Baltimore,Finals (Regional/City),Downhill Jump,2
5,Baltimore,Finals (Regional/City),Prism Tilt,3
5,Baltimore,Finals (Regional/City),Swing Jump,4
5,Baltimore,Finals (Regional/City),Circle Cross,5
5,Baltimore,Finals (Regional/City),Warped Wall,6
5,Baltimore,Finals (Regional/City),Salmon Ladder,7
5,Baltimore,Finals (Regional/City),Rumbling Dice,8
5,Baltimore,Finals (Regional/City),Body Prop,9
5,Baltimore,Finals (Regional/City),Spider Climb,10
5,Miami,Qualifying (Regional/City),Quintuple Steps,1
5,Miami,Qualifying (Regional/City),Utility Pole Slider,2
5,Miami,Qualifying (Regional/City),Balance Bridge,3
5,Miami,Qualifying (Regional/City),Slider Jump,4
5,Miami,Qualifying (Regional/City),Monkey Pegs,5
5,Miami,Qualifying (Regional/City),Warped Wall,6
5,Miami,Finals (Regional/City),Quintuple Steps,1
5,Miami,Finals (Regional/City),Utility Pole Slider,2
5,Miami,Finals (Regional/City),Balance Bridge,3
5,Miami,Finals (Regional/City),Slider Jump,4
5,Miami,Finals (Regional/City),Monkey Pegs,5
5,Miami,Finals (Regional/City),Warped Wall,6
5,Miami,Finals (Regional/City),Salmon Ladder,7
5,Miami,Finals (Regional/City),Ledge Jump,8
5,Miami,Finals (Regional/City),Rolling Steel,9
5,Miami,Finals (Regional/City),Spider Climb,10
5,Denver,Qualifying (Regional/City),Quintuple Steps,1
5,Denver,Qualifying (Regional/City),Rolling Log,2
5,Denver,Qualifying (Regional/City),Rotating Bridge,3
5,Denver,Qualifying (Regional/City),Jump Hang Kai,4
5,Denver,Qualifying (Regional/City),Grip Hang,5
5,Denver,Qualifying (Regional/City),Warped Wall,6
5,Denver,Finals (Regional/City),Quintuple Steps,1
5,Denver,Finals (Regional/City),Rolling Log,2
5,Denver,Finals (Regional/City),Rotating Bridge,3
5,Denver,Finals (Regional/City),Jump Hang Kai,4
5,Denver,Finals (Regional/City),Grip Hang,5
5,Denver,Finals (Regional/City),Warped Wall,6
5,Denver,Finals (Regional/City),Salmon Ladder,7
5,Denver,Finals (Regional/City),Floating Stairs,8
5,Denver,Finals (Regional/City),Pole Grasper,9
5,Denver,Finals (Regional/City),Spider Climb,10
5,Las Vegas,National Finals - Stage 1,Timbers,1
5,Las Vegas,National Finals - Stage 1,Giant Ring,2
5,Las Vegas,National Finals - Stage 1,Rope Glider,3
5,Las Vegas,National Finals - Stage 1,Jumping Spider,4
5,Las Vegas,National Finals - Stage 1,Half-Pipe Attack,5
5,Las Vegas,National Finals - Stage 1,Warped Wall,6
5,Las Vegas,National Finals - Stage 1,Spinning Bridge,7
5,Las Vegas,National Finals - Stage 1,Tarzan Rope,8
5,Las Vegas,National Finals - Stage 1,Rope Ladder,9
5,Las Vegas,National Finals - Stage 2,Hang Slider,1
5,Las Vegas,National Finals - Stage 2,Double Salmon Ladder,2
5,Las Vegas,National Finals - Stage 2,Unstable Bridge,3
5,Las Vegas,National Finals - Stage 2,Balance Tank,4
5,Las Vegas,National Finals - Stage 2,Metal Spin,5
5,Las Vegas,National Finals - Stage 2,Wall Lift,6
5,Las Vegas,National Finals - Stage 3,Roulette Cylinder,1
5,Las Vegas,National Finals - Stage 3,Doorknob Grasper,2
5,Las Vegas,National Finals - Stage 3,Floating Boards,3
5,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,4
5,Las Vegas,National Finals - Stage 3,Bungee Rope Climb,5
5,Las Vegas,National Finals - Stage 3,Hang Climb,6
5,Las Vegas,National Finals - Stage 3,Spider Flip,7
5,Las Vegas,National Finals - Stage 3,Flying Bar,8
5,Las Vegas,National Finals - Stage 4,Rope Climb,1
6,Venice,Qualifying (Regional/City),Quintuple Steps,1
6,Venice,Qualifying (Regional/City),Spinning Wheel,2
6,Venice,Qualifying (Regional/City),Slack Ladder,3
6,Venice,Qualifying (Regional/City),Jumping Bars into Cargo Net,4
6,Venice,Qualifying (Regional/City),Monkey Pegs,5
6,Venice,Qualifying (Regional/City),Warped Wall,6
6,Venice,Finals (Regional/City),Quintuple Steps,1
6,Venice,Finals (Regional/City),Spinning Wheel,2
6,Venice,Finals (Regional/City),Slack Ladder,3
6,Venice,Finals (Regional/City),Jumping Bars into Cargo Net,4
6,Venice,Finals (Regional/City),Monkey Pegs,5
6,Venice,Finals (Regional/City),Warped Wall,6
6,Venice,Finals (Regional/City),Salmon Ladder,7
6,Venice,Finals (Regional/City),Cannonball Alley,8
6,Venice,Finals (Regional/City),Body Prop,9
6,Venice,Finals (Regional/City),Spider Climb,10
6,Dallas,Qualifying (Regional/City),Quintuple Steps,1
6,Dallas,Qualifying (Regional/City),Log Grip,2
6,Dallas,Qualifying (Regional/City),Tilting Table,3
6,Dallas,Qualifying (Regional/City),Swing Jump,4
6,Dallas,Qualifying (Regional/City),Ring Toss,5
6,Dallas,Qualifying (Regional/City),Warped Wall,6
6,Dallas,Finals (Regional/City),Quintuple Steps,1
6,Dallas,Finals (Regional/City),Log Grip,2
6,Dallas,Finals (Regional/City),Tilting Table,3
6,Dallas,Finals (Regional/City),Swing Jump,4
6,Dallas,Finals (Regional/City),Ring Toss,5
6,Dallas,Finals (Regional/City),Warped Wall,6
6,Dallas,Finals (Regional/City),Salmon Ladder,7
6,Dallas,Finals (Regional/City),Swinging Frames,8
6,Dallas,Finals (Regional/City),Pole Grasper,9
6,Dallas,Finals (Regional/City),Spider Climb,10
6,St. Louis,Qualifying (Regional/City),Quintuple Steps,1
6,St. Louis,Qualifying (Regional/City),Rolling Log,2
6,St. Louis,Qualifying (Regional/City),Bridge of Blades,3
6,St. Louis,Qualifying (Regional/City),Rope Swing Into Cargo Net,4
6,St. Louis,Qualifying (Regional/City),Double Tilt Ladder,5
6,St. Louis,Qualifying (Regional/City),Warped Wall,6
6,St. Louis,Finals (Regional/City),Quintuple Steps,1
6,St. Louis,Finals (Regional/City),Rolling Log,2
6,St. Louis,Finals (Regional/City),Bridge of Blades,3
6,St. Louis,Finals (Regional/City),Rope Swing Into Cargo Net,4
6,St. Louis,Finals (Regional/City),Double Tilt Ladder,5
6,St. Louis,Finals (Regional/City),Warped Wall,6
6,St. Louis,Finals (Regional/City),Salmon Ladder,7
6,St. Louis,Finals (Regional/City),Rumbling Dice,8
6,St. Louis,Finals (Regional/City),Crazy Cliffhanger,9
6,St. Louis,Finals (Regional/City),Spider Climb,10
6,Miami,Qualifying (Regional/City),Quintuple Steps,1
6,Miami,Qualifying (Regional/City),Downhill Pipe Drop,2
6,Miami,Qualifying (Regional/City),Dancing Stones,3
6,Miami,Qualifying (Regional/City),Jump Hang,4
6,Miami,Qualifying (Regional/City),Curtain Slider,5
6,Miami,Qualifying (Regional/City),Warped Wall,6
6,Miami,Finals (Regional/City),Quintuple Steps,1
6,Miami,Finals (Regional/City),Downhill Pipe Drop,2
6,Miami,Finals (Regional/City),Dancing Stones,3
6,Miami,Finals (Regional/City),Jump Hang,4
6,Miami,Finals (Regional/City),Curtain Slider,5
6,Miami,Finals (Regional/City),Warped Wall,6
6,Miami,Finals (Regional/City),Salmon Ladder,7
6,Miami,Finals (Regional/City),Minefield,8
6,Miami,Finals (Regional/City),Floating Stairs,9
6,Miami,Finals (Regional/City),Spider Climb,10
6,Denver,Qualifying (Regional/City),Quintuple Steps,1
6,Denver,Qualifying (Regional/City),Cat Grab,2
6,Denver,Qualifying (Regional/City),Spinning Log,3
6,Denver,Qualifying (Regional/City),Spikes Into Cargo Net,4
6,Denver,Qualifying (Regional/City),Devil Steps,5
6,Denver,Qualifying (Regional/City),Warped Wall,6
6,Denver,Finals (Regional/City),Quintuple Steps,1
6,Denver,Finals (Regional/City),Cat Grab,2
6,Denver,Finals (Regional/City),Spinning Log,3
6,Denver,Finals (Regional/City),Spikes Into Cargo Net,4
6,Denver,Finals (Regional/City),Devil Steps,5
6,Denver,Finals (Regional/City),Warped Wall,6
6,Denver,Finals (Regional/City),Salmon Ladder,7
6,Denver,Finals (Regional/City),Arm Rings,8
6,Denver,Finals (Regional/City),Doorknob Arch,9
6,Denver,Finals (Regional/City),Spider Climb,10
6,Las Vegas,National Finals - Stage 1,Piston Road,1
6,Las Vegas,National Finals - Stage 1,Giant Ring,2
6,Las Vegas,National Finals - Stage 1,Silk Slider,3
6,Las Vegas,National Finals - Stage 1,Jumping Spider,4
6,Las Vegas,National Finals - Stage 1,Half-Pipe Attack,5
6,Las Vegas,National Finals - Stage 1,Warped Wall,6
6,Las Vegas,National Finals - Stage 1,Spinning Bridge,7
6,Las Vegas,National Finals - Stage 1,Tarzan Rope,8
6,Las Vegas,National Finals - Stage 1,Rope Ladder,9
6,Las Vegas,National Finals - Stage 2,Rope Jungle,1
6,Las Vegas,National Finals - Stage 2,Double Salmon Ladder,2
6,Las Vegas,National Finals - Stage 2,Unstable Bridge,3
6,Las Vegas,National Finals - Stage 2,Butterfly Wall,4
6,Las Vegas,National Finals - Stage 2,Metal Spin,5
6,Las Vegas,National Finals - Stage 2,Wall Lift,6
6,Las Vegas,National Finals - Stage 3,Cannonball Incline,1
6,Las Vegas,National Finals - Stage 3,Doorknob Grasper,2
6,Las Vegas,National Finals - Stage 3,Floating Boards,3
6,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,4
6,Las Vegas,National Finals - Stage 3,Propeller Bar,5
6,Las Vegas,National Finals - Stage 3,Hang Climb,6
6,Las Vegas,National Finals - Stage 3,Spider Flip,7
6,Las Vegas,National Finals - Stage 3,Flying Bar,8
6,Las Vegas,National Finals - Stage 4,Rope Climb,1
7,Pittsburgh,Qualifying (Regional/City),Quintuple Steps,1
7,Pittsburgh,Qualifying (Regional/City),Log Grip,2
7,Pittsburgh,Qualifying (Regional/City),Snake Crossing,3
7,Pittsburgh,Qualifying (Regional/City),Wind Chimes,4
7,Pittsburgh,Qualifying (Regional/City),Devil Steps,5
7,Pittsburgh,Qualifying (Regional/City),Warped Wall,6
7,Pittsburgh,Finals (Regional/City),Quintuple Steps,1
7,Pittsburgh,Finals (Regional/City),Log Grip,2
7,Pittsburgh,Finals (Regional/City),Snake Crossing,3
7,Pittsburgh,Finals (Regional/City),Wind Chimes,4
7,Pittsburgh,Finals (Regional/City),Devil Steps,5
7,Pittsburgh,Finals (Regional/City),Warped Wall,6
7,Pittsburgh,Finals (Regional/City),Salmon Ladder,7
7,Pittsburgh,Finals (Regional/City),Floating Monkey Bars,8
7,Pittsburgh,Finals (Regional/City),Doorknob Arch,9
7,Pittsburgh,Finals (Regional/City),Invisible Ladder,10
7,Orlando,Qualifying (Regional/City),Quintuple Steps,1
7,Orlando,Qualifying (Regional/City),Rolling Log,2
7,Orlando,Qualifying (Regional/City),Paddle Boards,3
7,Orlando,Qualifying (Regional/City),Tire Swing,4
7,Orlando,Qualifying (Regional/City),Double Tilt Ladder,5
7,Orlando,Qualifying (Regional/City),Warped Wall,6
7,Orlando,Finals (Regional/City),Quintuple Steps,1
7,Orlando,Finals (Regional/City),Rolling Log,2
7,Orlando,Finals (Regional/City),Paddle Boards,3
7,Orlando,Finals (Regional/City),Tire Swing,4
7,Orlando,Finals (Regional/City),Double Tilt Ladder,5
7,Orlando,Finals (Regional/City),Warped Wall,6
7,Orlando,Finals (Regional/City),Salmon Ladder,7
7,Orlando,Finals (Regional/City),Cannonball Alley,8
7,Orlando,Finals (Regional/City),Double Helix,9
7,Orlando,Finals (Regional/City),Invisible Ladder,10
7,Kansas City,Qualifying (Regional/City),Quintuple Steps,1
7,Kansas City,Qualifying (Regional/City),Big Dipper,2
7,Kansas City,Qualifying (Regional/City),Floating Tiles,3
7,Kansas City,Qualifying (Regional/City),(Modified) Ring Toss,4
7,Kansas City,Qualifying (Regional/City),Bungee Road,5
7,Kansas City,Qualifying (Regional/City),Warped Wall,6
7,Kansas City,Finals (Regional/City),Quintuple Steps,1
7,Kansas City,Finals (Regional/City),Big Dipper,2
7,Kansas City,Finals (Regional/City),Floating Tiles,3
7,Kansas City,Finals (Regional/City),(Modified) Ring Toss,4
7,Kansas City,Finals (Regional/City),Bungee Road,5
7,Kansas City,Finals (Regional/City),Warped Wall,6
7,Kansas City,Finals (Regional/City),Salmon Ladder,7
7,Kansas City,Finals (Regional/City),Flying Shelf Grab,8
7,Kansas City,Finals (Regional/City),Body Prop,9
7,Kansas City,Finals (Regional/City),Invisible Ladder,10
7,Venice,Qualifying (Regional/City),Quintuple Steps,1
7,Venice,Qualifying (Regional/City),Mini Silk Slider,2
7,Venice,Qualifying (Regional/City),Tilting Table,3
7,Venice,Qualifying (Regional/City),Spin Cycle,4
7,Venice,Qualifying (Regional/City),Hourglass Drop,5
7,Venice,Qualifying (Regional/City),Warped Wall,6
