animeID,name,title_english,title_japanese,title_synonyms,type,source,producers,genre,studio,episodes,status,airing,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,background,premiered,broadcast,related
485,Damekko Doubutsu,NA,だめっこどうぶつ,"['Damekko Dobutsu', 'Useless Animals']",TV,4-koma manga,"['SKY Perfect Well Think', 'Kids Station', 'Takeshobo']","['Slice of Life', 'Comedy']",['Magic Bus'],26,Finished Airing,FALSE,"{'from': '2005-01-17T00:00:00+00:00', 'to': '2005-02-21T00:00:00+00:00', 'prop': {'from': {'day': 17, 'month': 1, 'year': 2005}, 'to': {'day': 21, 'month': 2, 'year': 2005}}, 'string': 'Jan 17, 2005 to Feb 21, 2005'}",5 min per ep,G - All Ages,7.38,4609,2146,4127,9120,59,"Uruno, a useless wolf, is on the road searching for a new place to call home. He soon comes upon a whole forest full of ""useless animals""-- that is, animals that don't live up to their species' usual character. After a short fight with the smoking, bad-tempered rabbit, Usahara, Uruno decides that he wants to move on... but changes his mind upon meeting Chiiko, a clumsy cheetah girl. It's love at first sight for Uruno, and after deciding to stay for her, he continues to hope that even though he's a good-for-nothing, he'll win her over someday. That is, if living with the other strange residents of the forest-- including the aformentioned smoking rabbit, a sake-drinking unicorn, a near-sighted eagle, an orca that cannot swim, and a shy pegasus --doesn't get to him first.",NA,Winter 2005,Unknown,"{'Adaptation': [{'mal_id': 4828, 'type': 'manga', 'name': 'Damekko Doubutsu', 'url': 'https://myanimelist.net/manga/4828/Damekko_Doubutsu'}]}"
486,Kino no Tabi: The Beautiful World,Kino's Journey,キノの旅 -the Beautiful World-,"[""Kino's Travels: The Beautiful World""]",TV,Light novel,"['WOWOW', 'Genco', 'Pony Canyon', 'Studio Wombat', 'chara-ani.com', 'ASCII Media Works']","['Action', 'Adventure', 'Psychological', 'Slice of Life']",['A.C.G.T.'],13,Finished Airing,FALSE,"{'from': '2003-04-08T00:00:00+00:00', 'to': '2003-07-08T00:00:00+00:00', 'prop': {'from': {'day': 8, 'month': 4, 'year': 2003}, 'to': {'day': 8, 'month': 7, 'year': 2003}}, 'string': 'Apr 8, 2003 to Jul 8, 2003'}",24 min per ep,R - 17+ (violence & profanity),8.41,55378,167,574,161520,4886,"Based on a light novel series by Keiichi Sigsawa, the philosophical Kino no Tabi employs the time-honored motif of the road trip as a vehicle for self-discovery and universal truth. Deeply meditative and cooler than zero, the series follows the existential adventures of the apt markswoman Kino along with talking motorcycle Hermes as they travel the world and learn much about themselves in the process. Imaginative, thought-provoking, and sometimes disturbing, Kino's journey is documented in an episodic style with an emphasis on atmosphere rather than action or plot, though still prevalent.",NA,Spring 2003,Tuesdays at 18:30 (JST),"{'Adaptation': [{'mal_id': 399, 'type': 'manga', 'name': 'Kino no Tabi: The Beautiful World', 'url': 'https://myanimelist.net/manga/399/Kino_no_Tabi__The_Beautiful_World'}], 'Prequel': [{'mal_id': 1379, 'type': 'anime', 'name': 'Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.', 'url': 'https://myanimelist.net/anime/1379/Kino_no_Tabi__Nanika_wo_Suru_Tame_ni_-_Life_Goes_On'}], 'Sequel': [{'mal_id': 2175, 'type': 'anime', 'name': 'Kino no Tabi: The Beautiful World - Byouki no Kuni - For You', 'url': 'https://myanimelist.net/anime/2175/Kino_no_Tabi__The_Beautiful_World_-_Byouki_no_Kuni_-_For_You'}], 'Side story': [{'mal_id': 3466, 'type': 'anime', 'name': 'Kino no Tabi: The Beautiful World - Tou no Kuni', 'url': 'https://myanimelist.net/anime/3466/Kino_no_Tabi__The_Beautiful_World_-_Tou_no_Kuni'}], 'Character': [{'mal_id': 6628, 'type': 'anime', 'name': 'Dengeki Bunko 2007 Movie Festival Special', 'url': 'https://myanimelist.net/anime/6628/Dengeki_Bunko_2007_Movie_Festival_Special'}], 'Alternative version': [{'mal_id': 35079, 'type': 'anime', 'name': 'Kino no Tabi: The Beautiful World - The Animated Series', 'url': 'https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series'}]}"
487,Girls Bravo: Second Season,Girls Bravo: Second Season,GIRLSブラボー second season,[],TV,Manga,"['WOWOW', 'Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'KlockWorx', 'Happinet Pictures', 'Studio Jack']","['Harem', 'Comedy', 'Romance', 'Ecchi', 'Fantasy', 'School', 'Shounen']",['AIC Spirits'],13,Finished Airing,FALSE,"{'from': '2005-01-27T00:00:00+00:00', 'to': '2005-04-21T00:00:00+00:00', 'prop': {'from': {'day': 27, 'month': 1, 'year': 2005}, 'to': {'day': 21, 'month': 4, 'year': 2005}}, 'string': 'Jan 27, 2005 to Apr 21, 2005'}",23 min per ep,R+ - Mild Nudity,6.81,38209,4371,1330,69070,136,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him. (Source: ANN)",NA,Winter 2005,Unknown,"{'Adaptation': [{'mal_id': 325, 'type': 'manga', 'name': 'Girls Bravo', 'url': 'https://myanimelist.net/manga/325/Girls_Bravo'}], 'Prequel': [{'mal_id': 241, 'type': 'anime', 'name': 'Girls Bravo: First Season', 'url': 'https://myanimelist.net/anime/241/Girls_Bravo__First_Season'}]}"
489,Kamichu!,Kamichu!,かみちゅ!,"['Kami-chu!: Kami-sama wa Chuugakusei', 'The Goddess is a Middle School Student']",TV,Original,['Aniplex'],"['Comedy', 'Drama', 'Slice of Life', 'Supernatural']","[""Brain's Base""]",12,Finished Airing,FALSE,"{'from': '2005-06-29T00:00:00+00:00', 'to': '2005-09-27T00:00:00+00:00', 'prop': {'from': {'day': 29, 'month': 6, 'year': 2005}, 'to': {'day': 27, 'month': 9, 'year': 2005}}, 'string': 'Jun 29, 2005 to Sep 27, 2005'}",26 min per ep,G - All Ages,7.46,13187,1811,1878,42572,207,"Yurie Hitotsubashi was just an average middle school student living in the city of Onomichi on Japan's inland sea in the easygoing times of the 1980s. She spent her days worrying about exams and trying to get Kenji, the clueless boy she likes, to notice her. Then during lunch one day she suddenly announces to her friend Mitsue that the night before she had become a goddess. Their classmate Matsuri quickly latches on to Yurie's newfound divinity as a way to promote her family's bankrupt Shinto shrine. She hopes that replacing their hapless local god, Yashima-sama, with Yurie will make the shrine more popular (and profitable). Now, with Matsuri as her manager, Yurie has to grant wishes, cure curses, meet aliens, and attend god conventions. All the while attending school and working-up the courage to confess to Kenji. The DVD/BD box set includes the Kamichu! Specials episodes. For a complete list of episodes and the order they're included in the box set, see the More Info tab.",The series won an Excellence Prize for animation at the 2005 Japan Media Arts Festival.,Summer 2005,Unknown,"{'Adaptation': [{'mal_id': 1690, 'type': 'manga', 'name': 'Kamichu!', 'url': 'https://myanimelist.net/manga/1690/Kamichu'}], 'Side story': [{'mal_id': 3449, 'type': 'anime', 'name': 'Kamichu! Specials', 'url': 'https://myanimelist.net/anime/3449/Kamichu_Specials'}]}"
490,Paniponi Dash!,Pani Poni Dash!,ぱにぽにだっしゅ！,[],TV,Manga,"['Square Enix', 'Starchild Records', 'GANSIS']","['Comedy', 'Parody', 'School']",['Shaft'],26,Finished Airing,FALSE,"{'from': '2005-07-04T00:00:00+00:00', 'to': '2005-12-26T00:00:00+00:00', 'prop': {'from': {'day': 4, 'month': 7, 'year': 2005}, 'to': {'day': 26, 'month': 12, 'year': 2005}}, 'string': 'Jul 4, 2005 to Dec 26, 2005'}",24 min per ep,PG-13 - Teens 13 or older,7.52,15776,1615,1766,46228,354,"The 11-year-old Miyamoto Rebecca becomes the new teacher of a classroom which is full of weirdos. Despite her cute looks she's a little beast and can be pretty sarcastic and offensive. The school is not safe anymore now that she's in charge of a class and her students, Himeko, Ichijou, Rei and a white rabbit who took a liking to Rebecca help her to rough up the school and the neighbor with its teacher ""ojii-chan."" (Source: ANN)",NA,Summer 2005,Mondays at 01:30 (JST),"{'Adaptation': [{'mal_id': 3002, 'type': 'manga', 'name': 'PaniPoni', 'url': 'https://myanimelist.net/manga/3002/PaniPoni'}], 'Sequel': [{'mal_id': 5419, 'type': 'anime', 'name': 'Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku', 'url': 'https://myanimelist.net/anime/5419/Paniponi_Dash__Danjite_Okonaeba_Kishin_mo_Kore_wo_Saku'}]}"
495,Bakuretsu Hunters,Sorcerer Hunters,爆れつハンター,['Spell Wars: Sorcerer Hunters Revenge'],TV,Manga,"['Sotsu', 'Movic', 'TV Tokyo Music']","['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",['Xebec'],26,Finished Airing,FALSE,"{'from': '1995-10-03T00:00:00+00:00', 'to': '1996-03-26T00:00:00+00:00', 'prop': {'from': {'day': 3, 'month': 10, 'year': 1995}, 'to': {'day': 26, 'month': 3, 'year': 1996}}, 'string': 'Oct 3, 1995 to Mar 26, 1996'}",25 min per ep,R - 17+ (violence & profanity),6.8,4740,4410,3453,14038,34,"In the continent of spooner, sorcerers, who are the continent's aristocrats, have begun to abuse their powers. Under the guidance of Big Momma (their boss) Carrot (who turns into a giant monster every time he's placed under a magic spell), Gateau (a bodybuilder), Marron (a mage), Chocolate and Tira (who can transform into dominatrix's at will) must stop the evil sorcerers from picking on the weak; however, none of them (except maybe Marron) have a clue to what's going on. (Source: ANN)",NA,Fall 1995,Tuesdays at 18:00 (JST),"{'Adaptation': [{'mal_id': 140, 'type': 'manga', 'name': 'Bakuretsu Hunters', 'url': 'https://myanimelist.net/manga/140/Bakuretsu_Hunters'}], 'Sequel': [{'mal_id': 808, 'type': 'anime', 'name': 'Bakuretsu Hunters OVA', 'url': 'https://myanimelist.net/anime/808/Bakuretsu_Hunters_OVA'}], 'Spin-off': [{'mal_id': 1228, 'type': 'anime', 'name': 'Chivas 1-2-3', 'url': 'https://myanimelist.net/anime/1228/Chivas_1-2-3'}]}"
496,Kamui no Ken,NA,カムイの剣,"['Dagger of Kamui', 'Blade of Kamui', 'Revenge of the Ninja Warrior']",Movie,Novel,"['Kadokawa Shoten', 'AnimEigo']","['Adventure', 'Fantasy', 'Historical', 'Drama', 'Shounen']",['Madhouse'],1,Finished Airing,FALSE,"{'from': '1985-09-03T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': None, 'month': None, 'year': None}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Sep 3, 1985'}",2 hr 12 min,PG-13 - Teens 13 or older,6.67,1371,5010,5758,3984,11,"A young boy named Jiro finds his mother and sister murdered in his home. Falsely accused of the crime, he flees from his village and meets a priest named Tenkai, who has him kill a rogue ninja named Tarouza. After fulfilling that task, Jiro undergoes training to become a master assassin. Many years later, Jiro finds out that he was an orphan and his real father was Tarouza, who had worked for Tenkai until he aborted his mission when he fell in love with an Ainu woman. The young ninja discovers that the Shogunate was to retrieve the lost treasure of Captain Kidd and use it to once again isolate Japan from the rest of the world. Using the clues that Tarouza had kept secret, Jiro—along with the female ninja Oyuki and a slave named Sam—travels to Russia and America to search for the treasure in hopes of using it to extract revenge from Tenkai. (Source: ANN)",NA,NA,NA,{}
497,Yami to Boushi to Hon no Tabibito,"Yamibo: Darkness, The Hat and the Travelers of the Books",ヤミと帽子と本の旅人,"['YamiBou', 'Traveller of Darkness', 'Hat and Book Traveler', 'Traveller Yami', 'Hat and Book']",TV,Visual novel,[],"['Adventure', 'Ecchi', 'Fantasy', 'Magic', 'Mystery', 'Shoujo Ai']",['Studio Deen'],13,Finished Airing,FALSE,"{'from': '2003-10-02T00:00:00+00:00', 'to': '2003-12-25T00:00:00+00:00', 'prop': {'from': {'day': 2, 'month': 10, 'year': 2003}, 'to': {'day': 25, 'month': 12, 'year': 2003}}, 'string': 'Oct 2, 2003 to Dec 25, 2003'}",24 min per ep,R+ - Mild Nudity,6.66,8218,5093,2743,22202,102,"Hatsuki is a highschool student living with her sister, Hatsumi, who she has a huge crush on. On Hatsumi's 16th birthday, she is suddenly surrounded by a green light and disappears in front of Hatsuki. She manages to follow Hatsumi with the help of a being resembling a fat baby chick (literally), ending up in a place called ""The Great Library"", which is full of different worlds stored in books. Hatsumi wasn't there, though, so the search for Hatsuki's great love begins and involves traveling from book to book. (Source: AniDB)",NA,Fall 2003,Unknown,"{'Adaptation': [{'mal_id': 3740, 'type': 'manga', 'name': 'Yami to Boushi to Hon no Tabibito: Romance', 'url': 'https://myanimelist.net/manga/3740/Yami_to_Boushi_to_Hon_no_Tabibito__Romance'}], 'Spin-off': [{'mal_id': 2105, 'type': 'anime', 'name': 'Touka Gettan', 'url': 'https://myanimelist.net/anime/2105/Touka_Gettan'}]}"
498,Haja Taisei Dangaiou,Great Planet Evil-Destroyer Dangaio,破邪大星弾劾凰 [ダンガイオー],"['Dangaioh', 'Dangaio', 'Dangaioh: Hyper Combat Unit', 'Haja Taisei Dangaio']",OVA,Original,['Network'],"['Action', 'Sci-Fi', 'Adventure', 'Mecha']",['AIC'],3,Finished Airing,FALSE,"{'from': '1987-09-28T00:00:00+00:00', 'to': '1989-07-25T00:00:00+00:00', 'prop': {'from': {'day': 28, 'month': 9, 'year': 1987}, 'to': {'day': 25, 'month': 7, 'year': 1989}}, 'string': 'Sep 28, 1987 to Jul 25, 1989'}",45 min per ep,PG-13 - Teens 13 or older,6.22,1312,6958,6005,3590,7,"Four psychic teenagers—Mia Alice, Roll Kran, Lamba Nom and Pai Thunder—are brainwashed by the scientist Dr. Tarsan as pilots of his greatest experiment—the giant robot Dangaioh. But as their memories slowly return, these pilots use their abilities and Dangaioh to combat the tyranny of Captain Galimos and the Bunker Space Pirates. (Source: ANN)",NA,NA,NA,"{'Sequel': [{'mal_id': 2521, 'type': 'anime', 'name': 'Haja Kyosei G Dangaiou', 'url': 'https://myanimelist.net/anime/2521/Haja_Kyosei_G_Dangaiou'}]}"
499,Makai Toshi Shinjuku,Demon City Shinjuku,魔界都市〈新宿〉,['Monster City Shinjuku'],OVA,Novel,['Japan Home Video'],"['Adventure', 'Horror', 'Romance', 'Shounen', 'Supernatural']",['Madhouse'],1,Finished Airing,FALSE,"{'from': '1988-10-25T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': None, 'month': None, 'year': None}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Oct 25, 1988'}",1 hr 19 min,R - 17+ (violence & profanity),6.28,4886,6724,3924,10303,24,"Kyoya's father was a great warrior, killed at the hands of the diabolical psychic, Rebi Ra, who has now opened a portal to hell in the city of Shinjuku. It falls to Kyoya to finish what his father started and battle his way through demons, while protecting a young woman from harm. The only problem is that he's not exactly your classic hero type, and his powers are still latent. (Source: ANN)",NA,NA,NA,"{'Adaptation': [{'mal_id': 16349, 'type': 'manga', 'name': 'Makai Toshi Hunter', 'url': 'https://myanimelist.net/manga/16349/Makai_Toshi_Hunter'}]}"
501,Doraemon,NA,ドラえもん,['Doraemon (1973)'],TV,Manga,[],"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",[],26,Finished Airing,FALSE,"{'from': '1973-04-01T00:00:00+00:00', 'to': '1973-09-30T00:00:00+00:00', 'prop': {'from': {'day': 1, 'month': 4, 'year': 1973}, 'to': {'day': 30, 'month': 9, 'year': 1973}}, 'string': 'Apr 1, 1973 to Sep 30, 1973'}",25 min per ep,PG - Children,7.44,5716,1866,3696,11781,118,"Nobita Nobi is so hapless that his 22nd century decendants are still impoverished as a result of his 20th century bumbling. In a bid to raise their social status, their servant, a robotic cat named Doraemon, decides to travel back in time and guide Nobita on the proper path to fortune. Unfortunately Doraemon, a dysfunctional robot that the familly acquired by accident (but chose to keep nonetheless), isn't much better off than Nobita. The robot leads Nobita on many adventures, and while Nobita's life certainly is more exciting with the robot cat from the future, it is questionable if it is in fact better in the way that Doraemon planned. (Source: AniDB) Note: The series has been poorly preserved, and never released on any format, nor has it ever been re-aired. Nearly all the footage within the series (except for the opening and closing credits) was destroyed in an accidental fire sometime after the series was cancelled. Surviving reels from the show are occasionally shown at Doraemon fan conventions in Japan. In addition, the audio of several episodes still survives. Still images from episodes 1 and 24 exists. (Source: Wikipedia)",NA,Spring 1973,Sundays at 19:00 (JST),"{'Adaptation': [{'mal_id': 1032, 'type': 'manga', 'name': 'Doraemon', 'url': 'https://myanimelist.net/manga/1032/Doraemon'}], 'Sequel': [{'mal_id': 2471, 'type': 'anime', 'name': 'Doraemon (1979)', 'url': 'https://myanimelist.net/anime/2471/Doraemon_1979'}], 'Prequel': [{'mal_id': 2648, 'type': 'anime', 'name': 'Doraemon: 2112-nen Doraemon Tanjou', 'url': 'https://myanimelist.net/anime/2648/Doraemon__2112-nen_Doraemon_Tanjou'}]}"
502,Dragon Ball Movie 1: Shen Long no Densetsu,Dragon Ball: Curse of the Blood Rubies,ドラゴンボール 神龍の伝説,[],Movie,Manga,[],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']",['Toei Animation'],1,Finished Airing,FALSE,"{'from': '1986-12-20T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': None, 'month': None, 'year': None}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Dec 20, 1986'}",50 min,PG-13 - Teens 13 or older,6.99,22833,3693,1938,40348,34,"A retelling of Dragon Ball's origins, this is a different version of the meeting of Goku, Bulma, Oolong, and Yamucha. They are all looking for the dragon balls for different reasons when they cross paths with an evil king named Gourmeth, who is also looking for the dragon balls. (Source: ANN)",NA,NA,NA,"{'Alternative version': [{'mal_id': 223, 'type': 'anime', 'name': 'Dragon Ball', 'url': 'https://myanimelist.net/anime/223/Dragon_Ball'}, {'mal_id': 893, 'type': 'anime', 'name': 'Dragon Ball Movie 4: Saikyou e no Michi', 'url': 'https://myanimelist.net/anime/893/Dragon_Ball_Movie_4__Saikyou_e_no_Michi'}], 'Sequel': [{'mal_id': 891, 'type': 'anime', 'name': 'Dragon Ball Movie 2: Majinjou no Nemurihime', 'url': 'https://myanimelist.net/anime/891/Dragon_Ball_Movie_2__Majinjou_no_Nemurihime'}]}"
503,Eien no Aselia,The Eternal Aseria,永遠のアセリア,['Eien no Aseria: The Spirit of Eternity Sword'],OVA,Visual novel,"['Studio Matrix', 'Japan Home Video']","['Adventure', 'Drama', 'Fantasy']",[],2,Finished Airing,FALSE,"{'from': '2005-06-24T00:00:00+00:00', 'to': '2006-03-24T00:00:00+00:00', 'prop': {'from': {'day': 24, 'month': 6, 'year': 2005}, 'to': {'day': 24, 'month': 3, 'year': 2006}}, 'string': 'Jun 24, 2005 to Mar 24, 2006'}",30 min per ep,PG-13 - Teens 13 or older,5.57,1217,8768,6019,3568,3,"Yuto Takamine and his younger sister-in-law Kaori, were at their parents' grave, when they were suddenly summoned into another world, Phantasmagoria. The King and a woman named Restina took Kaori as a hostage, and ordered Yuto to fight against their enemies. Then, the King gave him a sword called Motomeh to protect their kingdom from enemy spirits. Kaori will only be freed if Yuto helps protect Phantasmagoria. Thus, Yuto's journey begins... (Source: ANN)",NA,NA,NA,"{'Adaptation': [{'mal_id': 83305, 'type': 'manga', 'name': 'Eien no Aselia: The Spirit of Eternity Sword', 'url': 'https://myanimelist.net/manga/83305/Eien_no_Aselia__The_Spirit_of_Eternity_Sword'}]}"
504,Fatal Fury: The Motion Picture,Fatal Fury: The Motion Picture,餓狼伝説,['Garou Densetsu: The Motion Picture'],Movie,Game,"['Shochiku', 'Nihon Ad Systems', 'Fuji TV']","['Action', 'Adventure', 'Drama', 'Martial Arts', 'Romance', 'Shounen']",[],1,Finished Airing,FALSE,"{'from': '1994-07-16T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': None, 'month': None, 'year': None}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Jul 16, 1994'}",1 hr 36 min,R+ - Mild Nudity,6.69,5257,4917,4184,8781,34,"Young millionaire Laocorn Gaudeamus is on a crusade to recover six pieces of armour said to give the user the powers of Mars—the legendary God of War. Fearing that her twin brother is slowly losing his sanity with every armour piece he collects, Sulia runs to Terry, Andy, Joe and Mai to form their own global crusade to stop Laocorn from opening a potential Pandora's Box and releasing an uncontrollable form of destruction. (Source: ANN)",NA,NA,NA,"{'Spin-off': [{'mal_id': 825, 'type': 'anime', 'name': 'King of Fighters: Another Day', 'url': 'https://myanimelist.net/anime/825/King_of_Fighters__Another_Day'}, {'mal_id': 35204, 'type': 'anime', 'name': 'The King of Fighters: Destiny', 'url': 'https://myanimelist.net/anime/35204/The_King_of_Fighters__Destiny'}], 'Prequel': [{'mal_id': 1799, 'type': 'anime', 'name': 'Fatal Fury: Legend of the Hungry Wolf', 'url': 'https://myanimelist.net/anime/1799/Fatal_Fury__Legend_of_the_Hungry_Wolf'}, {'mal_id': 1800, 'type': 'anime', 'name': 'Fatal Fury 2: The New Battle', 'url': 'https://myanimelist.net/anime/1800/Fatal_Fury_2__The_New_Battle'}]}"
505,Fushigiboshi no☆Futagohime,NA,ふしぎ星の☆ふたご姫,"['Fushigi-boshi no Futago-hime', 'Fushigi Boshi no Futago Hime', 'Twin Princesses of the Wonder Planet', 'Twin Princesses of the Mysterious Star', 'Twin Princess of the Mysterious Planet']",TV,Original,"['TV Tokyo', 'Diomedea', 'Nihon Ad Systems']","['Magic', 'Comedy', 'Shoujo']",['Hal Film Maker'],51,Finished Airing,FALSE,"{'from': '2005-04-02T00:00:00+00:00', 'to': '2006-03-25T00:00:00+00:00', 'prop': {'from': {'day': 2, 'month': 4, 'year': 2005}, 'to': {'day': 25, 'month': 3, 'year': 2006}}, 'string': 'Apr 2, 2005 to Mar 25, 2006'}",24 min per ep,G - All Ages,7.39,2173,2091,4599,6969,70,"In the hollow Mysterious Planet, seven kingdoms co-exist, all of them lit by the Sun's Blessing from the Kingdom of the Sun, in the middle of the planet. The light of the core sun is necessary for the continued existence of all the kingdoms. Yet, something is causing the Sun's Blessing to weaken. If something isn't done, it will be the end of life in the Mysterious Planet. Fortunately, the twin princesses of the Sun Kingdom, Fine and Rein, have been endowed with the magic of the Prominence, and are looking for a way to fix things. (Source: ANN)",NA,Spring 2005,Unknown,"{'Adaptation': [{'mal_id': 11567, 'type': 'manga', 'name': 'Fushigiboshi no Futagohime', 'url': 'https://myanimelist.net/manga/11567/Fushigiboshi_no_Futagohime'}], 'Sequel': [{'mal_id': 1886, 'type': 'anime', 'name': 'Fushigiboshi no☆Futagohime Gyu!', 'url': 'https://myanimelist.net/anime/1886/Fushigiboshi_no☆Futagohime_Gyu'}], 'Summary': [{'mal_id': 29231, 'type': 'anime', 'name': 'Fushigiboshi no☆Futagohime Gyu! Recap', 'url': 'https://myanimelist.net/anime/29231/Fushigiboshi_no☆Futagohime_Gyu_Recap'}]}"
506,Glass no Kamen,NA,ガラスの仮面,['Glass Mask'],TV,Manga,['Studio Jack'],"['Drama', 'Romance', 'Shoujo']",['Eiken'],23,Finished Airing,FALSE,"{'from': '1984-04-09T00:00:00+00:00', 'to': '1984-09-24T00:00:00+00:00', 'prop': {'from': {'day': 9, 'month': 4, 'year': 1984}, 'to': {'day': 24, 'month': 9, 'year': 1984}}, 'string': 'Apr 9, 1984 to Sep 24, 1984'}",24 min per ep,PG-13 - Teens 13 or older,7.46,1628,1806,5006,5679,32,"Kitajima Maya, a 13-year old girl with a talent for acting, was discovered by the reclusive actress Tsukikage. The story follows Maya's growing up, intense training, overcoming challenges, and evolving into the foremost actress of her generation (she is about 20 so far). Maya's greatest rival is Himekawa Ayumi, the beautiful daughter of a famous movie couple. They ultimately vied for the most sought-after role - the ""Crimson Goddess"". An equally important subplot Maya's relationship with the handsome and ruthless entertainment mogul Hayami Masumi, who secretly became her number one fan, but misunderstandings and bad-timing obstructed their romance... (Source: ANN)",NA,Spring 1984,Unknown,"{'Adaptation': [{'mal_id': 1469, 'type': 'manga', 'name': 'Glass no Kamen', 'url': 'https://myanimelist.net/manga/1469/Glass_no_Kamen'}], 'Alternative version': [{'mal_id': 1974, 'type': 'anime', 'name': 'Glass no Kamen (2005)', 'url': 'https://myanimelist.net/anime/1974/Glass_no_Kamen_2005'}, {'mal_id': 3734, 'type': 'anime', 'name': 'Glass no Kamen: Sen no Kamen wo Motsu Shoujo', 'url': 'https://myanimelist.net/anime/3734/Glass_no_Kamen__Sen_no_Kamen_wo_Motsu_Shoujo'}]}"
507,Gravitation: Lyrics of Love,NA,グラビテーション,[],OVA,Manga,"['Aniplex', 'animate Film', 'Movic']","['Comedy', 'Romance', 'Shoujo', 'Shounen Ai']",['Plum'],2,Finished Airing,FALSE,"{'from': '1999-07-23T00:00:00+00:00', 'to': '1999-09-22T00:00:00+00:00', 'prop': {'from': {'day': 23, 'month': 7, 'year': 1999}, 'to': {'day': 22, 'month': 9, 'year': 1999}}, 'string': 'Jul 23, 1999 to Sep 22, 1999'}",26 min per ep,R - 17+ (violence & profanity),7.07,14850,3389,2553,25122,103,"Bad Luck's lead singer and lyricist, Shindou Shuichi, is a total wreck. With deadlines for the band's next album looming, the pressure is on, but the normally energetic Shuichi has become listless and fallen into a writing slump. It's all because Yuki - the great love of his life - has suddenly become cold and distant. Depressed and anxious, Shuichi doesn't want to think about lyrics - he just wants to know how to get Yuki to talk to him! Now, thanks to Shuichi's big mouth bragging to the press about how talented he is, the band can't even hire someone else to write the lyrics for them. If they don't manage to break Shuichi out of his slump soon, it could mean the end of Bad Luck for good! (Source: RightStuf)",NA,NA,NA,"{'Side story': [{'mal_id': 243, 'type': 'anime', 'name': 'Gravitation', 'url': 'https://myanimelist.net/anime/243/Gravitation'}]}"
