grant_number,project_title,termination_letter_date,org_name,org_city,org_state,org_district,usaspending_obligated,award_type,directorate_abbrev,directorate,division,nsf_program_name,nsf_url,usaspending_url,nsf_startdate,nsf_expected_end_date,org_zip,org_uei,abstract,in_cruz_list
2115971,Intercultural Science Communication Research and Training to Broaden Participation Among Historically Minoritized Science Practitioners,2025-04-25,University of Rhode Island,KINGSTON,RI,RI02,1488961,Continuing Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,AISL,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2115971,https://www.usaspending.gov/award/ASST_NON_2115971_4900,2021-09-01,2026-08-31,028811974,CJDNG9D14MW7,"Among scientists, science communication is an increasingly important area of practice, scholarship, and research, especially with early career scientists. The growing interest in combating widespread disinformation and inaccurate public perception of science has increased demand for training in science communication; however, there is a significant gap in both research and training for scientists from diverse racial and ethnic cultural backgrounds. The project will address this knowledge and research gap by applying intercultural communication theory to the design, development, and testing of a new curriculum that will provide evidence-based methods to make science communication trainings inclusive and intersectional. The curriculum will be designed and evaluated to build capacity among science communication trainers and practitioners. Sixty pre-tenure environmental science faculty of diverse racial and ethnic backgrounds will be trained in strategic science communication skills using cultural perspectives and academic goals in science communication. The project will gather research data in collaboration with the national SciComm Trainers Network. In addition to advancing science communication research, training, and practice, the project will implement a novel, peer-reviewed podcast for broader impact. The project Fellows will be prepared to engage in a wide range of science communication activities throughout their careers and lead related efforts at their home institutions. Following a final workshop to develop culturally responsive guidance for science communication trainers, the project team will share findings to the field to inform future practice and societal impacts from advancing culturally relevant science communication in training programs. This Innovations in Development project is funded by the Advancing Informal STEM Learning (AISL) program, which seeks to (a) advance new approaches to and evidence-based understanding of the design and development of STEM learning in informal environments; (b) provide multiple pathways for broadening access to and engagement in STEM learning experiences; (c) advance innovative research on and assessment of STEM learning in informal environments; and (d) engage the public of all ages in learning STEM in informal environments.    The project will address two significant gaps in science communication and intercultural communication research. First, despite the recognition that more research about race and ethnicity is needed in science communication, few studies have been conducted. Second, while findings on intercultural communication research are consistent across fields, such as health communication and business communication, the research has yet to examine how well-established theories in this area of study apply to the unique norms and processes of science. Investigators will test a novel theoretical framework grounded in two intercultural communication theories: identity negotiation theory and communication accommodation theory. The project will test the extent to which the professional norms and processes of STEM and academia relate to cultural norms and communication styles of underrepresented racial and ethnic minority scientists, and how these factors influence their science communication efforts. The project will use a mixed methods approach including in-depth interviews and surveys. The results of the study will be used to develop and adapt culturally tailored science communication training for 60 pre-tenure environmental science faculty from underrepresented groups. The results of the project will provide evidence to make science communication training and practice more inclusive and effective. The collaboration with the national SciComm Trainers Network will ensure broad dissemination and professional application of project findings. The project will increase representation of racial and ethnic minority scientists as science communicators, including in environmental news coverage; provide a new peer-reviewed podcast series for public audiences that will introduce listeners to environmental research through a culturally responsive lens; provide tested methods for designing inclusive and effective science communication training curricula; and will inform faculty efforts to incorporate science communication activities as part of career advancement.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2326704,Conference: Equity and Inclusion in Research Failure Disclosure,2025-04-25,University of Virginia Main Campus,CHARLOTTESVILLE,VA,VA05,200000,Standard Grant,EDU,STEM Education,Equity for Excellence in STEM,ADVANCE,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2326704,https://www.usaspending.gov/award/ASST_NON_2326704_4900,2023-10-01,2025-09-30,229034833,JJG6HU8PA4S5,"The University of Virginia (UVA) ADVANCE conference project will support a convening on the issue of failure disclosure in the sciences, with particular attention given to inequalities of failure as experienced by women faculty in STEM. Potential topics for the convening include, equitable approaches to failure and failure disclosure at the institutional level; unexpected outcomes: reporting/publishing failed research; and ethical dimensions of failure disclosure for women in STEM. The in-person conference is planned for 2024 and includes pre and post conference components to support outreach and communication of findings from the conference. Conference participants will come from across the US and include different STEM disciplines, faculty ranks and appointment types, and institution types. UVA will strategically partner with the Society of STEM Women of Color (SSWOC) and the Women in Research group (WinR).      The existing literature on research failure reporting in STEM and the potential benefits of increasing reporting research failure does not sufficiently examine the different consequences of failure disclosure based on the underrepresented status of the person doing the disclosing. This work rarely considers what can occur when failure disclosure is done uncritically, especially when it ignores questions of power, gender, race, and the competitive context in which academic science is practiced. The conference thus will seek to ensure relevant questions are raised about the equity of failure reporting by consulting with STEM faculty women of color such as: Who is permitted to fail, for whom is failure safe, and why? Who has gained the institutional credibility to publicly engage with failure? Whose failure stories inspire, and whose invite blame and negative evaluation?    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",TRUE
2206125,Collaborative Research: EAGER: Using allies to expand your network: Implementing a psychological methodology to attract and retain underrepresented (UR) students in geoscience,2025-04-25,Texas Tech University,LUBBOCK,TX,TX19,273404,Standard Grant,GEO,Geosciences,"Research, Innovation, Synergies, and Education",GOLD-GEO Opps LeadersDiversity,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2206125,https://www.usaspending.gov/award/ASST_NON_2206125_4900,2021-12-15,2025-08-31,79409,EGLKRQ5JBCZ7,"Geoscience maintains a base-rate problem with respect to diversity: ethnic minorities and people with disabilities are highly underrepresented. This has been traced to a variety of barriers for underrepresented (UR) ethnic scholars including: a lack of geoscience majors at HBCUs and primarily Hispanic-serving institutions, a lack of experience with, and time spent in, nature (e.g., < 3% of visitors to U.S. national parks are Black and Hispanic), and negative attitudes about career prospects. For people with disabilities, the main challenge is accessibility and the provision of appropriate accommodations. UR individuals may self-select out of geoscience programs due to these perceptions and barriers. This project will test the idea that allies, or members of dominant social identities, are best situated to positively influence these statistics. Academic allies, whether faculty or graduate student teaching assistants, have tremendous impact on their students’ academic engagement and can serve as linchpins for improving the future trajectories of UR students. PIs will train individuals in effective allyship behaviors, and incentivize them to recruit UR students into their academic field trips. The PIs plan to target allies who engage in field research and education, as geoscience is a unique STEM field insofar as much of the data collection and skill development are practiced out in nature at locations around the world. The PIs propose testing a strategy to overcome barriers in this context for UR students, as positive (or negative) experiences in field settings have profound impacts on recruitment and retention.    This project will facilitate training and assessment of approximately 80 academic allies and measure the effect of that training on allies as well as hundreds of majority and UR students. The expectation is that the training will produce a secondary effect: academic allies role model effective behaviors to all of their students and faculty networks, creating a “train-the-trainer” ripple effect. The PIs will use academic field trips as a vehicle for measurement, including multisource ratings, applying 360-degree-type ratings typically collected in performance appraisals to this setting. Deliverables include an experimental, longitudinal (over time), and multisource analysis of the allyship program and its improvement of allyship-related attitudes and behaviors, as well as its impact on the performance of UR students. These results will inform research efforts regarding the effectiveness of implemented strategies, and the materials and procedure will be made open-source for maximum replicability. A capstone conference will be used to disseminate findings to all participating allies and UR students, inform about methodologies that improve attraction and retention of UR groups in the geosciences, and expand UR networks.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2043192,"Influences of State Policies and Racialized Parental Incarceration on Youth Justice System Contact and Conflict, Emotional Estrangement and Intergenerational Life Outcomes",2025-04-25,American Bar Foundation,CHICAGO,IL,IL05,318536,Continuing Grant,SBE,"""Social, Behavioral and Economic Sciences""",Social and Economic Sciences,SBP-Science of Broadening Part,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2043192,https://www.usaspending.gov/award/ASST_NON_2043192_4900,2021-03-15,2026-02-28,606113152,F7UYJCNMJGA5,"From about 1970 to 2010, police profiling and mass incarceration increased at historically unprecedented rates in America.  Since 2010, there have been variable reductions, especially among African-American parents and youth who have been disproportionately imprisoned for minor drug offenses punished as serious crimes. The economist Glen Loury has observed that ‘blackness’ had led to “misattributions detrimental to blacks,” while the sociologists Becky Pettit and Bruce Western has shown that this has made the abnormality of going to prison disproportionately “normal” for many African-American parents and their children. The present study focuses on the results of disparities in parental incarceration on children. The focus is on children from ages of about 15 to 35, using data from five waves of the National Longitudinal of Study Adolescent and Adult Health [Add Heath]. The analysis concentrates on (a) how state variation in parental incarceration and resulting family trajectories affects their children, (b) the unfolding life experiences of child transitions from youth to adulthood, and (c) the later life course educational and occupational consequences of differences in these parental and youth experiences.     The Add Health data set offers unique possibilities for assessing unfolding life events of parents and children who have experienced variation in profiling and punishment across American states during the recent era of mass incarceration. This study will analyze this mass incarceration era sample of youth from adolescence into adulthood.  Understanding variable consequences of state level policies requires analysis of these states alongside data also collected on the affected individuals, and the Add Health data allow both.  In the past, Add Health has worked with this research team to add new measures of youth and adult crime and the return of parents, as well as their adolescent and young adult children, from prison. The current research will extend this work and uniquely develop new measures with Add Health of the policing and punishment of traffic violations. Traffic violations are uniquely important, for example, when they are disputed as resulting from “driving while Black.” Analysis of these measures will be of special importance because they can be embedded within the larger multiple wave and national framework of Add Health. The measurement and analysis will further examine how the variable accumulation across states and the sampled individuals of fines and court costs may have damaging consequences for life outcomes that last into and through middle adulthood.  The above additions to the national Add Health data set will be made publicly available for other researchers to analyze as well.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2433352,"Materials-Manufacturing-Machine Learning Nexus (M3X) Conference: Athens, Georgia; 18-20 May 2025",2025-04-25,University of Georgia Research Foundation Inc,ATHENS,GA,GA10,30000,Standard Grant,ENG,Engineering,"Civil, Mechanical and Manufacturing Innovation",AM-Advanced Manufacturing,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2433352,https://www.usaspending.gov/award/ASST_NON_2433352_4900,2024-10-01,2025-09-30,306021589,NMJHD63STRC5,"This award provides participant support for students and young researchers to attend the Materials-Manufacturing-Machine Learning Nexus (M3X) Conference at the University of Georgia, Athens, Georgia, 18-20 May 2025. Priority is given to participation by women and underrepresented minority groups, which promotes diversity, equity, and inclusion. The M3X conference explores research at the intersection of materials science, manufacturing technologies, and machine learning. U.S. and international researchers, faculty and scholars present their research results on advanced materials, manufacturing and machine learning. The conference impacts the materials, manufacturing and data science communities through discussions of cutting-edge research. This project benefits the nation through the education of a skilled science and engineering workforce, which is better prepared to provide transformative solutions to the challenges in their chosen fields. The conference plays an important role in supporting and sustaining machine learning-enabled advanced material discovery and advanced manufacturing, which have various important applications in many industrial sectors such as microelectronics, energy, healthcare, automotive and aerospace.    This participant support is expected to benefit the students’ and young researchers’ professional, scientific, and technical development. Attendance at the conference gives the students and young faculty a broader view of advanced materials, manufacturing and machine learning technologies, their fundamentals and practical applications. The conference provides a venue for presentations and discussions on the integration of advanced computational methods with materials science and manufacturing engineering. Specifically, the discussions focus on using machine learning algorithms to optimize material properties, enhance manufacturing efficiencies, and streamline production processes. At the conference, concepts and challenges at the intersection of advanced materials, manufacturing and machine learning are identified and presented, and attendees chart new paths forward in the field and rally a new generation of researchers toward them. The conference is attended by U.S. and international researchers, which provides an opportunity for a variety of perspectives to be presented and discussed. The conference is an opportunity for participants to showcase their scientific accomplishments and interact with peers and colleagues in academia, government laboratories and industry.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2416708,"Conference: 5th Council of Chairs Biomedical Engineering Education Summit; Newark, New Jersey; 29-31 May 2024",2025-04-25,New Jersey Institute of Technology,NEWARK,NJ,NJ10,10000,Standard Grant,ENG,Engineering,"Civil, Mechanical and Manufacturing Innovation",Engineering of Biomed Systems,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2416708,https://www.usaspending.gov/award/ASST_NON_2416708_4900,2024-05-01,2025-04-30,071021824,SGBMHQ7VXNH5,"The Biomedical Engineering Society Council of Chairs (BMES CoC) - a body of 140 department chairs - shares a mission to improve access and outcomes for all engineering students interested in biomedical engineering or bioengineering and holds an Education Summit every three years. Funding will support the next summit will, held in Newark, New Jersey, 29-31 May 2024. The summit intends to develop approaches to address an evolving student population with different teaching, motivational and support needs. Building diversity in the biomedical engineering workforce will also be a focus and will be integrated throughout the program.     The 2024 Summit focuses on including undergraduate participation in research, hands on preparation of students for graduate study and biomedical workforce development - major foci of BME programs. Topics will include teaching and learning approaches, including use of high impact practices and inclusive pedagogies in BME education, uses of AI-based learning tools, the future of coding, and the role of BME research in student outcomes and industry preparedness. Summit data collected from all partners will be shared through publicly accessible journal articles. Participants include stakeholders from broad learning environments, from residential college campuses to primarily commuter-serving educational institutions and industry. The summit will foster the generation of new ideas, guidelines and best practices among educators, broadly benefit learners, and promote inclusion of those under-represented in the BME discipline. Interactions across institutions and with industry partners will further enhance learning that strengthens student competitiveness for emerging engineering disciplines.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2342547,Doctoral Dissertation Research: Factors Influencing Disproportionality in Land Dispossession,2025-04-25,Stanford University,STANFORD,CA,CA16,31950,Standard Grant,SBE,"""Social, Behavioral and Economic Sciences""",Behavioral and Cognitive Sciences,Cult Anthro DDRI,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2342547,https://www.usaspending.gov/award/ASST_NON_2342547_4900,2024-02-01,2025-10-31,943052004,HJD6G4D6TJY5,"This doctoral dissertation research project contributes to understandings of the relationship between title, property, and land dispossession in anthropological science and sociolegal studies. The research centers on the dynamic interplay between bureaucratic institutions, legal advocates, and landowners in defining and redefining the legal boundaries of property ownership. Land dispossession is contributing significantly to vast economic inequity and instability, particularly for marginalized landowners. The project aims to expand understandings of how socioeconomic inequalities and property are intertwined with socio-political and economic mobility. In addition to training a graduate student in scientific data collection and analysis, this research sheds light on contemporary legal and political challenges landowners face in the United States and broadens studies on the phenomena of land grabbing in diverse social contexts. Findings and data from this project are being disseminated to academic and non-academic audiences.     The research questions are: (1) What are the categories of property ownership? (2) Do specific forms of property ownership create an increased risk of dispossession for marginalized landowners? (3) In what ways are state and local bureaucratic systems intertwined with local private and public infrastructure projects that may facilitate land loss (4) What strategies do vulnerable landowners engage in to avoid dispossession and reclaim lands lost to dispossession? and (5) How do land and property ownership factor into understandings of citizenship and belonging? The project specifically explores the layers of complexity surrounding land dispossession through a range of ethnographic and sociolegal research methods, including participant observation, legal archival searches of land deeds, sociohistorical analyses of legal terminology, and the tracking of legal disputes. The project contributes to broader discussions on citizenship, rights, and belonging. Examining legal classifications may reveal contributing factors that disproportionately contribute to an increase in land loss for some landowners.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",TRUE
2419970,IRES: Research to Support Energy Sovereignty for Indigenous Peoples,2025-04-25,University of North Dakota Main Campus,GRAND FORKS,ND,ND00,450000,Standard Grant,OD,Office of the Director,International Science and Engineering,Intl Rsrch Exp for Stds (IRES),https://www.nsf.gov/awardsearch/showAward?AWD_ID=2419970,https://www.usaspending.gov/award/ASST_NON_2419970_4900,2025-01-01,2027-12-31,582028371,RSWNKK6J8CF3,"The University of North Dakota (UND) in collaboration with Kansas State University (KSU), North Dakota State University (NDSU) and the University of Adelaide (UoAd), Australia have established an International Research Experience for Students (IRES) Site as part of a larger initiative to form a global center focused on Energy Sovereignty for Indigenous Peoples (ESIP, NSF Awards 2316355 and 2330387). Each year, a cohort of six U.S. students, conduct year-long collaborative research projects that integrate activities from their home institutions with a 10-week summer research experience at UoAd.  They are mentored by a team of research advisors from UoAd and the participating US institutions. The objectives of this IRES are to: 1) engage US students who are interested in pursuing research in ESIP technology areas, with an emphasis on engaging US students from Indigenous backgrounds including Native American students, 2) conduct preliminary/seed data-focused research in four ESIP technology areas, and 3) establish deep research partnerships between the center’s US researchers and partners at UoAd. The theme of this IRES transcends national boundaries, providing a compelling example of the globalization and cultural awareness needed in STEM research in general and energy research in particular.     A suite of research projects is being conducted to work towards providing sustainable, reliable and efficient engineering infrastructures and solutions for Indigenous energy sovereignty around the globe. Projects are in the following ESIP technology areas: 1) power, heat and fuel generation, 2) power, heat and fuel distribution, and 3) supply resiliency. This topic is important to Indigenous peoples who have been disproportionally affected by climate change. As such, highly qualified US students will be motivated to pursue research and studies in this critical area.  The projects introduce students to STEM research in a collaborative global context emphasizing the need for cultural connections within STEM research. Involvement in hands-on research experiences at a world-class Australian facility with expert mentorship enhances participant awareness of the international facets of their STEM disciplines and improves recruitment of US STEM students for graduate studies.  In addition to UND, KSU and NDSU, students are being recruited from TCUs participating in ESIP plus regional rural non-doctoral institutions. This facilitates the inclusion of students from under-represented groups. The program is also designed to develop and foster international research collaborations between the US faculty mentors and their Australian counterparts to strengthen the global aspects of ESIP. Assessment with both summative and qualitative measures, coordinated by an external evaluator, facilitates annual program improvements.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2333270,"Workshop on Engineering Innovation for Health; Houston, Texas; 2024",2025-04-25,William Marsh Rice University,Houston,TX,TX09,10000,Standard Grant,ENG,Engineering,"Civil, Mechanical and Manufacturing Innovation",BMMB-Biomech & Mechanobiology,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2333270,https://www.usaspending.gov/award/ASST_NON_2333270_4900,2023-09-01,2025-08-31,770051827,K51LECU1G8N3,"This grant will support early-career investigator participation at a workshop on Engineering Innovation for Health in Houston, Texas, in 2024.  With recent development of new technologies including molecular imaging, genome editing and artificial intelligence, the field of medicine is on the verge of a paradigm shift to have unprecedented engineering-driven precision in disease diagnosis treatment. To further develop engineering innovation for health, and better train the next-generation of leaders in this field, this workshop will bring together national and international academic experts, industry practitioners, and clinicians to discuss the cutting-edge research in developing biotechnologies and the unprecedented  opportunities to revolutionize medicine and healthcare, elucidate major issues and challenges in this interdisciplinary field, and identify future research directions that will significantly benefit our society. It is expected that this workshop will help develop novel ideas and transformative research projects that integrate engineering and life sciences, address fundamental biological issues, and solve biomedical problems that significantly improve human health.      The specific objective of this grant is to support the travel of 20 junior investigators, especially females and underrepresented minorities, to attend the Engineering Innovation for Health Workshop, to be held in 2024 in Houston, Texas.  This 2-day workshop will cover a broad range of topics, with a strong focus on revolutionary technologies for better disease diagnosis and therapies. The presentations and discussions at this Workshop will advance our understanding of the underlying scientific and technological issues and challenges in further developing innovative technologies for health, and facilitating interdisciplinary studies that may lead to a broader range of applications of engineering innovation to medicine, from revolutionary technologies for disease therapies, to advanced molecular imaging methods, to new computational and AI based approaches, to new devices for biosensing and disease diagnostics, to new methods using synthetic biology and mechanobiology. The results of the workshop will be disseminated broadly to enhance scientific and technological understanding and impact.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2411987,"Positioning Engineering Faculty to Support Black Engineering Graduate Students through Awareness, Knowledge, Capacity Building, and Community",2025-04-25,Arizona State University,TEMPE,AZ,AZ04,733633,Continuing Grant,EDU,STEM Education,Graduate Education,NSF Research Traineeship (NRT),https://www.nsf.gov/awardsearch/showAward?AWD_ID=2411987,https://www.usaspending.gov/award/ASST_NON_2411987_4900,2024-09-01,2029-08-31,852813670,NTLHJXM55KZ6,"This project aims to address racial equity in engineering education by enhancing the awareness and knowledge of engineering faculty to support Black engineering graduate students. Black students in engineering programs often experience microaggressions, lack of support, and systemic barriers, which impede their academic success and well-being. This initiative aims to disrupt these cycles by equipping faculty with the tools and understanding necessary to be positioned to be actionable in cultivating a more inclusive and supportive environment. By focusing on the three phases of awareness, knowledge, capacity building, and community, the project will provide faculty with empirical data on the lived experiences of Black students, engage them in professional development to build cultural competence, and establish a supportive community of practice. This comprehensive approach not only seeks to improve the academic outcomes and mental health of Black engineering students but also serves as a model for fostering antiracist educational environments across disciplines and institutions. The anticipated outcomes include greater faculty awareness of racial inequities experienced by Black students, improved faculty-student rapport and relationship, and a reduction in the harm done to Black engineering graduate students. This project has the potential to advance social justice, contribute to a more equitable academic landscape, and inspire similar initiatives in other fields and institutions.    To address systemic racial inequities faced by Black engineering graduate students, this research is situated in the theory of racialized organizations and seeks to develop a comprehensive professional development program that increases faculty awareness of the unique challenges faced by Black scholars. Using a multimodal, mixed-method approach, the project will compare three educational modalities (e.g., case study, 2D-video, and immersive virtual reality simulations) to determine the most effective method for fostering faculty awareness and resonance of the lived experience of Black graduate scholars in engineering. Conducted with engineering faculty at Arizona State University (ASU) and George Mason University (GMU), cohorts will participate in the Positioning Faculty for Antiracist Orientations (PFAO) program anchored in the High Impact Cultural Competency framework. This program is designed to build cultural competency while establishing a supportive, longitudinal community of practice of Engineering faculty committed to racial equity. The project will leverage previous NSF funded work centering Black students as experts of their own experiences in applying their insights to inform the development of educational content. Over five years, the project will directly impact 90 engineering faculty, a novel and significant effort focused on the gatekeepers of engineering culture. The study's findings have potential implications for higher education, providing a model for capacity building and positioning antiracist orientations that can be adapted to support other minoritized groups. This work is supported by an interdisciplinary team and aims to contribute significantly to the fields of Engineering, Education, Psychology, and Computing.    This collaborative project is funded by the EDU Racial Equity in STEM Education activity, which is supported by the Directorate for STEM Education (EDU). This activity supports research and practice projects that investigate how considerations of racial equity factor into the improvement of science, technology, engineering, and mathematics (STEM) education and workforce. Awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the STEM enterprise. Programs across EDU contribute funds to the Racial Equity activity in recognition of the alignment of its projects with the collective research and development thrusts of the four divisions of the directorate.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2428232,"Travel Support for 2024 Institute of Industrial and Systems Engineers (IISE) Annual Conference and Expo; Montreal, Canada; 18-21 May 2024",2025-04-25,University of Arizona,TUCSON,AZ,AZ07,30000,Standard Grant,ENG,Engineering,"Civil, Mechanical and Manufacturing Innovation",MSI-Manufacturing Systms Integ,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2428232,https://www.usaspending.gov/award/ASST_NON_2428232_4900,2024-05-01,2025-04-30,85721,ED44Y3W6P7B9,"This grant provides support for students to participate in the 2024 Institute of Industrial and Systems Engineers (IISE) Annual Conference and Expo to be held 18-21 May 2024, in Montreal, Canada. The IISE Conference and Expo is a unique venue for advancing discovery and understanding systems-level thinking in manufacturing. The 2024 IISE Annual Conference offers 1120 oral research presentations on topics across the Industrial and Systems Engineering research spectrum. Of those, the manufacturing systems’ most closely related divisions, Manufacturing & Design and Quality Control and Reliability Engineering, offer 195 oral presentations and access to 80 accepted papers for publication in the conference proceedings. These presentations cover state-of-the-art research in manufacturing topics such as Additive and Hybrid Manufacturing, Digital Manufacturing and Industry 4.0, Machine Learning and Artificial Intelligence in Manufacturing, Bioprinting and Healthcare Manufacturing, and Manufacturing Cybersecurity.  The conference’s location in Montreal presents a barrier, as some students will not have sufficient funds from their institutions or advisors to attend. By reducing the financial barrier for attending the conference, this award will help more students to benefit from attending the conference, helping to make the conference more accessible to a more diverse range of students. The award will support the recruitment and education of graduate and undergraduate students to engage in manufacturing systems integration research, contributing directly to broadening participation, training, and strengthening the U.S. manufacturing workforce development.     This grant will support students' conference registration and travel costs with the goal of promoting student participation at the conference, especially among students from groups often underrepresented in engineering. The selection process of the awardees will prioritize students who do not otherwise have sufficient funds from other sources (e.g., advisor, department, other travel awards) to attend the conference. Through this award, a special professional development plan will be developed for students to ensure they benefit from their participation in the conference. The main objectives of this plan are to: 1) expose more students as future workforce for Industrial and Manufacturing Engineering, 2) support researchers to learn more about funding opportunities in this field, 3) support students as future faculty through networking and facilitating new collaborations, 4) expand participation in IISE to include a broader audience, and 5) promote diversity and inclusion in manufacturing and design.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2049799,Broadening Participation in Economics: The AEA Summer Program with Inclusive Mentoring,2025-04-25,Howard University,WASHINGTON,DC,DC00,2750000,Continuing Grant,SBE,"""Social, Behavioral and Economic Sciences""",Social and Economic Sciences,Economics,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2049799,https://www.usaspending.gov/award/ASST_NON_2049799_4900,2021-09-01,2026-08-31,200590002,DYZNJGLTHMR9,"This award is funded in whole or in part under the American Rescue Plan Act of 2021 (Public Law 117-2).    This award funds Howard University as the host of the American Economic Association Summer Training Program. The goal of the AEASTP is to help talented undergraduate students advance their technical skills and conduct research in economics in preparation for studies at the doctoral level. Organizers make special efforts to recruit students from groups under-represented in the economics profession. The program combines research experience with intensive coursework and career mentoring in a residential experience. Instructors in the program include both leading economists and a cohort of Summer Fellows, graduate students in economics who serve as mentors for the students. Fellows get training in inclusive teaching methods and benefit from access to the faculty instructors, who work with both students and fellows as research mentors. AEASTP students will participate in research experiences at a number of federal agencies and non-profit organizations in the Washington DC area, and the instructional staff will include economists employed by the Federal Reserve Bank Board of Governors. The awardee institution will partner with the Women’s Institute on Science, Equity, and Race (WISER) to provide year-around mentoring for AEASTP participants.    The road to successful Ph.D. study in economics can be a rocky one, especially for students coming from minority-serving institutions and institutions that do not have a strong research focus. Obstacles include undergraduate economics curricula that are often oriented towards the most popular student career goal - business - than Ph.D. study, a lack of familiarity with the application process, and financial limitations. One consequence is that several important demographic groups are under-represented on economics faculties in the U.S. Over the course of this award, a strong cohortof students will be able to successfully advance to become mature researchers in economics and related social sciences. Their experiences will be instrumental in their later careers in allowing them to use a strong professional network to help them foster a more inclusive environment in their own teaching and research efforts. By broadening participation in the economics profession, the program will have a positive and lasting impact on shaping professional research agendas in economics and related fields to the benefit of the United States.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2322329,SCC-CIVIC-FA Track B:Placekeeping: a Co-designed Model for Intergenerational Co-housing and Coalition Building in a University-Adjacent Community,2025-04-25,Drexel University,PHILADELPHIA,PA,PA03,1000000,Standard Grant,CISE,Computer and Information Science and Engineering,Computer and Network Systems,S&CC: Smart & Connected Commun,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2322329,https://www.usaspending.gov/award/ASST_NON_2322329_4900,2023-10-01,2025-09-30,191042875,XF3XM9642N96,"The US housing crisis has severely impacted underserved communities of color. Rising rents and home prices put homeownership further out of reach. In 2021, 74% of white Americans owned a home, compared with 43% of Black Americans. Due to systemic racism, these disparities have persisted over decades. Existing housing stock needs reinvestment to meet the demands of an aging population. These challenges have been exacerbated due to residual impacts of the COVID-19 pandemic and surging prices of food, gas, and other necessities. This project addresses these issues through the co-development of Second Story Collective (2SC), a novel multi-generational co-housing model that centers the arts to cohere diverse communities. This homesharing strategy aims to preserve homeownership for long-term residents, create affordable opportunities for new homebuyers, and reduce student housing costs. By utilizing a co-design process informed by community input as well as multi-modal data, the 2SC co-housing model will address the need for affordable housing and aging-in-place options while increasing access to services, reducing isolation, and building social cohesion. Findings from this project will contribute to knowledge in the fields of comprehensive urban community development, creative placemaking/placekeeping, and participatory research and design.     The main objective of this project is to develop, implement, and evaluate the 2SC model for intergenerational co-housing as an anti-displacement and aging-in-place strategy. The transdisciplinary team will work with an established cross-sector partner network to address urgent housing needs in the West Philadelphia Promise Zone neighborhood of Mantua, a rapidly gentrifying community that is also one of the nation’s most impoverished. The project will utilize a community-driven participatory action research (CPAR) design, examining community development efforts from a systems perspective while centering existing community assets. During Stage 1, the project team co-designed the 2SC co-housing model for Village Square on Haverford, a new multi-use development in Mantua. Using heterogenous data, we created an asset map of the relevant resources and developed a plan for establishing and coalescing the pilot community. In Stage 2, the project team will implement the 2SC pilot community and collect and analyze multi-modal data to evaluate the success of the pilot. The 2SC model has the potential to be implemented in similar communities throughout the US, and results from this pilot could serve as a model for equitable development through community-driven anti-displacement and co-housing solutions, particularly for historically marginalized Black communities.    This project is in response to Track B - CIVIC Innovation Challenge - Bridging the gap between essential resources and services & community needs.    The CIVIC Innovation Challenge is a collaboration with Department of Energy, Department of Homeland Security, and the National Science Foundation.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",TRUE
