country,country_name,type,level,2016,2017,2018
ES,Spain,Exports,Total,14178,14593,12915.79
ES,Spain,Energy absorbed by pumping,Total,4819,3675,3197.636
ES,Spain,Energy supplied,Total,267192,270412,268975.67000000004
FR,France,Total net production,Total,540767.954,538042.323,551685.8230000001
FR,France,Imports,Total,19903,21134,12826.095
FR,France,Exports,Total,61404,61248,76094.985
FR,France,Energy absorbed by pumping,Total,6723.585,7104.325000000001,7331.316999999998
FR,France,Energy supplied,Total,492543.369,490823.99799999996,481085.6160000001
HR,Croatia,Total net production,Total,12284,11522.9,13256.54
HR,Croatia,Imports,Total,12398,12157.9,12692.328999999998
HR,Croatia,Exports,Total,6867,5204.2,7292.9529999999995
HR,Croatia,Energy absorbed by pumping,Total,294,286.2,118.552
HR,Croatia,Energy supplied,Total,17521,18190.399999999998,18537.363999999998
IT,Italy,Total net production,Total,279702.622,285265.649,280234
IT,Italy,Imports,Total,43181,42894.881,47179
IT,Italy,Exports,Total,6154,5134.231,3270
IT,Italy,Energy absorbed by pumping,Total,2468,2478.162,2233
IT,Italy,Energy supplied,Total,314261.622,320548.137,321910
CY,Cyprus,Total net production,Total,4667.638,4778.280000000001,4791.084999999999
CY,Cyprus,Imports,Total,0,0,0
CY,Cyprus,Exports,Total,0,0,0
CY,Cyprus,Energy absorbed by pumping,Total,0,0,0
CY,Cyprus,Energy supplied,Total,4667.638,4778.280000000001,4791.084999999999
LV,Latvia,Total net production,Total,5927,7024.8589999999995,6500
LV,Latvia,Imports,Total,4828,4072.912,5172
LV,Latvia,Exports,Total,3795,4137.077,4264
LV,Latvia,Energy absorbed by pumping,Total,0,0,0
LV,Latvia,Energy supplied,Total,6960,6960.693999999999,7408
LT,Lithuania,Total net production,Total,4051,3996.1,3183.0950000000003
LT,Lithuania,Imports,Total,11106,11926.2,12847.483
LT,Lithuania,Exports,Total,2831,3249,3215.07
LT,Lithuania,Energy absorbed by pumping,Total,790,799.1,726.3199999999999
LT,Lithuania,Energy supplied,Total,11536,11874.2,12089.188000000002
LU,Luxembourg,Total net production,Total,2167.69,2204.738,2164.862
LU,Luxembourg,Imports,Total,7718.393,7566.69,7553.012000000001
LU,Luxembourg,Exports,Total,1419.691,1388.648,1391.674
LU,Luxembourg,Energy absorbed by pumping,Total,1942.514,1833.679,1717.5
LU,Luxembourg,Energy supplied,Total,6523.878,6549.101000000001,6608.700000000001
HU,Hungary,Total net production,Total,29548,30676,29749.879
HU,Hungary,Imports,Total,17951,19803,18613.295
HU,Hungary,Exports,Total,5240,6925,4265.07
HU,Hungary,Energy absorbed by pumping,Total,0,0,0
HU,Hungary,Energy supplied,Total,42259,43554,44098.104
MT,Malta,Total net production,Total,807.16,1594.4589999999998,1888.3980000000001
MT,Malta,Imports,Total,1525,897.066,631.2929999999999
MT,Malta,Exports,Total,NA,35.699,10.550999999999998
MT,Malta,Energy absorbed by pumping,Total,0,0,0
MT,Malta,Energy supplied,Total,2332.16,2455.8259999999996,2509.14
NL,Netherlands,Total net production,Total,111032.253,113465.03399999999,112551.371
NL,Netherlands,Imports,Total,24257.626,22457.715,24018
NL,Netherlands,Exports,Total,19343.254,18951.503,18157
NL,Netherlands,Energy absorbed by pumping,Total,0,0,0
NL,Netherlands,Energy supplied,Total,115946.62499999999,116971.24599999998,118412.37099999998
AT,Austria,Total net production,Total,64860.87,67690.162,65587.79199999999
AT,Austria,Imports,Total,26366.16,29362.427,28076.136
AT,Austria,Exports,Total,19206.889,22816.512,19129.329999999998
AT,Austria,Energy absorbed by pumping,Total,4253.498,5610.607,5116.052000000001
AT,Austria,Energy supplied,Total,67766.64300000001,68625.46999999999,69418.54599999999
PL,Poland,Total net production,Total,152003,154869.344,154096.49999999997
PL,Poland,Imports,Total,14017,13271,13815.803
PL,Poland,Exports,Total,12018,10984,8121.301000000001
PL,Poland,Energy absorbed by pumping,Total,744,734.88,660.599
PL,Poland,Energy supplied,Total,153258,156421.464,159130.40299999996
PT,Portugal,Total net production,Total,58862.051999999996,57668.978,58085
PT,Portugal,Imports,Total,4616,5505.732,5668
PT,Portugal,Exports,Total,9701,8189.704,8326
PT,Portugal,Energy absorbed by pumping,Total,1520,2223.899,1565
PT,Portugal,Energy supplied,Total,52257.051999999996,52761.10700000001,53862
RO,Romania,Total net production,Total,60256,59355.43,58722
RO,Romania,Imports,Total,4177,4841.754,3695
RO,Romania,Exports,Total,9194,7735.38,6239
RO,Romania,Energy absorbed by pumping,Total,660,466.424,0
RO,Romania,Energy supplied,Total,54579,55995.380000000005,56178
SI,Slovenia,Total net production,Total,15546,15396.876,15284.254
SI,Slovenia,Imports,Total,8359,9132.532,8930.238000000001
SI,Slovenia,Exports,Total,9535,9648.192,9432.404
SI,Slovenia,Energy absorbed by pumping,Total,373,365.3,252.43500000000003
SI,Slovenia,Energy supplied,Total,13997,14515.916000000001,14529.653000000002
SK,Slovakia,Total net production,Total,24997,25692,23717
SK,Slovakia,Imports,Total,13249,15563,12427
SK,Slovakia,Exports,Total,10598,12535,8746
SK,Slovakia,Energy absorbed by pumping,Total,334,418,401
SK,Slovakia,Energy supplied,Total,27314,28302,26997
FI,Finland,Total net production,Total,66200,65038,67423.674
FI,Finland,Imports,Total,22110,22204,22548
FI,Finland,Exports,Total,3159,1779,2611
FI,Finland,Energy absorbed by pumping,Total,0,0,0
FI,Finland,Energy supplied,Total,85151,85463,87360.674
SE,Sweden,Total net production,Total,152531,160526,158287.08799999996
SE,Sweden,Imports,Total,14287,11896,14441.814999999999
SE,Sweden,Exports,Total,26022,30888,31671.103
SE,Sweden,Energy absorbed by pumping,Total,170,36,56.300999999999995
SE,Sweden,Energy supplied,Total,140626,141498,141001.49899999995
UK,NA,Total net production,Total,324274.434,323439.536,317375.62899999996
UK,NA,Imports,Total,20017.923,18166.98,21332.415000000005
UK,NA,Exports,Total,2272.866,3407.049,2224.7639999999997
UK,NA,Energy absorbed by pumping,Total,4014.34,3859.19,3390.8659999999995
UK,NA,Energy supplied,Total,338005.151,334340.277,333092.41399999993
NO,Norway,Total net production,Total,149067,148642,146845.18699999998
NO,Norway,Imports,Total,5740,6111,8339.724
NO,Norway,Exports,Total,22151,21276,18488.911
NO,Norway,Energy absorbed by pumping,Total,1427,1653,1021.492
NO,Norway,Energy supplied,Total,131229,131824,135674.50799999997
ME,Montenegro,Total net production,Total,3023,2363.8,3743
ME,Montenegro,Imports,Total,1210,1536.9,7106
ME,Montenegro,Exports,Total,906,416.7,868
ME,Montenegro,Energy absorbed by pumping,Total,0,0,0
ME,Montenegro,Energy supplied,Total,3327,3484.0000000000005,9981
MK,North Macedonia,Total net production,Total,5284.253,5226.865,5203.736000000001
MK,North Macedonia,Imports,Total,2190.606,2293.571,7261.253000000001
MK,North Macedonia,Exports,Total,159.853,311.026,5341.489
MK,North Macedonia,Energy absorbed by pumping,Total,0,0,0
MK,North Macedonia,Energy supplied,Total,7315.006,7209.41,7123.500000000002
AL,Albania,Total net production,Total,7136,4497.807,8596.537
AL,Albania,Imports,Total,0,2914.628,1771.742
AL,Albania,Exports,Total,42,0,2685.0469999999996
AL,Albania,Energy absorbed by pumping,Total,0,0,0
AL,Albania,Energy supplied,Total,7094,7412.4349999999995,7683.232000000001
RS,Serbia,Total net production,Total,36628,34298.552,35241.18600000001
RS,Serbia,Imports,Total,5068,6549.189,6400.0070000000005
RS,Serbia,Exports,Total,6990,5724.139,6293.513000000001
RS,Serbia,Energy absorbed by pumping,Total,1029,938.05,1067.9379999999999
RS,Serbia,Energy supplied,Total,33677,34185.551999999996,34279.742000000006
TR,Turkey,Total net production,Total,261937,284257.51900000003,289282.578
TR,Turkey,Imports,Total,6330,2728.268,2466.0080000000003
TR,Turkey,Exports,Total,1452,3303.673,3073.5800000000004
TR,Turkey,Energy absorbed by pumping,Total,0,0,0
TR,Turkey,Energy supplied,Total,266815,283682.114,288675.00599999994
BA,Bosnia & Herzegovina,Total net production,Total,16609,15239,7502.427
BA,Bosnia & Herzegovina,Imports,Total,3084,3346,1487.586
BA,Bosnia & Herzegovina,Exports,Total,6841,5187,3820.8220000000006
BA,Bosnia & Herzegovina,Energy absorbed by pumping,Total,0,266,50.591
BA,Bosnia & Herzegovina,Energy supplied,Total,12852,13132,5118.5999999999985
UA,Ukraine,Total net production,Total,151889,144905.8,159072.5
UA,Ukraine,Imports,Total,77,50,1587
UA,Ukraine,Exports,Total,3830,5226,4639.3
UA,Ukraine,Energy absorbed by pumping,Total,1633,1574.2,0
UA,Ukraine,Energy supplied,Total,146503,138155.59999999998,156020.2
GE,Georgia,Total net production,Total,11365,11315.8,12148.514
GE,Georgia,Imports,Total,1329,1751.2,1522.2
GE,Georgia,Exports,Total,1409,939.7,602.0380000000001
GE,Georgia,Energy absorbed by pumping,Total,0,0,214.946
GE,Georgia,Energy supplied,Total,11285,12127.3,12853.73
