city,alternate_city_names,state,country,country_code,latitude,longitude,timezone,population,elevation_m
North Conway,"Nors Konvehj,Nort Konvej,nrt kanwy  nywhmpshayr,Норс Конвэй,Норт Конвеј,نرت کانوی، نیوهمپشایر",NH,USA,US,44.05368,-71.1284,America/New_York,2349,160
Phoenix,"East Phoenix,Feniks,Fenikso,Finiks,Finiksa,Finiksas,Finiksos,Foinix,Féniks,Fīniksa,Hellings Mill,Hoozdoh,Mill City,PHX,Peniki,Phenix,Phoeniks,Phoenix,Pumpkinsville,Pēniki,Salt River,Smith Station,Smith Station Phenix,Smiths Station,feng huang cheng,fenikkusu,finikasa,finiks,finiksa,fynks,fynyks,fynyks  aryzwna,phiniks,phiniks nagaram,phiniksa,pinigseu,piniks,piniksi,pnyqs,pynyqs,Φοίνιξ,Финикс,Фінікс,Ֆինիքս,פיניקס,פניקס,فينيكس,فینکس,فینیکس، آریزونا,फ़ीनिक्स,फिनिक्स,फिनिक्स्,फीनिक्स,ফিনিক্স,ਫ਼ੀਨਿਕਸ,பீனிக்ஸ்,ఫీనిక్స్ నగరం,ಫೀನಿಕ್ಸ್,ഫീനിക്സ്,ฟีนิกซ์,ფინიქსი,ፊኒክስ፥ አሪዞና,フェニックス,凤凰城,鳳凰城,피닉스",AZ,USA,US,33.44838,-112.07404,America/Phoenix,1608139,331
Lauderhill,NA,FL,USA,US,26.14036,-80.21338,America/New_York,71579,1
Sutherlin,"Saterlin,Sazehrlin,Sudurlin,swthyrlyn,swtrlyn  awrgn,Сазэрлин,Сатерлин,Съдърлин,سوترلین، اورگن,سوثيرلين",OR,USA,US,43.39012,-123.31258,America/Los_Angeles,7912,157
Gurgaon,"Gurgaon,Gurgáon,Gurugram,gu er gang,gudaganva,guleugaon,guraga'om,guragamo,guraganv,guraganva,guragavam,gurugaon,gwrgan,gwrgaw,jwrjawn,khur khean,kurkan,Гургаон,Ґурґаон,جورجاون,گرگاؤں,گورگان,گورگاو,گڑگاؤں,गुडगांव,गुरगांव,গুরগাঁও,ਗੁੜਗਾਵਾਂ,ଗୁଡ଼ଗାଓଁ,குர்கான்,ಗುರಗಾಂವ್,ഗുഡ്‌ഗാവ്,คุร์เคาน์,グルガーオン,古爾岡,구르가온",Haryana,India,IN,28.4601,77.02635,Asia/Kolkata,197340,NA
Albuquerque,"ABQ,Al'bukerke,Albakrki,Albakerki,Albjukuehrokju,Albukerke,Albukerki,Albukerko,Albukerkė,Albukwer kwe,Albukwér kwé,Albuquerque,Alburquerque,Almpoukerki,Beeldil Daesenili *,Beeʼeldííl Dahsinil,Duke City,New Albuquerque,San Felipe de Neri,San Francisco Xavier,San Francisco de Albuquerque,The Duke City,Vokekyi Leuwi *,a bu kui ji,aelbeokeoki,alabakarki,alabukaraki,albakrky,albukark,albukarki,albukʼerkʼe,albwkrk  nyw myksykw,albwkrky,alpukerkki,arubakaki,Αλμπουκέρκη,Албакерки,Албакърки,Албукерки,Албюкуэрокю,Альбукерке,Ալբուկերկե,אלבקרקי,آلبوکرک، نیو میکسیکو,ألباكركي,البوکرکی,आल्बुकर्की,আলবাকার্কি,ਅਲਬੂਕਰਕੀ,ஆல்புகெர்க்கி,ಆಲ್ಬುಕರ್ಕ್,แอลบูเคอร์คี,ალბუკერკე,アルバカーキ,阿布奎基,앨버커키",NM,USA,US,35.08449,-106.65114,America/Denver,559121,1511
Redlands,"Lugonia,Redlands,Redlends,Redlunds,ledeullaenjeu,lei de lan ci,rdlndz  kalyfrnya,redalyandsa,reddoranzu,rydlands,Редландс,Редлендс,Редлъндс,ردلندز، کالیفرنیا,ريدلاندس,रेडल्यान्ड्स,レッドランズ,雷德兰兹,레들랜즈",CA,USA,US,34.05557,-117.18254,America/Los_Angeles,71035,414
Carolina Beach,NA,NC,USA,US,34.03517,-77.8936,America/New_York,6137,2
yukon,"Jukon,aywkan  aklahma,yu kong,ywkwn,Јукон,Юкон,ایوکان، اکلاهما,يوكون,یکون، اوکلاہوما,育空",OK,USA,US,35.50672,-97.76254,America/Chicago,25892,393
Los Angeles,"Angelopolis,Ciudad De los Angelos,Cuidad De Los Angelos,El Pueblo de Nuestra Senora La Reina de Los Angeles de Porcivncula,El Pueblo de Nuestra Senora de los Angeles de Porciuncula,El Pueblo de Nuestra Señora de los Ángeles de Porciúncula,El Pueblo del Rio de Nuestra Senora,L.A.,LA,LAX,La Reina de Los Angeles de Porciuncula,Lok-chham-ki,Los And'eles,Los Andzelas,Los Andzeles,Los Andzheles,Los Andzhelis,Los Andželas,Los Andželes,Los Angeles,Los Anjeles,Los Anjélés,Los Antzeles,Los Anxheles,Los Anxhelos,Los Anzeles,Los Anzheles,Los Ángeles,Los-Anceles,Los-Andzeles,Los-Andzhehles,Los-Andzheles,Los-Angeleso,Los-Anjeles,Los-Anzheles,Los-Anzheles shaary,Los-Anĝeleso,Losandzelosa,Losandželosa,Lo̍k-chhám-kî,Lungsod ng Los Angeles,Luos Andzels,Luos Andžels,Os Anxeles,Os Ánxeles,Pueblo De Los Angeles,Pueblo Los Angelos,el-ei,las aynjls,las encalas,las enjales,las enjalis,lasa ainjalasa,lasa enjalasa,lasa enjilasa,leas anceles,los-anjelesi,losa enjelasa,losa enjelisa,losa enjelsa,loseuaenjelleseu,loseuenjelleseu,ls anjls,luo shan ji,lws anjls,lws anjlws,lws anjlys,lws ʼngls,rosanzerusu,Λος Άντζελες,Лос Анджелес,Лос Анджелис,Лос Андьелес,Лос Анжелес,Лос Анђелес,Лос Анџелес,Лос Анҷелес,Лос Анӂелес,Лос-Анджелес,Лос-Анджэлес,Лос-Анжелес,Лос-Анжелес шаары,Лос-Анџелес,Լոս Անջելես,לאס אנדזשעלעס,לוס אנגלס,لاس اینجلس,لس آنجلس,لس‌آنجلس,لوس آنجلس,لوس أنجلوس,لوس ئانجېلېس,لوس انجليس,لوس‌آنجلس,لۆس ئانجلەس,लस एञ्जिलस,लस एन्जलस,लास एंजलस,लॉस एंजेलिस,लॉस एंजेल्स,লস অ্যাঞ্জেলেস,ਲਾਸ ਐਂਜਲਸ,લોસ એન્જેલસ,லாஸ் ஏஞ்சலஸ்,లాస్ ఏంజలెస్,ಲಾಸ್ ಎಂಜಲೀಸ್,ലോസ് ആഞ്ചെലെസ്,ลอสแอนเจลิส,လော့စ်အိန်ဂျယ်လိစ်မြို့,ლოს-ანჯელესი,ሎስ አንጄሌስ,ロサンゼルス,洛杉矶,洛杉磯,로스앤젤레스,로스엔젤레스,엘에이",CA,USA,US,34.05223,-118.24368,America/Los_Angeles,3898747,89
Reno,"Fullers Crossing,Lakes Crossing,RNO,Rehno,Reno,Reno-Stead,Rino,Rynas,Rīno,lei nuo,lino,rino,rynw,rynw  nwada,Ρίνο,Рено,Рино,Рэно,רינא,רינו,رينو,رینو,رینو، نوادا,رینو، نیواڈا,रिनो,リノ,雷諾,리노",NV,USA,US,39.52963,-119.8138,America/Los_Angeles,241445,1373
Parma,"Parma,barma,pama,parma  awhayw,Парма,פארמה,بارما,پارما، اوهایو,پارما، اوہائیو,パーマ,파마",OH,USA,US,41.40477,-81.72291,America/New_York,79937,264
Merritt island,NA,FL,USA,US,28.53917,-80.672,America/New_York,34743,1
Normandy Park,NA,WA,USA,US,47.43621,-122.34068,America/Los_Angeles,6668,89
Paris,"Parizh,Peris,barys,parys  aylynwy,Париж,Перис,باريس,پاریس، ایلینوی,پیرس، الینوائے",IL,USA,US,39.61115,-87.69614,America/Chicago,8432,220
Wahiawa,"Wahiawa,wahaiwa,와하이와",HI,USA,US,21.50279,-158.02464,Pacific/Honolulu,17821,287
Oro Valley,"Oro Vali,Oro-Vejli,ao luo gu,awrw faly,awrw wly  aryzwna,olobaelli,oro bhyali,Оро Вали,Оро-Вейлі,أورو فالي,اورو ولی، آریزونا,ओरो भ्याली,奥罗谷,오로밸리",AZ,USA,US,32.39091,-110.96649,America/Phoenix,45303,798
Jemison,"Bristol,Jamison,Jemison,Langston Station,Langstonsville",AL,USA,US,32.95985,-86.74665,America/Chicago,2619,219
Baytown,"Baytown,Bejtaun,Creek,Goose Creek,HPY,bay tawn,bei dui,beitaun,by tawn  tgzas,Бејтаун,باي تاون,بی تاون، تگزاس,بےٹاؤن، ٹیکساس,ベイタウン,貝敦,베이타운",TX,USA,US,29.7355,-94.97743,America/Chicago,76335,8
Mimbres,NA,NM,USA,US,32.85619,-107.97976,America/Denver,667,1820
Jacksonville,"Ceksonvill,Cow Creek,Cow Ford,Cowford,Dzeksonvil,Dzeksonvila,Dzeksonvilis,Dzhaksnvil,Dzhehksanvil,Dzhehksonvill,Dzheksonvill,Džeksonvila,Džeksonvilis,Gaksonvilo,Iacsoniapolis,Iacsonvilla,JAX,Jacksonville,Tzaksonvil,Wakka Pilatka,Zhehksonvill,gqswnwwyl,jaegseunbil,jaikasanavila,jaiksanavila,jakcanvil,jakswnfyl,jakusonbiru,jeksanavhila,jeksonvili,jie ke xun wei er,jyakasanabhila,jyaksanabhila,jyksn wyl,Ĝaksonvilo,Τζάκσονβιλ,Џексонвил,Джаксънвил,Джексонвілл,Джэксанвіл,Джэксонвилл,Жэксонвилл,Ջեքսոնվիլ,גקסונוויל,جاكسونفيل,جکسون‌ویل,جیکسن ویل,जॅक्सनव्हिल,जैक्सनविल,ज्याकसनभिल,জ্যাক্সনভিল,ਜੈਕਸਨਵਿਲ,ஜாக்சன்வில்,แจ็กสันวิลล์,ჯექსონვილი,ジャクソンビル,杰克逊维尔,잭슨빌",FL,USA,US,30.33218,-81.65565,America/New_York,954614,5
Largo,"Largo,la ge,larghw,largo,largw  flwryda,Ларго,Ларґо,لارغو,لارگو، فلورایڈا,لارگو، فلوریدا,लार्गो,拉哥",FL,USA,US,27.90979,-82.78842,America/New_York,81000,10
Huntsville,"Gantsvill,HSV,Hantsvila,Hantsvilis,Hantsvill,Hunts Spring,Huntsville,Khantsvil,Khantsvill,Khuntsvil,Twickenham,hantsabhila,hantsubiru,hantswyl  alabama,heng ci wei er,heoncheubil,hntsfyl,Гантсвілл,Хантсвил,Хантсвилл,Хънтсвил,האנטסוויל,هانتسویل، آلاباما,هنتسفيل,ھەنتسڤیل، ئەلاباما,ہنٹسویل، الاباما,हन्त्सभिल,ハンツビル,亨茨维尔,헌츠빌",AL,USA,US,34.7304,-86.58594,America/Chicago,215006,193
San Diego,"Davis' Folly,Didacopolis,Graytown,Lungsod ng San Diego,New San Diego,SAN,San Diegas,San Diego,San Diegu,San Dijego,San Diyego,San Diyégo,San Miguel,San Ntienko,San-Diego,San-Dieqo,San-Dyega,Sandjego,can tiyeko,saendiego,saendieigo,saina di'ego,san diyago,san dyyghw,san-diego,sana di'ego,sana diyago,sandiego,sena diyego,sheng de ya ge,sn dygw,sn dyygw,syana di'ego,Σαν Ντιέγκο,Сан Диего,Сан Дијего,Сан-Диего,Сан-Дыега,Сан-Дієго,Սան Դիեգո,סאן דיעגא,סן דייגו,سان دييغو,سان ڈیاگو,سان ڈیگو,سن دیگو,सॅन डियेगो,सैन डिएगो,स्यान डिएगो,সান ডিয়াগো,ਸਾਨ ਦੀਏਗੋ,சான் டியேகோ,శాన్ డియాగో,แซนดีเอโก,სან-დიეგო,ሳንዲየጎ,サンディエゴ,聖地牙哥,샌디에고,샌디에이고",CA,USA,US,32.71571,-117.16472,America/Los_Angeles,1394928,20
Gaston,NA,SC,USA,US,33.8171,-81.10093,America/New_York,1658,152
Santa Cruz,"City of the Holy Cross,Newport of California,Newport of the Pacific,Santa Cruz,Santa Krouz,Santa Krus,Santa Kruz,Santa-Krus,Santa-Kruz,Santa-Kruzo,Santakruza,Santakrūza,Surf City,Swantacruz,saentakeulujeu,santa krwz,santa krwz  kalyfrnya,santakuruzu,sheng ta ke lu zi,syanta kruja,Σάντα Κρουζ,Санта Круз,Санта Крус,Санта-Круз,Санта-Крус,سانتا كروز,سانتا کروز، کالیفرنیا,स्यान्टा क्रुज,サンタクルーズ,聖塔克魯茲,샌타크루즈",CA,USA,US,36.97412,-122.0308,America/Los_Angeles,64220,11
Santa Monica,"Monicopolis,SMO,Santa Monica,Santa Monika,Santa Mónica,Santa Mônica,Santa-Monika,Santamonika,canta monikka,saentamonika,santa mwnyka,santa mwnyka  kylyfwrnya,santa mۆnyka  kalyfۆrnya,santamonika,sheng mo ni ka,snta mwnyka  kalyfrnya,snth mwnyqh,syanta monika,Σάντα Μόνικα,Санта Моника,Санта-Моника,Санта-Моніка,סנטה מוניקה,سانتا مونيكا,سانتا مونیکا، کیلیفورنیا,سانتا مۆنیکا، کالیفۆرنیا,سانٹا مونیکا,سنتا مونیکا، کالیفرنیا,स्यान्टा मोनिका,சாந்தா மொனிக்கா,แซนตามอนิกา,サンタモニカ,圣莫尼卡,샌타모니카",CA,USA,US,34.01949,-118.49138,America/Los_Angeles,93220,32
Tacoma,"Chebaulip,Commencement City,Puyallup,T'kope,T'kopt,TIW,Tacoma,Takoma,Takouma,da jin ma,ta ke ma,takoma,takwma,takwma  washyngtn,teokoma,tqwmh,Τακόμα,Такома,Такоума,טקומה,تاكوما,تاکوما، واشینگتن,ٹاکوما,ٹاکوما، واشنگٹن,タコマ,塔科马,打金麻,터코마",WA,USA,US,47.25288,-122.44429,America/Los_Angeles,207948,74
Orlando,"ORL,Orlandas,Orlando,Orlando i Florida,Orlanto,ao lan duo,aralyando,awrlandw,awrlndw  flwryda,ollaendo,oralamdo,orando,orlando,orlanto,Ορλάντο,Орландо,Օռլանդո,אורלנדו,أورلاندو,اورلندو، فلوریدا,اورلینڈو,اورلینڈو، فلوریڈا,अरल्यान्दो,ओरलँडो,ઓર્લાન્ડો,ஒர்லாண்டோ,ออร์แลนโด,ორლანდო,オーランド,奥兰多,올랜도",FL,USA,US,28.53834,-81.37924,America/New_York,307573,30
Cuautla,"Cuautla,Cuautla Morelos",Morelos,Mexico,MX,18.8106,-98.93525,America/Mexico_City,157336,NA
Port Angeles,"CLM,Cherbourg,Port Andzeles,Port Andzhelis,Port Angeles,an ji li si gang,bwrt anjlws,poteuaenjelleseu,potoenjerusu,pwrt anjls  washyngtn,Порт Анджелис,Порт Анџелес,بورت أنجلوس,پورت آنجلس، واشینگتن,ポートエンジェルス,安吉利斯港,포트앤젤레스",WA,USA,US,48.11815,-123.43074,America/Los_Angeles,19448,22
Las Vegas,"Campi,LAS,Las Vegas,Las Vegas Mission,Las Vegas Ranch,Las Vegasas,Las Venkas,Las-Vegas,Las-Veqas,Lasvegasa,Lasvegaso,Los Vegas,Lungsod ng Las Vegas,McWilliamstown,Naʼazhǫǫsh Hátsoh,Old Town,Piigisi,Ragtown,Vegas,Westside,la si wei jia si,las fyghas,las vegas,las vekas,las veygas,las weka s,las wgas,las wygas  nywaڈa,las-vegasi,lasa bhegasa,lasa vegasa,lasa vhegasa,laseubegaseu,laseubeigeoseu,lʼs wgʼs,rasubegasu,Λας Βέγκας,Лас Вегас,Лас-Вегас,Լաս Վեգաս,לאס וגאס,לאס וועגאס,لاس فيغاس,لاس وگاس,لاس ویگاس، نیواڈا,لاس‌وقاس,लास वेगास,लास व्हेगस,লাস ভেগাস,ਲਾਸ ਵੇਗਸ,લાસ વેગાસ,லாஸ் வேகஸ்,లాస్ వెగాస్,ലാസ് വെയ്ഗസ്,ลาสเวกัส,လပ်ဗီးဂပ်စ်မြို့,ლას-ვეგასი,ላስ ቬጋስ,ラスベガス,拉斯維加斯,拉斯维加斯,라스베가스,라스베이거스",NV,USA,US,36.17497,-115.13722,America/Los_Angeles,623747,610
Cincinnati,"CVG,Cincinnati,Cincinnatopolis,Covalts Station,Cyncynaci,Fort Washington,Losantiville,Porkopolis,Queen City,Queen City of the West,Sinsinati,Sinsinatis,Sinsinato,Sinsinatti,Sinsinnati,cincinatti,shinshinati,sinasinati,sinsinaeti,synsynaty,synsynty,synsynty  awhayw,xin xin na ti,Σινσινάτι,Синсинати,Синсинатти,Цинциннати,Цинциннаті,Цынцынаці,Ցինցինատի,סינסינטי,سنسیناٹی,سينسيناتي,سینسینتی، اوهایو,सिनसिनाटी,சின்சினாட்டி,ซินซินแนติ,ცინცინატი,シンシナティ,辛辛那提,신시내티",OH,USA,US,39.12711,-84.51439,America/New_York,309317,191
New York City,"Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newydd,Evrek Nowydh,Ga-no-no,Kanon:no,Kanono,Kanón:no,Kota New York,Lungsod ng New York,N'ju-Jork,NY,NYC,Nea Yorke,Nei Yarrick Schtadt,Neu Amsterdam,Neu Jorck,New Amsterdam,New Orange,New Yorc,New York,New York City,New York Stad,New York borg,New York kenti,New York-borg,New Yorke,New Yorku,Niujorkas,Nju Jork,Njujork,Nouvelle Yorck,Nouvieau York,Nov-Jorko,Nova Amsterda,Nova Iorque,Nova York,Nova-York,Novjorko,Novum Eboracum,Nowy Jork,Nua-Eabhrac,Nueva York,Nujorka,Nyja Jorvik,Nyu York Shehiri,Nòva York,Nýja Jórvík,Thanh pho New York,The Big Apple,Thành phố New York,York Berri,manhattan,n'yuyorka,ni'u iyarka siti,niu yue,niu yue shi,niyuyark nakaram,nkhr niwyxrk,nyuyog,nyuyog si,nyuyoku,nyw ywrq,nywywrk,Ņujorka,Νέα Υόρκη,Њу Јорк,Њујорк,Нью-Ёрк,Нью-Йорк,Ню Йорк,ניו יארק,ניו יורק,ניו־יאָרק,نيويورك,نیویارک شہر,نیویورک,न्यूयॉर्क,নিউ ইয়র্ক সিটি,நியூயார்க் நகரம்,นครนิวยอร์ก,ნიუ-იორკი,ニューヨーク,マンハッタン,紐約,紐約市,뉴욕,뉴욕 시",NY,USA,US,40.71427,-74.00597,America/New_York,8804190,10
Surprise,"Ennis,Serprajz,Sjurprajz,Sjurpriz,Surprajz,Surprise,sapuraizu,sarpra'ija,se pu lai si,seopeulaijeu,swpryyz,swrbrayz,swrprayz  aryzwna,Серпрайз,Сурпрајз,Сърпрайз,Сюрпрайз,Сюрприз,סופרייז,سوربرايز,سورپرایز، آریزونا,सर्प्राइज,サプライズ,瑟普赖斯,서프라이즈",AZ,USA,US,33.63059,-112.33322,America/Phoenix,143148,358
Bismarck,"BIS,Bismak,Bismarck,Bismarck i Nord-Dakota,Bismark,Bismarka,Bismarkas,Bismarko,Bismarks,Bismàk,Bizmark,Edwinton,The Crossing,bi si mai,bijeumakeu,bismark,bismarka,bisumaku,bysmark,bysmark  dakwtay shmaly,bysmrq,pismark,Μπίσμαρκ,Бизмарк,Бисмарк,Бісмарк,Բիսմարկ,ביסמרק,انٹیل,بسمارک، شمالی ڈکوٹا,بيسمارك,بیسمارک، داکوتای شمالی,बिस्मार्क,பிஸ்மார்க்,บิสมาร์ก,ბისმარკი,ビスマーク,俾斯麥,비즈마크",ND,USA,US,46.80833,-100.78374,America/Chicago,71167,514
Redmond,"RDM,Redmond,Redmund,Rehdmond,rdmnd  awrgn,redomondo,rydmwnd,Редмонд,Редмънд,Рэдмонд,ردمند، اورگن,ريدموند,ریڈمنڈ، اوریگون,レドモンド",OR,USA,US,44.27262,-121.17392,America/Los_Angeles,28654,916
Katy,"Kejti,katy,kyty  tgzas,Кејти,كاتي,کیتی، تگزاس",TX,USA,US,29.78579,-95.8244,America/Chicago,16158,42
fenton,"Fehnton,Fenton,fyntwn,Фентон,Фэнтон,فينتون",MO,USA,US,38.51311,-90.43595,America/Chicago,4052,132
Redondo Beach,"Redondo Beach,Redondo Bich,Redondo Bijch,Redondo-Bich,lei dong duo hai tan,lidondobichi,rdwndw bych  kalyfrnya,redondo bica,redondobichi,rydwndw bytsh,Редондо Бийч,Редондо Бич,Редондо-Бич,Редондо-Біч,ردوندو بیچ، کالیفرنیا,ريدوندو بيتش,ریڈونڈو بیچ، کیلیفورنیا,रेडोन्डो बीच,レドンドビーチ,雷东多海滩,리돈도비치",CA,USA,US,33.84918,-118.38841,America/Los_Angeles,68166,19
Dickson City,"Dickson,Dickson City,Priceburg,Priceville",PA,USA,US,41.47147,-75.60769,America/New_York,5877,234
Ocala,"OCF,Ocala,Ocola,Okala,ao ka la,awkala,awkala  flwryda,okaella,okala,okara,Окала,أوكالا,اوکالا، فلوریدا,ओकाला,オカラ,奥卡拉,오캘라",FL,USA,US,29.1872,-82.14009,America/New_York,58218,21
Port Saint Lucie,Port St. Lucie,FL,USA,US,27.29393,-80.35033,America/New_York,164603,5
Vancouver,"Alashikash,Camp Vancouver,Columbia Barracks,Columbia City,Fort Vancouver,Template:Vandalism,Van'kouver,Vancouver,Vancouver Barracks,Vancouver City,Vankuver,Vankuveris,Vankuvur,baenkubeo,bankuba,fankwfr,wen ge hua,wnkwwr  washyngtn,wnqwbr,Βανκούβερ,Ванкувер,Ванкувър,ונקובר,فانكوفر,ونکوور، واشینگتن,وینکوور، واشنگٹن,แวนคูเวอร์,バンクーバー,溫哥華,밴쿠버",WA,USA,US,45.63873,-122.66149,America/Los_Angeles,172860,52
Tinley park,"Tinley Park,Tinleypark,Tinli Park,tynly bark,Тинли Парк,تينلي بارك,ٹنلی پارک، الینوائے",IL,USA,US,41.57337,-87.78449,America/Chicago,57143,213
Frisco,"Frisko,fryskw,fryskw  klradw,fu li si ke,phrisko,Фриско,فريسكو,فریسکو، کلرادو,فریسکو، کولوراڈو,फ्रिस्को,弗里斯科",CO,USA,US,39.57443,-106.09752,America/Denver,3035,2766
Cranston,"Cranston,Kranston,Krehnston,Krenston,Mashapaug,Maushapogue,Maushapoque,ke lan si dun,kranstwn,kranstwn  rwd aylnd,kuransuton,qrnstwn,Кранстон,Кренстон,Крэнстон,קרנסטון,كرانستون,کرانستون، رود آیلند,کرانسٹون، روڈ آئلینڈ,แครนสตัน,クランストン,克兰斯顿",RI,USA,US,41.77982,-71.43728,America/New_York,81073,19
Norton,"Norton,Norton Centre,nwrtwn,nwrtwn  masachwst,Нортон,نورتون,نورتون، ماساچوست",MA,USA,US,41.96677,-71.18699,America/New_York,19808,32
Spokane,"GEG,Spakan,Spocanum,Spokan,Spokane,Spokane Falls,Spokein,Spoken,aspwkn,sbwkyn,seupokaen,si bo kan,spwkyn,spwqyyn,supoken,Σποκέιν,Спакан,Спокан,Спокен,Սպոքեն,ספוקיין,اسپوکن,سبوكين,سپوکین,سپوکین، واشنگٹن,スポケーン,スポーケン,斯波坎,스포캔",WA,USA,US,47.65966,-117.42908,America/Los_Angeles,213272,571
Shoreline,"Shorlajn,an xian shi,shoarain,shwrlayn  washyngtn,shwrlyn,syolain,Шорлайн,Шорлајн,شورلائن، واشنگٹن,شورلاین، واشینگتن,شورلين,ショアライン,岸線市,쇼라인",WA,USA,US,47.75565,-122.34152,America/Los_Angeles,55439,147
Kansas City,"Caasimada Kansas,City of Kansas,Dinas Kansas,Greenwood,Ilu Kansas,Kansas City,Kansas City i Missouri,Kansas Lakanbalen,Kansas Sity,Kansasurbo,Kanzas Shehiri,Kanzas Siti,Kanzas Sitis,Kanzas-Sici,Kanzas-Siti,Kanzassitija,Kota Kansas,Lungsod ng Kansas,MKC,Maple Gardens,Milton,Town of Kansas,Westport,Winnetonka,Winnwood,kaenjaseusiti,kan sa si cheng,kanasasa siti,kansas syty,kanzasushiti,kanzas‌syty  myzwry,kencas nakaram,kensasa siti,kʼanzas-sitʼi,qnzs syty,Ìlú Kansas,Κάνσας Σίτυ,Канзас Сити,Канзас-Сити,Канзас-Сіті,Канзас-Сіці,Կանզաս Սիթի,קנזס סיטי,كانساس سيتي,کانزاس‌سیتی، میزوری,کنساس شہر، مسوری,कॅन्सस सिटी,কানসাস সিটি,கேன்சஸ் நகரம்,แคนซัสซิตี,კანზას-სიტი,カンザスシティ,堪薩斯城,캔자스시티",MO,USA,US,39.09973,-94.57857,America/Chicago,475378,274
Oshawa,"Osava,Oshava,Ošava,QWA,YOO,ao sha hua,awshawa,oshava,oshawa,osyawa,Ошава,أوشاوا,اوشاوا,ოშავა,オシャワ,奧沙華,오샤와",ON,Canada,CA,43.90012,-78.84957,America/Toronto,166000,NA
Sturgis,"Scooptown,Sterdzhis,Sterdzis,Sturgis,astrjys  dakwtay jnwby,si te ji si,sturjisa,stwrjys,sutajisu,Стерджис,Стерџис,استرجیس، داکوتای جنوبی,ستورجيس,سٹورجس، جنوبی ڈکوٹا,स्टुर्जिस,スタージス,斯特吉斯",SD,USA,US,44.40971,-103.50908,America/Denver,6688,1043
Osceola,"Osiola,Oskeola,awskywla  aywwa,awsywla,Осиола,Оскеола,أوسيولا,اوسکئولا، آیووا",IA,USA,US,41.03389,-93.7655,America/Chicago,4972,348
Oak Island,"Long Beach (in part),Oak Island,Yaupon Beach (in part)",NC,USA,US,33.91656,-78.16111,America/New_York,7507,3
