Year,group,percent
2007,20-24 years,90.3
2008,20-24 years,92.5
2009,20-24 years,92.9
2010,20-24 years,93.8
2011,20-24 years,93.2
1979,25-34 years,67.5
1980,25-34 years,69.4
1981,25-34 years,70.3
1982,25-34 years,72.1
1983,25-34 years,73.3
1984,25-34 years,74.6
1985,25-34 years,75.1
1986,25-34 years,76.1
1987,25-34 years,76.7
1988,25-34 years,77.7
1989,25-34 years,78.3
1990,25-34 years,79.3
1991,25-34 years,81
1992,25-34 years,82
1993,25-34 years,83
1994,25-34 years,82.9
1995,25-34 years,82.2
1996,25-34 years,83.2
1997,25-34 years,82.9
1998,25-34 years,82.9
1999,25-34 years,81.5
2000,25-34 years,82.4
2001,25-34 years,83
2002,25-34 years,84.5
2003,25-34 years,86.9
2004,25-34 years,87.8
2005,25-34 years,89
2006,25-34 years,88.2
2007,25-34 years,86.9
2008,25-34 years,88.5
2009,25-34 years,88.7
2010,25-34 years,90.8
2011,25-34 years,92.3
1979,35-44 years,58.3
1980,35-44 years,58.3
1981,35-44 years,59.9
1982,35-44 years,61.1
1983,35-44 years,61.5
1984,35-44 years,62
1985,35-44 years,63
1986,35-44 years,63.9
1987,35-44 years,66.1
1988,35-44 years,68.5
1989,35-44 years,68.3
1990,35-44 years,69.6
1991,35-44 years,70.7
1992,35-44 years,71.9
1993,35-44 years,73
1994,35-44 years,72.6
1995,35-44 years,72.6
1996,35-44 years,73.3
1997,35-44 years,74
1998,35-44 years,73.6
1999,35-44 years,71.7
2000,35-44 years,71.6
2001,35-44 years,72.5
2002,35-44 years,75.2
2003,35-44 years,76.1
2004,35-44 years,75.6
2005,35-44 years,75.5
2006,35-44 years,77.2
2007,35-44 years,76.5
2008,35-44 years,74.5
2009,35-44 years,77.4
2010,35-44 years,79.9
2011,35-44 years,78.5
1979,45-54 years,56.8
1980,45-54 years,56.9
1981,45-54 years,56.8
1982,45-54 years,60.1
1983,45-54 years,59.5
1984,45-54 years,59.4
1985,45-54 years,59.7
1986,45-54 years,60.9
1987,45-54 years,62.3
1988,45-54 years,61.7
1989,45-54 years,62.7
1990,45-54 years,63.8
1991,45-54 years,65
1992,45-54 years,65.8
1993,45-54 years,67.4
1994,45-54 years,67.1
1995,45-54 years,67.7
1996,45-54 years,68.9
1997,45-54 years,69.4
1998,45-54 years,70.5
1999,45-54 years,70
2000,45-54 years,73.2
2001,45-54 years,73.5
2002,45-54 years,74.6
2003,45-54 years,73
2004,45-54 years,72.9
2005,45-54 years,75.5
2006,45-54 years,73.5
2007,45-54 years,74.5
2008,45-54 years,74.9
2009,45-54 years,73.6
2010,45-54 years,76.5
2011,45-54 years,76
1979,55-64 years,60.6
1980,55-64 years,59.4
1981,55-64 years,58.9
1982,55-64 years,61.4
1983,55-64 years,61.8
1984,55-64 years,61.5
1985,55-64 years,61
1986,55-64 years,61.2
1987,55-64 years,62.2
1988,55-64 years,62.3
1989,55-64 years,63.9
1990,55-64 years,63.7
1991,55-64 years,64.5
1992,55-64 years,64.9
1993,55-64 years,67.4
1994,55-64 years,66
1995,55-64 years,64.7
1996,55-64 years,65.3
1997,55-64 years,64.7
1998,55-64 years,68.1
1999,55-64 years,67.9
2000,55-64 years,69.1
2001,55-64 years,70.5
2002,55-64 years,71.6
2003,55-64 years,72.7
2004,55-64 years,73
2005,55-64 years,74.7
2006,55-64 years,72.9
2007,55-64 years,72.8
2008,55-64 years,75.4
2009,55-64 years,75.3
2010,55-64 years,75.2
2011,55-64 years,75.1
1979,65 years and older,77.6
1980,65 years and older,76.4
1981,65 years and older,71.1
1982,65 years and older,70.3
1983,65 years and older,68.8
1984,65 years and older,66.8
1985,65 years and older,65.9
1986,65 years and older,71.5
1987,65 years and older,68.7
1988,65 years and older,70.9
1989,65 years and older,74.3
1990,65 years and older,74.4
1991,65 years and older,68.3
1992,65 years and older,77.9
1993,65 years and older,74.3
1994,65 years and older,76.2
1995,65 years and older,80
1996,65 years and older,70
1997,65 years and older,77
1998,65 years and older,72.6
1999,65 years and older,78.7
2000,65 years and older,75.1
2001,65 years and older,69
2002,65 years and older,73.8
2003,65 years and older,71.1
2004,65 years and older,74.6
2005,65 years and older,76.4
2006,65 years and older,77.5
2007,65 years and older,77.8
2008,65 years and older,74.8
2009,65 years and older,76.1
2010,65 years and older,75.7
2011,65 years and older,80.9
