act,scene,character,dialogue,line_number
Act I,Scene II,Sergeant,Like valour's minion carved out his passage,34
Act I,Scene II,Sergeant,Till he faced the slave;,35
Act I,Scene II,Sergeant,"Which ne'er shook hands, nor bade farewell to him,",36
Act I,Scene II,Sergeant,"Till he unseam'd him from the nave to the chaps,",37
Act I,Scene II,Sergeant,And fix'd his head upon our battlements.,38
Act I,Scene II,Duncan,O valiant cousin! worthy gentleman!,39
Act I,Scene II,Sergeant,As whence the sun 'gins his reflection,40
Act I,Scene II,Sergeant,"Shipwrecking storms and direful thunders break,",41
Act I,Scene II,Sergeant,So from that spring whence comfort seem'd to come,42
Act I,Scene II,Sergeant,"Discomfort swells. Mark, king of Scotland, mark:",43
Act I,Scene II,Sergeant,No sooner justice had with valour arm'd,44
Act I,Scene II,Sergeant,"Compell'd these skipping kerns to trust their heels,",45
Act I,Scene II,Sergeant,"But the Norweyan lord surveying vantage,",46
Act I,Scene II,Sergeant,With furbish'd arms and new supplies of men,47
Act I,Scene II,Sergeant,Began a fresh assault.,48
Act I,Scene II,Duncan,Dismay'd not this,49
Act I,Scene II,Duncan,"Our captains, Macbeth and Banquo?",50
Act I,Scene II,Sergeant,Yes;,51
Act I,Scene II,Sergeant,"As sparrows eagles, or the hare the lion.",52
Act I,Scene II,Sergeant,"If I say sooth, I must report they were",53
Act I,Scene II,Sergeant,"As cannons overcharged with double cracks, so they",54
Act I,Scene II,Sergeant,Doubly redoubled strokes upon the foe:,55
Act I,Scene II,Sergeant,"Except they meant to bathe in reeking wounds,",56
Act I,Scene II,Sergeant,"Or memorise another Golgotha,",57
Act I,Scene II,Sergeant,I cannot tell.,58
Act I,Scene II,Sergeant,"But I am faint, my gashes cry for help.",59
Act I,Scene II,Duncan,So well thy words become thee as thy wounds;,60
Act I,Scene II,Duncan,They smack of honour both. Go get him surgeons.,61
Act I,Scene II,[stage direction],"Exit Sergeant, attended",NA
Act I,Scene II,Duncan,Who comes here?,62
Act I,Scene II,[stage direction],Enter ROSS,NA
Act I,Scene II,Malcolm,The worthy thane of Ross.,63
Act I,Scene II,Lennox,What a haste looks through his eyes! So should he look,64
Act I,Scene II,Lennox,That seems to speak things strange.,65
Act I,Scene II,Ross,God save the king!,66
Act I,Scene II,Duncan,"Whence camest thou, worthy thane?",67
Act I,Scene II,Ross,"From Fife, great king;",68
Act I,Scene II,Ross,Where the Norweyan banners flout the sky,69
Act I,Scene II,Ross,"And fan our people cold. Norway himself,",70
Act I,Scene II,Ross,"With terrible numbers,",71
Act I,Scene II,Ross,Assisted by that most disloyal traitor,72
Act I,Scene II,Ross,"The thane of Cawdor, began a dismal conflict;",73
Act I,Scene II,Ross,"Till that Bellona's bridegroom, lapp'd in proof,",74
Act I,Scene II,Ross,"Confronted him with self-comparisons,",75
Act I,Scene II,Ross,"Point against point rebellious, arm 'gainst arm.",76
Act I,Scene II,Ross,"Curbing his lavish spirit: and, to conclude,",77
Act I,Scene II,Ross,The victory fell on us.,78
Act I,Scene II,Duncan,Great happiness!,79
Act I,Scene II,Ross,That now,80
Act I,Scene II,Ross,"Sweno, the Norways' king, craves composition:",81
Act I,Scene II,Ross,Nor would we deign him burial of his men,82
Act I,Scene II,Ross,Till he disbursed at Saint Colme's inch,83
Act I,Scene II,Ross,Ten thousand dollars to our general use.,84
Act I,Scene II,Duncan,No more that thane of Cawdor shall deceive,85
Act I,Scene II,Duncan,"Our bosom interest: go pronounce his present death,",86
Act I,Scene II,Duncan,And with his former title greet Macbeth.,87
Act I,Scene II,Ross,I'll see it done.,88
Act I,Scene II,Duncan,What he hath lost noble Macbeth hath won.,89
Act I,Scene II,[stage direction],Exeunt,NA
Act I,Scene III,[stage direction],Thunder. Enter the three Witches,NA
Act I,Scene III,First Witch,"Where hast thou been, sister?",90
Act I,Scene III,Second Witch,Killing swine.,91
Act I,Scene III,Third Witch,"Sister, where thou?",92
Act I,Scene III,First Witch,"A sailor's wife had chestnuts in her lap,",93
Act I,Scene III,First Witch,"And munch'd, and munch'd, and munch'd:--",94
Act I,Scene III,First Witch,"'Give me,' quoth I:",95
Act I,Scene III,First Witch,"'Aroint thee, witch!' the rump-fed ronyon cries.",96
Act I,Scene III,First Witch,"Her husband's to Aleppo gone, master o' the Tiger:",97
Act I,Scene III,First Witch,"But in a sieve I'll thither sail,",98
Act I,Scene III,First Witch,"And, like a rat without a tail,",99
Act I,Scene III,First Witch,"I'll do, I'll do, and I'll do.",100
Act I,Scene III,Second Witch,I'll give thee a wind.,101
Act I,Scene III,First Witch,Thou'rt kind.,102
Act I,Scene III,Third Witch,And I another.,103
Act I,Scene III,First Witch,"I myself have all the other,",104
Act I,Scene III,First Witch,"And the very ports they blow,",105
Act I,Scene III,First Witch,All the quarters that they know,106
Act I,Scene III,First Witch,I' the shipman's card.,107
Act I,Scene III,First Witch,I will drain him dry as hay:,108
Act I,Scene III,First Witch,Sleep shall neither night nor day,109
Act I,Scene III,First Witch,Hang upon his pent-house lid;,110
Act I,Scene III,First Witch,He shall live a man forbid:,111
Act I,Scene III,First Witch,Weary se'nnights nine times nine,112
Act I,Scene III,First Witch,"Shall he dwindle, peak and pine:",113
Act I,Scene III,First Witch,"Though his bark cannot be lost,",114
Act I,Scene III,First Witch,Yet it shall be tempest-tost.,115
Act I,Scene III,First Witch,Look what I have.,116
Act I,Scene III,Second Witch,"Show me, show me.",117
Act I,Scene III,First Witch,"Here I have a pilot's thumb,",118
Act I,Scene III,First Witch,Wreck'd as homeward he did come.,119
Act I,Scene III,[stage direction],Drum within,NA
Act I,Scene III,Third Witch,"A drum, a drum!",120
Act I,Scene III,Third Witch,Macbeth doth come.,121
Act I,Scene III,All,"The weird sisters, hand in hand,",122
Act I,Scene III,All,"Posters of the sea and land,",123
Act I,Scene III,All,"Thus do go about, about:",124
Act I,Scene III,All,Thrice to thine and thrice to mine,125
Act I,Scene III,All,"And thrice again, to make up nine.",126
Act I,Scene III,All,Peace! the charm's wound up.,127
Act I,Scene III,[stage direction],Enter MACBETH and BANQUO,NA
Act I,Scene III,Macbeth,So foul and fair a day I have not seen.,128
Act I,Scene III,Banquo,How far is't call'd to Forres? What are these,129
Act I,Scene III,Banquo,"So wither'd and so wild in their attire,",130
Act I,Scene III,Banquo,"That look not like the inhabitants o' the earth,",131
Act I,Scene III,Banquo,And yet are on't? Live you? or are you aught,132
Act I,Scene III,Banquo,"That man may question? You seem to understand me,",133
Act I,Scene III,Banquo,By each at once her chappy finger laying,134
Act I,Scene III,Banquo,"Upon her skinny lips: you should be women,",135
Act I,Scene III,Banquo,And yet your beards forbid me to interpret,136
Act I,Scene III,Banquo,That you are so.,137
Act I,Scene III,Macbeth,"Speak, if you can: what are you?",138
Act I,Scene III,First Witch,"All hail, Macbeth! hail to thee, thane of Glamis!",139
Act I,Scene III,Second Witch,"All hail, Macbeth, hail to thee, thane of Cawdor!",140
Act I,Scene III,Third Witch,"All hail, Macbeth, thou shalt be king hereafter!",141
Act I,Scene III,Banquo,"Good sir, why do you start; and seem to fear",142
Act I,Scene III,Banquo,"Things that do sound so fair? I' the name of truth,",143
Act I,Scene III,Banquo,"Are ye fantastical, or that indeed",144
Act I,Scene III,Banquo,Which outwardly ye show? My noble partner,145
Act I,Scene III,Banquo,You greet with present grace and great prediction,146
Act I,Scene III,Banquo,"Of noble having and of royal hope,",147
Act I,Scene III,Banquo,That he seems rapt withal: to me you speak not.,148
Act I,Scene III,Banquo,"If you can look into the seeds of time,",149
Act I,Scene III,Banquo,"And say which grain will grow and which will not,",150
Act I,Scene III,Banquo,"Speak then to me, who neither beg nor fear",151
Act I,Scene III,Banquo,Your favours nor your hate.,152
Act I,Scene III,First Witch,Hail!,153
Act I,Scene III,Second Witch,Hail!,154
Act I,Scene III,Third Witch,Hail!,155
Act I,Scene III,First Witch,"Lesser than Macbeth, and greater.",156
Act I,Scene III,Second Witch,"Not so happy, yet much happier.",157
Act I,Scene III,Third Witch,"Thou shalt get kings, though thou be none:",158
Act I,Scene III,Third Witch,"So all hail, Macbeth and Banquo!",159
Act I,Scene III,First Witch,"Banquo and Macbeth, all hail!",160
Act I,Scene III,Macbeth,"Stay, you imperfect speakers, tell me more:",161
Act I,Scene III,Macbeth,By Sinel's death I know I am thane of Glamis;,162
Act I,Scene III,Macbeth,"But how of Cawdor? the thane of Cawdor lives,",163
Act I,Scene III,Macbeth,A prosperous gentleman; and to be king,164
Act I,Scene III,Macbeth,"Stands not within the prospect of belief,",165
Act I,Scene III,Macbeth,No more than to be Cawdor. Say from whence,166
Act I,Scene III,Macbeth,You owe this strange intelligence? or why,167
Act I,Scene III,Macbeth,Upon this blasted heath you stop our way,168
Act I,Scene III,Macbeth,"With such prophetic greeting? Speak, I charge you.",169
Act I,Scene III,[stage direction],Witches vanish,NA
Act I,Scene III,Banquo,"The earth hath bubbles, as the water has,",170
Act I,Scene III,Banquo,And these are of them. Whither are they vanish'd?,171
Act I,Scene III,Macbeth,Into the air; and what seem'd corporal melted,172
Act I,Scene III,Macbeth,As breath into the wind. Would they had stay'd!,173
Act I,Scene III,Banquo,Were such things here as we do speak about?,174
Act I,Scene III,Banquo,Or have we eaten on the insane root,175
Act I,Scene III,Banquo,That takes the reason prisoner?,176
Act I,Scene III,Macbeth,Your children shall be kings.,177
Act I,Scene III,Banquo,You shall be king.,178
Act I,Scene III,Macbeth,And thane of Cawdor too: went it not so?,179
Act I,Scene III,Banquo,To the selfsame tune and words. Who's here?,180
Act I,Scene III,[stage direction],Enter ROSS and ANGUS,NA
Act I,Scene III,Ross,"The king hath happily received, Macbeth,",181
Act I,Scene III,Ross,The news of thy success; and when he reads,182
Act I,Scene III,Ross,"Thy personal venture in the rebels' fight,",183
Act I,Scene III,Ross,His wonders and his praises do contend,184
Act I,Scene III,Ross,"Which should be thine or his: silenced with that,",185
Act I,Scene III,Ross,"In viewing o'er the rest o' the selfsame day,",186
Act I,Scene III,Ross,"He finds thee in the stout Norweyan ranks,",187
Act I,Scene III,Ross,"Nothing afeard of what thyself didst make,",188
Act I,Scene III,Ross,Strange images of death. As thick as hail,189
Act I,Scene III,Ross,Came post with post; and every one did bear,190
Act I,Scene III,Ross,"Thy praises in his kingdom's great defence,",191
Act I,Scene III,Ross,And pour'd them down before him.,192
Act I,Scene III,Angus,We are sent,193
Act I,Scene III,Angus,To give thee from our royal master thanks;,194
Act I,Scene III,Angus,"Only to herald thee into his sight,",195
Act I,Scene III,Angus,Not pay thee.,196
Act I,Scene III,Ross,"And, for an earnest of a greater honour,",197
Act I,Scene III,Ross,"He bade me, from him, call thee thane of Cawdor:",198
Act I,Scene III,Ross,"In which addition, hail, most worthy thane!",199
Act I,Scene III,Ross,For it is thine.,200
Act I,Scene III,Banquo,"What, can the devil speak true?",201
Act I,Scene III,Macbeth,The thane of Cawdor lives: why do you dress me,202
Act I,Scene III,Macbeth,In borrow'd robes?,203
Act I,Scene III,Angus,Who was the thane lives yet;,204
Act I,Scene III,Angus,But under heavy judgment bears that life,205
Act I,Scene III,Angus,Which he deserves to lose. Whether he was combined,206
Act I,Scene III,Angus,"With those of Norway, or did line the rebel",207
Act I,Scene III,Angus,"With hidden help and vantage, or that with both",208
Act I,Scene III,Angus,"He labour'd in his country's wreck, I know not;",209
Act I,Scene III,Angus,"But treasons capital, confess'd and proved,",210
Act I,Scene III,Angus,Have overthrown him.,211
Act I,Scene III,Macbeth,"[Aside]  Glamis, and thane of Cawdor!",212
Act I,Scene III,Macbeth,The greatest is behind.,213
Act I,Scene III,[stage direction],To ROSS and ANGUS,NA
Act I,Scene III,Macbeth,Thanks for your pains.,214
Act I,Scene III,[stage direction],To BANQUO,NA
Act I,Scene III,Macbeth,"Do you not hope your children shall be kings,",215
Act I,Scene III,Macbeth,When those that gave the thane of Cawdor to me,216
Act I,Scene III,Macbeth,Promised no less to them?,217
Act I,Scene III,Banquo,That trusted home,218
Act I,Scene III,Banquo,"Might yet enkindle you unto the crown,",219
Act I,Scene III,Banquo,Besides the thane of Cawdor. But 'tis strange:,220
Act I,Scene III,Banquo,"And oftentimes, to win us to our harm,",221
Act I,Scene III,Banquo,"The instruments of darkness tell us truths,",222
Act I,Scene III,Banquo,"Win us with honest trifles, to betray's",223
Act I,Scene III,Banquo,In deepest consequence.,224
Act I,Scene III,Banquo,"Cousins, a word, I pray you.",225
Act I,Scene III,Macbeth,"[Aside]	Two truths are told,",226
Act I,Scene III,Macbeth,As happy prologues to the swelling act,227
Act I,Scene III,Macbeth,"Of the imperial theme.--I thank you, gentlemen.",228
Act I,Scene III,[stage direction],Aside,NA
Act I,Scene III,Macbeth,"Cannot be ill, cannot be good: if ill,",229
Act I,Scene III,Macbeth,"Why hath it given me earnest of success,",230
Act I,Scene III,Macbeth,Commencing in a truth? I am thane of Cawdor:,231
Act I,Scene III,Macbeth,"If good, why do I yield to that suggestion",232
Act I,Scene III,Macbeth,Whose horrid image doth unfix my hair,233
Act I,Scene III,Macbeth,"And make my seated heart knock at my ribs,",234
Act I,Scene III,Macbeth,Against the use of nature? Present fears,235
Act I,Scene III,Macbeth,Are less than horrible imaginings:,236
Act I,Scene III,Macbeth,"My thought, whose murder yet is but fantastical,",237
Act I,Scene III,Macbeth,Shakes so my single state of man that function,238
Act I,Scene III,Macbeth,"Is smother'd in surmise, and nothing is",239
Act I,Scene III,Macbeth,But what is not.,240
Act I,Scene III,Banquo,"Look, how our partner's rapt.",241
Act I,Scene III,Macbeth,"[Aside]  If chance will have me king, why, chance may crown me,",242
Act I,Scene III,Macbeth,Without my stir.,243
Act I,Scene III,Banquo,"New horrors come upon him,",244
Act I,Scene III,Banquo,"Like our strange garments, cleave not to their mould",245
Act I,Scene III,Banquo,But with the aid of use.,246
Act I,Scene III,Macbeth,"[Aside]                Come what come may,",247
Act I,Scene III,Macbeth,Time and the hour runs through the roughest day.,248
Act I,Scene III,Banquo,"Worthy Macbeth, we stay upon your leisure.",249
Act I,Scene III,Macbeth,Give me your favour: my dull brain was wrought,250
Act I,Scene III,Macbeth,"With things forgotten. Kind gentlemen, your pains",251
Act I,Scene III,Macbeth,Are register'd where every day I turn,252
Act I,Scene III,Macbeth,The leaf to read them. Let us toward the king.,253
Act I,Scene III,Macbeth,"Think upon what hath chanced, and, at more time,",254
Act I,Scene III,Macbeth,"The interim having weigh'd it, let us speak",255
Act I,Scene III,Macbeth,Our free hearts each to other.,256
Act I,Scene III,Banquo,Very gladly.,257
Act I,Scene III,Macbeth,"Till then, enough. Come, friends.",258
Act I,Scene III,[stage direction],Exeunt,NA
Act I,Scene IV,[stage direction],"Flourish. Enter DUNCAN, MALCOLM, DONALBAIN, LENNOX, and Attendants",NA
Act I,Scene IV,Duncan,Is execution done on Cawdor? Are not,259
Act I,Scene IV,Duncan,Those in commission yet return'd?,260
Act I,Scene IV,Malcolm,"My liege,",261
Act I,Scene IV,Malcolm,They are not yet come back. But I have spoke,262
Act I,Scene IV,Malcolm,With one that saw him die: who did report,263
Act I,Scene IV,Malcolm,"That very frankly he confess'd his treasons,",264
Act I,Scene IV,Malcolm,Implored your highness' pardon and set forth,265
Act I,Scene IV,Malcolm,A deep repentance: nothing in his life,266
Act I,Scene IV,Malcolm,Became him like the leaving it; he died,267
Act I,Scene IV,Malcolm,As one that had been studied in his death,268
Act I,Scene IV,Malcolm,"To throw away the dearest thing he owed,",269
Act I,Scene IV,Malcolm,As 'twere a careless trifle.,270
Act I,Scene IV,Duncan,There's no art,271
Act I,Scene IV,Duncan,To find the mind's construction in the face:,272
Act I,Scene IV,Duncan,He was a gentleman on whom I built,273
Act I,Scene IV,Duncan,An absolute trust.,274
Act I,Scene IV,[stage direction],"Enter MACBETH, BANQUO, ROSS, and ANGUS",NA
Act I,Scene IV,Duncan,O worthiest cousin!,275
Act I,Scene IV,Duncan,The sin of my ingratitude even now,276
Act I,Scene IV,Duncan,Was heavy on me: thou art so far before,277
Act I,Scene IV,Duncan,That swiftest wing of recompense is slow,278
Act I,Scene IV,Duncan,"To overtake thee. Would thou hadst less deserved,",279
Act I,Scene IV,Duncan,That the proportion both of thanks and payment,280
Act I,Scene IV,Duncan,"Might have been mine! only I have left to say,",281
Act I,Scene IV,Duncan,More is thy due than more than all can pay.,282
Act I,Scene IV,Macbeth,"The service and the loyalty I owe,",283
Act I,Scene IV,Macbeth,"In doing it, pays itself. Your highness' part",284
Act I,Scene IV,Macbeth,Is to receive our duties; and our duties,285
Act I,Scene IV,Macbeth,"Are to your throne and state children and servants,",286
Act I,Scene IV,Macbeth,"Which do but what they should, by doing every thing",287
Act I,Scene IV,Macbeth,Safe toward your love and honour.,288
Act I,Scene IV,Duncan,Welcome hither:,289
Act I,Scene IV,Duncan,"I have begun to plant thee, and will labour",290
Act I,Scene IV,Duncan,"To make thee full of growing. Noble Banquo,",291
Act I,Scene IV,Duncan,"That hast no less deserved, nor must be known",292
Act I,Scene IV,Duncan,"No less to have done so, let me enfold thee",293
Act I,Scene IV,Duncan,And hold thee to my heart.,294
Act I,Scene IV,Banquo,"There if I grow,",295
Act I,Scene IV,Banquo,The harvest is your own.,296
Act I,Scene IV,Duncan,"My plenteous joys,",297
Act I,Scene IV,Duncan,"Wanton in fulness, seek to hide themselves",298
Act I,Scene IV,Duncan,"In drops of sorrow. Sons, kinsmen, thanes,",299
Act I,Scene IV,Duncan,"And you whose places are the nearest, know",300
Act I,Scene IV,Duncan,We will establish our estate upon,301
Act I,Scene IV,Duncan,"Our eldest, Malcolm, whom we name hereafter",302
Act I,Scene IV,Duncan,The Prince of Cumberland; which honour must,303
Act I,Scene IV,Duncan,"Not unaccompanied invest him only,",304
Act I,Scene IV,Duncan,"But signs of nobleness, like stars, shall shine",305
Act I,Scene IV,Duncan,"On all deservers. From hence to Inverness,",306
Act I,Scene IV,Duncan,And bind us further to you.,307
Act I,Scene IV,Macbeth,"The rest is labour, which is not used for you:",308
Act I,Scene IV,Macbeth,I'll be myself the harbinger and make joyful,309
Act I,Scene IV,Macbeth,The hearing of my wife with your approach;,310
Act I,Scene IV,Macbeth,So humbly take my leave.,311
Act I,Scene IV,Duncan,My worthy Cawdor!,312
Act I,Scene IV,Macbeth,[Aside]  The Prince of Cumberland! that is a step,313
Act I,Scene IV,Macbeth,"On which I must fall down, or else o'erleap,",314
Act I,Scene IV,Macbeth,"For in my way it lies. Stars, hide your fires;",315
Act I,Scene IV,Macbeth,Let not light see my black and deep desires:,316
Act I,Scene IV,Macbeth,"The eye wink at the hand; yet let that be,",317
Act I,Scene IV,Macbeth,"Which the eye fears, when it is done, to see.",318
Act I,Scene IV,[stage direction],Exit,NA
Act I,Scene IV,Duncan,"True, worthy Banquo; he is full so valiant,",319
Act I,Scene IV,Duncan,And in his commendations I am fed;,320
Act I,Scene IV,Duncan,"It is a banquet to me. Let's after him,",321
Act I,Scene IV,Duncan,Whose care is gone before to bid us welcome:,322
Act I,Scene IV,Duncan,It is a peerless kinsman.,323
Act I,Scene IV,[stage direction],Flourish. Exeunt,NA
Act I,Scene V,[stage direction],"Enter LADY MACBETH, reading a letter",NA
Act I,Scene V,Lady Macbeth,'They met me in the day of success: and I have,324
Act I,Scene V,Lady Macbeth,"learned by the perfectest report, they have more in",325
Act I,Scene V,Lady Macbeth,them than mortal knowledge. When I burned in desire,326
Act I,Scene V,Lady Macbeth,"to question them further, they made themselves air,",327
Act I,Scene V,Lady Macbeth,into which they vanished. Whiles I stood rapt in,328
Act I,Scene V,Lady Macbeth,"the wonder of it, came missives from the king, who",329
Act I,Scene V,Lady Macbeth,"all-hailed me 'Thane of Cawdor;' by which title,",330
Act I,Scene V,Lady Macbeth,"before, these weird sisters saluted me, and referred",331
Act I,Scene V,Lady Macbeth,"me to the coming on of time, with 'Hail, king that",332
Act I,Scene V,Lady Macbeth,shalt be!' This have I thought good to deliver,333
Act I,Scene V,Lady Macbeth,"thee, my dearest partner of greatness, that thou",334
Act I,Scene V,Lady Macbeth,"mightst not lose the dues of rejoicing, by being",335
Act I,Scene V,Lady Macbeth,ignorant of what greatness is promised thee. Lay it,336
Act I,Scene V,Lady Macbeth,"to thy heart, and farewell.'",337
Act I,Scene V,Lady Macbeth,"Glamis thou art, and Cawdor; and shalt be",338
Act I,Scene V,Lady Macbeth,What thou art promised: yet do I fear thy nature;,339
Act I,Scene V,Lady Macbeth,It is too full o' the milk of human kindness,340
Act I,Scene V,Lady Macbeth,To catch the nearest way: thou wouldst be great;,341
Act I,Scene V,Lady Macbeth,"Art not without ambition, but without",342
Act I,Scene V,Lady Macbeth,"The illness should attend it: what thou wouldst highly,",343
Act I,Scene V,Lady Macbeth,"That wouldst thou holily; wouldst not play false,",344
Act I,Scene V,Lady Macbeth,"And yet wouldst wrongly win: thou'ldst have, great Glamis,",345
Act I,Scene V,Lady Macbeth,"That which cries 'Thus thou must do, if thou have it;",346
Act I,Scene V,Lady Macbeth,And that which rather thou dost fear to do,347
Act I,Scene V,Lady Macbeth,"Than wishest should be undone.' Hie thee hither,",348
Act I,Scene V,Lady Macbeth,That I may pour my spirits in thine ear;,349
Act I,Scene V,Lady Macbeth,And chastise with the valour of my tongue,350
Act I,Scene V,Lady Macbeth,"All that impedes thee from the golden round,",351
Act I,Scene V,Lady Macbeth,Which fate and metaphysical aid doth seem,352
Act I,Scene V,Lady Macbeth,To have thee crown'd withal.,353
Act I,Scene V,[stage direction],Enter a Messenger,NA
Act I,Scene V,Lady Macbeth,What is your tidings?,354
Act I,Scene V,Messenger,The king comes here to-night.,355
Act I,Scene V,Lady Macbeth,Thou'rt mad to say it:,356
Act I,Scene V,Lady Macbeth,"Is not thy master with him? who, were't so,",357
Act I,Scene V,Lady Macbeth,Would have inform'd for preparation.,358
Act I,Scene V,Messenger,"So please you, it is true: our thane is coming:",359
Act I,Scene V,Messenger,"One of my fellows had the speed of him,",360
Act I,Scene V,Messenger,"Who, almost dead for breath, had scarcely more",361
Act I,Scene V,Messenger,Than would make up his message.,362
Act I,Scene V,Lady Macbeth,Give him tending;,363
Act I,Scene V,Lady Macbeth,He brings great news.,364
Act I,Scene V,[stage direction],Exit Messenger,NA
Act I,Scene V,Lady Macbeth,The raven himself is hoarse,365
Act I,Scene V,Lady Macbeth,That croaks the fatal entrance of Duncan,366
Act I,Scene V,Lady Macbeth,"Under my battlements. Come, you spirits",367
Act I,Scene V,Lady Macbeth,"That tend on mortal thoughts, unsex me here,",368
Act I,Scene V,Lady Macbeth,And fill me from the crown to the toe top-full,369
Act I,Scene V,Lady Macbeth,Of direst cruelty! make thick my blood;,370
Act I,Scene V,Lady Macbeth,"Stop up the access and passage to remorse,",371
Act I,Scene V,Lady Macbeth,That no compunctious visitings of nature,372
Act I,Scene V,Lady Macbeth,"Shake my fell purpose, nor keep peace between",373
Act I,Scene V,Lady Macbeth,"The effect and it! Come to my woman's breasts,",374
Act I,Scene V,Lady Macbeth,"And take my milk for gall, you murdering ministers,",375
Act I,Scene V,Lady Macbeth,Wherever in your sightless substances,376
Act I,Scene V,Lady Macbeth,"You wait on nature's mischief! Come, thick night,",377
Act I,Scene V,Lady Macbeth,"And pall thee in the dunnest smoke of hell,",378
Act I,Scene V,Lady Macbeth,"That my keen knife see not the wound it makes,",379
Act I,Scene V,Lady Macbeth,"Nor heaven peep through the blanket of the dark,",380
Act I,Scene V,Lady Macbeth,"To cry 'Hold, hold!'",381
Act I,Scene V,[stage direction],Enter MACBETH,NA
Act I,Scene V,Lady Macbeth,Great Glamis! worthy Cawdor!,382
Act I,Scene V,Lady Macbeth,"Greater than both, by the all-hail hereafter!",383
Act I,Scene V,Lady Macbeth,Thy letters have transported me beyond,384
Act I,Scene V,Lady Macbeth,"This ignorant present, and I feel now",385
Act I,Scene V,Lady Macbeth,The future in the instant.,386
Act I,Scene V,Macbeth,"My dearest love,",387
Act I,Scene V,Macbeth,Duncan comes here to-night.,388
Act I,Scene V,Lady Macbeth,And when goes hence?,389
Act I,Scene V,Macbeth,"To-morrow, as he purposes.",390
Act I,Scene V,Lady Macbeth,"O, never",391
Act I,Scene V,Lady Macbeth,Shall sun that morrow see!,392
Act I,Scene V,Lady Macbeth,"Your face, my thane, is as a book where men",393
Act I,Scene V,Lady Macbeth,"May read strange matters. To beguile the time,",394
Act I,Scene V,Lady Macbeth,"Look like the time; bear welcome in your eye,",395
Act I,Scene V,Lady Macbeth,"Your hand, your tongue: look like the innocent flower,",396
Act I,Scene V,Lady Macbeth,But be the serpent under't. He that's coming,397
Act I,Scene V,Lady Macbeth,Must be provided for: and you shall put,398
Act I,Scene V,Lady Macbeth,This night's great business into my dispatch;,399
Act I,Scene V,Lady Macbeth,Which shall to all our nights and days to come,400
Act I,Scene V,Lady Macbeth,Give solely sovereign sway and masterdom.,401
Act I,Scene V,Macbeth,We will speak further.,402
Act I,Scene V,Lady Macbeth,Only look up clear;,403
Act I,Scene V,Lady Macbeth,To alter favour ever is to fear:,404
Act I,Scene V,Lady Macbeth,Leave all the rest to me.,405
Act I,Scene V,[stage direction],Exeunt,NA
Act I,Scene VI,[stage direction],"Hautboys and torches. Enter DUNCAN, MALCOLM,  DONALBAIN, BANQUO, LENNOX, MACDUFF, ROSS, ANGUS, and Attendants",NA
Act I,Scene VI,Duncan,This castle hath a pleasant seat; the air,406
Act I,Scene VI,Duncan,Nimbly and sweetly recommends itself,407
Act I,Scene VI,Duncan,Unto our gentle senses.,408
Act I,Scene VI,Banquo,"This guest of summer,",409
Act I,Scene VI,Banquo,"The temple-haunting martlet, does approve,",410
Act I,Scene VI,Banquo,"By his loved mansionry, that the heaven's breath",411
