franchise,revenue_category,revenue,year_created,original_media,creators,owners
Avengers,Box Office,7,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Avengers,Comic or Manga,0.131,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Avengers,Home Video/Entertainment,0.459,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Avengers,"Merchandise, Licensing & Retail",5,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Barbie,Box Office,0.005,1987,Animated film,Ruth Handler,Mattel
Barbie,Home Video/Entertainment,1,1987,Animated film,Ruth Handler,Mattel
Barbie,"Merchandise, Licensing & Retail",22,1987,Animated film,Ruth Handler,Mattel
Batman,Box Office,4,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
Batman,Home Video/Entertainment,1,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
Batman,"Merchandise, Licensing & Retail",20,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
Batman,TV,0.04,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
Ben 10,"Merchandise, Licensing & Retail",7,2005,Animated series,Man of Action Studios,Cartoon Network (AT&T)
Beyblade,Box Office,0.009000000000000001,1999,Manga,Takao Aoki,Shogakukan (Hitotsubashi Group)
Beyblade,"Merchandise, Licensing & Retail",4,1999,Manga,Takao Aoki,Shogakukan (Hitotsubashi Group)
Bleach,Box Office,0.04,2001,Manga,Tite Kubo,Shueisha (Hitotsubashi Group) Pierrot
Bleach,Comic or Manga,6.74,2001,Manga,Tite Kubo,Shueisha (Hitotsubashi Group) Pierrot
Bleach,Home Video/Entertainment,0.026000000000000002,2001,Manga,Tite Kubo,Shueisha (Hitotsubashi Group) Pierrot
Bleach,"Merchandise, Licensing & Retail",0.26,2001,Manga,Tite Kubo,Shueisha (Hitotsubashi Group) Pierrot
Bob the Builder,"Merchandise, Licensing & Retail",5,1998,Animated series,Keith Chapman,DHX Media
Call of Duty,Video Games/Games,17,2003,Video game,Infinity Ward,Activision (Activision Blizzard)
Candy Crush Saga,Video Games/Games,4,2012,Video game,King,King (Activision Blizzard)
Care Bears,Box Office,0.052000000000000005,1981,Greeting card,American Greetings,American Greetings
Care Bears,"Merchandise, Licensing & Retail",5,1981,Greeting card,American Greetings,American Greetings
Cars,Box Office,2,2006,Animated film,John Lasseter,The Walt Disney Company
Cars,Home Video/Entertainment,0.654,2006,Animated film,John Lasseter,The Walt Disney Company
Cars,"Merchandise, Licensing & Retail",19,2006,Animated film,John Lasseter,The Walt Disney Company
CrossFire,Video Games/Games,10,2007,Video game,Smilegate,Smilegate Tencent
DC Extended Universe,Box Office,5,2013,Film,DC Entertainment,DC Entertainment (AT&T)
DC Extended Universe,Home Video/Entertainment,0.704,2013,Film,DC Entertainment,DC Entertainment (AT&T)
DC Extended Universe,"Merchandise, Licensing & Retail",0.5,2013,Film,DC Entertainment,DC Entertainment (AT&T)
Despicable Me / Minions,Box Office,3,2010,Animated film,Sergio Pablos,Illumination Entertainment Universal Pictures (Comcast)
Despicable Me / Minions,Home Video/Entertainment,0.686,2010,Animated film,Sergio Pablos,Illumination Entertainment Universal Pictures (Comcast)
Despicable Me / Minions,"Merchandise, Licensing & Retail",3,2010,Animated film,Sergio Pablos,Illumination Entertainment Universal Pictures (Comcast)
Detective Conan / Case Closed,Box Office,1,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
Detective Conan / Case Closed,Comic or Manga,4,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
Detective Conan / Case Closed,Home Video/Entertainment,0.134,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
Detective Conan / Case Closed,"Merchandise, Licensing & Retail",0.366,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
Detective Conan / Case Closed,Music,0.185,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
Digimon,Box Office,0.14300000000000002,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
Digimon,Comic or Manga,0.252,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
Digimon,Home Video/Entertainment,0.059000000000000004,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
Digimon,"Merchandise, Licensing & Retail",5,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
Digimon,Video Games/Games,0.514,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
Disney Princess,Home Video/Entertainment,0.042,2000,Animated series,Andy Mooney,The Walt Disney Company
Disney Princess,"Merchandise, Licensing & Retail",44,2000,Animated series,Andy Mooney,The Walt Disney Company
Dora the Explorer,Home Video/Entertainment,0.25,2000,Animated series,Chris Gifford  Valerie Walsh Eric Weiner,Nickelodeon (Viacom)
Dora the Explorer,"Merchandise, Licensing & Retail",15,2000,Animated series,Chris Gifford  Valerie Walsh Eric Weiner,Nickelodeon (Viacom)
Doraemon,Box Office,1,1969,Manga,Fujiko F. Fujio,Shogakukan-Shueisha (Hitotsubashi Group)
Doraemon,"Merchandise, Licensing & Retail",5,1969,Manga,Fujiko F. Fujio,Shogakukan-Shueisha (Hitotsubashi Group)
Dragon Ball,Box Office,0.8170000000000001,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,Comic or Manga,9,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,Home Video/Entertainment,1,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,"Merchandise, Licensing & Retail",5,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,Music,0.047,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,Video Games/Games,5.961,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Quest,Comic or Manga,4.471,1986,Video game,Yuji Horii Koichi Nakamura  Akira Toriyama,Square Enix
Dragon Quest,Home Video/Entertainment,0.006,1986,Video game,Yuji Horii Koichi Nakamura  Akira Toriyama,Square Enix
Dragon Quest,"Merchandise, Licensing & Retail",0.988,1986,Video game,Yuji Horii Koichi Nakamura  Akira Toriyama,Square Enix
Dragon Quest,Video Games/Games,6,1986,Video game,Yuji Horii Koichi Nakamura  Akira Toriyama,Square Enix
Dungeon Fighter Online,Video Games/Games,10,2005,Video game,Neople,Nexon Tencent
Fast & Furious,Box Office,5,2001,Film,Gary Scott Thompson,Universal Pictures (Comcast)
Fast & Furious,Home Video/Entertainment,0.466,2001,Film,Gary Scott Thompson,Universal Pictures (Comcast)
Fate,Box Office,0.032,2004,Visual novel,Type-Moon,Type-Moon (visual novel) Aniplex (Sony Music Entertainment Japan) (mobile game)
Fate,Comic or Manga,0.038,2004,Visual novel,Type-Moon,Type-Moon (visual novel) Aniplex (Sony Music Entertainment Japan) (mobile game)
Fate,Home Video/Entertainment,0.371,2004,Visual novel,Type-Moon,Type-Moon (visual novel) Aniplex (Sony Music Entertainment Japan) (mobile game)
Fate,"Merchandise, Licensing & Retail",0.128,2004,Visual novel,Type-Moon,Type-Moon (visual novel) Aniplex (Sony Music Entertainment Japan) (mobile game)
Fate,Video Games/Games,3,2004,Visual novel,Type-Moon,Type-Moon (visual novel) Aniplex (Sony Music Entertainment Japan) (mobile game)
Final Fantasy,Book sales,0.213,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,Box Office,0.092,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,Home Video/Entertainment,0.343,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,"Merchandise, Licensing & Retail",0.41600000000000004,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,Music,0.121,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,Video Games/Games,10.014,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Fist of the North Star,Box Office,0.032,1983,Manga,Buronson Tetsuo Hara,Shueisha (Hitotsubashi Group) (manga)  Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
Fist of the North Star,Comic or Manga,3,1983,Manga,Buronson Tetsuo Hara,Shueisha (Hitotsubashi Group) (manga)  Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
Fist of the North Star,Home Video/Entertainment,0.037,1983,Manga,Buronson Tetsuo Hara,Shueisha (Hitotsubashi Group) (manga)  Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
Fist of the North Star,"Merchandise, Licensing & Retail",0.026000000000000002,1983,Manga,Buronson Tetsuo Hara,Shueisha (Hitotsubashi Group) (manga)  Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
Fist of the North Star,Video Games/Games,17.373,1983,Manga,Buronson Tetsuo Hara,Shueisha (Hitotsubashi Group) (manga)  Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
Friends,Home Video/Entertainment,0.13,1994,Television series,David Crane Marta Kauffman,Bright/Kauffman/Crane Productions Warner Bros. (AT&T)
Friends,TV,4,1994,Television series,David Crane Marta Kauffman,Bright/Kauffman/Crane Productions Warner Bros. (AT&T)
Frozen,Box Office,1,2013,Animated film,Chris Buck Jennifer Lee,The Walt Disney Company
Frozen,Home Video/Entertainment,0.391,2013,Animated film,Chris Buck Jennifer Lee,The Walt Disney Company
Frozen,"Merchandise, Licensing & Retail",9,2013,Animated film,Chris Buck Jennifer Lee,The Walt Disney Company
Frozen,Music,0.082,2013,Animated film,Chris Buck Jennifer Lee,The Walt Disney Company
Gran Turismo,Video Games/Games,4,1997,Video game,Kazunori Yamauchi Polyphony Digital,Sony
Grand Theft Auto,Video Games/Games,9,1997,Video game,David Jones Mike Dailly,Rockstar Games (Take-Two Interactive)
Gundam,Box Office,0.14,1979,Anime,Yoshiyuki Tomino,Sunrise (Bandai Namco Holdings)
Gundam,Comic or Manga,0.2,1979,Anime,Yoshiyuki Tomino,Sunrise (Bandai Namco Holdings)
Gundam,"Merchandise, Licensing & Retail",25,1979,Anime,Yoshiyuki Tomino,Sunrise (Bandai Namco Holdings)
Gundam,Video Games/Games,0.185,1979,Anime,Yoshiyuki Tomino,Sunrise (Bandai Namco Holdings)
Halo,Home Video/Entertainment,1,2001,Video game,Bungie,Microsoft
Halo,Video Games/Games,5,2001,Video game,Bungie,Microsoft
Hello Kitty,Comic or Manga,0.023,1974,Cartoon character,Yuko Shimizu Shintaro Tsuji,Sanrio
Hello Kitty,"Merchandise, Licensing & Retail",80,1974,Cartoon character,Yuko Shimizu Shintaro Tsuji,Sanrio
Hello Kitty,Music,0.003,1974,Cartoon character,Yuko Shimizu Shintaro Tsuji,Sanrio
Hunter × Hunter,Box Office,0.021,1998,Manga,Yoshihiro Togashi,Shueisha (Hitotsubashi Group)
Hunter × Hunter,Comic or Manga,3.324,1998,Manga,Yoshihiro Togashi,Shueisha (Hitotsubashi Group)
Hunter × Hunter,Home Video/Entertainment,0.006,1998,Manga,Yoshihiro Togashi,Shueisha (Hitotsubashi Group)
Ice Age,Box Office,2,2002,Animated film,Blue Sky Studios,20th Century Fox (The Walt Disney Company)
Ice Age,"Merchandise, Licensing & Retail",1,2002,Animated film,Blue Sky Studios,20th Century Fox (The Walt Disney Company)
James Bond,Book sales,0.55,1953,Novel,Ian Fleming,Metro-Goldwyn-Mayer
James Bond,Box Office,7,1953,Novel,Ian Fleming,Metro-Goldwyn-Mayer
James Bond,Home Video/Entertainment,3,1953,Novel,Ian Fleming,Metro-Goldwyn-Mayer
James Bond,"Merchandise, Licensing & Retail",3,1953,Novel,Ian Fleming,Metro-Goldwyn-Mayer
James Bond,Video Games/Games,0.35100000000000003,1953,Novel,Ian Fleming,Metro-Goldwyn-Mayer
JoJo's Bizarre Adventure,Box Office,0.002,1987,Manga,Hirohiko Araki,Shueisha (Hitotsubashi Group)
JoJo's Bizarre Adventure,Comic or Manga,8.489,1987,Manga,Hirohiko Araki,Shueisha (Hitotsubashi Group)
JoJo's Bizarre Adventure,Home Video/Entertainment,0.04,1987,Manga,Hirohiko Araki,Shueisha (Hitotsubashi Group)
JoJo's Bizarre Adventure,"Merchandise, Licensing & Retail",0.023,1987,Manga,Hirohiko Araki,Shueisha (Hitotsubashi Group)
JoJo's Bizarre Adventure,Video Games/Games,0.306,1987,Manga,Hirohiko Araki,Shueisha (Hitotsubashi Group)
Jurassic Park,Box Office,4,1990,Novel,Michael Crichton,Alfred A. Knopf (novel) Universal Pictures (Comcast) (film)
Jurassic Park,Home Video/Entertainment,0.678,1990,Novel,Michael Crichton,Alfred A. Knopf (novel) Universal Pictures (Comcast) (film)
Jurassic Park,"Merchandise, Licensing & Retail",3,1990,Novel,Michael Crichton,Alfred A. Knopf (novel) Universal Pictures (Comcast) (film)
KochiKame,Box Office,0.01,1976,Manga,Osamu Akimoto,Shueisha (Hitotsubashi Group)
KochiKame,Comic or Manga,15.807,1976,Manga,Osamu Akimoto,Shueisha (Hitotsubashi Group)
Kumamon,Box Office,0.065,2010,Cartoon,Kumamoto Prefecture,Kumamoto Prefecture
Kumamon,"Merchandise, Licensing & Retail",4,2010,Cartoon,Kumamoto Prefecture,Kumamoto Prefecture
League of Legends,Video Games/Games,8,2009,Video game,Riot Games,Tencent
Looney Tunes,Box Office,0.299,1930,Animated cartoon,Warner Bros.,Warner Bros. (AT&T)
Looney Tunes,"Merchandise, Licensing & Retail",13,1930,Animated cartoon,Warner Bros.,Warner Bros. (AT&T)
Mario,Box Office,0.021,1981,Video game,Shigeru Miyamoto,Nintendo
Mario,Comic or Manga,1,1981,Video game,Shigeru Miyamoto,Nintendo
Mario,"Merchandise, Licensing & Retail",4,1981,Video game,Shigeru Miyamoto,Nintendo
Mario,Video Games/Games,30,1981,Video game,Shigeru Miyamoto,Nintendo
Marvel Cinematic Universe,Box Office,21,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
Marvel Cinematic Universe,Home Video/Entertainment,5,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
Marvel Cinematic Universe,"Merchandise, Licensing & Retail",5,2008,Film,Marvel Studios,Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)
Mickey Mouse & Friends,Box Office,0.457,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
Mickey Mouse & Friends,Home Video/Entertainment,0.28,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
Mickey Mouse & Friends,"Merchandise, Licensing & Retail",69,1928,Animated cartoon,Walt Disney Ub Iwerks,The Walt Disney Company
Middle-earth / Lord of the Rings,Book sales,9,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
Middle-earth / Lord of the Rings,Box Office,5,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
Middle-earth / Lord of the Rings,Home Video/Entertainment,4,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
Middle-earth / Lord of the Rings,"Merchandise, Licensing & Retail",0.66,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
Middle-earth / Lord of the Rings,Video Games/Games,0.062,1937,Novel,J. R. R. Tolkien,Tolkien Estate (books)  Warner Bros. (AT&T) (films)
Minecraft,"Merchandise, Licensing & Retail",3,2009,Video game,Markus Persson,Microsoft Studios
Minecraft,Video Games/Games,2,2009,Video game,Markus Persson,Microsoft Studios
Mission: Impossible,Box Office,3,1966,Television series,Bruce Geller,Paramount Pictures (Viacom)
Mission: Impossible,Home Video/Entertainment,0.146,1966,Television series,Bruce Geller,Paramount Pictures (Viacom)
Monster Strike,Box Office,0.01,2013,Video game,Yoshiki Okamoto,Mixi
Monster Strike,Video Games/Games,7,2013,Video game,Yoshiki Okamoto,Mixi
Mortal Kombat,Box Office,0.17300000000000001,1992,Video game,Midway Games Chicago Ed Boon John Tobias,Warner Bros. (AT&T)
Mortal Kombat,Video Games/Games,1,1992,Video game,Midway Games Chicago Ed Boon John Tobias,Warner Bros. (AT&T)
My Little Pony,Box Office,0.067,1984,Animated cartoon,Lauren Faust Bonnie Zacherle,Hasbro
My Little Pony,Home Video/Entertainment,0.004,1984,Animated cartoon,Lauren Faust Bonnie Zacherle,Hasbro
My Little Pony,"Merchandise, Licensing & Retail",4,1984,Animated cartoon,Lauren Faust Bonnie Zacherle,Hasbro
Naruto,Box Office,0.147,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
Naruto,Comic or Manga,7,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
Naruto,Home Video/Entertainment,0.10400000000000001,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
Naruto,"Merchandise, Licensing & Retail",1,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
Naruto,Video Games/Games,0.603,1999,Manga,Masashi Kishimoto,Shueisha (Hitotsubashi Group) Pierrot
Neon Genesis Evangelion,Box Office,0.198,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
Neon Genesis Evangelion,Comic or Manga,0.18,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
Neon Genesis Evangelion,Home Video/Entertainment,0.848,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
Neon Genesis Evangelion,"Merchandise, Licensing & Retail",2,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
Neon Genesis Evangelion,Music,0.981,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
Neon Genesis Evangelion,Video Games/Games,11.03,1994,Anime,Hideaki Anno Gainax Tatsunoko Production,Khara[dc][279][280]
One Piece,Box Office,0.433,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
One Piece,Comic or Manga,10,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
One Piece,Home Video/Entertainment,1,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
One Piece,"Merchandise, Licensing & Retail",5,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
One Piece,Video Games/Games,1,1997,Manga,Eiichiro Oda,Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)
Pac-Man,"Merchandise, Licensing & Retail",1,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
Pac-Man,Music,0.032,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
Pac-Man,Video Games/Games,14,1980,Video game,Toru Iwatani Namco,Bandai Namco Entertainment (Bandai Namco Holdings)
PAW Patrol,"Merchandise, Licensing & Retail",7,2011,Animated series,Keith Chapman,Viacom
Peanuts,Box Office,0.25,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
Peanuts,Home Video/Entertainment,0.035,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
Peanuts,"Merchandise, Licensing & Retail",17,1950,Comic strip,Charles M. Schulz,Sony Music Entertainment Japan (Sony Corporation) DHX Media
Pirates of the Caribbean,Box Office,4,2003,Film,The Walt Disney Company,The Walt Disney Company
Pirates of the Caribbean,Home Video/Entertainment,1,2003,Film,The Walt Disney Company,The Walt Disney Company
Pirates of the Caribbean,"Merchandise, Licensing & Retail",1,2003,Film,The Walt Disney Company,The Walt Disney Company
Pokémon,Box Office,1,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pokémon,Comic or Manga,1,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pokémon,Home Video/Entertainment,0.863,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pokémon,"Merchandise, Licensing & Retail",61,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pokémon,Video Games/Games,27,1996,Video game,Satoshi Tajiri Ken Sugimori,"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"
Pretty Cure / Glitter Force,Box Office,0.161,2004,Anime,Izumi Todo Toei Animation,Toei Company Asahi Broadcasting Corporation Asatsu-DK
Pretty Cure / Glitter Force,"Merchandise, Licensing & Retail",7,2004,Anime,Izumi Todo Toei Animation,Toei Company Asahi Broadcasting Corporation Asatsu-DK
Pretty Cure / Glitter Force,Video Games/Games,0.067,2004,Anime,Izumi Todo Toei Animation,Toei Company Asahi Broadcasting Corporation Asatsu-DK
Puzzle & Dragons,Video Games/Games,7,2012,Video game,GungHo Online,GungHo Online
Resident Evil,Box Office,1,1996,Video game,Shinji Mikami Tokuro Fujiwara,Capcom
Resident Evil,Home Video/Entertainment,0.168,1996,Video game,Shinji Mikami Tokuro Fujiwara,Capcom
Resident Evil,Video Games/Games,3.52,1996,Video game,Shinji Mikami Tokuro Fujiwara,Capcom
Rurouni Kenshin / Samurai X,Box Office,0.159,1994,Manga,Nobuhiro Watsuki,Shueisha (Hitotsubashi Group)
Rurouni Kenshin / Samurai X,Comic or Manga,3.36,1994,Manga,Nobuhiro Watsuki,Shueisha (Hitotsubashi Group)
Rurouni Kenshin / Samurai X,Home Video/Entertainment,0.051000000000000004,1994,Manga,Nobuhiro Watsuki,Shueisha (Hitotsubashi Group)
Sailor Moon,Box Office,0.042,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
Sailor Moon,Comic or Manga,0.521,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
Sailor Moon,Home Video/Entertainment,0.546,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
Sailor Moon,"Merchandise, Licensing & Retail",13,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
Sailor Moon,Video Games/Games,0.21,1991,Manga,Naoko Takeuchi,Kodansha Toei Animation
Sesame Street / The Muppets,Box Office,0.47700000000000004,1955,Television series,Jim Henson Joan Ganz Cooney Lloyd Morrisett,The Muppets Studio (The Walt Disney Company) Sesame Workshop
Sesame Street / The Muppets,Home Video/Entertainment,0.07300000000000001,1955,Television series,Jim Henson Joan Ganz Cooney Lloyd Morrisett,The Muppets Studio (The Walt Disney Company) Sesame Workshop
Sesame Street / The Muppets,"Merchandise, Licensing & Retail",7,1955,Television series,Jim Henson Joan Ganz Cooney Lloyd Morrisett,The Muppets Studio (The Walt Disney Company) Sesame Workshop
Sesame Street / The Muppets,TV,0.096,1955,Television series,Jim Henson Joan Ganz Cooney Lloyd Morrisett,The Muppets Studio (The Walt Disney Company) Sesame Workshop
Shōnen Jump / Jump Comics,Comic or Manga,33,1968,Manga,Shueisha,Shueisha (Hitotsubashi Group) (manga) Bandai Namco (games)
Shōnen Jump / Jump Comics,Video Games/Games,0.217,1968,Manga,Shueisha,Shueisha (Hitotsubashi Group) (manga) Bandai Namco (games)
Shrek,Box Office,3,1990,Novel,William Steig DreamWorks Animation,Universal Pictures (Comcast)
Shrek,Home Video/Entertainment,1,1990,Novel,William Steig DreamWorks Animation,Universal Pictures (Comcast)
Shrek,"Merchandise, Licensing & Retail",0.275,1990,Novel,William Steig DreamWorks Animation,Universal Pictures (Comcast)
Slam Dunk,Box Office,0.048,1990,Manga,Takehiko Inoue,Shueisha (Hitotsubashi Group)
Slam Dunk,Comic or Manga,4.591,1990,Manga,Takehiko Inoue,Shueisha (Hitotsubashi Group)
Slam Dunk,Home Video/Entertainment,0.019,1990,Manga,Takehiko Inoue,Shueisha (Hitotsubashi Group)
Sonic the Hedgehog,Comic or Manga,0.007,1991,Video game,Yuji Naka Naoto Ohshima Hirokazu Yasuhara,Sega (Sega Sammy Holdings)
Sonic the Hedgehog,"Merchandise, Licensing & Retail",1,1991,Video game,Yuji Naka Naoto Ohshima Hirokazu Yasuhara,Sega (Sega Sammy Holdings)
