paper,year,month,title
w0057,1974,9,"Varying-Parameter Supply Functions and the Sources of Economic Distress in American Agriculture, 1866-1914"
w0058,1974,9,A Monte Carlo Study of Two Robust Alternatives of Least Square Regression Estimation
w0059,1974,10,An Analysis of Firm Demand for Protection Against Crime
w0060,1974,10,The Variances of Regression Coefficient Estimates Using Aggregate Data
w0061,1974,11,Factoring LP Block-Angular Bases
w0062,1974,11,The Private Enforcement of Law
w0063,1974,12,Censored Regression Models with Unobserved Stochastic Censoring Thresholds
w0064,1974,12,"Data Analysis, Communication, and Control"
w0065,1974,12,Rational Distributed Lag Structural Form--A General Econometric Model
w0066,1974,12,Detecting and Assessing the Problems Caused by Multi-Collinearity: A Use of the Singular-Value Decomposition
w0067,1975,1,Human Capital and Labor Supply: A Synthesis
w0068,1974,10,On a General Computer Algorithm for the Analysis of Models with Limited Dependent Variables
w0069,1974,10,Ridge Estimators for Distributed Lag Models
w0070,1974,10,Analysis of Qualitative Variables
w0071,1975,1,On the Theory of Productive Saving
w0072,1974,12,The Goodness of Match
w0073,1975,2,The Role of Physicians in the Production of Hospital Output
w0074,1975,3,Variation Across Household in the Rate of Inflation
w0075,1975,3,Implementing and Documenting Random Number Generators
w0076,1975,3,Robust Non-Linear Regression Using The Dogleg Algorithm
w0077,1975,3,FIML Estimation of Rational Distributed Lag Structural Form Models
w0078,1975,3,Tables of Sample Size For the F-Test in One Way Analysis of Variance Designs
w0079,1975,3,The Consumer Expenditure Function
w0080,1975,4,Inequality: Earnings vs. Human Wealth
w0081,1975,5,The Parental Bequest to Children
w0082,1975,5,Certain Aspects of Generalized Box-Jenkins Models
w0083,1975,5,Robust Line Estimation With Errors in Both Variables
w0084,1975,5,A Comparison of Two Simple Methods for Obtaining Robust Confidence Intervals
w0085,1975,5,On the Identification of Time Varying Structures
w0086,1975,5,The Use of the Box Step Method in Discrete Optimization
w0087,1975,5,Exports and Foreign Investment in the Pharmaceutical Industry
w0088,1975,5,"Three-And-A-Half Million U.S. Employees Have Been Mislaid: Or, An Explanation of Unemployment, 1934-1941"
w0089,1975,6,Alternative Prior Representations of Smoothness for Distributed Lag Estimation
w0090,1975,6,The Maximum Likelihood Stage Least Squares Estimator in the Nonlinear Simultaneous Equations Model
w0091,1975,6,Autoregressive Spectrum Estimation Technique Allied to Quarterly Consumer Durables Expenditure Data
w0092,1975,6,Schooling as a Wage Depressant
w0093,1975,6,Rational Expectations and the Dynamic Structure of Macroeconomic Models: A Critical Review
w0094,1975,7,"Decision-Stage Method: Convergence Proof, Special Application, and Computation Experience"
w0095,1975,7,"Qualitative Information, Reputation, and Monopolistic Competition"
w0096,1975,7,Specification Errors in Limited Dependent Variable Models
w0097,1975,7,Human Wealth and Human Capital
w0098,1975,7,The Demand for Nursing Home Care: An Analysis of the Substitution Between Institutional and Noninstitutional Care
w0099,1975,7,"The Earnings of Scientists, 1960-1970: Experience, Age and Vintage Effects"
w0100,1975,8,Finding a Dual Feasible Solution to an LP with M Equalities in (l&M) Dual Iterations
w0101,1975,8,Innovation and Foreign Investment Behavior of the U.S. Pharmaceutical Industry
w0102,1975,8,Education and Screening
w0103,1975,9,Rosepack Document 1: Guidelines for Writing Semi-portable Fortran
w0104,1975,9,Education: Consumption or Production
w0105,1975,10,Time-Utilization of a Population of General Practitioners in a Prepaid Group Practice
w0106,1975,10,Parametric Integer Programming the Right Hand Side Case
w0107,1975,10,Social Security and Retirement Decisions
w0108,1975,10,Are Health Workers Underpaid?
w0109,1975,11,Notes on Automating Stem and Leaf Displays
w0110,1975,10,The Independent Judiciary in an Interest-Group Perspective
w0111,1975,11,Confidence Regions for Robust Regression
w0112,1975,11,A Beta-Logistic Model for the Analysis of Sequential Labor Force Participation by Married Women
w0113,1975,11,Random Directed Graph Distributions in the Triad Census in Social Networks
w0114,1975,11,On the Measurement of Benefits in an Urban Context: Some General Equilibrium Issues
w0115,1975,11,"The Production of Health Services in Fee for Service, for Profit Health Practices: The Case of Optometrists"
w0116,1975,11,Notes on the Tax Treatment of Human Capital
w0117,1980,4,Job Mobility and Earnings Growth
w0118,1975,12,The International Transfer of Semi-Conductor Technology Through U.S. Based Firms
w0119,1976,1,Interequation Constraint and the Specification of Dynamic Structure
w0120,1976,1,"From Bismark to Woodcock: The ""Irrational"" Pursuit of National Health Insurance"
w0121,1976,1,Analysis of Longitudinal Earnings Data: American Scientists 1960-70
w0122,1976,2,The Market for Optometric Services in the United States
w0123,1976,2,"Child Endowments, and the Quantity and Quality of Children"
w0124,1976,2,Representing Symmetric Rank Two Updates
w0125,1976,3,On Modifying Singular Values to Solve Possible Singular Systems of Non-Linear Equations
w0126,1976,3,Transnational Activity and Market Entry in the Semiconductor Industry
w0127,1976,3,Identification Theory for Time Varying Models
w0128,1976,3,A Note on Optimal Smoothing for Time Varying Coefficient Problems
w0129,1976,3,A Survey of Recent Research in Health Economics
w0130,1976,3,Rosepack Document 3: Guidelines for Writing Semi-Portable Fortran
w0131,1976,3,Exports and Foreign Investment in Manufacturing Industries
w0132,1976,4,"Health, Family Structure, and Labor Supply"
w0133,1976,4,Toward a More General Theory of Regulation
w0134,1979,4,The Demand for Pediatric Care: An Hedonic Approach
w0135,1976,4,"Taxation, Saving and the Rate of Interest"
w0136,1976,6,"Price Behavior in Primary Manufacturing Industries, 1958-1973"
w0137,1976,5,"Leisure, Home Production and Work--The Theory of The Allocation of Time Revisited"
w0138,1976,5,"Experience, Vintage and Time Effects in the Growth of Earnings: American Scientists, 1960-1970"
w0139,1976,5,Treatment Decision-Making in Catastrophic Illness
w0140,1976,6,A Multiplicative Model of Investment in Human Capital
w0141,1980,10,Family Background and Optimal Schooling Decision
w0142,1976,7,Estimation of Econometric Model Using Nonlinear Full Information Maximum Likelihood: Preliminary Computer Results
w0143,1976,8,The Distribution of Earnings Profiles in Longitudinal Data
w0144,1976,8,Optimal Income Redistribution When Individual Welfare Depends Upon Relative Income
w0145,1976,8,Intergenerational Externalities
w0146,1976,8,Legal Precedent: A Theoretical and Empirical Analysis
w0147,1976,8,Factors Affecting Divorce: A Study of the Terman Sample
w0148,1976,8,Who is the Family's Main Breadwinner? The Wife's Contribution to Full Income
w0149,1976,9,"Age, Education and Occupational Earnings Inequality"
w0150,1976,9,Dynamic Aspects of Earnings Mobility
w0151,1976,10,Some Lessons from the New Public Finance
w0152,1976,10,Optimal Tax Theory: Econometric Evidence and Tax Policy
w0153,1976,10,Economics of Marital Instability
w0154,1976,10,Multicollinearity: Diagnosing its Presence and Assessing the Potential Damage It Causes Least Squares Estimation
w0155,1976,11,Foreign Competition and the UK
w0157,1976,11,Efficient Estimation of a Dynamic Error-Shock Model
w0158,1976,12,The Market for Lawyers: The Determinants of the Demand for and Supply of Lawyers
w0159,1976,12,A Conic Algorithm for the Group Minimization Problem
w0160,1977,1,Misintermediation and Business Fluctuation
w0161,1977,1,Middle-Age Job Mobility: Its Determinants and Consequences
w0162,1977,1,"Labor Quality, the Demand for Skill, and Market Selection"
w0163,1977,1,The Gains and Losses From Industrial Concentration
w0164,1977,1,Alternative Trade Strategies and Employment - Plan of Research for Country Studies
w0165,1977,2,Rosepack Document 4: Rank Degeneracies and Least Square Problems
w0166,1977,3,Industrial Demand for Energy
w0167,1977,3,Money And Income Causality Detection
w0168,1977,3,Wage Differentials Are Larger Than You Think
w0169,1977,3,Solving Systems of Non-Linear Equations by Broyden's Method with Projected Updates
w0170,1977,3,The Austrian Theory of the Marginal Use And of Ordinal Marginal Utility
w0171,1977,3,The Effect of Minimum Wage Legislation on Income Equality: A Theoretical Analysis
w0172,1977,3,Sample Selection Bias As a Specification Error (with an Application to the Estimation of Labor Supply Functions)
w0173,1977,3,Linear Regression Diagnostics
w0174,1977,4,Educational Screening and Occupational Earnings
w0175,1977,7,Some Convergence Properties of Broyden's Method
w0176,1977,5,Export and Domestic Prices Under Inflation and Exchange Rate Movements
w0177,1977,5,Dummy Endogenous Variables in a Simultaneous Equation System
w0178,1980,4,"Investors' Portfolio Behavior Under Alternative Models of Long-Term Interest Rate Expectations: Unitary, Rational, or Autoregressive"
w0179,1977,4,Identifying Identical Distributed Lag Structures by the Use of Prior Sum Constraints
w0180,1977,5,An Economic Analysis of Children's Health and Intellectual Development
w0181,1977,6,Price Behavior in the Light of Balance of Payments Theories
w0182,1977,7,Export Prices and Exchange Rates
w0183,1977,6,The Government's Impact on the Labor Market Status of Black Americans: A Critical Review
w0184,1977,7,A Theory of the Production and Allocation of Effort
w0185,1977,7,Estimation of Permanent and Transitory Response Functions in Panels Data: A Dynamic Labor Supply Model
w0186,1980,1,Do Private Pensions Increase National Saving?
w0187,1977,7,A Model of Social Security and Retirement Decisions
w0188,1977,7,Notes on the Public Debt and Social Insurance
w0189,1977,7,A System of Subroutines For Iteratively Reweighted Least Squares Computations
w0190,1977,8,"The Pacific Basin in World Trade: Part I, Current Price Trade Matrices, 1948-1975"
w0191,1977,8,"The Pacific Basin in World Trade: Part II, Constant-Price Trade Matrices, 1955-1975"
w0192,1977,8,"The Pacific Basin in World Trade: Part III, An Analysis of Changing Trade Patterns, 1955-1975"
w0193,1980,11,The Optimal Taxation of Foreign Source Investment Income
w0194,1977,8,Cost-Benefit Analysis Under Uncertainty
w0195,1977,8,Finding Leverage Groups
w0196,1977,8,An Adaptive Nonlinear Least Square Algorithm
w0197,1977,8,An Agricultural Time Series-Cross Section Data Set
w0198,1980,4,The Economics of Migration: An Empirical Analysis with Special Referenceto the Role of Job Mobility
w0199,1977,8,Family Migration Decisions
w0200,1977,8,Share-Tenancy and Family Size in the Brazilian Northeast
w0201,1977,9,The Welfare Cost of Permanent Inflation and Optimal Short-Run Economic Policy
w0202,1977,9,Two Papers on the Recent Rise in U.S. Divorce Rate
w0203,1977,9,"Taxation, Inflation, and Monetary Policy"
w0204,1977,9,The Effect of Social Security on Early Retirement
w0205,1981,1,Structural Models of Interest Rate Determination and Portfolio Behavior in the Corporate and Government Bond Markets
w0206,1980,5,Social Security and Household Wealth Accumulation: New Microeconomic Evidence
w0207,1977,10,Local Government Budgeting: The Econometric Comparison of Political and Bureaucratic Models
w0208,1977,10,An Economic Theory of Self-Control
w0209,1977,10,"Bank Capital Adequacy, Deposit Insurance and Security Values, Part I"
w0210,1977,10,"An Economic Study of U.S. Aircraft Hijacking, 1960-1976"
w0211,1977,11,The Service Industries and U.S. Economic Growth Since World War II
w0212,1977,11,Social Security Wealth: The Impact of Alternative Inflation Adjustments
w0213,1980,8,The Relationship Between Children's Health and Intellectual Development
w0214,1977,11,"Aspects of Optimal Unemployment Insurance: Search, Leisure and Capital Market Imperfections"
w0215,1977,11,Mitigating Demographic Risk Through Social Insurance
w0216,1977,11,An Evaluation of the Role of Factor Markets and Intensities in the Social Security Crisis: A Progress Report
w0217,1977,11,Altruism in Law and Economics
w0218,1977,12,Heterogeneous-Expectations Model of the Value of Bonds Bearing Call Options
w0219,1977,12,The Choice of Diet for Young Children and Its Relation to Children's Growth
w0220,1977,12,Occupational Licensing and the Inter-State Mobility of Professionals
w0221,1977,12,Taxation and Aggregate Factor Supply: Preliminary Estimates
w0222,1977,12,The Cumulative Unanticipated Change in Interest Rates: Evidence on the Misintermediation Hypothesis
w0223,1977,12,The Private and Social Costs of Unemployment
w0224,1978,1,The Earnings Function: A Glimpse Inside the Black Box
w0225,1977,12,Job Satisfaction as an Economic Variable
w0226,1977,12,Fluctuation in Equilibrium Unemployment
w0227,1978,1,"Salvors, Finders, Good Samaritans and Other Rescuers: An Economic Study of Law and Altruism"
w0228,1978,1,Estimating the Family Labor Supply Functions Derived from the Stone-Geary Utility Function
w0229,1978,1,On the Accuracy and Properties of Recent Macroeconomic Forecasts
w0230,1981,1,Family Size and the Distribution of Per Capita Income
w0231,1978,1,Who Puts the Inflation Premium Into Nominal Interests Rates?
w0232,1979,1,"Inflation, Tax Rules, and the Long Term Interest Rates"
w0233,1978,2,Job Mobility and Earnings Over the Life Cycle
w0234,1978,2,Inflation and the Excess Taxation of Capital Gains on Corporate Stock
w0235,1978,3,"Price Inflation, Portfolio Choice, and Nominal Interest Rates"
w0236,1978,3,The Supply of Surgeons and the Demand for Operations
w0237,1978,3,Interest Rate Risk and Capital Adequacy For Traditional Banks and Financial Intermediaries
w0238,1978,3,Price Behavior in the Manufacturing Sector for Sixteen Industries Classified by Stage-of-Process
w0239,1980,5,The Effect of Shifting Wealth Ownership on the Term Structure of Interest Rates
w0240,1979,4,Determinants of Pediatric Care Utilization
w0241,1980,11,"Personal Taxation, Portfolio Choice and The Effect of the Corporation Income Tax"
w0242,1980,11,"The Exit-Voice Tradeoff in the Labor Market: Unionism, Job Tenure, Quits"
w0243,1980,5,Taxation and Corporate Financial Policy
w0244,1978,5,Forecasting with the Index of Leading Indicators
w0245,1978,5,The Propagation of Prices in the Oil Industry
w0246,1978,5,Causation Among Socioeconomic Time-Series
w0247,1978,5,Perspective on Bank Capital Adequacy: Time-Series Analysis
w0248,1978,10,Unionism and the Dispersion of Wages
w0249,1978,6,Education and Self-Selection
w0250,1981,3,The Effects of Taxation on the Selling of Corporate Stock and the Realization of Capital Gains
w0251,1978,7,A Theory of the Natural Unemployment Rate and the Duration of Employment
w0252,1978,7,The Nature and Measurement of Unemployment
w0253,1978,7,Inflation and the Choice of Asset Life
w0254,1980,4,Wealth Maximization and the Cost of Capital
w0255,1980,1,Share Valuation and Corporate Equity Policy
w0256,1978,7,Children's Health and the Family
w0257,1978,7,The Lock-In Effect of the Capital Gains Tax: Some Time Series Evidence
w0258,1978,7,Imported Inflation 1973-74 and the Accommodation Issue
w0259,1978,7,"Inventory Fluctuations, Temporary Layoffs and the Business Cycle"
w0260,1978,7,The Effect of Social Security on Retirement
w0261,1980,12,Survey Evidence on The Rationality of Interest Rate Expectations
w0262,1980,6,Changes in Household Living Arrangements 1950-76
w0263,1978,7,Adjudication as a Private Good
w0264,1978,7,The Pricing of Short-Lived Options When Price Uncertainty Is Log-Symmetric Stable
w0265,1978,7,The Fundamental Determinants of Risk In Banking
w0266,1978,7,Interest Rate Risk and the Regulation of Financial Institutions
w0267,1978,7,Interest Rate Changes and Commercial Bank Revenues and Costs
w0268,1978,7,Calculating the Present Value of An Asset's Future Cash Flows
w0269,1978,7,Tax Neutrality and the Investment Tax Credit
w0270,1978,7,Explaining Movements in Completed Fertility Across Cohorts
w0271,1978,7,Male Wage Rates and Marital Status
w0272,1978,8,"The Social Security Earnings Test, Labor Supply Distortions, and Foregone Payroll Tax Revenues"
w0273,1978,8,New Estimates of the Industrial Locus of Unionism in the United States
w0274,1978,8,The Dynamics of Youth Unemployment
w0275,1978,8,"Fiscal Policies, Inflation and Capital Formation"
w0276,1978,8,Inflation and the Stock Market
w0277,1978,8,Labor Force Transitions and Unemployment
w0278,1980,12,"Experience, Performance, and Earnings"
w0279,1981,10,The 1971-1974 Controls Program and The Price Level: An Econometric Post-Mortem
w0280,1978,9,A Fixed Effect Logit Model of the Impact Of Unionism on Quits
w0281,1978,9,Disequilibrium Growth Theory: The Kaldor Model
w0282,1978,10,Black Economic Progress after 1964: Who Has Gained and Why?
w0283,1978,10,Temporary Income Taxes and Consumer Spending
w0284,1978,10,Crowding Out Or Crowding In? The Economic Consequences of Financing Government Deficits
w0285,1978,10,Wage Growth and Job Turnover: An Empirical Analysis
w0286,1978,10,On the Choice Between Property Rules and Liability Rules
w0287,1978,10,International Reserves Under Alternative Exchange Rate Regimes and Aspects of The Economics of Managed Float
w0288,1978,10,On Transactions and Precautionary Demand For Money
w0289,1978,10,Further Evidence On Expectations And The Demand for Money During the German Hyperinflation
w0290,1978,10,Exchange Rates in The 1920's: A Monetary Approach
w0291,1978,10,Economic Effects of The Firefighters' Union
w0292,1978,10,The Effect of Trade Unionism on Fringe Benefits
w0293,1978,10,Do Multinational Firms Adapt Factor Proportions To Relative Factor Prices?
w0294,1978,10,How Important is Disaggregation in Structural Models of Interest Rate Determination?
w0295,1978,10,Interest Rate Expectations Versus Forward Rates: Evidence From An Expectations Survey
w0296,1978,11,The Effect of Inflation on the Prices of Land And Gold
w0297,1978,11,A Model of Diffusion In the Production of an Innovation
w0298,1978,11,A Status Report on Tax Integration in the United States
w0299,1978,11,Labor Supply Estimates For Public Policy Evaluation
w0300,1978,11,Monetarist Interpretations of the Great Depression: An Evaluation and Critique
w0301,1978,11,Should We Organize? Effects of Faculty Unionism on Academic Compensation
w0302,1978,11,Tax Policy in a Life Cycle Model
w0303,1978,11,Towards An Understanding of the Real Effects and Costs of Inflation
w0304,1978,12,The Changing Cyclical Behavior of Wages and Prices: 1890-1976
w0305,1978,12,The Percent Organized Wage (POW) Relationship for Union and for Nonunion Workers
w0306,1978,12,Efficient Wage Bargains Under Uncertain Supply and Demand
w0307,1978,12,Restriction of International Production: The Effects on the Domestic Economy
w0308,1979,1,Income and Race Differences in Children's Health
w0309,1979,1,How Elastic is The Demand for Labor?
w0310,1979,1,Domestic Savings and International Capital Flows
w0311,1979,1,Monetary Policy Under Exchange Rate Flexibility
w0312,1979,1,Inflation and the Taxation of Capital Income in the Corporate Sector
w0313,1979,1,A Note on Stochastic Rationing Mechanisms
w0314,1979,2,The Effect of Social Security on Private Savings: The Time Series Evidence
w0315,1979,2,"An Empirical Analysis of the Fixed Coefficient 'Manpower Requirements' Model, 1960-1970"
w0316,1979,2,The Effect of Demographic Factors on Age-Earnings Profiles
w0317,1979,2,International Aspects Of Dividend Relief
w0318,1979,2,"Information, Measurement, And Prediction In Economics"
w0319,1979,2,Applied Welfare Economics with Discrete Choice Models
w0320,1979,2,A State Price Index
w0321,1979,2,The Efficient Level Of Public Library Services
w0322,1979,2,Non-Trivial Equilibrium in an Economy With Stochastic Rationing
w0323,1979,3,Comparing Public Library Systems
w0324,1979,3,"Corporate Financial Policy, Taxes, and Uncertainty: An Integration"
w0325,1979,3,Analysis of Covariance With Qualitative Data
w0326,1979,3,A Capital Market In an Equilibrium Business Cycle Model
w0327,1979,3,Sterling and the External Balance
w0328,1979,3,Public Libraries and Labor Markets
w0329,1979,3,Money Stock Revisions and Unanticipated Money Growth
w0330,1979,3,Unionization and Productivity: Microeconometric Evidence
w0331,1979,3,Corporate Supply of Index Bonds
w0332,1979,4,"Unionization, Management Adjustment and Productivity"
w0333,1979,4,Vehicle Currencies And the Structure Of International Exchange
w0334,1979,4,The Effect of Social Security on Saving
w0335,1979,4,Feedback and the Use of Current Information: The Use of General Linear Policy Rules in Rational Expectations Models
w0336,1979,4,Analyzing the Accuracy of Foreign Exchange Advisory Services: Theory And Evidence
w0337,1980,3,Static and Dynamic Resource Allocation Effects of Corporate and Personal Tax Integration in the U.S.: A General Equilibrium Approach
w0338,1979,4,Private versus Public Enforcement of Fines
w0339,1979,4,Unanticipated Money and Economic Activity
w0340,1979,4,Macro-Economic Adjustment With Import Price Shocks: Real and Monetary Aspects
w0341,1979,4,On Activist Monetary Policy With Rational Expectations
w0342,1979,5,High School Preparation and Early Labor Force Experience
w0343,1979,5,Coherency Conditions In Simultaneous Linear Equation Models With Endogenous Switching Regimes
w0344,1979,5,Aggregation Effects And Panel Data Estimation Problems: An Investigation of the R&D Intensity Decision
w0345,1979,5,A Note on the Derivation of Linear Homogeneous Asset Demand Functions
w0346,1979,5,"The Rate of Obsolescence Of Knowledge, Research Gestation Lags, and the Private Rate of Return to Research Resources"
w0347,1979,5,Technical Systems and Innovations in Public Libraries
w0348,1979,5,Can the Fed Control Real Interest Rates?
w0349,1979,5,The Incidence and Allocation Effects of a Tax on Corporate Distributions
w0350,1979,5,Measuring the Variance-Age Profile of Lifetime Income
w0351,1979,5,Social Security and Retirement: Evidence From the Canada Time Series
w0352,1979,5,Time Preference and International Lending and Borrowing in an Overlapping-Generations Model
w0353,1979,5,Estimating the Determinants of Employee Performance
w0354,1979,5,Optimal Inflation Policy
w0355,1979,5,International Differences in Social Security and Saving
w0356,1979,6,International Trade and Income Distribution: A Reconsideration
w0357,1979,6,Labor Mobility and Wages
w0358,1979,6,"The Structure of Production, Technological Change, and the Rate of Growth of Total Factor Productivity in the Bell System"
w0359,1979,6,"Price Expectations, Foreign Exchange and Interest Rates, and Demand for Money in an Open Economy"
w0360,1979,6,Contributions and Determinants of Research and Development Expenditures in the U.S. Manufacturing Industries
w0361,1979,6,New Evidence That Fully Anticipated Monetary Changes Influence Real Output After All
w0362,1979,6,The Family as an Incomplete Annuities Market
w0363,1979,6,Can Productive Capacity Differentials Really Explain Earnings Differentials Associated with Demographic Characteristics? Case of Experience
w0364,1979,6,The Two Faces of Unionism
w0365,1979,6,Why is There A Youth Labor Market Problem?
w0366,1979,6,The Determination of Long-Term Interest Rates: Implications for Monetary and Fiscal Policies
w0367,1979,6,Fixed and Flexible Rates: A Renewal of The Debate
w0368,1979,7,Optimal Tax Treatment of the Family: Married Couples
w0369,1979,7,"Energy Prices, Inflation, and Recession, 1974-1975"
w0370,1979,7,"The Decline in Aggregate Share Values: Inflation, Taxation, Risk and Profitability"
w0371,1979,7,"Sorting Models of Labor Mobility, Turnover, and Unemployment"
w0372,1979,7,The Old Age Security Hypothesis and Population Growth
w0373,1979,7,Inflation Risk and Capital Market Equilibrium
w0374,1979,7,Colonial and Revolutionary Muster Rolls: Some New Evidence on Nutrition and Migration in Early America
w0375,1979,7,The Work and Wages of Single Women: 1870 to 1920
w0376,1979,8,Towards A Reconstruction of Keynesian Economics: Expectations and Constrained Equilibria
w0377,1979,8,Exchange Rates and Portfolio Balance
w0378,1979,8,Labor Turnover and Youth Unemployment
w0379,1979,8,A Strategic Theory of Inflation
w0380,1979,8,"The Canadian Dollar, 1971-76: An Exploratory Investigation of Short Run Movements"
w0381,1979,8,"Inventories, Rational Expectations, and the Business Cycle"
w0382,1979,8,Supply vs. Demand Approaches to the Problem of Stagflation
w0383,1979,8,Inflation and the Benefits from Owner-Occupied Housing
w0384,1979,8,Time Series Changes in Youth Joblessness
w0385,1979,8,Labor Supply and Aggregate Fluctuations
w0386,1979,8,The Role of Prevailing Prices and Wages in the Efficient Organization of Markets
w0387,1979,8,The Estimation of Labor Supply Over Kinked Budget Constraints: Some New Econometric Methodology
w0388,1979,8,Notes on Optimal Wage Taxation and Uncertainty
w0389,1979,8,A Model of Trade and Exchange Rate Projections
w0390,1979,8,A Model of Trade and Exchange Rate Projections: Equations and Parameters
w0391,1979,8,"Cross Country Effects of Sterilization, Reserve Currencies and Foreign Exchange Information"
w0392,1979,8,The Social Security Disability Program and Labor Force Participation
w0393,1979,9,Teenage Unemployment: What is the Problem?
w0394,1979,9,"Specific Information, General Information, and Employment Matches Under Uncertainty"
w0395,1979,10,Adjusting Depreciation in an Inflationary Economy: Indexing versus Acceleration
w0396,1979,10,Family Effects in Youth Employment
w0397,1979,10,The Duration of Youth Unemployment in West Germany: Some Theoretical Considerations
w0398,1979,10,"Adolescent Health, Family Background, and Preventive Medical Care"
w0399,1979,10,Teenage Unemployment: Permanent Scars or Temporary Blemishes?
w0400,1979,10,The Effect of Unionism on Worker Attachment to Firms
w0401,1979,11,Rank-Order Tournaments as Optimum Labor Contracts
w0402,1979,11,Analysis of Pension Funding Under Erisa
w0403,1979,11,"Inflation, Tax Rules, and the Stock Market"
w0404,1979,11,The Investment Tax Credit: An Evaluation
w0405,1979,11,Inequality Within and Between Families
w0406,1979,11,International Adjustment with Wage Rigidity
w0407,1979,11,Dynamic Adjustment and the Demand for International Reserves
w0408,1979,11,"Energy Efficiency, User Cost Changes, and the Measurement of Durable Goods Prices"
w0409,1979,11,Taxation and the Stock Market Valuation of Capital Gains and Dividends: Theory and Empirical Results
w0410,1979,11,On Forecasting Interest Rates: An Efficient Markets Perspective
w0411,1979,11,What is Labor Supply and Do Taxes Affect It?
w0412,1979,11,"The Roles of Monetary, Financial and Fiscal Policy with Rational Expectations"
w0413,1979,12,Why Do Companies Pay Dividends?
w0414,1979,12,A Multicountry Econometric Model
w0415,1979,12,The Impact of the Market and the Family on Youth Employment and Labor Supply
w0416,1979,12,"An Economic Analysis of the Diet, Growth, and Health of Young Children in the United States"
