author,name,user_nber,user_repec
w0303.2,Stanley Fischer,stanley_fischer,NA
w0304.1,Jeffrey D Sachs,jeffrey_sachs,NA
w0306.1,David M Lilien,david_lilien,NA
w0307.1,David G Hartman,cdghart,NA
w0310.1,Charles Yuji Horioka,charles_horioka,pho41
w0311.1,Rudiger Dornbusch,rudiger_dornbusch,NA
w0319.1,Harvey S Rosen,harvey_rosen,pro55
w0319.2,Kenneth A Small,kenneth_small,psm84
w0320.2,Sharon R Scott,sharon_scott,NA
w0321.1,Malcolm Getz,malcolm_getz,pge54
w0322.1,Seppo Honkapohja,seppo_honkapohja,pho12
w0324.2,Mervyn A King,mervyn_king,NA
w0325.1,Gary Chamberlain,gary_chamberlain,NA
w0326.1,Robert J Barro,robert_barro,pba251
w0329.2,Zvi Hercowitz,zvi_hercowitz,phe121
w0333.1,Paul R Krugman,paul_krugman,pkr10
w0335.1,Willem H Buiter,willem_buiter,pbu137
w0336.1,Richard M Levich,richard_levich,NA
w0337.1,A Thomas King,a_thomas_king,NA
w0337.2,Don Fullerton,don_fullerton,pfu10
w0337.4,John Whalley,john_whalley,pwh8
w0339.1,Mark Rush,mark_rush,pru130
w0340.2,Michael Bruno,michael_bruno,NA
w0342.1,David A Wise,david_wise,pwi45
w0342.2,Robert H Meyer,robert_meyer,NA
w0343.1,A Monfort,alain_monfort,pmo298
w0343.2,C Gourieroux,christian_gourieroux,pgo144
w0343.3,Jean-Jacques Laffont,jean-jacques_laffont,NA
w0344.1,Ariel Pakes,ariel_pakes,ppa20
w0346.2,Mark Schankerman,mark_schankerman,NA
w0350.2,Benjamin Eden,benjamin_eden,ped25
w0353.1,Charles C Brown,charles_brown,pbr341
w0358.1,M Ishaq Nadiri,ishaq_nadiri,NA
w0359.2,Sebastian Arango,NA,NA
w0362.1,Avia Spivak,avia_spivak,NA
w0362.2,Laurence J Kotlikoff,laurence_kotlikoff,pko44
w0363.2,Katharine G Abraham,katharine_abraham,pab32
w0367.1,Jacques R Artus,NA,NA
w0367.2,John H Young,NA,NA
w0369.1,Knut Anton Mork,knut_mork,NA
w0370.1,Patric H Hendershott,patric_hendershott,NA
w0371.1,W Kip Viscusi,kip_viscusi,pvi69
w0374.1,Georgia C Villaflor,Villaflor,NA
w0374.2,Kenneth L Sokoloff,kenneth_sokoloff,NA
w0375.1,Claudia D Goldin,claudia_goldin,pgo601
w0376.1,J Peter Neary,peter_neary,pne11
w0377.1,John R Martin,stignasty,NA
w0377.2,Paul R Masson,paul_masson,pma135
w0378.2,Linda S Leighton,NA,NA
w0379.1,Mordecai Kurz,mordecai_kurz,NA
w0380.1,Charles Freedman,charles_freedman,NA
w0383.2,Sheng Cheng Hu,sheng_cheng_hu,NA
w0384.1,Choongsoo Kim,choongsoo_kim,NA
w0384.2,Michael L Wachter,michael_wachter,NA
w0388.2,Jonathan Eaton,jonathan_eaton,pea5
w0389.1,Dennis Warner,NA,NA
w0389.2,Hannu Halttunen,NA,NA
w0391.1,Richard C Marston,richard_marston,NA
w0392.1,Jonathan S Leonard,jonathan_leonard,ple190
w0393.1,David T Ellwood,david_ellwood,NA
w0396.1,Albert E Rees,albert_rees,NA
w0396.2,Wayne B Gray,wayne_gray,pgr111
w0397.1,Wolfgang Franz,wolfgang_franz,NA
w0402.1,Jeremy I Bulow,jeremy_bulow,NA
w0406.1,Julio J Rotemberg,julio_rotemberg,pro30
w0406.2,William H Branson,william_branson,NA
w0407.2,John F O Bilson,NA,NA
w0409.2,Roger H Gordon,roger_gordon,pgo95
w0410.1,James E Pesando,james_pesando,ppe278
w0415.1,Alan L Gustman,alan_gustman,pgu327
w0415.2,Thomas L Steinmeier,thomas_steinmeier,NA
w0417.1,Gilbert R Ghez,NA,NA
w0419.2,William Gould,NA,NA
w0421.1,Thomas E MaCurdy,thomas_macurdy,NA
w0424.1,Herschel I Grossman,herschel_grossman,NA
w0425.1,Dennis W Carlton,dennis_carlton,pca14
w0426.1,Craig S Hakkio,craig_hakkio,pha431
w0430.1,Christopher A Sims,christopher_sims,psi12
w0434.1,Zvi Griliches,zvi_griliches,NA
w0436.1,Geoffrey Heal,geoffrey_heal,phe40
w0436.3,Partha Dasgupta,partha_dasgupta,NA
w0444.1,Robert C Merton,robert_merton,pme203
w0451.1,Robert A Shakotko,robert_shakotko,NA
w0462.1,Alan C Stockman,alan_stockman,pst94
w0470.1,Edward J Kane,edward_kane,pka853
w0471.1,Burton G Malkiel,NA,NA
w0471.2,John G Cragg,NA,NA
w0476.2,Michael L Mussa,michael_mussa,NA
w0479.1,Haim Ofek,NA,NA
w0480.1,Mark Gersovitz,NA,NA
w0481.1,Paul Grier,paul_grier,NA
w0481.2,Paul Strebel,paul_strebel,NA
w0484.1,John F Cogan,john_cogan,NA
w0485.1,Maurice Obstfeld,maurice_obstfeld,pob13
w0487.1,Charles Becker,NA,NA
w0497.1,Daniel R Feenberg,daniel_feenberg,pfe56
w0498.2,John F Boschen,jfbosc,NA
w0500.1,Nancy Peregrim Marion,nancy_marion,pma1464
w0500.2,Robert P Flood,robert_flood,pfl25
w0501.1,Louka T Katseli,louka_katseli,NA
w0502.1,Ben S Bernanke,ben_bernanke,pbe55
w0505.1,Frederic S Mishkin,frederic_mishkin,pmi37
w0508.1,James M Poterba,james_poterba,ppo19
w0509.2,Stephanie Seligman,stephanie_seligman,NA
w0510.1,Bernard Friedman,NA,NA
w0511.1,J Weinblatt,NA,NA
w0519.1,Daniel S Hamermesh,daniel_hamermesh,pha78
w0519.2,James H Grant,NA,NA
w0523.2,Richard J Arnott,richard_arnott,par13
w0524.1,Jack Carr,jack_carr,NA
w0527.1,Jorge Braga de Macedo,jorge_demacedo,pbr373
w0532.2,Baran Tuncer,baran_tuncer,NA
w0533.1,Fischer Black,fischer_black,NA
w0535.2,David Longworth,david_e_long,NA
w0536.1,Gary G Schlarbau,gary_schlarbau,NA
w0536.2,Kenneth L Stanley,kenneth_stanley,NA
w0536.3,Wilbur G Lewehlen,wilbur_lewehlen,NA
w0537.2,Robert E Cumby,robert_cumby,pcu115
w0541.1,Eliana A Cardoso,eliana_cardoso,NA
w0542.1,David S Jones,david_jones,NA
w0543.1,James D Shilling,james_shilling,NA
w0544.1,Peter M Garber,peter_garber,pga124
w0545.1,Ian Jewitt,NA,NA
w0549.1,Anthony Cassese,anthony_cassese,NA
w0549.2,James R Lothian,james_lothian,NA
w0550.1,Jon Frye,NA,NA
w0556.1,J David Richardson,david_richardson,NA
w0559.1,Bennett T McCallum,bennett_mccallum,pmc4
w0562.2,Donald E Wise,donald_wise,NA
w0564.2,Sanford J Grossman,sanford_grossman,pgr108
w0566.1,Carl E Walsh,carl_walsh,pwa23
w0570.1,James N Dertouzos,james_dertouzos,NA
w0570.2,John H Pencavel,john_pencavel,ppe335
w0571.1,Bryce Hool,NA,NA
w0572.1,David Lipton,david_lipton,NA
w0583.1,Kenneth Cone,kenneth_cone,NA
w0583.2,Marcy Avrin,marcy_avrin,NA
w0590.1,Clarice Pechman,clarice_pechman,NA
w0590.2,Daniel Valente Dantas,daniel_valente_dantas,NA
w0590.3,Demetrio Simoes,demetrio_simoes,NA
w0590.4,Roberto de Rezende Rocha,roberto_de_rezende_rocha,NA
w0591.1,Marcus H Miller,NA,NA
w0592.1,Douglas D Purvis,NA,NA
w0594.1,Robert A Taggart,robert_taggart,NA
w0596.1,Andrew B Abel,andrew_abel,pab10
w0602.1,Arthur E Gandolfi,arthur_gandolfi,NA
w0603.1,James N Brown,james_brown,NA
w0610.1,Jerry A Hausman,jerry_hausman,pha893
w0612.1,Donald S Shepard,donald_shepard,NA
w0612.2,Richard J Zeckhauser,richard_zeckhauser,pze7
w0613.1,Lawrence B Lindsey,lawrence_lindsey,NA
w0614.1,Louis Dicks-Mireaux,louis_dicks-mireaux,NA
w0615.2,Steven Jacobowitz,NA,NA
w0628.2,Shabtai Donnenfeld,donnenfd,NA
w0633.1,Harry J Holzer,harry_holzer,pho162
w0641.1,Birgitta Swedenborg,birgitta_swedenborg,NA
w0643.1,Pentti J K Kouri,pentti_kouri,NA
w0647.1,John H Makin,NA,NA
w0649.1,Patrick J Hess,NA,NA
w0661.1,Irwin Tepper,NA,NA
w0662.1,Steven Shavell,steven_shavell,psh42
w0663.1,Joon Koo Lee,NA,NA
w0671.1,Frank R Lichtenberg,frank_lichtenberg,pli76
w0675.1,Charles M Kahn,charles_kahn,pka119
w0676.1,Allan Drazen,allan_drazen,pdr25
w0676.3,Norman P Obst,norman_obst,NA
w0692.1,Clayne L Pope,clayne_pope,NA
w0692.2,J R Kearl,NA,NA
w0698.1,E John Driffill,NA,NA
w0702.1,John H Ciccolo,NA,NA
w0706.1,Shelly J Lundberg,shelly_lundberg,plu82
w0709.2,Steven F Venti,steven_venti,NA
w0717.1,Joshua L Schwarz,joshua_schwarz,NA
w0717.2,Ronald G Ehrenberg,ronald_ehrenberg,peh2
w0725.1,Kevin E Villani,kevin_villani,NA
w0736.1,David Winter,david_winter,NA
w0736.2,John Burkett,john_burkett,pbu19
w0736.3,Richard Portes,richard_portes,ppo132
w0737.2,Yair E Orgler,NA,NA
w0747.1,Lemma W Senbet,NA,NA
w0748.2,Joshua Aizenman,joshua_aizenman,pai8
w0757.2,Michael A Salinger,NA,NA
w0758.1,Daniel J Kovenock,NA,NA
w0762.1,Steven N Kaplan,steven_kaplan,NA
w0768.1,Phillip Farrell,NA,NA
w0772.1,Gary S Fields,NA,NA
w0772.2,Olivia S Mitchell,olivia_mitchell,pmi73
w0773.1,Edward E Leamer,edward_leamer,ple440
w0790.1,Andrew Kohen,aikconsult,pko169
w0790.3,Curtis Gilroy,curtis_gilroy,NA
w0794.1,Avinash K Dixit,avinash_dixit,pdi79
w0794.2,Gene M Grossman,gene_grossman,pgr21
w0800.1,Gary Burtless,gary_burtless,pbu95
w0805.1,Paul L Schumann,paul_schumann,NA
w0807.1,David B Gordon,gdecon,pgo64
w0813.1,Frederic P Slade,NA,NA
w0819.2,Jonathan S Skinner,jonathan_skinner,psk23
w0826.1,Jacques Mairesse,jacques_mairesse,pma712
w0827.1,Robert S Smith,rssmith2,NA
w0828.2,Yolanda K Henderson,YolandaK,NA
w0832.1,Carlos A Rodriguez,carlos_alfredo_rodriguez,NA
w0839.1,Lars E O Svensson,lars_svensson,psv2
w0840.2,Nancy L Stokey,nancy_stokey,NA
w0841.1,Louis O Scott,louis_o_scott,NA
w0842.1,David A Hsieh,david_hsieh,NA
w0853.1,Charles I Plosser,charles_plosser,ppl11
w0853.2,Robert G King,robert_king,pki21
w0855.1,Kenneth S Rogoff,kenneth_rogoff,pro164
w0856.1,Christopher J Flinn,christopher_flinn,pfl8
w0863.1,Peter R Hartley,NA,pha1073
w0871.2,Shmuel Nitzan,NA,NA
w0873.2,N Gregory Mankiw,gregory_mankiw,pma131
w0875.1,Friedrich Breyer,NA,NA
w0878.1,Mary Eccles,NA,NA
w0879.1,Eric Seiler,NA,NA
w0880.1,Richard H Steckel,richard_steckel,pst352
w0882.1,Fumio Hayashi,fumio_hayashi,pha83
w0884.1,Nicholas S Majluf,nicholas_majluf,NA
w0884.2,Stewart C Myers,stewart_myers,NA
w0885.2,Olivier Jean Blanchard,olivier_blanchard,pbl2
w0890.1,James Trussell,james_trussell,NA
w0890.3,Robert William Fogel,robert_fogel,NA
w0890.4,Roderick Floud,roderick_floud,NA
w0890.5,Stanley L Engerman,stanley_engerman,NA
w0893.2,James G Hoehn,NA,NA
w0895.1,Ernst R Berndt,ernst_berndt,NA
w0895.2,Melvyn A Fuss,melvyn_fuss,NA
w0904.1,John F Helliwell,john_helliwell,phe368
w0904.2,Paul M Boothe,NA,NA
w0906.2,Richard Hartman,NA,NA
w0908.1,Adam B Jaffe,adam_jaffe,pja49
w0908.2,Bronwyn H Hall,bronwyn_hall,pha54
w0908.3,Clint Cummins,clint_cummins,NA
w0908.4,John Bound,john_bound,pbo406
w0912.1,Robert B Litterman,robert_litterman,pli374
w0919.3,Lawrence H Goulder,lawrence_goulder,NA
w0923.1,Jongmoo Jay Choi,NA,NA
w0924.2,Myron S Scholes,myron_scholes,NA
w0925.1,Daniel Cohen,daniel_cohen,NA
w0927.3,Peter Menell,peter_menell,NA
w0935.1,J Michael Harrison,j_michael_harrison,NA
w0937.2,William P Rogerson,william_rogerson,NA
w0938.2,Randall K Morck,randall_morck,pmo146
w0941.1,Geoffrey H Moore,geoffrey_moore,NA
w0941.2,Philip A Klein,NA,NA
w0945.1,Mark W Watson,mark_watson,pwa582
w0946.1,David S Salkever,david_salkever,psa1313
w0949.2,Thorvaldur Gylfason,NA,NA
w0952.1,John J Beggs,john_beggs,NA
w0953.2,Lacy Glenn Thomas,NA,NA
w0958.1,Douglas K Pearce,NA,NA
w0960.1,David M Meerschwam,david_meerschwam,NA
w0960.2,Jeffrey A Goldstein,jeffrey_goldstein,NA
w0965.1,Robert L McDonald,robert_mcdonald,NA
w0968.1,Alan K Siu,alan_siu,NA
w0973.1,Laurence Weiss,NA,NA
w0975.1,Eric Maskin,eric_maskin,pma498
w0975.2,Oliver D Hart,oliver_hart,pha222
w0981.1,Oli Havrylyshyn,NA,NA
w0981.2,Vittorio Corbo,vittorio_corbo,NA
w0984.2,Stephen J Turnovsky,stephen_turnovsky,ptu5
w0987.3,Torsten Persson,torsten_persson,ppe28
w0998.1,Gee San,gee_san,NA
w0998.2,Leif Danziger,NA,NA
w1005.1,Albert J Viscio,albert_viscio,NA
w1006.1,Henry S Farber,henry_farber,NA
w1008.1,Manuel Trajtenberg,manuel_trajtenberg,ptr35
w1014.1,Daniel R Sherman,NA,NA
w1015.2,Robert S Pindyck,robert_pindyck,ppi130
w1016.1,Jeffrey I Bernstein,jeffrey_bernstein,pbe327
w1019.1,Daniel Siegel,NA,NA
w1021.2,Tim Padmore,tim_padmore,NA
w1022.1,Linda O'Connor,NA,NA
w1030.1,Dennis C McCornac,NA,NA
w1040.1,Mark J Warshawsky,mark_warshawsky,NA
w1043.1,Charles L Ballard,NA,NA
w1045.1,Peter J Kuhn,peter_kuhn,pku26
w1049.1,Charles Engel,charles_engel,pen14
w1049.2,Jeffrey A Frankel,jeffrey_frankel,pfr12
w1059.1,Behzad T Diba,behzad_diba,pdi273
w1060.1,Chaipat Sahasakul,NA,NA
w1062.2,Robin C Sickles,robin_sickles,psi296
w1063.1,Sebastian Edwards,sebastian_edwards,ped3
w1068.2,Philippe Cuneo,philippe_cuneo,NA
w1075.1,Assaf Razin,assaf_razin,pra388
w1076.2,Richard E Quandt,richard_quandt,NA
w1076.4,Stephen Yeo,stephen_yeo,NA
w1081.1,Richard T Froyen,NA,NA
w1081.2,Roger N Waud,roger_waud,NA
w1088.2,Michael L Katz,michael_katz,pka210
w1089.1,Robert J Hodrick,robert_hodrick,pho115
w1090.2,Thomas Urich,NA,NA
w1091.1,Alex Kane,alex_kane,pka501
w1093.1,Tadashi Yamada,tadashi_yamada,NA
w1098.1,Barry J Eichengreen,barry_eichengreen,pei2
w1098.2,Hans Van der Ven,NA,NA
w1101.1,James R Markusen,james_markusen,pma528
w1105.1,James H Stock,james_stock,pst148
w1111.1,Andrew B Lyon,andrew_lyon,NA
w1113.2,William T Dickens,william_dickens,NA
w1114.1,Michael Dotsey,michael_dotsey,NA
w1115.2,Wilfred J Ethier,NA,NA
w1116.2,Glenn A Fine,NA,NA
w1121.1,Gikas A Hardouvelis,gikas_hardouvelis,pha554
w1132.1,Jess B Yawitz,NA,NA
w1132.2,Kevin J Maloney,NA,NA
w1132.3,William J Marshall,NA,NA
w1137.1,Wayne H Mikkelson,NA,NA
w1139.1,Steven G Allen,steven_allen,pal6
w1140.1,David E Bloom,david_bloom,pbl79
w1142.2,Roger D Huang,roger_huang,NA
w1143.1,E Philip Jones,NA,NA
w1143.2,Eric Rosenfeld,erosenfe,NA
w1143.3,Scott P Mason,scott_mason,NA
w1144.2,William S Haraf,NA,NA
w1145.1,Ileen B Malitz,NA,NA
w1145.2,Michael S Long,NA,NA
w1156.2,Raaj Kumar Sah,raaj_sah,psa736
w1157.1,Robert E Lucas,robert_lucas,NA
w1159.1,Alan M Garber,alan_garber,NA
w1159.2,James F Silverman,NA,NA
w1167.2,Vito Tanzi,vito_tanzi,NA
w1168.1,Douglas Holtz-Eakin,douglas_holtz-eakin,NA
w1168.3,Kenneth T Rosen,NA,NA
w1169.1,Christopher F Baum,NA,NA
w1171.1,Louis A Lambros,NA,NA
w1175.1,Bharat Trehan,bharat_trehan,ptr229
w1176.1,George M Constantinidies,george_constantinides,pco144
w1180.2,Sanjay Srivastava,sanjay_srivastava,NA
w1183.2,Max H Bazerman,max_bazerman,NA
w1184.2,Jonathan E Ingersoll,NA,NA
w1192.1,Barbara J Spencer,barbara_spencer,psp2
w1192.2,James A Brander,james_brander,pbr168
w1195.1,David H Papell,david_papell,ppa73
w1198.1,R Spence Hilton,NA,NA
w1198.2,Robert E Baldwin,robert_baldwin,NA
w1199.2,Mary Jo Bane,NA,NA
w1200.1,Robert A Margo,robert_margo,pma319
w1201.1,Arturo Estrella,arturo_estrella,pes29
w1201.2,Jeffrey C Fuhrer,jeffrey_fuhrer,pfu8
w1202.3,Thomas Doan,NA,NA
w1203.1,John Y Campbell,john_campbell,pca54
w1211.1,Makoto Ohta,makoto_ohta,NA
w1215.3,Louis H Ederington,NA,NA
w1216.1,Joseph G Haubrich,joseph_haubrich,pha107
w1217.1,Alan J Marcus,alan_marcus,pma1156
w1231.2,James M Johannes,NA,NA
w1239.3,Richard J Rosen,NA,NA
w1242.2,Nicholas Carlozzi,NA,NA
w1243.2,Young Ki Lee,ykleekdi,NA
w1245.2,Sweder van Wijnbergen,sweder_van_wijnbergen,NA
w1255.1,Charles Wyplosz,charles_wyplosz,pwy2
w1256.1,Farahmand Rezvani,NA,NA
w1256.2,Michael Massourakis,NA,NA
w1258.1,Herman B Leonard,herman_leonard,NA
w1260.1,Gary Solon,gary_solon,pso215
w1263.1,Bart D Ostro,bart_d_ostro,NA
w1264.3,Pierre A Mohnen,pierre_mohnen,pmo6
w1267.1,David C Ling,david_ling,pli857
w1271.2,Paul Ruud,paul_ruud,pru215
w1273.2,Richard H Clarida,richard_clarida,pcl69
w1280.1,Edward Greenberg,NA,NA
w1281.1,Alberto Giovannini,alberto_giovannini,NA
w1283.1,Dale W Henderson,dale_henderson,phe369
w1285.1,Barry J Nalebuff,barry_nalebuff,pna205
w1303.1,Andrei Shleifer,andrei_shleifer,psh93
w1303.2,B Douglas Bernheim,douglas_bernheim,pbe81
w1304.1,Bruce C Greenwald,bruce_greenwald,NA
w1314.1,Kevin Lang,kevin_lang,pla83
w1315.1,Jay O Light,NA,NA
w1316.1,Catherine E Hartsog,NA,NA
w1317.1,Ai Tee Koh,ai_tee_koh,NA
w1323.1,Brian E Roberts,NA,NA
w1325.1,Angelo Melino,angelo_melino,pme69
w1335.1,Andrew M Weiss,andrew_weiss,NA
w1341.1,Marjorie A Flavin,marjorie_flavin,NA
w1342.2,Harris Dellas,harris_dellas,pde139
w1357.1,Rebecca A Luzadis,NA,NA
w1358.2,Joe Peek,joe_peek,ppe90
w1359.2,Motty Perry,motty_perry,ppe212
