paper,author
w0088,w0079.1
w0089,w0089.1
w0090,w0090.1
w0091,w0052.1
w0092,w0051.1
w0093,w0089.1
w0094,w0094.1
w0095,w0079.1
w0095,w0095.1
w0096,w0068.1
w0096,w0069.1
w0097,w0051.1
w0098,w0002.1
w0099,w0028.1
w0100,w0094.1
w0101,w0101.1
w0101,w0101.2
w0101,w0101.3
w0102,w0102.1
w0103,w0046.1
w0103,w0046.3
w0104,w0051.1
w0105,w0019.1
w0105,w0019.2
w0105,w0019.4
w0106,w0106.1
w0106,w0106.2
w0107,w0107.1
w0108,w0020.1
w0109,w0016.1
w0109,w0109.2
w0110,w0040.1
w0110,w0041.1
w0111,w0043.1
w0112,w0021.1
w0112,w0034.1
w0113,w0109.2
w0114,w0114.1
w0114,w0114.2
w0115,w0115.1
w0116,w0107.1
w0117,w0059.1
w0118,w0118.1
w0119,w0065.1
w0120,w0020.1
w0121,w0004.1
w0121,w0028.1
w0122,w0115.1
w0123,w0042.1
w0123,w0123.2
w0124,w0124.1
w0125,w0124.1
w0126,w0126.1
w0127,w0056.1
w0127,w0065.1
w0128,w0056.1
w0128,w0065.1
w0129,w0022.1
w0130,w0046.1
w0130,w0046.3
w0131,w0008.1
w0131,w0008.2
w0132,w0132.1
w0133,w0133.1
w0134,w0022.1
w0134,w0134.1
w0135,w0107.1
w0136,w0136.1
w0137,w0013.1
w0138,w0004.1
w0138,w0028.1
w0139,w0139.1
w0140,w0028.1
w0141,w0051.1
w0142,w0065.1
w0142,w0066.1
w0143,w0039.1
w0143,w0143.1
w0144,w0107.1
w0144,w0144.1
w0145,w0051.1
w0146,w0040.1
w0146,w0041.1
w0147,w0021.2
w0148,w0013.1
w0149,w0072.1
w0149,w0149.1
w0150,w0004.1
w0150,w0021.1
w0151,w0107.1
w0151,w0151.1
w0152,w0107.1
w0153,w0021.2
w0153,w0029.1
w0153,w0042.1
w0154,w0066.1
w0155,w0126.1
w0157,w0157.1
w0157,w0157.2
w0158,w0158.1
w0159,w0159.1
w0160,w0160.1
w0161,w0059.1
w0161,w0143.1
w0162,w0162.1
w0163,w0133.1
w0164,w0164.1
w0165,w0046.3
w0165,w0165.1
w0165,w0165.2
w0166,w0166.1
w0167,w0157.1
w0168,w0051.1
w0169,w0124.1
w0169,w0169.2
w0170,w0160.1
w0171,w0160.1
w0172,w0034.1
w0173,w0043.1
w0173,w0060.1
w0174,w0072.1
w0174,w0174.2
w0175,w0124.1
w0176,w0008.2
w0176,w0176.1
w0177,w0034.1
w0178,w0179.1
w0178,w0179.2
w0179,w0179.1
w0179,w0179.2
w0180,w0022.1
w0180,w0180.1
w0181,w0008.2
w0181,w0176.1
w0182,w0008.2
w0182,w0176.1
w0182,w0182.1
w0183,w0034.1
w0183,w0183.2
w0184,w0042.1
w0185,w0004.1
w0186,w0201.1
w0187,w0144.1
w0188,w0188.1
w0189,w0010.1
w0189,w0046.1
w0189,w0046.3
w0189,w0189.1
w0190,w0190.1
w0190,w0190.2
w0190,w0190.3
w0191,w0190.1
w0191,w0190.2
w0191,w0190.3
w0192,w0190.1
w0192,w0190.2
w0192,w0190.3
w0193,w0201.1
w0193,w0307.1
w0194,w0194.1
w0195,w0189.1
w0196,w0043.1
w0196,w0124.1
w0196,w0196.2
w0197,w0056.1
w0197,w0057.1
w0197,w0197.1
w0198,w0059.1
w0199,w0039.1
w0200,w0200.1
w0201,w0201.1
w0202,w0021.2
w0203,w0144.1
w0204,w0107.1
w0204,w0204.1
w0205,w0179.1
w0205,w0179.2
w0206,w0201.1
w0206,w0212.1
w0207,w0201.1
w0207,w0207.1
w0208,w0208.1
w0208,w0208.2
w0209,w0209.1
w0210,w0040.1
w0211,w0020.1
w0212,w0201.1
w0212,w0212.1
w0213,w0022.1
w0213,w0180.1
w0214,w0214.1
w0215,w0188.1
w0216,w0216.1
w0217,w0040.1
w0217,w0041.1
w0218,w0179.1
w0218,w0218.2
w0219,w0115.1
w0219,w0219.2
w0220,w0158.1
w0221,w0107.1
w0221,w0190.2
w0222,w0160.1
w0223,w0201.1
w0224,w0224.1
w0225,w0225.1
w0226,w0226.1
w0227,w0040.1
w0227,w0041.1
w0228,w0204.1
w0229,w0006.1
w0230,w0021.2
w0230,w0051.1
w0231,w0179.1
w0232,w0201.1
w0232,w0274.2
w0233,w0143.1
w0234,w0201.1
w0234,w0234.1
w0235,w0179.1
w0236,w0020.1
w0237,w0160.1
w0238,w0136.1
w0239,w0179.1
w0240,w0022.1
w0240,w0240.1
w0241,w0201.1
w0241,w0234.1
w0242,w0225.1
w0243,w0243.2
w0243,w0298.1
w0244,w0006.1
w0244,w0244.1
w0245,w0245.1
w0246,w0021.2
w0247,w0209.1
w0247,w0247.1
w0248,w0225.1
w0249,w0021.1
w0249,w0162.1
w0250,w0201.1
w0250,w0234.1
w0250,w0250.3
w0251,w0226.1
w0252,w0226.1
w0253,w0201.1
w0253,w0253.1
w0254,w0253.1
w0255,w0253.1
w0256,w0022.1
w0256,w0180.1
w0257,w0234.1
w0258,w0033.1
w0259,w0201.1
w0259,w0253.1
w0260,w0212.1
w0261,w0179.1
w0262,w0020.1
w0262,w0021.2
w0262,w0320.2
w0263,w0040.1
w0263,w0041.1
w0264,w0160.1
w0265,w0265.1
w0265,w0265.2
w0266,w0266.1
w0266,w0266.2
w0267,w0267.1
w0267,w0267.2
w0268,w0268.1
w0269,w0269.1
w0270,w0270.1
w0271,w0270.1
w0272,w0212.1
w0273,w0224.1
w0273,w0225.1
w0274,w0274.1
w0274,w0274.2
w0275,w0201.1
w0276,w0201.1
w0277,w0274.1
w0277,w0274.2
w0278,w0224.1
w0278,w0363.2
w0279,w0067.1
w0279,w0279.2
w0280,w0225.1
w0281,w0281.1
w0282,w0225.1
w0283,w0067.1
w0284,w0179.1
w0285,w0059.1
w0285,w0143.1
w0286,w0286.1
w0287,w0287.1
w0288,w0287.1
w0288,w0288.1
w0289,w0287.1
w0290,w0287.1
w0290,w0290.2
w0291,w0291.1
w0292,w0225.1
w0293,w0008.2
w0293,w0176.1
w0293,w0293.3
w0294,w0179.1
w0295,w0179.1
w0296,w0201.1
w0297,w0297.1
w0297,w0297.2
w0298,w0298.1
w0299,w0034.1
w0299,w0143.1
w0300,w0300.1
w0300,w0300.2
w0301,w0225.1
w0302,w0274.2
w0303,w0303.1
w0303,w0303.2
w0304,w0304.1
w0305,w0224.1
w0305,w0225.1
w0306,w0226.1
w0306,w0306.1
w0307,w0307.1
w0308,w0022.1
w0308,w0180.1
w0309,w0225.1
w0309,w0274.1
w0310,w0201.1
w0310,w0310.1
w0311,w0311.1
w0312,w0201.1
w0312,w0274.2
w0313,w0281.1
w0314,w0201.1
w0315,w0225.1
w0316,w0225.1
w0317,w0298.1
w0318,w0006.1
w0319,w0319.1
w0319,w0319.2
w0320,w0020.1
w0320,w0021.2
w0320,w0320.2
w0321,w0321.1
w0322,w0281.1
w0322,w0322.1
w0323,w0321.1
w0324,w0253.1
w0324,w0324.2
w0325,w0325.1
w0326,w0326.1
w0327,w0303.2
w0327,w0311.1
w0328,w0321.1
w0329,w0326.1
w0329,w0329.2
w0330,w0274.1
w0331,w0303.2
w0332,w0274.1
w0333,w0333.1
w0334,w0201.1
w0335,w0335.1
w0336,w0336.1
w0337,w0216.1
w0337,w0337.1
w0337,w0337.2
w0337,w0337.4
w0338,w0286.1
w0339,w0326.1
w0339,w0339.1
w0340,w0304.1
w0340,w0340.2
w0341,w0303.2
w0342,w0342.1
w0342,w0342.2
w0343,w0343.1
w0343,w0343.2
w0343,w0343.3
w0344,w0344.1
w0345,w0179.1
w0345,w0179.2
w0346,w0344.1
w0346,w0346.2
w0347,w0321.1
w0348,w0089.1
w0349,w0269.1
w0350,w0344.1
w0350,w0350.2
w0351,w0212.1
w0352,w0335.1
w0353,w0353.1
w0354,w0274.2
w0355,w0201.1
w0356,w0333.1
w0357,w0039.1
w0357,w0288.1
w0358,w0346.2
w0358,w0358.1
w0359,w0358.1
w0359,w0359.2
w0360,w0358.1
w0361,w0300.2
w0362,w0362.1
w0362,w0362.2
w0363,w0224.1
w0363,w0363.2
w0364,w0224.1
w0364,w0225.1
w0365,w0225.1
w0366,w0179.1
w0367,w0367.1
w0367,w0367.2
w0368,w0107.1
w0368,w0144.1
w0369,w0226.1
w0369,w0369.1
w0370,w0370.1
w0371,w0371.1
w0372,w0021.1
w0373,w0218.2
w0374,w0374.1
w0374,w0374.2
w0375,w0375.1
w0376,w0151.1
w0376,w0376.1
w0377,w0377.1
w0377,w0377.2
w0378,w0039.1
w0378,w0378.2
w0379,w0379.1
w0380,w0380.1
w0381,w0067.1
w0381,w0303.2
w0382,w0304.1
w0382,w0340.2
w0383,w0370.1
w0383,w0383.2
w0384,w0384.1
w0384,w0384.2
w0385,w0226.1
w0386,w0226.1
w0387,w0212.1
w0388,w0319.1
w0388,w0388.2
w0389,w0389.1
w0389,w0389.2
w0390,w0389.1
w0390,w0389.2
w0391,w0391.1
w0392,w0392.1
w0393,w0201.1
w0393,w0393.1
w0394,w0371.1
w0395,w0201.1
w0396,w0396.1
w0396,w0396.2
w0397,w0397.1
w0398,w0022.1
w0398,w0180.1
w0399,w0393.1
w0400,w0225.1
w0401,w0051.1
w0401,w0162.1
w0402,w0402.1
w0403,w0201.1
w0404,w0253.1
w0404,w0274.2
w0405,w0028.1
w0405,w0144.1
w0406,w0406.1
w0406,w0406.2
w0407,w0287.1
w0407,w0407.2
w0408,w0300.2
w0409,w0269.1
w0409,w0409.2
w0410,w0410.1
w0411,w0319.1
w0412,w0335.1
w0413,w0188.1
w0413,w0201.1
w0414,w0015.1
w0415,w0415.1
w0415,w0415.2
w0416,w0115.1
w0416,w0219.2
w0417,w0022.1
w0417,w0417.1
w0418,w0300.2
w0419,w0208.2
w0419,w0419.2
w0420,w0286.1
w0421,w0421.1
w0422,w0201.1
w0423,w0358.1
w0424,w0424.1
w0425,w0425.1
w0426,w0426.1
w0427,w0300.2
w0428,w0324.2
w0429,w0287.1
w0429,w0290.2
w0430,w0430.1
w0431,w0329.2
w0432,w0326.1
w0433,w0329.2
w0434,w0434.1
w0435,w0201.1
w0436,w0151.1
w0436,w0436.1
w0436,w0436.3
w0437,w0079.1
w0438,w0344.1
w0438,w0346.2
w0439,w0426.1
w0440,w0392.1
w0441,w0039.1
w0441,w0378.2
w0442,w0218.2
w0443,w0326.1
w0444,w0444.1
w0445,w0274.2
w0445,w0362.2
w0446,w0225.1
w0447,w0370.1
w0448,w0201.1
w0449,w0079.1
w0450,w0287.1
w0451,w0451.1
w0452,w0287.1
w0453,w0188.1
w0453,w0343.3
w0454,w0022.1
w0454,w0180.1
w0454,w0451.1
w0455,w0300.2
w0456,w0089.1
w0457,w0253.1
w0458,w0179.1
w0459,w0300.2
w0460,w0067.1
w0461,w0164.1
w0462,w0079.1
w0462,w0462.1
w0463,w0286.1
w0464,w0067.1
w0465,w0324.2
w0466,w0164.1
w0467,w0337.2
w0468,w0324.2
w0469,w0406.2
w0470,w0470.1
w0471,w0471.1
w0471,w0471.2
w0472,w0311.1
w0473,w0311.1
w0474,w0407.2
w0475,w0164.1
w0476,w0287.1
w0476,w0476.2
w0477,w0201.1
w0478,w0415.1
w0478,w0415.2
w0479,w0039.1
w0479,w0479.1
w0480,w0480.1
w0481,w0481.1
w0481,w0481.2
w0482,w0008.2
w0482,w0176.1
w0483,w0253.1
w0484,w0484.1
w0485,w0485.1
w0486,w0020.1
w0487,w0337.2
w0487,w0487.1
w0488,w0067.1
w0489,w0430.1
w0490,w0326.1
w0491,w0188.1
w0491,w0253.1
w0492,w0391.1
w0493,w0311.1
w0494,w0485.1
w0495,w0253.1
w0495,w0319.1
w0496,w0188.1
w0497,w0319.1
w0497,w0497.1
w0498,w0424.1
w0498,w0498.2
w0499,w0151.1
w0500,w0500.1
w0500,w0500.2
w0501,w0500.1
w0501,w0501.1
w0502,w0502.1
w0503,w0425.1
w0504,w0298.1
w0505,w0226.1
w0505,w0505.1
w0506,w0505.1
w0507,w0505.1
w0508,w0201.1
w0508,w0508.1
w0509,w0201.1
w0509,w0509.2
w0510,w0510.1
w0511,w0008.2
w0511,w0511.1
w0512,w0415.1
w0513,w0067.1
w0513,w0409.2
w0514,w0274.1
w0514,w0274.2
w0515,w0067.1
w0516,w0335.1
w0517,w0505.1
w0518,w0329.2
w0519,w0519.1
w0519,w0519.2
w0520,w0337.2
w0521,w0008.2
w0521,w0149.1
w0521,w0176.1
w0522,w0340.2
w0523,w0151.1
w0523,w0523.2
w0524,w0079.1
w0524,w0524.1
w0525,w0033.1
w0526,w0201.1
w0527,w0406.2
w0527,w0527.1
w0528,w0485.1
w0529,w0375.1
w0530,w0497.1
w0531,w0335.1
w0531,w0388.2
w0532,w0164.1
w0532,w0532.2
w0533,w0533.1
w0534,w0424.1
w0535,w0380.1
w0535,w0535.2
w0536,w0536.1
w0536,w0536.2
w0536,w0536.3
w0537,w0485.1
w0537,w0537.2
w0538,w0015.1
w0539,w0020.1
w0540,w0485.1
w0541,w0311.1
w0541,w0541.1
w0542,w0542.1
w0543,w0370.1
w0543,w0543.1
w0544,w0500.2
w0544,w0544.1
w0545,w0335.1
w0545,w0545.1
w0546,w0253.1
w0546,w0324.2
w0547,w0253.1
w0548,w0519.1
w0549,w0549.1
w0549,w0549.2
w0550,w0300.2
w0550,w0550.1
w0551,w0300.2
w0551,w0550.1
w0552,w0059.1
w0553,w0508.1
w0554,w0333.1
w0555,w0311.1
w0556,w0556.1
w0557,w0485.1
w0558,w0424.1
w0558,w0498.2
w0559,w0559.1
w0560,w0226.1
w0561,w0344.1
w0561,w0434.1
w0562,w0067.1
w0562,w0409.2
w0562,w0562.2
w0563,w0089.1
w0564,w0089.1
w0564,w0564.2
w0565,w0089.1
w0566,w0566.1
w0567,w0311.1
w0568,w0201.1
w0569,w0287.1
w0570,w0570.1
w0570,w0570.2
w0571,w0556.1
w0571,w0571.1
w0572,w0304.1
w0572,w0572.1
w0573,w0542.1
w0574,w0542.1
w0575,w0287.1
w0575,w0476.2
w0576,w0409.2
w0576,w0471.1
w0577,w0201.1
w0578,w0397.1
w0579,w0201.1
w0580,w0335.1
w0581,w0307.1
w0582,w0304.1
w0583,w0107.1
w0583,w0583.1
w0583,w0583.2
w0584,w0020.1
w0585,w0079.1
w0586,w0179.2
w0587,w0179.1
w0588,w0409.2
w0589,w0079.1
w0590,w0311.1
w0590,w0590.1
w0590,w0590.2
w0590,w0590.3
w0590,w0590.4
w0591,w0335.1
w0591,w0591.1
w0592,w0335.1
w0592,w0592.1
w0593,w0179.2
w0594,w0594.1
w0595,w0410.1
w0596,w0596.1
w0597,w0346.2
w0597,w0358.1
w0598,w0307.1
w0599,w0485.1
w0600,w0519.1
w0601,w0335.1
w0602,w0549.2
w0602,w0602.1
w0603,w0603.1
w0604,w0274.2
w0605,w0274.2
w0606,w0274.2
w0607,w0079.1
w0608,w0006.1
w0609,w0022.1
w0609,w0451.1
w0610,w0610.1
w0611,w0017.1
w0611,w0162.1
w0612,w0612.1
w0612,w0612.2
w0613,w0613.1
w0614,w0324.2
w0614,w0614.1
w0615,w0022.1
w0615,w0615.2
w0616,w0298.1
w0617,w0353.1
w0618,w0224.1
w0618,w0363.2
w0619,w0067.1
w0619,w0409.2
w0619,w0562.2
w0620,w0067.1
w0621,w0300.2
w0622,w0505.1
w0624,w0421.1
w0625,w0500.2
w0626,w0500.2
w0626,w0544.1
w0627,w0274.2
w0627,w0362.2
w0628,w0481.2
w0628,w0628.2
w0629,w0079.1
w0630,w0559.1
w0631,w0533.1
w0632,w0151.1
w0633,w0633.1
w0634,w0224.1
w0634,w0363.2
w0635,w0500.2
w0635,w0544.1
w0636,w0326.1
w0637,w0269.1
w0638,w0470.1
w0639,w0470.1
w0640,w0470.1
w0641,w0008.2
w0641,w0641.1
w0642,w0415.1
w0642,w0415.2
w0643,w0643.1
w0644,w0643.1
w0645,w0179.1
w0646,w0421.1
w0647,w0647.1
w0648,w0647.1
w0649,w0649.1
w0650,w0380.1
w0651,w0333.1
w0652,w0424.1
w0652,w0498.2
w0653,w0424.1
w0654,w0402.1
w0655,w0019.2
w0655,w0022.1
w0655,w0115.1
w0656,w0519.1
w0657,w0319.1
w0658,w0333.1
w0659,w0107.1
w0659,w0204.1
w0660,w0340.2
w0661,w0661.1
w0662,w0662.1
w0663,w0663.1
w0664,w0407.2
w0665,w0006.1
w0666,w0406.2
w0666,w0501.1
w0667,w0028.1
w0668,w0013.1
w0669,w0353.1
w0670,w0303.2
w0671,w0671.1
w0672,w0051.1
w0673,w0337.2
w0673,w0409.2
w0674,w0291.1
w0675,w0188.1
w0675,w0675.1
w0676,w0519.1
w0676,w0676.1
w0676,w0676.3
w0677,w0015.1
w0678,w0151.1
w0679,w0201.1
w0680,w0201.1
w0681,w0201.1
w0681,w0497.1
w0682,w0201.1
w0682,w0613.1
w0683,w0484.1
w0684,w0559.1
w0685,w0485.1
w0686,w0485.1
w0687,w0409.2
w0688,w0269.1
w0688,w0337.2
w0689,w0307.1
w0690,w0089.1
w0690,w0564.2
w0691,w0500.2
w0691,w0544.1
w0692,w0692.1
w0692,w0692.2
w0693,w0505.1
w0694,w0151.1
w0695,w0424.1
w0696,w0015.1
w0697,w0225.1
w0698,w0319.1
w0698,w0698.1
w0699,w0370.1
w0700,w0471.1
w0701,w0218.2
w0702,w0702.1
w0703,w0201.1
w0704,w0179.1
w0705,w0391.1
w0706,w0706.1
w0707,w0132.1
w0707,w0375.1
w0708,w0300.2
w0709,w0342.1
w0709,w0709.2
w0710,w0342.1
w0710,w0709.2
w0711,w0342.1
w0711,w0342.2
w0712,w0502.1
w0713,w0462.1
w0714,w0286.1
w0715,w0556.1
w0716,w0015.1
w0717,w0717.1
w0717,w0717.2
w0718,w0370.1
w0718,w0383.2
w0719,w0542.1
w0720,w0226.1
w0721,w0188.1
w0721,w0322.1
w0722,w0374.2
w0722,w0375.1
w0723,w0485.1
w0724,w0402.1
w0725,w0370.1
w0725,w0725.1
w0726,w0505.1
w0726,w0596.1
w0727,w0662.1
w0728,w0544.1
w0729,w0253.1
w0729,w0362.2
w0730,w0253.1
w0730,w0362.2
w0731,w0470.1
w0732,w0566.1
w0733,w0319.1
w0734,w0212.1
w0735,w0224.1
w0735,w0225.1
w0736,w0736.1
w0736,w0736.2
w0736,w0736.3
w0737,w0594.1
w0737,w0737.2
w0738,w0370.1
w0738,w0725.1
w0739,w0370.1
w0739,w0725.1
w0740,w0201.1
w0740,w0508.1
w0740,w0614.1
w0741,w0662.1
w0742,w0286.1
w0742,w0662.1
w0743,w0444.1
w0744,w0300.2
w0745,w0179.1
w0746,w0298.1
w0747,w0594.1
w0747,w0747.1
w0748,w0287.1
w0748,w0748.2
w0749,w0335.1
w0749,w0591.1
w0750,w0225.1
w0751,w0225.1
w0752,w0225.1
w0753,w0201.1
w0754,w0692.1
w0754,w0692.2
w0755,w0370.1
w0755,w0383.2
w0756,w0502.1
w0757,w0274.2
w0757,w0757.2
w0758,w0758.1
w0758,t0015.2
w0759,w0500.1
w0760,w0647.1
w0761,w0253.1
w0762,w0762.1
w0763,w0415.1
w0763,w0415.2
w0764,w0019.2
w0764,w0115.1
w0765,w0225.1
w0765,w0291.1
w0765,w0396.2
w0766,w0426.1
w0767,w0410.1
w0768,w0020.1
w0768,w0768.1
w0769,w0291.1
w0770,w0485.1
w0770,w0537.2
w0771,w0519.1
w0772,w0772.1
w0772,w0772.2
w0773,w0304.1
w0773,w0362.2
w0773,w0773.1
w0774,w0008.2
w0774,w0176.1
w0775,w0380.1
w0776,w0527.1
w0777,w0319.1
w0777,w0388.2
w0778,w0570.2
w0779,w0311.1
w0780,w0022.1
w0781,w0224.1
w0781,w0363.2
w0782,w0736.3
w0783,w0303.2
w0784,w0307.1
w0785,w0340.2
w0786,w0344.1
w0787,w0201.1
w0788,w0610.1
w0789,w0505.1
w0790,w0353.1
w0790,w0790.1
w0790,w0790.3
w0791,w0406.2
w0792,w0311.1
w0793,w0391.1
w0794,w0794.1
w0794,w0794.2
w0795,w0374.2
w0795,w0375.1
w0796,w0304.1
w0797,w0388.2
w0797,w0794.2
w0798,w0207.1
w0799,w0234.1
w0800,w0610.1
w0800,w0800.1
w0801,w0406.2
w0802,w0151.1
w0803,w0039.1
w0804,w0039.1
w0805,w0717.2
w0805,w0805.1
w0806,w0253.1
w0807,w0326.1
w0807,w0807.1
w0808,w0039.1
w0809,w0300.2
w0810,w0594.1
w0811,w0017.1
w0812,w0424.1
w0812,w0498.2
w0813,w0813.1
w0814,w0340.2
w0815,w0717.2
w0815,w0805.1
w0816,w0225.1
w0817,w0253.1
w0818,w0647.1
w0819,w0253.1
w0819,w0362.2
w0819,w0819.2
w0820,w0225.1
w0821,w0519.1
w0822,w0613.1
w0823,w0544.1
w0824,w0274.2
w0825,w0370.1
w0825,w0543.1
w0826,w0434.1
w0826,w0826.1
w0827,w0717.2
w0827,w0827.1
w0828,w0337.2
w0828,w0828.2
w0829,w0274.2
w0829,w0508.1
w0830,w0179.1
w0831,w0179.1
w0832,w0287.1
w0832,w0832.1
w0833,w0485.1
w0834,w0485.1
w0835,w0519.1
w0836,w0274.2
w0837,w0224.1
w0837,w0225.1
w0838,w0089.1
w0839,w0500.1
w0839,w0839.1
w0840,w0188.1
w0840,w0840.2
w0841,w0500.2
w0841,w0544.1
w0841,w0841.1
w0842,w0842.1
w0843,w0842.1
w0844,w0772.2
w0845,w0006.1
w0846,w0353.1
w0846,w0790.1
w0846,w0790.3
w0847,w0300.2
w0848,w0253.1
w0849,w0342.1
w0849,w0342.2
w0850,w0434.1
w0850,w0671.1
w0851,w0304.1
w0851,w0340.2
w0852,w0304.1
w0852,w0340.2
w0853,w0853.1
w0853,w0853.2
w0854,w0051.1
w0855,w0485.1
w0855,w0855.1
w0856,w0034.1
w0856,w0856.1
w0857,w0034.1
w0857,w0856.1
w0858,w0034.1
w0858,w0421.1
w0859,w0304.1
w0860,w0813.1
w0861,w0304.1
w0862,w0304.1
w0863,w0863.1
w0864,w0051.1
w0864,w0226.1
w0865,w0426.1
w0866,w0594.1
w0867,w0335.1
w0868,w0643.1
w0869,w0179.2
w0869,w0542.1
w0870,w0570.2
w0871,w0344.1
w0871,w0871.2
w0872,w0497.1
w0873,w0067.1
w0873,w0873.2
w0874,w0303.2
w0875,w0020.1
w0875,w0875.1
w0876,w0772.1
w0876,w0772.2
w0877,w0201.1
w0878,w0225.1
w0878,w0878.1
w0879,w0879.1
w0880,w0880.1
w0881,w0880.1
w0882,w0882.1
w0883,w0326.1
w0884,w0884.1
w0884,w0884.2
w0885,w0596.1
w0885,w0885.2
w0886,w0179.1
w0887,w0234.1
w0888,w0326.1
w0888,w0853.2
w0889,w0326.1
w0890,w0880.1
w0890,w0890.1
w0890,w0890.3
w0890,w0890.4
w0890,w0890.5
w0891,w0885.2
w0892,w0216.1
w0892,w0337.2
w0892,w0337.4
w0893,w0559.1
w0893,w0893.2
w0894,w0559.1
w0895,w0895.1
w0895,w0895.2
w0896,w0218.2
w0896,w0410.1
w0897,w0274.2
w0897,w0402.1
w0898,w0274.2
w0898,w0406.1
w0898,w0873.2
w0899,w0794.2
w0900,w0885.2
w0901,w0335.1
w0901,w0406.2
w0902,w0067.1
w0903,w0324.2
w0903,w0614.1
w0904,w0904.1
w0904,w0904.2
w0905,w0559.1
w0906,w0647.1
w0906,w0906.2
w0907,w0022.1
w0907,w0134.1
w0908,w0434.1
w0908,w0908.1
w0908,w0908.2
w0908,w0908.3
w0908,w0908.4
w0909,w0406.2
w0910,w0444.1
w0911,w0216.1
w0911,w0337.2
w0911,w0828.2
w0912,w0912.1
w0913,w0325.1
w0914,w0204.1
w0914,w0216.1
w0915,w0566.1
w0916,w0274.1
w0916,w0434.1
w0917,w0179.1
w0918,w0370.1
w0918,w0383.2
w0918,w0725.1
w0919,w0216.1
w0919,w0337.4
w0919,w0919.3
w0920,w0274.1
w0920,w0274.2
w0921,w0485.1
w0921,w0537.2
w0922,w0303.2
w0923,w0358.1
w0923,w0923.1
w0924,w0402.1
w0924,w0924.2
w0925,w0304.1
w0925,w0925.1
w0926,w0367.1
w0927,w0402.1
w0927,w0924.2
w0927,w0927.3
w0928,w0225.1
w0929,w0234.1
w0929,w0370.1
w0930,w0519.1
w0931,w0346.2
w0931,w0358.1
w0932,w0286.1
w0932,w0662.1
w0933,w0344.1
w0933,w0434.1
w0934,w0424.1
w0935,w0209.1
w0935,w0935.1
w0936,w0303.2
w0937,w0286.1
w0937,w0937.2
w0938,w0201.1
w0938,w0938.2
w0939,w0662.1
w0940,w0415.1
w0940,w0415.2
w0941,w0941.1
w0941,w0941.2
w0942,w0340.2
w0943,w0107.1
w0943,w0204.1
w0944,w0051.1
w0945,w0885.2
w0945,w0945.1
w0946,w0946.1
w0947,w0201.1
w0948,w0201.1
w0948,w0250.3
w0949,w0904.1
w0949,w0949.2
w0950,w0533.1
w0951,w0234.1
w0952,w0952.1
w0953,w0059.1
w0953,w0953.2
w0954,w0151.1
w0955,w0253.1
w0956,w0410.1
w0957,w0179.1
w0958,w0179.2
w0958,w0958.1
w0959,w0527.1
w0960,w0527.1
w0960,w0960.1
w0960,w0960.2
w0961,w0434.1
w0961,w0826.1
w0962,w0324.2
w0962,w0614.1
w0963,w0485.1
w0964,w0362.2
w0965,w0965.1
w0966,w0201.1
w0967,w0307.1
w0968,w0826.1
w0968,w0968.1
w0969,w0201.1
w0970,w0201.1
w0971,w0304.1
w0971,w0885.2
w0972,w0388.2
w0972,w0480.1
