player,year,tournament,outcome,gender
Darlene Hard,1969,Wimbledon,Absent,Female
Zsuzsa Körmöczy,1969,Wimbledon,NA,Female
Shirley Bloomer Brasher,1969,Wimbledon,2nd Round,Female
Lorraine Coghlan Robinson,1969,Wimbledon,Absent,Female
Nell Hall Hopman,1969,Wimbledon,NA,Female
Renée Schuurman Haygarth,1969,Wimbledon,NA,Female
Helen Gourlay Cawley,1969,Wimbledon,3rd Round,Female
Wendy Turnbull,1969,Wimbledon,NA,Female
Betty Stöve,1969,Wimbledon,2nd Round,Female
Sharon Walsh,1969,Wimbledon,Absent,Female
Margaret Court,1969,US Open,Won,Female
Billie Jean Moffitt King,1969,US Open,Quarterfinalist,Female
Maria Bueno,1969,US Open,Absent,Female
Ann Haydon-Jones,1969,US Open,Absent,Female
Nancy Richey Gunter,1969,US Open,Finalist,Female
Lesley Turner Bowrey,1969,US Open,2nd Round,Female
Françoise Dürr,1969,US Open,3rd Round,Female
Virginia Wade,1969,US Open,Semi-finalist,Female
Rosemary Casals,1969,US Open,Semi-finalist,Female
Judy Tegart Dalton,1969,US Open,Absent,Female
Kerry Melville Reid,1969,US Open,1st Round,Female
Carole Caldwell Graebner,1969,US Open,2nd Round,Female
Helga Niessen Masthoff,1969,US Open,Absent,Female
Christine Truman Janes,1969,US Open,3rd Round,Female
Jan Lehane O'Neill,1969,US Open,Absent,Female
Karen Hantze Susman,1969,US Open,1st Round,Female
Olga Morozova,1969,US Open,Absent,Female
Evonne Goolagong Cawley,1969,US Open,Absent,Female
Věra Puzejova Suková,1969,US Open,NA,Female
Dorothy Head Knode,1969,US Open,Absent,Female
Darlene Hard,1969,US Open,2nd Round,Female
Zsuzsa Körmöczy,1969,US Open,NA,Female
Shirley Bloomer Brasher,1969,US Open,Absent,Female
Lorraine Coghlan Robinson,1969,US Open,Absent,Female
Nell Hall Hopman,1969,US Open,NA,Female
Renée Schuurman Haygarth,1969,US Open,NA,Female
Helen Gourlay Cawley,1969,US Open,Absent,Female
Wendy Turnbull,1969,US Open,NA,Female
Betty Stöve,1969,US Open,Absent,Female
Sharon Walsh,1969,US Open,1st Round,Female
Margaret Court,1970,Australian Open,Won,Female
Billie Jean Moffitt King,1970,Australian Open,Absent,Female
Maria Bueno,1970,Australian Open,Absent,Female
Ann Haydon-Jones,1970,Australian Open,NA,Female
Nancy Richey Gunter,1970,Australian Open,Absent,Female
Lesley Turner Bowrey,1970,Australian Open,Absent,Female
Françoise Dürr,1970,Australian Open,Absent,Female
Virginia Wade,1970,Australian Open,Absent,Female
Rosemary Casals,1970,Australian Open,Absent,Female
Judy Tegart Dalton,1970,Australian Open,Quarterfinalist,Female
Kerry Melville Reid,1970,Australian Open,Finalist,Female
Carole Caldwell Graebner,1970,Australian Open,Absent,Female
Helga Niessen Masthoff,1970,Australian Open,Absent,Female
Christine Truman Janes,1970,Australian Open,Absent,Female
Jan Lehane O'Neill,1970,Australian Open,3rd Round,Female
Karen Hantze Susman,1970,Australian Open,Absent,Female
Olga Morozova,1970,Australian Open,Absent,Female
Evonne Goolagong Cawley,1970,Australian Open,Quarterfinalist,Female
Věra Puzejova Suková,1970,Australian Open,NA,Female
Dorothy Head Knode,1970,Australian Open,NA,Female
Darlene Hard,1970,Australian Open,Absent,Female
Zsuzsa Körmöczy,1970,Australian Open,NA,Female
Shirley Bloomer Brasher,1970,Australian Open,Absent,Female
Lorraine Coghlan Robinson,1970,Australian Open,Absent,Female
Nell Hall Hopman,1970,Australian Open,NA,Female
Renée Schuurman Haygarth,1970,Australian Open,NA,Female
Helen Gourlay Cawley,1970,Australian Open,Absent,Female
Wendy Turnbull,1970,Australian Open,2nd Round,Female
Betty Stöve,1970,Australian Open,Absent,Female
Sharon Walsh,1970,Australian Open,Absent,Female
Margaret Court,1970,French Open,Won,Female
Billie Jean Moffitt King,1970,French Open,Quarterfinalist,Female
Maria Bueno,1970,French Open,Absent,Female
Ann Haydon-Jones,1970,French Open,NA,Female
Nancy Richey Gunter,1970,French Open,Absent,Female
Lesley Turner Bowrey,1970,French Open,Absent,Female
Françoise Dürr,1970,French Open,3rd Round,Female
Virginia Wade,1970,French Open,Quarterfinalist,Female
Rosemary Casals,1970,French Open,Quarterfinalist,Female
Judy Tegart Dalton,1970,French Open,2nd Round,Female
Kerry Melville Reid,1970,French Open,1st Round,Female
Carole Caldwell Graebner,1970,French Open,Absent,Female
Helga Niessen Masthoff,1970,French Open,Finalist,Female
Christine Truman Janes,1970,French Open,Absent,Female
Jan Lehane O'Neill,1970,French Open,Absent,Female
Karen Hantze Susman,1970,French Open,Absent,Female
Olga Morozova,1970,French Open,2nd Round,Female
Evonne Goolagong Cawley,1970,French Open,Absent,Female
Věra Puzejova Suková,1970,French Open,NA,Female
Dorothy Head Knode,1970,French Open,NA,Female
Darlene Hard,1970,French Open,Absent,Female
Zsuzsa Körmöczy,1970,French Open,NA,Female
Shirley Bloomer Brasher,1970,French Open,Absent,Female
Lorraine Coghlan Robinson,1970,French Open,Absent,Female
Nell Hall Hopman,1970,French Open,NA,Female
Renée Schuurman Haygarth,1970,French Open,NA,Female
Helen Gourlay Cawley,1970,French Open,1st Round,Female
Wendy Turnbull,1970,French Open,Absent,Female
Betty Stöve,1970,French Open,1st Round,Female
Sharon Walsh,1970,French Open,Absent,Female
Margaret Court,1970,Wimbledon,Won,Female
Billie Jean Moffitt King,1970,Wimbledon,Finalist,Female
Maria Bueno,1970,Wimbledon,Absent,Female
Ann Haydon-Jones,1970,Wimbledon,NA,Female
Nancy Richey Gunter,1970,Wimbledon,Absent,Female
Lesley Turner Bowrey,1970,Wimbledon,Absent,Female
Françoise Dürr,1970,Wimbledon,Semi-finalist,Female
Virginia Wade,1970,Wimbledon,4th Round,Female
Rosemary Casals,1970,Wimbledon,Semi-finalist,Female
Judy Tegart Dalton,1970,Wimbledon,4th Round,Female
Kerry Melville Reid,1970,Wimbledon,4th Round,Female
Carole Caldwell Graebner,1970,Wimbledon,2nd Round,Female
Helga Niessen Masthoff,1970,Wimbledon,Quarterfinalist,Female
Christine Truman Janes,1970,Wimbledon,Absent,Female
Jan Lehane O'Neill,1970,Wimbledon,Absent,Female
Karen Hantze Susman,1970,Wimbledon,Absent,Female
Olga Morozova,1970,Wimbledon,2nd Round,Female
Evonne Goolagong Cawley,1970,Wimbledon,2nd Round,Female
Věra Puzejova Suková,1970,Wimbledon,NA,Female
Dorothy Head Knode,1970,Wimbledon,NA,Female
Darlene Hard,1970,Wimbledon,Absent,Female
Zsuzsa Körmöczy,1970,Wimbledon,NA,Female
Shirley Bloomer Brasher,1970,Wimbledon,3rd Round,Female
Lorraine Coghlan Robinson,1970,Wimbledon,Absent,Female
Nell Hall Hopman,1970,Wimbledon,NA,Female
Renée Schuurman Haygarth,1970,Wimbledon,NA,Female
Helen Gourlay Cawley,1970,Wimbledon,2nd Round,Female
Wendy Turnbull,1970,Wimbledon,Absent,Female
Betty Stöve,1970,Wimbledon,2nd Round,Female
Sharon Walsh,1970,Wimbledon,3rd Round,Female
Margaret Court,1970,US Open,Won,Female
Billie Jean Moffitt King,1970,US Open,Absent,Female
Maria Bueno,1970,US Open,Absent,Female
Ann Haydon-Jones,1970,US Open,NA,Female
Nancy Richey Gunter,1970,US Open,Semi-finalist,Female
Lesley Turner Bowrey,1970,US Open,Absent,Female
Françoise Dürr,1970,US Open,Quarterfinalist,Female
Virginia Wade,1970,US Open,Semi-finalist,Female
Rosemary Casals,1970,US Open,Finalist,Female
Judy Tegart Dalton,1970,US Open,3rd Round,Female
Kerry Melville Reid,1970,US Open,Quarterfinalist,Female
Carole Caldwell Graebner,1970,US Open,2nd Round,Female
Helga Niessen Masthoff,1970,US Open,Absent,Female
Christine Truman Janes,1970,US Open,Absent,Female
Jan Lehane O'Neill,1970,US Open,Absent,Female
Karen Hantze Susman,1970,US Open,Absent,Female
Olga Morozova,1970,US Open,3rd Round,Female
Evonne Goolagong Cawley,1970,US Open,Absent,Female
Věra Puzejova Suková,1970,US Open,NA,Female
Dorothy Head Knode,1970,US Open,NA,Female
Darlene Hard,1970,US Open,2nd Round,Female
Zsuzsa Körmöczy,1970,US Open,NA,Female
Shirley Bloomer Brasher,1970,US Open,Absent,Female
Lorraine Coghlan Robinson,1970,US Open,Absent,Female
Nell Hall Hopman,1970,US Open,NA,Female
Renée Schuurman Haygarth,1970,US Open,NA,Female
Helen Gourlay Cawley,1970,US Open,Quarterfinalist,Female
Wendy Turnbull,1970,US Open,Absent,Female
Betty Stöve,1970,US Open,Absent,Female
Sharon Walsh,1970,US Open,3rd Round,Female
Chris Evert,1971,Australian Open,Absent,Female
Billie Jean Moffitt King,1971,Australian Open,Absent,Female
Evonne Goolagong Cawley,1971,Australian Open,Finalist,Female
Margaret Court,1971,Australian Open,Won,Female
Virginia Wade,1971,Australian Open,Absent,Female
Martina Navratilova,1971,Australian Open,NA,Female
Olga Morozova,1971,Australian Open,Absent,Female
Kerry Melville Reid,1971,Australian Open,Absent,Female
Rosemary Casals,1971,Australian Open,Absent,Female
Françoise Dürr,1971,Australian Open,Absent,Female
Helga Niessen Masthoff,1971,Australian Open,Absent,Female
Nancy Richey Gunter,1971,Australian Open,Absent,Female
Judy Tegart Dalton,1971,Australian Open,Absent,Female
Lesley Turner Bowrey,1971,Australian Open,2nd Round,Female
Tracy Austin,1971,Australian Open,NA,Female
Maria Bueno,1971,Australian Open,Absent,Female
Virginia Ruzici,1971,Australian Open,NA,Female
Christine Truman Janes,1971,Australian Open,Absent,Female
Jan Lehane O'Neill,1971,Australian Open,Quarterfinalist,Female
Karen Hantze Susman,1971,Australian Open,Absent,Female
Carole Caldwell Graebner,1971,Australian Open,Absent,Female
Shirley Bloomer Brasher,1971,Australian Open,Absent,Female
Lorraine Coghlan Robinson,1971,Australian Open,Absent,Female
Betty Stöve,1971,Australian Open,Absent,Female
Wendy Turnbull,1971,Australian Open,Absent,Female
Renáta Tomanová,1971,Australian Open,NA,Female
Helen Gourlay Cawley,1971,Australian Open,Quarterfinalist,Female
Sue Barker,1971,Australian Open,NA,Female
Mima Jaušovec,1971,Australian Open,NA,Female
Florența Mihai,1971,Australian Open,NA,Female
Dianne Fromholtz Balestrat,1971,Australian Open,1st Round,Female
Sharon Walsh,1971,Australian Open,Quarterfinalist,Female
Betsy Nagelsen,1971,Australian Open,NA,Female
Christine O'Neil,1971,Australian Open,NA,Female
Barbara Jordan,1971,Australian Open,NA,Female
Chris Evert,1971,French Open,Absent,Female
Billie Jean Moffitt King,1971,French Open,Absent,Female
Evonne Goolagong Cawley,1971,French Open,Won,Female
Margaret Court,1971,French Open,3rd Round,Female
Virginia Wade,1971,French Open,1st Round,Female
Martina Navratilova,1971,French Open,NA,Female
Olga Morozova,1971,French Open,2nd Round,Female
Kerry Melville Reid,1971,French Open,2nd Round,Female
Rosemary Casals,1971,French Open,Absent,Female
Françoise Dürr,1971,French Open,Quarterfinalist,Female
Helga Niessen Masthoff,1971,French Open,1st Round,Female
Nancy Richey Gunter,1971,French Open,Semi-finalist,Female
Judy Tegart Dalton,1971,French Open,Absent,Female
Lesley Turner Bowrey,1971,French Open,Quarterfinalist,Female
Tracy Austin,1971,French Open,NA,Female
Maria Bueno,1971,French Open,Absent,Female
Virginia Ruzici,1971,French Open,NA,Female
Christine Truman Janes,1971,French Open,Absent,Female
Jan Lehane O'Neill,1971,French Open,Absent,Female
Karen Hantze Susman,1971,French Open,Absent,Female
Carole Caldwell Graebner,1971,French Open,Absent,Female
Shirley Bloomer Brasher,1971,French Open,Absent,Female
Lorraine Coghlan Robinson,1971,French Open,Absent,Female
Betty Stöve,1971,French Open,3rd Round,Female
Wendy Turnbull,1971,French Open,Absent,Female
Renáta Tomanová,1971,French Open,NA,Female
Helen Gourlay Cawley,1971,French Open,Finalist,Female
Sue Barker,1971,French Open,NA,Female
Mima Jaušovec,1971,French Open,NA,Female
Florența Mihai,1971,French Open,NA,Female
Dianne Fromholtz Balestrat,1971,French Open,Absent,Female
Sharon Walsh,1971,French Open,Absent,Female
Betsy Nagelsen,1971,French Open,NA,Female
Christine O'Neil,1971,French Open,NA,Female
Barbara Jordan,1971,French Open,NA,Female
Chris Evert,1971,Wimbledon,Absent,Female
Billie Jean Moffitt King,1971,Wimbledon,Semi-finalist,Female
Evonne Goolagong Cawley,1971,Wimbledon,Won,Female
Margaret Court,1971,Wimbledon,Finalist,Female
Virginia Wade,1971,Wimbledon,4th Round,Female
Martina Navratilova,1971,Wimbledon,NA,Female
Olga Morozova,1971,Wimbledon,3rd Round,Female
Kerry Melville Reid,1971,Wimbledon,Quarterfinalist,Female
Rosemary Casals,1971,Wimbledon,2nd Round,Female
Françoise Dürr,1971,Wimbledon,Quarterfinalist,Female
Helga Niessen Masthoff,1971,Wimbledon,3rd Round,Female
Nancy Richey Gunter,1971,Wimbledon,Quarterfinalist,Female
Judy Tegart Dalton,1971,Wimbledon,Semi-finalist,Female
Lesley Turner Bowrey,1971,Wimbledon,4th Round,Female
Tracy Austin,1971,Wimbledon,NA,Female
Maria Bueno,1971,Wimbledon,Absent,Female
Virginia Ruzici,1971,Wimbledon,NA,Female
Christine Truman Janes,1971,Wimbledon,4th Round,Female
Jan Lehane O'Neill,1971,Wimbledon,Absent,Female
Karen Hantze Susman,1971,Wimbledon,Absent,Female
Carole Caldwell Graebner,1971,Wimbledon,Absent,Female
Shirley Bloomer Brasher,1971,Wimbledon,2nd Round,Female
Lorraine Coghlan Robinson,1971,Wimbledon,1st Round,Female
Betty Stöve,1971,Wimbledon,2nd Round,Female
Wendy Turnbull,1971,Wimbledon,Absent,Female
Renáta Tomanová,1971,Wimbledon,NA,Female
Helen Gourlay Cawley,1971,Wimbledon,1st Round,Female
Sue Barker,1971,Wimbledon,NA,Female
Mima Jaušovec,1971,Wimbledon,NA,Female
Florența Mihai,1971,Wimbledon,NA,Female
Dianne Fromholtz Balestrat,1971,Wimbledon,Absent,Female
Sharon Walsh,1971,Wimbledon,Absent,Female
Betsy Nagelsen,1971,Wimbledon,NA,Female
Christine O'Neil,1971,Wimbledon,NA,Female
Barbara Jordan,1971,Wimbledon,NA,Female
Chris Evert,1971,US Open,Semi-finalist,Female
Billie Jean Moffitt King,1971,US Open,Won,Female
Evonne Goolagong Cawley,1971,US Open,Absent,Female
Margaret Court,1971,US Open,Absent,Female
Virginia Wade,1971,US Open,Absent,Female
Martina Navratilova,1971,US Open,NA,Female
Olga Morozova,1971,US Open,Absent,Female
Kerry Melville Reid,1971,US Open,Semi-finalist,Female
Rosemary Casals,1971,US Open,Finalist,Female
Françoise Dürr,1971,US Open,3rd Round,Female
Helga Niessen Masthoff,1971,US Open,Absent,Female
Nancy Richey Gunter,1971,US Open,3rd Round,Female
Judy Tegart Dalton,1971,US Open,Quarterfinalist,Female
Lesley Turner Bowrey,1971,US Open,Absent,Female
Tracy Austin,1971,US Open,NA,Female
Maria Bueno,1971,US Open,Absent,Female
Virginia Ruzici,1971,US Open,NA,Female
Christine Truman Janes,1971,US Open,Absent,Female
Jan Lehane O'Neill,1971,US Open,Absent,Female
Karen Hantze Susman,1971,US Open,Absent,Female
Carole Caldwell Graebner,1971,US Open,1st Round,Female
Shirley Bloomer Brasher,1971,US Open,Absent,Female
Lorraine Coghlan Robinson,1971,US Open,Absent,Female
Betty Stöve,1971,US Open,1st Round,Female
Wendy Turnbull,1971,US Open,Absent,Female
Renáta Tomanová,1971,US Open,NA,Female
Helen Gourlay Cawley,1971,US Open,2nd Round,Female
Sue Barker,1971,US Open,NA,Female
Mima Jaušovec,1971,US Open,NA,Female
Florența Mihai,1971,US Open,NA,Female
Dianne Fromholtz Balestrat,1971,US Open,Absent,Female
Sharon Walsh,1971,US Open,Absent,Female
Betsy Nagelsen,1971,US Open,NA,Female
Christine O'Neil,1971,US Open,NA,Female
Barbara Jordan,1971,US Open,NA,Female
Chris Evert,1972,Australian Open,Absent,Female
Billie Jean Moffitt King,1972,Australian Open,Absent,Female
Evonne Goolagong Cawley,1972,Australian Open,Finalist,Female
Margaret Court,1972,Australian Open,Absent,Female
Virginia Wade,1972,Australian Open,Won,Female
Martina Navratilova,1972,Australian Open,NA,Female
Olga Morozova,1972,Australian Open,Quarterfinalist,Female
Kerry Melville Reid,1972,Australian Open,Absent,Female
Rosemary Casals,1972,Australian Open,Absent,Female
Françoise Dürr,1972,Australian Open,Absent,Female
Helga Niessen Masthoff,1972,Australian Open,Absent,Female
Nancy Richey Gunter,1972,Australian Open,Absent,Female
Judy Tegart Dalton,1972,Australian Open,Absent,Female
Lesley Turner Bowrey,1972,Australian Open,Absent,Female
Tracy Austin,1972,Australian Open,NA,Female
Maria Bueno,1972,Australian Open,Absent,Female
Virginia Ruzici,1972,Australian Open,NA,Female
Christine Truman Janes,1972,Australian Open,Absent,Female
Jan Lehane O'Neill,1972,Australian Open,Absent,Female
Karen Hantze Susman,1972,Australian Open,Absent,Female
