year,grand_slam,name,rolling_win_count,tournament_date,gender
1996,us_open,Steffi Graf,21,1996-09-09,Female
1997,australian_open,Martina Hingis,1,1997-01-10,Female
1997,french_open,Iva Majoli,1,1997-06-09,Female
1997,wimbledon,Martina Hingis,2,1997-07-14,Female
1997,us_open,Martina Hingis,3,1997-09-09,Female
1998,australian_open,Martina Hingis,4,1998-01-10,Female
1998,french_open,Arantxa Sánchez Vicario,4,1998-06-09,Female
1998,wimbledon,Jana Novotná,1,1998-07-14,Female
1998,us_open,Lindsay Davenport,1,1998-09-09,Female
1999,australian_open,Martina Hingis,5,1999-01-10,Female
1999,french_open,Steffi Graf,22,1999-06-09,Female
1999,wimbledon,Lindsay Davenport,2,1999-07-14,Female
1999,us_open,Serena Williams,1,1999-09-09,Female
2000,australian_open,Lindsay Davenport,3,2000-01-10,Female
2000,french_open,Mary Pierce,2,2000-06-09,Female
2000,wimbledon,Venus Williams,1,2000-07-14,Female
2000,us_open,Venus Williams,2,2000-09-09,Female
2001,australian_open,Jennifer Capriati,1,2001-01-10,Female
2001,french_open,Jennifer Capriati,2,2001-06-09,Female
2001,wimbledon,Venus Williams,3,2001-07-14,Female
2001,us_open,Venus Williams,4,2001-09-09,Female
2002,australian_open,Jennifer Capriati,3,2002-01-10,Female
2002,french_open,Serena Williams,2,2002-06-09,Female
2002,wimbledon,Serena Williams,3,2002-07-14,Female
2002,us_open,Serena Williams,4,2002-09-09,Female
2003,australian_open,Serena Williams,5,2003-01-10,Female
2003,french_open,Justine Henin,1,2003-06-09,Female
2003,wimbledon,Serena Williams,6,2003-07-14,Female
2003,us_open,Justine Henin,2,2003-09-09,Female
2004,australian_open,Justine Henin,3,2004-01-10,Female
2004,french_open,Anastasia Myskina,1,2004-06-09,Female
2004,wimbledon,Maria Sharapova,1,2004-07-14,Female
2004,us_open,Svetlana Kuznetsova,1,2004-09-09,Female
2005,australian_open,Serena Williams,7,2005-01-10,Female
2005,french_open,Justine Henin,4,2005-06-09,Female
2005,wimbledon,Venus Williams,5,2005-07-14,Female
2005,us_open,Kim Clijsters,1,2005-09-09,Female
2006,australian_open,Amélie Mauresmo,1,2006-01-10,Female
2006,french_open,Justine Henin,5,2006-06-09,Female
2006,wimbledon,Amélie Mauresmo,2,2006-07-14,Female
2006,us_open,Maria Sharapova,2,2006-09-09,Female
2007,australian_open,Serena Williams,8,2007-01-10,Female
2007,french_open,Justine Henin,6,2007-06-09,Female
2007,wimbledon,Venus Williams,6,2007-07-14,Female
2007,us_open,Justine Henin,7,2007-09-09,Female
2008,australian_open,Maria Sharapova,3,2008-01-10,Female
2008,french_open,Ana Ivanovic,1,2008-06-09,Female
2008,wimbledon,Venus Williams,7,2008-07-14,Female
2008,us_open,Serena Williams,9,2008-09-09,Female
2009,australian_open,Serena Williams,10,2009-01-10,Female
2009,french_open,Svetlana Kuznetsova,2,2009-06-09,Female
2009,wimbledon,Serena Williams,11,2009-07-14,Female
2009,us_open,Kim Clijsters,2,2009-09-09,Female
2010,australian_open,Serena Williams,12,2010-01-10,Female
2010,french_open,Francesca Schiavone,1,2010-06-09,Female
2010,wimbledon,Serena Williams,13,2010-07-14,Female
2010,us_open,Kim Clijsters,3,2010-09-09,Female
2011,australian_open,Kim Clijsters,4,2011-01-10,Female
2011,french_open,Li Na,1,2011-06-09,Female
2011,wimbledon,Petra Kvitová,1,2011-07-14,Female
2011,us_open,Samantha Stosur,1,2011-09-09,Female
2012,australian_open,Victoria Azarenka,1,2012-01-10,Female
2012,french_open,Maria Sharapova,4,2012-06-09,Female
2012,wimbledon,Serena Williams,14,2012-07-14,Female
2012,us_open,Serena Williams,15,2012-09-09,Female
2013,australian_open,Victoria Azarenka,2,2013-01-10,Female
2013,french_open,Serena Williams,16,2013-06-09,Female
2013,wimbledon,Marion Bartoli,1,2013-07-14,Female
2013,us_open,Serena Williams,17,2013-09-09,Female
2014,australian_open,Li Na,2,2014-01-10,Female
2014,french_open,Maria Sharapova,5,2014-06-09,Female
2014,wimbledon,Petra Kvitová,2,2014-07-14,Female
2014,us_open,Serena Williams,18,2014-09-09,Female
2015,australian_open,Serena Williams,19,2015-01-10,Female
2015,french_open,Serena Williams,20,2015-06-09,Female
2015,wimbledon,Serena Williams,21,2015-07-14,Female
2015,us_open,Flavia Pennetta,1,2015-09-09,Female
2016,australian_open,Angelique Kerber,1,2016-01-10,Female
2016,french_open,Garbiñe Muguruza,1,2016-06-09,Female
2016,wimbledon,Serena Williams,22,2016-07-14,Female
2016,us_open,Angelique Kerber,2,2016-09-09,Female
2017,australian_open,Serena Williams,23,2017-01-10,Female
2017,french_open,Jeļena Ostapenko,1,2017-06-09,Female
2017,wimbledon,Garbiñe Muguruza,2,2017-07-14,Female
2017,us_open,Sloane Stephens,1,2017-09-09,Female
2018,australian_open,Caroline Wozniacki,1,2018-01-10,Female
2018,french_open,Simona Halep,1,2018-06-09,Female
2018,wimbledon,Angelique Kerber,3,2018-07-14,Female
2018,us_open,Naomi Osaka,1,2018-09-09,Female
2019,australian_open,Naomi Osaka,2,2019-01-10,Female
1968,australian_open,William Bowrey,1,1968-01-10,Male
1968,french_open,Ken Rosewall,1,1968-06-09,Male
1968,wimbledon,Rod Laver,1,1968-07-14,Male
1968,us_open,Arthur Ashe,1,1968-09-09,Male
1969,australian_open,Rod Laver,2,1969-01-10,Male
1969,french_open,Rod Laver,3,1969-06-09,Male
1969,wimbledon,Rod Laver,4,1969-07-14,Male
1969,us_open,Rod Laver,5,1969-09-09,Male
1970,australian_open,Arthur Ashe,2,1970-01-10,Male
1970,french_open,Jan Kodeš,1,1970-06-09,Male
1970,wimbledon,John Newcombe,1,1970-07-14,Male
1970,us_open,Ken Rosewall,2,1970-09-09,Male
1971,australian_open,Ken Rosewall,3,1971-01-10,Male
1971,french_open,Jan Kodeš,2,1971-06-09,Male
1971,wimbledon,John Newcombe,2,1971-07-14,Male
1971,us_open,Stan Smith,1,1971-09-09,Male
1972,australian_open,Ken Rosewall,4,1972-01-10,Male
1972,french_open,Andrés Gimeno,1,1972-06-09,Male
1972,wimbledon,Stan Smith,2,1972-07-14,Male
1972,us_open,Ilie Năstase,1,1972-09-09,Male
1973,australian_open,John Newcombe,3,1973-01-10,Male
1973,french_open,Ilie Năstase,2,1973-06-09,Male
1973,wimbledon,Jan Kodeš,3,1973-07-14,Male
1973,us_open,John Newcombe,4,1973-09-09,Male
1974,australian_open,Jimmy Connors,1,1974-01-10,Male
1974,french_open,Björn Borg,1,1974-06-09,Male
1974,wimbledon,Jimmy Connors,2,1974-07-14,Male
1974,us_open,Jimmy Connors,3,1974-09-09,Male
1975,australian_open,John Newcombe,5,1975-01-10,Male
1975,french_open,Björn Borg,2,1975-06-09,Male
1975,wimbledon,Arthur Ashe,3,1975-07-14,Male
1975,us_open,Manuel Orantes,1,1975-09-09,Male
1976,australian_open,Mark Edmondson,1,1976-01-10,Male
1976,french_open,Adriano Panatta,1,1976-06-09,Male
1976,wimbledon,Björn Borg,3,1976-07-14,Male
1976,us_open,Jimmy Connors,4,1976-09-09,Male
1977,australian_open,Roscoe Tanner,1,1977-01-10,Male
1977,australian_open,Vitas Gerulaitis,1,1977-01-10,Male
1977,french_open,Guillermo Vilas,1,1977-06-09,Male
1977,french_open,Guillermo Vilas,2,1977-06-09,Male
1977,wimbledon,Björn Borg,4,1977-07-14,Male
1977,wimbledon,Björn Borg,5,1977-07-14,Male
1977,us_open,Guillermo Vilas,3,1977-09-09,Male
1977,us_open,Guillermo Vilas,4,1977-09-09,Male
1978,australian_open,Guillermo Vilas,5,1978-01-10,Male
1978,french_open,Björn Borg,6,1978-06-09,Male
1978,wimbledon,Björn Borg,7,1978-07-14,Male
1978,us_open,Jimmy Connors,5,1978-09-09,Male
1979,australian_open,Guillermo Vilas,6,1979-01-10,Male
1979,french_open,Björn Borg,8,1979-06-09,Male
1979,wimbledon,Björn Borg,9,1979-07-14,Male
1979,us_open,John McEnroe,1,1979-09-09,Male
1980,australian_open,Brian Teacher,1,1980-01-10,Male
1980,french_open,Björn Borg,10,1980-06-09,Male
1980,wimbledon,Björn Borg,11,1980-07-14,Male
1980,us_open,John McEnroe,2,1980-09-09,Male
1981,australian_open,Johan Kriek,1,1981-01-10,Male
1981,french_open,Björn Borg,12,1981-06-09,Male
1981,wimbledon,John McEnroe,3,1981-07-14,Male
1981,us_open,John McEnroe,4,1981-09-09,Male
1982,australian_open,Johan Kriek,2,1982-01-10,Male
1982,french_open,Mats Wilander,1,1982-06-09,Male
1982,wimbledon,Jimmy Connors,6,1982-07-14,Male
1982,us_open,Jimmy Connors,7,1982-09-09,Male
1983,australian_open,Mats Wilander,2,1983-01-10,Male
1983,french_open,Yannick Noah,1,1983-06-09,Male
1983,wimbledon,John McEnroe,5,1983-07-14,Male
1983,us_open,Jimmy Connors,8,1983-09-09,Male
1984,australian_open,Mats Wilander,3,1984-01-10,Male
1984,french_open,Ivan Lendl,1,1984-06-09,Male
1984,wimbledon,John McEnroe,6,1984-07-14,Male
1984,us_open,John McEnroe,7,1984-09-09,Male
1985,australian_open,Stefan Edberg,1,1985-01-10,Male
1985,french_open,Mats Wilander,4,1985-06-09,Male
1985,wimbledon,Boris Becker,1,1985-07-14,Male
1985,us_open,Ivan Lendl,2,1985-09-09,Male
1986,french_open,Ivan Lendl,3,1986-06-09,Male
1986,wimbledon,Boris Becker,2,1986-07-14,Male
1986,us_open,Ivan Lendl,4,1986-09-09,Male
1987,australian_open,Stefan Edberg,2,1987-01-10,Male
1987,french_open,Ivan Lendl,5,1987-06-09,Male
1987,wimbledon,Pat Cash,1,1987-07-14,Male
1987,us_open,Ivan Lendl,6,1987-09-09,Male
1988,australian_open,Mats Wilander,5,1988-01-10,Male
1988,french_open,Mats Wilander,6,1988-06-09,Male
1988,wimbledon,Stefan Edberg,3,1988-07-14,Male
1988,us_open,Mats Wilander,7,1988-09-09,Male
1989,australian_open,Ivan Lendl,7,1989-01-10,Male
1989,french_open,Michael Chang,1,1989-06-09,Male
1989,wimbledon,Boris Becker,3,1989-07-14,Male
1989,us_open,Boris Becker,4,1989-09-09,Male
1990,australian_open,Ivan Lendl,8,1990-01-10,Male
1990,french_open,Andrés Gómez,1,1990-06-09,Male
1990,wimbledon,Stefan Edberg,4,1990-07-14,Male
1990,us_open,Pete Sampras,1,1990-09-09,Male
1991,australian_open,Boris Becker,5,1991-01-10,Male
1991,french_open,Jim Courier,1,1991-06-09,Male
1991,wimbledon,Michael Stich,1,1991-07-14,Male
1991,us_open,Stefan Edberg,5,1991-09-09,Male
1992,australian_open,Jim Courier,2,1992-01-10,Male
1992,french_open,Jim Courier,3,1992-06-09,Male
1992,wimbledon,Andre Agassi,1,1992-07-14,Male
1992,us_open,Stefan Edberg,6,1992-09-09,Male
1993,australian_open,Jim Courier,4,1993-01-10,Male
1993,french_open,Sergi Bruguera,1,1993-06-09,Male
1993,wimbledon,Pete Sampras,2,1993-07-14,Male
1993,us_open,Pete Sampras,3,1993-09-09,Male
1994,australian_open,Pete Sampras,4,1994-01-10,Male
1994,french_open,Sergi Bruguera,2,1994-06-09,Male
1994,wimbledon,Pete Sampras,5,1994-07-14,Male
1994,us_open,Andre Agassi,2,1994-09-09,Male
1995,australian_open,Andre Agassi,3,1995-01-10,Male
1995,french_open,Thomas Muster,1,1995-06-09,Male
1995,wimbledon,Pete Sampras,6,1995-07-14,Male
1995,us_open,Pete Sampras,7,1995-09-09,Male
1996,australian_open,Boris Becker,6,1996-01-10,Male
1996,french_open,Yevgeny Kafelnikov,1,1996-06-09,Male
1996,wimbledon,Richard Krajicek,1,1996-07-14,Male
1996,us_open,Pete Sampras,8,1996-09-09,Male
1997,australian_open,Pete Sampras,9,1997-01-10,Male
1997,french_open,Gustavo Kuerten,1,1997-06-09,Male
1997,wimbledon,Pete Sampras,10,1997-07-14,Male
1997,us_open,Patrick Rafter,1,1997-09-09,Male
1998,australian_open,Petr Korda,1,1998-01-10,Male
1998,french_open,Carlos Moyá,1,1998-06-09,Male
1998,wimbledon,Pete Sampras,11,1998-07-14,Male
1998,us_open,Patrick Rafter,2,1998-09-09,Male
1999,australian_open,Yevgeny Kafelnikov,2,1999-01-10,Male
1999,french_open,Andre Agassi,4,1999-06-09,Male
1999,wimbledon,Pete Sampras,12,1999-07-14,Male
1999,us_open,Andre Agassi,5,1999-09-09,Male
2000,australian_open,Andre Agassi,6,2000-01-10,Male
2000,french_open,Gustavo Kuerten,2,2000-06-09,Male
2000,wimbledon,Pete Sampras,13,2000-07-14,Male
2000,us_open,Marat Safin,1,2000-09-09,Male
2001,australian_open,Andre Agassi,7,2001-01-10,Male
2001,french_open,Gustavo Kuerten,3,2001-06-09,Male
2001,wimbledon,Goran Ivanišević,1,2001-07-14,Male
2001,us_open,Lleyton Hewitt,1,2001-09-09,Male
2002,australian_open,Thomas Johansson,1,2002-01-10,Male
2002,french_open,Albert Costa,1,2002-06-09,Male
2002,wimbledon,Lleyton Hewitt,2,2002-07-14,Male
2002,us_open,Pete Sampras,14,2002-09-09,Male
2003,australian_open,Andre Agassi,8,2003-01-10,Male
2003,french_open,Juan Carlos Ferrero,1,2003-06-09,Male
2003,wimbledon,Roger Federer,1,2003-07-14,Male
2003,us_open,Andy Roddick,1,2003-09-09,Male
2004,australian_open,Roger Federer,2,2004-01-10,Male
2004,french_open,Gastón Gaudio,1,2004-06-09,Male
2004,wimbledon,Roger Federer,3,2004-07-14,Male
2004,us_open,Roger Federer,4,2004-09-09,Male
2005,australian_open,Marat Safin,2,2005-01-10,Male
2005,french_open,Rafael Nadal,1,2005-06-09,Male
2005,wimbledon,Roger Federer,5,2005-07-14,Male
2005,us_open,Roger Federer,6,2005-09-09,Male
2006,australian_open,Roger Federer,7,2006-01-10,Male
2006,french_open,Rafael Nadal,2,2006-06-09,Male
2006,wimbledon,Roger Federer,8,2006-07-14,Male
2006,us_open,Roger Federer,9,2006-09-09,Male
2007,australian_open,Roger Federer,10,2007-01-10,Male
2007,french_open,Rafael Nadal,3,2007-06-09,Male
2007,wimbledon,Roger Federer,11,2007-07-14,Male
2007,us_open,Roger Federer,12,2007-09-09,Male
2008,australian_open,Novak Djokovic,1,2008-01-10,Male
2008,french_open,Rafael Nadal,4,2008-06-09,Male
2008,wimbledon,Rafael Nadal,5,2008-07-14,Male
2008,us_open,Roger Federer,13,2008-09-09,Male
2009,australian_open,Rafael Nadal,6,2009-01-10,Male
2009,french_open,Roger Federer,14,2009-06-09,Male
2009,wimbledon,Roger Federer,15,2009-07-14,Male
2009,us_open,Juan Martín del Potro,1,2009-09-09,Male
2010,australian_open,Roger Federer,16,2010-01-10,Male
2010,french_open,Rafael Nadal,7,2010-06-09,Male
2010,wimbledon,Rafael Nadal,8,2010-07-14,Male
2010,us_open,Rafael Nadal,9,2010-09-09,Male
2011,australian_open,Novak Djokovic,2,2011-01-10,Male
2011,french_open,Rafael Nadal,10,2011-06-09,Male
2011,wimbledon,Novak Djokovic,3,2011-07-14,Male
2011,us_open,Novak Djokovic,4,2011-09-09,Male
2012,australian_open,Novak Djokovic,5,2012-01-10,Male
2012,french_open,Rafael Nadal,11,2012-06-09,Male
2012,wimbledon,Roger Federer,17,2012-07-14,Male
2012,us_open,Andy Murray,1,2012-09-09,Male
2013,australian_open,Novak Djokovic,6,2013-01-10,Male
2013,french_open,Rafael Nadal,12,2013-06-09,Male
2013,wimbledon,Andy Murray,2,2013-07-14,Male
2013,us_open,Rafael Nadal,13,2013-09-09,Male
2014,australian_open,Stan Wawrinka,1,2014-01-10,Male
2014,french_open,Rafael Nadal,14,2014-06-09,Male
2014,wimbledon,Novak Djokovic,7,2014-07-14,Male
2014,us_open,Marin Čilić,1,2014-09-09,Male
2015,australian_open,Novak Djokovic,8,2015-01-10,Male
2015,french_open,Stan Wawrinka,2,2015-06-09,Male
2015,wimbledon,Novak Djokovic,9,2015-07-14,Male
2015,us_open,Novak Djokovic,10,2015-09-09,Male
2016,australian_open,Novak Djokovic,11,2016-01-10,Male
2016,french_open,Novak Djokovic,12,2016-06-09,Male
2016,wimbledon,Andy Murray,3,2016-07-14,Male
2016,us_open,Stan Wawrinka,3,2016-09-09,Male
2017,australian_open,Roger Federer,18,2017-01-10,Male
2017,french_open,Rafael Nadal,15,2017-06-09,Male
2017,wimbledon,Roger Federer,19,2017-07-14,Male
2017,us_open,Rafael Nadal,16,2017-09-09,Male
2018,australian_open,Roger Federer,20,2018-01-10,Male
2018,french_open,Rafael Nadal,17,2018-06-09,Male
2018,wimbledon,Novak Djokovic,13,2018-07-14,Male
2018,us_open,Novak Djokovic,14,2018-09-09,Male
2019,australian_open,Novak Djokovic,15,2019-01-10,Male
