year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city
2000,2,Seattle Seahawks,St. Louis Rams,St. Louis Rams,NA,Sun,September 10,4:15PM,37,34,476,1,338,3,Seahawks,Seattle,Rams,St. Louis
2000,2,Detroit Lions,Washington Redskins,Detroit Lions,NA,Sun,September 10,4:16PM,15,10,244,2,333,4,Lions,Detroit,Redskins,Washington
2000,2,Denver Broncos,Atlanta Falcons,Denver Broncos,NA,Sun,September 10,4:16PM,42,14,407,0,186,3,Broncos,Denver,Falcons,Atlanta
2000,2,Arizona Cardinals,Dallas Cowboys,Arizona Cardinals,NA,Sun,September 10,8:35PM,32,31,322,1,330,2,Cardinals,Arizona,Cowboys,Dallas
2000,2,New York Jets,New England Patriots,New York Jets,NA,Mon,September 11,9:09PM,20,19,330,1,293,0,Jets,New York,Patriots,New England
2000,3,Jacksonville Jaguars,Cincinnati Bengals,Jacksonville Jaguars,NA,Sun,September 17,1:02PM,13,0,241,1,233,4,Jaguars,Jacksonville,Bengals,Cincinnati
2000,3,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,NA,Sun,September 17,1:02PM,23,20,377,1,336,1,Browns,Cleveland,Steelers,Pittsburgh
2000,3,Green Bay Packers,Philadelphia Eagles,Green Bay Packers,NA,Sun,September 17,1:02PM,6,3,236,4,171,1,Packers,Green Bay,Eagles,Philadelphia
2000,3,Carolina Panthers,Atlanta Falcons,Atlanta Falcons,NA,Sun,September 17,1:02PM,15,10,262,2,284,4,Panthers,Carolina,Falcons,Atlanta
2000,3,St. Louis Rams,San Francisco 49ers,St. Louis Rams,NA,Sun,September 17,1:02PM,41,24,529,2,401,2,Rams,St. Louis,49ers,San Francisco
2000,3,New York Jets,Buffalo Bills,New York Jets,NA,Sun,September 17,1:03PM,27,14,279,1,354,4,Jets,New York,Bills,Buffalo
2000,3,Detroit Lions,Tampa Bay Buccaneers,Tampa Bay Buccaneers,NA,Sun,September 17,1:06PM,31,10,331,0,243,3,Lions,Detroit,Buccaneers,Tampa Bay
2000,3,Chicago Bears,New York Giants,New York Giants,NA,Sun,September 17,3:16PM,14,7,409,1,228,1,Bears,Chicago,Giants,New York
2000,3,Oakland Raiders,Denver Broncos,Denver Broncos,NA,Sun,September 17,4:05PM,33,24,387,1,263,4,Raiders,Oakland,Broncos,Denver
2000,3,Kansas City Chiefs,San Diego Chargers,Kansas City Chiefs,NA,Sun,September 17,4:05PM,42,10,349,1,187,2,Chiefs,Kansas City,Chargers,San Diego
2000,3,Seattle Seahawks,New Orleans Saints,Seattle Seahawks,NA,Sun,September 17,4:15PM,20,10,295,1,263,0,Seahawks,Seattle,Saints,New Orleans
2000,3,New England Patriots,Minnesota Vikings,Minnesota Vikings,NA,Sun,September 17,4:15PM,21,13,315,2,267,1,Patriots,New England,Vikings,Minnesota
2000,3,Miami Dolphins,Baltimore Ravens,Miami Dolphins,NA,Sun,September 17,8:36PM,19,6,258,1,262,1,Dolphins,Miami,Ravens,Baltimore
2000,3,Washington Redskins,Dallas Cowboys,Dallas Cowboys,NA,Mon,September 18,9:01PM,27,21,332,2,331,2,Redskins,Washington,Cowboys,Dallas
2000,4,Pittsburgh Steelers,Tennessee Titans,Tennessee Titans,NA,Sun,September 24,1:01PM,23,20,372,3,364,1,Steelers,Pittsburgh,Titans,Tennessee
2000,4,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens,NA,Sun,September 24,1:02PM,37,0,391,1,94,4,Ravens,Baltimore,Bengals,Cincinnati
2000,4,Chicago Bears,Detroit Lions,Detroit Lions,NA,Sun,September 24,1:02PM,21,14,274,1,401,5,Bears,Chicago,Lions,Detroit
2000,4,New Orleans Saints,Philadelphia Eagles,Philadelphia Eagles,NA,Sun,September 24,1:02PM,21,7,268,2,287,4,Saints,New Orleans,Eagles,Philadelphia
2000,4,Atlanta Falcons,St. Louis Rams,St. Louis Rams,NA,Sun,September 24,1:02PM,41,20,395,2,286,4,Falcons,Atlanta,Rams,St. Louis
2000,4,Miami Dolphins,New England Patriots,Miami Dolphins,NA,Sun,September 24,1:03PM,10,3,242,3,210,2,Dolphins,Miami,Patriots,New England
2000,4,Dallas Cowboys,San Francisco 49ers,San Francisco 49ers,NA,Sun,September 24,1:05PM,41,24,439,0,298,3,Cowboys,Dallas,49ers,San Francisco
2000,4,Arizona Cardinals,Green Bay Packers,Green Bay Packers,NA,Sun,September 24,4:06PM,29,3,455,1,209,4,Cardinals,Arizona,Packers,Green Bay
2000,4,Tampa Bay Buccaneers,New York Jets,New York Jets,NA,Sun,September 24,4:15PM,21,17,296,3,239,4,Buccaneers,Tampa Bay,Jets,New York
2000,4,San Diego Chargers,Seattle Seahawks,Seattle Seahawks,NA,Sun,September 24,4:15PM,20,12,269,2,303,2,Chargers,San Diego,Seahawks,Seattle
2000,4,Denver Broncos,Kansas City Chiefs,Kansas City Chiefs,NA,Sun,September 24,4:16PM,23,22,294,3,342,3,Broncos,Denver,Chiefs,Kansas City
2000,4,Oakland Raiders,Cleveland Browns,Oakland Raiders,NA,Sun,September 24,4:17PM,36,10,292,0,230,2,Raiders,Oakland,Browns,Cleveland
2000,4,New York Giants,Washington Redskins,Washington Redskins,NA,Sun,September 24,8:37PM,16,6,394,0,261,1,Giants,New York,Redskins,Washington
2000,4,Indianapolis Colts,Jacksonville Jaguars,Indianapolis Colts,NA,Mon,September 25,9:00PM,43,14,533,1,286,2,Colts,Indianapolis,Jaguars,Jacksonville
2000,5,Buffalo Bills,Indianapolis Colts,Indianapolis Colts,NA,Sun,October 1,1:01PM,18,16,265,1,385,0,Bills,Buffalo,Colts,Indianapolis
2000,5,Detroit Lions,Minnesota Vikings,Minnesota Vikings,NA,Sun,October 1,1:01PM,31,24,439,0,355,1,Lions,Detroit,Vikings,Minnesota
2000,5,Carolina Panthers,Dallas Cowboys,Dallas Cowboys,NA,Sun,October 1,1:02PM,16,13,291,2,272,2,Panthers,Carolina,Cowboys,Dallas
2000,5,St. Louis Rams,San Diego Chargers,St. Louis Rams,NA,Sun,October 1,1:02PM,57,31,614,0,381,2,Rams,St. Louis,Chargers,San Diego
2000,5,Tennessee Titans,New York Giants,Tennessee Titans,NA,Sun,October 1,1:03PM,28,14,436,1,215,4,Titans,Tennessee,Giants,New York
2000,5,Cleveland Browns,Baltimore Ravens,Baltimore Ravens,NA,Sun,October 1,1:03PM,12,0,348,1,230,4,Browns,Cleveland,Ravens,Baltimore
2000,5,Jacksonville Jaguars,Pittsburgh Steelers,Pittsburgh Steelers,NA,Sun,October 1,1:03PM,24,13,332,3,206,2,Jaguars,Jacksonville,Steelers,Pittsburgh
2000,5,Cincinnati Bengals,Miami Dolphins,Miami Dolphins,NA,Sun,October 1,4:05PM,31,16,302,2,350,1,Bengals,Cincinnati,Dolphins,Miami
2000,5,Denver Broncos,New England Patriots,New England Patriots,NA,Sun,October 1,4:06PM,28,19,314,1,405,2,Broncos,Denver,Patriots,New England
2000,5,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,NA,Sun,October 1,4:15PM,27,20,345,1,365,2,49ers,San Francisco,Cardinals,Arizona
2000,5,Green Bay Packers,Chicago Bears,Chicago Bears,NA,Sun,October 1,4:15PM,27,24,370,0,364,3,Packers,Green Bay,Bears,Chicago
2000,5,Washington Redskins,Tampa Bay Buccaneers,Washington Redskins,NA,Sun,October 1,4:15PM,20,17,330,1,255,2,Redskins,Washington,Buccaneers,Tampa Bay
2000,5,Philadelphia Eagles,Atlanta Falcons,Philadelphia Eagles,NA,Sun,October 1,8:36PM,38,10,502,3,200,1,Eagles,Philadelphia,Falcons,Atlanta
2000,5,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs,NA,Mon,October 2,9:00PM,24,17,378,0,289,2,Chiefs,Kansas City,Seahawks,Seattle
2000,6,Cincinnati Bengals,Tennessee Titans,Tennessee Titans,NA,Sun,October 8,1:00PM,23,14,417,2,213,2,Bengals,Cincinnati,Titans,Tennessee
2000,6,New York Jets,Pittsburgh Steelers,Pittsburgh Steelers,NA,Sun,October 8,1:01PM,20,3,330,0,206,4,Jets,New York,Steelers,Pittsburgh
2000,6,Detroit Lions,Green Bay Packers,Detroit Lions,NA,Sun,October 8,1:01PM,31,24,253,1,339,5,Lions,Detroit,Packers,Green Bay
2000,6,New England Patriots,Indianapolis Colts,New England Patriots,NA,Sun,October 8,1:02PM,24,16,301,0,408,3,Patriots,New England,Colts,Indianapolis
2000,6,Miami Dolphins,Buffalo Bills,Miami Dolphins,NA,Sun,October 8,1:02PM,22,13,254,1,254,2,Dolphins,Miami,Bills,Buffalo
2000,6,Philadelphia Eagles,Washington Redskins,Washington Redskins,NA,Sun,October 8,1:02PM,17,14,407,2,274,4,Eagles,Philadelphia,Redskins,Washington
2000,6,Chicago Bears,New Orleans Saints,New Orleans Saints,NA,Sun,October 8,1:03PM,31,10,403,1,245,3,Bears,Chicago,Saints,New Orleans
2000,6,San Francisco 49ers,Oakland Raiders,Oakland Raiders,NA,Sun,October 8,4:00PM,34,28,471,2,472,2,49ers,San Francisco,Raiders,Oakland
2000,6,Atlanta Falcons,New York Giants,New York Giants,NA,Sun,October 8,4:05PM,13,6,255,2,238,3,Falcons,Atlanta,Giants,New York
2000,6,Carolina Panthers,Seattle Seahawks,Carolina Panthers,NA,Sun,October 8,4:15PM,26,3,447,1,209,0,Panthers,Carolina,Seahawks,Seattle
2000,6,San Diego Chargers,Denver Broncos,Denver Broncos,NA,Sun,October 8,4:15PM,21,7,304,0,277,3,Chargers,San Diego,Broncos,Denver
2000,6,Arizona Cardinals,Cleveland Browns,Arizona Cardinals,NA,Sun,October 8,4:15PM,29,21,315,2,240,0,Cardinals,Arizona,Browns,Cleveland
2000,6,Jacksonville Jaguars,Baltimore Ravens,Baltimore Ravens,NA,Sun,October 8,8:35PM,15,10,194,1,348,6,Jaguars,Jacksonville,Ravens,Baltimore
2000,6,Minnesota Vikings,Tampa Bay Buccaneers,Minnesota Vikings,NA,Mon,October 9,9:10PM,30,23,322,2,346,3,Vikings,Minnesota,Buccaneers,Tampa Bay
2000,7,Kansas City Chiefs,Oakland Raiders,Oakland Raiders,NA,Sun,October 15,1:00PM,20,17,391,1,346,1,Chiefs,Kansas City,Raiders,Oakland
2000,7,Buffalo Bills,San Diego Chargers,Buffalo Bills,NA,Sun,October 15,1:01PM,27,24,424,2,303,4,Bills,Buffalo,Chargers,San Diego
2000,7,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,NA,Sun,October 15,1:01PM,15,0,274,0,232,3,Steelers,Pittsburgh,Bengals,Cincinnati
2000,7,Washington Redskins,Baltimore Ravens,Washington Redskins,NA,Sun,October 15,1:01PM,10,3,246,2,199,1,Redskins,Washington,Ravens,Baltimore
2000,7,St. Louis Rams,Atlanta Falcons,St. Louis Rams,NA,Sun,October 15,1:02PM,45,29,529,1,259,1,Rams,St. Louis,Falcons,Atlanta
2000,7,New York Giants,Dallas Cowboys,New York Giants,NA,Sun,October 15,1:03PM,19,14,311,0,269,5,Giants,New York,Cowboys,Dallas
2000,7,New Orleans Saints,Carolina Panthers,New Orleans Saints,NA,Sun,October 15,1:04PM,24,6,397,3,141,2,Saints,New Orleans,Panthers,Carolina
2000,7,Seattle Seahawks,Indianapolis Colts,Indianapolis Colts,NA,Sun,October 15,4:05PM,37,24,499,1,317,3,Seahawks,Seattle,Colts,Indianapolis
2000,7,New England Patriots,New York Jets,New York Jets,NA,Sun,October 15,4:05PM,34,17,294,1,249,6,Patriots,New England,Jets,New York
2000,7,Denver Broncos,Cleveland Browns,Denver Broncos,NA,Sun,October 15,4:06PM,44,10,499,0,278,3,Broncos,Denver,Browns,Cleveland
2000,7,Arizona Cardinals,Philadelphia Eagles,Philadelphia Eagles,NA,Sun,October 15,4:15PM,33,14,391,0,305,3,Cardinals,Arizona,Eagles,Philadelphia
2000,7,Green Bay Packers,San Francisco 49ers,Green Bay Packers,NA,Sun,October 15,4:15PM,31,28,378,0,414,0,Packers,Green Bay,49ers,San Francisco
2000,7,Chicago Bears,Minnesota Vikings,Minnesota Vikings,NA,Sun,October 15,8:35PM,28,16,368,1,294,0,Bears,Chicago,Vikings,Minnesota
2000,7,Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,NA,Mon,October 16,9:10PM,27,13,409,1,304,2,Titans,Tennessee,Jaguars,Jacksonville
2000,8,Tampa Bay Buccaneers,Detroit Lions,Detroit Lions,NA,Thu,October 19,8:35PM,28,14,277,0,258,4,Buccaneers,Tampa Bay,Lions,Detroit
2000,8,Dallas Cowboys,Arizona Cardinals,Dallas Cowboys,NA,Sun,October 22,1:00PM,48,7,347,0,276,3,Cowboys,Dallas,Cardinals,Arizona
2000,8,Indianapolis Colts,New England Patriots,Indianapolis Colts,NA,Sun,October 22,1:00PM,30,23,398,1,386,1,Colts,Indianapolis,Patriots,New England
2000,8,Kansas City Chiefs,St. Louis Rams,Kansas City Chiefs,NA,Sun,October 22,1:00PM,54,34,468,0,428,4,Chiefs,Kansas City,Rams,St. Louis
2000,8,Cincinnati Bengals,Denver Broncos,Cincinnati Bengals,NA,Sun,October 22,1:00PM,31,21,421,1,500,3,Bengals,Cincinnati,Broncos,Denver
2000,8,Minnesota Vikings,Buffalo Bills,Minnesota Vikings,NA,Sun,October 22,1:02PM,31,27,348,1,406,1,Vikings,Minnesota,Bills,Buffalo
2000,8,Carolina Panthers,San Francisco 49ers,Carolina Panthers,NA,Sun,October 22,1:02PM,34,16,390,0,411,2,Panthers,Carolina,49ers,San Francisco
2000,8,Baltimore Ravens,Tennessee Titans,Tennessee Titans,NA,Sun,October 22,1:02PM,14,6,191,2,368,4,Ravens,Baltimore,Titans,Tennessee
2000,8,Philadelphia Eagles,Chicago Bears,Philadelphia Eagles,NA,Sun,October 22,1:03PM,13,9,298,2,274,1,Eagles,Philadelphia,Bears,Chicago
2000,8,Atlanta Falcons,New Orleans Saints,New Orleans Saints,NA,Sun,October 22,1:05PM,21,19,402,1,278,0,Falcons,Atlanta,Saints,New Orleans
2000,8,Oakland Raiders,Seattle Seahawks,Oakland Raiders,NA,Sun,October 22,4:05PM,31,3,380,1,283,3,Raiders,Oakland,Seahawks,Seattle
2000,8,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,NA,Sun,October 22,4:05PM,22,0,248,0,104,3,Steelers,Pittsburgh,Browns,Cleveland
2000,8,Jacksonville Jaguars,Washington Redskins,Washington Redskins,NA,Sun,October 22,4:15PM,35,16,399,2,385,4,Jaguars,Jacksonville,Redskins,Washington
2000,8,New York Jets,Miami Dolphins,New York Jets,NA,Mon,October 23,9:10PM,40,37,455,4,433,3,Jets,New York,Dolphins,Miami
2000,9,Tampa Bay Buccaneers,Minnesota Vikings,Tampa Bay Buccaneers,NA,Sun,October 29,1:01PM,41,13,413,0,401,3,Buccaneers,Tampa Bay,Vikings,Minnesota
2000,9,Buffalo Bills,New York Jets,Buffalo Bills,NA,Sun,October 29,1:01PM,23,20,338,0,337,4,Bills,Buffalo,Jets,New York
2000,9,Miami Dolphins,Green Bay Packers,Miami Dolphins,NA,Sun,October 29,1:02PM,28,20,296,1,319,2,Dolphins,Miami,Packers,Green Bay
2000,9,Baltimore Ravens,Pittsburgh Steelers,Pittsburgh Steelers,NA,Sun,October 29,1:02PM,9,6,231,1,274,3,Ravens,Baltimore,Steelers,Pittsburgh
2000,9,Atlanta Falcons,Carolina Panthers,Atlanta Falcons,NA,Sun,October 29,1:02PM,13,12,281,3,209,4,Falcons,Atlanta,Panthers,Carolina
2000,9,Cleveland Browns,Cincinnati Bengals,Cincinnati Bengals,NA,Sun,October 29,1:03PM,12,3,253,1,182,1,Browns,Cleveland,Bengals,Cincinnati
2000,9,Indianapolis Colts,Detroit Lions,Indianapolis Colts,NA,Sun,October 29,2:00PM,30,18,420,5,328,4,Colts,Indianapolis,Lions,Detroit
2000,9,Arizona Cardinals,New Orleans Saints,New Orleans Saints,NA,Sun,October 29,4:05PM,21,10,247,1,394,4,Cardinals,Arizona,Saints,New Orleans
2000,9,San Francisco 49ers,St. Louis Rams,St. Louis Rams,NA,Sun,October 29,4:05PM,34,24,447,1,325,0,49ers,San Francisco,Rams,St. Louis
2000,9,New York Giants,Philadelphia Eagles,New York Giants,NA,Sun,October 29,4:07PM,24,7,384,0,192,1,Giants,New York,Eagles,Philadelphia
2000,9,Dallas Cowboys,Jacksonville Jaguars,Jacksonville Jaguars,NA,Sun,October 29,4:15PM,23,17,392,0,325,3,Cowboys,Dallas,Jaguars,Jacksonville
2000,9,Seattle Seahawks,Kansas City Chiefs,Kansas City Chiefs,NA,Sun,October 29,4:16PM,24,19,410,3,351,4,Seahawks,Seattle,Chiefs,Kansas City
2000,9,San Diego Chargers,Oakland Raiders,Oakland Raiders,NA,Sun,October 29,8:35PM,15,13,228,1,224,2,Chargers,San Diego,Raiders,Oakland
2000,9,Washington Redskins,Tennessee Titans,Tennessee Titans,NA,Mon,October 30,9:01PM,27,21,189,0,266,3,Redskins,Washington,Titans,Tennessee
2000,10,Detroit Lions,Miami Dolphins,Miami Dolphins,NA,Sun,November 5,1:01PM,23,8,293,0,253,3,Lions,Detroit,Dolphins,Miami
2000,10,New Orleans Saints,San Francisco 49ers,New Orleans Saints,NA,Sun,November 5,1:02PM,31,15,360,0,346,2,Saints,New Orleans,49ers,San Francisco
2000,10,Chicago Bears,Indianapolis Colts,Chicago Bears,NA,Sun,November 5,1:02PM,27,24,370,0,371,2,Bears,Chicago,Colts,Indianapolis
2000,10,New England Patriots,Buffalo Bills,Buffalo Bills,NA,Sun,November 5,1:02PM,16,13,315,1,189,2,Patriots,New England,Bills,Buffalo
2000,10,Atlanta Falcons,Tampa Bay Buccaneers,Tampa Bay Buccaneers,NA,Sun,November 5,1:02PM,27,14,267,2,283,4,Falcons,Atlanta,Buccaneers,Tampa Bay
2000,10,Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles,NA,Sun,November 5,1:03PM,16,13,357,2,295,2,Eagles,Philadelphia,Cowboys,Dallas
2000,10,Tennessee Titans,Pittsburgh Steelers,Tennessee Titans,NA,Sun,November 5,1:03PM,9,7,364,1,167,3,Titans,Tennessee,Steelers,Pittsburgh
2000,10,Cincinnati Bengals,Baltimore Ravens,Baltimore Ravens,NA,Sun,November 5,1:03PM,27,7,378,0,174,1,Bengals,Cincinnati,Ravens,Baltimore
2000,10,Cleveland Browns,New York Giants,New York Giants,NA,Sun,November 5,1:03PM,24,3,370,1,193,1,Browns,Cleveland,Giants,New York
2000,10,Oakland Raiders,Kansas City Chiefs,Oakland Raiders,NA,Sun,November 5,1:15PM,49,31,473,0,513,3,Raiders,Oakland,Chiefs,Kansas City
2000,10,Arizona Cardinals,Washington Redskins,Arizona Cardinals,NA,Sun,November 5,4:05PM,16,15,178,2,422,3,Cardinals,Arizona,Redskins,Washington
2000,10,Seattle Seahawks,San Diego Chargers,Seattle Seahawks,NA,Sun,November 5,4:15PM,17,15,128,1,398,3,Seahawks,Seattle,Chargers,San Diego
2000,10,New York Jets,Denver Broncos,Denver Broncos,NA,Sun,November 5,4:15PM,30,23,447,1,381,3,Jets,New York,Broncos,Denver
2000,10,St. Louis Rams,Carolina Panthers,Carolina Panthers,NA,Sun,November 5,8:35PM,27,24,268,2,426,2,Rams,St. Louis,Panthers,Carolina
2000,10,Green Bay Packers,Minnesota Vikings,Green Bay Packers,NA,Mon,November 6,9:09PM,26,20,298,0,407,5,Packers,Green Bay,Vikings,Minnesota
2000,11,Dallas Cowboys,Cincinnati Bengals,Dallas Cowboys,NA,Sun,November 12,1:00PM,23,6,405,1,195,2,Cowboys,Dallas,Bengals,Cincinnati
2000,11,Minnesota Vikings,Arizona Cardinals,Minnesota Vikings,NA,Sun,November 12,1:00PM,31,14,460,2,249,2,Vikings,Minnesota,Cardinals,Arizona
2000,11,Pittsburgh Steelers,Philadelphia Eagles,Philadelphia Eagles,NA,Sun,November 12,1:01PM,26,23,290,1,322,1,Steelers,Pittsburgh,Eagles,Philadelphia
2000,11,Detroit Lions,Atlanta Falcons,Detroit Lions,NA,Sun,November 12,1:01PM,13,10,222,1,218,2,Lions,Detroit,Falcons,Atlanta
2000,11,Carolina Panthers,New Orleans Saints,New Orleans Saints,NA,Sun,November 12,1:02PM,20,10,322,2,311,5,Panthers,Carolina,Saints,New Orleans
2000,11,Buffalo Bills,Chicago Bears,Buffalo Bills,NA,Sun,November 12,1:02PM,20,3,299,1,234,4,Bills,Buffalo,Bears,Chicago
2000,11,Jacksonville Jaguars,Seattle Seahawks,Seattle Seahawks,NA,Sun,November 12,1:02PM,28,21,326,0,437,1,Jaguars,Jacksonville,Seahawks,Seattle
2000,11,Tennessee Titans,Baltimore Ravens,Baltimore Ravens,NA,Sun,November 12,1:03PM,24,23,361,1,286,2,Titans,Tennessee,Ravens,Baltimore
2000,11,Cleveland Browns,New England Patriots,Cleveland Browns,NA,Sun,November 12,1:03PM,19,11,272,0,286,4,Browns,Cleveland,Patriots,New England
2000,11,San Francisco 49ers,Kansas City Chiefs,San Francisco 49ers,NA,Sun,November 12,4:00PM,21,7,389,0,294,1,49ers,San Francisco,Chiefs,Kansas City
2000,11,San Diego Chargers,Miami Dolphins,Miami Dolphins,NA,Sun,November 12,4:05PM,17,7,244,0,238,4,Chargers,San Diego,Dolphins,Miami
2000,11,Tampa Bay Buccaneers,Green Bay Packers,Tampa Bay Buccaneers,NA,Sun,November 12,4:15PM,20,15,272,1,302,1,Buccaneers,Tampa Bay,Packers,Green Bay
2000,11,New York Giants,St. Louis Rams,St. Louis Rams,NA,Sun,November 12,4:15PM,38,24,397,1,348,3,Giants,New York,Rams,St. Louis
2000,11,Indianapolis Colts,New York Jets,Indianapolis Colts,NA,Sun,November 12,8:35PM,23,15,358,1,367,2,Colts,Indianapolis,Jets,New York
2000,11,Denver Broncos,Oakland Raiders,Denver Broncos,NA,Mon,November 13,9:09PM,27,24,329,2,411,3,Broncos,Denver,Raiders,Oakland
2000,12,Minnesota Vikings,Carolina Panthers,Minnesota Vikings,NA,Sun,November 19,1:00PM,31,17,446,2,330,3,Vikings,Minnesota,Panthers,Carolina
2000,12,Kansas City Chiefs,Buffalo Bills,Buffalo Bills,NA,Sun,November 19,1:00PM,21,17,299,0,378,2,Chiefs,Kansas City,Bills,Buffalo
2000,12,New England Patriots,Cincinnati Bengals,New England Patriots,NA,Sun,November 19,1:02PM,16,13,291,1,365,2,Patriots,New England,Bengals,Cincinnati
2000,12,Philadelphia Eagles,Arizona Cardinals,Philadelphia Eagles,NA,Sun,November 19,1:02PM,34,9,338,2,210,1,Eagles,Philadelphia,Cardinals,Arizona
2000,12,New Orleans Saints,Oakland Raiders,Oakland Raiders,NA,Sun,November 19,1:02PM,31,22,293,1,333,1,Saints,New Orleans,Raiders,Oakland
2000,12,Green Bay Packers,Indianapolis Colts,Green Bay Packers,NA,Sun,November 19,1:02PM,26,24,432,1,338,2,Packers,Green Bay,Colts,Indianapolis
2000,12,New York Giants,Detroit Lions,Detroit Lions,NA,Sun,November 19,1:03PM,31,21,314,2,373,4,Giants,New York,Lions,Detroit
2000,12,Tennessee Titans,Cleveland Browns,Tennessee Titans,NA,Sun,November 19,1:03PM,24,10,374,7,125,1,Titans,Tennessee,Browns,Cleveland
