EXPID,PEAKID,YEAR,SEASON,SEASON_FACTOR,HOST,HOST_FACTOR,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,LEADERS,SPONSOR,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,ASCENT1,ASCENT2,ASCENT3,ASCENT4,CLAIMED,DISPUTED,COUNTRIES,APPROACH,BCDATE,SMTDATE,SMTTIME,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,TERMREASON_FACTOR,TERMNOTE,HIGHPOINT,TRAVERSE,SKI,PARAPENTE,CAMPS,ROPE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,NOHIRED,O2USED,O2NONE,O2CLIMB,O2DESCENT,O2SLEEP,O2MEDICAL,O2TAKEN,O2UNKWN,OTHERSMTS,CAMPSITES,ROUTEMEMO,ACCIDENTS,ACHIEVMENT,AGENCY,COMRTE,STDRTE,PRIMRTE,PRIMMEM,PRIMREF,PRIMID,CHKSUM
AMAD20401,AMAD,2020,4,Winter,1,Nepal,SW Ridge,NA,NA,NA,Nepal,Tashi Lakpa Sherpa,Seven Summit Treks Ama Dablam Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Egypt, India, Mexico, Oman, Qatar, Turkey",NA,2020-12-27,2021-01-09,1410,13,0,NA,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,2,0,7,7,0,14,12,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(27/12,4450m),C1(5600m),C2(5900m),Smt(09,14/01)",7722,NA,1st Arabic woman to summit Ama Dablam,Seven Summit Treks,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2463359
BARU20301,BARU,2020,3,Autumn,1,Nepal,SE Ridge,NA,NA,NA,Nepal,Dawa Steven Sherpa,Nepal Tourism Recovery Baruntse Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,2020-10-15,1215,0,0,NA,1,Success (main peak),NA,7152,FALSE,FALSE,FALSE,2,0,7,7,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC,C1,C2,Smt(15/10)",68764,NA,NA,Asian Trekking,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2463723
CHOY20301,CHOY,2020,3,Autumn,2,China,NW side,NA,NA,NA,China,Tsering Samdrup,Holy Mountain Adventure Cho Oyu Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,From Lhasa,2020-09-13,2020-09-29,1045,16,0,NA,1,Success (main peak),NA,8188,FALSE,FALSE,FALSE,2,0,20,19,0,24,24,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(13/09),ABC(5700m),C1(6450m),C2(29/09,7100m),Smt(29-30/09)",220925,NA,NA,Holy Mountain Adventure,TRUE,TRUE,FALSE,FALSE,FALSE,NA,2464202
GYLZ20301,GYLZ,2020,3,Autumn,1,Nepal,SSE Face from SW,NA,NA,NA,Nepal,Sharmila Lama Tamang,Jugal Expedition 2020,TRUE,FALSE,FALSE,FALSE,2nd,NA,NA,NA,FALSE,FALSE,NA,NA,2020-10-17,2020-10-19,NA,2,0,NA,1,Success (main peak),NA,6151,FALSE,FALSE,FALSE,1,0,3,2,0,3,3,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(17/10),C1(18/10),Smt(19/10)",29593,NA,NA,Soul Himalaya,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2461207
HIML20301,HIML,2020,3,Autumn,1,Nepal,W Ridge,NA,NA,NA,Nepal,Pasang Tendi Sherpa,TAGnepal Himlung Expedition 2020,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Italy, Jordan, UAE, UK",NA,2020-11-03,2020-11-17,NA,14,0,NA,4,"Bad weather (storms, high winds)",Abandoned at C3 due to bad weather,6400,FALSE,FALSE,FALSE,3,0,5,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(03/11,5200m),C1,C2,C3(17/11,6400m),xxx",NA,NA,NA,TAGnepal Trekking,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2461326
HIML20302,HIML,2020,3,Autumn,1,Nepal,W Ridge,NA,NA,NA,Romania,Marius-Sebastian Purice,High Himalayan Romanian Himlung Himal Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Koto->Phu->BC,2020-11-15,2020-11-29,1326,14,16,2020-12-01,1,Success (main peak),NA,7126,FALSE,FALSE,FALSE,2,0,1,1,0,4,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(15/11,4900m),C1(19/11,5400m),C2(21/11,6100m),Smt(29/11)",11450,NA,NA,High Himalayan Climbing,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2461338
KYR220401,KYR2,2020,4,Winter,1,Nepal,SW Face-SE Ridge,NA,NA,NA,Switzerland,Sophie Lavaud,Seven Summit Treks Kyungka Ri 2 Expedition 2020,TRUE,FALSE,FALSE,FALSE,1st,NA,NA,NA,FALSE,FALSE,NA,NA,NA,2020-12-11,1040,0,0,NA,1,Success (main peak),NA,6506,FALSE,FALSE,FALSE,2,0,1,1,0,3,3,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC,C1(09/12,5309m),C2(10/12,5630m),Smt(11/12)",13113,NA,NA,Seven Summit Treks,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2461620
LUZA20401,LUZA,2020,4,Winter,1,Nepal,NE Face,SE Face,NA,NA,Nepal,Pemba Sherpa,"Luza 5726m, First Ascent Expedition 2020",FALSE,TRUE,FALSE,FALSE,1st,NA,NA,NA,FALSE,FALSE,NA,NA,NA,2020-12-17,1215,0,0,NA,1,Success (main peak),NA,5710,FALSE,FALSE,FALSE,0,0,3,3,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Smt(17/12),2195,NA,NA,Xtreme Climbers,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2461896
MANA20301,MANA,2020,3,Autumn,1,Nepal,NE Face,NA,NA,NA,Bahrain,"Mohamed Hamed Mohamed Al Khalifa, Christopher Burrows",Bahrain Royal Guard Manaslu Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,UK,NA,2020-10-08,2020-10-15,0630,7,0,NA,1,Success (main peak),NA,8163,FALSE,FALSE,FALSE,3,0,18,13,0,52,43,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Climbed Lobuche for acclimatization on 3 Oct,"BC(08/10),C1,C2,C3(14/10),Smt(15/10)",12965,NA,NA,Seven Summit Treks,TRUE,TRUE,FALSE,FALSE,FALSE,NA,2462238
MANA20401,MANA,2020,4,Winter,1,Nepal,NE Face,NA,NA,NA,Italy,Simone Moro,Italian-Spanish Manaslu Winter Expedition 2020-2021,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,Spain,Samagaon by helicopter,2021-01-10,NA,NA,0,0,NA,5,"Bad conditions (deep snow, avalanching, falling ice, or rock)",Abandoned at 7050m due to deep snow and dangerous conditions,7050,FALSE,FALSE,FALSE,2,0,3,0,0,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(10/01,4800m),C1(5700m),C2(6550m),xxx(7050m)",NA,NA,NA,Seven Summit Treks,TRUE,TRUE,FALSE,FALSE,FALSE,NA,3100
MANA20402,MANA,2020,4,Winter,1,Nepal,NE Face,NA,NA,NA,Nepal,Vinayak Jaya Malla,Nepalese Manaslu Winter Expedition 2020-2021,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,0,0,NA,5,"Bad conditions (deep snow, avalanching, falling ice, or rock)",Abandoned due to deep snow and dangerous conditions,6550,FALSE,FALSE,FALSE,2,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC,C1,C2,xxx(6550m)",NA,NA,NA,Seven Summit Treks,TRUE,TRUE,FALSE,FALSE,FALSE,NA,3100
AMAD21101,AMAD,2021,1,Spring,1,Nepal,SW Ridge,NA,NA,NA,Italy,Giampaolo Corona,Seven Summit Treks International Ama Dablam Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Ecuador, Finland, Germany, India, Iraq, Israel, Jordan, Kenya, Kyrgyz Republic, Nepal, Norway, Romania, Russia",NA,NA,2021-04-28,1145,0,0,NA,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,2,0,16,8,0,4,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Smt(28-30/04),207515,NA,NA,Seven Summit Treks,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2464594
AMAD21102,AMAD,2021,1,Spring,1,Nepal,SW Ridge,NA,NA,NA,USA,Andrew Cove,Satori Adventures Ama Dablam Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Belarus, Hungary, Kyrgyz Republic, Russia, Ukraine",NA,NA,2021-04-28,1300,0,0,NA,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,3,0,12,9,0,3,3,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Smt(28/04,09/05)",207568,NA,NA,Satori Adventures,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2464594
AMAD21103,AMAD,2021,1,Spring,1,Nepal,SW Ridge,NA,NA,NA,Ukraine,Irina Halay,Himalayan Guides Ama Dablam Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,2021-05-12,NA,0,0,NA,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,0,0,2,2,0,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Smt(12/05),NA,NA,NA,Himalayan Guides,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2464608
ANN121101,ANN1,2021,1,Spring,1,Nepal,N Face,NA,NA,NA,Nepal,Chhang Dawa Sherpa,Seven Summit Treks International Annapurna I Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Brazil, Greece, Kosovo, Mexico, Poland, Romania, Russia, Taiwan, USA",Both by trekking and by heli to BC,2021-03-23,2021-04-16,1300,24,27,2021-04-19,1,Success (main peak),NA,8091,FALSE,FALSE,FALSE,4,0,17,12,0,9,7,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Smt(16/04),215505,NA,NA,Seven Summit Treks,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2464582
ANN121102,ANN1,2021,1,Spring,1,Nepal,N Face,NA,NA,NA,India,Umesh Zirpe,Giripremi's Annapurna I Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,Nepal,Heli from Dana to BC,2021-04-02,2021-04-16,1330,14,16,2021-04-18,1,Success (main peak),NA,8091,FALSE,FALSE,FALSE,4,0,7,6,0,5,5,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(02/04,4200m),C1(05/04,5200m),C2(06/04,5600m),C3(14/04,6400m),C4(15/04,6986m),Smt(16/04)",166677,NA,NA,Peak Promotion,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2464582
ANN121103,ANN1,2021,1,Spring,1,Nepal,N Face,NA,NA,NA,USA,Chris Warner,Expedition Base Annapurna I Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,New Zealand,By Heli from Kathmandu to Dana to BC,2021-04-04,2021-04-16,1400,12,16,2021-04-20,1,Success (main peak),NA,8091,FALSE,FALSE,FALSE,4,0,3,2,0,5,4,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(04/04,4200m),C1(07/04,5080m),C2(09/04,5560m),C3(14/04,6413m),C4(15/04,6986m),Smt(16/04)",164591,NA,NA,Expedition Base (Peak Promotion pmt),FALSE,TRUE,FALSE,FALSE,FALSE,NA,2464582
ANN121104,ANN1,2021,1,Spring,1,Nepal,N Face,NA,NA,NA,India,Kakka Keval Hiren,Satori Adventures Annapurna Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Andorra, Azerbaijan, Nepal, Russia, S Korea, Spain",NA,2021-04-02,2021-04-16,NA,14,17,2021-04-19,1,Success (main peak),NA,8091,FALSE,FALSE,FALSE,4,0,8,4,0,5,5,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Smt(16/04),182210,NA,NA,Satori Adventures,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2464582
ANN121105,ANN1,2021,1,Spring,1,Nepal,N Face,NA,NA,NA,Nepal,Mingma Gyalje Sherpa,Imagine Nepal Annapurna I Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Canada, China, Pakistan, USA",Heli from Tatopani to BC,2021-03-23,2021-04-16,1330,24,26,2021-04-18,1,Success (main peak),NA,8091,FALSE,FALSE,FALSE,4,0,10,9,0,7,7,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(23/03,4200m),C1(27/03,5008m),C2(30/03,5515m),C3(12/04,6413m),C4(13/04,6986m),Smt(16/04)",189801,NA,NA,Imagine Nepal (Satori Adventures pmt),FALSE,TRUE,FALSE,FALSE,FALSE,NA,2464582
ANN121106,ANN1,2021,1,Spring,1,Nepal,N Face,NA,NA,NA,India,Bhagwan Chawale,Pioneer Adventure Annapurna I Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"China, Nepal",By heli from Dana to BC,2021-03-28,2021-04-16,1320,19,21,2021-04-18,1,Success (main peak),NA,8091,FALSE,FALSE,FALSE,4,0,4,3,0,3,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(28/03,4200m),C1(02/04.5200m),C2(03/04,5600m),C3(13/04,6400m),C4(15/04,6986m),Smt(16/04)",155738,NA,Mohite first Indian woman to summit Annapurna,Pioneer Adventure (Satori Adventures pmt),FALSE,TRUE,FALSE,FALSE,FALSE,NA,2464582
ANN121107,ANN1,2021,1,Spring,1,Nepal,N Face,NA,NA,NA,France,Marc Batard,Marc Batard Annapurna I Expedition 2021,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Brazil, Nepal",Trekking from Tatopani to BC,2021-04-03,2021-04-16,NA,13,15,2021-04-18,5,"Bad conditions (deep snow, avalanching, falling ice, or rock)",Abandoned at 7400m due to dangerous conditions,7400,FALSE,FALSE,FALSE,3,0,5,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(03/04,4100m),C1(07/04,5000m),C2(08/04,5500m),C3(15/04,6500m),xxx(16/04,7400m)",199321,NA,NA,Himalaya Expeditions,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2464582
BARU21101,BARU,2021,1,Spring,1,Nepal,SE Ridge,NA,NA,NA,Austria,Robert Westreicher,SummitClimb/Seven Summit Treks Baruntse Expedition 2021,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Germany, Switzerland",Via Mera La,2021-04-28,2021-05-09,NA,11,12,2021-05-10,5,"Bad conditions (deep snow, avalanching, falling ice, or rock)",Abandoned at 6900m due to deep snow and sick Sherpas,6900,FALSE,FALSE,FALSE,2,0,6,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(28/04,5400m),C1(07/05,6100m),C2(09/05,6500m),xxx(09/05,6900m)",NA,NA,NA,Seven Summit Treks,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2464605
BARU21102,BARU,2021,1,Spring,1,Nepal,SE Ridge,NA,NA,NA,Austria,Gerhard Osterbauer,Austrian Baruntse Expedition 2021,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Lukla->Pangom->Kothe->Tangnak->Khare->Kongmadingma->BC,2021-05-02,2021-05-04,NA,2,8,2021-05-10,7,"Illness, AMS, exhaustion, or frostbite",Abandoned at 5759m due to two Sherpas being covid-positive,5750,FALSE,FALSE,FALSE,0,0,3,0,0,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(02/05,5450m),xxx(04/05,5750m)",176233,NA,NA,Climbalaya (Seven Summit Treks pmt),FALSE,FALSE,FALSE,FALSE,FALSE,NA,2464600
BARU21103,BARU,2021,1,Spring,1,Nepal,SE Ridge,NA,NA,NA,Lebanon,Fatima Deryan,Lebanon-USA Baruntse-Mera Expedition 2021,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,USA,Lukla->Mera Peak,NA,NA,NA,0,0,NA,12,Did not attempt climb,Abandoned enroute to BC due to covid diagnosis,0,FALSE,FALSE,FALSE,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Seven Summit Treks,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5261
BARU21104,BARU,2021,1,Spring,1,Nepal,SE Ridge,NA,NA,NA,USA,Philip Andrews,Namas Adventure Mera-Baruntse Expedition,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Lukla->Mera Peak->Baruntse BC,NA,NA,NA,0,0,NA,7,"Illness, AMS, exhaustion, or frostbite",Abandoned at 6100m due to covid contact with Austrian team,6100,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC,xxx(6100m)",196586,NA,NA,Namas Adventure (Seven Summit Treks pmt),FALSE,FALSE,FALSE,FALSE,FALSE,NA,5261
BARU21105,BARU,2021,1,Spring,1,Nepal,W Face,NA,NA,NA,Czech Republic,Marek Holecek,Czech Baruntse Expedition 2021,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Lukla->Namche->Gokyo to BC via Amphu Laptsa,2021-05-21,2021-05-25,1600,4,9,2021-05-30,1,Success (main peak),NA,7152,FALSE,FALSE,FALSE,4,0,3,2,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(13/05,5600m),Biv1(21/05,5800m),Biv2(22/05,6200m),Biv3(23/05,6500m),Biv4(24/05,6900m),Smt(25/05)",207941,NA,NA,Green Horizon,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2464621
