PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,HIMAL_FACTOR,REGION,REGION_FACTOR,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PHOST_FACTOR,PSTATUS,PSTATUS_FACTOR,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
APIW,Api West,NA,Api Himal (W of Api),7076,23215,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,1,Unclimbed,62,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
BARU,Baruntse,NA,Khumbu Himal (W of Makalu),7152,23465,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,64,1954,1,BARU54101,May 29,New Zealand,"Colin Todd, Geoff Harrow",NA,NA,67
BAUD,Baudha,NA,Mansiri Himal (SE of Manaslu and Himalchuli),6672,21890,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,70,1970,1,BAUD70101,May 02,Japan,"Yoshiyuki Kobayashi, Kiyoyasu Shibata",NA,NA,NA
BHEM,Bhemdang Ri,Morimoto,Jugal Himal (SE of Shalbachum),6150,20177,13,Langtang,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,72,1964,1,BHEM64101,May 10,"Japan, Nepal","Tetsuya Kondo, Soshiro Sasaki, Mingma Tshering Sherpa",NA,NA,NA
BHRI,Bhrikuti,Damodar Himal,Damodar Himal (NE of Thorong La near Tibetan border),6476,21247,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2014,1,Nepal only,2,Climbed,74,1982,1,BHRI82101,May 18,"Japan, Nepal","Takashi Sakuma, Masanobu Tsuchiya, Tashi Jangbu Sherpa",1-3rd ascents claimed,81,NA
BOBA,Bobaye,NA,Api Himal (S of Nampa),6808,22336,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,82,1996,3,BOBA96301,Nov 02,Slovenia,Tomaz Humar,NA,NA,84
CHAM,Chamlang,NA,"Khumbu Himal (in Hongku Valley, SW of Makalu)",7321,24019,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,86,1962,1,CHAM62101,May 31,"Japan, Nepal","So Anma, Pasang Phutar Sherpa (I)",NA,NA,88
CHAN,Changla,Changla Himal,Changla Himal (N of Jumla on Tibetan border),6563,21532,17,Nalakankar/Chandi/Changla,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,91,2010,3,CHAN10301,Sep 27,Japan,"Hirofumi Kobayashi, Seiya Nakasukasa, Yuta Shibayama, Naoki Yamaguchi",Climbed illegally by Sean Burch in October 2016?,NA,NA
CHMN,Chamar North,Peak 23,Shringi Himal,7165,23507,5,Ganesh/Shringi,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,Opened in 2014,1,Nepal only,2,Climbed,92,1953,1,CHMN53101,Jun 05,"New Zealand, Nepal","Maurice Bishop, Nyamgel Sherpa",NA,NA,NA
CHEO,Cheo Himal,NA,Peri Himal (ESE of Himlung Himal on Tibetan border),6820,22375,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,94,1991,3,CHEO91301,Oct 13,"Japan, Nepal","Dambar Bahadur Gurung, Shigeki Imoto, Ful Bahadur Rai, Pasang Tshering Sherpa",NA,NA,96
CHOY,Cho Oyu,NA,Khumbu Himal (NW of Everest on Tibetan border),8188,26864,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,97,1954,3,CHOY54301,Oct 19,"Austria, Nepal","Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama",NA,101,102
CHOB,Chobuje,"Chobutse, Tsoboje",Rolwaling Himal (NE of Tsho Rolpa),6686,21936,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,107,1972,1,CHOB72101,Apr 24,W Germany,"Wolfgang Weinzierl, Peter Vogler, Gustav Harder, Klaus Harder",Illegal ascent,NA,NA
CHOL,Cholatse,"Tsolatse, Jobo Lhaptshan",Khumbu Himal (N of Tawoche),6423,21073,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Converted to trekking peak in 2002,1,Nepal only,2,Climbed,109,1982,1,CHOL82101,Apr 22,"USA, UK","John Roskelley, Galen Rowell, Vern Clevenger, Bill O'Connor",NA,NA,114
CHOP,Cho Polu,NA,"Khumbu Himal (S of Shartse, N of Baruntse)",6700,21982,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,118,1984,3,CHOP84301,Nov,Spain,Nil Bohigas Martorell,"1st official ascent Nov 12, 1999 by Markus Walter, Guenter Jung, Olaf Rieck and Dieter Ruelker (Germans)",NA,121
CHUL,Chulu Central,Chulu East,Damodar Himal (E of Thorong La),6584,21601,3,Damodar,5,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,122,1955,2,CHUL55201,Jul 23,W Germany,"Heinz Steinmetz, Harald Biller, Fritz Lobbichler, Juergen Wellenkamp",NA,NA,NA
CHUG,Chukyima Go,Chugimago,Rolwaling Himal (WSW of Tesi Laptsa),6258,20531,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2014,1,Nepal only,2,Climbed,127,2014,3,CHUG14301,Nov 12,Slovenia,"Domen Kastelic, Sam Hennessey","Originally thought that 1952 Scottish expedition climbed this peak, but likely Peak 5794m instead",NA,NA
CHUR,Churen Himal Central,NA,Dhaulagiri Himal (NW of Dhaulagiri VI),7385,24229,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,One permit for Churen Himal's three summits,1,Nepal only,2,Climbed,129,1970,3,CHUR70301,Oct 24,Japan,"Masayoshi Fukui, Kozo Hasegawa",NA,NA,131
CHUW,Chulu West,NA,Damodar Himal (E of Thorong La),6419,21060,3,Damodar,5,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,132,1952,3,CHUW52301,Oct 23,Japan,"Kinji Imanishi, Kazuhiko Hayashi, Sasuke Nakao, Jiro Taguchi, Masataka Takagi, Sakuta Takebushi",NA,NA,NA
TAPL,Taple Shikhar,Cross Peak,Kangchenjunga Himal (W of Nepal Peak),6447,21152,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,134,1998,3,TAPL98301,Oct 08,"Japan, Nepal","Misako Miyazawa, Gumba Sherpa, Kancha Sunwar Sherpa, Pemba Lama Sherpa",NA,NA,136
CTSE,Changtse,Everest North Peak,North of Everest (in Tibet),7583,24879,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,NA,Peak entirely within China,2,China only,2,Climbed,137,1982,3,CTSE82301,Oct 14,W Germany,Udo Zehetleitner,NA,NA,NA
DHA1,Dhaulagiri I,NA,Dhaulagiri Himal,8167,26795,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,140,1960,1,DHA160101,May 13,"Switzerland, Austria, W Germany, Nepal","Peter Diener, Kurt Diemberger, Albin Schelbert, Ernst Forrer, Nima Dorje Sherpa, Nawang Dorje Sherpa",NA,142,143
DHA2,Dhaulagiri II,NA,Dhaulagiri Himal (NW of Dhaulagiri I),7751,25430,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,150,1971,1,DHA271101,May 18,"Austria, USA, Nepal","Adolf Huber, Ronald Fear, Adi Weissensteiner, Jangbu Sherpa",NA,NA,NA
DHA3,Dhaulagiri III,"Nalu, Naula",Dhaulagiri Himal (SW of Dhaulagiri II),7715,25312,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,152,1973,3,DHA373301,Oct 20,W Germany,"Klaus Schreckenbach, Gerhard Haberl, Hans Saler",NA,NA,NA
DHA4,Dhaulagiri IV,NA,Dhaulagiri Himal (W of Dhaulagiri V),7661,25135,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,154,1975,1,DHA475101,May 09,Japan,"Shiro Kawazu, Etsuro Yasuda",1st ascent claimed (summmiters died in fall on descent),NA,NA
DHA5,Dhaulagiri V,NA,Dhaulagiri Himal (SW of Dhaulagiri III),7618,24993,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,156,1975,1,DHA575101,May 01,"Japan, Nepal","Masaaki Morioka, Pemba Tsering Sherpa",NA,NA,NA
DHA6,Dhaulagiri VI,NA,Dhaulagiri Himal (WSW of Dhaulagiri IV),7268,23845,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,158,1970,1,DHA670101,Apr 17,Japan,"Shiro Kawazu, Shoichi Kimura, Hisazumi Nakamura, Seijiro Yamamura",NA,NA,NA
DHAM,Dhampus,"Thapa Peak, Marpha Peak",Mukut Himal (NE of Dhaulagiri I and Tukuche),6012,19724,16,Mukut/Mustang,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,160,1960,1,DHAM60101,Apr,Austria,Kurt Diemberger,Dhampus has two summits (the western summit is called Thapa),NA,NA
DOGA,Dogari,NA,Dhaulagiri Himal (WNW of Putha Hiunchuli),6536,21444,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,1,Unclimbed,165,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
PEMK,Pemthang Karpo Ri,"Dome Blanc, Kan Karmo",Jugal Himal (NNW of Dorje Lhakpa on Tibetan border),6865,22523,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,Opened in 2014,4,Nepal & China,2,Climbed,167,1955,1,PEMK55101,May 14,"Switzerland, Nepal","Raymond Lambert, Ang Norbu Sherpa, Kami Tshering Sherpa, Pasang Sherpa, Pemba Gyaltzen Sherpa",NA,NA,NA
DORJ,Dorje Lhakpa,NA,Jugal Himal (near Tibetan border),6966,22854,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,171,1981,3,DORJ81301,Oct 18,"Japan, Nepal","Kunio Kataoka, Makoto Anbe, Kazunari Murakami, Eiichi Shingyoji, Pemba Tsering Sherpa",Rumored that two British climbers summited via the W Ridge in 1979 (Dick Isherwood and Geoff Cohen),NA,173
DRAN,Drangnag Ri,Thaknak Ri,Rolwaling Himal (N of Tesi Laptsa near Tibetan border),6757,22169,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,175,1995,1,DRAN95101,Apr 30,"Norway, UK, Nepal","Chris Bonington, Ralph Hoibakk, Bjorn Myrer-Lund, Lhakpa Gyalu Sherpa, Pema Dorje Sherpa",NA,NA,177
DROM,Drohmo,"Domo, Longridge Peak",Jongsang Himal (NNW of Kangchenjunga),6881,22575,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 1997,1,Nepal only,1,Unclimbed,179,NA,0,NA,NA,NA,Main summit unclimbed,NA,NA,182
EVER,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,29032,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,184,1953,1,EVER53101,May 29,"New Zealand, India","Edmund Hillary, Tenzing Norgay Sherpa",NA,199,200
FANG,Fang,"Varaha Shikhar, Varaha Chuli, Finger",Annapurna Himal (SW of Annapurna I),7647,25089,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,207,1980,1,FANG80101,May 17,"Austria, Nepal","Sepp Mayerl, Hermann Neumair, Ang Chepal Sherpa",NA,NA,NA
FIRN,Firnkopf,"Phirankoph, Firnkopf East",Saipal Himal (W of Saipal),6730,22080,20,Saipal,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,1,Unclimbed,209,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
FIRW,Firnkopf West,Phirankoph West,Saipal Himal (WSW of Firnkopf),6745,22129,20,Saipal,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,211,1987,3,FIRW87301,Oct 25,"Austria, W Germany, Nepal","Franz Kroell, Fritz Mross, Ang Chopal Sherpa",Austrian Saipal expedition of 1954 may have reached Firnkopf West,NA,NA
GAMA,Gama Peak,NA,"Dhaulagiri Himal (N of Dhaulagiri VI, S of Junction Peak)",7187,23579,4,Dhaulagiri,6,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,213,1970,3,GAMA70301,Oct 25,Japan,"Goro Nabeyama, Katsuhiro Nakashima",NA,NA,NA
GAN1,Ganesh I,Yangra Kangri,Ganesh Himal (on Tibetan border),7422,24350,5,Ganesh/Shringi,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,214,1955,3,GAN155301,Oct 24,"Switzerland, France","Raymond Lambert, Eric Gauchat, Claude Kogan",NA,216,217
GAN3,Ganesh III,"Salasungo, Kang Lombo, Lopsang Karbo",Ganesh Himal (S of Ganesh I on Tibetan border),7043,23107,5,Ganesh/Shringi,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,220,1979,3,GAN379301,Oct 19,"Japan, Nepal","Hideo Ogura, Pemba Tshering Sherpa, Dawa Norbu Sherpa",Note: This mountain previously known as Ganesh II till re-surveyed in early 1990's.,NA,NA
GAN2,Ganesh II,NA,Ganesh Himal (WSW of Ganesh I),7118,23353,5,Ganesh/Shringi,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,223,1981,3,GAN281302,Oct 16,"W Germany, Nepal","Hermann Warth, Ang Chepal Sherpa, Nga Temba Sherpa, Nima Tenzing Sherpa",Note: This mountain previously known as Ganesh III till re-surveyed in early 1990's.,NA,226
GAN4,Ganesh IV,Pabil,Ganesh Himal (SW of Ganesh I),7104,23307,5,Ganesh/Shringi,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,227,1978,3,GAN478301,Oct 20,"Japan, Nepal","T Tomita, H Yoshio, K Aoyagi, M Hashimoto, Y Hashimoto, Y Okuma, T Shimoji, T Suzuki, I Yasuda, Yogendra Thapa, Kamal Bhandari, Mingma Tenzing Sherpa, Sonan Wolang Sherpa",NA,NA,NA
GAN5,Ganesh V,NA,Ganesh Himal (SE of Ganesh I on Tibetan border),6770,22211,5,Ganesh/Shringi,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,229,1980,1,GAN580101,Apr 21,"Japan, Nepal","Tatsumi Sasaki, Akihiko Komori, Lhakpa Dorje Sherpa, Nima Tenzing Sherpa, Nima Nuru Sherpa",NA,NA,NA
GAN6,Ganesh VI,NA,Ganesh Himal (subpeak SE of Ganesh II),6908,22664,5,Ganesh/Shringi,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,231,2000,1,GAN600101,May 23,Japan,"Osamu Tanabe, Yasuhiro Hanatani",Possibly climbed in 1981 by Japanese Ganesh II team led by Hiroyashu Shirakabe,NA,NA
GANC,Ganchenpo,"Fluted Peak, Ganchempo",Jugal Himal (W of Dorje Lhakpa and Urkinmang),6378,20925,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,239,1971,3,GANC71302,OctNov,USA,"Terry Bech, Cheri Bech",NA,NA,242
GAND,Gandharva Chuli,"Gandharbha, Gabelhorn Peak",Annapurna Himal (SSW of Annapurna III near Machhapuchhare),6248,20499,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,243,2013,1,GAND13101,May 06,Romania,"Cosmin Andron, Christina Pogacean",NA,NA,NA
GANG,Gangapurna,NA,Annapurna Himal (NW of Annapurna III),7455,24459,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,245,1965,1,GANG65101,May 06,"W Germany, Nepal","Gunter Hauser, Ludwig Greissl, Hermann Kollensperger, Erich Reismueller, Ang Temba Sherpa, Phu Dorje Sherpa",NA,NA,247
GAUR,Gaurishankar,Jomo Tseringma,Rolwaling Himal (on Tibetan border),7135,23409,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,249,1979,1,GAUR79101,May 08,"US, Nepal","John Roskelley, Dorje Sherpa",NA,NA,251
GHUN,Ghustang North,NA,Dhaulagiri Himal (WNW of Gurja Himal),6529,21421,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,254,1962,3,GHUN62301,Oct 22,"UK, Nepal","J.O.M. Roberts, Ang Pema Sherpa, Nawang Dorje Sherpa",NA,NA,NA
GHUS,Ghustang South,"Gurja West, Paschim Himal",Dhaulagiri Himal (WSW of Gurja Himal),6465,21211,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,256,2018,3,GHUS18301,Oct 23,"France, Canada, Switzerland, Nepal","Corinne Amouillin-Gautier, Herve Barlier, Sophie Bellier, Dimitri Lomer, Albert Namiache, Charles Rossignol, Francois Schulz, Dipen Nuppa Bhote, Rajan Lama Bhote, Chettar Sherpa",NA,NA,NA
MATA,Matathumba,"Matatumpa, Ghyuthumba East",Jagdula Lekh (S of Kanjiroba Himal),5767,18921,10,Kanjiroba,7,Kanjiroba-Far West,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,258,1961,1,MATA61101,May 16,"UK, Nepal","John Tyson, James Burnet, John Earle, Mingma Tsering, Ang Temba Sherpa",NA,NA,NA
GHYM,Ghyuthumba Main,"Gutumpa, Pasang Peak",Jagdula Lekh (S of Kanjiroba Himal),5806,19049,10,Kanjiroba,7,Kanjiroba-Far West,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,260,1953,3,GHYM53301,Nov,"Austria, Nepal, India","Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa",NA,NA,NA
GIME,Gimmigela Chuli East,Twins,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7007,22989,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,FALSE,TRUE,FALSE,NA,Requires permit for Gimmigela Chuli,5,Nepal & India,2,Climbed,262,1993,3,GIME93301,Oct 09,"Japan, Nepal","Hideo Koike, Masanori Sato, Taro Tanigawa, Chuldin Sherpa, Pasang Nima Sherpa, Phurba Sherpa",NA,NA,NA
GIMM,Gimmigela Chuli,Twins,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7350,24114,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,263,1994,3,GIMM94301,Oct 29,"Japan, Nepal","Shigeru Yokokuwa, Dawa Wangchuk Sherpa, Pasang Gyalzen Sherpa, Pasang Tenzing Sherpa",NA,265,266
GLAC,Glacier Dome,"Tarke Kang, Tarke Khang",Annapurna Himal (E of Annapurna I),7168,23517,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,268,1964,3,GLAC64301,Oct 16,"Japan, Nepal","Mitsuhiro Nishimura, Dorje Sherpa",NA,NA,281
GURJ,Gurja Himal,NA,Dhaulagiri Himal (S of Dhaulagiri VI),7193,23599,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,283,1969,3,GURJ69301,Nov 01,"Japan, Nepal","Tomokuni Saeki, Lhakpa Tenzing Sherpa",NA,NA,285
GURK,Gurkarpo Ri,NA,Jugal Himal (N of Dorje Lhakpa on Tibetan border),6889,22602,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,286,2007,3,GURK07301,Nov 01,France,"Paul Grobel, Pierre-Olivier Dupuy, Marc Kia, Jean Francois Males",NA,NA,288
GYAC,Gyachung Kang,NA,Khumbu Himal (E of Cho Oyu on Tibetan border),7861,25791,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,289,1964,1,GYAC64101,Apr 10,"Japan, Nepal","Yukihiko Kato, Kiyoto Sakaizawa, Pasang Phutar Sherpa (I)",NA,293,294
GYAJ,Gyajikang,Gyaji Khang,Peri Himal (SW of Himlung Himal),7074,23209,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,296,1994,3,GYAJ94301,Oct 07,"Japan, Nepal","Toshisada Hasegawa, Yousuke Kokubo, Osamu Tanabe, Ram Kaji Sivakoti, Pasang Tshering Sherpa, Dambar Bahadur Gurung",NA,NA,298
LEOE,Leonpo Gang East,Gyalgen Peak,Jugal Himal (NE of Leonpo Gang on Tibetan border),6733,22090,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,Opened in 2014,4,Nepal & China,2,Climbed,299,1955,1,LEOE55101,May 11,"UK, Nepal","Monica Jackson, Elizabeth Stark, Mingma Gyalgen Sherpa, Ang Temba Sherpa",Peak named after sirdar Mingma Gyalgen Sherpa,NA,NA
HIME,Himalchuli East,Himalchuli Main,Mansiri Himal (SE of Manaslu),7893,25896,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,302,1960,1,HIME60101,May 24,Japan,"Masahiro Harada, Hisashi Tanabe",NA,304,305
HIML,Himlung Himal,NA,Peri Himal (NW of Manaslu near Tibetan border),7126,23379,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,307,1992,3,HIML92301,Oct 03,"Japan, Nepal","Osamu Hanai, Akio Koizumi, Nima Sherpa",Expeditions to Himlung prior to 1992 were probably climbing Nemjung,NA,311
HIMN,Himalchuli North,NA,"Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",7331,24052,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,313,1985,3,HIMN85302,Oct 27,"S Korea, Nepal","Lee Jae-Hong, Ang Pasang Sherpa, Jangbu Sherpa, Lhakpa Norbu Sherpa, Pasang Dawa Sherpa",NA,NA,NA
