agency,station_name,line
NYCT,72 St,1
NYCT,72 St,2
NYCT,72 St,3
NYCT,Kosciuszko St,J
NYCT,Times Sq-42 St,S
NYCT,Times Sq-42 St,N
NYCT,Times Sq-42 St,Q
NYCT,Times Sq-42 St,R
NYCT,Times Sq-42 St,7
NYCT,Times Sq-42 St,1
NYCT,Times Sq-42 St,2
NYCT,Times Sq-42 St,3
NYCT,Times Sq-42 St,A
NYCT,Times Sq-42 St,C
NYCT,Times Sq-42 St,E
LIRR,Hicksville,Port Jefferson
NYCT,42 St-Byrant Pk,B
NYCT,42 St-Byrant Pk,D
NYCT,42 St-Byrant Pk,F
NYCT,42 St-Byrant Pk,M
NYCT,42 St-Byrant Pk,7
NYCT,8 St-NYU,N
NYCT,8 St-NYU,R
NYCT,8 St-NYU, W
Metro-North,Harrison,New Haven
NYCT,161 St-Yankee Stadium,B
NYCT,161 St-Yankee Stadium,D
NYCT,161 St-Yankee Stadium,4
NYCT,42 St-Port Authority Bus Terminal,A
NYCT,42 St-Port Authority Bus Terminal,C
NYCT,42 St-Port Authority Bus Terminal,E
NYCT,191 St,1
NYCT,125 St,4
NYCT,125 St,5
NYCT,125 St,6
NYCT,Lexington Av/53rd St,E
NYCT,Lexington Av/53rd St,M
NYCT,Lexington Av/53rd St,6
NYCT,174 St,2
NYCT,174 St,5
NYCT,Marcy Av,J
NYCT,Marcy Av,M
NYCT,Marcy Av,Z
NYCT,Atlantic Av-Barclays Ctr,B
NYCT,Atlantic Av-Barclays Ctr,D
NYCT,Atlantic Av-Barclays Ctr,N
NYCT,Atlantic Av-Barclays Ctr,Q
NYCT,Atlantic Av-Barclays Ctr,R
NYCT,Atlantic Av-Barclays Ctr,2
NYCT,Atlantic Av-Barclays Ctr,3
NYCT,Atlantic Av-Barclays Ctr,4
NYCT,Atlantic Av-Barclays Ctr,5
NYCT,Crown Hts-Utica Av,3
NYCT,Crown Hts-Utica Av,4
NYCT,Prince St,R
NYCT,Prince St, W
NYCT,Neptune Av,F
NYCT,Delancey St/Essex St,F
NYCT,Delancey St/Essex St,J
NYCT,Delancey St/Essex St,M
NYCT,Delancey St/Essex St,Z
NYCT,Eastern Pkwy-Brooklyn Museum,2
NYCT,Eastern Pkwy-Brooklyn Museum,3
NYCT,West Farms Sq-E Tremont Av,2
NYCT,West Farms Sq-E Tremont Av,5
NYCT,86 St,4
NYCT,86 St,5
NYCT,86 St,6
NYCT,77 St,6
NYCT,Coney Island-Stillwell Av,D
NYCT,Coney Island-Stillwell Av,F
NYCT,Coney Island-Stillwell Av,N
NYCT,Coney Island-Stillwell Av,Q
NYCT,Jackson Hts-Roosevelt Av/74 Stâ-Broadway,E
NYCT,Jackson Hts-Roosevelt Av/74 Stâ-Broadway,F
NYCT,Jackson Hts-Roosevelt Av/74 Stâ-Broadway,M
NYCT,Jackson Hts-Roosevelt Av/74 Stâ-Broadway,R
NYCT,Jackson Hts-Roosevelt Av/74 Stâ-Broadway,7
LIRR,Greenport,Ronkonkoma
NYCT,Coney IslandÐStillwell Av,D
NYCT,Coney IslandÐStillwell Av, F
NYCT,Coney IslandÐStillwell Av, N
NYCT,Coney IslandÐStillwell Av, Q
Metro-North,Yonkers,Hudson
NYCT,Queens Plaza,E
NYCT,Queens Plaza, M
NYCT,Queens Plaza, R
NYCT,Woodlawn Av,4
Metro-North,Larchmont,New Haven
NYCT,Fordham Rd,4
NYCT,116 St,6
LIRR,Hempstead,Hempstead
NYCT,DeKalb Av,B
NYCT,DeKalb Av,Q
NYCT,DeKalb Av,R
NYCT,Times Sq-42 St,1
NYCT,Times Sq-42 St,2
NYCT,Times Sq-42 St,3
NYCT,Times Sq-42 St,N
NYCT,Times Sq-42 St,Q
NYCT,Times Sq-42 St,R
NYCT,Times Sq-42 St,W
NYCT,Times Sq-42 St,S
NYCT,W 8 St-NY Aquarium,F
NYCT,W 8 St-NY Aquarium, Q
NYCT,Mt Eden Av,4
NYCT,Gun Hill Rd,2
NYCT,Gun Hill Rd,5
NYCT,Bedford Park Blvd-Lehman College,4
NYCT,Burke Av,2
NYCT,Burke Av,5
NYCT,Myrtle-Wyckoff Avs,L
NYCT,Myrtle-Wyckoff Avs,M
NYCT,Bronx Park East,2
NYCT,Bronx Park East, 5
Metro-North,Riverdale,Hudson
NYCT,170 St,4
NYCT,219 St,2
NYCT,219 St,5
NYCT,176 St,4
NYCT,Allerton Av,2
NYCT,Allerton Av,5
NYCT,225 St,2
NYCT,225 St,5
NYCT,Nereid Av,2
NYCT,Nereid Av,5
NYCT,Flushing Av,J
NYCT,Flushing Av,M
NYCT,233 St,2
NYCT,233 St,5
NYCT,Van Siclen Av,J
NYCT,Van Siclen Av,Z
NYCT,167 St,4
NYCT,Freeman St,2
NYCT,Freeman St,5
NYCT,New Lots Av,L
NYCT,Kingsbridge Rd,4
NYCT,E 105 St,L
Metro-North,Dobbs Ferry,Hudson Line
NYCT,Livonia Av,L
NYCT,Sutter Av,L
NYCT,Pelham Pkwy,2
NYCT,Pelham Pkwy,5
NYCT,Mosholu Pkwy,4
NYCT,231 St,1
NYCT,Times Sq-42 St,S
NYCT,Times Sq-42 St,1
NYCT,Times Sq-42 St,2
NYCT,Times Sq-42 St,3
NYCT,Times Sq-42 St,7
NYCT,Times Sq-42 St,A
NYCT,Times Sq-42 St,C
NYCT,Times Sq-42 St,E
NYCT,Times Sq-42 St,N
NYCT,Times Sq-42 St,R
NYCT,Times Sq-42 St,Q
LIRR,Broadway,City Terminal Zone
NYCT,183 St,4
NYCT,Rockaway Park-Beach 116 St,A
NYCT,Rockaway Park-Beach 116 St, S
NYCT,Burnside Av,4
NYCT,Simpson St,2
NYCT,Simpson St, 5
LIRR,Valley Stream Station,Babylon and Rockaway Branches
NYCT,Prospect Av,2
NYCT,Prospect Av, 5
NYCT,Halsey St,J
LIRR,Atlantic Terminal,City Terminal Zone
NYCT,Jay St-MetroTech,A
NYCT,Jay St-MetroTech, C
NYCT,Jay St-MetroTech, F
NYCT,Jay St-MetroTech, R
LIRR,Seaford,Babylon
NYCT,South Ferry,1
Metro-North,Yankees-East 153rd Street,Hudson
NYCT,Jackson Av,2
NYCT,Jackson Av, 5
Metro-North,Philipse Manor,Hudson
NYCT,59 St-Columbus Circle,A
NYCT,59 St-Columbus Circle, B
NYCT,59 St-Columbus Circle, C
NYCT,59 St-Columbus Circle, D
NYCT,59 St-Columbus Circle, 1
NYCT,Wakefield-241 St,2
NYCT,Whitlock Av,6
NYCT,Ocean Pkwy,Q
Metro-North,Scarborough,Hudson
NYCT,Morrison Av-Soundview,6
NYCT,96 St,1
NYCT,96 St,2
NYCT,96 St,3
Metro-North,Ossining,Hudson
NYCT,St Lawrence Av,6
NYCT,86 St,R
Metro-North,Port Chester,New Haven
NYCT,Beach 105 St,A
NYCT,Beach 105 St, S
NYCT,Beach 98 St,A
NYCT,Beach 98 St,S
NYCT,Beach 36 St,A
NYCT,Beach 67 St,A
NYCT,Wall St,4
NYCT,Wall St,5
NYCT,Avenue U,B
NYCT,Avenue U,Q
NYCT,Far Rockaway-Mott Av,A
NYCT,Elder Av,6
NYCT,Beach 44 St,A
NYCT,E 180 St,2
NYCT,E 180 St,5
NYCT,Neck Rd,Q
Metro-North,Rye,New Haven
NYCT,Beach 25 St,A
NYCT,Beach 90 St,A
NYCT,Avenue M,Q
NYCT,Avenue J,Q
NYCT,Beach 60 St,A
NYCT,Parkchester,6
NYCT,25 Av,D
NYCT,62 St,D
NYCT,9 Av,D
NYCT,50 St,D
NYCT,Avenue H,Q
NYCT,18 Av,D
Metro-North,Tarrytown,Hudson
NYCT,71 St,D
Metro-North,Peekskill,Hudson
NYCT,Broadway-Lafayette St / Bleecker St,6
NYCT,Broadway-Lafayette St / Bleecker St,B
NYCT,Broadway-Lafayette St / Bleecker St,D
NYCT,Broadway-Lafayette St / Bleecker St,F
NYCT,Broadway-Lafayette St / Bleecker St,M
NYCT,20 Av,D
NYCT,Fort Hamilton Pkwy,D
NYCT,79 St,D
NYCT,Hunters Point Av,7
NYCT,Bay Pkwy,D
NYCT,Smith-9th Sts,F
NYCT,Knickerbocker Av,M
Metro-North,Croton-Harmon,Hudson
NYCT,Central Av,M
NYCT,Fresh Pond Rd,M
NYCT,Seneca Av,M
NYCT,Forest Av,M
NYCT,Fulton Center,A
NYCT,Fulton Center, C
NYCT,Fulton Center, J
NYCT,Fulton Center, Z
NYCT,Fulton Center, 2
NYCT,Fulton Center, 3
NYCT,Fulton Center, 4
NYCT,Fulton Center, 5
Metro-North,Mamaroneck,New Haven
Metro-North,Pelham,New Haven
NYCT,Middletown Rd,6
NYCT,104 St,A
NYCT,88 St,A
NYCT,Zerega Av,6
LIRR,Wyandanch Parking Garage,Ronkonkoma
LIRR,Massapequa,Babylon
NYCT,Castle Hill Av,6
NYCT,Rockaway Blvd,A
Metro-North,North White Plains Parking Garage,Harlem
NYCT,Buhre Av,6
NYCT,34 St-Hudson Yards,7
NYCT,Ditmas Av,F
Metro-North,Croton-Harmon,Hudson
Metro-North,Fordham,Harlem
NYCT,111 St,A
NYCT,80 St,A
NYCT,Junius St,3
NYCT,Rockaway Av,3
NYCT,86 St,Q
NYCT,Avenue X,F
NYCT,Lexington Av/63 St,Q
SIR,Arthur Kill,S
NYCT,Bay Ridge Av,R
NYCT,53 St,R
NYCT,Prospect Av,R
NYCT,Saratoga Av,3
NYCT,Sutter Av-Rutland Rd,3
NYCT,96 St,Q
NYCT,Pennsylvania Av,3
NYCT,Van Siclen Av,3
NYCT,72 St,Q
Metro-North,Harlem-125 St,City Terminal Zone
NYCT,Avenue U,F
NYCT,WTC Cortlandt,1
LIRR,Brentwood,Ronkonkoma
NYCT,Cathedral Pkwy (110 St),Port Jefferson
LIRR,Bellmore,Babylon
LIRR,Port Jefferson,Port Jefferson
NYCT,145 St,3
NYCT,34 St-Penn Station,1
NYCT,34 St-Penn Station,2
NYCT,34 St-Penn Station,3
NYCT,Broadway,N
NYCT,Broadway,W
NYCT,18 Av,N
SIR,Richmond Valley,SIR
NYCT,163 St-Amsterdam Av,C
Metro-North,Mount Vernon 14th Avenue Bridge,New Haven
NYCT,Avenue P,F
LIRR,Merrick,Babylon
NYCT,86 St,C
NYCT,86 St,B
NYCT,18 Av,F
NYCT,Kings Hwy,F
NYCT,Avenue I,F
NYCT,86 St,N
NYCT,Bay Pkwy,F
NYCT,Avenue N,F
LIRR,Wantagh,Babylon
LIRR,Wyandanch,Ronkonkoma
LIRR,Pinelawn,Ronkonkoma
NYCT,36 Av,N
NYCT,36 Av,W
NYCT,28 St,6
NYCT,167 St,B
NYCT,167 St, D
LIRR,Hicksville,Port Jefferson
NYCT,174-175 Sts,B
NYCT,174-175 Sts, D
NYCT,Avenue U,N
NYCT,39 Av-Dutch Kills,N
NYCT,39 Av-Dutch Kills, W
NYCT,30 Av,N
NYCT,30 Av,W
LIRR,Stewart Manor,Hempstead
LIRR,Deer Park,Ronkonkoma
NYCT,23 St,F
NYCT,23 St, M
NYCT,72 St,B
NYCT,72 St,C
NYCT,57 St,F
NYCT,New Utrecht Av,N
Metro-North,Port Chester,New Haven
NYCT,20 Av,N
LIRR,Nostrand Avenue,City Terminal Zone
NYCT,Bay Pkwy,N
NYCT,Astoria-Ditmars Blvd,N/W
NYCT,Fort Hamilton Pkwy,N
NYCT,5 Av/53 St,Port Jefferson
NYCT,8 Av,N
LIRR,Syosset,Port Jefferson
Metro-North,Crestwood,Harlem
Metro-North,White Plains,Harlem
LIRR,Merillon Avenue,Port Jefferson
LIRR,Carle Place,Port Jefferson
NYCT,Grand Central-42 St,S
NYCT,Grand Central-42 St,4
NYCT,Grand Central-42 St,5
NYCT,Grand Central-42 St,6
NYCT,Grand Central-42 St,7
LIRR,Jamaica,City Terminal Zone
NYCT,Astoria Blvd,N
NYCT,Astoria Blvd,W
NYCT,Grand Central-42 St,4
NYCT,Grand Central-42 St,5
NYCT,Grand Central-42 St,6
NYCT,Grand Central-42 St,S
Metro-North,Mount Vernon 6th Avenue Bridge,New Haven
NYCT,86 St,R
NYCT,138 St-Grand Concourse,Port Jefferson
Metro-North,Port Jervis,Port Jefferson
Metro-North,Mount Vernon 3rd Avenue Bridge,New Haven
NYCT,1 Av,L
NYCT,Bedford Av,L
Metro-North,Mount Vernon 10th Avenue Bridge,New Haven
LIRR,New Hyde Park,Port Jefferson
LIRR,Westbury,Port Jefferson
NYCT,Tremont Av,B
NYCT,Tremont Av,D
LIRR,Grand Central Madison,City Terminal Zone
NYCT,Times Sq-42 St,S
NYCT,Times Sq-42 St,B
NYCT,Times Sq-42 St,D
NYCT,Times Sq-42 St,F
NYCT,Times Sq-42 St,M
LIRR,Elmont-UBS Arena,Hempstead
LIRR,Grand Central Madison,City Terminal Zone
NYCT,181 St,1
NYCT,Lorimer St,L
NYCT,7 Av,Port Jefferson
NYCT,34 St-Penn Station,1
NYCT,34 St-Penn Station,2
NYCT,34 St-Penn Station,3
LIRR,Roosevelt Island Ventilation Structure,City Terminal Zone
LIRR,Mineola,Port Jefferson
NYCT,Grand St,L
NYCT,E 149 St,6
SIR,New Dorp,City Terminal Zone
NYCT,DeKalb Av,B
NYCT,DeKalb Av,D
NYCT,DeKalb Av,Q
NYCT,Dyckman St,1
NYCT,Fulton St,A
NYCT,Fulton St,C
NYCT,Fulton St,J
NYCT,Fulton St,Z
NYCT,Fulton St,2
NYCT,Fulton St,3
NYCT,Fulton St,4
NYCT,Fulton St,5
NYCT,Times Sq-42 St,A
NYCT,Times Sq-42 St,C
NYCT,Times Sq-42 St,E
NYCT,Times Sq-42 St,N
NYCT,Times Sq-42 St,R
NYCT,Times Sq-42 St,S
NYCT,Times Sq-42 St,Q
NYCT,Times Sq-42 St,1
NYCT,Times Sq-42 St,2
NYCT,Times Sq-42 St,3
NYCT,Times Sq-42 St,7
NYCT,75 St,J
NYCT,75 St,Z
NYCT,Cypress Hills,J
NYCT,Cypress Hills,Z
NYCT,Myrtle Av,J
NYCT,Myrtle Av,M
NYCT,Myrtle Av,Z
NYCT,Crescent St,J
NYCT,Crescent St,Z
NYCT,Norwood Av,J Z
NYCT,Alabama Av,J
NYCT,Alabama Av,Z
NYCT,Woodside-61 St,7
NYCT,Fulton St,A
NYCT,Fulton St, C
NYCT,Fulton St, J
NYCT,Fulton St, Z
NYCT,Fulton St, 2
NYCT,Fulton St, 3
NYCT,Fulton St, 4
NYCT,Fulton St, 5
NYCT,5 Av/53 St,E
NYCT,5 Av/53 St,M
NYCT,Cleveland St,J
