agency,station_name,line,artist,art_title,art_date,art_material,art_description,art_image_link
Metro-North,Fleetwood,Harlem,Arthur Gonzalez,Time Catcher,1990,"Bronze - patinated and Steel sheet, Found object (tin toys, etc.)","In Arthur GonzalezÕs monumental artwork, large-scale figurative bronze sculptures located at three stations on Metro-North RailroadÕs Harlem-Hudson line, the themes of time and travel are the central focus.  The Finder / The Seekers at Tuckahoe (the first project in the Arts for Transit  Òpercent for artÓ program to be completed and installed at a Metro-North station) includes images of speed and travel in the form of childrenÕs toys below each of its sculptures representing explorers and settlers.  At Crestwood, the sculpture The Discovery is a bronze figure of a girl in a boat who holds a compass with the cardinal directions evoking themes of travel and exploration.  Time Catcher at Fleetwood is a polychrome bronze featuring a historic map of the region and a worker with his tools, an homage to the workers of the railroad.",https://new.mta.info/agency/arts-design/collection/the-finder-the-seekers-time-catcher
NYCT,Grand Central-42 St,"S,4,5,6,7",Dan Sinclair,Fast Track and Speedwheels,1990,"Stainless steel, copper and brass","Dan SinclairÕs Fast Track and Speedwheels are exuberant assemblages of metal parts including wavy aluminum sheets, steel wheels, brass disks, and copper springs and wires.  They are meant to look strangely at home at the ends of the long underground passage at Grand Central, to Òseem to have grown on the site, Ó observed the March 25, 1991, New Yorker.  Curious riders are invited to make associations and to read varied meanings into the metal collages.  Among other things, they might suggest antiquated machinery, old photograph records, or birds in flight.  ÒI want my sculpture to make people think of the power of the engines that drive the trains, the speed and efficiency of them . . . the sculptures also reflect the architectural elements of Times Square and the Art Deco glamour of Radio City Music Hall,Ó says the artist.  Or as the writer of the New Yorker piece observed, ÒThey remind me of what a hankie would look like if you fluttered it out of a subway-car window.Ó",https://new.mta.info/agency/arts-design/collection/fast-track-speedwheels
NYCT,Wall St,"2,3",Harry Roseman,Subway Wall,1990,Bronze - patinated,"In the artistÕs words, Ò[This site] is underground, in the 'earth', under an urban settingÉ  Rocks are interspersed among tiles. The rocks in this situation could actually have been a part of the excavation process for the subway tunnel É [and they] thus become a symbol for the process of building the tunnel and for being underground... The path and stairs as well as the tiles É intermingle nature with the man-made. The built aspect of the stairs also alludes to the built environment, the city. The landscape could be the kind of place that was here before this was an urban center É  The curve [of the tunnel] É was also the perfect opportunity to twist the perspective of the staircase to reiterate the curve and suggest the going from one type of environment to another. Aside from the layers of references and meaning, I tried to create a work that would be visually pleasing and could be enjoyed instinctually.Ó",https://new.mta.info/agency/arts-design/collection/subway-wall
NYCT,104 St,"J,Z",Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,"Five Points of Observation, sited on the platform walls of five adjacent subway stations in Queens,  is composed of five colossal six-foot heads made of copper mesh positioned at different angles and inserted in specially cut openings in the windscreen walls that otherwise would block views from the platforms to the streets below.  Positioning themselves in the heads, subway riders can look out onto the world literally through the eyes of the sculptural forms.  The artist created the faces so as to be both multiethnic and androgynous, leaving room for viewers to construct for themselves stories of who these haunting forms might be and what they might signify.  The faces are constructed with steel armatures and a grid of wire mesh, which serves a protective as well as expressive function.  Also, the positioning of the forms varies from station to station, giving them further variety and expressiveness.",https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,111 St,"J,Z",Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,"Five Points of Observation, sited on the platform walls of five adjacent subway stations in Queens,  is composed of five colossal six-foot heads made of copper mesh positioned at different angles and inserted in specially cut openings in the windscreen walls that otherwise would block views from the platforms to the streets below.  Positioning themselves in the heads, subway riders can look out onto the world literally through the eyes of the sculptural forms.  The artist created the faces so as to be both multiethnic and androgynous, leaving room for viewers to construct for themselves stories of who these haunting forms might be and what they might signify.  The faces are constructed with steel armatures and a grid of wire mesh, which serves a protective as well as expressive function.  Also, the positioning of the forms varies from station to station, giving them further variety and expressiveness.",https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,Woodhaven Blvd,"J,Z",Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,"Five Points of Observation, sited on the platform walls of five adjacent subway stations in Queens,  is composed of five colossal six-foot heads made of copper mesh positioned at different angles and inserted in specially cut openings in the windscreen walls that otherwise would block views from the platforms to the streets below.  Positioning themselves in the heads, subway riders can look out onto the world literally through the eyes of the sculptural forms.  The artist created the faces so as to be both multiethnic and androgynous, leaving room for viewers to construct for themselves stories of who these haunting forms might be and what they might signify.  The faces are constructed with steel armatures and a grid of wire mesh, which serves a protective as well as expressive function.  Also, the positioning of the forms varies from station to station, giving them further variety and expressiveness.",https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,103 St,6,Nitza Tufi–o,Neo-Boriken,1990,"Ceramic tile, red clay, glazes,  WonderBoard panel backing","Nitza Tufi–oÕs Neo-Boriken murals at 103rd Street refer to people who have come from her native Puerto Rico and other parts of the Caribbean and Latin America and who, in her words, Òhave transplanted themselves from the tropical jungles into New York.Ó  The title of the mural derives from the pre-Columbian Ta•no Indian name for the island of Puerto Rico, ÒBorikenÓ or ÒBoricua.Ó  The ancient Ta•nos also designed the petroglyphs that are alluded to in the mural, accompanying Aztec and Mayan forms.  Tufi–oÕs art is consistently informed by her connections to the people of Latin America, their history and culture both past and present, as well as her training as a teacher.  In this spirit, she has undertaken a number of well-received public art commissions.  Born in Puerto Rico, she was trained first as a graphic artist and then, in Mexico, as a muralist.",https://new.mta.info/agency/arts-design/permanent-art/neo-boriken
Metro-North,Harlem-125 St,City Terminal Zone,Alison Saar,Hear the Lone Whistle Moan,1991,Bronze - patinated,"Alison SaarÕs Hear the Lone Whistle Moan consists of two figures standing against a grille gate as they are waiting for the train. There is a man on the north bound platform and a woman on the southbound one.  The woman is arriving in town and the man is leaving New York.  Saar spoke of the work:  

The premise for these pieces was to create a simple narrative of two people.  One, the young woman coming to the city in hopes of advancing her career, the other, a successful businees man leaving the city to return to his home town.  I believe these two scenarios to be examples of how many Americans have used the railroad to and from New York throughout history.  Yet I also was addressing the specific and rich tradition of the role of the railroad in general in the lives of African Americans. Ó  

The title, Hear the Lone Whistle Moan, she continues, comes from a spiritual that uses the train as a metaphor for the passage to heaven.  Trains have often been associated by African Americans with escape and the Underground Railroad in particular, which was sometimes referred to as the Phantom Train. 

SaarÕs own ethnic and cultural background is diverse; she traces her ancestry to Europeans and Native Americans as well as African Americans.  A native of California, she attended Scripps College and received an M.F.A. from Otis Art Institute.  She now lives in New York City.",https://new.mta.info/agency/arts-design/collection/copacetic-hear-the-lone-whistle
Metro-North,Mount Vernon West,Harlem,Martha Jackson-Jarvis,Travelin' Time,1991,Glass and Ceramic Mosaic,"Martha Jackson-Jarvis has experimented with the qualities of fired clay for most of her life, beginning in childhood.  Since then, she has worked with hundreds of clay bodies, kiln types, and glaze forms Ð and she continues to test the various possibilities and to improvise.  While most ceramicists dread the possibility that unexpected contingencies will alter the planned appearance of a work, Jackson-Jarvis welcomes surprise and chance occurrences, noted Curtia James, writing in the January-February 2004 issue of Sculpture.  Speaking of her work for the MTA, the artist says, ÒConceptually, Travelin' Time occupies transitional space. It is a space between points, a place of resting, of waiting, of new beginnings and departures.  Though Mount Vernon station is indeed public space, it still remains an intimate space where human scale and pace are slowed momentarily. It is a space in which we are asked to wait . . . and while waiting contemplate traveling through time and space to distances unknown, yet familiar.Ó",https://new.mta.info/agency/arts-design/collection/travelin-time
NYCT,34 St-Herald Sq,"B,D,F,M,Q,N,R,W",Michele Oka Doner,Radiant Site,1991,Ceramic tiles,"Michele Oka DonerÕs Radiant Site, at the Herald Square subway station Ð one of the busiest transit intersections anywhere Ð is a rectilinear floor-to-ceiling passage bathed in an all-pervasive golden light.  The midsection of the corridor is the brightest, glazed in coppery tiles, but these darken and are less reflective toward the top and bottom of the passage, which are glazed in black.  The resulting glow seems to pulse with gentle energy.

DonerÕs oeuvre includes sculpture, furniture, jewelry, functional objects and public art projects.  She fearlessly, and seemingly effortlessly, crosses disciplines and media to create her varied work.  Her creations are almost never totally abstract; they combine her interest in natural history, anthropology, and archeology with inspirations from nature, mythology and the heavens.  A native of Miami Beach, she is perhaps best known for her miles-long bronze-in-terrazzo concourse floors for Miami International Airport, another work whose aim it is to help humanize the transit environment.

In order to assure control over the effects of her work in Radiant Site, the artist made the 11,000 tiles one-by-one and by hand, on a century-old foot-press at the venerable Pewabic Pottery in Detroit.  Their slightly irregular shapes and uneven surfaces were then hand-glazed, varying the formula in tiny increments so as to achieve the desired luminous effect.  Fingerprints and other irregularities are intentionally left, to stress the organic nature of the process.  

Doner says that in thinking about prospective art projects she considers not only the physical and chemical properties of the materials she will use but also Òtheir psychic and cosmic qualities.Ó  In Radiant Site the composition of the tiles and glazes are manipulated in such a way as to make what would be a gloomy place into one that is reflective and inviting.  ÒI donÕt believe in confrontational art;Ó the artist says, Òthe amount of aggression in the city is already overwhelming.  I think of the project as a spiritual sculpture É   Each of the thousands of people who walk along the wall each day becomes enveloped by this mysterious power.Ó",https://new.mta.info/agency/arts-design/collection/radiant-site
NYCT,116 St-Columbia University,1,Michelle Greene,Railrider's Throne,1991,Steel,"Michelle GreeneÕs RailridersÕ Throne introduces humor into an otherwise somber subway station.  The artist says, ÒI wanted to create a whimsical environment that allows the commuter to feel special as opposed to alienated.  I believe that art in a public space has the potential to stir people from their daily routine.Ó  And it works.  As reported by Art News in January 1992, a frequent user of the station commented, ÒWhatÕ s weird about that chair is that when you sit in it everyone stares at you.  It feels royal.Ó  Another rider reported, ÒThereÕs a musician who plays his violin.  At first, I thought he brought the chair with him.  I think he makes more money when he sits there.Ó Elements in the design of the chair were influenced by the historic tile pattern in the station, so it nicely reiterates the credo of the original subway designers that ornamental additions to the stations should serve to make the subway a more pleasant place to be.",https://new.mta.info/agency/arts-design/collection/railriders-throne
NYCT,34 St-Herald Sq,"B,D,F,M,N,Q,R",Nicholas Pearson,Halo,1991,"Coiled aluminum - chemically etched, Lighting Elements","In the 34th StreetÐHerald Square subway station riders may be surprised to encounter what seems to be an ethereal vision from the heavens Ð large, luminous orbs appearing to hover in space.  Made of coiled aluminum rods Ð formed in a manner similar to the way in which ceramists sometimes form pots from clay Ð the spheres are suspended on a framework of small beams from the larger steel structural components of the station.  Halo beautifully contrasts the aesthetic with the utilitarian, and the result is  Òan unexpected serenity.Ó  The artist said, ÒIt was my aim to create an enigmatic distribution of objects that would stand in sharp contrast to the rectilinear nature of the site, and in doing so, to establish an oasis of visual language amid an otherwise functional environment.Ó",https://new.mta.info/agency/arts-design/collection/halo
NYCT,42 St-Port Authority Bus Terminal,"A,C,E,N,R,Q,S,1,2,3,7",Norman B Colp,The Commuter's Lament/A Close Shave,1991,Porcelain enamel on ceiling beams in passageway connecting 7th and 8th Ave. lines,"The poem, titled ""The Commuter's Lament/A Close Shave,"" was written by Norman B Colp and was inspired by the famous Burma Shave ad campaign, a men's product that was well known for series of signs across the U.S in the 1920s. The artwork was originally commissioned as a temporary installation, and remains installed in the transfer corridor from 42 St-Port Authority Bus Terminal to Times Sq-42 St. The poem reads: ÒOverslept, so tired, if late, get fired. Why bother? Why the pain? Just go home, do it again.Ó The lines appear mounted on the overhead I-beams, approximately every fifth beam.",https://new.mta.info/agency/arts-design/collection/commuters-lament
Metro-North,North White Plains,Harlem,Rolando Brise–o,At the Table,1991,"Cast aluminum, painted","Rolando Brise–oÕs At the Table, at North White Plains is a total environment of cast aluminum capitals on the canopy columns along the platforms.  Starting at the stairway and moving down the platform, this piece complements the architecture of the station while presenting a variety of witty, everyday objects etched onto the capitals.  Under six of the station signs, in a black architectonic culmination of the capitals, are pieces that combine these symbols.  Brise–o speaks of the experience of the passenger as similar to moving through a Romanesque cathedral, ÒWhether going to work or coming home, the traveler is drawn into and enlivened by the interactive character of the work.Ó",https://new.mta.info/agency/arts-design/collection/at-the-table
NYCT,Jamaica Ctr-Parsons/Archer,"E,J,Z",Sam Gilliam,"Jamaica Center Station Riders, Blue",1991,Aluminum - painted,"Sam GilliamÕs Jamaica Center Station Riders, Blue at the Archer Avenue subway station in Queens is composed of two elements: a large ellipse and an armature to which the ellipse is attached, constructed of aluminum plate with deep welds. 

In the artistÕs words, the work is Òcomplex in its simplicityÓ:

 It calls to mind: movement, circuits, speed, technology and passengership. The fact that this is a very modern sculpture places it in contemporary life as well as the future É The colors used in the piece É refer to colors of the respective subway lines. The predominant use of blue provides one with a visual solid in a transitional area that is near subterranean.

Sam Gilliam is referred to as a third-generation ÒWashington Color SchoolÓ artist.  During this period GilliamÕs works became more sculptural or theatrical, where his work was work was interactive with space.  Gilliam literally took the canvas off the frame and onto the wall and used the draped canvas as painting in space.

The color-filled draped canvases led directly to GilliamÕs public work.  Gilliam sculpted Jamaica Center Station Riders, Blue continued to take color and have it interact with wall, but with aluminum as the medium, rather than canvas.

Gilliam is the subject of a full career retrospective at the Corcoran Gallery of Art in Washington, DC which is traveling nation-wide from 2005-2007.",https://new.mta.info/agency/arts-design/collection/jamaica-center-station-riders-blue
Metro-North,Scarsdale,Harlem,Tom Nussbaum,Travelers,1991,Cor-ten steel,"In his silhouette figures at the Scarsdale and Hartsdale stations, Tom Nussbaum pays his respects to the types of people most likely to view his artwork there Ð commuters and railroad workers.  At the Hartsdale station, twenty-one life-size figures are placed along the center of the open space between the train tracks.  At the Scarsdale station another group of flattened, iron people appears Ð all in the midst of traveling and carrying along all manner of things. Travelers also includes three-foot figures standing along the roof line of the sta tion canopies.  And giant-sized iron people in the track bed of the Hartsdale station are busy at work guiding trains, maintaining the track and throwing switches.  Nussbaum says, ""My approach to this kind of figurative work reflects an on-going interest in American folk sculpture of all kinds, especially whirligigs and weather vanes.Ó",https://new.mta.info/agency/arts-design/collection/workers-hartsdale
Metro-North,Hartsdale,Harlem,Tom Nussbaum,Workers,1991,Cor-ten steel,"In his silhouette figures at the Scarsdale and Hartsdale stations, Tom Nussbaum pays his respects to the types of people most likely to view his artwork there Ð commuters and railroad workers.  At the Hartsdale station, twenty-one life-size figures are placed along the center of the open space between the train tracks.  At the Scarsdale station another group of flattened, iron people appears Ð all in the midst of traveling and carrying along all manner of things. Travelers also includes three-foot figures standing along the roof line of the sta tion canopies.  And giant-sized iron people in the track bed of the Hartsdale station are busy at work guiding trains, maintaining the track and throwing switches.  Nussbaum says, ""My approach to this kind of figurative work reflects an on-going interest in American folk sculpture of all kinds, especially whirligigs and weather vanes.Ó",https://new.mta.info/agency/arts-design/collection/workers-hartsdale
NYCT,207 St,1,Wopo Holup,Elevated Nature I-IV,1991,Cast concrete,"From the artist:  ÒNature's forms have been the inspiration for my work.   I am passionate about our environment.   How a work of public art is integrated into its site and the interplay of ideas with the use of the site are of primary importance.   I like to think about how people will participate with the work, how they will move by, around, through or over it.   With this movement in mind I have made works using several sculptural elements linking areas of a site into a single concept.  I looked at the station Õs existing tile frieze and continued the frieze as a relief tile band.   The relief shows a flight of birds Ð gold when they fly through the gold band and white as they travel over the white tile of the stairwells. I thought of the birds as flying along with the people as both ascend the stairs to the train's elevated platform.Ó",NA
NYCT,125 St,1,Wopo Holup,River to River,1991,Cast concrete,N/A,NA
LIRR,Bay Shore,Montauk,Brit Bunkley,Bay Shore Icons,1992,Cast concrete - Jesmonite castings,"The disks in Brit BunkleyÕs architectural fantasy Bay Shore Icons illustrate an oblique abstraction of clocks and calendars; the digits found in this artwork are primarily mirror images of numbers.  To highlight the advantages of public transportation, the artist created a cast stone frieze portraying train cars in a traffic jam.  ÒSince I thought the architecture of the waiting areas looked somewhat like a ÔPrairie Style Doric Temple,Õ I designed the extended lintel as a Prairie Style window-like structure (which also mimics the LIRR train windows),Ó said Bunkley in his artistÕs statement for the project.  ÒThe images within it are a sort of Ôsystem of iconsÕ that refer to transportation and aspects of Bay Shore and Fire Island. They include a mirror image pleasure boat, a beach umbrella/arrow with egg (a reference to the egg and dart molding), and a Fire Island lighthouse as a chess piece.Ó",https://new.mta.info/agency/arts-design/collection/bay-shore-icons
NYCT,34 St-Herald Sq,"B,D,F,M,N,R,Q",David Provan,Yab-Yum,1992,"Aluminum, Steel","The project consists of a series of fourteen brightly colored paddle-like forms, each twelve feet long, suspended between the east wall of the station and each of the fourteen columns that run the length of the wall.  The artistÕs intent was for the delicately balanced paddles to spin and flutter in the wind generated by approaching and departing trains.  From the artistÕs proposal: ÒAs every veteran subway rider knows Ð whether actively or intuitively Ð the approach of a train is preceded by a gust of wind funneling down the track. It's my interest to build and install a series of subway Ôwind paddlesÕ that will utilize and make visible these subterranean breezes.  The varying amounts of wind will set the brightly colored paddles floating, tilting and spinning in descriptive patterns.Ó",https://new.mta.info/agency/arts-design/collection/yab-yum
LIRR,"Great Neck (relocated from LIRR Westbury, 2001)",Port Washington,David Saunders,Conductor's Watch and Key Chain,1992,Aluminum,"To symbolize the romance and excitement of historic train travel, all under the eye of the railroad conductor, David Saunders immortalized the conductorÕs watch and key chain.  The tubular forms design complement and blend into other, architectural components of the station, particularly its handrails and exposed pipes.  ÒThe chain mimics the movement of the Long Island Rail RoadÕs long silver trains that take commuters to and from their destinations,Ó says Saunders, Òthose speedy back and forth movements are echoed in the long swooping gestures of the sculptureÕs silver lines.Ó",https://new.mta.info/agency/arts-design/collection/conductors-watch-and-key-chain
NYCT,Court Sq-23 St,"E, M, G, 7",Frank Olt,Temple Quad Reliefs,1992,"Ceramic tile,  Glass mosaic","The artwork consists of four large-scale ceramic murals with sculptures of terracotta-colored ceramic tile in architectural formations set into a mosaic background.  The Reliefs Òrelate to the architecture that surrounds them,Ó Olt pointed out in his artistÕs statement for the project, Òto the ebb and flow of humanity that will engulf them and to one another, for a unified design approach to the station.  The Archways represent a symbol of welcome, strength and beauty. Their compelling form and rich color draw influence from Romanesque architecture, augmenting the theme of welcome and adding the theme of continuance in the daily life and work of New Yorkers.  The Gothic Circle component is a symbol of endurance, renewal and perpetuity, and will lend inspiration to daily commuters, spent from their days' toil.  The Greek Temple Quad, a series of four house-shaped pieces, reinforces the theme of welcome and comfort, but itself resembles a cityscape or place of commerce with all the societal vitality that it implies.Ó",https://new.mta.info/agency/arts-design/collection/temple-quad-reliefs
