lat,long,county,carries,yr_built,bridge_condition,avg_daily_traffic,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
38.99000168,-76.52500153,Anne Arundel County,IS 595,1953,Fair,123940,NA,02,15,State Highway Agency,State Highway Agency,123940 vehicles
38.99499893,-76.51333618,Anne Arundel County,IS 595,1991,Fair,111323,NA,03,16,State Highway Agency,State Highway Agency,111323 vehicles
38.9952361111111,-76.51245555555556,Anne Arundel County,MD 436,1991,Good,5110,NA,12,15,State Highway Agency,State Highway Agency,5110 vehicles
39.00666809,-76.50333405,Anne Arundel County,US 50,1953,Fair,124193,16264,04,16,State Highway Agency,State Highway Agency,124193 vehicles
39.01944351,-76.5027771,Anne Arundel County,US 50/301,1953,Fair,121160,950,04,15,State Highway Agency,State Highway Agency,121160 vehicles
38.99166489,-76.5083313,Anne Arundel County,MD 70,2006,Good,38762,NA,04,15,State Highway Agency,State Highway Agency,38762 vehicles
38.98333359,-76.49833679,Anne Arundel County,MD 70,1954,Fair,38762,NA,06,15,State Highway Agency,State Highway Agency,38762 vehicles
39.10333252,-76.69333649,Anne Arundel County,MD 170,1936,Fair,21621,NA,07,16,State Highway Agency,State Highway Agency,21621 vehicles
39.16333389,-76.52500153,Anne Arundel County,MD 173,1947,Fair,18598,2494,12,15,State Highway Agency,State Highway Agency,18598 vehicles
39.13833237,-76.52333069,Anne Arundel County,MD 173,1932,Fair,9150,85,11,15,State Highway Agency,State Highway Agency,9150 vehicles
39.18333435,-76.69166565,Anne Arundel County,MD 170,1947,Fair,42631,NA,11,15,State Highway Agency,State Highway Agency,42631 vehicles
39.0897444444444,-76.705175,Anne Arundel County,MD 175,1938,Fair,22022,799,06,15,State Highway Agency,State Highway Agency,22022 vehicles
39.1776111111111,-76.74460555555555,Anne Arundel County,MD 103,1949,Fair,8191,NA,01,17,State Highway Agency,State Highway Agency,8191 vehicles
39.1668527777778,-76.72356666666667,Anne Arundel County,MD 176,1949,Fair,2452,95,11,15,State Highway Agency,State Highway Agency,2452 vehicles
39.16388702,-76.70555878,Anne Arundel County,MD 176,1936,Fair,13400,289,03,15,State Highway Agency,State Highway Agency,13400 vehicles
39.0146611111111,-76.4718,Anne Arundel County,MD 179,1920,Fair,3682,240,07,16,State Highway Agency,State Highway Agency,3682 vehicles
38.9726694444444,-76.48550277777778,Anne Arundel County,MD 181(SIXTH ST),1946,Fair,19251,2153,02,16,State Highway Agency,State Highway Agency,19251 vehicles
39.2248611111111,-76.64152222222222,Anne Arundel County,MD 648E,1992,Good,12630,NA,08,15,State Highway Agency,State Highway Agency,12630 vehicles
39.206425,-76.641675,Anne Arundel County,MD 648E,1989,Good,16400,NA,08,16,State Highway Agency,State Highway Agency,16400 vehicles
39.19666672,-76.63166809,Anne Arundel County,IS 97,1955,Fair,18621,NA,03,16,State Highway Agency,State Highway Agency,18621 vehicles
39.185231,-76.6323,Anne Arundel County,WELLHAM ROAD,1994,Good,8400,NA,10,16,State Highway Agency,State Highway Agency,8400 vehicles
39.17499924,-76.63666534,Anne Arundel County,IS 97,1955,Fair,103350,NA,03,17,State Highway Agency,State Highway Agency,103350 vehicles
39.16500092,-76.64167023,Anne Arundel County,IS 97,1955,Fair,105110,NA,01,16,State Highway Agency,State Highway Agency,105110 vehicles
39.160811,-76.644358,Anne Arundel County,STEWART AVENUE,1991,Good,6220,NA,06,16,State Highway Agency,State Highway Agency,6220 vehicles
39.144761,-76.644586,Anne Arundel County,MD 174,2004,Good,8580,NA,12,16,State Highway Agency,State Highway Agency,8580 vehicles
39.1831333333333,-76.61441944444445,Anne Arundel County,MD 3 BU,1980,Fair,17610,NA,05,16,State Highway Agency,State Highway Agency,17610 vehicles
39.12666702,-76.64167023,Anne Arundel County,IS 97 NBR,1990,Good,135900,NA,08,16,State Highway Agency,State Highway Agency,135900 vehicles
39.12666702,-76.64167023,Anne Arundel County,IS 97 SBR,1990,Good,135900,NA,08,16,State Highway Agency,State Highway Agency,135900 vehicles
39.08166504,-76.62666321,Anne Arundel County,VETERNS HIGHWAY,1933,Fair,8680,NA,05,15,State Highway Agency,State Highway Agency,8680 vehicles
38.748175,-76.55730833333334,Anne Arundel County,MD 423,1989,Fair,1262,NA,11,15,State Highway Agency,State Highway Agency,1262 vehicles
38.99333191,-76.48833466,Anne Arundel County,MD 450,1995,Fair,17920,NA,01,16,State Highway Agency,State Highway Agency,17920 vehicles
38.98500061,-76.49500275,Anne Arundel County,MD 450,1987,Good,10920,1374,03,16,State Highway Agency,State Highway Agency,10920 vehicles
38.9862611111111,-76.60876944444445,Anne Arundel County,MD 450,2008,Good,7520,NA,01,15,State Highway Agency,State Highway Agency,7520 vehicles
38.9871222222222,-76.62270555555556,Anne Arundel County,MD 450,1989,Fair,6270,NA,11,16,State Highway Agency,State Highway Agency,6270 vehicles
39.1548527777778,-76.59850833333333,Anne Arundel County,MD 648E,1976,Fair,16790,NA,12,15,State Highway Agency,State Highway Agency,16790 vehicles
39.1344833333333,-76.6973111111111,Anne Arundel County,MD 174,1931,Fair,17142,162,11,15,State Highway Agency,State Highway Agency,17142 vehicles
39.08166504,-76.61833191,Anne Arundel County,IS 97 NBR,1991,Fair,102300,NA,11,15,State Highway Agency,State Highway Agency,102300 vehicles
39.08166504,-76.62666321,Anne Arundel County,IS 97 SBR,1991,Fair,102300,NA,09,15,State Highway Agency,State Highway Agency,102300 vehicles
39.23025,-76.66470277777778,Anne Arundel County,HAMMONDS FERRY RD,1961,Fair,8800,778,05,16,State Highway Agency,State Highway Agency,8800 vehicles
38.7904333333333,-76.66793611111112,Anne Arundel County,MD 258,1961,Fair,7962,NA,08,15,State Highway Agency,State Highway Agency,7962 vehicles
38.79345,-76.55841944444444,Anne Arundel County,MD 258,1963,Fair,8882,NA,04,15,State Highway Agency,State Highway Agency,8882 vehicles
39.13333511,-76.59500122,Anne Arundel County,MD 100 RAMP,1963,Fair,21300,NA,03,16,State Highway Agency,State Highway Agency,21300 vehicles
38.9924777777778,-76.50754444444445,Anne Arundel County,MD 436,1997,Fair,5110,NA,03,15,State Highway Agency,State Highway Agency,5110 vehicles
39.13499832,-76.59833527,Anne Arundel County,MD 100 EBR,1963,Fair,12651,838,03,15,State Highway Agency,State Highway Agency,12651 vehicles
39.13499832,-76.59833527,Anne Arundel County,MD 100 WBR,1963,Fair,12651,806,03,15,State Highway Agency,State Highway Agency,12651 vehicles
39.15166855,-76.63666534,Anne Arundel County,MD 100 EBR,1963,Fair,75406,734,12,16,State Highway Agency,State Highway Agency,75406 vehicles
39.15166855,-76.63666534,Anne Arundel County,MD 100 WBR,1963,Fair,75406,734,12,16,State Highway Agency,State Highway Agency,75406 vehicles
39.14333344,-76.63166809,Anne Arundel County,MD 100 EBR,1963,Fair,75406,980,08,16,State Highway Agency,State Highway Agency,75406 vehicles
39.14333344,-76.63166809,Anne Arundel County,MD 100 EBR,1963,Fair,75406,491,08,16,State Highway Agency,State Highway Agency,75406 vehicles
39.13999939,-76.62000275,Anne Arundel County,MD 100 EBR,1963,Fair,35961,590,08,16,State Highway Agency,State Highway Agency,35961 vehicles
39.13999939,-76.62000275,Anne Arundel County,MD 100 WBR,1963,Fair,35961,608,08,16,State Highway Agency,State Highway Agency,35961 vehicles
39.13833237,-76.61166382,Anne Arundel County,MD 100,1964,Good,73112,NA,07,15,State Highway Agency,State Highway Agency,73112 vehicles
38.7911,-76.57938333333334,Anne Arundel County,MD 258,1963,Good,8882,NA,07,15,State Highway Agency,State Highway Agency,8882 vehicles
39.20999908,-76.65000153,Anne Arundel County,IS 695 RAMP G,1967,Fair,2770,703,08,16,State Highway Agency,State Highway Agency,2770 vehicles
39.20999908,-76.65000153,Anne Arundel County,IS 695 RAMP L,1967,Fair,66659,NA,07,15,State Highway Agency,State Highway Agency,66659 vehicles
39.20999908,-76.64833069,Anne Arundel County,IS 695 IL,1967,Fair,74085,1477,09,16,State Highway Agency,State Highway Agency,74085 vehicles
39.20999908,-76.64833069,Anne Arundel County,IS 695 OL,1967,Fair,74085,1477,10,16,State Highway Agency,State Highway Agency,74085 vehicles
39.20666504,-76.61499786,Anne Arundel County,MD 2,1968,Fair,40541,NA,06,16,State Highway Agency,State Highway Agency,40541 vehicles
39.2054166666667,-76.61235,Anne Arundel County,MD 695 RAMP B(3),1968,Fair,34550,NA,11,15,State Highway Agency,State Highway Agency,34550 vehicles
39.20500183,-76.61499786,Anne Arundel County,MD 2,1968,Fair,46601,NA,12,15,State Highway Agency,State Highway Agency,46601 vehicles
39.065,-76.643333,Anne Arundel County,MD 32 WBR,1970,Fair,39092,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
39.065,-76.643333,Anne Arundel County,MD 32 WBR,1970,Fair,39092,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
39.1195361111111,-76.53284444444445,Anne Arundel County,EDWIN RAYNOR ROAD,1969,Fair,19710,585,01,17,State Highway Agency,State Highway Agency,19710 vehicles
39.22333145,-76.65833282,Anne Arundel County,IS 695,1951,Fair,128182,158,03,16,State Highway Agency,State Highway Agency,128182 vehicles
39.01333237,-76.49333191,Anne Arundel County,MD 2,1953,Fair,46541,1866,09,16,State Highway Agency,State Highway Agency,46541 vehicles
39.01333237,-76.49333191,Anne Arundel County,US 50,1953,Fair,95083,NA,02,16,State Highway Agency,State Highway Agency,95083 vehicles
39.12166595,-76.78666687,Anne Arundel County,MD 32,1984,Good,65902,NA,06,16,State Highway Agency,State Highway Agency,65902 vehicles
39.13166809,-76.58666992,Anne Arundel County,MD 100 EBR,1971,Fair,26792,NA,06,16,State Highway Agency,State Highway Agency,26792 vehicles
39.13166809,-76.58666992,Anne Arundel County,MD 100 WBR,1971,Fair,26792,308,06,16,State Highway Agency,State Highway Agency,26792 vehicles
39.1208277777778,-76.56143333333333,Anne Arundel County,MD 648H,1971,Fair,5802,429,12,16,State Highway Agency,State Highway Agency,5802 vehicles
39.1214166666667,-76.56155277777778,Anne Arundel County,MD 648H,1971,Fair,5802,429,09,16,State Highway Agency,State Highway Agency,5802 vehicles
39.1211583333333,-76.54824166666667,Anne Arundel County,CATHERINE AVENUE,1971,Good,19680,NA,07,16,State Highway Agency,State Highway Agency,19680 vehicles
39.1926222222222,-76.60541111111111,Anne Arundel County,MD 10 RAMPS 5 & 6,1972,Fair,8100,NA,07,15,State Highway Agency,State Highway Agency,8100 vehicles
39.1945861111111,-76.60266111111112,Anne Arundel County,MD 10 & RAMPS 2  5,1972,Fair,48600,NA,05,16,State Highway Agency,State Highway Agency,48600 vehicles
39.1821527777778,-76.60469722222223,Anne Arundel County,MD 10 NBR,1973,Fair,47240,NA,03,16,State Highway Agency,State Highway Agency,47240 vehicles
39.1825611111111,-76.60496111111111,Anne Arundel County,MD 10 SBR,1973,Fair,47240,NA,03,16,State Highway Agency,State Highway Agency,47240 vehicles
39.1862333333333,-76.60468055555556,Anne Arundel County,DOVER ROAD,1974,Fair,2465,1071,06,15,State Highway Agency,State Highway Agency,2465 vehicles
39.0165138888889,-76.40989166666667,Anne Arundel County,MD 908D,1974,Good,1911,NA,12,16,State Highway Agency,State Highway Agency,1911 vehicles
39.1937944444444,-76.60348611111111,Anne Arundel County,MD 710,1973,Fair,32670,NA,12,15,State Highway Agency,State Highway Agency,32670 vehicles
39.1937972222222,-76.60389722222222,Anne Arundel County,MD 710,1973,Fair,22351,NA,11,16,State Highway Agency,State Highway Agency,22351 vehicles
39.1956527777778,-76.59763333333333,Anne Arundel County,MD 710,1973,Fair,13471,NA,07,15,State Highway Agency,State Highway Agency,13471 vehicles
39.1682166666667,-76.60855833333333,Anne Arundel County,N THOMPSON AVENUE,1975,Fair,32100,NA,05,15,State Highway Agency,State Highway Agency,32100 vehicles
39.1574555555556,-76.60319166666666,Anne Arundel County,MD 648E,1976,Fair,10890,NA,06,15,State Highway Agency,State Highway Agency,10890 vehicles
39.20277786,-76.625,Anne Arundel County,IS 895B RAMP,1958,Fair,21141,1053,05,16,State Highway Agency,State Highway Agency,21141 vehicles
39.2028166666667,-76.62170833333333,Anne Arundel County,CEDAR AVENUE,1957,Fair,2000,NA,02,17,State Highway Agency,State Highway Agency,2000 vehicles
39.20500183,-76.62166595,Anne Arundel County,IS 895B,1957,Fair,21141,NA,02,17,State Highway Agency,State Highway Agency,21141 vehicles
39.202822,-76.631183,Anne Arundel County,MD 695,1957,Fair,92102,NA,07,15,State Highway Agency,State Highway Agency,92102 vehicles
39.1768138888889,-76.60578055555555,Anne Arundel County,MD 270,1977,Fair,16262,NA,03,16,State Highway Agency,State Highway Agency,16262 vehicles
39.1765777777778,-76.6057388888889,Anne Arundel County,MD 270 & RAMP 2,1975,Good,8562,NA,07,15,State Highway Agency,State Highway Agency,8562 vehicles
38.7781777777778,-76.56249722222222,Anne Arundel County,MD 256,1975,Fair,2762,NA,10,16,State Highway Agency,State Highway Agency,2762 vehicles
38.7825527777778,-76.559575,Anne Arundel County,MD 256,1980,Fair,2762,NA,10,16,State Highway Agency,State Highway Agency,2762 vehicles
39.1449333333333,-76.60658055555555,Anne Arundel County,MD 2,1936,Fair,23961,NA,07,15,State Highway Agency,State Highway Agency,23961 vehicles
39.20000076,-76.69499969,Anne Arundel County,IS 195 EBR,1990,Good,39015,NA,08,16,State Highway Agency,State Highway Agency,39015 vehicles
39.20000076,-76.69499969,Anne Arundel County,IS 195 WBR,1990,Good,39015,NA,08,16,State Highway Agency,State Highway Agency,39015 vehicles
39.19666672,-76.69166565,Anne Arundel County,IS 195 EBR,1990,Fair,56601,NA,11,15,State Highway Agency,State Highway Agency,56601 vehicles
39.19666672,-76.69166565,Anne Arundel County,IS 195 WBR,1990,Fair,56601,NA,11,15,State Highway Agency,State Highway Agency,56601 vehicles
39.19833374,-76.69833374,Anne Arundel County,IS 195 RAMP A,1990,Good,3623,NA,03,17,State Highway Agency,State Highway Agency,3623 vehicles
39.1866684,-76.69833374,Anne Arundel County,IS 195 RAMP D,1990,Good,5973,NA,03,17,State Highway Agency,State Highway Agency,5973 vehicles
39.203067,-76.631083,Anne Arundel County,IS 695 RAMP F,1989,Fair,14460,NA,11,15,State Highway Agency,State Highway Agency,14460 vehicles
39.200861,-76.631539,Anne Arundel County,IS 97 RAMP W,1989,Fair,84179,NA,11,15,State Highway Agency,State Highway Agency,84179 vehicles
39.1903444444444,-76.656525,Anne Arundel County,MD 162,1970,Fair,19020,NA,02,17,State Highway Agency,State Highway Agency,19020 vehicles
39.22166824,-76.66166687,Anne Arundel County,IS 695,1951,Fair,128182,NA,05,16,State Highway Agency,State Highway Agency,128182 vehicles
39.12166595,-76.63999939,Anne Arundel County,IS 97 RAMP F,1989,Fair,10999,NA,09,15,State Highway Agency,State Highway Agency,10999 vehicles
39,-76.70666504,Anne Arundel County,MD 3D,1990,Fair,3511,NA,10,15,State Highway Agency,State Highway Agency,3511 vehicles
39.09500122,-76.625,Anne Arundel County,MD 3C,1990,Good,18700,NA,10,15,State Highway Agency,State Highway Agency,18700 vehicles
39.0725055555556,-76.63384166666667,Anne Arundel County,MD 3 SBR,1989,Fair,52720,NA,07,15,State Highway Agency,State Highway Agency,52720 vehicles
39.0655083333333,-76.64566388888889,Anne Arundel County,MD 32 EBR,1989,Fair,39092,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
39.0647666666667,-76.644625,Anne Arundel County,MD 32 EBR,1989,Good,39092,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
39.066969,-76.640536,Anne Arundel County,MD 3 NB,1989,Good,52720,NA,01,17,State Highway Agency,State Highway Agency,52720 vehicles
39.06245,-76.639553,Anne Arundel County,IS 97 NB,1989,Fair,93710,NA,08,16,State Highway Agency,State Highway Agency,93710 vehicles
39.062669,-76.640061,Anne Arundel County,IS 97 SB,1989,Fair,93710,NA,08,16,State Highway Agency,State Highway Agency,93710 vehicles
39.047758,-76.622436,Anne Arundel County,WATERBURY ROAD,1987,Good,999,NA,01,17,State Highway Agency,State Highway Agency,999 vehicles
38.996836,-76.586858,Anne Arundel County,IS 97 NBR,1987,Fair,91300,NA,05,16,State Highway Agency,State Highway Agency,91300 vehicles
38.996619,-76.5869,Anne Arundel County,IS 97 SBR,1987,Fair,91300,NA,05,16,State Highway Agency,State Highway Agency,91300 vehicles
38.989381,-76.578608,Anne Arundel County,IS 97 NBR,1987,Good,91300,NA,04,16,State Highway Agency,State Highway Agency,91300 vehicles
38.989278,-76.578858,Anne Arundel County,IS 97 SBR,1987,Good,91300,NA,04,16,State Highway Agency,State Highway Agency,91300 vehicles
38.98666763,-76.57666779,Anne Arundel County,IS 595 RAMP CC/3,1994,Good,5423,NA,01,17,State Highway Agency,State Highway Agency,5423 vehicles
38.98500061,-76.57833099,Anne Arundel County,"IS 595 RAMP CC""/3",1994,Good,101670,NA,03,15,State Highway Agency,State Highway Agency,101670 vehicles
38.98500061,-76.57666779,Anne Arundel County,IS 595,1987,Fair,159360,NA,12,16,State Highway Agency,State Highway Agency,159360 vehicles
38.98333359,-76.55999756,Anne Arundel County,IS 595 RAMP F,1991,Fair,15006,NA,11,16,State Highway Agency,State Highway Agency,15006 vehicles
38.98166656,-76.55500031,Anne Arundel County,MD 665 WBR,1991,Fair,61602,NA,01,17,State Highway Agency,State Highway Agency,61602 vehicles
38.9793222222222,-76.54928611111112,Anne Arundel County,MD 665,1991,Good,61602,NA,03,15,State Highway Agency,State Highway Agency,61602 vehicles
38.9716,-76.54256666666667,Anne Arundel County,MD 2,1991,Good,33251,NA,06,16,State Highway Agency,State Highway Agency,33251 vehicles
39.20500183,-76.60666656,Anne Arundel County,MD 695 & RAMPS 1,1970,Fair,66222,NA,04,16,State Highway Agency,State Highway Agency,66222 vehicles
39.1517277777778,-76.59936944444445,Anne Arundel County,MD 10 NBR,1988,Fair,43170,NA,08,15,State Highway Agency,State Highway Agency,43170 vehicles
39.1520333333333,-76.599975,Anne Arundel County,MD 10 SBR,1988,Good,43170,NA,08,15,State Highway Agency,State Highway Agency,43170 vehicles
39.179825,-76.73673055555555,Anne Arundel County,MD 100M,1996,Fair,9784,NA,04,15,State Highway Agency,State Highway Agency,9784 vehicles
39.1451555555556,-76.59808611111112,Anne Arundel County,MARLEY STATION RD,1988,Fair,8520,NA,05,15,State Highway Agency,State Highway Agency,8520 vehicles
39.1341833333333,-76.58733055555555,Anne Arundel County,MD 10 NBR,1988,Good,43170,NA,09,15,State Highway Agency,State Highway Agency,43170 vehicles
39.1349083333333,-76.58895,Anne Arundel County,MD 10 SBR,1988,Fair,43170,NA,09,15,State Highway Agency,State Highway Agency,43170 vehicles
39.1330472222222,-76.58699722222222,Anne Arundel County,MD 10 SBR,1988,Good,33320,NA,02,16,State Highway Agency,State Highway Agency,33320 vehicles
39.1319555555556,-76.58469444444444,Anne Arundel County,MD 10 NBR,1988,Good,33320,NA,06,16,State Highway Agency,State Highway Agency,33320 vehicles
39.1316222222222,-76.58550555555556,Anne Arundel County,MD 10 SBR,1988,Good,33320,NA,06,16,State Highway Agency,State Highway Agency,33320 vehicles
39.1211805555556,-76.5753111111111,Anne Arundel County,MD 10 NBR,1991,Good,27110,NA,06,15,State Highway Agency,State Highway Agency,27110 vehicles
39.1178222222222,-76.5766888888889,Anne Arundel County,MD 10,1991,Fair,27110,NA,11,15,State Highway Agency,State Highway Agency,27110 vehicles
39.1791722222222,-76.74057222222223,Anne Arundel County,MD 100 WBR,1996,Fair,83402,NA,06,16,State Highway Agency,State Highway Agency,83402 vehicles
39.1783027777778,-76.73831666666666,Anne Arundel County,MD 100M,1996,Good,9784,NA,02,16,State Highway Agency,State Highway Agency,9784 vehicles
39.1700583333333,-76.73081666666667,Anne Arundel County,MD 295 NBR,1992,Good,88882,659,07,16,State Highway Agency,State Highway Agency,88882 vehicles
39.1707472222222,-76.73084722222222,Anne Arundel County,MD 295 SBR,1992,Good,88882,NA,07,16,State Highway Agency,State Highway Agency,88882 vehicles
39.1680527777778,-76.72666666666667,Anne Arundel County,MD 100N(WRIGHT RD),1995,Good,730,NA,03,15,State Highway Agency,State Highway Agency,730 vehicles
39.1655666666667,-76.72500833333334,Anne Arundel County,MD 100,1995,Good,78282,NA,01,17,State Highway Agency,State Highway Agency,78282 vehicles
39.1589527777778,-76.71881944444445,Anne Arundel County,MD 100 EBR,1995,Good,74302,NA,01,17,State Highway Agency,State Highway Agency,74302 vehicles
39.1588194444444,-76.71815555555555,Anne Arundel County,MD 100 WBR,1995,Good,74302,NA,01,17,State Highway Agency,State Highway Agency,74302 vehicles
39.162025,-76.73850833333333,Anne Arundel County,MD 176B(WRIGHT RD),1990,Good,730,NA,04,16,State Highway Agency,State Highway Agency,730 vehicles
39.1493972222222,-76.70689166666666,Anne Arundel County,MD 100P-HARMANS RD,1995,Good,6211,NA,03,15,State Highway Agency,State Highway Agency,6211 vehicles
39.1480472222222,-76.70394722222223,Anne Arundel County,MD 100 EBR,1995,Good,74302,NA,02,15,State Highway Agency,State Highway Agency,74302 vehicles
39.1478805555556,-76.70156944444444,Anne Arundel County,MD 100 WBR,1995,Good,74302,NA,02,15,State Highway Agency,State Highway Agency,74302 vehicles
39.1474944444444,-76.69777500000001,Anne Arundel County,MD 100 EBR,1995,Good,35421,NA,02,15,State Highway Agency,State Highway Agency,35421 vehicles
39.1476722222222,-76.69670833333333,Anne Arundel County,MD 100 WBR,1995,Good,35421,NA,02,15,State Highway Agency,State Highway Agency,35421 vehicles
39.0871361111111,-76.55161111111111,Anne Arundel County,MD 648H,1989,Fair,14962,NA,06,15,State Highway Agency,State Highway Agency,14962 vehicles
39.1487388888889,-76.68776666666666,Anne Arundel County,MD 100 EBR,1995,Good,68782,NA,07,16,State Highway Agency,State Highway Agency,68782 vehicles
39.1490777777778,-76.6873138888889,Anne Arundel County,MD 100 WBR,1995,Good,68782,NA,07,16,State Highway Agency,State Highway Agency,68782 vehicles
39.1533555555556,-76.67655,Anne Arundel County,MD 100Q,1995,Good,1211,NA,01,17,State Highway Agency,State Highway Agency,1211 vehicles
39.1553888888889,-76.66861666666667,Anne Arundel County,MD 100R (WB&A RD),1995,Fair,4131,NA,08,16,State Highway Agency,State Highway Agency,4131 vehicles
39.1568944444444,-76.65305833333333,Anne Arundel County,MD 100 & RPS 1 & 6,1996,Fair,69652,NA,04,15,State Highway Agency,State Highway Agency,69652 vehicles
39.1540055555556,-76.64898333333333,Anne Arundel County,MD 100 EBR,1996,Good,34826,NA,11,16,State Highway Agency,State Highway Agency,34826 vehicles
39.15405,-76.64865833333333,Anne Arundel County,MD 100 WBR,1996,Good,34826,NA,11,16,State Highway Agency,State Highway Agency,34826 vehicles
39.15166855,-76.64499664,Anne Arundel County,MD 100 EBR,1996,Good,36794,NA,01,17,State Highway Agency,State Highway Agency,36794 vehicles
39.15166855,-76.64499664,Anne Arundel County,MD 100 WBR,1996,Good,36794,NA,01,17,State Highway Agency,State Highway Agency,36794 vehicles
39.1525277777778,-76.64323888888889,Anne Arundel County,MD 100 EBR,1996,Good,75406,NA,01,17,State Highway Agency,State Highway Agency,75406 vehicles
39.1528194444444,-76.64305277777778,Anne Arundel County,MD 100 WBR,1996,Good,75406,NA,01,17,State Highway Agency,State Highway Agency,75406 vehicles
39.15333176,-76.64833069,Anne Arundel County,MD 100 RAMP 2,1996,Good,43587,NA,11,16,State Highway Agency,State Highway Agency,43587 vehicles
