year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e
1975,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,300.62130000000000000000,Million bbl/yr,119.88112976984426000000
1975,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,85.89545000000000000000,Bcf/yr,6.26095288080623300000
1976,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,347.39970000000000000000,Million bbl/yr,138.53532174102418000000
1976,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.76597999999998000000,Bcf/yr,7.12620044630820700000
1977,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,361.72229999999996000000,Million bbl/yr,144.24685804680680000000
1977,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,145.12400000000000000000,Bcf/yr,10.57814501087221300000
1978,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,316.73969999999997000000,Million bbl/yr,126.30879142283510000000
1978,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,190.96800000000002000000,Bcf/yr,13.91973206662057900000
1979,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,322.91550000000000000000,Million bbl/yr,128.77156395835604000000
1979,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,202.04939999999996000000,Bcf/yr,14.72745963837631000000
1980,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,294.18269999999995000000,Million bbl/yr,117.31355840302452000000
1980,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,254.22250000000000000000,Bcf/yr,18.53037726376382500000
1981,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,248.12700000000000000000,Million bbl/yr,98.94756321791618000000
1981,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,312.73199999999997000000,Bcf/yr,22.79515755864012000000
1982,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,199.72799999999998000000,Million bbl/yr,79.64711178706050000000
1982,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,329.29935000000000000000,Bcf/yr,24.00275816740141000000
1983,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,185.71200000000000000000,Million bbl/yr,74.05784078445976000000
1983,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,310.95079999999996000000,Bcf/yr,22.66532519532760000000
1984,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,179.58000000000000000000,Million bbl/yr,71.61253472082194000000
1984,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,355.27640000000000000000,Bcf/yr,25.89623548235054800000
1985,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,173.88600000000000000000,Million bbl/yr,69.34189337601539000000
1985,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,385.58600000000000000000,Bcf/yr,28.10551405806189000000
1986,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,284.64300000000000000000,Million bbl/yr,113.50933690020557000000
1986,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,397.30980000000000000000,Bcf/yr,28.96006641658606600000
1987,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,395.40000000000000000000,Million bbl/yr,157.67678042439582000000
1987,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,408.69780000000000000000,Bcf/yr,29.79014218202674000000
1988,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,378.60000000000000000000,Million bbl/yr,150.97731175689492000000
1988,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,419.75000000000000000000,Bcf/yr,30.59574135438391500000
1989,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,536.60000000000000000000,Million bbl/yr,213.98421946315320000000
1989,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,461.50600000000003000000,Bcf/yr,33.63935249433307000000
1990,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,595.70000000000000000000,Million bbl/yr,237.55199316846884000000
1990,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,487.88820000000000000000,Bcf/yr,35.56236135093729400000
1991,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,722.70000000000000000000,Million bbl/yr,288.19678607160050000000
1991,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,554.65254000000000000000,Bcf/yr,40.42884015578816600000
1992,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,672.30000000000000000000,Million bbl/yr,268.09838006909786000000
1992,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,586.67910000000000000000,Bcf/yr,42.76326861613516000000
1993,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,654.10000000000000000000,Million bbl/yr,260.84062234597190000000
1993,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,599.17451000000000000000,Bcf/yr,43.67406392876645000000
1994,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,678.20000000000000000000,Million bbl/yr,270.45116966066070000000
1994,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,696.55140000000000000000,Bcf/yr,50.77190345308877000000
1995,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,683.60000000000000000000,Million bbl/yr,272.60457030378600000000
1995,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,621.36870000000000000000,Bcf/yr,45.29180710163139000000
1996,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.80000000000000000000,Million bbl/yr,268.69654691441040000000
1996,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,666.93436950000000000000,Bcf/yr,48.61310653858514000000
1997,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,708.10000000000000000000,Million bbl/yr,282.37462877722476000000
1997,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,712.68142050000000000000,Bcf/yr,51.94762694387831000000
1998,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,748.30000000000000000000,Million bbl/yr,298.40550023160190000000
1998,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,861.67363975000000000000,Bcf/yr,62.80772796588822600000
1999,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.40000000000000000000,Million bbl/yr,268.53703575566044000000
1999,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1023.42869999999990000000,Bcf/yr,74.59811745051428000000
2000,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,695.40000000000000000000,Million bbl/yr,277.31014948691154000000
2000,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1031.83367000000000000000,Bcf/yr,75.21075899479386000000
2001,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,669.80000000000000000000,Million bbl/yr,267.10143532691020000000
2001,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1081.02746500000000000000,Bcf/yr,78.79651391572438000000
2002,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,616.90000000000000000000,Million bbl/yr,246.00608458221996000000
2002,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1190.53928000000000000000,Bcf/yr,86.77887286030838000000
2003,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,675.30000000000000000000,Million bbl/yr,269.29471375972300000000
2003,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1228.85605500000000000000,Bcf/yr,89.57179754746532000000
2004,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,713.60000000000000000000,Million bbl/yr,284.56790721003750000000
2004,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1269.64487999999980000000,Bcf/yr,92.54491092411627000000
2005,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,839.50000000000000000000,Million bbl/yr,334.77404442660660000000
2005,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1279.53308000000000000000,Bcf/yr,93.26566568209225000000
2006,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,894.30000000000000000000,Million bbl/yr,356.62707317535950000000
2006,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1341.33433000000000000000,Bcf/yr,97.77038291944214000000
2007,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,846.80000000000000000000,Million bbl/yr,337.68512307379450000000
2007,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1396.21384000000000000000,Bcf/yr,101.77057182620884000000
2008,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,888.80000000000000000000,Million bbl/yr,354.43379474254670000000
2008,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1382.86477000000000000000,Bcf/yr,100.79755290294128000000
2009,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,779.30000000000000000000,Million bbl/yr,310.76761503472846000000
2009,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1305.21768300000000000000,Bcf/yr,95.13782642105124000000
2010,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,789.10000000000000000000,Million bbl/yr,314.67563842410400000000
2010,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1394.23620000000000000000,Bcf/yr,101.62642087461366000000
2011,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,913.19100000000000000000,Million bbl/yr,364.16038642522620000000
2011,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1618.07775400000000000000,Bcf/yr,117.94231912487538000000
2012,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,948.20000000000000000000,Million bbl/yr,378.12120181692490000000
2012,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1959.13681300000000000000,Bcf/yr,142.80224707182848000000
2013,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,996.92800000000000000000,Million bbl/yr,397.55285117585240000000
2013,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1934.14914600000000000000,Bcf/yr,140.98088626996673000000
2014,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1002.17900000000000000000,Million bbl/yr,399.64683391234330000000
2014,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1964.32058900000000000000,Bcf/yr,143.18009452801684000000
2015,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1068.57500000000000000000,Million bbl/yr,426.12409115325930000000
2015,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1918.42799600000000000000,Bcf/yr,139.83496550952960000000
2016,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1095.00000000000000000000,Million bbl/yr,436.66179707818260000000
2016,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1965.86917700000000000000,Bcf/yr,143.29297171184652000000
2017,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1186.25000000000000000000,Million bbl/yr,473.05028016803110000000
2017,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2129.69160900000000000000,Bcf/yr,155.23405273035310000000
2018,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.50000000000000000000,Million bbl/yr,509.43876325787970000000
2018,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2510.13494100000000000000,Bcf/yr,182.96471571039360000000
2019,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1350.50000000000000000000,Million bbl/yr,538.54954972975850000000
2019,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2612.58942900000000000000,Bcf/yr,190.43266333503647000000
2020,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.50000000000000000000,Million bbl/yr,509.43876325787970000000
2020,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.43029400000000000000,Bcf/yr,196.03362398062820000000
2021,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.50000000000000000000,Million bbl/yr,509.43876325787970000000
2021,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.43029400000000000000,Bcf/yr,196.03362398062820000000
2022,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.50000000000000000000,Million bbl/yr,509.43876325787970000000
2022,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.43029400000000000000,Bcf/yr,196.03362398062820000000
2012,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.00000000000000000000,Million tonnes/yr,8.07636177449011000000
2013,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.09000000000000000000,Million tonnes/yr,8.25807991441613600000
2014,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,7.92000000000000000000,Million tonnes/yr,15.99119631349041800000
2015,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,10.36000000000000000000,Million tonnes/yr,20.91777699592938300000
2016,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.45000000000000000000,Million tonnes/yr,23.11858557947794000000
2017,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.15000000000000000000,Million tonnes/yr,22.51285844639118000000
2018,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,16.90000000000000000000,Million tonnes/yr,34.12262849722071000000
2019,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,13.26100000000000000000,Million tonnes/yr,26.77515837287833400000
2020,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,15.72000000000000000000,Million tonnes/yr,31.74010177374613300000
2021,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,26.78000000000000000000,Million tonnes/yr,54.07124208021129000000
2022,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,34.90000000000000000000,Million tonnes/yr,70.46625648242620000000
1992,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.00000000000000000000,Million tonnes/yr,2.01909044362252740000
1993,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.40000000000000000000,Million tonnes/yr,2.82672662107153850000
1994,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,2.40000000000000000000,Million tonnes/yr,4.84581706469406550000
1995,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,5.50000000000000000000,Million tonnes/yr,11.10499743992390000000
1996,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,8.60000000000000000000,Million tonnes/yr,17.36417781515373400000
1997,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,9.40000000000000000000,Million tonnes/yr,18.97945017005176000000
1998,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,10.90000000000000000000,Million tonnes/yr,22.00808583548555000000
1999,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,13.60000000000000000000,Million tonnes/yr,27.45963003326637000000
2000,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,15.50000000000000000000,Million tonnes/yr,31.29590187614917300000
2001,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,17.70000000000000000000,Million tonnes/yr,35.73790085211873400000
2002,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,20.80000000000000000000,Million tonnes/yr,41.99708122734857000000
2003,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,22.50000000000000000000,Million tonnes/yr,45.42953498150687000000
2004,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,24.30000000000000000000,Million tonnes/yr,49.06389778002742000000
2005,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,26.70000000000000000000,Million tonnes/yr,53.90971484472148500000
2006,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,34.40000000000000000000,Million tonnes/yr,69.45671126061494000000
2007,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,36.10000000000000000000,Million tonnes/yr,72.88916501477324000000
2008,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,38.50000000000000000000,Million tonnes/yr,77.73498207946731000000
2009,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,40.60000000000000000000,Million tonnes/yr,81.97507201107462000000
2010,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,42.20000000000000000000,Million tonnes/yr,85.20561672087067000000
2011,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.70000000000000000000,Million tonnes/yr,96.31061416079457000000
2012,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.20000000000000000000,Million tonnes/yr,95.30106893898329000000
2013,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.30000000000000000000,Million tonnes/yr,105.59843020145817000000
2014,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,56.20000000000000000000,Million tonnes/yr,113.47288293158606000000
2015,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,51.50000000000000000000,Million tonnes/yr,103.98315784656018000000
2016,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.38000000000000000000,Million tonnes/yr,105.75995743694800000000
2016,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.22000000000000000000,Million tonnes/yr,0.65265575668636210000
2017,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,50.90000000000000000000,Million tonnes/yr,102.77170358038664000000
2017,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.90000000000000000000,Million tonnes/yr,2.66995536826239000000
2018,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,48.23000000000000000000,Million tonnes/yr,97.38073209591448000000
2018,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.77000000000000000000,Million tonnes/yr,17.11738052763777000000
2019,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.80730000000000000000,Million tonnes/yr,106.62271478350789000000
2019,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.22270000000000000000,Million tonnes/yr,15.49375100202665200000
2020,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.62230000000000000000,Million tonnes/yr,100.19191172057015000000
2020,Adaro Energy,Investor-owned Company,Metallurgical Coal,4.90770000000000000000,Million tonnes/yr,14.55926662313481600000
2021,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.85420000000000000000,Million tonnes/yr,100.66013879444621000000
2021,Adaro Energy,Investor-owned Company,Metallurgical Coal,2.84580000000000000000,Million tonnes/yr,8.44239887444568000000
2022,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,59.51000000000000000000,Million tonnes/yr,120.15607229997661000000
2022,Adaro Energy,Investor-owned Company,Metallurgical Coal,3.37000000000000000000,Million tonnes/yr,9.99749954560472900000
1996,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,8.16474644100000000000,Million tonnes/yr,22.16025695492802700000
1997,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,9.88841513410000000000,Million tonnes/yr,26.83853342319061000000
1998,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.15640025660000000000,Million tonnes/yr,32.99416035511506000000
1999,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.79143609090000000000,Million tonnes/yr,34.71773589605391000000
2000,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.42855847129999900000,Million tonnes/yr,33.73283558694599500000
2001,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,14.24294656929999900000,Million tonnes/yr,38.65733713248555000000
2002,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,16.32949288200000000000,Million tonnes/yr,44.32051390985605400000
2003,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,17.41812574080000000000,Million tonnes/yr,47.27521483717979000000
2004,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,18.48589313647300000000,Million tonnes/yr,50.17328399672982000000
2005,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,20.77474372210000000000,Million tonnes/yr,56.38554269642797600000
2006,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,21.50049896130000000000,Million tonnes/yr,58.35534331464381000000
2007,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,22.04481539070000200000,Million tonnes/yr,59.83269377830567500000
2008,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.97623152102100000000,Million tonnes/yr,65.07482567353253000000
2009,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.44007983806200000000,Million tonnes/yr,63.61963546682560000000
2010,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,26.18162025414000000000,Million tonnes/yr,71.06055730213588000000
2011,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,27.89893858889700000000,Million tonnes/yr,75.72159801498907000000
2012,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.57035290519999600000,Million tonnes/yr,85.68632689238837000000
2013,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,35.18279960831800000000,Million tonnes/yr,95.49100946955764000000
2014,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.96725030270100400000,Million tonnes/yr,100.33425673959580000000
2015,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,37.35643654972200000000,Million tonnes/yr,101.39056232111403000000
2016,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.97314706295600000000,Million tonnes/yr,86.77956623549815000000
2017,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,34.11866098884100000000,Million tonnes/yr,92.60278931309870000000
2018,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.52907557703400000000,Million tonnes/yr,99.14498961634798000000
2019,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.10500000000000000000,Million bbl/yr,0.44064957604693311000
2019,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.66400000000000000000,Bcf/yr,0.26707039028579554000
2019,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.27052527306900500000,Million tonnes/yr,98.44324814610863000000
2020,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.28500000000000010000,Million bbl/yr,0.51242959748444257000
2020,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.63500000000000020000,Bcf/yr,0.26495656896530206000
2020,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,24.48516738251000000000,Million tonnes/yr,66.45614835705638000000
2021,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.18200000000000010000,Million bbl/yr,0.47135547410631218000
2021,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.49000000000000000000,Bcf/yr,0.25438746236283470000
2021,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,29.21799873614300200000,Million tonnes/yr,79.30171063859635000000
2022,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.51300000000000010000,Million bbl/yr,0.60335095797195464000
2022,Alliance Resource Partners,Investor-owned Company,Natural Gas,4.83800000000000000000,Bcf/yr,0.35264370857060010000
2022,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,32.18452327637300000000,Million tonnes/yr,87.35327066555351000000
1981,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,9.26865652923262400000,Million tonnes/yr,25.15642240686777600000
1981,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,3.44028867713563220000,Million tonnes/yr,10.20601913543399800000
1982,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.26243258901845200000,Million tonnes/yr,33.28194684657596000000
1982,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.55150191968351800000,Million tonnes/yr,13.50256331568398200000
1983,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.05336122001816400000,Million tonnes/yr,32.71449808470142500000
1983,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.47389996557103050000,Million tonnes/yr,13.27234803349477600000
1984,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,15.57515514256712300000,Million tonnes/yr,42.27313641229047000000
1984,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.78109996131310100000,Million tonnes/yr,17.15030986241046000000
1985,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,16.14811655065415500000,Million tonnes/yr,43.82823333051282000000
1985,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.99376860601042700000,Million tonnes/yr,17.78121629526680500000
1986,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,15.36873024911851500000,Million tonnes/yr,41.71287055299276000000
1986,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.70448031147370750000,Million tonnes/yr,16.92300870085148600000
1987,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.73710769550201700000,Million tonnes/yr,31.85614205162404400000
1987,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.35651473194359500000,Million tonnes/yr,12.92411099496332500000
1988,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.24751019018151500000,Million tonnes/yr,30.52730635528057600000
1988,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.17478863828251600000,Million tonnes/yr,12.38499926238137600000
