species,authority,country,kingdom,environment_system,origin
Acacia longifolia,Willd. (Andrews),South Africa,Plantae,terrestrial,Alien
Acacia longifolia,Willd. (Andrews),Zimbabwe,Plantae,terrestrial,Alien
Acacia longifolia,Willd. (Andrews),Kenya,Plantae,terrestrial,Alien
Acacia macracantha,Willd.,Algeria,Plantae,terrestrial,Alien
Acacia mangium,Willd.,Cameroon,Plantae,terrestrial,Alien
Acacia mangium,Willd.,Comoros,Plantae,terrestrial,Alien
Acacia mangium,Willd.,Madagascar,Plantae,terrestrial,Alien
Acacia mangium,Willd.,Seychelles,Plantae,terrestrial,Alien
Acacia mearnsii,Mill.,Swaziland,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Algeria,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Burundi,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Madagascar,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Malawi,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Morocco,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Rwanda,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Seychelles,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,South Africa,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Sudan,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Zambia,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Zimbabwe,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Ethiopia,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Kenya,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,Uganda,Plantae,terrestrial,Alien
Acacia mearnsii,De Wild.,United Republic of Tanzania,Plantae,terrestrial,Alien
Acacia melanoxylon,Mill.,Swaziland,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Algeria,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Burundi,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Lesotho,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Madagascar,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Mauritius,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Rwanda,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,South Africa,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Zimbabwe,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Ethiopia,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Kenya,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,Uganda,Plantae,terrestrial,Alien
Acacia melanoxylon,R.Br.,United Republic of Tanzania,Plantae,terrestrial,Alien
Acacia nilotica,Delile (L.),Mauritius,Plantae,terrestrial,Alien
Acacia paradoxa,DC.,South Africa,Plantae,terrestrial,Alien
Acacia pendula,G.Don,Algeria,Plantae,terrestrial,Alien
Acacia podalyriifolia,Mill.,Swaziland,Plantae,terrestrial,Alien
Acacia podalyriifolia,G.Don,Burundi,Plantae,terrestrial,Alien
Acacia podalyriifolia,G.Don,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acacia podalyriifolia,A.Cunn. ex G.Don,South Africa,Plantae,terrestrial,Alien
Acacia podalyriifolia,G.Don,Zimbabwe,Plantae,terrestrial,Alien
Acacia podalyriifolia,G.Don,Ethiopia,Plantae,terrestrial,Alien
Acacia podalyriifolia,G.Don,Kenya,Plantae,terrestrial,Alien
Acacia podalyriifolia,G.Don,Uganda,Plantae,terrestrial,Alien
Acacia podalyriifolia,G.Don,United Republic of Tanzania,Plantae,terrestrial,Alien
Acacia polyacantha,Willd.,Kenya,Plantae,terrestrial,Alien
Acacia polystachya,A.Cunn. ex Benth.,Seychelles,Plantae,terrestrial,Alien
Acacia pycnantha,Benth.,Algeria,Plantae,terrestrial,Alien
Acacia pycnantha,Benth.,South Africa,Plantae,terrestrial,Alien
Acacia retinodes,Schltdl.,Algeria,Plantae,terrestrial,Alien
Acacia retinodes,Schltdl.,Mauritius,Plantae,terrestrial,Alien
Acacia retinodes,Schltdl.,Ethiopia,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Algeria,Plantae,terrestrial,Alien
Acacia saligna,H.L.Wendl. (Labill.),Angola,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Botswana,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Burundi,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Chad,Plantae,terrestrial,Alien
Acacia saligna,H.L.Wendl. (Labill.),Egypt,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Gambia (the),Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Libya,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Mauritius,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Morocco,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Mozambique,Plantae,terrestrial,Alien
Acacia saligna,H.L.Wendl. (Labill.),Namibia,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Niger,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Senegal,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Somalia,Plantae,terrestrial,Alien
Acacia saligna,H.L.Wendl. (Labill.),South Africa,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Sudan,Plantae,terrestrial,Alien
Acacia saligna,H.L.Wendl. (Labill.),Tunisia,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Zambia,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Ethiopia,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Kenya,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),Uganda,Plantae,terrestrial,Alien
Acacia saligna,Wendl. (Labill.),United Republic of Tanzania,Plantae,terrestrial,Alien
Acacia stricta,Willd. (Andrews),South Africa,Plantae,terrestrial,Alien
Acacia viscidula,Benth.,South Africa,Plantae,terrestrial,Alien
Acacia visco,Griseb.,Algeria,Plantae,terrestrial,Alien
Acalypha hispida,Burm. f.,Algeria,Plantae,terrestrial,Alien
Acalypha hispida,Burm. f.,Equatorial Guinea,Plantae,terrestrial,Alien
Acalypha hispida,Burm. f.,Rwanda,Plantae,terrestrial,Alien
Acalypha hispida,Burm. f.,Seychelles,Plantae,terrestrial,Alien
Acalypha indica,L.,Algeria,Plantae,terrestrial,Alien
Acalypha indica,L.,Nigeria,Plantae,terrestrial,Alien
Acalypha indica,L.,Seychelles,Plantae,terrestrial,Alien
Acalypha wilkesiana,Müll.Arg.,Algeria,Plantae,terrestrial,Alien
Acalypha wilkesiana,Müll.Arg.,Seychelles,Plantae,terrestrial,Alien
Acalypha wilkesiana,Müll.Arg.,South Africa,Plantae,terrestrial,Alien
Acalypha wilkesiana,Müll.Arg.,Zimbabwe,Plantae,terrestrial,Alien
Acanthaster planci,"Linnaeus, 1758",Sudan,Animalia,marine,Cryptogenic/Uncertain
Acanthaster planci,"Linnaeus, 1758",Egypt,Animalia,marine,Alien
Acanthaster planci,"Linnaeus, 1758",Mauritius,Animalia,marine,Alien
Acanthocereus acutangulus,A.Berger (Hort. ex Pfieiff.),Algeria,Plantae,terrestrial,Alien
Acanthophis antarcticus,"(Shaw, 1802)",South Africa,Animalia,terrestrial,Alien
Acanthophora nayadiformis,Papenfuss (Delile),Libya,Plantae,marine,Alien
Acanthophora spicifera,Børgesen (M. Vahl),Angola,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Cameroon,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Equatorial Guinea,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Gabon,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Guinea-Bissau,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Mauritania,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Mozambique,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Sao Tome and Principe,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Senegal,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),Sierra Leone,Plantae,marine,Cryptogenic/Uncertain
Acanthophora spicifera,Børgesen (M. Vahl),United Republic of Tanzania,Plantae,marine,Cryptogenic/Uncertain
Acanthopleura gemmata,"(de Blainville, 1825)",Libya,Animalia,marine,Cryptogenic/Uncertain
Acanthospermum australe,Kuntze (Loefl.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acanthospermum australe,Kuntze (Loefl.),Ghana,Plantae,terrestrial,Alien
Acanthospermum australe,Kuntze (Loefl.),Madagascar,Plantae,terrestrial,Alien
Acanthospermum australe,Kuntze (Loefl.),Malawi,Plantae,terrestrial,Alien
Acanthospermum australe,Kuntze (Loefl.),Mozambique,Plantae,terrestrial,Alien
Acanthospermum australe,Kuntze (Loefl.),Nigeria,Plantae,terrestrial,Alien
Acanthospermum australe,Kuntze (Loefl.),South Africa,Plantae,terrestrial,Alien
Acanthospermum australe,Kuntze (Loefl.),Zimbabwe,Plantae,terrestrial,Alien
Acanthospermum glabratum,Wild (DC.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acanthospermum glabratum,Wild (DC.),South Africa,Plantae,terrestrial,Alien
Acanthospermum glabratum,Wild (DC.),Zimbabwe,Plantae,terrestrial,Alien
Acanthospermum glabratum,Schrank,Swaziland,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Angola,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Benin,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Botswana,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Burundi,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Chad,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Gambia (the),Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Ghana,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Guinea,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Guinea-Bissau,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Madagascar,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Malawi,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Mali,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Mauritius,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Mozambique,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Namibia,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Niger,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Nigeria,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Senegal,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Sierra Leone,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Somalia,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,South Africa,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Zambia,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Zimbabwe,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Ethiopia,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Kenya,Plantae,terrestrial,Alien
Acanthospermum hispidum,DC.,Uganda,Plantae,terrestrial,Alien
Acanthospermum hispidum,Schrank,Swaziland,Plantae,terrestrial,Alien
Acanthus mollis,L.,South Africa,Plantae,terrestrial,Alien
Acanthus polystachyus,Del.,South Africa,Plantae,terrestrial,Alien
Acar plicata,"(Dillwyn, 1817)",Egypt,Animalia,marine,Alien
Acarapis woodi,"Rennie, 1921 (Rennie, 1921)",South Africa,Animalia,host,Alien
Acartia spinicauda,"Giesbrecht, 1889",South Africa,Animalia,marine,Alien
Acca sellowiana,Burret (O.Berg),Democratic Republic of the Congo,Plantae,host,Alien
Acer buergerianum,Miq.,South Africa,Plantae,terrestrial,Alien
Acer negundo,L.,Algeria,Plantae,terrestrial,Alien
Acer negundo,L.,South Africa,Plantae,terrestrial,Alien
Acer oblongum,Wall. ex DC.,Algeria,Plantae,terrestrial,Alien
Acer pseudoplatanus,L.,Algeria,Plantae,terrestrial,Alien
Acer saccharinum,L.,Algeria,Plantae,terrestrial,Alien
Aceria lantanae,"(Cook, 1909)",South Africa,Animalia,terrestrial,Alien
Achatina immaculata,"Lamarck, 1799",Seychelles,Animalia,terrestrial,Alien
Achetaria azurea,V.C.Souza (Linden),Madagascar,Plantae,terrestrial,Alien
Achetaria azurea,V.C.Souza (Linden),Seychelles,Plantae,terrestrial,Alien
Achillea filipendulina,Lam.,Algeria,Plantae,terrestrial,Alien
Achillea millefolium,L.,Algeria,Plantae,terrestrial,Alien
Achillea millefolium,L.,South Africa,Plantae,terrestrial,Alien
Achillea millefolium,L.,Zimbabwe,Plantae,terrestrial,Alien
Achillea roseo-alba,Ehrend.,Algeria,Plantae,terrestrial,Alien
Achroia grisella,"Fabricius, 1794",South Africa,Animalia,terrestrial,Alien
Achyranthes aquatica,R. Br.,Madagascar,Plantae,terrestrial,Alien
Achyranthes aspera,L.,Comoros,Plantae,terrestrial,Alien
Achyranthes aspera,L.,Madagascar,Plantae,terrestrial,Alien
Achyranthes aspera,L.,Mauritius,Plantae,terrestrial,Alien
Achyranthes aspera,L.,Namibia,Plantae,terrestrial,Alien
Achyranthes aspera,L.,South Africa,Plantae,terrestrial,Alien
Achyranthes aspera,C.C. Towns. (Moq.),Zimbabwe,Plantae,terrestrial,Alien
Achyranthes aspera,L.,Kenya,Plantae,terrestrial,Alien
Achyranthes aspera,L.,Uganda,Plantae,terrestrial,Alien
Achyranthes aspera,L.,United Republic of Tanzania,Plantae,terrestrial,Alien
Achyranthes aspera var. aspera,NA,Seychelles,Plantae,terrestrial,Alien
Achyranthes aspera var.aspera,L.,Swaziland,Plantae,terrestrial,Alien
Achyranthes aspera var.pubescens,L.,Swaziland,Plantae,terrestrial,Alien
Achyranthes aspera var.sicula,L.,Swaziland,Plantae,terrestrial,Alien
Achyranthes uncinulata,Schrad.,Madagascar,Plantae,terrestrial,Alien
Acmella decumbens,R.K.Jansen (Sm.),South Africa,Plantae,terrestrial,Alien
Acmella oleracea,R. K. Jansen (L.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acmella oleracea,R.K.Jansen (L.),Madagascar,Plantae,terrestrial,Alien
Acokanthera oblongifolia,(Hochst.) Codd,Algeria,Plantae,terrestrial,Alien
Aconophora compressa,Walker,South Africa,Animalia,terrestrial,Alien
Acorus calamus,L.,South Africa,Plantae,terrestrial,Alien
Acorus gramineus,Aiton,Algeria,Plantae,terrestrial,Alien
Acrantophis dumerili,"Jan, 1860",South Africa,Animalia,terrestrial,Alien
Acrantophis madagascariensis,"(Duméril & Bibron, 1844)",South Africa,Animalia,terrestrial,Alien
Acridotheres tristis,"Linnaeus, 1766",South Africa,Animalia,terrestrial,Alien
Acridotheres tristis,"Linnaeus, 1766",Swaziland,Animalia,terrestrial,Alien
Acridotheres tristis,"Linnaeus, 1766",Mauritius,Animalia,terrestrial,Alien
Acridotheres tristis,"Linnaeus, 1766",Zimbabwe,Animalia,terrestrial,Alien
Acridotheres tristis,"Linnaeus, 1766",Seychelles,Animalia,terrestrial,Alien
Acridotheres tristis,"Linnaeus, 1766",Botswana,Animalia,terrestrial,Alien
Acridotheres tristis,"Linnaeus, 1766",Comoros,Animalia,terrestrial,Alien
Acridotheres tristis,"Linnaeus, 1766",Egypt,Animalia,terrestrial,Alien
Acrocarpus fraxinifolius,Arn.,Ethiopia,Plantae,terrestrial,Alien
Acrocarpus fraxinifolius,Arn.,Kenya,Plantae,terrestrial,Alien
Acrocarpus fraxinifolius,Arn.,Uganda,Plantae,terrestrial,Alien
Acrocarpus fraxinifolius,Arn.,United Republic of Tanzania,Plantae,terrestrial,Alien
Acrochaetium robustum,Børgesen,Egypt,Plantae,marine,Alien
Acrochaetium spathoglossi,Børgesen,Egypt,Plantae,marine,Alien
Acrochaetium subseriatum,Børgesen,Egypt,Plantae,marine,Alien
Acrocomia aculeata,Lodd. ex R.Keith (Jacq.),Seychelles,Plantae,terrestrial,Alien
Acteocina knockeri,"(E. A. Smith, 1871)",Tunisia,Animalia,marine,Alien
Actinidia chinensis,C.F. Liang,South Africa,Plantae,terrestrial,Alien
Aculops lycopersici,"(Massee, 1937)",South Africa,Animalia,terrestrial,Alien
Aculops lycopersici,"(Massee, 1937)",Kenya,Animalia,host,Alien
Adansonia digitata,L.,Algeria,Plantae,terrestrial,Alien
