Category,Subcategory,country_iso3,region_code,population,hoursPerDayCombined,uncertaintyCombined
Nonfood provision,Energy,AFG,AS_S,36296111,0.02,0.0021921920270491
Technosphere modification,Infrastructure,AFG,AS_S,36296111,0.07,0.00134088464016097
Technosphere modification,Buildings,AFG,AS_S,36296111,0.2,0.01916953223309574
Technosphere modification,Artifacts,AFG,AS_S,36296111,0.18,0.0194647466278746
Maintenance of surroundings,Inhabited environment,AFG,AS_S,36296111,0.68,0.1810142854669486
Somatic maintenance,Sleep & bedrest,AFG,AS_S,36296111,9.49,0.9778074442429884
Maintenance of surroundings,Waste management,AFG,AS_S,36296111,0,3.610323978078285e-5
Somatic maintenance,Physical child care,AFG,AS_S,36296111,0.27,0.06265228229261695
Somatic maintenance,Health care,AFG,AS_S,36296111,0.06,0.04361234163952587
Somatic maintenance,Hygiene & grooming,AFG,AS_S,36296111,1.2,0.10438482952116931
Deliberate neural restructuring,Schooling & research,AFG,AS_S,36296111,1.33,0.28319618125468565
Deliberate neural restructuring,Religious practice,AFG,AS_S,36296111,0.29,0.15290740322381108
Organization,Human transportation,AFG,AS_S,36296111,0.75,0.12083658400016847
Organization,Material transportation,AFG,AS_S,36296111,0.25,0.04214013834810902
Organization,Allocation,AFG,AS_S,36296111,0.74,0.21059915297904583
Experience oriented,Social,AFG,AS_S,36296111,1.8,0.5904755711509583
Experience oriented,Active recreation,AFG,AS_S,36296111,0.23,0.0986891342010895
Experience oriented,Meals,AFG,AS_S,36296111,1.62,0.3453722402778969
Experience oriented,Passive,AFG,AS_S,36296111,2.05,0.894595688220555
Experience oriented,Interactive,AFG,AS_S,36296111,0.62,0.3458969290788429
Food provision,Food preparation,AGO,AF_M,31825299,0.81,0.2156886519294237
Food provision,Food growth & collection,AGO,AF_M,31825299,1.06,0.5324487148124554
Food provision,Food processing,AGO,AF_M,31825299,0.02,0.01082390783523981
Nonfood provision,Materials,AGO,AF_M,31825299,0.1,0.01452913047866289
Nonfood provision,Energy,AGO,AF_M,31825299,0.08,0.01124239378260669
Technosphere modification,Infrastructure,AGO,AF_M,31825299,0.02,0.01399450689135183
Technosphere modification,Buildings,AGO,AF_M,31825299,0.03,0.08470887227544933
Technosphere modification,Artifacts,AGO,AF_M,31825299,0.42,0.11576952233863248
Maintenance of surroundings,Inhabited environment,AGO,AF_M,31825299,0.72,0.20012078523141863
Somatic maintenance,Sleep & bedrest,AGO,AF_M,31825299,9.79,1.2913986617555109
Maintenance of surroundings,Waste management,AGO,AF_M,31825299,0,1.8352121274089e-4
Somatic maintenance,Physical child care,AGO,AF_M,31825299,0.27,0.0635982296062593
Somatic maintenance,Health care,AGO,AF_M,31825299,0.05,0.06232277739498799
Somatic maintenance,Hygiene & grooming,AGO,AF_M,31825299,0.82,0.10508557428184533
Deliberate neural restructuring,Schooling & research,AGO,AF_M,31825299,1.95,0.31870429108437115
Deliberate neural restructuring,Religious practice,AGO,AF_M,31825299,0.44,0.15411027242639344
Organization,Human transportation,AGO,AF_M,31825299,1.02,0.12750643165843678
Organization,Material transportation,AGO,AF_M,31825299,0.48,0.06086319438366949
Organization,Allocation,AGO,AF_M,31825299,0.49,0.32525596672528156
Experience oriented,Social,AGO,AF_M,31825299,1.05,0.5931809745164189
Experience oriented,Active recreation,AGO,AF_M,31825299,0.44,0.09982094144370052
Experience oriented,Meals,AGO,AF_M,31825299,1.14,0.3473798389695329
Experience oriented,Passive,AGO,AF_M,31825299,1.84,0.90549918184371
Experience oriented,Interactive,AGO,AF_M,31825299,0.96,0.3512973105576911
Food provision,Food preparation,ALB,EU_S,2896307,1.1,0.00296142200890341
Food provision,Food growth & collection,ALB,EU_S,2896307,0.82,0.02517354295682863
Food provision,Food processing,ALB,EU_S,2896307,0.04,5.974422164503192e-5
Nonfood provision,Materials,ALB,EU_S,2896307,0.05,3.6344444196862e-4
Nonfood provision,Energy,ALB,EU_S,2896307,0.04,6.052787741678782e-5
Technosphere modification,Infrastructure,ALB,EU_S,2896307,0.03,5.082029177748015e-5
Technosphere modification,Buildings,ALB,EU_S,2896307,0.28,8.778437451296e-4
Technosphere modification,Artifacts,ALB,EU_S,2896307,0.4,0.00359421095051776
Maintenance of surroundings,Inhabited environment,ALB,EU_S,2896307,0.83,0.00191021346268659
Somatic maintenance,Sleep & bedrest,ALB,EU_S,2896307,9.4,0.1705363779283624
Maintenance of surroundings,Waste management,ALB,EU_S,2896307,0.01,1.7688270044244037e-5
Somatic maintenance,Physical child care,ALB,EU_S,2896307,0.33,2.7959034765955e-4
Somatic maintenance,Health care,ALB,EU_S,2896307,0.1,1.6029442599581e-4
Somatic maintenance,Hygiene & grooming,ALB,EU_S,2896307,0.79,0.00116492361150215
Deliberate neural restructuring,Schooling & research,ALB,EU_S,2896307,1.03,0.00254591063389309
Deliberate neural restructuring,Religious practice,ALB,EU_S,2896307,0.07,1.2455399819081e-4
Organization,Human transportation,ALB,EU_S,2896307,1.11,0.00102478608700182
Organization,Material transportation,ALB,EU_S,2896307,0.12,2.9675307863328e-4
Organization,Allocation,ALB,EU_S,2896307,0.6,0.00871197660114057
Experience oriented,Social,ALB,EU_S,2896307,0.73,0.0013979264883907
Experience oriented,Active recreation,ALB,EU_S,2896307,0.43,4.5224960118417e-4
Experience oriented,Meals,ALB,EU_S,2896307,2.02,0.0086190073207429
Experience oriented,Passive,ALB,EU_S,2896307,3.06,0.0098037479490906
Experience oriented,Interactive,ALB,EU_S,2896307,0.61,0.00129664819554377
Food provision,Food preparation,ARE,AS_W,9770526,0.88,0.19069050959337097
Food provision,Food growth & collection,ARE,AS_W,9770526,0.36,0.09358224729548371
Food provision,Food processing,ARE,AS_W,9770526,0.04,0.00705444289885008
Nonfood provision,Materials,ARE,AS_W,9770526,0.04,0.00519525260306105
Nonfood provision,Energy,ARE,AS_W,9770526,0.03,0.0033838480088612
Technosphere modification,Infrastructure,ARE,AS_W,9770526,0.04,0.03480789257722431
Technosphere modification,Buildings,ARE,AS_W,9770526,0.21,0.2060596139451479
Technosphere modification,Artifacts,ARE,AS_W,9770526,0.31,0.03324835047545143
Maintenance of surroundings,Inhabited environment,ARE,AS_W,9770526,0.86,0.19125378145423716
Somatic maintenance,Sleep & bedrest,ARE,AS_W,9770526,9.45,1.334729314175462
Maintenance of surroundings,Waste management,ARE,AS_W,9770526,0.01,6.0267119257686826e-5
Somatic maintenance,Physical child care,ARE,AS_W,9770526,0.25,0.06385532888711636
Somatic maintenance,Health care,ARE,AS_W,9770526,0.13,0.04892242375630518
Somatic maintenance,Hygiene & grooming,ARE,AS_W,9770526,0.85,0.10397778934261744
Deliberate neural restructuring,Schooling & research,ARE,AS_W,9770526,0.93,0.2872182579006988
Deliberate neural restructuring,Religious practice,ARE,AS_W,9770526,0.47,0.15518190991036002
Organization,Human transportation,ARE,AS_W,9770526,0.77,0.12261703842431514
Organization,Material transportation,ARE,AS_W,9770526,0.21,0.03806304614462792
Organization,Allocation,ARE,AS_W,9770526,0.79,0.13350862880512102
Experience oriented,Social,ARE,AS_W,9770526,1.09,0.59014856218269
Experience oriented,Active recreation,ARE,AS_W,9770526,0.49,0.09973345989848711
Experience oriented,Meals,ARE,AS_W,9770526,1.79,0.3542060233710226
Experience oriented,Passive,ARE,AS_W,9770526,3.09,0.9392992610523984
Experience oriented,Interactive,ARE,AS_W,9770526,0.9,0.34992443825333464
Food provision,Food preparation,ARG,AM_S,44780675,0.7,0.1950887683326619
Food provision,Food growth & collection,ARG,AM_S,44780675,0.13,0.03854271199021729
Food provision,Food processing,ARG,AM_S,44780675,0,0.0061639958687359
Nonfood provision,Materials,ARG,AM_S,44780675,0.03,7.5717661789469e-4
Nonfood provision,Energy,ARG,AM_S,44780675,0.03,0.00238174187037077
Technosphere modification,Infrastructure,ARG,AM_S,44780675,0.08,0.00187118126469487
Technosphere modification,Buildings,ARG,AM_S,44780675,0.28,0.03648099994417534
Technosphere modification,Artifacts,ARG,AM_S,44780675,0.54,0.07299220703976472
Maintenance of surroundings,Inhabited environment,ARG,AM_S,44780675,0.72,0.20587310058719369
Somatic maintenance,Sleep & bedrest,ARG,AM_S,44780675,8.78,1.873210108765885
Maintenance of surroundings,Waste management,ARG,AM_S,44780675,0.01,4.7771205404708054e-5
Somatic maintenance,Physical child care,ARG,AM_S,44780675,0.33,0.06760871068981361
Somatic maintenance,Health care,ARG,AM_S,44780675,0.16,0.04869698917887279
Somatic maintenance,Hygiene & grooming,ARG,AM_S,44780675,1,0.11860169615397632
Deliberate neural restructuring,Schooling & research,ARG,AM_S,44780675,1.05,0.29456352643922895
Deliberate neural restructuring,Religious practice,ARG,AM_S,44780675,0.17,0.15280474658197693
Organization,Human transportation,ARG,AM_S,44780675,1.11,0.14184052940324385
Organization,Material transportation,ARG,AM_S,44780675,0.35,0.04926279825885529
Organization,Allocation,ARG,AM_S,44780675,1.41,0.3783340794751715
Experience oriented,Social,ARG,AM_S,44780675,1.21,0.593140958942021
Experience oriented,Active recreation,ARG,AM_S,44780675,0.57,0.09975928452154333
Experience oriented,Meals,ARG,AM_S,44780675,1.31,0.3603453634284081
Experience oriented,Passive,ARG,AM_S,44780675,2.9,0.9558049370390816
Experience oriented,Interactive,ARG,AM_S,44780675,1.15,0.34791974727636
Food provision,Food preparation,ARM,AS_W,2925559,0.85,0.18854274751412375
Food provision,Food growth & collection,ARM,AS_W,2925559,0.48,0.02710844512169006
Food provision,Food processing,ARM,AS_W,2925559,0.09,0.00624343180034887
Nonfood provision,Materials,ARM,AS_W,2925559,0.06,8.8371719258057e-4
Nonfood provision,Energy,ARM,AS_W,2925559,0.06,0.0022274960246738
Technosphere modification,Infrastructure,ARM,AS_W,2925559,0.05,5.418883682676989e-5
Technosphere modification,Buildings,ARM,AS_W,2925559,0.15,0.01868892554387116
Technosphere modification,Artifacts,ARM,AS_W,2925559,0.16,0.01664247183782262
Maintenance of surroundings,Inhabited environment,ARM,AS_W,2925559,0.82,0.1880094506158032
Somatic maintenance,Sleep & bedrest,ARM,AS_W,2925559,9.45,1.334729314175462
Maintenance of surroundings,Waste management,ARM,AS_W,2925559,0,3.610323978078285e-5
Somatic maintenance,Physical child care,ARM,AS_W,2925559,0.25,0.06359978121071892
Somatic maintenance,Health care,ARM,AS_W,2925559,0.18,0.0479006145243443
Somatic maintenance,Hygiene & grooming,ARM,AS_W,2925559,0.85,0.10400114186130714
Deliberate neural restructuring,Schooling & research,ARM,AS_W,2925559,0.99,0.28361149895858906
Deliberate neural restructuring,Religious practice,ARM,AS_W,2925559,0.47,0.15517656693345408
Organization,Human transportation,ARM,AS_W,2925559,0.77,0.12212957935195996
Organization,Material transportation,ARM,AS_W,2925559,0.23,0.03729666784072856
Organization,Allocation,ARM,AS_W,2925559,0.72,0.10014944697287902
Experience oriented,Social,ARM,AS_W,2925559,1.09,0.5899709319141319
Experience oriented,Active recreation,ARM,AS_W,2925559,0.49,0.09972937463640832
Experience oriented,Meals,ARM,AS_W,2925559,1.79,0.3542060233710226
Experience oriented,Passive,ARM,AS_W,2925559,3.09,0.9391974946775676
Experience oriented,Interactive,ARM,AS_W,2925559,0.92,0.3497921461855526
Food provision,Food preparation,ATG,AM_C,97115,1.15,0.24257054475414816
Food provision,Food growth & collection,ATG,AM_C,97115,0.56,0.06195967681805953
Food provision,Food processing,ATG,AM_C,97115,0.1,0.01029936530486249
Nonfood provision,Materials,ATG,AM_C,97115,0.07,0.00384296232221007
Nonfood provision,Energy,ATG,AM_C,97115,0.04,0.00405926840751889
Technosphere modification,Infrastructure,ATG,AM_C,97115,0.07,6.248734138737e-4
Technosphere modification,Buildings,ATG,AM_C,97115,0.26,0.01596164335132591
Technosphere modification,Artifacts,ATG,AM_C,97115,0.43,0.02527779794606056
Maintenance of surroundings,Inhabited environment,ATG,AM_C,97115,1.29,0.21037709443189712
Somatic maintenance,Sleep & bedrest,ATG,AM_C,97115,8.21,3.8838580704242074
Maintenance of surroundings,Waste management,ATG,AM_C,97115,0.01,6.83376273261e-4
Somatic maintenance,Physical child care,ATG,AM_C,97115,0.7,0.0710683909954883
Somatic maintenance,Health care,ATG,AM_C,97115,0.48,0.04527143422681473
Somatic maintenance,Hygiene & grooming,ATG,AM_C,97115,0.94,3.021000989250257
Deliberate neural restructuring,Schooling & research,ATG,AM_C,97115,1.23,0.3157075595104107
Deliberate neural restructuring,Religious practice,ATG,AM_C,97115,0.22,0.1533676865790067
Organization,Human transportation,ATG,AM_C,97115,0.69,0.5993742133842734
Organization,Material transportation,ATG,AM_C,97115,0.18,0.04155604274710777
Organization,Allocation,ATG,AM_C,97115,1.29,0.1573074318857059
Experience oriented,Social,ATG,AM_C,97115,0.98,0.9611642892230392
Experience oriented,Active recreation,ATG,AM_C,97115,0.45,0.10063755620366506
Experience oriented,Meals,ATG,AM_C,97115,1.27,3.2601218279034234
Experience oriented,Passive,ATG,AM_C,97115,2.09,1.126211056795671
Experience oriented,Interactive,ATG,AM_C,97115,1.28,0.5716704907884139
Food provision,Food preparation,AUS,ANZ,21332293,0.81,0.00131083678278821
Food provision,Food growth & collection,AUS,ANZ,21332293,0.13,8.571894389995164e-5
Food provision,Food processing,AUS,ANZ,21332293,0,4.8495059400404625e-8
Nonfood provision,Materials,AUS,ANZ,21332293,0.06,1.295090094159215e-5
Nonfood provision,Energy,AUS,ANZ,21332293,0.03,9.954021224447996e-6
Technosphere modification,Infrastructure,AUS,ANZ,21332293,0.08,0.00102192832623147
Technosphere modification,Buildings,AUS,ANZ,21332293,0.32,0.00111643159752936
Technosphere modification,Artifacts,AUS,ANZ,21332293,0.36,2.0071537103155e-4
Maintenance of surroundings,Inhabited environment,AUS,ANZ,21332293,1.02,9.9145792774138e-4
Somatic maintenance,Sleep & bedrest,AUS,ANZ,21332293,8.9,0.1339036821631005
Maintenance of surroundings,Waste management,AUS,ANZ,21332293,0.01,3.4450695693048267e-6
Somatic maintenance,Physical child care,AUS,ANZ,21332293,0.34,1.7552524457508e-4
Somatic maintenance,Health care,AUS,ANZ,21332293,0.31,5.8284771122378e-4
Somatic maintenance,Hygiene & grooming,AUS,ANZ,21332293,0.88,0.00127917399026025
Deliberate neural restructuring,Schooling & research,AUS,ANZ,21332293,0.92,0.00126092593974418
Deliberate neural restructuring,Religious practice,AUS,ANZ,21332293,0.16,1.1805721242062e-4
Organization,Human transportation,AUS,ANZ,21332293,1.02,0.00165340185459589
Organization,Material transportation,AUS,ANZ,21332293,0.34,0.00132540324008924
Organization,Allocation,AUS,ANZ,21332293,1.35,8.9038415388035e-4
Experience oriented,Social,AUS,ANZ,21332293,0.99,8.154594329072e-4
Experience oriented,Active recreation,AUS,ANZ,21332293,0.56,6.3448708612504e-4
Experience oriented,Meals,AUS,ANZ,21332293,1.45,0.0038091815478606
Experience oriented,Passive,AUS,ANZ,21332293,3.06,0.0155049110427113
Experience oriented,Interactive,AUS,ANZ,21332293,0.93,0.00551030125286679
Food provision,Food preparation,AUT,EU_W,8453501,0.82,0.00148400958099811
Food provision,Food growth & collection,AUT,EU_W,8453501,0.22,0.00179686454867359
Food provision,Food processing,AUT,EU_W,8453501,0.07,1.9231470897942e-4
Nonfood provision,Materials,AUT,EU_W,8453501,0.03,3.487556965321474e-5
Nonfood provision,Energy,AUT,EU_W,8453501,0.03,4.4068251379426605e-5
Technosphere modification,Infrastructure,AUT,EU_W,8453501,0.1,7.1469646336443e-4
Technosphere modification,Buildings,AUT,EU_W,8453501,0.3,0.00368992952682415
Technosphere modification,Artifacts,AUT,EU_W,8453501,0.54,0.01188171167100217
Maintenance of surroundings,Inhabited environment,AUT,EU_W,8453501,1.2,0.00181624697070538
Somatic maintenance,Sleep & bedrest,AUT,EU_W,8453501,8.78,0.1413220753129078
Maintenance of surroundings,Waste management,AUT,EU_W,8453501,0.01,5.2937663027783614e-6
Somatic maintenance,Physical child care,AUT,EU_W,8453501,0.27,3.3591791375439e-4
Somatic maintenance,Health care,AUT,EU_W,8453501,0.23,0.00199324885583263
Somatic maintenance,Hygiene & grooming,AUT,EU_W,8453501,0.88,0.00140201199166607
Deliberate neural restructuring,Schooling & research,AUT,EU_W,8453501,0.85,0.00216270333253249
Deliberate neural restructuring,Religious practice,AUT,EU_W,8453501,0.1,4.017064857061689e-5
Organization,Human transportation,AUT,EU_W,8453501,0.87,0.00186448085689169
Organization,Material transportation,AUT,EU_W,8453501,0.37,0.00267117699913553
Organization,Allocation,AUT,EU_W,8453501,1.38,0.03953989510765172
Experience oriented,Social,AUT,EU_W,8453501,0.86,0.00387129998207463
Experience oriented,Active recreation,AUT,EU_W,8453501,0.74,4.5348351689827e-4
Experience oriented,Meals,AUT,EU_W,8453501,1.64,0.0069918938915083
Experience oriented,Passive,AUT,EU_W,8453501,2.79,0.00878448199075225
Experience oriented,Interactive,AUT,EU_W,8453501,0.92,7.3635089416649e-4
Food provision,Food preparation,AZE,AS_W,10047719,0.83,0.18868124272169065
Food provision,Food growth & collection,AZE,AS_W,10047719,0.61,0.07916823733966907
Food provision,Food processing,AZE,AS_W,10047719,0.01,0.0061637192268321
Nonfood provision,Materials,AZE,AS_W,10047719,0.1,0.00262741075730816
Nonfood provision,Energy,AZE,AS_W,10047719,0.04,0.00247752267254969
Technosphere modification,Infrastructure,AZE,AS_W,10047719,0.04,9.1724146346069e-4
Technosphere modification,Buildings,AZE,AS_W,10047719,0.17,0.02088300003312658
Technosphere modification,Artifacts,AZE,AS_W,10047719,0.19,0.01983516642193512
Maintenance of surroundings,Inhabited environment,AZE,AS_W,10047719,0.82,0.18818152965602267
Somatic maintenance,Sleep & bedrest,AZE,AS_W,10047719,9.45,1.334729314175462
Maintenance of surroundings,Waste management,AZE,AS_W,10047719,0.01,4.53902577745573e-5
Somatic maintenance,Physical child care,AZE,AS_W,10047719,0.25,0.06361344784010085
Somatic maintenance,Health care,AZE,AS_W,10047719,0.12,0.04801708913249856
Somatic maintenance,Hygiene & grooming,AZE,AS_W,10047719,0.84,0.10396332944622393
Deliberate neural restructuring,Schooling & research,AZE,AS_W,10047719,0.98,0.28682784638581177
Deliberate neural restructuring,Religious practice,AZE,AS_W,10047719,0.48,0.1551871599459725
Organization,Human transportation,AZE,AS_W,10047719,0.78,0.12253820422075958
Organization,Material transportation,AZE,AS_W,10047719,0.17,0.03773286001737216
Organization,Allocation,AZE,AS_W,10047719,0.73,0.13575798645719825
Experience oriented,Social,AZE,AS_W,10047719,1.1,0.5900259164164173
Experience oriented,Active recreation,AZE,AS_W,10047719,0.49,0.09973815791473016
Experience oriented,Meals,AZE,AS_W,10047719,1.79,0.3542060233710226
Experience oriented,Passive,AZE,AS_W,10047719,3.1,0.9393375679566184
Experience oriented,Interactive,AZE,AS_W,10047719,0.9,0.3498308284102291
Food provision,Food preparation,BDI,AF_E,9844301,0.72,0.2284615644060367
Food provision,Food growth & collection,BDI,AF_E,9844301,1.86,0.0516618242321481
Food provision,Food processing,BDI,AF_E,9844301,0.1,0.00927540975002687
Nonfood provision,Materials,BDI,AF_E,9844301,0.11,0.0027574638247564
Nonfood provision,Energy,BDI,AF_E,9844301,0,0.00218617493147078
Technosphere modification,Infrastructure,BDI,AF_E,9844301,0.01,2.1885772011678e-4
Technosphere modification,Buildings,BDI,AF_E,9844301,0.12,0.01271594473475038
Technosphere modification,Artifacts,BDI,AF_E,9844301,0.13,0.01593618015535136
Maintenance of surroundings,Inhabited environment,BDI,AF_E,9844301,0.83,0.2253505024732078
Somatic maintenance,Sleep & bedrest,BDI,AF_E,9844301,8.93,2.6149926440655356
Maintenance of surroundings,Waste management,BDI,AF_E,9844301,0.01,6.728627667658e-4
Somatic maintenance,Physical child care,BDI,AF_E,9844301,0.29,0.06530062838584644
Somatic maintenance,Health care,BDI,AF_E,9844301,0.35,0.9656211258924076
Somatic maintenance,Hygiene & grooming,BDI,AF_E,9844301,1.06,1.0224612231242505
Deliberate neural restructuring,Schooling & research,BDI,AF_E,9844301,1.06,0.2840209278000771
Deliberate neural restructuring,Religious practice,BDI,AF_E,9844301,0.15,0.153438951155259
Organization,Human transportation,BDI,AF_E,9844301,0.98,1.038900224406397
Organization,Material transportation,BDI,AF_E,9844301,0.25,0.07643700196130328
Organization,Allocation,BDI,AF_E,9844301,0.49,0.1448889297245464
Experience oriented,Social,BDI,AF_E,9844301,0.93,0.5942371127383435
Experience oriented,Active recreation,BDI,AF_E,9844301,0.39,0.10018195825332422
Experience oriented,Meals,BDI,AF_E,9844301,1.88,1.2620995678166318
Experience oriented,Passive,BDI,AF_E,9844301,2.25,1.8155632578159635
Experience oriented,Interactive,BDI,AF_E,9844301,1.1,0.35084706555625106
Food provision,Food preparation,BEL,EU_W,10938735,0.78,8.161599493135e-4
Food provision,Food growth & collection,BEL,EU_W,10938735,0.09,1.5633429489558e-4
Food provision,Food processing,BEL,EU_W,10938735,0.05,9.319051221294644e-5
Nonfood provision,Materials,BEL,EU_W,10938735,0.01,2.3058400785336243e-6
Nonfood provision,Energy,BEL,EU_W,10938735,0.02,1.2946593713376166e-5
Technosphere modification,Infrastructure,BEL,EU_W,10938735,0.05,2.4629059727274e-4
Technosphere modification,Buildings,BEL,EU_W,10938735,0.19,0.00132349668347998
Technosphere modification,Artifacts,BEL,EU_W,10938735,0.33,0.00336174484403153
Maintenance of surroundings,Inhabited environment,BEL,EU_W,10938735,0.97,8.6713453903658e-4
Somatic maintenance,Sleep & bedrest,BEL,EU_W,10938735,8.91,0.1406687116317515
Maintenance of surroundings,Waste management,BEL,EU_W,10938735,0.01,4.80265134392128e-6
Somatic maintenance,Physical child care,BEL,EU_W,10938735,0.2,1.419012626955e-4
Somatic maintenance,Health care,BEL,EU_W,10938735,0.19,0.00106781374994851
Somatic maintenance,Hygiene & grooming,BEL,EU_W,10938735,0.92,0.00151934533620709
Deliberate neural restructuring,Schooling & research,BEL,EU_W,10938735,0.97,0.00190981901816053
Deliberate neural restructuring,Religious practice,BEL,EU_W,10938735,0.09,3.301179019875707e-5
Organization,Human transportation,BEL,EU_W,10938735,1.01,0.00183166777605197
Organization,Material transportation,BEL,EU_W,10938735,0.32,0.00160115177691927
Organization,Allocation,BEL,EU_W,10938735,1.13,0.0146114009487676
Experience oriented,Social,BEL,EU_W,10938735,0.7,0.00287694053229291
Experience oriented,Active recreation,BEL,EU_W,10938735,0.58,3.2883188662824e-4
Experience oriented,Meals,BEL,EU_W,10938735,1.89,0.0078606736485215
Experience oriented,Passive,BEL,EU_W,10938735,3.31,0.01214934945835679
Experience oriented,Interactive,BEL,EU_W,10938735,1.28,0.00125439789920046
Food provision,Food preparation,BEN,AF_W,8902134,0.79,0.0052603299493364
Food provision,Food growth & collection,BEN,AF_W,8902134,0.93,0.15979444754492328
Food provision,Food processing,BEN,AF_W,8902134,0.04,1.6456274951160773e-5
Nonfood provision,Materials,BEN,AF_W,8902134,0.14,0.00350911145498936
Nonfood provision,Energy,BEN,AF_W,8902134,0.05,3.6125784124151e-4
Technosphere modification,Infrastructure,BEN,AF_W,8902134,0.02,1.2199538496585e-4
Technosphere modification,Buildings,BEN,AF_W,8902134,0.05,5.4836488174546e-4
Technosphere modification,Artifacts,BEN,AF_W,8902134,0.29,0.01688173774087955
Maintenance of surroundings,Inhabited environment,BEN,AF_W,8902134,0.63,0.00252470739898569
Somatic maintenance,Sleep & bedrest,BEN,AF_W,8902134,10.01,0.6300511477390861
Maintenance of surroundings,Waste management,BEN,AF_W,8902134,0,0
Somatic maintenance,Physical child care,BEN,AF_W,8902134,0.22,4.7158072808577e-4
Somatic maintenance,Health care,BEN,AF_W,8902134,0.01,3.7012839891120185e-5
Somatic maintenance,Hygiene & grooming,BEN,AF_W,8902134,0.93,0.00494061817348334
Deliberate neural restructuring,Schooling & research,BEN,AF_W,8902134,1.12,0.00730388969865155
Deliberate neural restructuring,Religious practice,BEN,AF_W,8902134,0.32,6.2291639675822e-4
Organization,Human transportation,BEN,AF_W,8902134,0.86,0.00722784164221053
Organization,Material transportation,BEN,AF_W,8902134,0.35,0.00593388186617304
Organization,Allocation,BEN,AF_W,8902134,0.89,0.10496379510339558
Experience oriented,Social,BEN,AF_W,8902134,1.27,0.0080804051865289
Experience oriented,Active recreation,BEN,AF_W,8902134,0.25,5.827559380149e-4
Experience oriented,Meals,BEN,AF_W,8902134,1.3,0.0085056713622003
Experience oriented,Passive,BEN,AF_W,8902134,2.53,0.02628236546347272
Experience oriented,Interactive,BEN,AF_W,8902134,0.99,0.0053931054404125
Food provision,Food preparation,BFA,AF_W,17586029,0.66,0.1883555642384684
Food provision,Food growth & collection,BFA,AF_W,17586029,0.63,0.05125501958123025
Food provision,Food processing,BFA,AF_W,17586029,0.01,0.0061801677696063
Nonfood provision,Materials,BFA,AF_W,17586029,0.41,0.01213997167754436
Nonfood provision,Energy,BFA,AF_W,17586029,0.09,0.00292662987862402
Technosphere modification,Infrastructure,BFA,AF_W,17586029,0.04,2.2159767262695e-4
Technosphere modification,Buildings,BFA,AF_W,17586029,0.1,0.01234362442772585
Technosphere modification,Artifacts,BFA,AF_W,17586029,0.46,0.0263012019981862
Maintenance of surroundings,Inhabited environment,BFA,AF_W,17586029,0.62,0.18214468838707495
Somatic maintenance,Sleep & bedrest,BFA,AF_W,17586029,8.83,1.4426316795511047
Maintenance of surroundings,Waste management,BFA,AF_W,17586029,0.02,9.051819664919854e-5
Somatic maintenance,Physical child care,BFA,AF_W,17586029,0.3,0.06299212073123964
Somatic maintenance,Health care,BFA,AF_W,17586029,0.24,0.04337663257791432
Somatic maintenance,Hygiene & grooming,BFA,AF_W,17586029,0.97,0.10645563604077306
