team_code,season,position_type,player_id,headshot,first_name,last_name,sweater_number,position_code,shoots_catches,height_in_inches,weight_in_pounds,height_in_centimeters,weight_in_kilograms,birth_date,birth_city,birth_country,birth_state_province
ATL,19992000,forwards,8459414,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459414.png,Dean,Sylvester,11,R,R,74,210,188,95,1972-12-30,Hanson,USA,Massachusetts
ATL,19992000,forwards,8465975,https://assets.nhle.com/mugs/nhl/19992000/ATL/8465975.png,Herbert,Vasiljevs,29,R,R,71,175,180,79,1976-05-27,Riga,LVA,NA
ATL,19992000,forwards,8458587,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458587.png,Vladimir,Vujtek,19,L,L,73,203,185,92,1972-02-17,Ostrava,CZE,NA
ATL,19992000,forwards,8458348,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458348.png,Ed,Ward,22,R,R,76,220,193,100,1969-11-10,Edmonton,CAN,Alberta
ATL,19992000,defensemen,8462090,https://assets.nhle.com/mugs/nhl/19992000/ATL/8462090.png,Petr,Buzek,8,D,L,73,220,185,100,1977-04-26,Jihlava,CZE,NA
ATL,19992000,defensemen,8465122,https://assets.nhle.com/mugs/nhl/19992000/ATL/8465122.png,Brett,Clark,5,D,L,72,194,183,88,1976-12-23,Wapella,CAN,Saskatchewan
ATL,19992000,defensemen,8456024,https://assets.nhle.com/mugs/nhl/19992000/ATL/8456024.png,Kevin,Dean,6,D,L,75,205,191,93,1969-04-01,Madison,USA,Wisconsin
ATL,19992000,defensemen,8459482,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459482.png,Maxim,Galanov,41,D,L,73,210,185,95,1974-03-13,Krasnoyarsk,RUS,NA
ATL,19992000,defensemen,8456514,https://assets.nhle.com/mugs/nhl/19992000/ATL/8456514.png,David,Harlock,6,D,L,74,220,188,100,1971-03-16,Toronto,CAN,Ontario
ATL,19992000,defensemen,8467949,https://assets.nhle.com/mugs/nhl/19992000/ATL/8467949.png,Frantisek,Kaberle,5,D,L,72,190,183,86,1973-11-08,Kladno,CZE,NA
ATL,19992000,defensemen,8459098,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459098.png,Geordie,Kinnear,28,D,L,73,195,185,88,1973-07-09,Simcoe,CAN,Ontario
ATL,19992000,defensemen,8457264,https://assets.nhle.com/mugs/nhl/19992000/ATL/8457264.png,Chris,Mcalpine,38,D,R,73,215,185,98,1971-12-01,Roseville,USA,Minnesota
ATL,19992000,defensemen,8449754,https://assets.nhle.com/mugs/nhl/19992000/ATL/8449754.png,Gord,Murphy,5,D,R,74,200,188,91,1967-02-23,Willowdale,CAN,Ontario
ATL,19992000,defensemen,8460004,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460004.png,Ruman,Ndur,36,D,L,74,225,188,102,1975-07-07,Zaria,NGA,NA
ATL,19992000,defensemen,8451333,https://assets.nhle.com/mugs/nhl/19992000/ATL/8451333.png,Darryl,Shannon,29,D,L,74,210,188,95,1968-06-21,Barrie,CAN,Ontario
ATL,19992000,defensemen,8458541,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458541.png,Steve,Staios,24,D,R,73,200,185,91,1973-07-28,Hamilton,CAN,Ontario
ATL,19992000,defensemen,8458179,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458179.png,Chris,Tamer,4,D,L,74,200,188,91,1970-11-17,Dearborn,USA,Michigan
ATL,19992000,defensemen,8462177,https://assets.nhle.com/mugs/nhl/19992000/ATL/8462177.png,Yannick,Tremblay,28,D,R,74,200,188,91,1975-11-15,Pointe-aux-Trembles,CAN,Quebec
ATL,19992000,defensemen,8462097,https://assets.nhle.com/mugs/nhl/19992000/ATL/8462097.png,Sergei,Vyshedkevich,3,D,L,73,200,185,91,1975-01-03,Moscow,RUS,NA
ATL,19992000,goalies,8460761,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460761.png,Scott,Fankhouser,30,G,L,73,195,185,88,1975-07-01,Bismarck,USA,North Dakota
ATL,19992000,goalies,8459453,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459453.png,Scott,Langkow,35,G,L,71,200,180,91,1975-04-21,Edmonton,CAN,Alberta
ATL,19992000,goalies,8459549,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459549.png,Norm,Maracle,34,G,L,69,175,175,79,1974-10-02,Belleville,CAN,Ontario
ATL,19992000,goalies,8457791,https://assets.nhle.com/mugs/nhl/19992000/ATL/8457791.png,Damian,Rhodes,1,G,L,71,195,180,88,1969-05-28,St. Paul,USA,Minnesota
ATL,19992000,goalies,8451834,https://assets.nhle.com/mugs/nhl/19992000/ATL/8451834.png,Rick,Tabaracci,31,G,L,73,181,185,82,1969-01-02,Toronto,CAN,Ontario
ATL,20002001,forwards,8467867,https://assets.nhle.com/mugs/nhl/20002001/ATL/8467867.png,Bryan,Adams,26,L,L,72,185,183,84,1977-03-20,Fort St. James,CAN,British Columbia
ATL,20002001,forwards,8445176,https://assets.nhle.com/mugs/nhl/20002001/ATL/8445176.png,Donald,Audette,28,R,R,68,191,173,87,1969-09-23,Laval,CAN,Quebec
ATL,20002001,forwards,8459596,https://assets.nhle.com/mugs/nhl/20002001/ATL/8459596.png,Andrew,Brunette,15,L,L,73,215,185,98,1973-08-24,Sudbury,CAN,Ontario
ATL,20002001,forwards,8460573,https://assets.nhle.com/mugs/nhl/20002001/ATL/8460573.png,Hnat,Domenichelli,9,L,L,72,195,183,88,1976-02-17,Edmonton,CAN,Alberta
ATL,20002001,forwards,8459450,https://assets.nhle.com/mugs/nhl/20002001/ATL/8459450.png,Shean,Donovan,10,R,R,75,218,191,99,1975-01-22,Timmins,CAN,Ontario
ATL,20002001,forwards,8446823,https://assets.nhle.com/mugs/nhl/20002001/ATL/8446823.png,Ray,Ferraro,21,C,L,69,200,175,91,1964-08-23,Trail,CAN,British Columbia
ATL,20002001,forwards,8460482,https://assets.nhle.com/mugs/nhl/20002001/ATL/8460482.png,Stephen,Guolla,8,C,L,72,190,183,86,1973-03-15,Toronto,CAN,Ontario
ATL,20002001,forwards,8468660,https://assets.nhle.com/mugs/nhl/20002001/ATL/8468660.png,Darcy,Hordichuk,16,L,L,73,215,185,98,1980-08-10,Kamsack,CAN,Saskatchewan
ATL,20002001,forwards,8462107,https://assets.nhle.com/mugs/nhl/20002001/ATL/8462107.png,Tomi,Kallio,18,R,L,72,190,183,86,1977-01-27,Turku,FIN,NA
ATL,20002001,forwards,8459571,https://assets.nhle.com/mugs/nhl/20002001/ATL/8459571.png,Andreas,Karlsson,24,C,L,76,201,193,91,1975-08-19,Ludvika,SWE,NA
ATL,20002001,forwards,8460663,https://assets.nhle.com/mugs/nhl/20002001/ATL/8460663.png,Ladislav,Kohn,43,R,L,71,200,180,91,1975-03-04,Uherské Hradiste,CZE,NA
ATL,20002001,forwards,8458888,https://assets.nhle.com/mugs/nhl/20002001/ATL/8458888.png,Denny,Lambert,27,L,L,71,211,180,96,1970-01-07,Wawa,CAN,Ontario
ATL,20002001,forwards,8457566,https://assets.nhle.com/mugs/nhl/20002001/ATL/8457566.png,Jeff,Odgers,20,R,R,72,200,183,91,1969-05-31,Spy Hill,CAN,Saskatchewan
ATL,20002001,forwards,8458575,https://assets.nhle.com/mugs/nhl/20002001/ATL/8458575.png,Yves,Sarault,12,L,L,73,190,185,86,1972-12-23,Valleyfield,CAN,Quebec
ATL,20002001,forwards,8451392,https://assets.nhle.com/mugs/nhl/20002001/ATL/8451392.png,Jarrod,Skalde,18,C,L,72,190,183,86,1971-02-26,Niagara Falls,CAN,Ontario
ATL,20002001,forwards,8467658,https://assets.nhle.com/mugs/nhl/20002001/ATL/8467658.png,Dan,Snyder,37,C,L,72,190,183,86,1978-02-23,Kitchener,CAN,Ontario
ATL,20002001,forwards,8467055,https://assets.nhle.com/mugs/nhl/20002001/ATL/8467055.png,Patrik,Stefan,27,C,L,74,205,188,93,1980-09-16,Pribram,CZE,NA
ATL,20002001,forwards,8459562,https://assets.nhle.com/mugs/nhl/20002001/ATL/8459562.png,Per,Svartvadet,39,C,L,73,190,185,86,1975-05-17,Ornskoldsvik,SWE,NA
ATL,20002001,forwards,8459414,https://assets.nhle.com/mugs/nhl/20002001/ATL/8459414.png,Dean,Sylvester,11,R,R,74,210,188,95,1972-12-30,Hanson,USA,Massachusetts
ATL,20002001,forwards,8468444,https://assets.nhle.com/mugs/nhl/20002001/ATL/8468444.png,Brad,Tapper,18,R,R,72,180,183,82,1978-04-28,Scarborough,CAN,Ontario
ATL,20002001,forwards,8465975,https://assets.nhle.com/mugs/nhl/20002001/ATL/8465975.png,Herbert,Vasiljevs,29,R,R,71,175,180,79,1976-05-27,Riga,LVA,NA
ATL,20002001,forwards,8468443,https://assets.nhle.com/mugs/nhl/20002001/ATL/8468443.png,Jean-Pierre,Vigier,11,R,R,72,200,183,91,1976-09-11,Notre Dame de Lourdes,CAN,Manitoba
ATL,20002001,defensemen,8445783,https://assets.nhle.com/mugs/nhl/20002001/ATL/8445783.png,Adam,Burt,7,D,L,74,210,188,95,1969-01-15,Detroit,USA,Michigan
ATL,20002001,defensemen,8462090,https://assets.nhle.com/mugs/nhl/20002001/ATL/8462090.png,Petr,Buzek,8,D,L,73,220,185,100,1977-04-26,Jihlava,CZE,NA
ATL,20002001,defensemen,8465122,https://assets.nhle.com/mugs/nhl/20002001/ATL/8465122.png,Brett,Clark,5,D,L,72,194,183,88,1976-12-23,Wapella,CAN,Saskatchewan
ATL,20002001,defensemen,8456514,https://assets.nhle.com/mugs/nhl/20002001/ATL/8456514.png,David,Harlock,6,D,L,74,220,188,100,1971-03-16,Toronto,CAN,Ontario
ATL,20002001,defensemen,8448380,https://assets.nhle.com/mugs/nhl/20002001/ATL/8448380.png,Chris,Joseph,3,D,R,74,211,188,96,1969-09-10,Burnaby,CAN,British Columbia
ATL,20002001,defensemen,8467949,https://assets.nhle.com/mugs/nhl/20002001/ATL/8467949.png,Frantisek,Kaberle,5,D,L,72,190,183,86,1973-11-08,Kladno,CZE,NA
ATL,20002001,defensemen,8449754,https://assets.nhle.com/mugs/nhl/20002001/ATL/8449754.png,Gord,Murphy,5,D,R,74,200,188,91,1967-02-23,Willowdale,CAN,Ontario
ATL,20002001,defensemen,8468427,https://assets.nhle.com/mugs/nhl/20002001/ATL/8468427.png,Brian,Pothier,5,D,L,72,204,183,93,1977-04-15,New Bedford,USA,Massachusetts
ATL,20002001,defensemen,8466282,https://assets.nhle.com/mugs/nhl/20002001/ATL/8466282.png,Andrei,Skopintsev,41,D,R,72,185,183,84,1971-09-28,Moscow,RUS,NA
ATL,20002001,defensemen,8458052,https://assets.nhle.com/mugs/nhl/20002001/ATL/8458052.png,Jiri,Slegr,71,D,L,73,210,185,95,1971-05-30,Jihlava,CZE,NA
ATL,20002001,defensemen,8458541,https://assets.nhle.com/mugs/nhl/20002001/ATL/8458541.png,Steve,Staios,24,D,R,73,200,185,91,1973-07-28,Hamilton,CAN,Ontario
ATL,20002001,defensemen,8458179,https://assets.nhle.com/mugs/nhl/20002001/ATL/8458179.png,Chris,Tamer,4,D,L,74,200,188,91,1970-11-17,Dearborn,USA,Michigan
ATL,20002001,defensemen,8462177,https://assets.nhle.com/mugs/nhl/20002001/ATL/8462177.png,Yannick,Tremblay,28,D,R,74,200,188,91,1975-11-15,Pointe-aux-Trembles,CAN,Quebec
ATL,20002001,defensemen,8462097,https://assets.nhle.com/mugs/nhl/20002001/ATL/8462097.png,Sergei,Vyshedkevich,3,D,L,73,200,185,91,1975-01-03,Moscow,RUS,NA
ATL,20002001,goalies,8460761,https://assets.nhle.com/mugs/nhl/20002001/ATL/8460761.png,Scott,Fankhouser,30,G,L,73,195,185,88,1975-07-01,Bismarck,USA,North Dakota
ATL,20002001,goalies,8458584,https://assets.nhle.com/mugs/nhl/20002001/ATL/8458584.png,Milan,Hnilicka,1,G,L,73,190,185,86,1973-06-25,Litomerice,CZE,NA
ATL,20002001,goalies,8459549,https://assets.nhle.com/mugs/nhl/20002001/ATL/8459549.png,Norm,Maracle,34,G,L,69,175,175,79,1974-10-02,Belleville,CAN,Ontario
ATL,20002001,goalies,8457791,https://assets.nhle.com/mugs/nhl/20002001/ATL/8457791.png,Damian,Rhodes,1,G,L,71,195,180,88,1969-05-28,St. Paul,USA,Minnesota
ATL,20012002,forwards,8466437,https://assets.nhle.com/mugs/nhl/20012002/ATL/8466437.png,Lubos,Bartecko,23,L,L,72,210,183,95,1976-07-14,Kezmarok,SVK,NA
ATL,20012002,forwards,8466183,https://assets.nhle.com/mugs/nhl/20012002/ATL/8466183.png,Yuri,Butsayev,10,C,L,72,195,183,88,1978-10-11,Togliatti,RUS,NA
ATL,20012002,forwards,8446165,https://assets.nhle.com/mugs/nhl/20012002/ATL/8446165.png,Bob,Corkum,27,C,R,72,222,183,101,1967-12-18,Salisbury,USA,Massachusetts
ATL,20012002,forwards,8462419,https://assets.nhle.com/mugs/nhl/20012002/ATL/8462419.png,Jeff,Cowan,20,L,L,74,205,188,93,1976-09-27,Scarborough,CAN,Ontario
ATL,20012002,forwards,8460573,https://assets.nhle.com/mugs/nhl/20012002/ATL/8460573.png,Hnat,Domenichelli,9,L,L,72,195,183,88,1976-02-17,Edmonton,CAN,Alberta
ATL,20012002,forwards,8459450,https://assets.nhle.com/mugs/nhl/20012002/ATL/8459450.png,Shean,Donovan,10,R,R,75,218,191,99,1975-01-22,Timmins,CAN,Ontario
ATL,20012002,forwards,8446823,https://assets.nhle.com/mugs/nhl/20012002/ATL/8446823.png,Ray,Ferraro,21,C,L,69,200,175,91,1964-08-23,Trail,CAN,British Columbia
ATL,20012002,forwards,8469997,https://assets.nhle.com/mugs/nhl/20012002/ATL/8469997.png,Mark,Hartigan,44,C,L,72,200,183,91,1977-10-15,Fort St. John,CAN,British Columbia
ATL,20012002,forwards,8468482,https://assets.nhle.com/mugs/nhl/20012002/ATL/8468482.png,Dany,Heatley,15,L,L,75,212,191,96,1981-01-21,Freiburg,DEU,NA
ATL,20012002,forwards,8468660,https://assets.nhle.com/mugs/nhl/20012002/ATL/8468660.png,Darcy,Hordichuk,16,L,L,73,215,185,98,1980-08-10,Kamsack,CAN,Saskatchewan
ATL,20012002,forwards,8448017,https://assets.nhle.com/mugs/nhl/20012002/ATL/8448017.png,Tony,Hrkac,12,C,L,71,190,180,86,1966-07-07,Thunder Bay,CAN,Ontario
ATL,20012002,forwards,8462107,https://assets.nhle.com/mugs/nhl/20012002/ATL/8462107.png,Tomi,Kallio,18,R,L,72,190,183,86,1977-01-27,Turku,FIN,NA
ATL,20012002,forwards,8459571,https://assets.nhle.com/mugs/nhl/20012002/ATL/8459571.png,Andreas,Karlsson,24,C,L,76,201,193,91,1975-08-19,Ludvika,SWE,NA
ATL,20012002,forwards,8469454,https://assets.nhle.com/mugs/nhl/20012002/ATL/8469454.png,Ilya,Kovalchuk,17,L,R,75,222,191,101,1983-04-15,Tver,RUS,NA
ATL,20012002,forwards,8466212,https://assets.nhle.com/mugs/nhl/20012002/ATL/8466212.png,Francis,Lessard,49,R,R,74,235,188,107,1979-05-30,Montréal,CAN,Quebec
ATL,20012002,forwards,8468001,https://assets.nhle.com/mugs/nhl/20012002/ATL/8468001.png,Derek,MacKenzie,21,C,L,71,177,180,80,1981-06-11,Sudbury,CAN,Ontario
ATL,20012002,forwards,8457566,https://assets.nhle.com/mugs/nhl/20012002/ATL/8457566.png,Jeff,Odgers,20,R,R,72,200,183,91,1969-05-31,Spy Hill,CAN,Saskatchewan
ATL,20012002,forwards,8466336,https://assets.nhle.com/mugs/nhl/20012002/ATL/8466336.png,Kamil,Piros,20,R,L,72,195,183,88,1978-11-20,Most,CZE,NA
ATL,20012002,forwards,8459223,https://assets.nhle.com/mugs/nhl/20012002/ATL/8459223.png,Pascal,Rheaume,22,C,L,73,210,185,95,1973-06-21,Quebec City,CAN,Quebec
ATL,20012002,forwards,8466240,https://assets.nhle.com/mugs/nhl/20012002/ATL/8466240.png,Benjamin,Simon,41,L,L,72,195,183,88,1978-06-14,Shaker Heights,USA,Ohio
ATL,20012002,forwards,8467658,https://assets.nhle.com/mugs/nhl/20012002/ATL/8467658.png,Dan,Snyder,37,C,L,72,190,183,86,1978-02-23,Kitchener,CAN,Ontario
ATL,20012002,forwards,8467055,https://assets.nhle.com/mugs/nhl/20012002/ATL/8467055.png,Patrik,Stefan,27,C,L,74,205,188,93,1980-09-16,Pribram,CZE,NA
ATL,20012002,forwards,8459562,https://assets.nhle.com/mugs/nhl/20012002/ATL/8459562.png,Per,Svartvadet,39,C,L,73,190,185,86,1975-05-17,Ornskoldsvik,SWE,NA
ATL,20012002,forwards,8468444,https://assets.nhle.com/mugs/nhl/20012002/ATL/8468444.png,Brad,Tapper,18,R,R,72,180,183,82,1978-04-28,Scarborough,CAN,Ontario
ATL,20012002,forwards,8468443,https://assets.nhle.com/mugs/nhl/20012002/ATL/8468443.png,Jean-Pierre,Vigier,11,R,R,72,200,183,91,1976-09-11,Notre Dame de Lourdes,CAN,Manitoba
ATL,20012002,defensemen,8462090,https://assets.nhle.com/mugs/nhl/20012002/ATL/8462090.png,Petr,Buzek,8,D,L,73,220,185,100,1977-04-26,Jihlava,CZE,NA
ATL,20012002,defensemen,8465122,https://assets.nhle.com/mugs/nhl/20012002/ATL/8465122.png,Brett,Clark,5,D,L,72,194,183,88,1976-12-23,Wapella,CAN,Saskatchewan
ATL,20012002,defensemen,8456514,https://assets.nhle.com/mugs/nhl/20012002/ATL/8456514.png,David,Harlock,6,D,L,74,220,188,100,1971-03-16,Toronto,CAN,Ontario
ATL,20012002,defensemen,8467949,https://assets.nhle.com/mugs/nhl/20012002/ATL/8467949.png,Frantisek,Kaberle,5,D,L,72,190,183,86,1973-11-08,Kladno,CZE,NA
ATL,20012002,defensemen,8468427,https://assets.nhle.com/mugs/nhl/20012002/ATL/8468427.png,Brian,Pothier,5,D,L,72,204,183,93,1977-04-15,New Bedford,USA,Massachusetts
ATL,20012002,defensemen,8457783,https://assets.nhle.com/mugs/nhl/20012002/ATL/8457783.png,Todd,Reirden,2,D,L,77,220,196,100,1971-06-25,Deerfield,USA,Illinois
ATL,20012002,defensemen,8467892,https://assets.nhle.com/mugs/nhl/20012002/ATL/8467892.png,Kirill,Safronov,29,D,L,74,215,188,98,1981-02-26,St. Petersburg,RUS,NA
ATL,20012002,defensemen,8467903,https://assets.nhle.com/mugs/nhl/20012002/ATL/8467903.png,Luke,Sellars,40,D,L,73,210,185,95,1981-05-21,Toronto,CAN,Ontario
ATL,20012002,defensemen,8458052,https://assets.nhle.com/mugs/nhl/20012002/ATL/8458052.png,Jiri,Slegr,71,D,L,73,210,185,95,1971-05-30,Jihlava,CZE,NA
ATL,20012002,defensemen,8467304,https://assets.nhle.com/mugs/nhl/20012002/ATL/8467304.png,Andy,Sutton,25,D,L,78,245,198,111,1975-03-10,Kingston,CAN,Ontario
ATL,20012002,defensemen,8458179,https://assets.nhle.com/mugs/nhl/20012002/ATL/8458179.png,Chris,Tamer,4,D,L,74,200,188,91,1970-11-17,Dearborn,USA,Michigan
ATL,20012002,defensemen,8462115,https://assets.nhle.com/mugs/nhl/20012002/ATL/8462115.png,Daniel,Tjarnqvist,29,D,L,73,207,185,94,1976-10-14,Umea,SWE,NA
ATL,20012002,defensemen,8462177,https://assets.nhle.com/mugs/nhl/20012002/ATL/8462177.png,Yannick,Tremblay,28,D,R,74,200,188,91,1975-11-15,Pointe-aux-Trembles,CAN,Quebec
ATL,20012002,defensemen,8468478,https://assets.nhle.com/mugs/nhl/20012002/ATL/8468478.png,Mike,Weaver,43,D,R,70,186,178,84,1978-05-02,Brampton,CAN,Ontario
ATL,20012002,goalies,8460696,https://assets.nhle.com/mugs/nhl/20012002/ATL/8460696.png,Frederic,Cassivi,35,G,L,76,220,193,100,1975-06-12,Sorel,CAN,Quebec
ATL,20012002,goalies,8458584,https://assets.nhle.com/mugs/nhl/20012002/ATL/8458584.png,Milan,Hnilicka,1,G,L,73,190,185,86,1973-06-25,Litomerice,CZE,NA
ATL,20012002,goalies,8459549,https://assets.nhle.com/mugs/nhl/20012002/ATL/8459549.png,Norm,Maracle,34,G,L,69,175,175,79,1974-10-02,Belleville,CAN,Ontario
ATL,20012002,goalies,8469636,https://assets.nhle.com/mugs/nhl/20012002/ATL/8469636.png,Pasi,Nurminen,31,G,L,70,215,178,98,1975-12-17,Lahti,FIN,NA
ATL,20012002,goalies,8457791,https://assets.nhle.com/mugs/nhl/20012002/ATL/8457791.png,Damian,Rhodes,1,G,L,71,195,180,88,1969-05-28,St. Paul,USA,Minnesota
ATL,20022003,forwards,8466437,https://assets.nhle.com/mugs/nhl/20022003/ATL/8466437.png,Lubos,Bartecko,23,L,L,72,210,183,95,1976-07-14,Kezmarok,SVK,NA
ATL,20022003,forwards,8467941,https://assets.nhle.com/mugs/nhl/20022003/ATL/8467941.png,Zdenek,Blatny,89,L,L,73,195,185,88,1981-01-14,Brno,CZE,NA
ATL,20022003,forwards,8466183,https://assets.nhle.com/mugs/nhl/20022003/ATL/8466183.png,Yuri,Butsayev,10,C,L,72,195,183,88,1978-10-11,Togliatti,RUS,NA
ATL,20022003,forwards,8462419,https://assets.nhle.com/mugs/nhl/20022003/ATL/8462419.png,Jeff,Cowan,20,L,L,74,205,188,93,1976-09-27,Scarborough,CAN,Ontario
ATL,20022003,forwards,8466191,https://assets.nhle.com/mugs/nhl/20022003/ATL/8466191.png,Jeff,Farkas,28,C,L,72,174,183,79,1978-01-24,Amherst,USA,New York
ATL,20022003,forwards,8468770,https://assets.nhle.com/mugs/nhl/20022003/ATL/8468770.png,Simon,Gamache,39,L,L,70,186,178,84,1981-01-03,Thetford Mines,CAN,Quebec
ATL,20022003,forwards,8469997,https://assets.nhle.com/mugs/nhl/20022003/ATL/8469997.png,Mark,Hartigan,44,C,L,72,200,183,91,1977-10-15,Fort St. John,CAN,British Columbia
ATL,20022003,forwards,8468482,https://assets.nhle.com/mugs/nhl/20022003/ATL/8468482.png,Dany,Heatley,15,L,L,75,212,191,96,1981-01-21,Freiburg,DEU,NA
ATL,20022003,forwards,8459159,https://assets.nhle.com/mugs/nhl/20022003/ATL/8459159.png,Chris,Herperger,7,L,L,72,205,183,93,1974-02-24,Esterhazy,CAN,Saskatchewan
ATL,20022003,forwards,8448017,https://assets.nhle.com/mugs/nhl/20022003/ATL/8448017.png,Tony,Hrkac,12,C,L,71,190,180,86,1966-07-07,Thunder Bay,CAN,Ontario
ATL,20022003,forwards,8462107,https://assets.nhle.com/mugs/nhl/20022003/ATL/8462107.png,Tomi,Kallio,18,R,L,72,190,183,86,1977-01-27,Turku,FIN,NA
ATL,20022003,forwards,8469454,https://assets.nhle.com/mugs/nhl/20022003/ATL/8469454.png,Ilya,Kovalchuk,17,L,R,75,222,191,101,1983-04-15,Tver,RUS,NA
ATL,20022003,forwards,8456887,https://assets.nhle.com/mugs/nhl/20022003/ATL/8456887.png,Vyacheslav,Kozlov,13,L,L,70,190,178,86,1972-05-03,Voskresensk,RUS,NA
ATL,20022003,forwards,8466212,https://assets.nhle.com/mugs/nhl/20022003/ATL/8466212.png,Francis,Lessard,49,R,R,74,235,188,107,1979-05-30,Montréal,CAN,Quebec
ATL,20022003,forwards,8457297,https://assets.nhle.com/mugs/nhl/20022003/ATL/8457297.png,Shawn,McEachern,17,L,L,71,200,180,91,1969-02-28,Waltham,USA,Massachusetts
ATL,20022003,forwards,8457566,https://assets.nhle.com/mugs/nhl/20022003/ATL/8457566.png,Jeff,Odgers,20,R,R,72,200,183,91,1969-05-31,Spy Hill,CAN,Saskatchewan
ATL,20022003,forwards,8466336,https://assets.nhle.com/mugs/nhl/20022003/ATL/8466336.png,Kamil,Piros,20,R,L,72,195,183,88,1978-11-20,Most,CZE,NA
ATL,20022003,forwards,8459223,https://assets.nhle.com/mugs/nhl/20022003/ATL/8459223.png,Pascal,Rheaume,22,C,L,73,210,185,95,1973-06-21,Quebec City,CAN,Quebec
