agency_name,year,quarter,starting,added,total,consolidation,rehabilitation,voluntary_payments,wage_garnishments
"Delta Management Associates, Inc.",16,1,2156101255.57,NA,57456856.26,7190274.53,44607808.129999995,1993416.8599999999,3665356.74
"Diversified Collection Services, Inc.",16,1,2483034082.12,NA,103541379.31000002,7888694.83,85021610.44,2919939.52,7711134.52
ERS,16,1,889899037.41,NA,92469908.54999998,1589072.5899999999,83717058.56,1702304.38,5461473.02
"Financial Asset Management Systems, Inc.",16,1,972050755.35,NA,47558795.27000001,2298348.63,38188681.129999995,1062860.2599999998,6008905.25
FMS Investment Corp,16,1,5765185182.35,986947909.48,171333053.89,23948303.169999998,132381180.22999999,8547000.09,6456570.4
GC Services LP,16,1,5441485927.16,986953559.31,130092189.13000001,21940761.090000004,92276621.26,8282064.42,7592742.359999999
"Immediate Credit Recovery, Inc.",16,1,2450104760.53,863397698.15,74813396.08999997,7823353.03,54887759.57,3531644.87,8570638.62
"National Recoveries, Inc.",16,1,411532541.24,679806939.3,43396332.57,2869857.38,36968801,648171.18,2909503.01
"NCO Financial Systems, Inc.",16,1,2535175969.6,NA,90929129.71000001,6537696.050000001,69805612.52,3810404.08,10775417.059999999
"Pioneer Credit Recovery, Inc",16,1,608353003.41,NA,55805014.79,1858436.82,46897881.14,1222191.66,5826505.17
"Premiere Credit of North America, LLC",16,1,2383435848.38,NA,89234042.08000001,6382963.32,72437125.25999999,2249270.1999999997,8164683.3
"Progressive Financial Services, Inc.",16,1,2511000360.38,NA,92007656.74000001,7026355.2,69514736.96,2754279.77,12712284.81
Van Ru Credit Corporation,16,1,2991333909.55,NA,79508160.47000001,8455926.57,59493994.56,3211739.13,8346500.21
"West Asset Management, Inc.",16,1,1179509156.28,NA,79595666.29,2824424.67,62716927.31,2495208.7,11559105.61
"Windham Professionals, Inc.",16,1,5540316024.55,986962867.94,149058761.85,24631930,104164503.44,7989173.44,12273154.97
"Account Control Technology, Inc.",16,2,7638576645,569165001.53,230188167.63000005,35431324.84,182463017.09000003,7070201.069999999,5223624.63
Action Financial Services,16,2,485695972,896865313.4,6036669.58,4690841.79,61733.54,1263712.8900000001,20381.36
"Allied Interstate, Inc.",16,2,3507286825,NA,97203758.19999999,9440426.4,74810677.08,3518194.3899999997,9434460.33
CBE Group,16,2,2197872591,NA,89187531.77999999,7573417.66,71187965.41,2872158.49,7553990.219999999
Central Research,16,2,590184492,407272893.8,5514892.100000001,4658062.7,25184.75,822235.72,9408.93
"Coast Professional, Inc.",16,2,1433484951,1545624684.75,39602696.400000006,10648554.8,20324298.96,3300330.49,5329512.15
Collection Technology Incorporated,16,2,2844232344,NA,67368389.23,8935899.54,50381901.6,2451823.3,5598764.790000001
"Collecto, INC dba EOS-CCA",16,2,2167606707,NA,77672876.36000001,6553919.41,56140523.63000001,2750483.04,12227950.280000001
ConServe,16,2,6606944593,569191680.75,240189370.96,28092648.03,192213563.89,9823529.579999998,10059629.46
"Credit Adjustments, Inc.",16,2,773331909,896857210.12,7985711.95,6742134.37,26831.58,1193367,23379
"Delta Management Associates, Inc.",16,2,2108793104,NA,53314203.669999994,7175202.23,40713833.91,1725572.5,3699595.03
"Diversified Collection Services, Inc.",16,2,2384189913,NA,87627819.8,9082782.84,69177359.41,2218661.5300000003,7149016.02
ERS,16,2,298372576,NA,44000872.839999996,615392.94,38207130.67,911072.1300000001,4267277.1
"Financial Asset Management Systems, Inc.",16,2,924178120,NA,40449515.99,2841371.34,31426321.98,1091584.33,5090238.34
FMS Investment Corp,16,2,6595517193,569140222.43,220464924.51,31481056.43,170649556.01999998,9605753.280000001,8728558.78
GC Services LP,16,2,6320969482,569145392.65,167665318.81,26898014.95,122715251.89000002,10052729.04,7999322.930000001
"Immediate Credit Recovery, Inc.",16,2,3253455785,1384696415.46,81291693.92000002,14547737.79,53863579.23,4837156.640000001,8043220.26
"National Recoveries, Inc.",16,2,1053805897,1480166073.02,22319879.339999996,9220334.58,8592251.959999999,1916060.01,2591232.79
"NCO Financial Systems, Inc.",16,2,2450202612,NA,73417485.96,6910365.04,53293382.69,3464174.48,9749563.75
"Pioneer Credit Recovery, Inc",16,2,266816788,NA,19810354.18,1027051.34,12956103.100000001,961814.1799999999,4865385.5600000005
"Premiere Credit of North America, LLC",16,2,2304372898,NA,70808224.42999999,7398351.85,53956531.25,2062241.94,7391099.39
"Progressive Financial Services, Inc.",16,2,2428514639,NA,71292349.17999999,5950314.12,50967008.78,2696968.5700000003,11678057.71
Van Ru Credit Corporation,16,2,2915782687,NA,65728128.400000006,9145447.93,45243545.74,3068757.8099999996,8270376.92
"West Asset Management, Inc.",16,2,448465543,NA,54119447.129999995,1561528.07,41242667.19,1699316.4100000001,9615935.46
"Windham Professionals, Inc.",16,2,6399045189,569223587.7,203496772.99,31373864.9,148418327.32,9916968.3,13787612.47
"Account Control Technology, Inc.",16,3,7947512542.64,2243617106.51,306267867.44,38180001.97,255871181.10999995,7340146.629999999,4876537.73
Action Financial Services,16,3,1391266385.14,912738355.97,13739555.63,11147705.780000001,75002.59,2469489.26,47358
"Allied Interstate, Inc.",16,3,3408929586.03,NA,93211894.63,10977014.899999999,70999027.71000001,2654445.35,8581406.67
CBE Group,16,3,2102922094.59,NA,72669211.76,6041489.659999999,57466891.79000001,2381084.54,6779745.77
Central Research,16,3,995391910.86,696362202.89,9680792.42,7887239.68,192390.79,1568075.2000000002,33086.75
"Coast Professional, Inc.",16,3,2957160740.05,1863461277.73,42437667.559999995,21119131.619999997,10343512.58,5746534.54,5228488.82
Collection Technology Incorporated,16,3,2759017276.62,NA,57452068.769999996,9266000.05,40631207.96,2278661.9699999997,5276198.79
"Collecto, INC dba EOS-CCA",16,3,1943506946.2,NA,64602726.61,5729010.960000001,45603452.3,2132371.63,11137891.719999999
ConServe,16,3,6897900729.92,2243364215.46,294781440.18,34047793.14,241549457.17000005,9034983.46,10149206.41
"Credit Adjustments, Inc.",16,3,1679408124.59,1338685107.57,16499874.380000003,14024182.280000001,53675.86,2378139.91,43876.33
"Delta Management Associates, Inc.",16,3,2039054662.36,NA,53322987.730000004,8049447.43,40747294.629999995,1238045.97,3288199.7
"Diversified Collection Services, Inc.",16,3,2286600114.04,NA,80892129.60000001,7765018.99,64973850.3,1759070.48,6394189.83
ERS,16,3,189934948.09,NA,20423370.89,734111.5700000001,15808306.95,509913.74,3371038.63
"Financial Asset Management Systems, Inc.",16,3,890624149,NA,31494297.540000007,2699873.34,23644007.12,845511.19,4304905.89
FMS Investment Corp,16,3,6915999361.2,2243218173.31,260869298.03,34825999.510000005,207469163,8241849.14,10332286.38
GC Services LP,16,3,6670275644.7,2243607675.86,231967293.54999998,34287491.15,179831119.78,9986207.46,7862475.16
"Immediate Credit Recovery, Inc.",16,3,4573022544.86,1694818639.73,82185090.05,25357836.4,42434401,6310856.37,8081996.279999999
"National Recoveries, Inc.",16,3,2525066404.66,1484850938.61,33355820.66,22089087.09,5079219.91,3525687.4400000004,2661826.22
"NCO Financial Systems, Inc.",16,3,2375164282.75,NA,74016280.5,7281800.75,54705910.57000001,3204927.09,8823642.09
"Pioneer Credit Recovery, Inc",16,3,212521184.05,NA,16261149.100000001,861170.6000000001,10406864.82,924518.3900000001,4068595.29
"Premiere Credit of North America, LLC",16,3,2226611943.72,NA,62629402.68,6744564.67,47709666.699999996,1478072.05,6697099.26
"Progressive Financial Services, Inc.",16,3,2352614112.6,NA,61490563.24000002,6080760.39,42489386.03,2264479.32,10655937.5
Van Ru Credit Corporation,16,3,2843020465.09,NA,58782539.12,9508287.36,39159193.8,2386432.33,7728625.63
"West Asset Management, Inc.",16,3,345324569.91,NA,45464365.93,898839.6000000001,35511810.98,1007674.2,8046041.15
"Windham Professionals, Inc.",16,3,6716240638.62,2243224826.63,255112770.95000002,33915336.03,197370410.71999997,9149880.41,14677143.790000001
"Account Control Technology, Inc.",16,4,9754216144.56,1651749619.6,282115130.96999997,39679424.36,228722871.96000004,8184294.890000001,5528539.760000001
Action Financial Services,16,4,2272221770.68,449909175.2,26538333.990000002,13451796.71,9944444.139999999,2959747.57,182345.57
"Allied Interstate, Inc.",16,4,656905393.02,NA,62250504.970000006,1454378.6600000001,52044668.46,1421336.56,7330121.289999999
Bass and Associates,16,4,NA,291800780.29,667788.3500000001,635944,NA,30343.09,1501.26
CBE Group,16,4,486590834.38,NA,46964945.53,1345823.79,38147765.72,1507817.1600000001,5963538.859999999
Central Research,16,4,1666151965.01,449791655.48,17601057.88,9883201.5,5184880.17,2241272.17,291704.04000000004
"Coast Professional, Inc.",16,4,4735061746.37,899608861.23,88527559.72999999,23602677.39,49444621.269999996,7287156.039999999,8193105.029999999
Collection Technology Incorporated,16,4,506730867.05,NA,40326264.95,1060338.55,33309316.370000005,1132849.42,4823760.609999999
"Collecto, INC dba EOS-CCA",16,4,491755004.2,NA,49261345.559999995,1665452.49,36897612.26,1042091.02,9656189.79
ConServe,16,4,8719644509.58,1652046300.03,264385536.32000002,34483338.57,208368265.83,9687450.51,11846481.41
"Credit Adjustments, Inc.",16,4,2986656796.4,449814109.17,27899743.140000004,17135433.119999997,7186956.03,3396122.45,181231.54
"Delta Management Associates, Inc.",16,4,349986948.75,NA,35799947.73,947157.74,31429360.85,529038.77,2894390.37
"Diversified Collection Services, Inc.",16,4,458592670.73,NA,36159518.859999985,1357837.25,28274779.969999995,952900.66,5574000.98
ERS,16,4,164315478.42,NA,10896700.31,293467.98,7301509.36,312675.51,2989047.46
FH Cann and Associates,16,4,NA,291761512.4,500978.58999999997,422240.62,NA,77379.79000000001,1358.18
"Financial Asset Management Systems, Inc.",16,4,212804734.96,NA,17482636.93,271032.89,13119657.1,401563.15,3690383.79
FMS Investment Corp,16,4,8761719510.16,1651719059.58,240454745.19000003,35030272.2,184533215.72000003,8894764.49,11996492.78
GC Services LP,16,4,8560062765.03,1651695620.3,210396093.42999998,35371921.76,155740145.95,10283066.84,9000958.879999999
"Immediate Credit Recovery, Inc.",16,4,6107022684.61,899521972.63,99234741.71,26634687.259999998,54297744.269999996,7468932.200000001,10833377.98
National Credit Services,16,4,NA,291797663.27,290735.38,206475.71000000002,NA,81953.61,2306.06
"National Recoveries, Inc.",16,4,3930554012.79,899498438.23,50591690.68000001,25310620.410000004,17489102,4464026.0200000005,3327942.25
"NCO Financial Systems, Inc.",16,4,575733810.3,NA,47784093.43000001,2156403.8200000003,35995874.15,1869313.71,7762501.75
"Pioneer Credit Recovery, Inc",16,4,193373060.62,NA,10410055.979999997,729499.12,5469943.829999999,643993.74,3566619.29
"Premiere Credit of North America, LLC",16,4,445576371.07,NA,32428107.320000004,1145561.89,24881992.19,563105.48,5837447.76
Professional Bureau of Collections of Maryland,16,4,NA,291782612.59,392066.37000000005,362910.70999999996,NA,27993.93,1161.73
"Progressive Financial Services, Inc.",16,4,531476438.57,NA,47599544.52,1230721.5899999999,35815622.47,1257152.7,9296047.76
Reliant Capital Solutions,16,4,NA,291759906.78,212827.76999999996,191146.4,NA,19833.39,1847.98
Van Ru Credit Corporation,16,4,589585124.42,NA,44252115.029999994,1453816.86,34616291.8,1506161.08,6675845.289999999
"West Asset Management, Inc.",16,4,293687696.96,NA,20880140.669999994,472184.47,12219790.339999998,1019071.7999999999,7169094.0600000005
"Windham Professionals, Inc.",16,4,8581293228.2,1651790701.42,253757000.63000003,39913680.050000004,188272844.76000002,9702418.5,15868057.32
"Account Control Technology, Inc.",17,1,11180894921.32,1762289221.2,324748212.96000004,37989717.3,272259342.57,8170710.16,6328442.93
Action Financial Services,17,1,2706884854.07,529508950.97,47268241.470000006,13718692.010000002,29319103.47,3152703.2,1077742.79
"Allied Interstate, Inc.",17,1,331402558.64,NA,69135186.86000001,773661.48,61509834.46000001,770129.84,6081561.08
Bass and Associates,17,1,292271701.92,529262568.09,2340636.12,2029884.14,NA,298173.05,12578.93
CBE Group,17,1,263461245.7,NA,68640674.89,1256583.51,61623853.11,965581.02,4794657.25
Central Research,17,1,2106581314.34,529398281.72,36056906.49,10638618.75,22531183.64,2273587.72,613516.38
"Coast Professional, Inc.",17,1,5570659681.08,1057896544.31,157989167.08999997,21834990.630000003,113946043.41999999,8492407.25,13715725.79
Collection Technology Incorporated,17,1,206164913.61,NA,55000834.42,486405.71,50080171.63,586773.78,3847483.3
"Collecto, INC dba EOS-CCA",17,1,290398500.39,NA,50387291,600345.56,40951159.23,799067.1100000001,8036719.1
ConServe,17,1,10141754152.15,1762460808.19,317818066.84999996,36402010.95,255925919.93,10568257.08,14921878.89
"Credit Adjustments, Inc.",17,1,3428233403.34,529397559.4,60966646,17290490.52,39705319.370000005,3466532.0599999996,504304.05000000005
"Delta Management Associates, Inc.",17,1,126577214.5,NA,43782699.010000005,828678.47,40291834.230000004,284931.15,2377255.16
"Diversified Collection Services, Inc.",17,1,228651402.42,NA,33348128.599999998,328305.55,27387614.299999997,878673.0700000001,4753535.68
ERS,17,1,76856604.32,NA,6217922.97,74573.59,3432801.01,246707.92000000004,2463840.45
FH Cann and Associates,17,1,292537721.65,529214492.82,2536699.3899999997,2062113.8499999999,9237.23,448108.1,17240.21
"Financial Asset Management Systems, Inc.",17,1,121918400.01,NA,17814892.75,269606.72000000003,14198528.32,241490.05,3105267.6599999997
FMS Investment Corp,17,1,10205555736.81,1762536135.19,294246485.65000004,36139648.14,236543797.50000003,8564142,12998898.009999998
GC Services LP,17,1,10029655487.64,1762308703.25,240381902.31,36136068.84,184512193.07,10187361.43,9546278.97
"Immediate Credit Recovery, Inc.",17,1,6956473864.14,1058611780.65,157215304.81000003,26698432.209999997,109017693.96000001,7314363.680000001,14184814.96
National Credit Services,17,1,292540132.56,529395621.01,2117649.4,1706212.26,-26.37,385463.91,25999.6
"National Recoveries, Inc.",17,1,4804262623.13,1058576370.36,90961665.94,27414533.799999997,53604110.31,4998303.8100000005,4944718.02
"NCO Financial Systems, Inc.",17,1,326109539.05,NA,61347768.870000005,1033959.81,52624424.870000005,1292119.41,6397264.779999999
"Pioneer Credit Recovery, Inc",17,1,131062904.45,NA,10057441.16,432938.25,6069686.75,462451.04,3092365.12
"Premiere Credit of North America, LLC",17,1,203588372.12,NA,30228566.479999997,290103.46,24726196.599999998,378398.32999999996,4833868.09
Professional Bureau of Collections of Maryland,17,1,292290822.09,529375594.78,2660186.52,2131607.2199999997,NA,512913.66000000003,15665.640000000001
"Progressive Financial Services, Inc.",17,1,289438365.42,NA,63580564.2,497780.00000000006,54714155.39,964310.47,7404318.34
Reliant Capital Solutions,17,1,292765877.74,529402820.41,2214826.6,1784716.32,NA,416813.88,13296.400000000001
Van Ru Credit Corporation,17,1,280279096.8,NA,52693864.20000001,1385374.7799999998,44963568.120000005,871724.0200000001,5473197.28
"West Asset Management, Inc.",17,1,189851297.13,NA,16590781.23,393334.4,9404671.56,617881.67,6174893.6
"Windham Professionals, Inc.",17,1,10018648581.55,1762301956.33,282033553.32000005,35346216.9,221250633.35000002,9199564.85,16237138.22
"Account Control Technology, Inc.",17,2,11185196196.92,NA,331752280.55,52126783.870000005,262158672.18,9198068.35,8268756.1499999985
Action Financial Services,17,2,3213646092.4,688902877.56,65029428.800000004,22497945.270000003,36328400.5,3947186.27,2255896.76
"Allied Interstate, Inc.",17,2,199925588.87,NA,21935379,185109.13,15678070.42,522117.05999999994,5550082.39
Bass and Associates,17,2,817192404.41,538847063.57,6898225.06,5855335.35,155333.05,861929,25627.66
CBE Group,17,2,197772569.93,NA,29015556.209999997,509349.27,23354696.479999997,803037.8300000001,4348472.63
Central Research,17,2,2614270765.54,688964157.39,44903089.4,17087887.47,24229490.57,2687177.0300000003,898534.33
"Coast Professional, Inc.",17,2,6526407656.47,1049518829.72,185649122.81,33016739.97,126178517.75,8702181.17,17751683.92
Collection Technology Incorporated,17,2,131703634.54,NA,20834737.89,445546.25,16458215.16,473645.6,3457330.88
"Collecto, INC dba EOS-CCA",17,2,220580345.49,NA,29022351.65,405834.95,20761596.29,638391.98,7216528.43
ConServe,17,2,10477379551.21,NA,265902374.69000003,46353097.55,188689895.87,12184949.399999999,18674431.87
"Credit Adjustments, Inc.",17,2,3933677629.1,538854511.44,74506870.53999999,24819195.14,44788881.25,3764596.27,1134197.88
"Delta Management Associates, Inc.",17,2,75891854.22,NA,14605141.239999998,138643.54,12115712.44,198475.27000000002,2152309.99
"Diversified Collection Services, Inc.",17,2,180307464.16,NA,22365608.77,1147721.54,16338720.600000001,569887.3600000001,4309279.27
ERS,17,2,62142146.55,NA,3722903.29,214772.13,1107098.77,169987.5,2231044.89
FH Cann and Associates,17,2,821740578.53,688981465.98,8750366.61,7436548.33,59360,1169230.92,85227.36
"Financial Asset Management Systems, Inc.",17,2,94310567,NA,7427370.450000001,107264.92000000001,4202736.800000001,200927.14999999997,2916441.58
FMS Investment Corp,17,2,10526565758.53,NA,242373114.72,52340469.92,164732893.6,10667841.87,14631909.330000002
GC Services LP,17,2,10069416061.17,NA,245383977.53,48161563.650000006,173894492.70999998,11823117.43,11504803.74
"Immediate Credit Recovery, Inc.",17,2,7933020486.47,1049611111.4100001,172346033.04000002,37322752.86,108383651.99000001,8983636.09,17655992.1
National Credit Services,17,2,820105517.79,689026785.73,9061894.44,7786818.23,97639.25,1057437.13,119999.83
"National Recoveries, Inc.",17,2,5812209457.31,1049572599.54,108827370.56000002,40191592.45,53400853.150000006,6776568.51,8458356.450000001
"NCO Financial Systems, Inc.",17,2,262744197.43,NA,29524850.850000005,907078.18,21858612.480000004,1023198.4400000001,5735961.75
"Pioneer Credit Recovery, Inc",17,2,112296906.47,NA,4648271.609999999,607713.67,1544291.1199999999,362323.02999999997,2133943.79
"Premiere Credit of North America, LLC",17,2,168870403.85,NA,19994909.08,369258.64,14795693.77,490784.63,4339172.039999999
Professional Bureau of Collections of Maryland,17,2,820694655.8,547149892.2,6804739.76,5443300.67,71278.38,1267381.44,22779.27
"Progressive Financial Services, Inc.",17,2,204252295.07,NA,28813368.83,167066.22,21275111.77,632551.9,6738638.94
Reliant Capital Solutions,17,2,821570521.28,689049544.18,7519872.1899999995,6310655.18,19975.93,1111946.04,77295.04000000001
Van Ru Credit Corporation,17,2,196876802.52,NA,26312418.57,849784.39,20027388.23,606078.31,4829167.64
"West Asset Management, Inc.",17,2,160826570.69,NA,12135426.59,396470.88,5492077.18,634941.77,5611936.76
"Windham Professionals, Inc.",17,2,8465009288.15,NA,232507897.33,37079215.15,165681998.96,10500842.77,19245840.45
"Account Control Technology, Inc.",17,3,10659143750,NA,354003254.82,45340705.43,286205663.16999996,10731526.97,11725359.25
"Coast Professional, Inc.",17,3,7251296633,NA,220700637.28999996,32858353.569999993,158553459.51999998,9940760.42,19348063.78
ConServe,17,3,10025995146,NA,340696147.53,43865140.3,266210313.58999997,11032983.7,19587709.939999998
FMS Investment Corp,17,3,10099213120,NA,298568056.67,43495126.730000004,229250997.44,10153838.44,15668094.059999999
GC Services LP,17,3,9637163492,NA,271215320.03999996,38634011.97,208592999.45,11459152.07,12529156.55
"Immediate Credit Recovery, Inc.",17,3,8692186733,NA,203716143.06,40603876.629999995,134490825.74,10624654.59,17996786.1
"National Recoveries, Inc.",17,3,6618175068,NA,147275782.89,41932883.31,85234830.47,8129404.44,11978664.67
"Windham Professionals, Inc.",17,3,8060771317,NA,270484894.35,29380228.409999996,212223539.70000002,10661282.36,18219843.880000003
Action Financial Services,17,3,3764341364,NA,84224394.62,23926724.36,52310716.91,4771198.07,3215755.28
Bass and Associates,17,3,1334701856,NA,9490850.86,6975203.32,1403862.27,1087475,24310.27
Central Research,17,3,3190977358,NA,63620685.239999995,18132570.990000002,39942391.019999996,4099013.61,1446709.6199999999
"Credit Adjustments, Inc.",17,3,4315765163,NA,88080597.89000002,24504063.98,57340253.60000001,4577952.67,1658327.6400000001
FH Cann and Associates,17,3,1485266529,NA,20032668.41,8203848.93,9546359.219999999,2029427.0699999998,253033.19
National Credit Services,17,3,1485371898,NA,24972512.200000003,7931432.23,14616663.89,2091086.39,333329.69
Professional Bureau of Collections of Maryland,17,3,1348971654,NA,15049137.430000002,7747385.130000001,5097147.18,2146546.16,58058.95999999999
Reliant Capital Solutions,17,3,1490209375,NA,15510275.5,6560952.42,6488302.45,1981946.94,479073.68999999994
"Account Control Technology, Inc.",17,4,10332249361.19,NA,357842348.78,29977209.409999996,298061114.98,10610933.059999999,19193091.33
Coast Professional Inc,17,4,6983224890.39,NA,229079125.82,26190507.810000002,171872347.45,9398648.96,21617621.6
ConServe,17,4,9697323049.35,NA,347719319.55,29082675.389999997,289089582.07000005,9622660.07,19924402.02
FMS,17,4,9817725232.45,NA,287114442.2699999,32768433.89,227240307.07999998,9327420.15,17778281.15
GC Services,17,4,9370696869.87,NA,276199090.46999997,25062946.38,225209722.29,10790117.959999999,15136303.84
Immediate Credit Recovery,17,4,8452000150.73,NA,185565972.58,28456381.45,127863497.31,9742498.049999999,19503595.77
National Recoveries Inc,17,4,6415838214.2,NA,130156799.86999999,32945112.72,75086567.5,7918877.02,14206242.629999999
Windham,17,4,7786547003.93,NA,278028223.40999997,22035921.16,227609737.20999998,9496177.25,18886387.79
Action Financial Services,17,4,3649243496.93,NA,84001097.34,17874071.74,57222815.5,4707501.28,4196708.82
Bass and Associates,17,4,1306078798.84,NA,14057846.839999998,5939382.539999999,6314033.29,1748458.9,55972.11
Central Research,17,4,3091284452.76,NA,56146738.18000001,13486264.05,36645162.74,3893637.2800000003,2121674.1100000003
Credit Adjustments Inc,17,4,4214422405.2,NA,88126135.75999999,21192062.3,59299814.769999996,5230290.75,2403967.94
FH Cann and Associates,17,4,1434330923.55,NA,36581977.879999995,5126558.79,28555012.72,2295353.22,605053.1499999999
National Credit Services,17,4,1427799317.21,NA,39537965.64000001,6493815.5600000005,30383491.6,2067722.64,592935.84
Professional Bureau of Collections of Maryland,17,4,1311892574.47,NA,20856820.669999998,6366880.09,12486537.979999999,1747398.13,256004.47
Reliant Capital Solutions,17,4,1443710329.89,NA,39389352.45,7382328.700000001,28512904.72,2112328.58,1381790.45
"Account Control Technology, Inc.",18,1,9902938838.2,NA,354244940.08000004,23214939.85,298990491.34,9242945.91,22796562.98
"Coast Professional, Inc.",18,1,6669729821.17,2197773371.27,246720674.02,18528100.32,197029071.70000002,7628977.12,23534524.880000003
ConServe,18,1,9246384059.13,NA,342507242.63,23468095.980000004,290768567.65999997,7721264.58,20549314.41
ERS,18,1,49644116.9,3561790342.68,1375800.8599999999,913674.22,NA,75046.88,387079.76
FMS Investment Corp,18,1,9526537828.78,NA,275903684.46000004,24214027.03,223381849.8,8171570.44,20136237.189999998
GC Services LP,18,1,9010965749.51,NA,288028386.63,20977152.1,237950686.98999998,9857199.49,19243348.05
"Immediate Credit Recovery, Inc.",18,1,8247514995.07,2197804897.92,225134710.58,24502702.85,171787934.85,8592884.33,20251188.55
"National Recoveries, Inc.",18,1,6259911775.15,2197710584.32,163880487.77999997,25853144.970000003,115287154.53999999,7181203.23,15558985.04
"Pioneer Credit Recovery, Inc",18,1,NA,3561890485.42,1940380.1,1698413.12,NA,238059.46,3907.52
"Windham Professionals, Inc.",18,1,7423431410.47,NA,265832488.09999996,17395610.27,220302869.20999998,8445603.51,19688405.11
Action Financial Services,18,1,3541791869.21,439888466.36,99949206.52,12089780.14,79089754.7,3932021.5199999996,4837650.16
Bass and Associates,18,1,1295961512.25,329946368.99,24971687.85,7017679.08,16441277.34,1273006.59,239724.84
Central Research,18,1,3016574195.38,769517027.77,87347361.03,10526479.129999999,69445246.42,4211645.34,3163990.14
"Credit Adjustments, Inc.",18,1,4100002473.82,1098973760.54,118786795.55,14225078.030000001,95650673.83,5542366.9799999995,3368676.71
FH Cann and Associates,18,1,1384526937.62,1099061774.18,55026778.47,4740466.15,46012689.26,2239563.02,2034060.04
National Credit Services,18,1,1367703693.16,725655804.83,62666724.64,4720685.07,55212716.69,1873196.5000000002,860126.38
