year,lake,species,grand_total,comments,region,values
1898,Erie,Blue Pike,NA,NA,New York (NY),NA
1898,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1898,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1898,Erie,Blue Pike,NA,NA,U.S. Total,NA
1898,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1899,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1899,Erie,Blue Pike,NA,NA,New York (NY),809
1899,Erie,Blue Pike,NA,NA,Ohio (OH),2213
1899,Erie,Blue Pike,NA,NA,Pennsylvania (PA),1523
1899,Erie,Blue Pike,NA,NA,U.S. Total,4545
1899,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1900,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1900,Erie,Blue Pike,NA,NA,New York (NY),NA
1900,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1900,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1900,Erie,Blue Pike,NA,NA,U.S. Total,NA
1900,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1901,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1901,Erie,Blue Pike,NA,NA,New York (NY),NA
1901,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1901,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1901,Erie,Blue Pike,NA,NA,U.S. Total,NA
1901,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1902,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1902,Erie,Blue Pike,NA,NA,New York (NY),NA
1902,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1902,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1902,Erie,Blue Pike,NA,NA,U.S. Total,NA
1902,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1903,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1903,Erie,Blue Pike,NA,NA,New York (NY),1003
1903,Erie,Blue Pike,NA,NA,Ohio (OH),1733
1903,Erie,Blue Pike,NA,NA,Pennsylvania (PA),2179
1903,Erie,Blue Pike,NA,NA,U.S. Total,4915
1903,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1904,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1904,Erie,Blue Pike,NA,NA,New York (NY),NA
1904,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1904,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1904,Erie,Blue Pike,NA,NA,U.S. Total,NA
1904,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1905,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1905,Erie,Blue Pike,NA,NA,New York (NY),NA
1905,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1905,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1905,Erie,Blue Pike,NA,NA,U.S. Total,NA
1905,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1906,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1906,Erie,Blue Pike,NA,NA,New York (NY),NA
1906,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1906,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1906,Erie,Blue Pike,NA,NA,U.S. Total,NA
1906,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1907,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1907,Erie,Blue Pike,NA,NA,New York (NY),NA
1907,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1907,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1907,Erie,Blue Pike,NA,NA,U.S. Total,NA
1907,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1908,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1908,Erie,Blue Pike,NA,NA,New York (NY),1805
1908,Erie,Blue Pike,NA,NA,Ohio (OH),4004
1908,Erie,Blue Pike,NA,NA,Pennsylvania (PA),2925
1908,Erie,Blue Pike,NA,NA,U.S. Total,8734
1908,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1909,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1909,Erie,Blue Pike,NA,NA,New York (NY),NA
1909,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1909,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1909,Erie,Blue Pike,NA,NA,U.S. Total,NA
1909,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1910,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1910,Erie,Blue Pike,NA,NA,New York (NY),NA
1910,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1910,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1910,Erie,Blue Pike,NA,NA,U.S. Total,NA
1910,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1911,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1911,Erie,Blue Pike,NA,NA,New York (NY),NA
1911,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1911,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1911,Erie,Blue Pike,NA,NA,U.S. Total,NA
1911,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1912,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1912,Erie,Blue Pike,NA,NA,New York (NY),NA
1912,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1912,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1912,Erie,Blue Pike,NA,NA,U.S. Total,NA
1912,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1913,Erie,Blue Pike,NA,OH: Records cover only part of season.,Michigan (MI),NA
1913,Erie,Blue Pike,NA,OH: Records cover only part of season.,New York (NY),39
1913,Erie,Blue Pike,NA,OH: Records cover only part of season.,Ohio (OH),1804
1913,Erie,Blue Pike,NA,OH: Records cover only part of season.,Pennsylvania (PA),4000
1913,Erie,Blue Pike,NA,OH: Records cover only part of season.,U.S. Total,NA
1913,Erie,Blue Pike,NA,OH: Records cover only part of season.,Canada (ONT),NA
1914,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1914,Erie,Blue Pike,NA,NA,New York (NY),462
1914,Erie,Blue Pike,NA,NA,Ohio (OH),8545
1914,Erie,Blue Pike,NA,NA,Pennsylvania (PA),2852
1914,Erie,Blue Pike,NA,NA,U.S. Total,11859
1914,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1915,Erie,Blue Pike,23643,NA,Michigan (MI),NA
1915,Erie,Blue Pike,23643,NA,New York (NY),886
1915,Erie,Blue Pike,23643,NA,Ohio (OH),13079
1915,Erie,Blue Pike,23643,NA,Pennsylvania (PA),4796
1915,Erie,Blue Pike,23643,NA,U.S. Total,18761
1915,Erie,Blue Pike,23643,NA,Canada (ONT),4882
1916,Erie,Blue Pike,11919,NA,Michigan (MI),NA
1916,Erie,Blue Pike,11919,NA,New York (NY),289
1916,Erie,Blue Pike,11919,NA,Ohio (OH),7683
1916,Erie,Blue Pike,11919,NA,Pennsylvania (PA),1408
1916,Erie,Blue Pike,11919,NA,U.S. Total,9380
1916,Erie,Blue Pike,11919,NA,Canada (ONT),2539
1917,Erie,Blue Pike,2171,NA,Michigan (MI),NA
1917,Erie,Blue Pike,2171,NA,New York (NY),18
1917,Erie,Blue Pike,2171,NA,Ohio (OH),1499
1917,Erie,Blue Pike,2171,NA,Pennsylvania (PA),88
1917,Erie,Blue Pike,2171,NA,U.S. Total,1605
1917,Erie,Blue Pike,2171,NA,Canada (ONT),566
1918,Erie,Blue Pike,2008,NA,Michigan (MI),NA
1918,Erie,Blue Pike,2008,NA,New York (NY),75
1918,Erie,Blue Pike,2008,NA,Ohio (OH),1069
1918,Erie,Blue Pike,2008,NA,Pennsylvania (PA),79
1918,Erie,Blue Pike,2008,NA,U.S. Total,1223
1918,Erie,Blue Pike,2008,NA,Canada (ONT),785
1919,Erie,Blue Pike,4063,NA,Michigan (MI),NA
1919,Erie,Blue Pike,4063,NA,New York (NY),63
1919,Erie,Blue Pike,4063,NA,Ohio (OH),1532
1919,Erie,Blue Pike,4063,NA,Pennsylvania (PA),80
1919,Erie,Blue Pike,4063,NA,U.S. Total,1675
1919,Erie,Blue Pike,4063,NA,Canada (ONT),2388
1920,Erie,Blue Pike,7320,NA,Michigan (MI),NA
1920,Erie,Blue Pike,7320,NA,New York (NY),169
1920,Erie,Blue Pike,7320,NA,Ohio (OH),3494
1920,Erie,Blue Pike,7320,NA,Pennsylvania (PA),302
1920,Erie,Blue Pike,7320,NA,U.S. Total,3965
1920,Erie,Blue Pike,7320,NA,Canada (ONT),3355
1921,Erie,Blue Pike,15311,NA,Michigan (MI),NA
1921,Erie,Blue Pike,15311,NA,New York (NY),367
1921,Erie,Blue Pike,15311,NA,Ohio (OH),5836
1921,Erie,Blue Pike,15311,NA,Pennsylvania (PA),2741
1921,Erie,Blue Pike,15311,NA,U.S. Total,8944
1921,Erie,Blue Pike,15311,NA,Canada (ONT),6367
1922,Erie,Blue Pike,16673,NA,Michigan (MI),NA
1922,Erie,Blue Pike,16673,NA,New York (NY),565
1922,Erie,Blue Pike,16673,NA,Ohio (OH),7202
1922,Erie,Blue Pike,16673,NA,Pennsylvania (PA),2593
1922,Erie,Blue Pike,16673,NA,U.S. Total,10360
1922,Erie,Blue Pike,16673,NA,Canada (ONT),6313
1923,Erie,Blue Pike,12877,NA,Michigan (MI),NA
1923,Erie,Blue Pike,12877,NA,New York (NY),642
1923,Erie,Blue Pike,12877,NA,Ohio (OH),6028
1923,Erie,Blue Pike,12877,NA,Pennsylvania (PA),3013
1923,Erie,Blue Pike,12877,NA,U.S. Total,9683
1923,Erie,Blue Pike,12877,NA,Canada (ONT),3194
1924,Erie,Blue Pike,11955,NA,Michigan (MI),NA
1924,Erie,Blue Pike,11955,NA,New York (NY),527
1924,Erie,Blue Pike,11955,NA,Ohio (OH),5363
1924,Erie,Blue Pike,11955,NA,Pennsylvania (PA),3077
1924,Erie,Blue Pike,11955,NA,U.S. Total,8967
1924,Erie,Blue Pike,11955,NA,Canada (ONT),2988
1925,Erie,Blue Pike,7377,NA,Michigan (MI),NA
1925,Erie,Blue Pike,7377,NA,New York (NY),NA
1925,Erie,Blue Pike,7377,NA,Ohio (OH),4047
1925,Erie,Blue Pike,7377,NA,Pennsylvania (PA),NA
1925,Erie,Blue Pike,7377,NA,U.S. Total,4047
1925,Erie,Blue Pike,7377,NA,Canada (ONT),3330
1926,Erie,Blue Pike,12315,NA,Michigan (MI),NA
1926,Erie,Blue Pike,12315,NA,New York (NY),2170
1926,Erie,Blue Pike,12315,NA,Ohio (OH),4234
1926,Erie,Blue Pike,12315,NA,Pennsylvania (PA),2936
1926,Erie,Blue Pike,12315,NA,U.S. Total,9340
1926,Erie,Blue Pike,12315,NA,Canada (ONT),2975
1927,Erie,Blue Pike,10380,NA,Michigan (MI),NA
1927,Erie,Blue Pike,10380,NA,New York (NY),475
1927,Erie,Blue Pike,10380,NA,Ohio (OH),4637
1927,Erie,Blue Pike,10380,NA,Pennsylvania (PA),2190
1927,Erie,Blue Pike,10380,NA,U.S. Total,7302
1927,Erie,Blue Pike,10380,NA,Canada (ONT),3078
1928,Erie,Blue Pike,6923,NA,Michigan (MI),NA
1928,Erie,Blue Pike,6923,NA,New York (NY),449
1928,Erie,Blue Pike,6923,NA,Ohio (OH),3743
1928,Erie,Blue Pike,6923,NA,Pennsylvania (PA),627
1928,Erie,Blue Pike,6923,NA,U.S. Total,4819
1928,Erie,Blue Pike,6923,NA,Canada (ONT),2104
1929,Erie,Blue Pike,5359,NA,Michigan (MI),NA
1929,Erie,Blue Pike,5359,NA,New York (NY),305
1929,Erie,Blue Pike,5359,NA,Ohio (OH),1803
1929,Erie,Blue Pike,5359,NA,Pennsylvania (PA),713
1929,Erie,Blue Pike,5359,NA,U.S. Total,2821
1929,Erie,Blue Pike,5359,NA,Canada (ONT),2538
1930,Erie,Blue Pike,17690,NA,Michigan (MI),NA
1930,Erie,Blue Pike,17690,NA,New York (NY),564
1930,Erie,Blue Pike,17690,NA,Ohio (OH),9017
1930,Erie,Blue Pike,17690,NA,Pennsylvania (PA),2211
1930,Erie,Blue Pike,17690,NA,U.S. Total,11792
1930,Erie,Blue Pike,17690,NA,Canada (ONT),5898
1931,Erie,Blue Pike,18000,NA,Michigan (MI),NA
1931,Erie,Blue Pike,18000,NA,New York (NY),1103
1931,Erie,Blue Pike,18000,NA,Ohio (OH),7849
1931,Erie,Blue Pike,18000,NA,Pennsylvania (PA),3690
1931,Erie,Blue Pike,18000,NA,U.S. Total,12642
1931,Erie,Blue Pike,18000,NA,Canada (ONT),5358
1932,Erie,Blue Pike,13828,NA,Michigan (MI),NA
1932,Erie,Blue Pike,13828,NA,New York (NY),475
1932,Erie,Blue Pike,13828,NA,Ohio (OH),7784
1932,Erie,Blue Pike,13828,NA,Pennsylvania (PA),1607
1932,Erie,Blue Pike,13828,NA,U.S. Total,9866
1932,Erie,Blue Pike,13828,NA,Canada (ONT),3962
1933,Erie,Blue Pike,12938,NA,Michigan (MI),NA
1933,Erie,Blue Pike,12938,NA,New York (NY),304
1933,Erie,Blue Pike,12938,NA,Ohio (OH),6735
1933,Erie,Blue Pike,12938,NA,Pennsylvania (PA),1747
1933,Erie,Blue Pike,12938,NA,U.S. Total,8786
1933,Erie,Blue Pike,12938,NA,Canada (ONT),4152
1934,Erie,Blue Pike,10654,NA,Michigan (MI),NA
1934,Erie,Blue Pike,10654,NA,New York (NY),459
1934,Erie,Blue Pike,10654,NA,Ohio (OH),5765
1934,Erie,Blue Pike,10654,NA,Pennsylvania (PA),2132
1934,Erie,Blue Pike,10654,NA,U.S. Total,8356
1934,Erie,Blue Pike,10654,NA,Canada (ONT),2298
1935,Erie,Blue Pike,14750,NA,Michigan (MI),NA
1935,Erie,Blue Pike,14750,NA,New York (NY),460
1935,Erie,Blue Pike,14750,NA,Ohio (OH),7142
1935,Erie,Blue Pike,14750,NA,Pennsylvania (PA),2084
1935,Erie,Blue Pike,14750,NA,U.S. Total,9686
1935,Erie,Blue Pike,14750,NA,Canada (ONT),5064
1936,Erie,Blue Pike,26787,NA,Michigan (MI),NA
1936,Erie,Blue Pike,26787,NA,New York (NY),624
1936,Erie,Blue Pike,26787,NA,Ohio (OH),16447
1936,Erie,Blue Pike,26787,NA,Pennsylvania (PA),2837
1936,Erie,Blue Pike,26787,NA,U.S. Total,19908
1936,Erie,Blue Pike,26787,NA,Canada (ONT),6879
1937,Erie,Blue Pike,20317,NA,Michigan (MI),NA
1937,Erie,Blue Pike,20317,NA,New York (NY),1638
1937,Erie,Blue Pike,20317,NA,Ohio (OH),7020
1937,Erie,Blue Pike,20317,NA,Pennsylvania (PA),2304
1937,Erie,Blue Pike,20317,NA,U.S. Total,10962
1937,Erie,Blue Pike,20317,NA,Canada (ONT),9355
1938,Erie,Blue Pike,15818,NA,Michigan (MI),NA
1938,Erie,Blue Pike,15818,NA,New York (NY),1064
1938,Erie,Blue Pike,15818,NA,Ohio (OH),6154
1938,Erie,Blue Pike,15818,NA,Pennsylvania (PA),1442
1938,Erie,Blue Pike,15818,NA,U.S. Total,8660
1938,Erie,Blue Pike,15818,NA,Canada (ONT),7158
1939,Erie,Blue Pike,14960,NA,Michigan (MI),NA
1939,Erie,Blue Pike,14960,NA,New York (NY),529
1939,Erie,Blue Pike,14960,NA,Ohio (OH),7263
1939,Erie,Blue Pike,14960,NA,Pennsylvania (PA),1257
1939,Erie,Blue Pike,14960,NA,U.S. Total,9049
1939,Erie,Blue Pike,14960,NA,Canada (ONT),5911
1940,Erie,Blue Pike,6963,NA,Michigan (MI),NA
1940,Erie,Blue Pike,6963,NA,New York (NY),97
1940,Erie,Blue Pike,6963,NA,Ohio (OH),4541
1940,Erie,Blue Pike,6963,NA,Pennsylvania (PA),313
1940,Erie,Blue Pike,6963,NA,U.S. Total,4951
1940,Erie,Blue Pike,6963,NA,Canada (ONT),2012
1941,Erie,Blue Pike,4831,NA,Michigan (MI),8
1941,Erie,Blue Pike,4831,NA,New York (NY),33
1941,Erie,Blue Pike,4831,NA,Ohio (OH),3029
1941,Erie,Blue Pike,4831,NA,Pennsylvania (PA),217
1941,Erie,Blue Pike,4831,NA,U.S. Total,3287
1941,Erie,Blue Pike,4831,NA,Canada (ONT),1544
1942,Erie,Blue Pike,10627,NA,Michigan (MI),4
1942,Erie,Blue Pike,10627,NA,New York (NY),98
1942,Erie,Blue Pike,10627,NA,Ohio (OH),5296
1942,Erie,Blue Pike,10627,NA,Pennsylvania (PA),824
1942,Erie,Blue Pike,10627,NA,U.S. Total,6222
1942,Erie,Blue Pike,10627,NA,Canada (ONT),4405
1943,Erie,Blue Pike,20842,NA,Michigan (MI),NA
1943,Erie,Blue Pike,20842,NA,New York (NY),809
1943,Erie,Blue Pike,20842,NA,Ohio (OH),8055
1943,Erie,Blue Pike,20842,NA,Pennsylvania (PA),2364
1943,Erie,Blue Pike,20842,NA,U.S. Total,11228
1943,Erie,Blue Pike,20842,NA,Canada (ONT),9614
1944,Erie,Blue Pike,24323,NA,Michigan (MI),NA
1944,Erie,Blue Pike,24323,NA,New York (NY),1526
1944,Erie,Blue Pike,24323,NA,Ohio (OH),11278
1944,Erie,Blue Pike,24323,NA,Pennsylvania (PA),2129
1944,Erie,Blue Pike,24323,NA,U.S. Total,14933
1944,Erie,Blue Pike,24323,NA,Canada (ONT),9390
1945,Erie,Blue Pike,14331,NA,Michigan (MI),NA
1945,Erie,Blue Pike,14331,NA,New York (NY),843
1945,Erie,Blue Pike,14331,NA,Ohio (OH),5167
1945,Erie,Blue Pike,14331,NA,Pennsylvania (PA),1762
1945,Erie,Blue Pike,14331,NA,U.S. Total,7772
1945,Erie,Blue Pike,14331,NA,Canada (ONT),6559
1946,Erie,Blue Pike,4922,NA,Michigan (MI),1
1946,Erie,Blue Pike,4922,NA,New York (NY),111
1946,Erie,Blue Pike,4922,NA,Ohio (OH),2550
1946,Erie,Blue Pike,4922,NA,Pennsylvania (PA),351
1946,Erie,Blue Pike,4922,NA,U.S. Total,3013
1946,Erie,Blue Pike,4922,NA,Canada (ONT),1909
1947,Erie,Blue Pike,4766,NA,Michigan (MI),1
1947,Erie,Blue Pike,4766,NA,New York (NY),78
1947,Erie,Blue Pike,4766,NA,Ohio (OH),2896
1947,Erie,Blue Pike,4766,NA,Pennsylvania (PA),145
1947,Erie,Blue Pike,4766,NA,U.S. Total,3120
1947,Erie,Blue Pike,4766,NA,Canada (ONT),1646
1948,Erie,Blue Pike,14745,NA,Michigan (MI),20
1948,Erie,Blue Pike,14745,NA,New York (NY),553
1948,Erie,Blue Pike,14745,NA,Ohio (OH),6957
1948,Erie,Blue Pike,14745,NA,Pennsylvania (PA),1473
1948,Erie,Blue Pike,14745,NA,U.S. Total,9003
1948,Erie,Blue Pike,14745,NA,Canada (ONT),5742
1949,Erie,Blue Pike,23784,NA,Michigan (MI),NA
1949,Erie,Blue Pike,23784,NA,New York (NY),905
1949,Erie,Blue Pike,23784,NA,Ohio (OH),10616
1949,Erie,Blue Pike,23784,NA,Pennsylvania (PA),2479
1949,Erie,Blue Pike,23784,NA,U.S. Total,14000
1949,Erie,Blue Pike,23784,NA,Canada (ONT),9784
1950,Erie,Blue Pike,14801,NA,Michigan (MI),NA
1950,Erie,Blue Pike,14801,NA,New York (NY),178
1950,Erie,Blue Pike,14801,NA,Ohio (OH),4900
1950,Erie,Blue Pike,14801,NA,Pennsylvania (PA),1112
1950,Erie,Blue Pike,14801,NA,U.S. Total,6190
1950,Erie,Blue Pike,14801,NA,Canada (ONT),8611
1951,Erie,Blue Pike,6064,NA,Michigan (MI),NA
1951,Erie,Blue Pike,6064,NA,New York (NY),109
1951,Erie,Blue Pike,6064,NA,Ohio (OH),1867
1951,Erie,Blue Pike,6064,NA,Pennsylvania (PA),174
1951,Erie,Blue Pike,6064,NA,U.S. Total,2150
1951,Erie,Blue Pike,6064,NA,Canada (ONT),3914
1952,Erie,Blue Pike,14037,NA,Michigan (MI),0
