5,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2015 and January-March 2015"
5,"d","Nebraska",10000,31000,2600,8,120,310,1
5,"d","New Jersey",6000,9000,1100,12,570,1600,18
5,"d","New Mexico",7000,7000,690,10,190,600,9
5,"d","New York",27000,30000,6500,22,430,950,3
5,"d","North Carolina",24000,26000,7000,27,6000,690,3
5,"d","North Dakota",57000,120000,620,1,1800,530,"(Z)"
5,"d","",,,,,,,
5,"d","Ohio",18000,22000,10500,48,5000,3300,15
5,"d","Oklahoma",9500,26000,6000,23,2600,260,1
5,"d","Oregon",77000,87000,6500,8,4300,2400,3
5,"d","Pennsylvania",14000,21000,6500,31,360,-,-
5,"d","South Carolina",17000,17500,2700,15,2700,1400,8
5,"d","South Dakota",50000,97000,4600,5,8500,2800,3
5,"d","Tennessee",9500,9500,2000,21,1000,190,2
5,"d","Texas",191000,250000,26000,10,82000,51000,20
5,"d","Utah",6000,24000,3300,14,2500,290,1
5,"d","Vermont",5500,5500,700,13,1200,20,"(Z)"
5,"d","",,,,,,,
5,"d","Virginia",8000,9000,2500,28,800,460,5
5,"d","Washington",52000,105000,14000,13,13500,9000,9
5,"d","West Virginia",4700,6000,1800,30,570,60,1
5,"d","Wisconsin",16500,29000,8000,28,3100,2500,9
5,"d","Wyoming",5500,12000,2000,17,2000,1400,12
5,"d","",,,,,,,
5,"d","Other States 5/",3410,8990,2080,23,870,150,2
5,"d","",,,,,,,
5,"d","United States",2824610,"(X)",500020,18,546980,270530,10
5,"c",""
5,"f","-  Represents zero."
5,"f","(X)  Not applicable."
5,"f","(Z)  Less than half of the unit shown."
5,"f","1/ January 1 number of colonies plus all colonies moved into that state during the quarter."
5,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 number of colonies."
5,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
5,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 number of colonies."
5,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
1,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2015 and April-June 2015"
1,"h","","","","","","","",""
1,"h","","April 1","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","","","","","","",""
1,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",7500,7500,860,12,1900,680,9
1,"d","Arizona",33000,33000,5500,17,19500,7000,21
1,"d","Arkansas",13500,13500,1900,14,11500,5500,41
1,"d","California",1040000,1050000,104000,10,170000,285000,27
1,"d","Colorado",12000,25000,1900,8,6000,3500,14
1,"d","Connecticut",3000,3000,80,3,1100,150,5
1,"d","Florida",210000,215000,35000,16,44000,24000,11
1,"d","Georgia",114000,124000,23000,19,25000,19000,15
1,"d","Hawaii",13500,13500,120,1,1100,1200,9
1,"d","Idaho",62000,72000,6500,9,16500,10500,15
1,"d","",,,,,,,
1,"d","Illinois",9500,9500,1300,14,6000,1500,16
1,"d","Indiana",8000,12500,1300,10,4900,4300,34
1,"d","Iowa",12500,24000,1400,6,6500,3100,13
1,"d","Kansas",6000,7000,670,10,2800,420,6
1,"d","Kentucky",7500,8500,980,12,3600,1500,18
1,"d","Louisiana",44000,45000,1800,4,6500,8000,18
1,"d","Maine",4600,30000,3200,11,3500,700,2
1,"d","Maryland",8000,11000,370,3,2600,710,7
1,"d","Massachusetts",4100,14000,320,2,940,510,4
1,"d","Michigan",58000,88000,9500,11,13500,5500,6
1,"d","",,,,,,,
1,"d","Minnesota",71000,125000,12500,10,20000,21000,17
1,"d","Mississippi",89000,89000,11000,12,5500,10000,11
1,"d","Missouri",11500,12500,500,4,1900,1800,14
1,"d","Montana",36000,210000,4200,2,14000,33000,16
1,"d","Nebraska",29000,68000,4100,6,15500,4600,7
1,"d","New Jersey",8500,19000,1800,10,2100,2900,15
1,"d","New Mexico",6500,8500,1000,12,1500,330,4
1,"d","New York",24000,34000,1100,3,11000,1500,4
1,"d","North Carolina",19500,23000,1800,8,5500,3300,14
1,"d","North Dakota",121000,450000,29000,6,39000,61000,14
1,"d","",,,,,,,
1,"d","Ohio",17500,19000,2100,11,10000,6000,32
1,"d","Oklahoma",25000,27000,2200,8,5500,2200,8
1,"d","Oregon",82000,95000,5500,6,14500,9500,10
1,"d","Pennsylvania",15500,19000,1600,8,8500,2600,14
1,"d","South Carolina",17500,18500,950,5,1100,2000,11
1,"d","South Dakota",100000,290000,21000,7,27000,23000,8
1,"d","Tennessee",7500,7500,730,10,3600,920,12
1,"d","Texas",305000,315000,33000,11,76000,94000,30
1,"d","Utah",24000,27000,3400,13,10000,3900,14
1,"d","Vermont",6000,6000,100,2,580,50,1
1,"d","",,,,,,,
1,"d","Virginia",7500,7500,270,4,2100,430,6
1,"d","Washington",105000,127000,5000,4,15000,13000,10
1,"d","West Virginia",4700,4700,570,12,2900,590,13
1,"d","Wisconsin",25000,65000,4600,7,10000,5500,9
1,"d","Wyoming",12000,25000,3200,13,7500,5000,20
1,"d","",,,,,,,
1,"d","Other States 5/",8600,11200,1940,17,4140,1960,18
1,"d","",,,,,,,
1,"d","United States",2849500,"(X)",352860,12,661860,692850,24
1,"c",""
1,"f","(X)  Not applicable."
1,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
1,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
7,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2015 and July-September 2015"
7,"h","","","","","","","",""
7,"h","","July 1","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","","","","","","",""
7,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",8500,9000,1400,16,160,260,3
7,"d","Arizona",40000,40000,6000,15,4300,15500,39
7,"d","Arkansas",23000,30000,9000,30,500,210,1
7,"d","California",730000,800000,76000,10,40000,93000,12
7,"d","Colorado",29000,30000,4500,15,1400,1400,5
7,"d","Connecticut",3700,3700,50,1,190,440,12
7,"d","Florida",164000,220000,36000,16,37000,29000,13
7,"d","Georgia",108000,110000,13000,12,19500,15500,14
7,"d","Hawaii",14500,14500,2700,19,1200,5500,38
7,"d","Idaho",80000,128000,14000,11,5500,11500,9
7,"d","",,,,,,,
7,"d","Illinois",14000,14000,1400,10,1300,1100,8
7,"d","Indiana",15000,15000,1600,11,1400,420,3
7,"d","Iowa",29000,37000,3000,8,640,680,2
7,"d","Kansas",9000,9500,1000,11,100,160,2
7,"d","Kentucky",10000,10000,1300,13,170,550,6
7,"d","Louisiana",50000,55000,2000,4,2300,1800,3
7,"d","Maine",6000,6000,450,8,410,140,2
7,"d","Maryland",7000,7500,680,9,730,70,1
7,"d","Massachusetts",7500,7500,560,8,290,400,5
7,"d","Michigan",89000,89000,7000,8,3300,3800,4
7,"d","",,,,,,,
7,"d","Minnesota",133000,136000,32000,24,640,2300,2
7,"d","Mississippi",23000,34000,3500,10,260,110,"(Z)"
7,"d","Missouri",14000,14000,1200,9,700,630,5
7,"d","Montana",140000,156000,10500,7,3200,10000,6
7,"d","Nebraska",67000,77000,6000,8,500,6000,8
7,"d","New Jersey",18500,18500,210,1,190,500,3
7,"d","New Mexico",6500,6500,1600,25,1300,650,10
7,"d","New York",44000,47000,6500,14,4400,7000,15
7,"d","North Carolina",24000,24000,2900,12,2500,1100,5
7,"d","North Dakota",460000,500000,93000,19,11000,22000,4
7,"d","",,,,,,,
7,"d","Ohio",23000,23000,1900,8,2300,880,4
7,"d","Oklahoma",19500,22000,230,1,160,190,1
7,"d","Oregon",68000,100000,8500,9,8000,21000,21
7,"d","Pennsylvania",25000,25000,1800,7,1800,2400,10
7,"d","South Carolina",12000,12000,2000,17,880,580,5
7,"d","South Dakota",295000,295000,53000,18,2100,13000,4
7,"d","Tennessee",10000,10000,1200,12,500,350,4
7,"d","Texas",76000,136000,16500,12,5500,4800,4
7,"d","Utah",31000,36000,8000,22,1400,2200,6
7,"d","Vermont",6000,6500,40,1,30,20,"(Z)"
7,"d","",,,,,,,
7,"d","Virginia",8000,8000,680,9,520,220,3
7,"d","Washington",84000,97000,11500,12,1800,20000,21
7,"d","West Virginia",7000,7000,300,4,300,270,4
7,"d","Wisconsin",60000,62000,9000,15,1300,4300,7
7,"d","Wyoming",29000,35000,2500,7,270,440,1
7,"d","",,,,,,,
7,"d","Other States 5/",12180,12280,900,7,1050,700,6
7,"d","",,,,,,,
7,"d","United States",3132880,"(X)",457100,15,172990,303070,10
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 number of colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 number of colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 number of colonies."
7,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
8,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2015 and October-December 2015"
8,"h","","","","","","","",""
8,"h","","October 1","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","","","","","","",""
8,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",8000,8000,610,8,80,60,1
8,"d","Arizona",36000,39000,12000,31,3000,16000,41
8,"d","Arkansas",23000,27000,2400,9,1900,-,-
8,"d","California",750000,1260000,149000,12,39000,75000,6
8,"d","Colorado",24000,24000,2500,10,3400,-,-
8,"d","Connecticut",3200,3200,210,7,40,70,2
8,"d","Florida",220000,260000,37000,14,30000,28000,11
8,"d","Georgia",110000,121000,18000,15,4400,1900,2
8,"d","Hawaii",13000,13000,690,5,2700,760,6
8,"d","Idaho",121000,145000,22000,15,5500,5500,4
8,"d","",,,,,,,
8,"d","Illinois",14000,14000,690,5,-,30,"(Z)"
8,"d","Indiana",11500,11500,1100,10,140,-,-
8,"d","Iowa",35000,35000,4300,12,40,30,"(Z)"
8,"d","Kansas",8500,8500,3400,40,50,20,"(Z)"
8,"d","Kentucky",8500,8500,1100,13,20,10,"(Z)"
8,"d","Louisiana",55000,71000,4900,7,1100,2400,3
8,"d","Maine",4700,4700,60,1,530,20,"(Z)"
8,"d","Maryland",7500,9500,730,8,-,-,-
8,"d","Massachusetts",4500,4500,260,6,30,30,1
8,"d","Michigan",67000,73000,9000,12,210,1600,2
8,"d","",,,,,,,
8,"d","Minnesota",104000,105000,10000,10,600,40,"(Z)"
8,"d","Mississippi",31000,34000,1500,4,500,230,1
8,"d","Missouri",13500,13500,690,5,30,40,"(Z)"
8,"d","Montana",116000,123000,10000,8,1000,80,"(Z)"
8,"d","Nebraska",72000,73000,7000,10,10,5500,8
8,"d","New Jersey",8000,8500,270,3,20,10,"(Z)"
8,"d","New Mexico",6000,6000,290,5,290,30,1
8,"d","New York",45000,45000,4000,9,260,10,"(Z)"
8,"d","North Carolina",22000,22000,2200,10,510,70,"(Z)"
8,"d","North Dakota",230000,275000,35000,13,2700,9000,3
8,"d","",,,,,,,
8,"d","Ohio",19000,19000,2400,13,200,140,1
8,"d","Oklahoma",5000,10000,650,7,290,60,1
8,"d","Oregon",100000,114000,8500,8,200,1400,1
8,"d","Pennsylvania",22000,23000,2500,11,1300,6500,28
8,"d","South Carolina",10000,17500,2200,13,640,1000,6
8,"d","South Dakota",194000,205000,9000,4,2400,-,-
8,"d","Tennessee",8500,10000,1100,11,70,420,4
8,"d","Texas",125000,250000,25000,10,13000,2000,1
8,"d","Utah",28000,28000,1900,7,120,100,"(Z)"
8,"d","Vermont",6500,6500,940,15,10,10,"(Z)"
8,"d","",,,,,,,
8,"d","Virginia",7500,7500,750,10,-,350,5
8,"d","Washington",87000,89000,6500,7,330,170,"(Z)"
8,"d","West Virginia",7000,7000,610,9,190,140,2
8,"d","Wisconsin",48000,48000,6500,14,210,10,"(Z)"
8,"d","Wyoming",24000,25000,1300,5,30,-,-
8,"d","",,,,,,,
8,"d","Other States 5/",11360,12560,1630,13,100,50,"(Z)"
8,"d","",,,,,,,
8,"d","United States",2874760,"(X)",412380,14,117150,158790,6
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 number of colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 number of colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 number of colonies."
8,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
11,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
11,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2016 and January-March 2016"
11,"h","","","","","","","",""
11,"h","","January 1","January-March","January-March","January-March","January-March","January-March","January-March"
11,"h","State","","","","","","",""
11,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
11,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
11,"h","","","","","","","",""
11,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
11,"d","Alabama",7500,7500,1700,23,1200,180,2
11,"d","Arizona",30000,30000,4700,16,2200,960,3
11,"d","Arkansas",27000,27000,5000,19,4700,2200,8
11,"d","California",1140000,1410000,210000,15,175000,63000,5
11,"d","Colorado",6000,7000,570,8,-,20,"(Z)"
11,"d","Connecticut",2700,2700,270,10,70,10,"(Z)"
11,"d","Florida",245000,265000,45000,17,36000,18500,7
11,"d","Georgia",100000,100000,20000,20,28000,6000,6
11,"d","Hawaii",15000,15000,280,2,570,1100,7
11,"d","Idaho",90000,97000,6500,7,5500,6500,7
11,"d","",,,,,,,
11,"d","Illinois",7000,7500,1300,17,470,20,"(Z)"
11,"d","Indiana",6500,6500,770,12,40,-,-
11,"d","Iowa",16500,16500,3200,19,90,-,-
11,"d","Kansas",4700,4700,980,21,-,200,4
11,"d","Kentucky",7000,7000,1300,19,110,70,1
11,"d","Louisiana",68000,69000,9500,14,7500,5500,8
11,"d","Maine",2200,3700,170,5,-,-,-
11,"d","Maryland",6500,6500,1400,22,40,20,"(Z)"
11,"d","Massachusetts",3000,3000,370,12,120,330,11
11,"d","Michigan",25000,37000,5000,14,2300,110,"(Z)"
11,"d","",,,,,,,
11,"d","Minnesota",37000,39000,6000,15,4400,10,"(Z)"
11,"d","Mississippi",24000,77000,6500,8,11000,1700,2
11,"d","Missouri",11500,11500,1200,10,930,290,3
11,"d","Montana",15500,48000,840,2,11500,-,-
11,"d","Nebraska",10500,21000,330,2,40,30,"(Z)"
11,"d","New Jersey",8500,8500,1000,12,80,40,1
11,"d","New Mexico",6000,6500,1700,26,10,70,1
11,"d","New York",31000,31000,4000,13,140,1400,5
11,"d","North Carolina",18500,24000,2500,10,80,840,4
11,"d","North Dakota",82000,173000,17000,10,-,-,-
11,"d","",,,,,,,
11,"d","Ohio",16000,16000,4200,26,760,100,1
11,"d","Oklahoma",6000,6000,2900,48,60,510,9
11,"d","Oregon",70000,92000,2800,3,3800,1800,2
11,"d","Pennsylvania",12500,12500,2900,23,220,340,3
11,"d","South Carolina",16500,16500,3400,21,2100,1800,11
11,"d","South Dakota",30000,91000,770,1,30,-,-
11,"d","Tennessee",9000,9000,1700,19,100,150,2
11,"d","Texas",240000,290000,29000,10,73000,42000,15
11,"d","Utah",12000,12500,1700,14,710,100,1
11,"d","Vermont",5500,5500,410,8,-,-,-
11,"d","",,,,,,,
11,"d","Virginia",6500,6500,1100,17,500,130,2
11,"d","Washington",78000,135000,13000,10,4200,2000,2
11,"d","West Virginia",6500,7500,1700,23,-,10,"(Z)"
11,"d","Wisconsin",22000,23000,2900,13,530,-,-
11,"d","Wyoming",2700,5000,340,7,-,-,-
11,"d","",,,,,,,
11,"d","Other States 5/",7290,7890,900,11,60,10,"(Z)"
11,"d","",,,,,,,
11,"d","United States",2594590,"(X)",428800,17,378160,158050,6
11,"c",""
11,"f","-  Represents zero."
11,"f","(X)  Not applicable."
11,"f","(Z)  Less than half of the unit shown."
11,"f","1/ January 1 number of colonies plus all colonies moved into that state during the quarter."
11,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 number of colonies."
11,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
11,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 number of colonies."
11,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
2,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Colony Health Stressors with Five or More Colonies – States and United States: January-March 2015"
2,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
2,"h","","","","","","",""
2,"h","","Varroa","Other pests","","","",""
2,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
2,"h","","","","","","",""
2,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
2,"d","Alabama",10.0,5.4,"(Z)",2.2,9.1,9.4
2,"d","Arizona",26.9,20.5,0.1,"(Z)",1.8,3.1
2,"d","Arkansas",17.6,11.4,1.5,3.4,1.0,1.0
2,"d","California",24.7,7.2,3.0,7.5,6.5,2.8
2,"d","Colorado",14.6,0.9,1.8,0.6,2.6,5.9
2,"d","Connecticut",2.5,1.4,"(Z)","(Z)",21.2,2.4
2,"d","Florida",22.3,13.5,0.8,8.9,5.1,4.4
2,"d","Georgia",6.2,4.9,3.3,2.6,4.8,10.5
2,"d","Hawaii",38.8,37.7,1.6,"(Z)",2.0,"(Z)"
2,"d","Idaho",39.8,6.7,12.5,4.8,8.9,4.9
2,"d","",,,,,,
2,"d","Illinois",12.3,6.9,0.7,0.4,12.6,11.6
2,"d","Indiana",20.7,0.3,0.2,0.3,22.3,11.7
2,"d","Iowa",26.0,0.7,4.6,3.4,18.0,3.4
2,"d","Kansas",32.7,1.3,1.1,14.2,9.5,3.4
2,"d","Kentucky",10.8,10.7,2.5,2.5,22.7,12.9
2,"d","Louisiana",17.2,4.7,4.3,1.7,3.1,2.1
2,"d","Maine",4.4,0.1,"(Z)","(Z)",7.5,1.9
2,"d","Maryland",10.1,1.8,0.4,"(Z)",24.2,12.4
2,"d","Massachusetts",23.5,3.5,2.1,2.8,7.6,4.7
2,"d","Michigan",14.3,3.1,1.1,1.6,8.3,4.6
2,"d","",,,,,,
2,"d","Minnesota",1.4,0.1,"(Z)",0.1,1.6,2.1
2,"d","Mississippi",9.4,8.2,0.1,2.1,1.2,1.1
2,"d","Missouri",13.1,6.0,2.2,4.2,11.8,6.3
2,"d","Montana",8.7,0.5,0.6,0.8,2.3,7.9
2,"d","Nebraska",5.9,0.1,0.1,0.5,0.3,3.0
2,"d","New Jersey",40.1,13.2,30.4,11.1,19.5,16.7
2,"d","New Mexico",17.1,0.1,"(Z)",0.2,1.3,0.4
2,"d","New York",7.6,2.6,0.5,4.4,12.4,8.3
2,"d","North Carolina",35.5,2.3,0.1,22.9,6.2,12.2
2,"d","North Dakota",1.7,1.7,"(Z)","(Z)",2.5,0.1
2,"d","",,,,,,
2,"d","Ohio",10.7,1.6,1.0,3.0,17.8,3.1
2,"d","Oklahoma",14.5,10.1,0.5,"(Z)",2.1,2.9
2,"d","Oregon",20.2,2.0,0.4,0.6,1.6,1.1
2,"d","Pennsylvania",28.1,6.3,1.9,1.9,17.8,6.3
2,"d","South Carolina",10.5,2.3,0.2,0.3,3.6,2.9
2,"d","South Dakota",1.2,0.9,0.3,0.5,1.2,1.8
2,"d","Tennessee",22.2,17.1,"(Z)","(Z)",13.0,4.4
2,"d","Texas",21.5,12.2,5.0,11.1,2.3,6.2
2,"d","Utah",13.6,0.9,0.1,4.4,3.0,0.5
2,"d","Vermont",2.3,5.6,"(Z)","(Z)",5.8,4.9
2,"d","",,,,,,
2,"d","Virginia",19.0,9.4,2.3,"(Z)",9.8,11.9
2,"d","Washington",21.5,0.5,0.3,3.6,6.0,1.1
2,"d","West Virginia",18.0,7.3,2.2,2.1,14.6,6.1
2,"d","Wisconsin",18.8,1.6,2.7,8.5,8.3,5.8
2,"d","Wyoming",0.9,"(Z)","(Z)","(Z)",0.7,"(Z)"
2,"d","",,,,,,
2,"d","Other States 4/",0.8,0.1,"(Z)",0.1,0.9,"(Z)"
2,"d","",,,,,,
2,"d","United States",25.2,8.6,3.1,7.4,6.9,4.3
2,"c",""
2,"f","(Z)  Less than half of the unit shown."
2,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
2,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
2,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
2,"f","4/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
13,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
13,"t","Colony Health Stressors with Five or More Colonies – States and United States: April-June 2015"
13,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
13,"h","","","","","","",""
13,"h","","Varroa","Other pests","","","",""
13,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
13,"h","","","","","","",""
13,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
13,"d","Alabama",16.7,42.5,"(Z)",2.3,3.2,4.1
13,"d","Arizona",8.4,32.1,0.5,20.1,28.2,0.3
13,"d","Arkansas",65.9,63.4,7.0,22.6,27.4,9.3
13,"d","California",50.9,21.5,7.8,23.0,14.2,3.1
13,"d","Colorado",38.6,1.8,4.6,2.8,3.4,6.6
13,"d","Connecticut",10.2,0.4,1.9,0.8,1.0,0.7
13,"d","Florida",44.2,26.4,2.7,17.7,13.6,5.4
13,"d","Georgia",52.8,17.5,2.9,28.7,11.5,4.1
13,"d","Hawaii",60.1,61.0,0.3,0.1,3.2,0.1
13,"d","Idaho",25.5,6.7,6.5,6.0,13.7,0.3
13,"d","",,,,,,
13,"d","Illinois",10.3,3.7,0.2,2.5,2.3,2.4
13,"d","Indiana",15.4,1.8,7.0,0.5,4.4,2.0
13,"d","Iowa",21.5,5.1,2.9,7.8,2.7,1.9
13,"d","Kansas",14.4,2.4,0.9,0.1,3.5,4.9
13,"d","Kentucky",21.7,18.2,5.3,1.8,9.5,2.9
13,"d","Louisiana",36.4,3.7,0.2,1.1,5.0,0.5
13,"d","Maine",72.1,34.5,0.1,34.5,0.5,0.1
13,"d","Maryland",4.9,1.3,0.2,2.5,1.6,1.5
13,"d","Massachusetts",66.8,61.7,0.2,61.8,4.4,3.1
13,"d","Michigan",26.9,13.0,0.6,9.1,16.4,3.1
13,"d","",,,,,,
13,"d","Minnesota",25.4,6.2,1.4,16.5,10.1,9.3
13,"d","Mississippi",10.1,6.0,0.3,0.1,2.3,1.7
13,"d","Missouri",5.1,6.2,3.1,1.6,1.0,7.4
