id,scene_description
150,"[Close-up of Iroh, who does not look pleased with the attitude of his nephew.]"
150,[Starts to yell at his uncle.]
151,[Concedes reluctantly. On a dire tone.]
151,[His expression changes completely to one of delight as he picks something up from the ground.]
151,"[He quickly munches down the roast duck, much to the dismay of Zuko.]"
153,[With a stern expression.]
153,[He brings out his club and holds it proudly.]
153,"[He clutches his fist to emphasize the word ""men"" as he stares down the people in front of him.]"
155,[Waving his hand in the air.]
156,[Angrily.]
156,[He makes some wide arm gestures to emphasize his words again.]
158,[Sighs.]
160,[Runs up to Sokka as the children leave. In a worried tone.]
162,[Amused.]
164,[Annoyed.]
164,[Angrily points at Aang.]
168,[Yelling angrily.]
168,"[The laughter of the children is stifled immediately and Appa turns his head to look at Sokka, who accusingly directs his anger to Aang.]"
170,[Slides down from Appa's head.]
171,[Raises one eyebrow in disbelief.]
173,[Exclaims enthusiastically.]
178,[Chasing the penguins while laughing.]
178,"[He jumps at a penguin, but the animal evades his attempt and Aang belly flops into the snow. He turns on his back and quickly erects himself with his airbending as Katara comes up beside him.]"
180,[Amused.]
181,"[Having grabbed the tail of a penguin, he holds on as it pulls him through the snow for a short way before letting go and looking up at Katara.]"
181,[He airbends himself into a sitting position.]
182,[Sadly.]
183,[He thinks for a moment.]
185,[He happily points at himself.]
186,[Unsure.]
188,[Mockingly imitating a teacher.]
188,[Inclines her head toward Aang.]
188,[She conjures a fish out of her sleeve.]
192,[Happily.]
195,[In awe.]
196,[On a slightly dark tone.]
196,[Aang begins to approach the wreckage.]
199,[Her voice echoes through the room.]
199,"[The camera shifts through the room, revealing all the weapons more closely.]"
200,[Aang picks up a Guan Dao to inspect it.]
202,[Uncertain.]
204,[In full disbelief and slightly accusing.]
205,[Aang's expression changes to one of comprehension.]
207,[Saddened by his new discovery.]
208,[Squats beside him.]
209,[Cheerfully.]
210,[Smiling warmly at him while offering her hand.]
218,[Aang notices a hole in the roof of the ship and takes a surprised Katara into his arms.]
221,[Aang and Katara reach the ground again and Aang sets Katara down. They start to walk away.]
221,[He turns and angrily yells to a soldier behind him.]
221,[Zuko peeks through his telescope again to see that Katara and Aang are running now. Zuko follows the direction they are running in with his telescope and discovers that they must be headed for the village he spots.]
226,[Joyfully.]
228,[Angrily.]
228,[Accusingly points a finger at Aang as he and Katara draw closer.]
229,[Protesting.]
230,"[Sheepishly, as Katara glares at Sokka.]"
230,[Awkwardly rubs his head.]
231,[Worriedly.]
232,[Sorrowfully.]
233,"[Angry and triumphant, having found an excuse.]"
233,[The children begin to sadly walk away.]
234,"[Irritably, clenching her fists.]"
235,[Stubbornly persisting in his anger.]
235,[Pointing to Aang.]
236,[Angrily.]
236,"[Continues in a calm, soothing voice.]"
237,[Annoyed.]
238,[Optimistically.]
239,[Angrily.]
240,[Pleading.]
241,[Gravely.]
242,[Outraged.]
242,[Drags Aang away.]
243,[Demanding.]
244,[Angrily.]
245,[Confusedly.]
245,[Brightening.]
246,[Shows shot of the entire Southern Water Tribe.]
248,[Understanding.]
249,[Upset.]
249,[In a quieter tone.]
251,[Still in that quiet tone.]
252,"[He places one hand on Appa, but is suddenly struck with realization.]"
252,[He uses his airbending to hop onto Appa's head.]
253,"[Sarcastically, with arms crossed.]"
254,[Encouragingly.]
256,[Mockingly.]
257,[Runs from crowd to stand next to Katara with tears in her eyes.]
257,[Close-up.]
258,[Sadly.]
258,"[Looks at Katara, who frowns back at him, her eyes saddened while her hair loopies sway in the wind.]"
260,[Consoling tone.]
260,[Katara quickly turns around and cuts her off.]
261,"[Rounding on Kanna and interrupting her, her voice full of empassioned rage.]"
261,[Gestures in the direction Aang took off.]
264,[Stopping and dancing around.]
265,"[Authoritatively, a twinge of annoyance in his voice; he points onward, ushering the boy in that direction.]"
267,[Sorrowfully.]
267,[Catches sight of Fire Nation ship advancing toward the Southern Water Tribe; gasps.]
267,[He slides off the ice formation onto the ground.]
269,[Disappointed at the tower's collapse.]
271,[Horrified.]
273,[Hysterically.]
275,[Angrily.]
277,[Shaking Kanna; annoyed.]
279,[Angrily.]
283,"[Cheerfully, despite the present situation.]"
284,[Moodily.]
287,[Shocked.]
289,[Surprised.]
290,[Bewildered.]
292,[Angrily.]
293,"[Calmly, tilting his head to one side with a somewhat confused expression.]"
295,"[He holds his staff in front of him as an offer, making sure Zuko understands that he does not wish to continue fighting.]"
297,[Sadly.]
298,[Surprisingly calm.]
298,[He gasps when he is shoved on the walkway. Katara's face contorts with sadness and fright.]
299,[Boarding the ship up the walkway. Determined.]
301,"[Sokka is seen in the background, carrying a pack as she speaks on a determined tone.]"
303,[Making arm gestures to emphasize her words while she speaks in an objective tone.]
303,"[Cuts to shot of her and her brother, her back to the screen.]"
304,[Cutting her off.]
304,[Slightly annoyed.]
306,[Running over to her brother.]
306,[She gives him a hug.]
307,[Inviting.]
308,[Annoyed.]
309,"[Shrugging, nonchalant.]"
310,[Accusingly.]
312,[Smiling warmly.]
312,[Kanna holds up their sleeping bags.]
312,[The siblings glance at each other in surprise. Kanna walks over to face Katara.]
312,[Hugs Katara and who at the end takes the sleeping back out of her hands; to Sokka.]
313,"[Kanna hugs Sokka, who, slightly embarrassed, pats her back.]"
313,[He smiles broadly when she releases him.]
316,[Pointing at the ready canoe.]
318,[Brightly.]
318,[Begins running toward the bison.]
319,[Annoyed.]
321,[Inspects the staff further.]
321,[To his soldiers.]
321,[Handing the staff to Iroh.]
323,[Turns to one of Zuko's men and gives him the staff; casually.]
325,[Slyly.]
326,[Unamused.]
330,[Unamused.]
330,[Katara glances annoyed at her brother.]
331,[Pleading as Appa growls again.]
332,[Blandly.]
333,[Strokes Appa.]
333,[Appa grunts.]
336,[Thrilled.]
337,[Ecstatically looking over the rim of the saddle.]
339,[Sheepishly.]
339,[Brightens quickly.]
343,[Off camera.]
345,[Whispering.]
351,[Shocked.]
353,[Ecstatic.]
355,[Horrified.]
357,[Voice-over.]
359,[Shocked.]
360,[Impressed.]
362,[Worried.]
364,[Weakly.]
366,[Weakly.]
367,[Rising.]
369,[Triumphantly.]
371,[Complaining.]
373,[Urgently.]
374,"[Muttering to himself, as he uses his boomerang to chip the ice.]"
374,[He frees his left foot.]
374,[He manages to break free and races up Appa's tail.]
376,[Rubbing eyes and staring up at Appa in surprise.]
378,[Angrily.]
380,[Calmly.]
382,[Holding back rage.]
382,"[Cuts to a shot of the damaged ship, the whole front covered in ice and snow.]"
382,[Yells his order to the soldiers and points at the piles of snow.]
384,[Slightly embarrassed.]
386,[Bewildered.]
387,"[Quietly, slightly downcast, sitting on the edge of the saddle.]"
388,"[Curious, but serious.]"
389,[Turns away slightly; saddened.]
392,[Downcast.]
394,[Looking at Katara.]
395,[Brightening a bit.]
396,"[Turning to face her, smiling and brightening up completely.]"
397,[Faces her brother; cheerfully.]
398,[Content.]
399,[Optimistically.]
400,"[Cheerfully, pulling out a rolled up scroll.]"
400,"[He uses airbending to situate himself onto the saddle and unrolls the scroll, revealing a map of the Avatar World.]"
402,[Curiously.]
402,[Points to one of the locations.]
403,[Points to the location in Earth Kingdom.]
403,[Points to the location in Air Nomad territory.]
403,[Katara and Sokka stare at him in wonder.]
403,[The siblings glance at each other.]
407,[Excitedly.]
408,[Cautiously.]
408,[She turns around to face him.]
409,[Smiling broadly.]
410,[Cautiously.]
411,[Happily.]
413,[Cheerfully.]
413,"[Sokka awakens, making groggy noises.]"
414,[Grunting sleepily.]
416,[Alarmed.]
416,"[Aang moves the stick up and down the sleeping bag, only touching Sokka with the tip of it.]"
417,[He lazily opens one eye before yelling out in horror.]
417,"[He quickly rises and hops around, still inside the sleeping bag.]"
417,"[After two hops, Sokka slams flat to the ground.]"
419,[Happily.]
422,[Disinterested.]
423,"[Turns around sharply to face Iroh, as he slightly backs off.]"
423,[Makes some wide arm movements.]
424,"[Iroh and Zuko turn, with shocked expressions on their face, toward the camera in the direction the sound came from.]"
424,[Close-up of a man with big sideburns dressed in a Fire Nation uniform.]
426,[With dislike in his voice.]
427,[Smirks.]
427,[Bows slightly in Iroh's direction.]
428,[Bows back.]
433,"[He holds up one finger, while Iroh stares disinterested in front of him.]"
433,"[He glances at his uncle, and angrily commands him as he gestures at Zhao.]"
434,"[Iroh's eyes open wide in surprise, as he is addressed by Zuko.]"
434,[He happily holds his hand up and relates enthusiastically.]
434,"[To Zuko, from the corner of his mouth in a confused tone.]"
435,[Looks at his uncle uncomfortably.]
436,[In disbelief.]
436,[Smirks while he gets into Zuko's face.]
437,[He averts his gaze and begins to walk away.]
439,[Removes his hand from Zuko's shoulder as he faces Zhao while Zuko just slants his eyes.]
441,[Annoyed.]
443,[Accusingly to the two in front of him.]
444,[Surprised.]
444,[Happily.]
444,[The hint of a smile can be heard.]
445,[Shocked.]
445,[Looks up before slanting his eyes and groans. Longing.]
447,[Excitedly.]
448,[Uneasily.]
449,[Cheerfully.]
450,[Close-up of Katara.]
450,[Sadly.]
451,[Ponders over her words for a bit. Hopefully.]
452,[Places one hand on Aang's shoulder.]
453,"[Cheerfully, as Katara moves her hand back to her side.]"
453,[Caresses Appa's head.]
457,[Voice-over.]
460,[To Appa.]
460,[His eyes squint a bit in happiness.]
462,"[Shift to a bird view of the tent, revealing Zuko, sitting at a table, and Iroh, standing in the corner, looking at some weapons that are placed against the wall. Zhao turns around.]"
463,[Close-up. Angrily.]
464,[Pulls up alongside Zuko and smirks.]
468,[Aggressively.]
469,"[Close-up of Zuko, as he slants his eyes.]"
469,"[Close-up of Zhao, whose face contorts in an evil expression.]"
470,[Faces Zhao and responds very clearly.]
470,[Stares back in front of him.]
471,"[With an expression of disbelief on his face, as he rises from his chair.]"
471,[Leans in and faces Zuko.]
472,[Looks up at Zhao and his tone becomes slightly more aggressive.]
472,"[Close-up, as he continues on a softer tone, slightly mockingly.]"
472,[Gets up.]
474,[Close-up of Zuko's head from behind.]
475,[Smiling evilly.]
475,"[Close-up of Zuko's face, as Zhao walks up to him and leans over to talk into Zuko's ear. Zuko slants his eyes.]"
479,[Irritated.]
483,[Excited.]
483,[The camera shifts to a shot of a stadium consisting of many tall poles.]
483,[The camera pans to the right to reveal the trio again.]
483,[Aang sighs.]
486,[A bit saddened.]
486,"[His eyes squint with sadness. The shot changes to a back view of Aang as he stands on the ledge; his clothes flutter in the wind, a dead tree at each side of him. In a sad tone.]"
488,[Cheerfully trying to distract Aang from his sadness.]
490,"[Smiling broadly, he stretches out his arms above his head.]"
490,[He forms a Zero with his hands and makes a circular movement with his whole body.]
492,[Painfully.]
492,"[He erects himself, but before he gets up completely, his eyes widen when he sees something in front of him and he crawls to the front. The camera shifts to reveal an old Fire Nation helmet lying in the snow. It has been battered by the elements, and shows signs of cracks and burns. He looks up at his sister.]"
495,[Yelling.]
496,"[Aang runs to them from the airball court, still playing with the hollow ball. Cheerfully.]"
498,[Happily runs up.]
500,[Innocently holds her hands behind her back.]
501,[Excited as he turns around and start walking away.]
502,[Brushes the last of the snow from his head and shoulders.]
504,[Arms crossed; stern.]
507,[Happily.]
507,"[The two look up and see Aang standing in front of a statue of a monk, turning around and pointing toward it.]"
510,[Facing the statue again.]
510,[Scene switches to a frontal view of the statue as Aang turns around again toward the siblings while gesturing at the statue.]
514,[Distant.]
516,"[With a calm, soothing and understanding voice.]"
517,[Downcast.]
520,[Voice-over.]
521,[Cut back to a close shot of Gyatso with Aang sitting on the ledge in the background.]
523,[Excited and curious.]
524,[Cut back to the close shot of Gyatso with Aang in the background.]
524,"[In the background, Aang, annoyed by this vague answer, grunts softly and looks up to the sky before cupping his face in his hands again. Monk Gyatso continues on a bright, happy tone.]"
524,[Close-up of Aang as he smiles lovingly at Gyatso.]
525,[Happily stands up.]
527,[The camera switches to a side-view as the duo conjures a small air ball.]
529,[Full admiration and love.]
529,[Caressing Aang's head.]
531,[Understandingly places a hand on his shoulder.]
532,[Downcast.]
532,[He walks away.]
533,[Curious.]
534,[Switch to a shot from Katara's point of view. Aang is walking up some stairs that lead to a corridor behind the statue. He looks back while answering.]
537,[Camera changes to show the trio looking up at the door. Hopeful.]
537,[Opening his arms.]
538,[Touching her chin with a finger.]
539,[Close shot of Aang with Katara visible over his shoulder. He glances hopeful at her over his shoulder. Excited.]
540,[Appears in screen from behind Aang's back. Katara and Aang look surprised at him. Eagerly.]
540,"[Katara's look changes to one of annoyance. Close-up of Sokka's determined, anticipating face.]"
540,[He rubs his hands together and practically starts to drool over the thought.]
543,[Shot from over Sokka's shoulder.]
545,"[Cut to a front view of Aang, as he brings his hand besides his mouth.]"
545,[Switch back to a shot from behind Sokka and Katara as Aang enters the sanctuary.]
547,[Wider shot of the tent as Zhao stops pacing. Iroh can be seen sitting in a corner.]
548,[Angrily.]
549,[Frontal view with Zuko in the background. Aggressively.]
550,[Alarmed.]
550,[Closer shot of Zuko.]
551,"[Cut to a shot from over Zuko's shoulder as Zhao angrily turns around, spreading flames in an arc.]"
551,[He walks intimidatingly up to Zuko.]
555,[Calmly with a hint of amusement in his voice.]
557,[Disappointed.]
560,[Pensive.]
560,[Frontal view of Aang.]
560,[Camera shifts to a point behind Aang and Katara. Aang points at the statue of a man with airbending mastery tattoos in front of him.]
561,[Camera pans to the right. Katara points at the statue of a male dressed in Water Tribe clothes next to the airbender.]
561,[Looks to the right and back to the left.]
561,[Points at the respective statues.]
563,[Understanding.]
566,[Skeptically.]
566,[Aang stops before a statue while Sokka and Katara are still visible in the background.]
567,[The picture pans up the reveal Aang staring at the statue of an elderly man with a beard. In the background hundreds of statues can be seen spiraling up.]
571,[Dazed.]
572,[She curiously follows his gaze and looks at the statue as well.]
576,[Looks at the base of the statue.]
578,[Growls irritably while crossing his arms.]
580,[Whispering.]
581,[Irritably.]
582,[Putting their finger before their mouths.]
584,[Whispering.]
586,[Excitedly.]
587,[Quickly pans to a drooling Sokka.]
589,[Reassuring.]
590,"[Aang glares angrily at Sokka, before the scene switches to a close-up of his drooling face. Challenging.]"
598,[Cut to a shot from over Zhao's head to reveal Iroh and Zuko sitting in two chairs in front of him in the middle of the tent.]
598,"[Close-up of Zuko, who angrily looks down.]"
599,[Angrily.]
601,[Amused.]
602,[Angrily gets up. Enraged.]
603,[Gets up as well; sternly.]
604,[Confidently.]
605,[Angrily.]
606,"[Close-up of Zhao, as the camera pans to the right to slowly reveal his whole face.]"
607,[Cut to Zuko.]
610,[Furiously.]
611,[Slightly mockingly.]
613,[Zhao erects himself.]
613,[Turns around.]
615,[Camera pans slowly to the right to a full close-up of Zuko. Worried.]
616,[Darkly.]
618,[Follows the lemur.]
618,"[Cut to a shot from inside the tent, as Aang pushes the decaying curtain of drapes out of the way. Happily looks around.]"
620,[Shocked.]
622,[Devastated.]
624,[Happily.]
624,"[Cut to a side-view of Aang sitting on his knees, his head cupped in his hands. Sokka walks toward him. Reassuring.]"
624,"[He approaches Aang with a smile on his face, but shakes his head and does a double take.]"
624,"[Switch to a shot of the skeleton of the monk, which slowly moves back to reveal that Sokka places a hand on Aang's shoulder.]"
626,[Worried.]
630,[Alarmed.]
634,[Shouting above the raging winds. Close-up of the two siblings. Katara looks worried at her brother.]
635,[Shouting.]
636,[Raises her hand to protect herself against the winds and the flying debris.]
636,[Closes an eye against the wind and starts to make her way toward Aang.]
637,[Holds on to the rock in an attempt to keep from being blown away. Alarmed.]
639,[Close-up of Iroh's upper body.]
640,[Close-up of Zuko's determined face.]
642,[Confident whisper.]
644,[Close-up of Zuko's determined face.]
646,[Challenging.]
649,[Anger clearly audible in his voice.]
651,[Turns to face Zhao. Condescending.]
651,[Close-up of Zhao lying on the floor.]
651,[Cut back to a closer shot of Zuko and Iroh.]
651,[Zuko looks at Iroh upon hearing those last words. Switch to a shot from over Zhao's shoulders.]
653,[Softly.]
654,"[Smiling slyly, while glancing at his nephew.]"
656,"[In the background, Sokka is hunched over his rock, clenching his teeth together. Katara shouts calmly with a sad expression on her face. The camera slowly moves in on her.]"
656,"[Diverts her eyes. Shot switches to a frontal view of Aang, his tattoos glowing and wind swirling around him; his clothes flutter in the storm. Sokka runs over to his sister in the background.]"
656,[Close-up of her as she looks up at him.]
656,[Sokka opens his eyes and glances at his sister.]
658,[Gently.]
660,[Sad and tired.]
662,[Sadly.]
662,"[Close-up of his sad face, as he closes his eyes.]"
665,[Closer shot of Aang and Katara's faces. Softly.]
669,[Pushing the food in his mouth with his two hands. Looks up with an exhilarated look upon his face. With a full mouth.]
669,[Takes another big bite.]
671,[Looking at the lemur from the corners of his eye.]
673,[To the winged-lemur.]
673,[Frontal view as the camera closes in on them.]
673,[Looks at the lemur.]
673,[Switches to a shot of the duo fiddling with their luggage. They turn back to look at Aang as he calls them. Sokka is still eating a peach.]
674,[Aang approaches the duo.]
680,[Calmly.]
681,"[Pushes open the door completely and enters the room, holding a rolled up scroll in his hands.]"
682,"[Cut to shot of the prince sitting motionless, still assuming his meditative stance, his back to the camera. Calmly.]"
683,"[Frontal view of Zuko, Iroh tugging his small beard in the background.]"
683,[Hesitatingly.]
685,[Enraged.]
688,[He snatches the scroll from Iroh's hand.]
688,"[He unrolls it, scanning over the parchment.]"
690,[Desperately.]
690,"[Cut to a shot of the map in Zuko's hand, several locations marked down with zigzagged lines connecting each point; Voice-over.]"
692,[To Aang.]
694,[Happily.]
696,[Sarcastically.]
698,"[Close-up of Momo who dives into his shirt and emerges, handing Aang two small, gray marbles.]"
700,"[Nonchalantly, still focusing on her task at hand.]"
701,"[Disappointed, stops performing the trick.]"
702,[Looks over Aang and attempts to show enthusiasm.]
703,[Dismayed.]
704,[Cut to shot of Katara and Sokka seated on Appa's saddle. Sokka waves his arm breezily at Aang as if he is trying to shoo him away.]
705,[Close side-view shot of Katara as she casts her brother an annoyed glare; irritably.]
706,[Cut to a shot of Sokka lazily resting with his arms behind his head.]
706,[Cut back to an annoyed Katara.]
707,[Suddenly smiles. Sarcastically.]
707,[Shows that the pants are still ripped.]
709,[Protesting and pleading.]
709,[Sticks one arm through the large hole in his pants.]
710,[Cut to a frontal view of Aang with the duo in the background. Enthusiastically.]
713,"[Cut to close frontal view of Aang who is looking at something, his hand held against his brow. The siblings stand in the background.]"
714,[Camera moves back to reveal Appa as well. Innocently.]
716,[Nudges Appa against his front leg with his elbow.]
718,[Aang smiles over his shoulder at the duo. Sarcastically.]
718,[Somewhat fearfully.]
719,"[Runs toward the shore, takes a sharp breath and points. Excitedly.]"
721,[Excited.]
721,[Starts to disrobe while more koi fish jump out of the water in the background.]
725,"[Switch to a close-up of Aang atop the fish's back, waving at his friends.]"
726,[Cut to Katara who enthusiastically waves back.]
728,[Smiling.]
729,[Unimpressed.]
729,[Lazily gestures at Aang in the water.]
730,[Notices something behind Sokka and runs off screen.]
730,[Appa grunts.]
732,"[Disappointed, the smile having faded off his face.]"
734,[Alarmed.]
736,[Worried.]
742,[Flailing his arms and legs.]
744,[Frightened.]
748,[Stands up and wipes his hands together.]
752,[Voice-over.]
754,[Voice-over.]
755,[Close-up of the blindfolded Sokka. Challenging.]
757,[Aggressively.]
758,"[Stepping forward, gesturing heavily with her clenched fist. Indignantly.]"
759,[Closer side-view shot of Sokka who stares at them in disbelief.]
759,[He amusingly glance to his right to where Aang stands as if he is looking for confirmation. Mockingly.]
760,[Grabs Sokka by his collar. Angrily.]
761,[Leans forward in her bonds. Pleading and apologetically.]
761,"[Suki released Sokka, but still stares at him in dismay.]"
762,[The three teenagers looks surprised at Aang's words. The camera pans the left to reveal a sorrowfully looking Aang.]
763,[Cut to a frontal view of Oyaji. Angrily.]
763,[Points at the bound three.]
764,"[Cut back to Aang, a brightened expression on his face.]"
765,[Humorless.]
767,"[Close-up of the face of the statue. The colors have faded away a bit, but it is still clear that Kyoshi wears the same white face paint, with the red accentuated eyes as the modern Kyoshi Warriors wear.]"
768,"[Cut to Aang who looks pensive at the statue before looking at the ground in front of him. He speaks in a soft, calm voice while the camera slowly zooms in on him.]"
770,[Not convinced by Aang's statement. Shaking her fist to emphasize her words.]
771,[Cut to Aang and his friend from a point of view between Suki and Oyaji. Aang smiles sheepishly.]
772,[Cut to frontal view of Suki and Oyaji who angrily points at Aang while looking at Suki.]
774,[Nervously.]
776,[Talking all at once.]
778,[In awe.]
779,"[Cut to a frontal view of Aang with a serious look on his face, a relieved Sokka and Katara still tied up in the background to his left.]"
779,[He pulls his marbles out from underneath his robes.]
781,[Excited.]
781,[The fisherman picks up his basket.]
782,"[Due to his utter surprise, he drops his basket.]"
784,[Yells on a demanding tone.]
784,[Cut to a frontal shot of Iroh as Zuko addresses him while leaving the room. Iroh looks at Zuko as he walks away.]
785,[Casually points at the smoking fish in front of him.]
786,[Turns around and snatches the plate off the table. Aggressively.]
788,[Throws his arms in the air while Momo digs in and chitters. Ecstatic.]
790,[The rest is kind of muffled out because he is cramming his desserts in his mouth.]
792,[Impressed.]
792,[Offers one of the desserts he is holding to Katara.]
793,"[Puts down the orange dessert, accepts the dessert Aang offers her and takes a bit.]"
798,[Aang leans backward to be able to look past Katara to Sokka; his eyes wide open in surprise.]
800,[Glancing amusingly at Aang. Slightly mocking.]
801,[Protesting.]
802,[Mockingly looks at her brother.]
804,[Indignant.]
804,[Walks out of the scene with big strides. Mumbling to himself.]
804,[Comes back to the table to face Katara and Aang. Momo grabs some more pastries that lie around him.]
804,[Snatches some of the desert of the table.]
804,[He shoves one of the deserts in his mouth and stalks off again.]
806,[Excited.]
809,[Lowers his arm with the pastry and offers it to Momo's grasping paw.]
809,[The lemur feels the desert and quickly snatches it out of Aang's hand.]
809,[Aang moves closer to Katara and turns around to look out of the window at the statue.]
810,[Slightly concerned.]
811,[Reassuring.]
813,[Muttering to himself.]
813,[He lowers the canvas and notices that another girl has pulled up next to Aang. Surprised.]
813,[He obscures his models again from sight by raising his canvas and painting the outlines of the other girl.]
813,[He lowers the canvas to see that three more girls have joined Aang.]
813,[He obscures the Avatar and his fangirls from sight again with his canvas while he quickly paints Aang.]
815,[Angrily grunting to himself.]
817,[Condescending.]
817,[Suki and the other warriors stop their exercise and close their fans. They stare at Sokka with a serious look on their faces.]
817,"[The camera moves back, revealing that Sokka was stretching.]"
818,[Looks at how Sokka continues his warm up.]
818,[Cut to a side-view while Sokka is loosening up his hips.]
819,[Stretching his arms.]
819,[Mockingly suppressing a laugh while speaking.]
820,[Sarcastically.]
821,[Smugly.]
822,[Keeps using sarcasm without Sokka catching on to it. Leans slightly toward Sokka.]
822,[Glances back to the other Kyoshi Warriors.]
822,[Looks back to Sokka.]
823,[Frontal view of Sokka as his eyes widen upon hearing the unexpected request.]
824,[Turns to the other warriors.]
826,"[He places his hands on Suki's shoulder in order to push her back a little, but she does not move a bit.]"
828,[Rubbing his hurt right shoulder. Impressed.]
829,[Close-up of Suki's confident face.]
831,"[He starts with a mumble, raising his tone of voice with each word.]"
831,[Shouting while he attempts to hit Suki with a roundhouse kick.]
833,[His voice cracking in anger.]
835,[Mockingly.]
