discontinued,gauge_divisor,grams,id,machine_washable,max_gauge,min_gauge,name,permalink,rating_average,rating_count,rating_total,texture,thread_size,wpi,yardage,yarn_company_name,yarn_weight_crochet_gauge,yarn_weight_id,yarn_weight_knit_gauge,yarn_weight_name,yarn_weight_ply,yarn_weight_wpi,texture_clean
FALSE,4,100,42135,NA,NA,20,Classic Wool Worsted,patons-north-america-classic-wool-worsted,4.24,11027,46735,plied,NA,14,194,Patons North America,NA,12,20,Worsted,10,9,plied
FALSE,4,85,2085,TRUE,18,13,Wool-Ease,lion-brand-wool-ease,3.9,11523,44970,plied,NA,NA,197,Lion Brand,NA,1,18,Aran,10,8,plied
FALSE,4,142,7343,TRUE,NA,18,I Love This Yarn!,hobby-lobby-i-love-this-yarn,4.41,6663,29405,plied,NA,NA,252,Hobby Lobby,NA,1,18,Aran,10,8,plied
FALSE,4,50,1728,NA,20,18,Wool of the Andes Worsted,knit-picks-wool-of-the-andes-worsted,4.25,10484,44529,plied,NA,9,110,Knit Picks,NA,12,20,Worsted,10,9,plied
FALSE,4,50,1750,NA,32,28,Palette,knit-picks-palette,4.21,9018,37987,plied,NA,NA,231,Knit Picks,NA,13,32,Light Fingering,3,NA,plied
FALSE,4,170,1872,TRUE,9,6.5,Wool Ease Thick & Quick,lion-brand-wool-ease-thick--quick,4.1,11481,47033,plied,NA,NA,106,Lion Brand,NA,6,7-12,Super Bulky,NA,5-6,plied
FALSE,4,100,3309,NA,20,18,Cascade 220® Heathers,cascade-yarns-cascade-220-heathers,4.52,13229,59799,plied,NA,NA,220,Cascade Yarns ®,NA,12,20,Worsted,10,9,plied
FALSE,4,50,4116,TRUE,NA,24,DROPS Fabel,garnstudio-drops-fabel,4.2,6612,27738,plied,NA,NA,224,Garnstudio,NA,5,28,Fingering,4,14,plied
FALSE,4,150,3893,TRUE,NA,28,Pure 100% Merino Superwash,rohrspatz--wollmeise-pure-100-merino-superwash,4.71,6133,28878,plied,NA,NA,574,Rohrspatz & Wollmeise,NA,5,28,Fingering,4,14,plied
FALSE,4,50,4507,NA,NA,24,DROPS Alpaca,garnstudio-drops-alpaca,4.44,8293,36807,plied,NA,NA,183,Garnstudio,NA,10,24-26,Sport,5,12,plied
FALSE,4,100,24611,TRUE,32,28,Heritage Sock,cascade-yarns-heritage-sock,4.45,8939,39766,plied,NA,NA,437,Cascade Yarns ®,NA,5,28,Fingering,4,14,plied
FALSE,4,100,2374,TRUE,NA,20,Encore Worsted Solids & Heathers,plymouth-yarn-encore-worsted-solids--heathers,4.12,8108,33409,plied,NA,NA,200,Plymouth Yarn,NA,12,20,Worsted,10,9,plied
FALSE,4,50,46790,TRUE,32,28,"Stroll Fingering Solids, Heathers & Twists",knit-picks-stroll-fingering-solids-heathers--twists,4.28,7405,31694,Plied,NA,NA,231,Knit Picks,NA,5,28,Fingering,4,14,plied
FALSE,4,100,48579,TRUE,20,18,Vintage®,berroco-vintage,4.38,9050,39639,plied,NA,NA,218,Berroco,NA,12,20,Worsted,10,9,plied
FALSE,4,100,7687,TRUE,22,22,Special Double Knit,stylecraft-special-double-knit,4.56,5214,23772,plied,NA,NA,322,Stylecraft,NA,11,22,DK,8,11,plied
FALSE,4,127,47698,TRUE,NA,18,Impeccable,loops--threads-impeccable,3.91,6115,23908,plied,NA,NA,285,Loops & Threads,NA,1,18,Aran,10,8,plied
FALSE,4,150,24750,TRUE,NA,28,Sockenwolle 80/20 Twin,rohrspatz--wollmeise-sockenwolle-80-20-twin,4.69,4621,21682,plied,NA,NA,510,Rohrspatz & Wollmeise,NA,5,28,Fingering,4,14,plied
FALSE,4,NA,35367,TRUE,22,20,Tosh DK,madelinetosh-tosh-dk,4.78,10291,49227,multi-ply,NA,NA,225,madelinetosh,NA,11,22,DK,8,11,multi-ply
FALSE,4,57,819,TRUE,NA,20,Sugar'n Cream Ombres,lily-sugarn-cream-ombres,4.2,6901,29017,piled,NA,NA,95,Lily,NA,12,20,Worsted,10,9,piled
FALSE,4,170,1913,TRUE,14,10,Homespun,lion-brand-homespun,3.37,8995,30354,"Single ply wrapped with binder, flammé",NA,NA,185,Lion Brand,NA,4,14-15,Bulky,12,7,"single ply wrapped with binder, flammé"
FALSE,4,141,2060,TRUE,NA,17,Super Saver Multis | Prints,red-heart-super-saver-multis--prints,3.6,5834,21028,cable plied,NA,NA,244,Red Heart,NA,1,18,Aran,10,8,cable plied
FALSE,4,50,194,NA,16,14,Kureyon（くれよん）,noro-kureyon,4.19,10599,44427,2 z-twisted singles z-plied together,NA,NA,109,Noro,NA,1,18,Aran,10,8,2 z-twisted singles z-plied together
FALSE,4,453,4425,TRUE,NA,16,One Pound,caron-one-pound,3.88,4741,18383,plied,NA,NA,812,Caron,NA,1,18,Aran,10,8,plied
TRUE,4,100,723,NA,NA,20,Classic Wool Merino,patons-north-america-classic-wool-merino,4.16,6719,27960,plied,NA,NA,223,Patons North America,NA,12,20,Worsted,10,9,plied
FALSE,4,113,2843,NA,NA,18,Lamb's Pride Worsted,brown-sheep-lambs-pride-worsted,4.33,7944,34390,singles,NA,NA,190,Brown Sheep,NA,1,18,Aran,10,8,singles
FALSE,4,100,8053,TRUE,30,26,Tosh Sock,madelinetosh-tosh-sock,4.71,9036,42563,plied,NA,NA,395,madelinetosh,NA,5,28,Fingering,4,14,plied
FALSE,4,50,10673,TRUE,32,28,Felici Fingering Weight,knit-picks-felici-fingering-weight,4.49,5570,25001,plied,NA,NA,218,Knit Picks,NA,5,28,Fingering,4,14,plied
FALSE,4,50,187,NA,20,16,Silk Garden,noro-silk-garden,4.25,10526,44750,loosely plied,NA,NA,109,Noro,NA,1,18,Aran,10,8,loosely plied
FALSE,4,141,4571,TRUE,NA,17,Soft Solids & Heathers,red-heart-soft-solids--heathers,3.95,5715,22555,plied,NA,NA,256,Red Heart,NA,1,18,Aran,10,8,plied
FALSE,4,100,3554,NA,NA,20,Ultra Alpaca,berroco-ultra-alpaca,4.56,9309,42403,"3 plies, uniform, slight halo",NA,NA,219,Berroco,NA,12,20,Worsted,10,9,"3 plies, uniform, slight halo"
FALSE,4,NA,55637,TRUE,20,18,Tosh Vintage,madelinetosh-tosh-vintage,4.81,7813,37553,"smooth, plied",NA,NA,200,madelinetosh,NA,12,20,Worsted,10,9,"smooth, plied"
FALSE,4,50,3217,TRUE,NA,25,Baby Cashmerino,debbie-bliss-baby-cashmerino,4.51,8380,37782,plied,NA,NA,137,Debbie Bliss,NA,10,24-26,Sport,5,12,plied
FALSE,4,50,12201,NA,NA,18,Léttlopi,istex-lettlopi,4.5,6517,29309,singles,NA,NA,109,Ístex,NA,1,18,Aran,10,8,singles
FALSE,4,50,3678,TRUE,20,18,Swish Worsted,knit-picks-swish-worsted,4.35,6584,28656,Plied,NA,NA,110,Knit Picks,NA,12,20,Worsted,10,9,plied
TRUE,4,70,12037,TRUE,NA,16,Peaches & Creme Solids,pisgah-yarn--dyeing-co-peaches--creme-solids,4.24,4510,19116,"4 single plies, S-plied, non-mercerized",NA,NA,120,Pisgah Yarn & Dyeing Co.,NA,1,18,Aran,10,8,"4 single plies, s-plied, non-mercerized"
FALSE,4,25,59,NA,25,18,Kidsilk Haze,rowan-kidsilk-haze,4.52,8718,39382,"plied, fluffy",NA,NA,229,Rowan,NA,7,32-34,Lace,2,NA,"plied, fluffy"
FALSE,4,50,52662,TRUE,NA,24,DROPS Baby Merino,garnstudio-drops-baby-merino,4.39,4560,20037,s-on-s plied,NA,NA,191,Garnstudio,NA,10,24-26,Sport,5,12,s-on-s plied
TRUE,4,100,3374,TRUE,NA,17,Cotton-Ease 50/50,lion-brand-cotton-ease-50-50,4.12,6115,25173,plied,NA,NA,207,Lion Brand,NA,1,18,Aran,10,8,plied
FALSE,4,50,3847,NA,NA,32,Lace,malabrigo-yarn-lace,4.53,8593,38890,single,NA,NA,470,Malabrigo Yarn,NA,7,32-34,Lace,2,NA,single
FALSE,4,50,392,NA,30,28,Painter's Palette Premium Merino (KPPPM),koigu-painters-palette-premium-merino-kpppm,4.68,7808,36541,plied,NA,NA,175,Koigu,NA,5,28,Fingering,4,14,plied
FALSE,4,146,3248,TRUE,NA,32,Socks that Rock Lightweight,blue-moon-fiber-arts-socks-that-rock-lightweight,4.66,5418,25252,plied,NA,NA,405,Blue Moon Fiber Arts,NA,5,28,Fingering,4,14,plied
FALSE,4,142,105146,TRUE,16,12,Heartland,lion-brand-heartland,4.28,5056,21664,plied,NA,NA,251,Lion Brand,NA,1,18,Aran,10,8,plied
FALSE,4,100,59108,TRUE,NA,28,Sock,hedgehog-fibres-sock,4.52,5697,25771,plied,NA,NA,437,Hedgehog Fibres,NA,5,28,Fingering,4,14,plied
FALSE,4,227,4261,NA,NA,16,Fishermen's Wool,lion-brand-fishermens-wool,4.09,5715,23390,plied,NA,NA,465,Lion Brand,NA,1,18,Aran,10,8,plied
FALSE,4,100,3930,TRUE,NA,18,7 Veljestä Solids,novita-7-veljesta-solids,3.62,1382,4998,plied,NA,8,219,Novita,NA,1,18,Aran,10,8,plied
FALSE,4,50,148,TRUE,24,22,Felted Tweed,rowan-felted-tweed,4.47,7468,33391,"plied, tweedy",NA,NA,191,Rowan,NA,11,22,DK,8,11,"plied, tweedy"
FALSE,4,100,39418,TRUE,32,28,Zauberball® Crazy,schoppel-wolle-zauberball-crazy,4.49,6971,31314,plied,NA,NA,459,Schoppel-Wolle,NA,5,28,Fingering,4,14,plied
FALSE,4,454,5456,TRUE,NA,19,Pound of Love,lion-brand-pound-of-love,3.93,4251,16701,"smooth, plied",NA,NA,1020,Lion Brand,NA,12,20,Worsted,10,9,"smooth, plied"
FALSE,4,140,834,TRUE,NA,22,"Softee Baby, Solids & Marls",bernat-softee-baby-solids--marls,3.92,5176,20307,plied,NA,NA,362,Bernat,NA,11,22,DK,8,11,plied
FALSE,4,50,58406,NA,NA,17,DROPS Nepal,garnstudio-drops-nepal,4.49,4761,21386,plied,NA,NA,82,Garnstudio,NA,1,18,Aran,10,8,plied
FALSE,4,50,715,TRUE,32,28,Kroy Socks,patons-north-america-kroy-socks,4.13,4877,20148,plied,NA,NA,166,Patons North America,NA,5,28,Fingering,4,14,plied
FALSE,4,100,74654,TRUE,22,20,Arroyo,malabrigo-yarn-arroyo,4.79,6838,32762,plied,NA,NA,334,Malabrigo Yarn,NA,10,24-26,Sport,5,12,plied
FALSE,4,100,34471,TRUE,NA,18,I Love This Cotton!,hobby-lobby-i-love-this-cotton,4.49,4027,18096,plied,NA,14,180,Hobby Lobby,NA,1,18,Aran,10,8,plied
FALSE,1,100,60478,TRUE,8,7,Stroll Fingering Tonal,knit-picks-stroll-fingering-tonal,4.46,4606,20562,plied,NA,NA,462,Knit Picks,NA,5,28,Fingering,4,14,plied
FALSE,4,150,46836,NA,10,8,Rasta,malabrigo-yarn-rasta,4.82,6487,31268,single ply slightly felted with a twist,NA,NA,90,Malabrigo Yarn,NA,6,7-12,Super Bulky,NA,5-6,single ply slightly felted with a twist
FALSE,4,25,24537,NA,NA,23,DROPS Kid-Silk,garnstudio-drops-kid-silk,4.48,4203,18832,"plied, fluffy",NA,NA,230,Garnstudio,NA,7,32-34,Lace,2,NA,"plied, fluffy"
FALSE,4,250,2833,NA,16,14,Ecological Wool®,cascade-yarns-ecological-wool,4.47,6276,28050,plied,NA,NA,478,Cascade Yarns ®,NA,4,14-15,Bulky,12,7,plied
FALSE,4,50,12340,TRUE,32,30,Arwetta,filcolana-arwetta,4.51,2344,10577,plied,NA,NA,230,Filcolana,NA,13,32,Light Fingering,3,NA,plied
FALSE,1,113,7086,NA,NA,3,Lamb's Pride Bulky,brown-sheep-lambs-pride-bulky,4.33,5699,24681,singles,NA,7,125,Brown Sheep,NA,4,14-15,Bulky,12,7,singles
FALSE,1,300,4800,TRUE,NA,8,Lace Garn,rohrspatz--wollmeise-lace-garn,4.78,3064,14645,plied,NA,NA,1722,Rohrspatz & Wollmeise,NA,7,32-34,Lace,2,NA,plied
FALSE,4,100,10574,TRUE,20,18,Comfort Solids & Heathers,berroco-comfort-solids--heathers,4.09,5002,20448,plied,NA,NA,210,Berroco,NA,1,18,Aran,10,8,plied
FALSE,4,50,13885,TRUE,NA,22,Swish DK,knit-picks-swish-dk,4.38,4832,21144,plied,NA,NA,123,Knit Picks,NA,11,22,DK,8,11,plied
FALSE,1,100,85579,TRUE,5,4.5,Brava Worsted,knit-picks-brava-worsted,4.32,3036,13117,plied,NA,9,219,Knit Picks,NA,12,20,Worsted,10,9,plied
FALSE,4,50,2694,TRUE,NA,21,DROPS Karisma,garnstudio-drops-karisma,4.14,4031,16691,plied,NA,NA,109,Garnstudio,NA,11,22,DK,8,11,plied
FALSE,4,100,842,TRUE,NA,18,Satin Solids,bernat-satin-solids,3.85,4281,16471,plied,NA,NA,200,Bernat,NA,1,18,Aran,10,8,plied
TRUE,4,56,3744,TRUE,20,16,Peaches & Creme Ombres,pisgah-yarn--dyeing-co-peaches--creme-ombres,4.3,3357,14433,"4 single plies, S-plied, non-mercerized",NA,NA,98,Pisgah Yarn & Dyeing Co.,NA,1,18,Aran,10,8,"4 single plies, s-plied, non-mercerized"
FALSE,4,50,25852,TRUE,NA,21,DROPS Merino Extra Fine,garnstudio-drops-merino-extra-fine,4.34,3486,15141,"smooth, s-on-s",NA,NA,115,Garnstudio,NA,11,22,DK,8,11,"smooth, s-on-s"
FALSE,1,50,68219,NA,5,4.25,Shelter,brooklyn-tweed-shelter,4.39,5554,24379,NA,NA,NA,140,Brooklyn Tweed,NA,12,20,Worsted,10,9,NA
TRUE,4,100,1240,TRUE,NA,28,Shepherd Sock Multi,lornas-laces-shepherd-sock-multi,4.54,5915,26855,plied,NA,NA,430,Lorna's Laces,NA,5,28,Fingering,4,14,plied
FALSE,4,113,3900,TRUE,20,18,Classy,dream-in-color-classy,4.63,5289,24484,plied,NA,NA,250,Dream in Color,NA,12,20,Worsted,10,9,plied
FALSE,4,100,62509,TRUE,NA,11,Charisma,loops--threads-charisma,4.13,3900,16111,plied,NA,NA,109,Loops & Threads,NA,4,14-15,Bulky,12,7,plied
FALSE,4,50,70736,NA,NA,21,DROPS Lima,garnstudio-drops-lima,4.49,3673,16497,plied,NA,NA,109,Garnstudio,NA,11,22,DK,8,11,plied
TRUE,4,113,5833,TRUE,NA,30,Smooshy 100% Merino,dream-in-color-smooshy-100-merino,4.57,5745,26272,plied,NA,NA,450,Dream in Color,NA,5,28,Fingering,4,14,plied
FALSE,4,50,3206,TRUE,NA,18,Cashmerino Aran,debbie-bliss-cashmerino-aran,4.41,5956,26241,Plied,NA,NA,98,Debbie Bliss,NA,1,18,Aran,10,8,plied
FALSE,4,80,3941,TRUE,NA,33,Classic Crochet Size 10,aunt-lydias-classic-crochet-size-10,4.51,2748,12402,plied,10,NA,350,Aunt Lydia's,NA,9,NA,Thread,NA,NA,plied
FALSE,4,142,53571,TRUE,NA,9,Hometown,lion-brand-hometown,4.07,4233,17214,plied,NA,NA,81,Lion Brand,NA,6,7-12,Super Bulky,NA,5-6,plied
FALSE,4,50,46174,NA,32,25,Supersoft 100% Uld,holst-garn-supersoft-100-uld,4.46,3204,14302,plied,NA,NA,314,Holst Garn,NA,13,32,Light Fingering,3,NA,plied
FALSE,4,100,40029,TRUE,32,30,Zauberball®,schoppel-wolle-zauberball,4.15,5539,23008,singles,NA,NA,459,Schoppel-Wolle,NA,13,32,Light Fingering,3,NA,singles
FALSE,4,150,151311,NA,NA,22,Mandala,lion-brand-mandala,4.42,3425,15138,plied,NA,NA,590,Lion Brand,NA,11,22,DK,8,11,plied
FALSE,4,50,874,TRUE,NA,20,Handicrafter Cotton Solids,bernat-handicrafter-cotton-solids,4.1,2456,10072,plied,NA,NA,80,Bernat,NA,12,20,Worsted,10,9,plied
FALSE,4,100,3140,TRUE,32,28,Trekking XXL,zitron-trekking-xxl,4.34,4715,20469,plied,NA,NA,459,Zitron,NA,5,28,Fingering,4,14,plied
FALSE,4,50,5006,NA,24,22,Silky Merino,malabrigo-yarn-silky-merino,4.65,6183,28780,Single,NA,NA,150,Malabrigo Yarn,NA,11,22,DK,8,11,single
FALSE,4,198,78743,TRUE,NA,16,With Love Solids,red-heart-with-love-solids,4.26,2756,11750,smooth,NA,NA,370,Red Heart,NA,1,18,Aran,10,8,smooth
TRUE,4,50,5272,TRUE,32,28,4-fädig 4-ply Color,regia-4-fadig-4-ply-color,4.33,4235,18336,plied,NA,NA,230,Regia,NA,5,28,Fingering,4,14,plied
FALSE,4,100,56996,TRUE,24,22,Ultra Pima,cascade-yarns-ultra-pima,4.6,5043,23188,plied,NA,NA,220,Cascade Yarns ®,NA,11,22,DK,8,11,plied
FALSE,4,50,21433,NA,NA,22,Silk Blend,manos-del-uruguay-silk-blend,4.68,6214,29053,single,NA,NA,150,Manos del Uruguay,NA,11,22,DK,8,11,single
FALSE,4,115,52345,TRUE,32,28,Tough Love Sock,sweetgeorgia-yarns-tough-love-sock,4.7,4059,19081,plied,NA,NA,425,SweetGeorgia Yarns,NA,5,28,Fingering,4,14,plied
FALSE,4,200,145697,NA,NA,18,Cakes,caron-cakes,4.29,3137,13471,plied,NA,NA,383,Caron,NA,1,18,Aran,10,8,plied
FALSE,4,25,7916,NA,33,30,Shetland Spindrift,jamiesons-of-shetland-shetland-spindrift,4.66,3751,17464,plied,NA,NA,115,Jamieson's of Shetland,NA,5,28,Fingering,4,14,plied
FALSE,4,NA,54983,NA,24,22,Pashmina,madelinetosh-pashmina,4.82,5166,24892,"smooth, 3-ply",NA,NA,360,madelinetosh,NA,10,24-26,Sport,5,12,"smooth, 3-ply"
FALSE,4,100,810,NA,18,14,Wool Clasica,manos-del-uruguay-wool-clasica,4.35,5158,22422,handspun singles,NA,NA,138,Manos del Uruguay,NA,1,18,Aran,10,8,handspun singles
FALSE,4,250,17692,NA,16,14,Eco+,cascade-yarns-eco,4.43,4277,18927,plied,NA,NA,478,Cascade Yarns ®,NA,4,14-15,Bulky,12,7,plied
TRUE,4,50,42719,TRUE,NA,28,Serenity Sock Prints,premier-yarns-serenity-sock-prints,4.05,3541,14326,plied,NA,NA,230,Premier Yarns,NA,5,28,Fingering,4,14,plied
FALSE,4,100,65153,NA,20,16,Organic Cotton (Worsted),blue-sky-fibers-organic-cotton-worsted,4.57,2053,9375,plied loosely,NA,NA,150,Blue Sky Fibers,NA,1,18,Aran,10,8,plied loosely
FALSE,4,100,3375,TRUE,32,28,Opal 4 fach 4 ply,zwerger-garn-opal-4-fach-4-ply,4.51,2584,11652,plied,NA,NA,465,Zwerger Garn,NA,13,32,Light Fingering,3,NA,plied
FALSE,4,100,100150,TRUE,30,28,Alegría,manos-del-uruguay-alegria,4.74,4080,19357,Plied,NA,NA,445,Manos del Uruguay,NA,5,28,Fingering,4,14,plied
FALSE,4,100,106703,TRUE,NA,32,Woolike,loops--threads-woolike,4.27,2317,9887,plied,NA,NA,678,Loops & Threads,NA,13,32,Light Fingering,3,NA,plied
FALSE,4,25,737,NA,NA,28,2ply Jumper Weight,jamieson--smith-2ply-jumper-weight,4.77,3293,15696,plied,NA,NA,126,Jamieson & Smith,NA,5,28,Fingering,4,14,plied
TRUE,4,50,808,NA,26,24,Finullgarn,rauma-finullgarn,4.66,2024,9440,plied,NA,NA,191,Rauma,NA,10,24-26,Sport,5,12,plied
FALSE,4,50,1301,NA,NA,22,Silky Wool,elsebeth-lavold-silky-wool,4.34,4884,21189,plied,NA,18,191,Elsebeth Lavold,NA,11,22,DK,8,11,plied
FALSE,4,100,71242,TRUE,NA,22,Vintage® DK,berroco-vintage-dk,4.46,3601,16059,plied,NA,NA,290,Berroco,NA,11,22,DK,8,11,plied
FALSE,4,113,6682,NA,NA,17,Shepherd's Wool Worsted,stonehedge-fiber-mill-shepherds-wool-worsted,4.74,3604,17090,"plied, worsted spun",NA,NA,250,Stonehedge Fiber Mill,NA,1,18,Aran,10,8,"plied, worsted spun"
FALSE,4,50,3553,TRUE,NA,22,CotLin,knit-picks-cotlin,4.26,3803,16192,plied,NA,NA,123,Knit Picks,NA,11,22,DK,8,11,plied
FALSE,1,100,76745,TRUE,NA,4.5,Dishie Solids,knit-picks-dishie-solids,4.61,2200,10145,plied,NA,NA,190,Knit Picks,NA,12,20,Worsted,10,9,plied
FALSE,4,150,3254,TRUE,NA,26,Jitterbug 400,colinette-jitterbug-400,4.44,4542,20181,plied,NA,NA,400,Colinette,NA,10,24-26,Sport,5,12,plied
FALSE,1,227,36329,TRUE,6,5.25,Yowza,miss-babs-yowza,4.82,3364,16222,plied,NA,NA,560,Miss Babs,NA,11,22,DK,8,11,plied
FALSE,4,170,6590,TRUE,32,28,Socks that Rock Mediumweight,blue-moon-fiber-arts-socks-that-rock-mediumweight,4.68,3697,17318,Plied,NA,12,405,Blue Moon Fiber Arts,NA,10,24-26,Sport,5,12,plied
FALSE,4,100,127348,TRUE,30,26,Mechita,malabrigo-yarn-mechita-2,4.76,3889,18513,single,NA,NA,420,Malabrigo Yarn,NA,5,28,Fingering,4,14,single
FALSE,4,50,28091,TRUE,20,18,Comfy,knit-picks-comfy,4.37,3558,15556,plied,NA,9,109,Knit Picks,NA,12,20,Worsted,10,9,plied
TRUE,4,100,91625,TRUE,NA,19,Boutique Unforgettable,red-heart-boutique-unforgettable,3.8,3467,13158,singles,NA,NA,280,Red Heart,NA,1,18,Aran,10,8,singles
FALSE,4,100,22116,NA,32,24,Kureyon Sock クレヨンソックヤーン,noro-kureyon-sock-,3.72,4722,17561,singles,NA,17,459,Noro,NA,13,32,Light Fingering,3,NA,singles
FALSE,4,50,72135,NA,NA,23,DROPS BabyAlpaca Silk,garnstudio-drops-babyalpaca-silk,4.55,3245,14757,plied,NA,NA,183,Garnstudio,NA,10,24-26,Sport,5,12,plied
FALSE,4,57,16082,TRUE,NA,20,Sugar'n Cream Stripes,lily-sugarn-cream-stripes,4.19,3376,14146,"4 single plies, S-plied, non-mercerized",NA,NA,95,Lily,NA,12,20,Worsted,10,9,"4 single plies, s-plied, non-mercerized"
FALSE,4,100,3931,TRUE,NA,22,Nalle,novita-nalle,3.63,871,3166,plied,NA,NA,284,Novita,NA,11,22,DK,8,11,plied
FALSE,4,100,3480,NA,NA,14,Chunky,malabrigo-yarn-chunky,4.8,4109,19719,NA,NA,NA,100,Malabrigo Yarn,NA,4,14-15,Bulky,12,7,NA
FALSE,4,200,94256,TRUE,NA,22,Merino DK,rohrspatz--wollmeise-merino-dk,4.83,2084,10071,plied,NA,NA,468,Rohrspatz & Wollmeise,NA,11,22,DK,8,11,plied
FALSE,4,50,48721,TRUE,NA,32,Kroy Socks FX,patons-north-america-kroy-socks-fx,4.12,3354,13825,plied,NA,NA,166,Patons North America,NA,5,28,Fingering,4,14,plied
FALSE,4,50,205,TRUE,NA,22,Snuggly DK,sirdar-snuggly-dk,4.16,3181,13247,plied,NA,NA,179,Sirdar,NA,11,22,DK,8,11,plied
FALSE,4,100,29226,NA,26,23,Silk Garden Sock,noro-silk-garden-sock,4.05,4445,17997,light twist,NA,NA,328,Noro,NA,10,24-26,Sport,5,12,light twist
FALSE,4,50,55322,TRUE,NA,23,DROPS Delight,garnstudio-drops-delight,3.79,3017,11425,singles,NA,NA,191,Garnstudio,NA,5,28,Fingering,4,14,singles
FALSE,4,150,3498,NA,NA,23,Wool 8/2 Effektgarn,kauni-wool-8-2-effektgarn,4.19,3727,15604,plied,NA,NA,656,Kauni,NA,10,24-26,Sport,5,12,plied
FALSE,4,114,118765,TRUE,30,26,Twist Light,madelinetosh-twist-light,4.77,2773,13229,plied,NA,NA,420,madelinetosh,NA,5,28,Fingering,4,14,plied
FALSE,1,100,71338,TRUE,8,7,Chroma Fingering,knit-picks-chroma-fingering,3.98,3266,12987,singles,NA,NA,396,Knit Picks,NA,5,28,Fingering,4,14,singles
FALSE,4,50,1721,TRUE,NA,24,Shine Sport,knit-picks-shine-sport,4.35,3513,15279,plied,NA,NA,110,Knit Picks,NA,10,24-26,Sport,5,12,plied
FALSE,4,100,49926,TRUE,32,28,Stroll Hand Painted,knit-picks-stroll-hand-painted,4.48,2883,12907,plied,NA,NA,462,Knit Picks,NA,5,28,Fingering,4,14,plied
FALSE,4,100,116609,NA,28,28,Signature 4 Ply Solids,west-yorkshire-spinners-signature-4-ply-solids,4.58,2248,10292,plied,NA,NA,437,West Yorkshire Spinners,NA,5,28,Fingering,4,14,plied
FALSE,1,50,83703,NA,8,6,Loft,brooklyn-tweed-loft,4.35,3654,15890,NA,NA,NA,275,Brooklyn Tweed,NA,5,28,Fingering,4,14,NA
FALSE,4,50,731,TRUE,32,28,Baby Ull,dale-garn-baby-ull,4.35,2762,12017,plied,NA,NA,180,Dale Garn,NA,5,28,Fingering,4,14,plied
FALSE,4,100,48666,TRUE,20,16,Sweater Worsted,blue-sky-fibers-sweater-worsted,4.59,3473,15927,plied,NA,NA,160,Blue Sky Fibers,NA,1,18,Aran,10,8,plied
FALSE,4,100,101832,TRUE,13,11,Mecha,malabrigo-yarn-mecha,4.8,3571,17145,singles,NA,NA,130,Malabrigo Yarn,NA,4,14-15,Bulky,12,7,singles
FALSE,4,100,53266,TRUE,14,14,128 Superwash®,cascade-yarns-128-superwash,4.47,3710,16583,plied,NA,NA,128,Cascade Yarns ®,NA,4,14-15,Bulky,12,7,plied
FALSE,4,110,19574,TRUE,32,28,Yummy 2-Ply,miss-babs-yummy-2-ply,4.8,3060,14696,plied,NA,NA,400,Miss Babs,NA,5,28,Fingering,4,14,plied
