feature_id,description,history
5213,"In Grand Canyon National Park, on the S rim of the Grand Canyon. 2.9 km (1.8 mi) SE of Mohave Point. National Historic Landmark open to the public.","""The town plan for Grand Canyon divided the village into discrete residential, commercial, and civic areas. It also included a consistent architectural idiom, a hierachy of street sections, and a central plaza with the village's major public buildings sited around it. These and other features of the plan make it not only an exceptional example of National Park Service (NPS) town planning, but a highly significant example of American town planning in the 1920s in general. No other example of National Park Service (NPS) planning from this era combines the historic associations, size, artistic significance, and excellent state of preservation as does the Grand Canyon Village."" Designated a NHL in 1997. See www.nps.gov"
5407,"0.2 km (5.7 mi) SSE of Window Mountain, the the Santa Rosa Valley.","Gu Achi is a Papago Indian name that means 'big ridge'.  In 1698, father kino recorded the Papago name as 'Adid' and converted it to 'San Francisco del Adid'.  The name, 'Santa Rosa', was used on maps between 1865 and 1912, and 1917 to the late 1930's.  Various spellings of 'Gu Achi' appeared, i.e. Kuatshi (1912), Kaitjimok (1912), Kuarchi (1935) on several private publications.  Gu Achi was used by the U.S. Soil Conservation Service on a map in 1938 (US-T121)."
5412,NA,'Gu Vo' is a Papago Indian name that means 'big charco' (US-T121).
5415,NA,"Named for the Virgin of Guadalupe, Mexico's patroness saint (AZ-T101)."
5545,"Located on the south end of First Mesa, 1.1 km (0.7 mi) west of Polacca.",Hano is a Hopi Indian name meaning 'eastern people.' The village was settled by Tewa Indians early in the eighteenth century (US-T121).
5553,NA,Mohave Indian name implying 'there is little sweet water' (AZ-T101).
5752,NA,"Name is of Papago Indian origin meaning 'zig zag', based on a story about a jagged haircut.  Father Kino may have called this place 'San Geronimo' in 1699, but in 1781, fayes reported the place as 'Cerro de la Pirigua' or 'Tachitoa'.  Various forms of 'Periqua' were published between 1865 and 1912.  In 1912, 'Milpitas', 'Kokuli' and 'Jiquibo' appeared in a private publication.  The present spelling was published in 1938 (US-T121)."
5816,NA,Named about 1910 for SW Higley who was involved with the Phoenix and Eastern Railroad (AZ-T101).
5871,NA,Named by John W. Young in 1882 in honor of H.R. Holbrook (AZ-T101).
6043,NA,Hotason Vo is a Papago Indian name that means 'foot of rock hill charco' (US-T121).
6047,"On Third Mesa, 7.2 km (4.5 mi) NW of Kykotsmovi; 1967 description revised.",Hopi name meaning 'scraped back'.  Came from Hotevila Spring where the low roof of the cave scraped the skin off the back of anyone entering (AZ-T101).
6588,NA,"'Kaihon Kug' is a Papago Indian name, derived in part from the Spanish word 'cajon', which means 'box'.  The Papago Indian name means 'box stands' (US-T121)."
6627,NA,American rendering of Navajo word 'tyende' which refers to a nearby spring where animals mired when they came for water (AZ-T101).
6629,About 60 mi NNE of Winslow and 90 mi NE of Flagstaff.,Named for Thomas Varker Keams who was agent in charge of the Navajos in 1872 (AZ-T101).
6633,NA,"Named for General Philip Kearny, explorer of the Gila River in 1849-50 (AZ-T101)."
6765,NA,"'Kom Vo' is a Papago Indian name meaning 'hackberry charco, or depression' (US-T121)."
6776,NA,"'Kuakatch' is a Papago Indian name that means 'end of mountain'.  'Walls Well' was named by Frederick Wall, a miner who dug a well south of the Papago village.  The name was transferred to the village as 'Wall' on Roskuges 1893 map and as 'Wall Well' or 'Pozo de Federico' and 'Kookatsh' by Carl Lumholtz in 1912 (US-T121)."
6790,NA,"Name derived from Cyrene, Carthagenia (AZ-T101)."
6811,NA,This tonsite was established in 1927 using the Spanish word for 'palm' (AZ-T101).
6920,NA,"Named for its first postmaster, Roger G. LaVeen, in 1913 (AZ-T101)."
6971,NA,"So named by Brigham Young, Jr. in 1884 for a prophet in the Book of Mormon because the post office did not recognize the name 'Jonesville', honoring Daniel W. Jones,  Mormon leader of the local settlers.  Before formal establishment, the area  was known as 'Camp Utah' or 'Utahville' and even called 'Bottom City' by a newspaper as it was near the Salt River (AZ-T101)."
6992,NA,"Although given the name 'Altamount' the local settlers called the post office 'Toothaker Place' because Harriet Toothaker, first postmaster, ran the post office from her home (1895-1898).  Relocated, the Liberty post office existed from 1901 to 1942 (AZ-T101)."
7058,NA,"Named 'Litchfield' in 1916 by the Goodyear Tire and Rubber Company for Paul W. Litchfield,  vice-president.  The post office, named 'Litchton' in 1919, was renamed 'Litchfield Park' in 1926 (AZ-T101)."
7637,NA,"Named for the Mammoth Mine as it was the site for the stamp mill which serves the mine.  A post office was established as Mammoth in 1887 and again as Schultz in 1894, named for Frank Schultz, but discontinued in 1902 (AZ-T101)."
7694,NA,"Named Maricopa Junction because the line to Phoenix branched off here.  In 1887, nearby Maricopa Station changed its name to Heaton; therefore, this town became Maricopa by dropping 'Junction' (AZ-T101)."
7890,NA,"This Mormon community was named 'Mesa' in 1878 because of its location, but in 1881 postal authorities  had the settlement renamed 'Hayden' for Charles Trumbull Hayden  because of possible confusion with Mesaville post office. When confusion did take place with Haydens Ferry (now Tempe), the  town was renamed in 1886 'Zenos' for a prophet in the Book of Mormon. When Mesaville post office was discontinued in 1888, Zenos reverted to 'Mesa' in 1889 (AZ-T101)."
8122,SE of Sipaulovi and 16.9 km (10.5 mi) SW of Polacca; 1915 descripion revised.,"The name, 'Mishongnovi', is of Hopi Indian origin, apparently meaning 'the other (of two sandstone columns) remains standing'. The columns had been raised about 1680 near the site of the ancient pueblo. The Navajo Indian name, 'Tseitsokit' meant great rocky dune (US-T121)."
8159,4 km (2.5 mi) SE of Tuba City; 1915 description revised.,"The name, 'Moenkopi', (Hopi Indian word for 'place of running water')was named for the springs located here.  The village was established in the 1870's at or near the location of 'Rancherio de los Guadelas' of Juan de Onate (1604) and 'Concave' to Father Francisco de Garces (1776).  An 1891 map shows 'Tenehleto Spring, known now as 'Muencovi' (AZ-T101/p.413)."
8605,NA,"Originally called 'Duppa Station' in the 1860's for Darrel Duppa, the station owner. The place was renamed 'New River' when a post office was  established in 1898. However, they spelled it 'Newriver' (AZ-T101)."
9110,NA,Incorporated in 1976.
9142,NA,Named by Milis Benson for the palo verde trees that grew here in 1910 (AZ-T101).
9220,NA,"Named in 1871 for General Eli Parker, Commissioner of Indian Affairs, t the same time as a post office was established on the Colorado River Reservation. The name appears on an 1879 General Land Office (GLO) map. In 1905, the town was relocated four miles upstream next to the railroad crossing. The engineer in charge was Earl H. Parker (AZ-T101). Incorporated in 1948. Became the county seat for La Paz County in 1983."
9278,NA,Founded in 1882.
9318,NA,"Named in the mid-1890's by Chauncey Clark and other settlers from Peoria, Illinois (AZ-T101)."
9336,NA,The town was established in the 1920's by Perry L. Carmean.  A family surnamed Perry came in 1929 to the area and descendants dwell there (AZ-T101).
9433,NA,Founded in 1879. Named for an Indian tribe.
9512,NA,"In 1912 Lorenzo Hubbell built a trading post at a time when the crop of pinon nuts was extra large, hence he called the place Pinon (AZ-T101)."
9539,NA,'Pisinimo' is a Papago Indian name that means 'brown bear head' (US-T121).
9616,NA,"Named for Tom Polacca, a Tewa Indian, who moved from the mesa top to its base in 1890 (AZ-T101)."
9680,NA,"Named for Charles Debrille Poston, first Superintendent for Indian Affairs in Arizona, who was responsible for the establishment of the Colorado River Reservation where Poston is located (AZ-T101)."
9866,NA,This early day mining camp and post office retains the 'Quartzsite' spelling at the wishes of the local residents (US-T121). Incorporated in 1989.
9954,NA,"Named for Colonel Epes Randloph, the vice-president and general manager of the Southern Pacific Railroad.  A post office was established here in 1925 (AZ-T101)."
10481,NA,"Named for John H. Roll, who homesteaded here (Byrd H. Granger: Arizona's Names (X Marks the Place), 1983)."
10623,NA,"The name refers to tall forage which grew in abundance in the area.  Pima Indian name for the old settlement is 'uturituc', 'the corner' referring to the junction of the new and old branches of the Pima River.  In 1696-1697, Father Kino found the Indian names 'El Tusinomo' and 'Soacson' in use.  (Tusinomo referred to the pile of horns from sylvan sheep).  Kino renamed the place 'La Eucarnacion' an in 1775 Father Francisco Garces applied the names 'Vturituc' and 'San Juan Capistrano' for this place.  The post offices have been called 'Sacaton' (1871-1873), 'Pima Agency' (1875-1876), and 'Sacaton' (1876-present) (AZ-T101)."
10657,NA,Founded in 1874. Incorporated as a city in 1955.
10736,NA,"Settlement established in 1904 by Charles H. Pratt and named for his wife, Grace Salome Pratt (AZ-T101)."
10855,Located 5.6 km (3.5 mi) SE of Santa Rosa.,NA
11013,NA,"The Papago Indian village is known by two familiar names: 'Schuchuli' (many chickens), and 'Sisalatuk' (goat ranch), of which Schuchuli is used more often.  'Gunsight' refers to the mine and settlement a mile to the south of this village (US-T121)."
11029,NA,"Named in 1896 for Major Winfield Scott (1837-1910), an army chaplain who homesteaded here in 1891.  It was his  hope to develop the place as a health and farming area (AZ-T101)."
11083,NA,Named in 1880 for adjacent Sentinel Peak (AZ-T101).
11227,NW of Mishongnovi and 10.5 km (6.5 mi) SW of Polacca.,"'Shipolovi', founded about 1750, has a Hopi Indian name referring to 'mosquitoes', the mosquitoes from which the settlers fled to settle here (AZ-T101/p. 558)."
11241,Located 24 miles E of Kaibito.,Navajo Indian name meaning 'spring' (AZ-T101).
11251,NA,Shopishk is a Papago Indian name that means 'pass' (US-T121)
11267,0.8 km (0.5 mi) W of Polacca.,"Professor Herbert E. Gregory reported that the pueblo dated from 1750 and has a Hopi Indian name meaning 'place of the wild currant bush mound'.  The Navajo Indian name is 'Itt'hagi',  meaning 'half-way house' (US-T121)."
11300,NA,"Sikul Himatk, located on a divide between two watersheds, has a Papago Indian name meaning 'water going around'.  'Vaheja' was published between 1893 and 1912 when variant forms of Sikul Himatk appeared (US-T121)."
11303,NA,Sil Nakya is a Papago Indian name that means 'saddle hangs' (US-T121).
11548,NA,Named by Captain A.D. Yocum in 1898 for his native town when the community was established on the Algodones Land Grant (AZ-T101). Incorporated in 1918.
11551,NA,Established by Mexican employees of the Ray Consolidated Copper Company who named the settlement for the Mexican state of Sonora (AZ-T101).
11780,NA,"Named for Nixon W. Stanfield who homesteaded the land prior to 1915.  At that time the place was known as Summerland with a post office from 1914 to 1918.  About 1945 the name 'Table Top' was applied from a nearby mountain, but the re-established post office was called Stanfield in 1948 (AZ-T101)."
11846,NA,'Stoa Pitk' is a Papago Indian name meaning 'white clay' (US-T121).
12119,NA,"The origional name of a stage station built in the area by John Kilbride about 1859 was 'Antelope Hill' or 'Antelope Hill Stage Station'.  'Tacna' was applied to the post office here when the railroad was built.  However, it disappeared in 1898 only to reappear in 1927, when Max B.Noah, the postmaster, told a story that the town was named for Tachnapolis, a Greek priest from California whose name was shortened by the Indians to 'Tacna'.  The present 'Tacna' appears to be located where 'Gael' (a watering station for trains) was maintained by a Robert Gael (AZ-T101)."
12219,"On the N edge of the Carrizo Mountains 40 km (25 mi) NW of Shiprock, New Mexico (US-T121)",NA
12233,NA,"Officially named Tempe about 1879 at suggestion of Darrell Duppa because the area was similar to the Vale of Tempe in Greece.  Charles Trumbull Hayden (1825-1900) established a ferry--'Haydens Ferry'--in 1871 at this place.  Subsequently, the place was known as Butte City or Haydens Butte and by 1875 'Tempe' or 'Haydens Mill'.  The name 'Tempe' came to apply to nearby San Pablo as well (AZ-T101)."
12277,NA,Founded in 1881.
12564,NA,Named in 1912 by W.G. Tolleson (AZ-T101).
12570,NA,Named for the Toltec Indians who preceded the Aztecs in this area (AZ-T101).
12590,National Historic Landmark.,"Named by Ed Schieffelin, who discovered ore here in 1879 and by late 1881 it was one of the largest cities in the west with a population of 15,000. It was larger than San Francisco. In 1890, the town was nearly deserted due to flooded mines. The mines were pumped out in 1901 and flooded again in 1909. This was the Cochise County seat from 1881 to 1929. Tombstone is one of the best preserved specimens of the rugged frontier town of the 1870s and '80s. Site of one of the West's richest silver strikes and the ""gunfight at the OK Corral"", Tombstone epitomizes the legendary reputation of the ""Wild West"" and lawlessness of the 19th century mining camps. Within the past two years (2006-2007)the city of Tombstone has made significant progress toward correcting problems that placed Tombstone on the Threatened level in 2004. In 2005 the Arizona SHPO and NPS-Heritage Partnerships Program initiated a three-day workshop and planning charette, which included community members who are interested in establishing a long-term restoration plan for the Historic District. As a result of this charette several problem historic buildings are now being restored by their owners, who intend on meeting the Secretary of Interior's Standards for Rehabilitation. A long-range plan is now in place that will eventually transform historic Allen Street into a linear park. Consequently, Old Fire Station No. 1 on Allen Street has been saved from near collapse, historically appropriate shade trees have been planted along Allen Street, and this street has been re-surfaced in a manner that is appropriate for its period of historic significance (1880-1931). Consequently there has occurred a renewed spirit of community support for the concept of both halting degradation of the NHL as well as eventually meeting high standards of restoration."
12638,NA,Hopi 'toriva' means cooked or twisted.  It takes its name from a spring which emerges in a twisted way from the earth (AZ-T101).
12802,NA,"The community is named for Tuuvi, a Hopi headman from Oraibi. The Navajo name Tó Naneesdizí translates as “tangled waters” which likely refers to the many underground springs in the area."
13199,NA,'Vaya Chin' is a Papago Indian name that means 'well's mouth' (US-T121).
13463,NA,So named for the wells sunk for water for the railroad trains which passed through here. On the bank of the Gila River is the location called San Pedro by Father Kino in 1699 (AZ-T101). Incorporated in 1970.
13469,NA,Established as Wendendale in 1905 by Otis E. Young for his farm in Pennsylvania when a post office was established.  The name of the post office was shortened to Wenden in 1909 (AZ-T101).
13730,NA,"Named for Henry Wickenburg (born Heinrich Heintzel in 1820 in Austria; died in 1905) who established a ranch in 1864 in Hassayampa Sink, near here.  The town was established about 1865 and was first called 'Wickenburg Ranch' (AZ-T101)."
13808,NA,Founded in 1880 and incorporated in 1915.
14111,NA,"Origionally named San Dionisio by Father Kino in 1700, his 1701 map shows the place as Doonysio or San Dionysio.  In 1775 Father Francisco Graces established a mission in the area called 'Pueblo de la Concepcion', which was later destroyed.  In 1854, Poston surveyed the city and sold the plans and land for $10,000.  He registered the community as Colorado City and a post office was established there.  The name was changed to Arizona (in New Mexico Territory) in 1858.  However, after the destructive 1862 flood, the new post office and community (on higher ground) were named Yuma--for Fort Yuma--in 1866.  Although the name reverted to Arizona City in 1869, the territorial legislature made Yuma official in 1873."
24040,NA,Named for Captain William Harrison Hardy who established a community here in 1864 (AZ-T101/p. 289).
24262,6.4 km (4 mi) SE of Keams Canyon.,NA
24269,NA,"So named by the railroad as it was the nearest stop, at that time, to the Casa Grande Ruins (AZ-T101)."
24290,It is located 28 miles SSW of Casa Grande (US-T121).,NA
24293,NA,"Named for its original settler in 1866, Charles S. Adams, when a post office was established in 1871, it was named Sanford by Mr. Adam's rival, Richard McCormick, for a Captain George B. Sanford of the First U.S. Cavalry.  As local residents used the original name, confusion existed until 1876 , the discontinuance date of the post office.  The entire settlement was gone by 1920 (AZ-T101)."
24294,NA,"Named 'Santa Maria del Agua Caliente' in 1744 by Father Jacob Sedelmayer.  In 1775, Father Francisco Garces used the current short form (AZ-T101)."
24297,NA,'Ak Komelik' is a Papago Indian name that means 'flat channel' (US-T121).
24298,NA,'Ali Ak Chin' is a Papago Indian name meaning 'little mouth of wash'.  This name was approved by the Papago Indian Reservation to avoid conflict with village named Ak Chin on the Papago Indian Reservation.  The name 'La Quituni' applies to a nearby ranch also (US-T121).
24300,NA,Ali Oidak is a Papago Indian name that means 'little field' (US-T121).
24301,NA,"Originally named 'Brills Ranch', the name was changed to 'Garden of Allah' because of its similarity to the desert in the novel by that name.  Local use has shortened the name to its present name form (AZ-T101)."
24307,NA,So named because the area is similar to an Arabian Desert (AZ-T101).
24310,NA,"This village is a suburb of Sells, although it is in the Baboquivari Ddistrict.  Its traditional name, 'Kumkachutz Wawasit,' or 'Turtle Stuck' is now used by the Papagos of Sells, no alternative Papago name exists for Artesa (US-T121).  The origin of the name, is not known. The Indian name 'Komoktetuvavosit' in Papago means 'where the turtle was caught' (AZ-T101/p. 259)."
24320,NA,Name derived from the Big Horn Mountains (AZ-T101).
24326,NA,"The railroad station was named for Hiram W. Blaisdell who, supervised the construction of two canals in the area (AZ-T101)."
24328,NA,"This place on the Southern Pacific Railroad was named for H.G. Bonorden, the chief dispatcher, by using the first three letters of his name (AZ-T101)."
24334,NA,The name means 'forest grove' in Spanish.  The local trees were cut in the mid-1890's for use by the railroad (AZ-T101).
24347,NA,Origionally called Pitoti for the weed found only in that area.  A post office existed 1875-76 as Castle Dome.  A post office was reestablished in 1878 as Castle Dome Landing.  It was closed in 1884 as mining activity diminished (AZ-T101).
24360,The former community was located approximately 10 miles southwest of Tombstone.,"Charleston was the milltown for nearby Tombstone. When the mines in Tombstone flooded, work stopped in Charleston. By 1899, Charleston was already a ghost town.   "
24365,NA,Chiuli Shaik is a Papago Indian name meaning 'willow thicket' (US-T121).
24366,NA,Chiulikam is a Papago Indian name that means 'willow place' (US-T121).
24367,NA,Choulic is a Papago Indian name meaning 'corner' (US-T121).
24369,NA,Chukut Kuk is a Papago Indian name meaning 'owl hoots' (US-T121).
24373,NA,Named for its first postmaster John S. Cochran in 1905 (AZ-T101).
24375,NA,"The name is taken from the title and first name of Colonel Fred Crocker,the 1881 treasurer of the Southern Pacific Railroad (AZ-T101)."
24399,NA,Navajo for 'smooth black rock'.  Describing the butte behind the store (AZ-T101).
24400,NA,The railroad stop was named for the Dixie Mine (AZ-T101).
24402,NA,"Named for early ranch owner, Dudley Harrington. Town was flooded in the 1950s and moved SE from its former location just south of the town of Winkelman."
24406,NA,"The name is of Papago Indian origin, meaning 'my clearing.' (US-T121)."
24413,NA,So named as alfalfa hay was shipped from here (AZ-T101).
24419,NA,"Named in 1910 for an old miner who was described as a 'desert rat' (AZ-T101), abandoned"
24422,NA,"Named for Fortuna Mine (La Fortuna Mine) discovered about 1893 by Charles Thomas, William Holbert, and others.  This appears to be the railroad spur called Ming Spur for Frank Ming, Mayor of Yuma in the 1920's (AZ-T101)."
24430,NA,Named for Frank A. Gillespie who built the Gillespie Dam and expanded the holdings of the former Enterprise Ranch (AZ-T101).
24434,NA,"Unlike the salty water of the other walls in the region, a well dug by Dick Grisby's brother in 1912 had very good water (AZ-T101)."
24436,NA,Named by stockman because of the hordes of grasshoppers (AZ-T101).
24444,NA,This Papago Indian name means 'Dead Old Man's Charco' (US-T121).
24445,NA,"Named in the 1880's for Sheriff Guthrie Smith by the Arizona Copper Company which built the original railroad to the area.  The community was served by a post office, 1901-22, and by Wells Fargo in 1904 (AZ-T1)."
24447,NA,Hali Murk is a Papago Indian word meaning 'squash burat' or 'burnt pumpkin' (US-T121).
24456,NA,"Originally called Maricopa Station as a stage line took passengers to Phoenix from this rail stop.  The post office was named Maricopa.  During a land boom when it was assumed that the railroad branch to Phoenix would connect here, the proposed community was named Maricopaville.  However, the honor went to Maricopa Junction, and the town became a railroad siding called Heston (AZ-T101)."
24460,NA,Hoa Murk is a Papago Indian name that means 'basket burned' (US-T121).
24462,NA,"Established in 1909 as Johannesberg, it was renamed Hope in the 1920's by businessmen and merchants who moved there from Vicksburg (AZ-T101)."
24471,NA,'Itak' is a Papago Indian name that means 'point of mountain' (US-T121).
24477,NA,"Originally named Riverside from 1877 to 1900, the town was renamed Kelvin for Kelvin Grove, Scotland by Lord Gordon.  It is also known as Ray Junction because the main line of the railroad connects to the Ray branch here (AZ-T101)."
24482,NA,The post office was named 'KO FA' in 1900 for the branding iron of the King of Arizona Mining Company.  The post office was closed in 1928 (AZ-T101).
24486,NA,"'Kui Tatk' is a Papago Indian name meaning 'mesquite root'.  The name 'Iron Pipe' and 'Iron Pipe Village' were borrowed from Vainom Kug (Iron Pipe), a mile away and the site of a pump which was built for mining purposes (US-T121)."
24488,NA,'Kupk' is a Papago Indian name that means 'dam' (US-T121).
24494,NA,"The name may be derived from the Spanish word 'lagarto' meaning 'lizard', as they are prevalent here (AZ-T101).  The railroad staion was established in the 1880's."
24499,NA,"Formerly called Lockhart, the railroad station was renamed Love after World War I to honor Ernest Love, who had been killed in the conflict (AZ-T101)."
24503,NA,"So named because Magma was located at the junction of the Arizona Eastern Railroad for the Magma Mine, owned by Magma Copper Company (AZ-T101)."
24504,NA,"'Makgum Havoka' is a Papago Indian name meaning 'caterpillar pond'.  It is apparently named for the 'makum', blach-striped caterpillar boiled and eaten by the  Papago Indians.  The variant form of the name appeared in 1912 (US-T121)."
24506,NA,It was named during the Spanish-American War after the capital of the Philippines (AZ-T101).
24513,NA,"Named in the 1890's for A.C. McQueen of the Atchison, Topeka and Santa Fe Railroad (AZ-T101)."
24514,NA,"Named for a man named McVay, who was the first to drill a well for the railroad here (AZ-T101)."
24518,NA,So named because the railroad station was midway between Bouse and Swansea on the Arizona and Swansea Railroad (AZ-T101).
24519,NA,"Established in the 1880's as Chrystoval, but changed to Mohawk in 1905 because of the influx of former New York residents (AZ-T101)."
24520,NA,Name for a seasonal rancheria derived from the Papago Indian words meaning 'many wells' (AZ-T101).
24530,NA,"'Newt Vaya' is a Papago Indian name that means 'pampas grass well' (US-T121),"
24539,NA,"The name appearing on maps in 1921 apparently is for the second postmaster, Charles G. Norton (AZ-T101)."
24540,NA,"The Colorado River steamer landing was developed for the Red Cloud Mine and named for George W. Norton, who was in charge of building the first bridge across the Colorado and participated in mining, politics, farming and real estate into the twentieth century (AZ-T101)."
24543,NA,"This town came into existence in 1903 and was named for Colonel C.R. Olberg, chief engineer of the Indian Bureau, who supervised the construction of Coolidge Dam (AZ-T101)."
24549,NA,"This settlement was first named Doanville for John Doan, one of the early pioneers.  The Doanville post office, established in 1889, was changed to Palomas in 1891.  Palomas, (Spanish word meaning 'doves') describes the white-winged flocks that arrive here for each summer (AZ-T101)."
24551,NA,'Pan Tak' is a Papago Indian name meaning 'coyote sits' (US-T121).
24556,NA,Local belief is that the place was named for Penzance in England for a quarry there. The S.F.R.R. named the place in 1888 (AZ-T101).
24557,NA,"This is a railroad siding named for Nils Peterson, operator of a cotton gin here. The siding served Kyrene (AZ-T101)."
24565,NA,The name means 'sycamore place' in the Papago Indian language (US-T121).
24566,NA,Former settlement named for the Planet Mine (discovered in 1864).  The town was a travelers' stopping place and had a post office from 1902 to 1921 (AZ-T101).
24567,NA,Spanish name meaning 'lead-colored' derived from the Plomosa Mountains where many lead-bearing mines exist (AZ-T101).
24571,NA,"Named for William Price, a Florence merchant who supplied material to the railroad contractors or for B.S. Price, an employee of the Georgetisdale, the general contractor.  A post office existed from 1909 to 1923 (AZ-T101)."
24572,NA,Name is a Spanish corruption of the Papago Indian word 'Kia Hoa Toak' which means 'carrying basket mountain'.
24576,NA,So named as the branch railroad separated from the Arizona-Eastern Railroad to go to Ray Mine (AZ-T2).
24590,NA,"Named in 1915 by Professor Herbert E. Gregory for the butte nearby bearing the same name.  The Navajo Indians called the locality, 'Bisdotl'is desaki' meaning 'blue clay point' (US-T121)."
24596,NA,"Although the feature was traditionally called 'Nyerwi Ki' (meaning 'Buzzards House') by the Papago Indians, they preferred the saint's name (US-T121)."
24606,NA,Located by the Pima Indians in 1857 and named 'Santa Ana'. Because the name was pronounced Santana the name developed into its present form (AZ-T101).
24608,NA,"The name is of Papago Indian origin, an abbreviation of 'Schuchk Ka Wuacho Awotam', meaning 'people who live under the black things' (US-T121)."
24612,NA,"Named for Lionel Sheldon, governor of New Mexico from 1883 to 1884.  A post office existed here from 1908 to 1919 (AZ-T1)."
24613,NA,Sif Vaya is a Papago Indian name meaning 'bitter well' (US-T121).
24615,NA,Sikort Chuapo is a Papago Indian name that means 'round spring'. The palce had been called 'Pozo Redondo' (Redondo Well) by the Mexicans for Redondo who opened up the spring (or well). The earlier Papago Indian name 'Sikorttjuupo' meant 'round tank' (US-T121).
