"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"Ada Icon",,http://www.adaicon.com,,No,Bluffton,OH,"United States",English,,,"For Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Ada Icon is where Ada gets its news. The Icon is the center of information and commerce for Ada, Ohio. We promote Ada through advertising, the printed word, photographs and other tools of technology."
AdobeAirstream,,http://adobeairstream.com,,No,"New York",NY,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daily culture art and music reporting from the hub cities of the Rocky Mountain West."
"Advocate Media - Dallas","Advocate Media - Dallas",https://advocatemag.com,"Rick Wamre",No,Dallas,TX,"United States",English,,"For Profit","Not for Profit",1991,16-20,31-40,31-40,0-10,0-10,"Digital marketing services, Newsletters, Originally-reported articles, Printed media, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area, Food",,"People of color, Low-income communities",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"We are the main neighborhood news source for many of our readers who don't have time to become involved with their neighbors. Our goal is to give our readers a sense that they are part of the neighborhood, even if they don't have as much time as they would like to be ""good neighbors"".",
"Alhambra Source",,https://alhambrasource.org,,No,Alhambra,CA,"United States",English,,,"Not for Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"The mission of the Alhambra Source community news site is to enable civic engagement and immigrant integration, and to be a model for taking up the 21st Century challenge of revitalizing democracy through local media serving diverse communities. Fully half of Alhambra’s residents are immigrants and helping them become part of the fabric of American civic life is a core element in the Alhambra Source’s mission. In this, the Alhambra Source is part of the national effort to reinvigorate local journalism, so essential for advancing democracy."
"Altadena Now",,http://www.altadena-now.com/main,,No,Altadena,CA,"United States",English,,,"For Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altadena Now (www.Altadena-Now.com) is an online publication about Altadena, California."
"Amboy Guardian",,https://amboyguardian.com,,No,"Perth Amboy",NJ,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annandale Blog",,https://annandaleva.blogspot.com,"Ellie Ashford",No,Annandale,VA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2009,0,11-20,11-20,31-40,0-10,"Originally-reported articles, Newsletters",,"Website, Social media",,"Neighborhood(s), County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Crime & Justice, Events in coverage area, Government, Planning & Development, Transportation",,,,"Direct sold advertising",,,"Direct sold advertising",,,,Display,,,"The Annandale Blog was created in 2009 to promote dialogue about issues and events that affect the residents of Annandale, Va. - everything from community revitalization projects to new business openings. Coverage was subsequently expanded to include Seven Corners, Bailey’s Crossroads, and other areas in Mason District."
"Apopka Voice",,https://theapopkavoice.com,,No,Apopka,FL,"United States",English,,,"For Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Apopka Voice is the first draft of local news. Our mission is to inform, engage, and make a difference in the community."
Arkadelphian,,https://arkadelphian.com/,,No,Hope,AR,"United States",,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arkansas Nonprofit News Network",,https://arknews.org,,No,"Little Rock",AR,"United States",English,,,"For Profit",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Arkansas Nonprofit News Network is an independent, nonpartisan news effort dedicated to producing journalism that matters to Arkansans. It was founded in December 2016 by longtime Arkansas Times editor Lindsey Millar."
"ArkLaTex News",,https://www.arklatexnews.com,,No,Texarkana,TX,"United States",English,,,"For Profit",2019,,,,,,,,,,,,,,,,,,,,,,,,,,,"ArkLaTexNews.com and its sister online publications, including Shreveporter.com and TexarkanaNews.com, were many years in the making and launched on May 4, 2019. The concept was initially developed in 2015 with the idea of establishing a news organization for the ArkLaTex region including Northeast Texas, Southwest Arkansas, North Louisiana and Southeast Oklahoma."
"ARL Now",,https://arlnow.com,,No,Arlington,VA,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Launched in January 2010, ARLnow.com is the place for the latest news, views and things to do around Arlington, Virginia. We seek to distinguish ourselves by providing original, enterprising, up-to-the-minute local coverage."
Aroundptown.com,,https://aroundptown.com,"Dan Eyrich",No,"Prophetstown, Erie, Lyndon & Tampico",IL,"United States",English,,LLC,LLC,1995,1,0-10,21-30,41-50,0-10,"Originally-reported articles, Video, Social media-only content",,"Website, Social media",,City/Town,"Hyperlocal community comings and goings",,"Education & Schools, Events in coverage area, Government, Sports & Recreation",,,,"Direct sold advertising, Small individual gifts",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship",,"Since the inception of my site I have received dozens of accolades from the communities I serve. The main town I serve had a weekly printed newspaper that had been declining in content and readership for many years. I have not only filled that void but have brought a product that is immediate, interactive, and provides multimedia content.","After beginning to cover local activities on Facebook, I decided to move my endeavor to the web and make it a full-time job.
My goal is to serve the local area with most accurate information available allowing citizens to be well informed on issues that affect them."
"Asbury Park Sun",,http://asburyparksun.com/?fbclid=IwAR3spOFM7UJmTsicsz0iAUJEysMBvjjkljizRR3NMWcT…,,No,"Ashbury Park",NJ,"United States",English,,,"For Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"An online news source (www.asburyparksun.com) serving the Greater Asbury Park area."
"Asheville Watchdog",,https://avlwatchdog.org/,"Tom Fiedler, Sally Kestin, Steve Keeble, David Feingold, John Forsyth, Jason Sandford",No,Asheville,NC,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2020,0,0-10,0-10,0-10,0-10,,,,,,,,,,,,,,,,,,,,,,"Asheville Watchdog Founding Members Tom Fiedler Dean emeritus and journalism professor at Boston University’s College of Communication; former executive editor of The Miami Herald; trustee of TheConversation.com/us; co-founder New England Center for Investigative Reporting; former president New England First Amendment Coalition; award-winning investigative and political reporter during three decades at The Miami Herald including a shared Pulitzer Prize in 1991."
"Aspen Journalism",,https://aspenjournalism.org,,No,Aspen,CO,"United States",English,,,"Not for Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aspen Journalism is a local, independent, nonprofit, and investigative journalism organization based in Aspen, Colorado."
Atlantafi.com,,https://atlantafi.com,"CJ Johnson",No,Atlanta,GA,"United States",English,,LLC,LLC,2018,3-5,11-20,61-70,0-10,0-10,"Digital marketing services, Newsletters, Originally-reported articles, Video",,"Social media, Website",,City/Town,"Hyperlocal community comings and goings",,"Business, Entertainment & Arts, Sports & Recreation",,"People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,,"There is a void in the marketplace for highly curated and relevant local information. There are tons of things to do and experiences to share here in Atlanta. But nobody can cut through the noise.
AtlantaFi is here to offer you curated short list of the coolest spots."
"Auburn Examiner",,https://auburnexaminer.com/,,Yes,Auburn,WA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2017,1,,,,,"News aggregation, Newsletters, Originally-reported articles, Social media-only content",,"Email, Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings",,"Crime & Justice, Education & Schools, Entertainment & Arts, Government, Local News",,,,,,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display, Email, Social Media",,"The Auburn Examiner's reporting, especially during the pandemic, has helped keep our community informed on important updates, information, and news. We use social media to provide breaking news updates (i.e. road closures, fires, and flood warnings), and to provide much-needed levity in a sometimes gloomy world. Our outlet has shared personal stories from our team and community members to raise awareness about important issues such as mental health, racial injustice, and pregnancy loss.
 ","The Auburn Examiner is a local independent news outlet focused on educating, raising awareness, and empowering through the stories of Auburn, Washington."
"Austin Monitor",,https://www.austinmonitor.com,,No,Austin,TX,"United States",English,,,"Not for Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"Five days a week, we bring you the news from Austin City Hall, Travis County Commissioners Court, and multiple other civic entities that make key decisions for central Texas. We stick to the facts. We aim to be fair. When we err, we correct it fast."
AustinTalks,,http://austintalks.org/,"Suzanne McBride",No,Chicago,IL,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2010,0,81-90,11-20,0-10,0-10,"Originally-reported articles",,"Print, Website",,Neighborhood(s),"Hyperlocal community comings and goings",,"Education & Schools, Events in coverage area, Government, Race & Ethnicity, Social Justice & Inequality",,"People of color, Low-income communities",,"Small individual gifts",,,"Syndicated Content",,,,"I don’t sell any advertising products.",,,"The Austin community, home to nearly 100,000 people, is rich in diversity, culture and life. AustinTalks - a project of Columbia College Chicago’s Communication Department - seeks to reflect this richness and provide the residents of Chicago’s most-populated neighborhood with news and information not available anywhere else."
Austonia,,https://austonia.com,"Mark Dewey",Yes,Austin,TX,"United States",English,,"Public-benefit corporation","Public-benefit corporation",2019,3-5,61-70,21-30,0-10,0-10,"Newsletters, Originally-reported articles",,"Social media, Third party content platforms, Website",,City/Town,"Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Business, Health & Medicine, Planning & Development, Politics, Transportation",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,,"We're a new voice in Austin's media landscape.
We're 100% local. We cover Austin news and feature Austin brands.
We're here to help you find what you need to know and get on with your day.
We work hard to put our readers first. That means no paywalls, clickbait ads, or other annoyances.
We tell stories that are relevant to you. News, trends, media, topics, people. We cover the changes that are reshaping our city."
Avant-Youth,,https://avantyouth.com,"Judith Y. Kim, James Hunter, Nicole Colon-Rivera, Hagen McMenemy, Erik Rosario",Yes,Atlanta,GA,"United States",English,,LLC,LLC,2019,1,0-10,11-20,51-60,11-20,"Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Third party content platforms, Website",,State/Province,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area",,"Ethnic communities, People of color","Younger Generations","Programmatic advertising, Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,"Content Sponsorship, Display, Video",,"We help young(er) people navigate their lives in the communities they live in - namely in GA/Atlanta. Our impact is more nuanced, I would say, by encouraging our readers to do something with the info we provide.","Avant-Youth ‘s mission is to inform the decisions and actions that may lead young people into empowering themselves by relaying actionable stories, informational resources, and delivering relevant insight and life perspectives."
"B-Town Blog",,https://b-townblog.com,,No,"South King County",WA,"United States",English,,,"For Profit",2007,,,,,,,,,,,,,,,,,,,,,,,,,,,"The B-Town Blog is part of South King Media, an independent, locally-owned publisher that creates and produces award-winning Local News/Events Blogs, Podcasts, Email Newsletters, Live Video Feeds and Film/Video!
We publish seven local blogs (iLoveKent.net is our newest) for the South King County area in Washington State, where we serve up the latest local news, politics, events, arts, entertainment and more with a monthly reach of over 140,000 Readers located just south of Seattle."
"Baltimore Brew",,https://www.baltimorebrew.com,,No,Baltimore,MD,"United States",English,,,"Not for Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"BALTIMORE BREW is an independent daily news website, staffed by veteran journalists committed to providing fresh, fair, insightful and reliable reporting about Baltimore."
"Baltimore Fishbowl",,https://www.baltimorefishbowl.com,,No,Baltimore,MD,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baltimore Fishbowl reports the fun, factual and sometimes controversial scoop on local schools, real estate, money and power, culture, lifestyle, and community. Find daily posts Monday through Friday, longer original weekly stories, assorted columns and curated news from around the region, all accompanied by photos and video."
"Banks Post",,https://bankspost.com,,No,Banks,OR,"United States",English,,,"For Profit",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Banks Post is an online and print newspaper that covers news, events, sports, culture, and opinion in the communities of Banks, Buxton, Manning, Roy, Hayward, Timber and more. Our coverage area extends from Highway 47 outside of Forest Grove, north to encompass all of Banks almost to North Plains, then up through the forest and farms to the edge of Columbia County, then west past the Timber Junction on Highway 26, looping back to include the town of Timber, with the mountain ridge between Hayward and the Gales Creek Valley roughly forming our southern boundary."
"Banyan Project",,https://banyanproject.coop,"Tom Stites",Yes,Haverill,MA,"United States",English,,"Under umbrella of a 501c(3)","Sole Proprietor/no specific tax status",2010,0,0-10,0-10,41-50,41-50,,,Website,,"Neighborhood(s), City/Town, County/Counties/Regional districts","Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Entertainment & Arts, Government, Politics, Sports & Recreation",,"Low-income communities",,"Foundation funding, Small individual gifts, Major individual gifts",,,"Foundation funding",,"I don't have a paywall",,"Display, Content Sponsorship",,"Banyan does not operate a news site but rather seeds and supports independent news co-ops that adopt its model. More than 30 communities have expressed interest in adopting Banyan's model and qualified volunteer leaders are poised to get started once funding is secured.","The Banyan Project aims to strengthen democracy by helping seed community-scale Web journalism cooperatives in underserved communities, then supporting them so they can thrive and best serve the broad public of everyday citizens while engaging their civic energy. Banyan will provide mentorship and educational, technical and administrative tools that will help new co-ops get started with a minimum of risk."
Baristanet,,https://baristanet.com,,No,Montclair,NJ,"United States",English,,,"For Profit",2004,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baristanet was born in May 2004 and soon after emerged as a leader in hyperlocal news. Baristanet receives more than 15,000 visits a day and covers Montclair, Glen Ridge, Bloomfield as well as bringing readers news and happenings in and around Essex County."
"Bay City News Foundation",,https://www.localnewsmatters.org,,Yes,Berkeley,CA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2018,6-10,71-80,0-10,0-10,0-10,"News aggregation, Newsletters, Originally-reported articles",,"Aggregation, Email, Social media, Syndicated feed or content partnerships, Website",,"County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Culture, Entertainment & Arts, Environment, Events in coverage area, Local News",,,,"Foundation funding, Grants, Major individual gifts, Small individual gifts",,,"Foundation funding",,,,"I don’t sell any advertising products.",,"Our projects are aimed at:
~ Providing on-the-ground local reporting, including news, arts and culture, demographic trends and history.
~ Building partnerships with Solutions Journalism Network, EdSource, Big Local News, CalMatters, Catchlight, USC Annenberg and others.
~ Testing new technology to gather and distribute news. We are collaborating with Microsoft, entrepreneurs from the JSK Journalism Fellowship program at Stanford University, and Big Local News.
~ Supporting the next generation of journalists with internships and training.","Bay City News Foundation serves the San Francisco Bay Area and is backed by charitable donations from contributors who care about local news, a free press, democratic values and an informed citizenry. We target geographic and topical news deserts. We collaborate with other media. We experiment with technology. We work with journalism schools to train the next generation of reporters. You can see the results of this approach in our work at LocalNewsMatters.org."
"Bayou Brief",,https://www.bayoubrief.com,,No,"New Orleans",LA,"United States",English,,,"Not for Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"Established in 2017, Bayou Brief is Louisiana’s first and only statewide, digitally-oriented, member-supported news and culture publication."
"Bel Air News and Views",,http://www.belairnewsandviews.com,,No,"Bel Air",MD,"United States",English,,,"For Profit",2006,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local news and events site focusing on Bel Air and Harford County, Md."
Bellport.com,,https://bellport.com,,No,Bellport,NY,"United States",English,,,"For Profit",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unlike most other municipal or business websites, we wanted to provide a unique mix of local government, local business, and local community information to our readers. We wanted to be your “Paperless Newspaper” providing everything you look for in a newspaper, but targeting our local community and delivering the news electronically. It didn’t have a name back in 2005, but today it’s called “Hyperlocal News.”"
"Belt Magazine",,https://beltmag.com,,No,Cleveland,OH,"United States",English,,,"Not for Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"Belt Magazine is a digital publication by and for the Rust Belt and greater Midwest. Founded by Anne Trubek in 2013, we’re known for compelling longform reportage and poignant personal essays, as well as poetry, commentary, interviews, and photography. Like our partner project, Belt Publishing, we believe in quality over quantity and community over analytics, and we’re dedicated to publishing thoughtful, nuanced writing about the past, present, and future of the region."
BenitoLink,,https://benitolink.com,"Non Profit",No,Hollister,CA,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2012,3-5,41-50,31-40,0-10,11-20,"Events, Newsletters, Originally-reported articles, Printed media, Video",,"Social media, Website",,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news","Community contributors","Corruption, Education & Schools, Government, Health & Medicine, Transportation",,"Communities with English as a second language, Ethnic communities, People of color, Immigrant communities, LGBTQI communities, Low-income communities","Rural, Seniors","Direct sold advertising, Foundation funding, Major individual gifts, Other forms of corporate sponsorship, Senior Health coverage underwriter, Small individual gifts",,,"Foundation funding",,,,Display,,"We inform voters through nonpartisan election forums and are a primary source of news and info for county which is potentially lifesaving during emergencies like COVID-19. We are the only entity reporting-in person on local government. We run the community ""town plaza"" where citizens can share ideas in a civil and respectful way.","BenitoLink is a nonprofit news website serving the residents of San Benito County.
Mission: BenitoLink connects San Benito County residents through local news and information, encouraging public dialogue to foster an engaged community.
Vision: BenitoLink is the trusted source for news and information about San Benito County.  As a community supported organization, BenitoLink is the voice for all county residents."
Berkeleyside,Cityside,https://berkeleyside.com,Nonprofit,No,Berkeley,CA,"United States",English,,LLC,"Nonprofit 501c(3) or Canadian nonprofit",2009,11-15,61-70,11-20,0-10,11-20,"Events, Newsletters, Originally-reported articles",,"Social media, Website",,City/Town,,,"Crime & Justice, Education & Schools, Entertainment & Arts, Events in coverage area, Government",,,,"Direct sold advertising, Major individual gifts, Philanthropic funding from major institutions, Reader membership",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"Content Sponsorship, Display",,,"Berkeleyside is the independent, award-winning news site in Berkeley, California, reporting on Berkeley and the East Bay."
"Berks Weekly",,https://berksweekly.com,"Jason Hugg",Yes,Reading,PA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2019,0,21-30,21-30,21-30,21-30,"Newsletters, Originally-reported articles, Video",,"Social media, Website",,"County/Counties/Regional districts","Hyperlocal community comings and goings",,"Business, Crime & Justice, Entertainment & Arts, Events in coverage area, Sports & Recreation",,,,"Reader membership",,,"Direct sold advertising",,"I don't have a paywall",,Display,,,"Berks Weekly is an independent, locally owned, digital newspaper featuring the latest top stories and headlines from Reading and Berks County, Pennsylvania."
"Bethesda Beat",,https://bethesdamagazine.com/bethesda-beat,"Steve Hull",No,Bethesda,MD,"United States",English,,"S Corp","S Corp",2016,6-10,41-50,11-20,11-20,0-10,"Events, Newsletters, Originally-reported articles",,"Social media, Third party content platforms, Website",,"County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Crime & Justice, Education & Schools, Government, Planning & Development, Politics",,"Communities with English as a second language, Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Direct sold advertising, Reader membership",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,"Bethesda Beat is the only independent news outlet that is devoted to covering Montgomery County, Maryland, which has a population 1.1 million people. I believe our coverage plays a critical role in keeping people informed and engaged, and in keeping government officials accountable.","Bethesda Magazine is the magazine for people living in Bethesda and the surrounding towns. Lively, entertaining and informative, Bethesda Magazine covers the topics that are interesting and important to Bethesda-area residents, including restaurants, real estate, home design and décor, community issues (e.g., schools, traffic, development), arts and entertainment, and people. Bethesda Magazine is published six times a year and is available in print and as a digital edition."
"Bike Portland",,https://bikeportland.org,,No,Portland,OR,"United States",English,,,"For Profit",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,"BikePortland.org is an independent news source that covers cycling and transportation issues in the Portland region. Our journalism and advocacy informs and inspires thousands of people around the world every day."
"Billy Penn",,https://billypenn.com,,No,Philadelphia,PA,"United States",English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billy Penn is not your standard news site. We’re more like a good friend who happens to be really knowledgeable about Philadelphia and Philly news — and loves sharing the info.
Founded in 2014 as a startup, we’re now part of WHYY, the region’s trusted public media organization.
We operate on a model we refer to as “write the best, link to the rest,” which includes original reporting and careful curation of everything else out there. Our small, four-person team does all that with the goal of effecting our mission to create a more engaged Philadelphia."
"Birmingham Watch",,https://birminghamwatch.org,,No,Birmingham,AL,"United States",English,,,"Not for Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Alabama Initiative for Independent Journalism is a non-profit, non-partisan organization serving the civic good of Birmingham and Alabama by supporting journalism that makes a difference and citizen engagement with news that is fair, factual, unflinching and focused on important matters."
Bitterroot,,https://bitterrootmag.com,,No,Seattle,WA,"United States",English,,,"For Profit",2019,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitterroot is an online magazine and newsletter that chronicles the politics, culture, economy, and environment of the Western U.S. We cover everything from innovation in Silicon Valley to endangered species, always from the perspective of people who live, work, and play throughout the West. Because while every Westerner may be different, there is one value that unites us: We love the place we call home."
