brand,product,name,specific,lightness,hex,lightToDark,numbers,id
Smashbox,Primer + Foundation Customizable Set,Smashbox,0.3,0.733333333333333,#DAB49C,TRUE,0.3,12
TOM FORD,Traceless Soft Matte Foundation,Rose,0.4,0.796078431372549,#E4C7B2,TRUE,0.4,3
TOM FORD,Traceless Foundation Stick,Rose,0.4,0.688235294117647,#D3A58C,TRUE,0.4,5
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.5,0.715686274509804,#E6AE87,TRUE,0.5,9
bareMinerals,BAREPRO Performance Wear Powder Foundation,Porcelain,0.5,0.843137254901961,#FCC8B2,TRUE,0.5,14
Clinique,Beyond Perfecting Powder Foundation + Concealer,Breeze,0.5,0.833333333333333,#F7C9B2,NA,0.5,NA
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.5,0.827450980392157,#ECC7BA,TRUE,0.5,1
Clinique,Beyond Perfecting Foundation + Concealer,Shell,CN 0.5,0.92156862745098,#F7EADF,NA,0.5,NA
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,0.5,0.764705882352941,#DDC1A9,TRUE,0.5,15
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,Porcelain,0.5,0.843137254901961,#FCC8B2,TRUE,0.5,16
bareMinerals,BAREPRO Longwear Powder Foundation ,Porcelain,0.5,0.872549019607843,#FCD3C1,TRUE,0.5,17
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,Porcelain,0.5,0.882352941176471,#FDD8C5,TRUE,0.5,18
TOM FORD,Traceless Soft Matte Foundation,Porcelain,0.5,0.794117647058823,#E2CCB3,TRUE,0.5,3
TOM FORD,Traceless Foundation Stick,Porcelain,0.5,0.864705882352941,#F8D5C1,TRUE,0.5,5
Smashbox,Primer + Foundation Customizable Set,Smashbox,0.5,0.719607843137255,#D2AB9D,TRUE,0.5,12
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.7,0.715686274509804,#D2B89B,TRUE,0.7,1
Clinique,Beyond Perfecting Foundation + Concealer,Custard,CN 0.75,0.903921568627451,#F5E5D8,NA,0.75,NA
Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,NA,Shade 1,0.825490196078431,#F0D2B5,TRUE,1,19
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,Fair Cool,Shade 1,0.817647058823529,#EACFB7,TRUE,1,20
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,Fair Cool,Shade 1,0.803921568627451,#E3CFB7,TRUE,1,21
NUDESTIX,Tinted Cover Foundation,Nude,1,0.898039215686275,#F3DFD7,TRUE,1,22
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.0,0.701960784313725,#E5AC81,TRUE,1,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.0,0.82156862745098,#F1C6B2,TRUE,1,10
bareMinerals,Matte Foundation Broad Spectrum SPF 15,Fair,01,0.901960784313726,#FDE3CF,TRUE,1,23
Makeup Revolution,Fast Base Stick Foundation,NA,F1,0.73921568627451,#D8BDA1,TRUE,1,24
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,NA,P1,0.907843137254902,#F4E7DB,TRUE,1,11
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,Fair,01,0.901960784313726,#FDE3CF,TRUE,1,25
bareMinerals,BAREPRO Performance Wear Powder Foundation,Fair,01,0.837254901960784,#FBCDB0,TRUE,1,14
Clinique,Almost Powder Makeup,Fair,01,0.950980392156863,#F4F3F1,NA,1,NA
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,Opal,01,0.801960784313726,#F3C1A6,TRUE,1,26
Makeup Revolution,Conceal & Hydrate Foundation,NA,F1,0.809803921568627,#E6CBB7,TRUE,1,27
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F1,0.835294117647059,#F3D4B7,TRUE,1,1
Makeup Revolution,Conceal & Glow Foundation,NA,F1,0.815686274509804,#EDCCB3,TRUE,1,28
Pacifica,Alight Clean Foundation,Cool Deep,01CD,0.313725490196078,#7C4024,FALSE,1,29
jane iredale,Beyond Matte Liquid Foundation,NA,M1,0.817647058823529,#FCCDA5,TRUE,1,30
Clinique,Beyond Perfecting Foundation + Concealer,Flax,WN 01,0.896078431372549,#EFE3DA,NA,1,NA
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,1.0,0.743137254901961,#DEC09D,TRUE,1,15
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,Fair,01,0.837254901960784,#FBCDB0,TRUE,1,16
Physicians Formula,The Healthy Foundation SPF 20,NA,DpC1,0.376470588235294,#92572E,TRUE,1,31
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,Fair,01,0.831372549019608,#FBCDAD,TRUE,1,32
LORAC,PRO Soft Focus Longwear Foundation,NA,01,0.8,#E8CDB0,TRUE,1,33
HOURGLASS,Veil Fluid Makeup,Ivory,No. 1,0.758823529411765,#E8B89B,TRUE,1,2
ILIA,Super Serum Skin Tint SPF 40 Foundation,Rendevous,1,0.907843137254902,#FEE4D1,TRUE,1,34
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Cool,1.00,0.943137254901961,#FCF0E5,TRUE,1,35
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,Opal,01,0.847058823529412,#ECD0C4,TRUE,1,36
bareMinerals,BAREPRO Longwear Powder Foundation ,Fair,01,0.866666666666667,#F6D8C4,TRUE,1,17
PAT McGRATH LABS,Sublime Perfection Foundation,Light,1,0.923529411764706,#FCE7DB,TRUE,1,37
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,Fair,01,0.870588235294118,#F1DFCB,TRUE,1,18
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,Fair,01,0.707843137254902,#CEB29B,TRUE,1,38
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,Driftwood,1,0.794117647058823,#E8C6AD,TRUE,1,39
Laura Mercier,Smooth Finish Foundation Powder,NA,1,0.792156862745098,#FCCD98,TRUE,1,40
Kosas,Tinted Face Oil Foundation,Tone,01,0.868627450980392,#F1DECA,TRUE,1,41
Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,NA,1,0.754901960784314,#E3B39E,TRUE,1,42
Charlotte Tilbury,Light Wonder Foundation,Fair,1,0.856862745098039,#EBD8CA,TRUE,1,43
Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,NA,01N,0.713725490196078,#D6AB96,TRUE,1,44
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,Opal,01,0.82156862745098,#F0C8B3,TRUE,1,45
Charlotte Tilbury,Magic Foundation,NA,1,0.786274509803922,#E1C6B0,TRUE,1,6
SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Lace Sephora Quality Way-Nice Price,1,0.886274509803922,#EFDED5,TRUE,1,46
La Mer,The Luminous Lifting Cushion Foundation SPF 20 + Refill,Pink Porcelain,01,0.805882352941176,#F0C4AB,TRUE,1,47
Bobbi Brown,Skin Weightless Powder Foundation,Warm Ivory,1,0.829411764705882,#F2CEB5,TRUE,1,7
KEVYN AUCOIN,Foundation Balm,Light EF,01,0.835294117647059,#F7D1B3,TRUE,1,48
NUDESTIX,Nudies Tinted Blur Stick,Light,1,0.790196078431373,#E6BEAD,TRUE,1,49
Smashbox,Primer + Foundation Customizable Set,Smashbox,1,0.719607843137255,#D4A69B,TRUE,1,12
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,NA,N01,0.77843137254902,#E0C3AD,TRUE,1,8
SEPHORA COLLECTION,Clean Glowing Skin Foundation,NA,1,0.798039215686275,#ECCCAB,TRUE,1,50
Armani Beauty,Crema Nuda Supreme Glow Reviving Tinted Moisturizer,Nude Glow,1,0.658823529411765,#CC9484,TRUE,1,51
KEVYN AUCOIN,The Etherealist Foundation,Light EF,01,0.743137254901961,#D6B4A5,TRUE,1,52
surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,1,0.817647058823529,#F5CFAC,TRUE,1,53
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,01,0.707843137254902,#CEB29B,TRUE,1,54
KEVYN AUCOIN,Stripped Nude Skin Tint,ST,01,0.876470588235294,#FCDBC3,TRUE,1,55
Benefit Cosmetics,Mini Hello Happy Flawless Brightening Foundation SPF 15,NA,1,0.874509803921569,#FAD4C4,TRUE,1,56
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.05,0.688235294117647,#DFAE80,TRUE,1.05,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.05,0.819607843137255,#F1D1B1,TRUE,1.05,10
Smashbox,Primer + Foundation Customizable Set,Smashbox,1.05,0.717647058823529,#DAB694,TRUE,1.05,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.1,0.645098039215686,#D1A378,TRUE,1.1,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.1,0.798039215686275,#F0CBA7,TRUE,1.1,10
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Neutral,1.10,0.917647058823529,#FCEDD8,TRUE,1.1,35
TOM FORD,Traceless Soft Matte Foundation,Warm Sand,1.1,0.794117647058823,#E2D0B3,TRUE,1.1,3
TOM FORD,Traceless Foundation Stick,Warm Sand,1.1,0.66078431372549,#D3AA7E,TRUE,1.1,5
Smashbox,Primer + Foundation Customizable Set,Smashbox,1.1,0.813725490196078,#E0CDBF,TRUE,1.1,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.15,0.690196078431373,#E3AA7D,TRUE,1.15,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.15,0.8,#F6C6A2,TRUE,1.15,10
Smashbox,Primer + Foundation Customizable Set,Smashbox,1.15,0.698039215686274,#D0A594,TRUE,1.15,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.2,0.680392156862745,#E0A77B,TRUE,1.2,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.2,0.823529411764706,#FCD3A8,TRUE,1.2,10
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Cool,1.20,0.911764705882353,#FBE6D6,TRUE,1.2,35
Smashbox,Primer + Foundation Customizable Set,Smashbox,1.2,0.729411764705882,#D5B49F,TRUE,1.2,12
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Warm,1.30,0.858823529411765,#F5DBC1,TRUE,1.3,35
TOM FORD,Traceless Soft Matte Foundation,Nude Ivory,1.3,0.784313725490196,#E2C8AE,TRUE,1.3,3
TOM FORD,Traceless Foundation Stick,Nude Ivory,1.3,0.67843137254902,#D7A683,TRUE,1.3,5
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Neutral,1.40,0.805882352941176,#ECCCAF,TRUE,1.4,35
TOM FORD,Traceless Soft Matte Foundation,Bone,1.4,0.774509803921569,#E2CCA9,TRUE,1.4,3
TOM FORD,Traceless Foundation Stick,Bone,1.4,0.670588235294118,#D2A884,TRUE,1.4,5
NUDESTIX,Tinted Cover Foundation,Nude,1.5,0.888235294117647,#F2DBD3,TRUE,1.5,22
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,Birch,1.5,0.837254901960784,#FCD0AF,TRUE,1.5,26
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,1.5,0.729411764705882,#DAB69A,TRUE,1.5,15
HOURGLASS,Veil Fluid Makeup,Nude,No. 1.5,0.798039215686275,#EEC5A9,TRUE,1.5,2
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Cool,1.50,0.796078431372549,#F0C3A6,TRUE,1.5,35
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,Birch,1.5,0.837254901960784,#F5D4B6,TRUE,1.5,36
TOM FORD,Traceless Soft Matte Foundation,Cream,1.5,0.784313725490196,#E3C9AD,TRUE,1.5,3
Armani Beauty,Neo Nude Foundation,NA,1.5,0.82156862745098,#F3CFB0,TRUE,1.5,4
Charlotte Tilbury,Light Wonder Foundation,NA,1.5,0.817647058823529,#EAD0B7,TRUE,1.5,43
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,Birch,1.5,0.790196078431373,#F4C99F,TRUE,1.5,45
TOM FORD,Traceless Foundation Stick,Cream,1.5,0.747058823529412,#EBAE92,TRUE,1.5,5
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Warm,1.60,0.784313725490196,#EEC5A2,TRUE,1.6,35
Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,NA,Shade 2,0.782352941176471,#F1CB9E,TRUE,2,19
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,Light Warm,Shade 2,0.835294117647059,#F7D3B3,TRUE,2,20
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,Light Neutral,Shade 2,0.819607843137255,#EDD2B5,TRUE,2,21
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,Light,002,0.927450980392157,#FEE7DB,TRUE,2,57
NUDESTIX,Tinted Cover Foundation,Nude,2,0.817647058823529,#E8C5B9,TRUE,2,22
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.0,0.66078431372549,#DEA973,TRUE,2,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2,0.815686274509804,#FCCCA4,TRUE,2,10
Catrice,True Skin Hydrating Foundation,Neutral Ivory,002,0.762745098039216,#EEBF97,TRUE,2,58
bareMinerals,Matte Foundation Broad Spectrum SPF 15,Fair Ivory,02,0.831372549019608,#FCCCAC,TRUE,2,23
Makeup Revolution,Fast Base Stick Foundation,NA,F2,0.750980392156863,#E0C79F,TRUE,2,24
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,Fair Ivory,02,0.831372549019608,#FCCCAC,TRUE,2,25
bareMinerals,BAREPRO Performance Wear Powder Foundation,Ivory,2,0.837254901960784,#FDCFAE,TRUE,2,14
Clinique,Almost Powder Makeup,Neutral Fair,02,0.950980392156863,#F4F3F1,NA,2,NA
Clinique,Beyond Perfecting Powder Foundation + Concealer,Alabaster,02,0.719607843137255,#E3B58C,NA,2,NA
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,Vanilla,02,0.747058823529412,#EEB38F,TRUE,2,26
Makeup Revolution,Conceal & Hydrate Foundation,NA,F2,0.807843137254902,#E9CAB3,TRUE,2,27
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F2,0.82156862745098,#F4D2AF,TRUE,2,1
Makeup Revolution,Conceal & Glow Foundation,NA,F2,0.825490196078431,#F1CDB4,TRUE,2,28
Pacifica,Alight Clean Foundation,Neutral Deep,02ND,0.331372549019608,#834626,FALSE,2,29
jane iredale,Beyond Matte Liquid Foundation,NA,M2,0.754901960784314,#F1B990,TRUE,2,30
Clinique,Beyond Perfecting Foundation + Concealer,Breeze,CN 02,0.917647058823529,#FEEAD6,NA,2,NA
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,2.0,0.756862745098039,#E5BD9D,TRUE,2,15
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,Ivory,2,0.837254901960784,#FDCFAE,TRUE,2,16
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,Breeze,CN 02,0.801960784313726,#F1C5A8,NA,2,NA
Physicians Formula,The Healthy Foundation SPF 20,NA,DpW2,0.290196078431373,#704324,TRUE,2,31
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,Fair Ivory,02,0.807843137254902,#FDCB9F,TRUE,2,32
LORAC,PRO Soft Focus Longwear Foundation,NA,02,0.707843137254902,#D6B093,TRUE,2,33
HOURGLASS,Veil Fluid Makeup,Light Beige,No. 2,0.723529411764706,#E2B08F,TRUE,2,2
Catrice,HD Liquid Coverage Foundation,Porcelain Beige,002,0.758823529411765,#E6C39D,TRUE,2,59
ILIA,Super Serum Skin Tint SPF 40 Foundation,Tulum,2,0.86078431372549,#F3D8C4,TRUE,2,34
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,Vanilla,02,0.774509803921569,#DCBBAF,TRUE,2,36
SEPHORA COLLECTION,Matte Perfection Powder Foundation,Porcelain Neutral,02,0.805882352941176,#E3C6B8,TRUE,2,60
bareMinerals,BAREPRO Longwear Powder Foundation ,Ivory,02,0.872549019607843,#FDD9C0,TRUE,2,17
PAT McGRATH LABS,Sublime Perfection Foundation,Light,2,0.884313725490196,#F6DCCD,TRUE,2,37
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,Ivory,02,0.880392156862745,#FDDDC4,TRUE,2,18
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,Fair Ivory,02,0.664705882352941,#D09B83,TRUE,2,38
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,Birch,2,0.794117647058823,#E4C3B1,TRUE,2,39
Laura Mercier,Smooth Finish Foundation Powder,NA,2,0.841176470588235,#F9D0B4,TRUE,2,40
Kosas,Tinted Face Oil Foundation,Tone,02,0.852941176470588,#F3D8C0,TRUE,2,41
TOM FORD,Traceless Soft Matte Foundation,Buff,2.0,0.782352941176471,#E3C7AC,TRUE,2,3
Armani Beauty,Neo Nude Foundation,NA,2,0.792156862745098,#ECC5A8,TRUE,2,4
Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,NA,2,0.696078431372549,#D1AE92,TRUE,2,42
Charlotte Tilbury,Light Wonder Foundation,Fair,2,0.788235294117647,#E0C5B2,TRUE,2,43
Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,NA,02C,0.676470588235294,#D0A289,TRUE,2,44
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,Vanilla,02,0.782352941176471,#EFC3A0,TRUE,2,45
TOM FORD,Traceless Foundation Stick,Buff,2.0,0.784313725490196,#F3C29D,TRUE,2,5
Charlotte Tilbury,Magic Foundation,NA,2,0.782352941176471,#DEC2B1,TRUE,2,6
SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Silk Sephora Quality Way-Nice Price,2,0.870588235294118,#F5D6C7,TRUE,2,46
Bobbi Brown,Skin Weightless Powder Foundation,Sand,2,0.768627450980392,#E7C3A1,TRUE,2,7
Armani Beauty,Luminous Silk Compact Powder Foundation,NA,2,0.8,#E7C8B1,TRUE,2,61
Armani Beauty,Designer Lift Smoothing Firming Full Coverage Foundation with SPF 20,NA,2,0.727450980392157,#E4B98F,TRUE,2,62
KEVYN AUCOIN,Foundation Balm,Light EF,02,0.827450980392157,#F6D2B0,TRUE,2,48
NUDESTIX,Nudies Tinted Blur Stick,Light,2,0.747058823529412,#E1B19C,TRUE,2,49
Koh Gen Do,Aqua Foundation,NA,2,0.807843137254902,#EBC7B1,TRUE,2,63
Smashbox,Primer + Foundation Customizable Set,Smashbox,2,0.733333333333333,#E7B48F,TRUE,2,12
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,NA,N02,0.811764705882353,#E8C1B6,TRUE,2,8
Armani Beauty,Crema Nuda Supreme Glow Reviving Tinted Moisturizer,Light Glow,2,0.633333333333333,#C88C7B,TRUE,2,51
KEVYN AUCOIN,The Etherealist Foundation,Light EF,02,0.719607843137255,#D2B49D,TRUE,2,52
surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,2,0.790196078431373,#F2C3A1,TRUE,2,53
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,02,0.801960784313726,#ECCEAD,TRUE,2,54
KEVYN AUCOIN,Stripped Nude Skin Tint,ST,02,0.82156862745098,#F2D3B1,TRUE,2,55
Armani Beauty,Maestro Fusion Makeup SPF 15 Liquid Foundation,NA,2,0.7,#D8B28D,TRUE,2,64
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.1,0.670588235294118,#DDA779,TRUE,2.1,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.1,0.801960784313726,#FCC69D,TRUE,2.1,10
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Cool,2.10,0.774509803921569,#E3C2A8,TRUE,2.1,35
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.1,0.762745098039216,#DBC0AA,TRUE,2.1,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.12,0.668627450980392,#DCA879,TRUE,2.12,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.12,0.790196078431373,#F8C79B,TRUE,2.12,10
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.12,0.668627450980392,#D9A27C,TRUE,2.12,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.15,0.647058823529412,#D59E75,TRUE,2.15,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.15,0.796078431372549,#F3C0A3,TRUE,2.15,10
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.15,0.674509803921569,#C89E90,TRUE,2.15,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.16,0.631372549019608,#D39D6F,TRUE,2.16,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.16,0.794117647058823,#FCC599,TRUE,2.16,10
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.16,0.686274509803922,#E0A27E,TRUE,2.16,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.18,0.62156862745098,#CB9C72,TRUE,2.18,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.18,0.780392156862745,#F6C298,TRUE,2.18,10
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.18,0.666666666666667,#D79B7D,TRUE,2.18,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.2,0.629411764705882,#D29E6F,TRUE,2.2,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.2,0.764705882352941,#F9C28D,TRUE,2.2,10
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Neutral/Olive,2.20,0.766666666666667,#ECC49B,TRUE,2.2,35
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.2,0.72156862745098,#D4B59C,TRUE,2.2,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.22,0.633333333333333,#D39F70,TRUE,2.22,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.22,0.750980392156863,#F4C28B,TRUE,2.22,10
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.22,0.664705882352941,#D7A07C,TRUE,2.22,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.25,0.605882352941176,#CC9669,TRUE,2.25,9
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.25,0.637254901960784,#C29483,TRUE,2.25,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.3,0.617647058823529,#D19C6A,TRUE,2.3,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.3,0.709803921568627,#EEB17C,TRUE,2.3,10
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Warm,2.30,0.766666666666667,#ECC49B,TRUE,2.3,35
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.3,0.698039215686274,#D0AD94,TRUE,2.3,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.35,0.613725490196078,#CF9D6A,TRUE,2.35,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.35,0.690196078431373,#ECAC74,TRUE,2.35,10
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.35,0.656862745098039,#D69F79,TRUE,2.35,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.4,0.623529411764706,#D29D6C,TRUE,2.4,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.4,0.690196078431373,#F0AB70,TRUE,2.4,10
