brand,product,url,description,imgSrc,imgAlt,name,specific,colorspace,hex,hue,sat,lightness
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,300C (light to medium skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551438sw?$50px$,300C (light to medium skin with a cool golden undertone),NA,300C,RGB,#D1AA79,33.4090909090909,0.488888888888889,0.647058823529412
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,305N (medium skin with a neutral olive undertone),https://images.ulta.com/is/image/Ulta/2551427sw?$50px$,305N (medium skin with a neutral olive undertone),NA,305N,RGB,#D4AB80,30.7142857142857,0.494117647058823,0.666666666666667
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,310C (medium skin with a cool olive undertone),https://images.ulta.com/is/image/Ulta/2551597sw?$50px$,310C (medium skin with a cool olive undertone),NA,310C,RGB,#CB9F6D,31.9148936170213,0.474747474747475,0.611764705882353
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,315N (medium skin with a neutral beige undertone),https://images.ulta.com/is/image/Ulta/2551435sw?$50px$,315N (medium skin with a neutral beige undertone),NA,315N,RGB,#B99371,28.3333333333333,0.339622641509434,0.584313725490196
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,320N (medium skin with a neutral pink undertone),https://images.ulta.com/is/image/Ulta/2551425sw?$50px$,320N (medium skin with a neutral pink undertone),NA,320N,RGB,#B88C6A,26.1538461538462,0.354545454545455,0.568627450980392
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,290C (light to medium skin with a warm golden undertone),https://images.ulta.com/is/image/Ulta/2551434sw?$50px$,290C (light to medium skin with a warm golden undertone),NA,290C,RGB,#D2AA72,35,0.516129032258065,0.635294117647059
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,330W (medium skin with a warm yellow undertone),https://images.ulta.com/is/image/Ulta/2551433sw?$50px$,330W (medium skin with a warm yellow undertone),NA,330W,RGB,#B4845F,26.1176470588235,0.361702127659574,0.53921568627451
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,332C (medium skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551453sw?$50px$,332C (medium skin with a cool golden undertone),NA,332C,RGB,#BA915E,33.2608695652174,0.4,0.549019607843137
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,335W (medium skin with a warm peach undertone),https://images.ulta.com/is/image/Ulta/2551431sw?$50px$,335W (medium skin with a warm peach undertone),NA,335W,RGB,#B2815C,25.8139534883721,0.358333333333333,0.529411764705882
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,340C (medium skin with a cool peach undertone),https://images.ulta.com/is/image/Ulta/2551426sw?$50px$,340C (medium skin with a cool peach undertone),NA,340C,RGB,#986F50,25.8333333333333,0.310344827586207,0.454901960784314
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,345C (medium skin with a cool golden peach undertone),https://images.ulta.com/is/image/Ulta/2551430sw?$50px$,345C (medium skin with a cool golden peach undertone),NA,345C,RGB,#AF7E57,26.5909090909091,0.354838709677419,0.513725490196078
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,350C (medium skin with a golden undertone),https://images.ulta.com/is/image/Ulta/2551436sw?$50px$,350C (medium skin with a golden undertone),NA,350C,RGB,#A17153,23.0769230769231,0.319672131147541,0.47843137254902
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,360C (medium skin with a deep golden undertone),https://images.ulta.com/is/image/Ulta/2551439sw?$50px$,360C (medium skin with a deep golden undertone),NA,360C,RGB,#A16E46,26.3736263736264,0.393939393939394,0.452941176470588
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,365C (medium to tan skin with a cool olive undertone),https://images.ulta.com/is/image/Ulta/2551440sw?$50px$,365C (medium to tan skin with a cool olive undertone),NA,365C,RGB,#9B6B43,27.2727272727273,0.396396396396396,0.435294117647059
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,370W (medium to tan skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551441sw?$50px$,370W (medium to tan skin with a warm undertone),NA,370W,RGB,#936038,26.3736263736264,0.448275862068966,0.398039215686274
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,400N (tan skin with a neutral peach undertone),https://images.ulta.com/is/image/Ulta/2551443sw?$50px$,400N (tan skin with a neutral peach undertone),NA,400N,RGB,#8E5A31,26.4516129032258,0.486910994764398,0.374509803921569
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,410C (tan skin with a golden undertone),https://images.ulta.com/is/image/Ulta/2551442sw?$50px$,410C (tan skin with a golden undertone),NA,410C,RGB,#86562B,28.3516483516484,0.514124293785311,0.347058823529412
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,420C (tan skin with a cool undertone),https://images.ulta.com/is/image/Ulta/2551447sw?$50px$,420C (tan skin with a cool undertone),NA,420C,RGB,#7F5430,27.3417721518987,0.451428571428571,0.343137254901961
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,430W (tan skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551451sw?$50px$,430W (tan skin with a warm undertone),NA,430W,RGB,#8B562E,25.8064516129032,0.502702702702703,0.362745098039216
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,440C (tan skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551450sw?$50px$,440C (tan skin with a cool golden undertone),NA,440C,RGB,#7A4F2B,27.3417721518987,0.478787878787879,0.323529411764706
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,450C (tan skin with a deep golden undertone),https://images.ulta.com/is/image/Ulta/2551452sw?$50px$,450C (tan skin with a deep golden undertone),NA,450C,RGB,#724C28,29.1891891891892,0.480519480519481,0.301960784313725
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,470C (tan skin with a cool deep golden undertone),https://images.ulta.com/is/image/Ulta/2551454sw?$50px$,470C (tan skin with a cool deep golden undertone),NA,470C,RGB,#6D4120,25.7142857142857,0.546099290780142,0.276470588235294
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,480C (tan skin with an olive undertone),https://images.ulta.com/is/image/Ulta/2551444sw?$50px$,480C (tan skin with an olive undertone),NA,480C,RGB,#683F21,25.3521126760563,0.518248175182482,0.268627450980392
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,490W (tan skin with a red undertone),https://images.ulta.com/is/image/Ulta/2551445sw?$50px$,490W (tan skin with a red undertone),NA,490W,RGB,#673C1F,24.1666666666667,0.537313432835821,0.262745098039216
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,500C (deep skin with a cool pink undertone),https://images.ulta.com/is/image/Ulta/2551446sw?$50px$,500C (deep skin with a cool pink undertone),NA,500C,RGB,#613920,23.0769230769231,0.503875968992248,0.252941176470588
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,510W (deep skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551448sw?$50px$,510W (deep skin with a warm undertone),NA,510W,RGB,#533020,18.8235294117647,0.443478260869565,0.225490196078431
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,520W (deep skin with a red olive undertone),https://images.ulta.com/is/image/Ulta/2551449sw?$50px$,520W (deep skin with a red olive undertone),NA,520W,RGB,#4F2E1E,19.5918367346939,0.44954128440367,0.213725490196078
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,530N (deep skin with a neutral pink undertone),https://images.ulta.com/is/image/Ulta/2551455sw?$50px$,530N (deep skin with a neutral pink undertone),NA,530N,RGB,#5E331F,19.047619047619,0.504,0.245098039215686
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,540W (deep skin with a warm red undertone),https://images.ulta.com/is/image/Ulta/2551457sw?$50px$,540W (deep skin with a warm red undertone),NA,540W,RGB,#552E21,15,0.440677966101695,0.231372549019608
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,550W (deep skin with a neutral undertone),https://images.ulta.com/is/image/Ulta/2551456sw?$50px$,550W (deep skin with a neutral undertone),NA,550W,RGB,#4E2F22,17.7272727272727,0.392857142857143,0.219607843137255
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,560W (deep skin with a warm beige undertone),https://images.ulta.com/is/image/Ulta/2551458sw?$50px$,560W (deep skin with a warm beige undertone),NA,560W,RGB,#4A2D23,15.3846153846154,0.357798165137615,0.213725490196078
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,570N (deep skin with a neutral red undertone),https://images.ulta.com/is/image/Ulta/2551460sw?$50px$,570N (deep skin with a neutral red undertone),NA,570N,RGB,#452A21,15,0.352941176470588,0.2
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,580W (very deep skin with a warm red undertone),https://images.ulta.com/is/image/Ulta/2551461sw?$50px$,580W (very deep skin with a warm red undertone),NA,580W,RGB,#422922,13.125,0.32,0.196078431372549
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,590C (very deep skin with a cool undertone),https://images.ulta.com/is/image/Ulta/2551459sw?$50px$,590C (very deep skin with a cool undertone),NA,590C,RGB,#3E2822,12.8571428571429,0.291666666666667,0.188235294117647
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Shell 1W1 (very fair beige w/ golden, warm undertones)  selected",https://images.ulta.com/is/image/Ulta/2528173sw?$tn$,"Shell 1W1 (very fair beige w/ golden, warm undertones)",Shell,1W1,RGB,#EFCBA4,31.2,0.700934579439252,0.790196078431373
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Linen 1N1 (very fair beige w/ neutral undertones) OUT OF STOCK,https://images.ulta.com/is/image/Ulta/2529033sw?$50px$,Linen 1N1 (very fair beige w/ neutral undertones),Linen,1N1,RGB,#F3CEB0,26.865671641791,0.736263736263736,0.82156862745098
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Alabaster 1C1 (very fair beige w/ rosy, cool undertones)",https://images.ulta.com/is/image/Ulta/2549910sw?$50px$,"Alabaster 1C1 (very fair beige w/ rosy, cool undertones)",Alabaster,1C1,RGB,#F2CBB4,22.258064516129,0.704545454545454,0.827450980392157
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Porcelain 1N2 (fair beige w/ peachy, neutral undertones) OUT OF STOCK",https://images.ulta.com/is/image/Ulta/2528170sw?$50px$,"Porcelain 1N2 (fair beige w/ peachy, neutral undertones)",Porcelain,1N2,RGB,#F6C8A7,25.0632911392405,0.814432989690722,0.809803921568627
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Ivory 1C2 (fair beige w/ rosy, cool undertones)",https://images.ulta.com/is/image/Ulta/2529037sw?$50px$,"Ivory 1C2 (fair beige w/ rosy, cool undertones)",Ivory,1C2,RGB,#F0C4AB,21.7391304347826,0.696969696969697,0.805882352941176
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Sand 1W2 (fair beige w/ golden, warm undertones)",https://images.ulta.com/is/image/Ulta/2528172sw?$50px$,"Sand 1W2 (fair beige w/ golden, warm undertones)",Sand,1W2,RGB,#F2C79D,29.6470588235294,0.765765765765766,0.782352941176471
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Cashmere 1N3 (fair to light beige w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2529036sw?$50px$,Cashmere 1N3 (fair to light beige w/ neutral undertones),Cashmere,1N3,RGB,#DFB38A,28.9411764705882,0.570469798657718,0.707843137254902
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Vanilla 2W1 (light beige w/ golden, warm undertones)",https://images.ulta.com/is/image/Ulta/2529034sw?$50px$,"Vanilla 2W1 (light beige w/ golden, warm undertones)",Vanilla,2W1,RGB,#EEC29C,27.8048780487805,0.706896551724138,0.772549019607843
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Bisque 2C1 (light beige w/ rosy, cool undertones)",https://images.ulta.com/is/image/Ulta/2549902sw?$50px$,"Bisque 2C1 (light beige w/ rosy, cool undertones)",Bisque,2C1,RGB,#EAB498,20.4878048780488,0.661290322580645,0.756862745098039
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Cashew 2N1 (light beige w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2549903sw?$50px$,Cashew 2N1 (light beige w/ neutral undertones),Cashew,2N1,RGB,#DDAD8C,24.4444444444444,0.543624161073826,0.707843137254902
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Teak 2C2 (light to medium beige w/ peachy, cool undertones)",https://images.ulta.com/is/image/Ulta/2549913sw?$50px$,"Teak 2C2 (light to medium beige w/ peachy, cool undertones)",Teak,2C2,RGB,#E5AE8F,21.6279069767442,0.623188405797101,0.729411764705882
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Desert 2N2 (light to medium beige w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2549907sw?$50px$,Desert 2N2 (light to medium beige w/ neutral undertones),Desert,2N2,RGB,#E0AE8C,24.2857142857143,0.575342465753425,0.713725490196078
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Buff 2W2 (light to medium beige w/ golden, warm undertones) OUT OF STOCK",https://images.ulta.com/is/image/Ulta/2528175sw?$50px$,"Buff 2W2 (light to medium beige w/ golden, warm undertones)",Buff,2W2,RGB,#E1B186,28.3516483516484,0.602649006622517,0.703921568627451
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Buttercup 3W1 (medium beige w/ golden, warm undertones)",https://images.ulta.com/is/image/Ulta/2529035sw?$50px$,"Buttercup 3W1 (medium beige w/ golden, warm undertones)",Buttercup,3W1,RGB,#E2AD7F,27.8787878787879,0.630573248407643,0.692156862745098
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Camel 3N1 (medium pinky beige w/ neutral undertones) OUT OF STOCK,https://images.ulta.com/is/image/Ulta/2549922sw?$50px$,Camel 3N1 (medium pinky beige w/ neutral undertones),Camel,3N1,RGB,#D59C79,22.8260869565217,0.522727272727273,0.654901960784314
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Noisette 3N2 (medium peachy beige w/ neutral undertones) OUT OF STOCK,https://images.ulta.com/is/image/Ulta/2528177sw?$50px$,Noisette 3N2 (medium peachy beige w/ neutral undertones),Noisette,3N2,RGB,#D49971,24.2424242424242,0.535135135135135,0.637254901960784
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Pebble 3C1 (medium beige w/ rosy, cool undertones)",https://images.ulta.com/is/image/Ulta/2549915sw?$50px$,"Pebble 3C1 (medium beige w/ rosy, cool undertones)",Pebble,3C1,RGB,#D8A284,21.4285714285714,0.518518518518518,0.682352941176471
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Driftwood 3W2 (medium olive w/ warm undertones),https://images.ulta.com/is/image/Ulta/2529029sw?$50px$,Driftwood 3W2 (medium olive w/ warm undertones),Driftwood,3W2,RGB,#DBA679,27.5510204081633,0.576470588235294,0.666666666666667
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Cassava 3C2 (medium tawny beige w/ rosy, cool undertones)",https://images.ulta.com/is/image/Ulta/2549916sw?$50px$,"Cassava 3C2 (medium tawny beige w/ rosy, cool undertones)",Cassava,3C2,RGB,#D29B7B,22.0689655172414,0.491525423728814,0.652941176470588
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Khaki 3N3 (medium to tan beige w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2549920sw?$50px$,Khaki 3N3 (medium to tan beige w/ neutral undertones),Khaki,3N3,RGB,#CE9770,24.8936170212766,0.489583333333333,0.623529411764706
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Olive 3W3 (medium to tan olive w/ warm undertones),https://images.ulta.com/is/image/Ulta/2528167sw?$50px$,Olive 3W3 (medium to tan olive w/ warm undertones),Olive,3W3,RGB,#CC9A70,27.3913043478261,0.474226804123711,0.619607843137255
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Hazel 4W1 (tan caramel w/ golden, warm undertones)",https://images.ulta.com/is/image/Ulta/2549909sw?$50px$,"Hazel 4W1 (tan caramel w/ golden, warm undertones)",Hazel,4W1,RGB,#C38353,25.7142857142857,0.482758620689655,0.545098039215686
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Fawn 4C1 (tan bronze w/ rosy, cool undertones)",https://images.ulta.com/is/image/Ulta/2528171sw?$50px$,"Fawn 4C1 (tan bronze w/ rosy, cool undertones)",Fawn,4C1,RGB,#AD6D4B,20.8163265306122,0.395161290322581,0.486274509803922
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Bamboo 4W2 (very tan w/ golden, warm undertones) OUT OF STOCK",https://images.ulta.com/is/image/Ulta/2528168sw?$50px$,"Bamboo 4W2 (very tan w/ golden, warm undertones)",Bamboo,4W2,RGB,#AA6D46,23.4,0.416666666666667,0.470588235294118
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Tan 4N1 (peachy tan w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2528166sw?$50px$,Tan 4N1 (peachy tan w/ neutral undertones),Tan,4N1,RGB,#AA7555,22.5882352941176,0.333333333333333,0.5
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Café 4N2 (very golden tan w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2528169sw?$50px$,Café 4N2 (very golden tan w/ neutral undertones),Café,4N2,RGB,#A56949,20.8695652173913,0.38655462184874,0.466666666666667
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Sepia 4C2 (very tan bronze w/ cool undertones),https://images.ulta.com/is/image/Ulta/2549919sw?$50px$,Sepia 4C2 (very tan bronze w/ cool undertones),Sepia,4C2,RGB,#A36446,19.3548387096774,0.399141630901288,0.456862745098039
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Amber 5W1 (dark peach w/ warm undertones),https://images.ulta.com/is/image/Ulta/2528176sw?$50px$,Amber 5W1 (dark peach w/ warm undertones),Amber,5W1,RGB,#A0633F,22.2680412371134,0.434977578475336,0.437254901960784
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Maple 5W2 (very dark auburn w/ warm undertones) OUT OF STOCK,https://images.ulta.com/is/image/Ulta/2528174sw?$50px$,Maple 5W2 (very dark auburn w/ warm undertones),Maple,5W2,RGB,#965837,20.8421052631579,0.463414634146341,0.401960784313726
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,Terracotta 5N1 (dark caramel w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2549911sw?$50px$,Terracotta 5N1 (dark caramel w/ neutral undertones),Terracotta,5N1,RGB,#865034,20.4878048780488,0.440860215053763,0.364705882352941
