e,Country,City,Line,Start year,End year,RR?,Length,TunnelPer,Tunnel,Stations,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Source2,Reference
7312,IN,Mumbai,Line 12,2020,2026,0,20.8,0.00%,0,17,Plan,"47,380",INR,2018,0.048,2274.24,109.3384615,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+12/20c81fcb-0b2c-40c2-9e06-a7b4e7d46bdb
7313,GR,Athens,Line 4,2019,2027,0,12.8,100.00%,12.8,15,Plan,"1,328",EUR,2023,1.3,1726.4,134.875,Plan,https://www.ametro.gr/?p=14801&lang=en
7314,GR,Athens,Line 3 to Piraeus,2012,2021,0,7.6,100.00%,7.6,6,Plan,742,EUR,2016,1.3,964.6,126.9210526,Plan,https://www.ametro.gr/wp-content/uploads/2018/08/AM_Xrimatooikonomikes_katastaseis_2017.pdf
7315,GR,Thessaloniki,Main line,2006,2020,0,9.5,100.00%,9.5,13,Plan,"1,112",EUR,2014,1.3,1445.6,152.1684211,Plan,https://omekgroup.com.gr/projects/thessaloniki-metro/
7320,GR,Thessaloniki,Kalamaria Extension,2013,2021,0,4.8,100.00%,4.8,5,Plan,567,EUR,2017,1.3,737.1,153.5625,Plan,https://www.ametro.gr/wp-content/uploads/2018/08/AM_Xrimatooikonomikes_katastaseis_2017.pdf
7321,KR,Busan,Line 1 extension,2009,2017,0,8,100.00%,8,6,Trade,"959,000",KRW,2013,0.00115,1102.85,137.85625,Trade,https://www.railwaygazette.com/asia/busan-metro-line-1-extends/44436.article
7322,KR,Seoul,Gimpo Urban Railway,2014,2019,0,23.7,100.00%,23.7,10,Trade,"1,655,300",KRW,2016,0.00116,1920.148,81.01890295,Media,http://www.kyeonggi.com/news/articleView.html?idxno=564944
7323,KR,Seoul,Line 7 extension,2014,2021,0,3.9,100.00%,3.9,2,Wiki,"432,100",KRW,2017,0.0011,475.31,121.874359,Media,https://www.hankyung.com/society/article/2013061797248
7328,KR,Seoul,2020s program,2020,2028,0,71,100.00%,71,53,Media,"7,230,200",KRW,2024,0.0011,7953.22,112.0171831,Media,http://news1.kr/articles/?3552208
7329,SG,Singapore,Circle Line Stage 6,2017,2025,0,4,100.00%,4,3,Media,"4,850",SGD,2021,1.13,5480.5,1370.125,Media,https://www.straitstimes.com/singapore/transport/last-stage-of-circle-line-to-cost-a-lot-more-than-first-5-stages
7330,FR,Paris,Line 12 to Aubervilliers,2012,2021,0,1.7,100.00%,1.7,2,Plan,175,EUR,2006,1.25,218.875,128.75,Plan,https://www.prolongement-metro12.fr/faq-metro-m12/
7331,FR,Paris,Line 1 extension,2020,2030,0,4.9,100.00%,4.9,3,Plan,910,EUR,2012,1.3,1183,241.4285714,Plan,http://www.val-de-fontenay.metro-ligne1.fr/download/fiches_thematiques/L1_Fiche_Co%C3%BBt-projet.pdf
7336,UK,London,Jubilee line extension,1993,1999,0,16,80.00%,12.8,11,Wiki,"3,500",GBP,1996,1.4,4900,306.25,Media,http://news.bbc.co.uk/2/hi/uk_news/529006.stm
7337,CL,Santiago,Line 7,2021,2026,0,24.8,100.00%,24.8,21,Plan,"2,900",USD,2022,1.7,4930,198.7903226,Trade,https://www.railwaygazette.com/projects-and-planning/santiago-tenders-line-7-construction/56621.article
7338,CL,Santiago,Project 63,2013,2019,0,37,100.00%,37,28,Plan,"3,000",USD,2016,1.7,5100,137.8378378,Plan,https://www.metro.cl/files/documentos/metro-investor-201709.pdf
7339,BR,Sao Paulo,Line 5 extension,2010,2019,0,12,100.00%,12,11,Wiki,"6,900",BRL,2014,0.55,3795,316.25,Trade,https://www.bnamericas.com/en/news/brazil-metro-cost-overruns-top-us9bn1
7344,BR,Salvador,Lines 1-2,2000,2017,0,33,4.00%,1.4,20,Wiki,"4,800",BRL,2012,0.62,2976,90.18181818,Media,http://patrocinados.estadao.com.br/ccr/salvadors-subway-becomes-a-model-of-success/
7345,PA,Panama City,Line 1,2010,2014,0,13.7,53.00%,7.3,12,Wiki,"2,009",USD,2012,1.74,3495.66,255.1576642,Media,http://elsiglo.com.pa/panama/justifican-costo-linea-1-metro/23828270
7346,PA,Panama City,Line 2,2015,2019,0,21,0.00%,0,16,Trade,"2,130",USD,2017,2.01,4281.3,203.8714286,Trade,https://www.railjournal.com/regions/central-south-america/panama-city-metro-line-2-inaugurated/
7347,PA,Panama City,Line 3,2020,2024,0,26.7,0.00%,0,14,Trade,"2,507",USD,2020,2.08,5214.56,195.3018727,Trade,https://www.railwaypro.com/wp/south-korean-consortium-to-build-panama-metro-line-3/
7352,PH,Manila,Line 9,2019,2025,0,28.3,100.00%,28.3,13,Media,"356,960",PHP,2022,0.055,19632.8,693.7385159,Media,https://rappler.com/business/construction-metro-manila-subway-begins-february-2019
7353,PH,Manila,Line 7,2015,2021,0,22.8,15.00%,3.4,14,Measured,"69,300",PHP,2018,0.055,3811.5,167.1710526,Trade,https://www.railwaygazette.com/news/single-view/view/manila-metro-line-7-breaks-ground.html
7354,PH,Manila,Line 5,2019,2025,0,11,100.00%,11,10,Media,"2,500",USD,2022,2.66,6650,604.5454545,Media,https://news.abs-cbn.com/business/multimedia/infographic/07/27/18/the-makati-subway
7355,PH,Manila,Line 4,2021,2025,0,15.6,0.00%,0,11,Wiki,"59,300",PHP,2023,0.055,3261.5,209.0705128,Media,https://newsinfo.inquirer.net/1211139/mrt-4-project-targeted-for-completion-in-2025
7360,AT,Vienna,Line 2 extension,2010,2013,0,4.2,0.00%,0,3,Media,320,EUR,2012,1.3,416,99.04761905,Media,https://wien.orf.at/news/stories/2607445/
7361,AT,Vienna,Line 1 extension,2012,2017,0,4.7,57.00%,2.7,5,Measured,600,EUR,2015,1.3,780,165.9574468,Plan,https://www.wien.gv.at/stadtentwicklung/projekte/verkehrsplanung/u-bahn/u1-oberlaa.html
7362,AT,Vienna,U2/U5 cross,2019,2029,0,9,100.00%,9,11,Plan,"2,200",EUR,2023,1.3,2860,317.7777778,Media,https://wien.orf.at/news/stories/2940360/
7363,IN,Kochi,Metro,2013,2017,0,13,0.00%,0,11,Plan,"51,810",INR,2015,0.052,2694.12,207.24,Plan,https://kochimetro.org/everything-you-need-to-know-about-the-kochi-metro/
7368,IN,Delhi,Phase 3,2012,2020,0,160.6,33.00%,53,109,Wiki,"410,790",INR,2016,0.05,20539.5,127.892279,Plan,http://www.delhimetrorail.com/funding.aspx
7369,IN,Delhi,Phase 4 first half,2019,2025,0,61.7,36.00%,22.3,46,Media,"249,487",INR,2022,0.047,11725.8655,190.0464425,Media,https://housing.com/news/delhi-metro-phase-iv-finally-approved-government/
7370,IN,Delhi,Phase 4 second half,2019,2025,0,42.3,35.00%,14.7,43,Media,"215,364",INR,2022,0.047,10122.0845,239.2927778,Media,https://economictimes.indiatimes.com/news/politics-and-nation/operational-loss-in-delhi-metro-phase-iv-project-to-be-borne-by-delhi-govt-sc/articleshow/71008680.cms
