category,subcategory,title,director,release_date,release_date_raw,air_date_raw,worldwide_box_office_currency,worldwide_box_office,rotten_tomatoes,metacritic,cinema_score,distributor,original_game_publisher,budget_currency,budget_low,budget_high,domestic_box_office,subject,network
Theatrical releases,English,Return to Silent Hill,Christophe Gans,2026-01-23,"January 23, 2026",NA,$,41586056,18,33,N/A,Cineverse,Konami,$,23000000,23000000,NA,NA,NA
Theatrical releases,English,Iron Lung,Markiplier,2026-01-30,"January 30, 2026",NA,$,50030256,61,53,B+,Markiplier Studios,David Szymanski,$,3000000,3000000,NA,NA,NA
Theatrical releases,English,Mortal Kombat II,Simon McQuoid,2026-05-08,"May 8, 2026",NA,NA,NA,65,47,B,Warner Bros. Pictures,Warner Bros. Games,$,80000000,80000000,NA,NA,NA
Theatrical releases,English,Resident Evil,Zach Cregger,2026-09-18,"September 18, 2026",NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Capcom,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Street Fighter,Kitao Sakurai,2026-10-16,"October 16, 2026",NA,NA,NA,NA,NA,NA,Paramount Pictures,Capcom,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Sonic the Hedgehog 4,Jeff Fowler,2027-03-19,"March 19, 2027",NA,NA,NA,NA,NA,NA,Paramount Pictures,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,The Legend of Zelda,Wes Ball,2027-04-30,"April 30, 2027",NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Nintendo,NA,NA,NA,NA,NA,NA
Theatrical releases,English,A Minecraft Sequel,Jared Hess,2027-07-23,"July 23, 2027",NA,NA,NA,NA,NA,NA,Warner Bros. Pictures,Mojang Studios,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Helldivers,Justin Lin,2027-11-10,"November 10, 2027",NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Elden Ring,Alex Garland,2028-03-03,"March 3, 2028",NA,NA,NA,NA,NA,NA,A24,Bandai Namco Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Call of Duty,Peter Berg,2028-06-30,"June 30, 2028",NA,NA,NA,NA,NA,NA,Paramount Pictures,Activision,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Sonic spin-off film,TBA,2028-12-22,"December 22, 2028",NA,NA,NA,NA,NA,NA,Paramount Pictures,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Undated,Undated,NA,Undated,NA,NA,NA,NA,NA,NA,Undated,Undated,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Watch Dogs,Mathieu Turi,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Ubisoft,NA,NA,NA,NA,NA,NA
Theatrical releases,English,In development,In development,NA,In development,NA,NA,NA,NA,NA,NA,In development,In development,NA,NA,NA,NA,NA,NA
Theatrical releases,English,99 Nights in the Forest,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,20th Century Studios,Roblox,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Battlefield,Christopher McQuarrie,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Electronic Arts,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Bendy and the Ink Machine,André Øvredal,NA,TBA,NA,NA,NA,NA,NA,NA,Radar Pictures,Joey Drew Studios,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Chained Together,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Anegar Games,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Clair Obscur: Expedition 33,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Story Kitchen,Kepler Interactive,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Comix Zone,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Picturestart,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Crossfire film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Smilegate,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Dark Deception,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,So It Goes Entertainment,Glowstick Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Days Gone,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Death Stranding,Michael Sarnoski,2027-01-01,2027,NA,NA,NA,NA,NA,NA,A24,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Dead by Daylight film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Behavior Interactive,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Detective Pikachu sequel,Jonathan Krisel,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Nintendo | The Pokémon Company,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Dredge,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Story Kitchen,Team 17,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Duke Nukem film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Legendary Pictures,Apogee Software/3D Realms,NA,NA,NA,NA,NA,NA
Theatrical releases,English,"El Paso, Elsewhere",TBA,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Strange Scaffold,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Eternal Champions,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Skydance Media,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,F.E.A.R.,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Vivendi Universal Games,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Finding Frankie,Steven C. Miller,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Perp Games,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Firewatch film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Panic Inc.,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Five Nights at Freddy's 3,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Universal Pictures,ScottGames,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Ghost of Tsushima,Chad Stahelski,NA,TBA,NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Gravity Rush,Anna Mastro,NA,TBA,NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Hello Neighbor: The Movie,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,BoulderLight Pictures,tinyBuild,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Home Safety Hotline,Michael Matthews,NA,TBA,NA,NA,NA,NA,NA,NA,Longevity Pictures,Night Signal Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Horizon Zero Dawn,TBA,2027-01-01,2027,NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,The House of the Dead,Paul W. S. Anderson,NA,TBA,NA,NA,NA,NA,NA,NA,Story Kitchen,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Jak and Daxter,Ruben Fleischer,NA,TBA,NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Just Cause,Ángel Manuel Soto,NA,TBA,NA,NA,NA,NA,NA,NA,Universal Pictures,Square Enix,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Just Dance film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Ubisoft,NA,NA,NA,NA,NA,NA
Theatrical releases,English,The Medium,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Bloober Team,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Metal Gear film,Zach Lipovsky and Adam Stein,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Konami,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Outlast,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Lionsgate,Red Barrels,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Out Run,Michael Bay,NA,TBA,NA,NA,NA,NA,NA,NA,Universal Pictures,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Pac-Man film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Wayfarer Studios,Bandai Namco Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Poppy Playtime,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Legendary Entertainment | Angry Films,Mob Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Portal film,J. J. Abrams,NA,TBA,NA,NA,NA,NA,NA,NA,Warner Bros. Pictures,Valve Corporation,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Rabbids film,Todd Strauss-Schulson,NA,TBA,NA,NA,NA,NA,NA,NA,Lionsgate,Ubisoft,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Riders Republic,Adil El Arbi | Bilall Fallah,NA,TBA,NA,NA,NA,NA,NA,NA,Gaumont,Ubisoft,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Ruiner,Wes Ball,NA,TBA,NA,NA,NA,NA,NA,NA,Universal Pictures,Reikon Games,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Saints Row film,F. Gary Gray,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Deep Silver,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Shinobi,Sam Hargrave,NA,TBA,NA,NA,NA,NA,NA,NA,Universal Pictures,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Sleeping Dogs,Timo Tjahjanto,NA,TBA,NA,NA,NA,NA,NA,NA,Story Kitchen,Square Enix,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Slime Rancher,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Story Kitchen,Monomi Park,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Space Channel 5,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Picturestart,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Space Invaders film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Warner Bros. Pictures,Taito,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Streets of Rage film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Lionsgate,Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Talking Tom film,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Outfit7,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Tom Clancy's Ghost Recon film,Michael Bay,NA,TBA,NA,NA,NA,NA,NA,NA,Warner Bros. Pictures,Ubisoft,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Untitled Uncharted sequel,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Columbia Pictures,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Vampire Survivors,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Story Kitchen,Poncle,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Final Fantasy: The Spirits Within,Hironobu Sakaguchi,2001-07-11,"July 11, 2001",NA,$,85131830,44,49,C+,Columbia Pictures,Square,$,137000000,137000000,NA,NA,NA
Theatrical releases,English,Resident Evil: Degeneration,Makoto Kamiya,2008-10-17,"October 17, 2008",NA,$,403117,67,NA,N/A,Sony Pictures Entertainment Japan,Capcom,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Resident Evil: Damnation,Makoto Kamiya,2012-10-27,"October 27, 2012",NA,$,2325035,100,NA,N/A,Sony Pictures Entertainment Japan,Capcom,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Moshi Monsters: The Movie,Wip Vernooij,2013-12-20,"December 20, 2013",NA,$,2883694,60,NA,N/A,Universal Pictures,Mind Candy,£,2300000,2300000,NA,NA,NA
Theatrical releases,English,Heavenly Sword,Gun Ho Jung,2014-09-02,"September 2, 2014",NA,NA,NA,NA,NA,N/A,Sony Pictures Entertainment,Sony Computer Entertainment,$,1800000,1800000,NA,NA,NA
Theatrical releases,English,Ratchet & Clank,Kevin Munroe,2016-04-29,"April 29, 2016",NA,$,13385737,21,29,B,Gramercy Pictures | Focus Features | Universal Pictures,Sony Interactive Entertainment,$,20000000,20000000,NA,NA,NA
Theatrical releases,English,The Angry Birds Movie,Clay Kaytis | Fergal Reilly,2016-05-20,"May 20, 2016",NA,$,352333929,43,43,B+,Sony Pictures Releasing,Rovio Entertainment,$,73000000,73000000,NA,NA,NA
Theatrical releases,English,Resident Evil: Vendetta,Takanori Tsujimoto,2017-05-27,"May 27, 2017",NA,$,256320,43,NA,N/A,Kadokawa Daiei Studio,Capcom,NA,NA,NA,NA,NA,NA
Theatrical releases,English,The Angry Birds Movie 2,Thurop Van Orman,2019-08-14,"August 14, 2019",NA,$,147792047,72,60,B+,Sony Pictures Releasing,Rovio Entertainment,$,65000000,65000000,NA,NA,NA
Theatrical releases,English,The Super Mario Bros. Movie,Aaron Horvath | Michael Jelenic,2023-04-05,"April 5, 2023",NA,$,1360783214,59,46,A,Universal Pictures,Nintendo,$,100000000,100000000,NA,NA,NA
Theatrical releases,English,Scarygirl,Ricard Cussó,2023-06-17,"June 17, 2023",NA,$,1194805,NA,NA,N/A,Madman Entertainment,Square Enix,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Resident Evil: Death Island,Eiichirō Hasumi,2023-07-07,"July 7, 2023",NA,$,61511,67,NA,N/A,Sony Pictures Releasing,Capcom,NA,NA,NA,NA,NA,NA
Theatrical releases,English,The Super Mario Galaxy Movie,Aaron Horvath | Michael Jelenic,2026-04-01,"April 1, 2026",NA,$,831694730,43,36,A-,Universal Pictures,Nintendo,$,110000000,110000000,NA,NA,NA
Theatrical releases,English,The Angry Birds Movie 3,John Rice,2026-12-23,"December 23, 2026",NA,NA,NA,NA,NA,NA,Paramount Pictures,Rovio Entertainment | Sega,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Undated,Undated,NA,Undated,NA,NA,NA,NA,NA,NA,Undated,Undated,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Bloodborne,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Sony Pictures Releasing,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Death Stranding: Mosquito (working title),Hiroshi Miyamoto,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Sony Interactive Entertainment,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Grow a Garden,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Story Kitchen,Roblox,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Steal a Brainrot,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Story Kitchen,Roblox,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Stray,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,Annapurna Pictures,Annapurna Interactive,NA,NA,NA,NA,NA,NA
Theatrical releases,English,To the Moon,TBA,NA,TBA,NA,NA,NA,NA,NA,NA,TBA,Freebird Games,NA,NA,NA,NA,NA,NA
Theatrical releases,Japanese,Mirai Ninja,Keita Amemiya,1988-12-02,"December 2, 1988",NA,NA,NA,NA,NA,NA,NA,Namco,NA,NA,NA,N/A,NA,NA
Theatrical releases,Japanese,Tokimeki Memorial,Hiroshi Sugawara,1997-08-09,"August 9, 1997",NA,NA,NA,NA,NA,NA,NA,Konami,NA,NA,NA,N/A,NA,NA
Theatrical releases,Japanese,Forbidden Siren,Yukihiko Tsutsumi,2006-02-11,"February 11, 2006",NA,NA,NA,NA,NA,NA,NA,Sony Computer Entertainment,NA,NA,NA,"¥790,000,000",NA,NA
Theatrical releases,Japanese,Like a Dragon,Takashi Miike,2007-03-03,"March 3, 2007",NA,NA,NA,NA,NA,NA,NA,Sega,NA,NA,NA,"¥32,846,976",NA,NA
Theatrical releases,Japanese,OneChanbara,Yōhei Fukuda,2008-04-26,"April 26, 2008",NA,NA,NA,NA,NA,NA,NA,D3 Publisher,NA,NA,NA,N/A,NA,NA
Theatrical releases,Japanese,Higurashi no Naku Koro ni,Ataru Oikawa,2008-05-10,"May 10, 2008",NA,NA,NA,NA,NA,NA,NA,07th Expansion,NA,NA,NA,"¥200,000,000",NA,NA
Theatrical releases,Japanese,Higurashi no Naku Koro ni Chikai,Ataru Oikawa,2009-04-18,"April 18, 2009",NA,NA,NA,NA,NA,NA,NA,07th Expansion,NA,NA,NA,N/A,NA,NA
Theatrical releases,Japanese,Ace Attorney,Takashi Miike,2012-02-11,"February 11, 2012",NA,NA,NA,NA,NA,NA,NA,Capcom,NA,NA,NA,"¥540,000,000",NA,NA
Theatrical releases,Japanese,Ao Oni,Daisuke Nibayashi,2014-07-05,"July 5, 2014",NA,NA,NA,NA,NA,NA,NA,noprops,NA,NA,NA,"¥200,000,000",NA,NA
Theatrical releases,Japanese,Gekijōban Zero (Fatal Frame/Project Zero),Mari Asato,2014-09-26,"September 26, 2014",NA,NA,NA,NA,NA,NA,NA,Koei Tecmo,NA,NA,NA,"¥120,000,000",NA,NA
Theatrical releases,Japanese,Ao Oni ver2.0,Hideaki Maekawa,2015-07-04,"July 4, 2015",NA,NA,NA,NA,NA,NA,NA,noprops,NA,NA,NA,N/A,NA,NA
Theatrical releases,Japanese,Corpse Party,Yamada Masafumi,2015-08-01,"August 1, 2015",NA,NA,NA,NA,NA,NA,NA,Kenix Soft,NA,NA,NA,N/A,NA,NA
