position,player,total,year,records,nation
15,Jonathan,42,1999,7,Canada
15,Jonathan,42,2000,NA,Canada
15,Jonathan,42,2001,NA,Canada
15,Jonathan,42,2002,NA,Canada
15,Jonathan,42,2003,NA,Canada
15,Jonathan,42,2004,NA,Canada
15,Jonathan,42,2005,NA,Canada
15,Jonathan,42,2006,NA,Canada
15,Jonathan,42,2007,NA,Canada
15,Jonathan,42,2008,NA,Canada
15,Jonathan,42,2009,NA,Canada
15,Jonathan,42,2010,NA,Canada
15,Jonathan,42,2011,NA,Canada
15,Jonathan,42,2012,NA,Canada
15,Jonathan,42,2013,NA,Canada
15,Jonathan,42,2014,NA,Canada
15,Jonathan,42,2015,NA,Canada
15,Jonathan,42,2016,NA,Canada
15,Jonathan,42,2017,NA,Canada
15,Jonathan,42,2018,NA,Canada
15,Jonathan,42,2019,NA,Canada
15,Jonathan,42,2020,NA,Canada
15,Jonathan,42,2021,NA,Canada
16,Sami,39,1997,NA,UK
16,Sami,39,1998,NA,UK
16,Sami,39,1999,4,UK
16,Sami,39,2000,4,UK
16,Sami,39,2001,NA,UK
16,Sami,39,2002,16,UK
16,Sami,39,2003,15,UK
16,Sami,39,2004,NA,UK
16,Sami,39,2005,NA,UK
16,Sami,39,2006,NA,UK
16,Sami,39,2007,NA,UK
16,Sami,39,2008,NA,UK
16,Sami,39,2009,NA,UK
16,Sami,39,2010,NA,UK
16,Sami,39,2011,NA,UK
16,Sami,39,2012,NA,UK
16,Sami,39,2013,NA,UK
16,Sami,39,2014,NA,UK
16,Sami,39,2015,NA,UK
16,Sami,39,2016,NA,UK
16,Sami,39,2017,NA,UK
16,Sami,39,2018,NA,UK
16,Sami,39,2019,NA,UK
16,Sami,39,2020,NA,UK
16,Sami,39,2021,NA,UK
17,Wonn,35,1997,28,USA
17,Wonn,35,1998,4,USA
17,Wonn,35,1999,NA,USA
17,Wonn,35,2000,NA,USA
17,Wonn,35,2001,2,USA
17,Wonn,35,2002,NA,USA
17,Wonn,35,2003,1,USA
17,Wonn,35,2004,NA,USA
17,Wonn,35,2005,NA,USA
17,Wonn,35,2006,NA,USA
17,Wonn,35,2007,NA,USA
17,Wonn,35,2008,NA,USA
17,Wonn,35,2009,NA,USA
17,Wonn,35,2010,NA,USA
17,Wonn,35,2011,NA,USA
17,Wonn,35,2012,NA,USA
17,Wonn,35,2013,NA,USA
17,Wonn,35,2014,NA,USA
17,Wonn,35,2015,NA,USA
17,Wonn,35,2016,NA,USA
17,Wonn,35,2017,NA,USA
17,Wonn,35,2018,NA,USA
17,Wonn,35,2019,NA,USA
17,Wonn,35,2020,NA,USA
17,Wonn,35,2021,NA,USA
17,Greg I,35,1997,NA,UK
17,Greg I,35,1998,NA,UK
17,Greg I,35,1999,5,UK
17,Greg I,35,2000,2,UK
17,Greg I,35,2001,NA,UK
17,Greg I,35,2002,NA,UK
17,Greg I,35,2003,NA,UK
17,Greg I,35,2004,1,UK
17,Greg I,35,2005,6,UK
17,Greg I,35,2006,2,UK
17,Greg I,35,2007,1,UK
17,Greg I,35,2008,4,UK
17,Greg I,35,2009,NA,UK
17,Greg I,35,2010,NA,UK
17,Greg I,35,2011,3,UK
17,Greg I,35,2012,3,UK
17,Greg I,35,2013,4,UK
17,Greg I,35,2014,3,UK
17,Greg I,35,2015,1,UK
17,Greg I,35,2016,NA,UK
17,Greg I,35,2017,NA,UK
17,Greg I,35,2018,NA,UK
17,Greg I,35,2019,NA,UK
17,Greg I,35,2020,NA,UK
17,Greg I,35,2021,NA,UK
19,Zoran,33,1997,NA,Croatia
19,Zoran,33,1998,NA,Croatia
19,Zoran,33,1999,NA,Croatia
19,Zoran,33,2000,NA,Croatia
19,Zoran,33,2001,NA,Croatia
19,Zoran,33,2002,NA,Croatia
19,Zoran,33,2003,NA,Croatia
19,Zoran,33,2004,NA,Croatia
19,Zoran,33,2005,NA,Croatia
19,Zoran,33,2006,NA,Croatia
19,Zoran,33,2007,NA,Croatia
19,Zoran,33,2008,NA,Croatia
19,Zoran,33,2009,1,Croatia
19,Zoran,33,2010,2,Croatia
19,Zoran,33,2011,1,Croatia
19,Zoran,33,2012,6,Croatia
19,Zoran,33,2013,4,Croatia
19,Zoran,33,2014,8,Croatia
19,Zoran,33,2015,NA,Croatia
19,Zoran,33,2016,NA,Croatia
19,Zoran,33,2017,2,Croatia
19,Zoran,33,2018,4,Croatia
19,Zoran,33,2019,NA,Croatia
19,Zoran,33,2020,5,Croatia
19,Zoran,33,2021,NA,Croatia
20,Troy,31,1997,NA,USA
20,Troy,31,1998,NA,USA
20,Troy,31,1999,NA,USA
20,Troy,31,2000,NA,USA
20,Troy,31,2001,NA,USA
20,Troy,31,2002,NA,USA
20,Troy,31,2003,10,USA
20,Troy,31,2004,12,USA
20,Troy,31,2005,8,USA
20,Troy,31,2006,1,USA
20,Troy,31,2007,NA,USA
20,Troy,31,2008,NA,USA
20,Troy,31,2009,NA,USA
20,Troy,31,2010,NA,USA
20,Troy,31,2011,NA,USA
20,Troy,31,2012,NA,USA
20,Troy,31,2013,NA,USA
20,Troy,31,2014,NA,USA
20,Troy,31,2015,NA,USA
20,Troy,31,2016,NA,USA
20,Troy,31,2017,NA,USA
20,Troy,31,2018,NA,USA
20,Troy,31,2019,NA,USA
20,Troy,31,2020,NA,USA
20,Troy,31,2021,NA,USA
21,Ben M,28,1997,NA,Australia
21,Ben M,28,1998,NA,Australia
21,Ben M,28,1999,1,Australia
21,Ben M,28,2000,4,Australia
21,Ben M,28,2001,5,Australia
21,Ben M,28,2002,11,Australia
21,Ben M,28,2003,6,Australia
21,Ben M,28,2004,NA,Australia
21,Ben M,28,2005,1,Australia
21,Ben M,28,2006,NA,Australia
21,Ben M,28,2007,NA,Australia
21,Ben M,28,2008,NA,Australia
21,Ben M,28,2009,NA,Australia
21,Ben M,28,2010,NA,Australia
21,Ben M,28,2011,NA,Australia
21,Ben M,28,2012,NA,Australia
21,Ben M,28,2013,NA,Australia
21,Ben M,28,2014,NA,Australia
21,Ben M,28,2015,NA,Australia
21,Ben M,28,2016,NA,Australia
21,Ben M,28,2017,NA,Australia
21,Ben M,28,2018,NA,Australia
21,Ben M,28,2019,NA,Australia
21,Ben M,28,2020,NA,Australia
21,Ben M,28,2021,NA,Australia
22,Gregg G,27,1997,27,USA
22,Gregg G,27,1998,NA,USA
22,Gregg G,27,1999,NA,USA
22,Gregg G,27,2000,NA,USA
22,Gregg G,27,2001,NA,USA
22,Gregg G,27,2002,NA,USA
22,Gregg G,27,2003,NA,USA
22,Gregg G,27,2004,NA,USA
22,Gregg G,27,2005,NA,USA
22,Gregg G,27,2006,NA,USA
22,Gregg G,27,2007,NA,USA
22,Gregg G,27,2008,NA,USA
22,Gregg G,27,2009,NA,USA
22,Gregg G,27,2010,NA,USA
22,Gregg G,27,2011,NA,USA
22,Gregg G,27,2012,NA,USA
22,Gregg G,27,2013,NA,USA
22,Gregg G,27,2014,NA,USA
22,Gregg G,27,2015,NA,USA
22,Gregg G,27,2016,NA,USA
22,Gregg G,27,2017,NA,USA
22,Gregg G,27,2018,NA,USA
22,Gregg G,27,2019,NA,USA
22,Gregg G,27,2020,NA,USA
22,Gregg G,27,2021,NA,USA
23,Weatherton,24,1997,NA,USA
23,Weatherton,24,1998,NA,USA
23,Weatherton,24,1999,NA,USA
23,Weatherton,24,2000,NA,USA
23,Weatherton,24,2001,NA,USA
23,Weatherton,24,2002,NA,USA
23,Weatherton,24,2003,NA,USA
23,Weatherton,24,2004,NA,USA
23,Weatherton,24,2005,NA,USA
23,Weatherton,24,2006,NA,USA
23,Weatherton,24,2007,NA,USA
23,Weatherton,24,2008,NA,USA
23,Weatherton,24,2009,NA,USA
23,Weatherton,24,2010,NA,USA
23,Weatherton,24,2011,NA,USA
23,Weatherton,24,2012,NA,USA
23,Weatherton,24,2013,NA,USA
23,Weatherton,24,2014,NA,USA
23,Weatherton,24,2015,NA,USA
23,Weatherton,24,2016,NA,USA
23,Weatherton,24,2017,NA,USA
23,Weatherton,24,2018,NA,USA
23,Weatherton,24,2019,NA,USA
23,Weatherton,24,2020,10,USA
23,Weatherton,24,2021,14,USA
23,JWhalls,24,1997,7,USA
23,JWhalls,24,1998,5,USA
23,JWhalls,24,1999,11,USA
23,JWhalls,24,2000,1,USA
23,JWhalls,24,2001,NA,USA
23,JWhalls,24,2002,NA,USA
23,JWhalls,24,2003,NA,USA
23,JWhalls,24,2004,NA,USA
23,JWhalls,24,2005,NA,USA
23,JWhalls,24,2006,NA,USA
23,JWhalls,24,2007,NA,USA
23,JWhalls,24,2008,NA,USA
23,JWhalls,24,2009,NA,USA
23,JWhalls,24,2010,NA,USA
23,JWhalls,24,2011,NA,USA
23,JWhalls,24,2012,NA,USA
23,JWhalls,24,2013,NA,USA
23,JWhalls,24,2014,NA,USA
23,JWhalls,24,2015,NA,USA
23,JWhalls,24,2016,NA,USA
23,JWhalls,24,2017,NA,USA
23,JWhalls,24,2018,NA,USA
23,JWhalls,24,2019,NA,USA
23,JWhalls,24,2020,NA,USA
23,JWhalls,24,2021,NA,USA
25,TJL,19,1997,NA,Norway
25,TJL,19,1998,NA,Norway
25,TJL,19,1999,NA,Norway
25,TJL,19,2000,NA,Norway
25,TJL,19,2001,NA,Norway
25,TJL,19,2002,NA,Norway
25,TJL,19,2003,NA,Norway
25,TJL,19,2004,NA,Norway
25,TJL,19,2005,NA,Norway
25,TJL,19,2006,NA,Norway
25,TJL,19,2007,NA,Norway
25,TJL,19,2008,NA,Norway
25,TJL,19,2009,NA,Norway
25,TJL,19,2010,8,Norway
25,TJL,19,2011,7,Norway
25,TJL,19,2012,2,Norway
25,TJL,19,2013,1,Norway
25,TJL,19,2014,NA,Norway
25,TJL,19,2015,1,Norway
25,TJL,19,2016,NA,Norway
25,TJL,19,2017,NA,Norway
25,TJL,19,2018,NA,Norway
25,TJL,19,2019,NA,Norway
25,TJL,19,2020,NA,Norway
25,TJL,19,2021,NA,Norway
26,Steven G,18,1997,NA,USA
26,Steven G,18,1998,NA,USA
26,Steven G,18,1999,NA,USA
26,Steven G,18,2000,NA,USA
26,Steven G,18,2001,NA,USA
26,Steven G,18,2002,NA,USA
26,Steven G,18,2003,4,USA
26,Steven G,18,2004,12,USA
26,Steven G,18,2005,2,USA
26,Steven G,18,2006,NA,USA
26,Steven G,18,2007,NA,USA
26,Steven G,18,2008,NA,USA
26,Steven G,18,2009,NA,USA
26,Steven G,18,2010,NA,USA
26,Steven G,18,2011,NA,USA
26,Steven G,18,2012,NA,USA
26,Steven G,18,2013,NA,USA
26,Steven G,18,2014,NA,USA
26,Steven G,18,2015,NA,USA
26,Steven G,18,2016,NA,USA
26,Steven G,18,2017,NA,USA
26,Steven G,18,2018,NA,USA
26,Steven G,18,2019,NA,USA
26,Steven G,18,2020,NA,USA
26,Steven G,18,2021,NA,USA
27,Luke B,17,1997,NA,USA
27,Luke B,17,1998,NA,USA
27,Luke B,17,1999,NA,USA
27,Luke B,17,2000,NA,USA
27,Luke B,17,2001,NA,USA
27,Luke B,17,2002,NA,USA
27,Luke B,17,2003,2,USA
27,Luke B,17,2004,12,USA
27,Luke B,17,2005,NA,USA
27,Luke B,17,2006,1,USA
27,Luke B,17,2007,1,USA
27,Luke B,17,2008,1,USA
27,Luke B,17,2009,NA,USA
27,Luke B,17,2010,NA,USA
27,Luke B,17,2011,NA,USA
27,Luke B,17,2012,NA,USA
27,Luke B,17,2013,NA,USA
27,Luke B,17,2014,NA,USA
27,Luke B,17,2015,NA,USA
27,Luke B,17,2016,NA,USA
27,Luke B,17,2017,NA,USA
27,Luke B,17,2018,NA,USA
27,Luke B,17,2019,NA,USA
27,Luke B,17,2020,NA,USA
27,Luke B,17,2021,NA,USA
28,Pobre,13,1997,NA,USA
28,Pobre,13,1998,NA,USA
28,Pobre,13,1999,NA,USA
28,Pobre,13,2000,NA,USA
28,Pobre,13,2001,NA,USA
28,Pobre,13,2002,NA,USA
28,Pobre,13,2003,NA,USA
28,Pobre,13,2004,6,USA
28,Pobre,13,2005,7,USA
28,Pobre,13,2006,NA,USA
28,Pobre,13,2007,NA,USA
28,Pobre,13,2008,NA,USA
28,Pobre,13,2009,NA,USA
28,Pobre,13,2010,NA,USA
28,Pobre,13,2011,NA,USA
28,Pobre,13,2012,NA,USA
28,Pobre,13,2013,NA,USA
28,Pobre,13,2014,NA,USA
28,Pobre,13,2015,NA,USA
28,Pobre,13,2016,NA,USA
28,Pobre,13,2017,NA,USA
28,Pobre,13,2018,NA,USA
28,Pobre,13,2019,NA,USA
28,Pobre,13,2020,NA,USA
28,Pobre,13,2021,NA,USA
29,Smurfy,11,1997,NA,Canada
29,Smurfy,11,1998,NA,Canada
29,Smurfy,11,1999,NA,Canada
29,Smurfy,11,2000,NA,Canada
29,Smurfy,11,2001,NA,Canada
29,Smurfy,11,2002,NA,Canada
29,Smurfy,11,2003,NA,Canada
29,Smurfy,11,2004,NA,Canada
29,Smurfy,11,2005,NA,Canada
29,Smurfy,11,2006,NA,Canada
29,Smurfy,11,2007,NA,Canada
29,Smurfy,11,2008,NA,Canada
29,Smurfy,11,2009,NA,Canada
29,Smurfy,11,2010,NA,Canada
29,Smurfy,11,2011,NA,Canada
29,Smurfy,11,2012,NA,Canada
29,Smurfy,11,2013,NA,Canada
29,Smurfy,11,2014,NA,Canada
29,Smurfy,11,2015,NA,Canada
29,Smurfy,11,2016,NA,Canada
29,Smurfy,11,2017,NA,Canada
29,Smurfy,11,2018,NA,Canada
29,Smurfy,11,2019,NA,Canada
29,Smurfy,11,2020,11,Canada
29,Smurfy,11,2021,NA,Canada
30,iMathII,9,1997,NA,Canada
30,iMathII,9,1998,NA,Canada
30,iMathII,9,1999,NA,Canada
30,iMathII,9,2000,NA,Canada
30,iMathII,9,2001,NA,Canada
30,iMathII,9,2002,NA,Canada
30,iMathII,9,2003,NA,Canada
30,iMathII,9,2004,NA,Canada
30,iMathII,9,2005,NA,Canada
30,iMathII,9,2006,NA,Canada
30,iMathII,9,2007,NA,Canada
30,iMathII,9,2008,NA,Canada
30,iMathII,9,2009,NA,Canada
30,iMathII,9,2010,NA,Canada
30,iMathII,9,2011,NA,Canada
30,iMathII,9,2012,NA,Canada
30,iMathII,9,2013,NA,Canada
30,iMathII,9,2014,NA,Canada
30,iMathII,9,2015,NA,Canada
30,iMathII,9,2016,NA,Canada
30,iMathII,9,2017,NA,Canada
30,iMathII,9,2018,NA,Canada
30,iMathII,9,2019,NA,Canada
30,iMathII,9,2020,6,Canada
30,iMathII,9,2021,3,Canada
30,Jamie,9,1997,NA,USA
30,Jamie,9,1998,NA,USA
30,Jamie,9,1999,NA,USA
30,Jamie,9,2000,NA,USA
30,Jamie,9,2001,NA,USA
30,Jamie,9,2002,NA,USA
30,Jamie,9,2003,NA,USA
30,Jamie,9,2004,NA,USA
30,Jamie,9,2005,5,USA
30,Jamie,9,2006,NA,USA
