year,group,title,funded,proposed_by,summary,website
2021,2,"Preparing CRAN for the Retirement of rgdal, rgeos and maptools",17000,Edzer Pebesma,"The retirement of rgdal, rgeos, and maptools presents a significant impact on the CRAN community, these packages are scheduled for retirement by the end of 2023. In response, a proposal for an ISC Funded project has been put forward to tackle this challenge. Preparing CRAN for the Retirement of rgdal, rgeos and maptools focuses on finding suitable alternatives for the functionalities offered by the retiring packages and providing guidance to package maintainers on necessary adjustments and migration steps. By doing so, it aims to minimize disruption to CRAN packages and existing R scripts, ensuring the overall stability and robustness of the CRAN ecosystem. The retirement process will simplify the maintenance of the ""R Spatial stack"" and contribute to the long-term health of the CRAN ecosystem.",NA
2021,2,R Package for the ICESat-2 Altimeter Data,4840,Lampros Mouselimis,"R Package for the ICESat-2 Altimeter Data aims to create an R package specifically designed for accessing ICESat-2 satellite data through the OpenAltimetry API. Addressing the lack of existing R packages for downloading geospatial data in specific formats, the package will enable R users to download ICESat-2 data, list available data based on a bounding box or named location, create simple feature objects using the sf package, and visualize the output data using popular geospatial R packages such as leaflet or mapview. The proposed ISC-funded project will enhance the capabilities of R users working with geospatial datasets, facilitating data exploration, analysis, and visualization within the R environment for improved geospatial research and applications.",NA
2021,2,The Future of DBI,17000,Kirill Müller,"The Future of DBI focuses on the advancements achieved with support from the ISC, including bringing the existing DBI backend, RSQLite, up to specification and implementing two new compliant backends, RMariaDB and RPostgres. This project mostly focuses on the maintenance and support for {DBI}, the {DBItest} test suite, and the three backends to open-source databases ({RSQLite}, {RMariaDB} and {RPostgres}). Ensuring compatibility with evolving elements such as OS, databases, R, and other packages is vital for long-term success. The proposal also includes modules for redesigning the database interface, efficient storage, and arithmetic for big integers, decimals with fixed width and precision, investigating Apache Arrow as an interface, and relational data models with R, with the option to adjust the scope as needed.",NA
2021,2,Data Science and Machine Learning Training Workshop Using R Programming Language,5200,Timothy A. Ogunleye,"We want to conduct training workshops on data science and machine learning with R. Out of nearly 60 countries that form the continent, we carefully selected four countries – one from each of the North, South, West, and East Africa. Nigeria is considered for the West Africa, Kenya is chosen from the East Africa, Sudan from the North Africa, while Zimbabwe is selected from the South African countries. We have 2 volunteers each, who are experts in the field of data science and machine learning with R, from the selected countries. We have also recruited 2 tutors for each country, making a total of 8. These tutors would serve as training assistants to the coordinators. Training materials are to be prepared by the coordinators. Therefore, the coordinators are expected to teach the contents of the training materials.",NA
2021,1,Accounting/Auditing Gap-Analysis,7000,Felix Schildorfer,"There are more and more accountants and auditors who want to start using R and dig into data science. They usually have particular tasks on hand that they want to complete, facilitate, or automate. While they often have some basic stats skills and may be some coding basics, understanding the R landscape and relating tasks and processes to locate and use relevant R packages and tutorials is an extreme challenge. While other areas like finance or pharmaceuticals already have extensive infrastructure to support R newcomers (Working Groups, Courses, Task Views, etc.) accounting and auditing do not. This becomes an obstacle for such professionals - which find the “coding” part difficult on their own but doing so without any support or knowing the appropriate package becomes a nightmare.
This is why R Business put together this project with the aim to gauge the landscape of what functionalities are available for Auditors in the R ecosystem and how the existing functionalities can be mapped to routine accounting/auditing tasks. We will complete a systematic survey of the CRAN-ecosystem for accounting/auditing tasks to establish a mapping and identify gaps. The project will contribute to the development of the R Business ISC working group by attracting interested accounting/auditing professionals, industry bodies and R community members. This will then in turn lead to increased use of R/RStudio, development new application domains for data science, and enhancement of the quality of accounting/auditing services.",NA
2021,1,Extendr - Rust extensions for R.,15000,Andy Thomason,Rust extension framework for R.,NA
2021,1,Google Earth Engine with R,5500,Cesar Luis Aybar Camacho,"Google Earth Engine (GEE) is the most popular and advanced cloud platform designed for planetary-scale environmental data analysis. Its multi-petabyte data catalog and computation services are just accessed via Python and JavaScript client libraries. In order to facilitate its use within R, six months ago, rgee was released on CRAN using reticulate to wrap the GEE Python API. Although rgee provides a familiar interface and simple integration to other R packages (e.g., sf, raster, dplyr), the lack of tutorials and examples makes it difficult for new users to adopt.
The main goal of this project is to leverage the documentation. For this purpose, three main tasks have been proposed: (1) create a new version of rgee with support for shiny and markdown, (2) create rgeeExtra, which extends the functionalities of rgee, and finally write (3) rgeebook, a reference book with best practices and examples of GEE API usage.",NA
2021,1,Improving Translations in R,0,Michael Chirico,"This project will provide a better formalization of translation procedures for R to be more sustainable and more scalable. In the process, it will broaden the inclusivity of R by growing the sub-community of R users comfortable producing translations and extending the reach of the R project to more non-English audiences.",NA
2021,1,Minimizing wastage of blood products,11200,Balasubramanian Narasimhan,"Guan et al. 2017 (Proc Natl Acad Sci U S A 114 (43): 11368–73) used two years worth of data to formulate and solve an optimization problem to predict platelet usage and minimize waste. Two open-source R packages were developed for this purpose:
- Platelet Inventory Prediction or pip (https://github.com/bnaras/pip) a package that is the core ML prediction engine that uses a given set of features described in the above publication
- Stanford Blood Center Platelet Inventory Prediction or SBCpip (https://github.com/bnaras/SBCpip) that was customized to the data workflow at SHC. SBCpip was meant to be site specific.
There have been a number of requests from sites wishing to deploy the software locally. The current project will generalize the model, generalize it to address more blood products with different shelf lives, provide customizations for local use, and create easily deployable solutions.",NA
2021,1,R for Engineering Applications,3000,Benaiah Chibuokem Ubah,"R for Engineering Applications is a proposed project with the aim to attract engineers and diversify the use of the R language to the broad engineering domain – electrical, electronic, communications, robotics, etc engineering. The idea is similar to such projects as R in Finance, R in Insurance, BioConductor (R in Bio-informatics), R in Environmental Statistics, etc.",NA
2021,1,Setting up an R-Girls-Schools Network,5000,Dr. Razia Ghani,"Globally, women, especially from deprived socio-economic and diverse ethnic backgrounds, are under-represented in data science. A major factor is that data science does not feature in the school curriculum which means that teachers are unaware of the enhancements data science can bring to learning and development in and beyond the school. We propose an ongoing project, called R-Girls-School Network (short name R-Girls) to address this and are keen to link up with others.
We are a multi-disciplinary team that includes an educationalist, subject teachers, a data scientist and administrator who will begin to develop and implement a data science curriculum using R in Green Oak Academy – an inner-city school in the UK serving girls from deprived, ethnically diverse backgrounds aged 11-16 years; independently rated as Good with Outstanding for Behaviour and Attitudes.
Since GOA follows the UK national curriculum, which is used in 10,000+ schools and 160 countries, our work will have a broad appeal. In due course we will develop ready-to-use bite-sized learning materials (10-15 mins) for teachers of core subjects (maths, statistics, science, geography) to use via RStudio cloud. The lessons will be tested with teachers and pupils and then incorporated into the school timetable across all five-year groups (age 11-16 years), culminating in an R-Data Story project and in due course, an annual R-Girls virtual conference open to any girl and girls' school in the world.
R-GS will be supported by a website for showcasing the work of pupils and sharing resources.",NA
2021,1,deposits: Deposit Research Data Anywhere,16000,Mark Padgham,"Publicly depositing datasets associated with published research is becoming more common, partly due to journals increasingly requiring data sharing, and partly though more general and ongoing cultural changes in relation to data sharing. Yet data sharing is often seen as time consuming, particularly in order to meet the expectations of individual data repositories. While documentation and training can help get users familiar with processes of data sharing, browser-based data and metadata submission workflows can only be so fast, are not easily reproduced, and do not facilitate regular or automated updates of data and metadata. Better programmatic tools can transform data sharing from a mountainous climb into a pit of success.
This project will develop a unified interface to many different research data repositories, and which will function along the lines of dplyr through ""verbs"" that work identically across many ""backend"" data repositories. The package will initially provide access to a few of the most common data repositories, yet will implement a modular/plugin system to enable users to contribute their own plugins to extend functionality to other repositories. Users will be able to authenticate, prepare data and metadata, and finally to submit, fetch, and browse data.",NA
2020,2,Development and maintenance of the Windows build infrastructure (Top level project proposal),46800,Jeroen Ooms,"As of R 4.0.0 (released April 2020), R for Windows uses a brand new toolchain bundle called rtools40. This version upgrades the mingw-gcc toolchains to version 8.3.0, and introduces a powerful new build system based on the widely used msys2 platform, which makes it easier to maintain R itself, as well as system libraries needed for developing R and R-packages.
The current project seeks to build out this system to improve tooling for building and debugging on Windows, and move towards a scalable build infrastructure, which is transparent, extensible, and fully automated. Thereby we can empower development on Windows, and support further growth of the R ecosystem while relieving work for CRAN and R-core members.",NA
2020,2,Interactive visualisations in R via R-to-JavaScript-transpilation,9688,Chun Fung Kwok,"This project aims to make creating flexible interactive visualisation accessible to a wider R community. By implementing an R-to-JavaScript transpiler, i.e. a program that translates R code into JavaScript code, it lets R users develop JavaScript(JS) applications using solely the R syntax. This eliminates the need to pick up an entire new language, makes it easy for R users to learn and experiment with JS technologies and gives direct and full access to all existing JS libraries. The transpiler is distributed as a regular R package, and it can be used standalone or to complement existing packages, including Rmarkdown, shiny and V8.",https://github.com/kcf-jackson/sketch and https://cran.r-project.org/package=sketch
2020,1,Consolidating R-Ladies Global organisational guidance and wisdom,4000,Maëlle Salmon,"R-Ladies Global is a successful, growing organization aiming at increasing gender diversity in the R community. R-Ladies Global is a Top-Level Project of the ISC. R-Ladies Global guidance for starting and running a chapter, as well as overseeing chapters around the world, and for the rotating curator account, grew organically. The information is fragmented and exists in different formats: several Markdown and PDF Documents and wiki entries in a GitHub repository. This impedes the optimal finding of resources by those who need them, and also impedes contributions. This project aims to consolidate existing R-Ladies Global guidance into a well-structured and continuously deployed online book, with its source open on GitHub, as ( R ) Markdown documents woven together, and whose maintenance will be an R-Ladies major priority task.
The project will create a web based manuscript containing all the necessary information to understand what the R-Ladies organization is about, its structure and how to contribute to its mission. Information will be collated and organized leveraging the experience of R-Ladies organizers and volunteers that, over the past 4 years, contributed to the establishment and growth of one of the most active and successful communities in the data science realm. This book will be a crucial resource for R-Ladies and other organizations that are looking to consolidate or create their own guidance.",https://github.com/rladies/starter-kit
2020,1,Database interoperability for spatial objects in R,6000,Etienne Racine,"Manipulating spatial data in R sometimes requires interaction with a spatial database: the data doesn't fit in memory, or simply because this is where the data is. The `sf` package already supports the PostGIS spatial database, but this project will extend the compatibility and make it easier to integrate in the `dplyr` workflow (with `dbplyr`). We also want to make it easier to add support for new database backends. We'll create a new `sfdbi` package to centralize the interface between `sf` and databases and remove dependencies in `sf`. If you want to contribute, or if you'd like to suggest a database, make sure to join the `sfdbi` repo.",https://github.com/r-spatial/sfdbi
2020,1,HTTP testing in R Book,16000,Maëlle Salmon,"More and more R packages access resources on the web, and play crucial roles in workflows: data access and updates for CRM reports (Hubspot APIs), for scientific publications (scientific web APIs, Open Science Framework). Like for all other packages, appropriate unit testing can make them more robust. Their unit testing brings special challenges: dependence of tests on a good internet connection, testing in the absence of authentication secrets, etc. Having tests fail due to resources being down or slow, during development or on CRAN, means a time loss for everyone involved (slower development, messages from CRAN). Although many packages accessing remote resources are well tested, there is a lack of resources around best practices for HTTP testing in packages using httr, crul, or curl. The best guidance to date about HTTP testing for R packages to our knowledge is a forum entry that pre-dates the development of relatively new packages for HTTP testing that have now been released on CRAN: vcr and webmockr by Scott Chamberlain, httptest by Neal Richardson, presser by Gábor Csárdi. This project aims at curating a free, central reference for developers of R packages accessing web resources, to help them have a faster and more robust development. We shall develop an useful guidance, in the form of a open-source web-based book.",https://github.com/ropensci-books/http-testing
2020,1,MATTER 2.0: larger-than-memory data for R,35000,Olga Vitek,"The project develops the MATTER 2.0 package for computing with larger-than-memory data in R. It extends the functionality of the existing MATTER package to any disk data format and in-memory layout. It also extends MATTER's implementation with ALTREP to provide seamless interoperation with existing code, and various performance improvements critical for rapid prototyping of new statistical methods.",https://github.com/kuwisdelu/matter
2020,1,Spatiotemporal Data and Analytics,10000,Benedikt Gräler,"Many data sets are recorded irregular in space and time. Movement of people driving the spread of an disease, or the distribution of current and future cases are per se irregular spatiotemporal data and only two of many examples. Being able to easily visualise, aggregate and model irregular spatiotemporal data will help to better understand and forecast underlying processes. Filling the gap for irregular spatiotemporal data and providing direct interaction with analytical tools will ease the analysis for researchers. We will develop the sftime package to a mature state so that the suite of modern spatial and spatiotemporal data representations in R includes irregular spatiotemporal data. After doing this, we will modify the geostatistical modelling package gstat and the spatial copula modelling package spcopula to support the new data representation classes of sf, stars and sftime.",https://github.com/BenGraeler/STDataAndAnalytics/
2020,1,The RECON COVID-19 challenge: leveraging the R community to improve COVID-19 analytics resources,23300,Thibaut Jombart,"The RECON COVID-19 challenge aims to bring together the infectious disease modelling, epidemiology and R communities to improve analytics resources for the COVID-19 response via a website which will provide a platform to centralise, curate and update R development tasks relevant to the COVID-19 response. Similar to the Open Street Map Tasking Manager (tasks.hotosm.org), this platform will allow potential contributors to quickly identify outstanding tasks submitted by groups involved in the response to COVID-19 and ensure that developments follow the highest scientific and technical standards.
While this project is aimed at leveraging R tools for helping to respond to COVID-19, we expect that it will lead to long-lasting developments of partnerships between the R and epidemiological communities, and that the resources developed will become key assets for supporting outbreak responses well beyond this pandemic.",https://www.repidemicsconsortium.org/2020-06-09-covid-challenge/
2020,1,sftrack v1.0: Stable API for a broad adoption,5000,Mathieu Basille,"sftrack' is a modern approach for tracking data in R. In response to the large diversity of ad-hoc solutions, in part outdated, we propose a generic and flexible approach that support all stages of movement studies (pre-processing, post-processing and analysis). 'sftrack' provides two central classes for tracking data (points) and movement data (steps), and basic functions to build, handle, summarize and plot them. Version 1.0 of 'sftrack' will be finalized and submitted to CRAN, and will already incorporate converters from/to classes of major existing tracking packages. We will further work with all tracking package developers willing to fully integrate the solution offered by 'sftrack' into their package data flow.",https://github.com/mablab/sftrack
2019,2,An External R Sampling Profiler,8500,Aaron Jacobs,"Many R users will be familiar with using the built-in sampling profiler 'Rprof()' to generate data on what their code is doing, and there are several excellent tools to facilitate understanding these samples (or serve as a front-end), including the 'profvis' package. However, the reach of these tools is limited: the profiler is “internal”, in the sense that it must be manually switched on to work, either during interactive work (for example, to profile an individual function), or perhaps by modifying the script to include 'Rprof()' calls before running it again. It cannot be used to understand R code that is already running, a capability that has proven extremely useful for diagnosing and fixing performance issues (or other bugs) in production environments.
Several existing programming languages have one or more “external” profilers available, which can attach to a running process and read its memory contents to understand what is currently happening. This project aims to build such a tool for R.",https://github.com/atheriel/xrprof
2019,2,CVXR,9500,David W Kang,"Optimization is at the core of statistical estimation and machine learning methodology. There are a number of R packages such as optimx, nloptr, ROI which either implement solvers for a wide variety of problems, or provide an interface to other solvers. The R package CVXR takes a different approach, implementing a Domain Specific Language (Fu, Narasimhan, and Boyd 2019) for formulating and solving convex optimization problems, just as cvxpy does for python. As shown in a number of examples on the CVXR website, the applications range from finance, machine learning, and to theoretical and applied statistics. Using a disciplined convex programming (DCP) approach, CVXR acts as a great tool for both prototyping and developing new methodologies as well as for quick, high-level, formulation and solution of statistical and machine learning problems.",https://github.com/cvxgrp/CVXR
2019,2,Flipbooks,6699,Evangeline Reynolds,"Just as classic flip books allow their readers to observe changes in a scene, coding Flipbooks allow readers to progressively track the changes of code and its output by “flipping” through their digital pages. Flipbooks are useful tools for communicating and teaching because they break down code for incremental, stepwise presentation so that audiences can easily understand each step. Flipbook-building tools automate the deconstruction and reconstruction of coding pipelines which means that building a Flipbook from existing code poses little additional burden to creators. The next stage for this project is to develop the current Flipbook-building tools into a reliable and easy-to-use R package (development is ongoing at https://github.com/EvaMaeRey/flipbookr) and also to provide educational guidance for creating Flipbooks.",https://github.com/EvaMaeRey/flipbookr
2019,2,R Package Risk Assessment Application,16800,Andrew Nicholls,"The R Validation Hub is an active R Consortium Working Group. It is a cross-industry initiative whose mission is to enable the use of R by the Bio-Pharmaceutical Industry in a regulatory setting, where the output may be used in submissions to regulatory agencies. This project sits within phase 2 of the R Validation Hub's road map. During this phase the group will develop several tools that can be used by those wishing to use R packages within a bio-pharmaceutical regulatory setting. The aim of this specific project is to standardise and simplify the risk assessment of R packages, reducing the burden of package evaluation/testing that would otherwise fall on internal R programming experts. The project will deliver a Shiny application to aid in the assessment and documentation of package risk.",https://www.pharmar.org/
2019,2,"RcppDeepState, a simple way to fuzz test compiled code in R packages",34000,Toby Hocking,"Abstract: Fuzzers are computer programs that send other programs inputs that may fall outside the domain of expected values, thus revealing subtle bugs. DeepState is a testing framework that allows easy testing of C/C++ programs with sophisticated fuzzers, and supports multiple back-ends for testing. DeepState has been used to test critical C++ software, including Google's leveldb. R has some simple random testers, but no coverage-driven fuzzers that learn to produce problematic inputs. We propose to create the R packages RcppDeepState and RcppDeepStateTools which will provide easy-to-use functions for using DeepState with R packages that use C/C++ code via Rcpp. This project will thus provide the first easy-to-use solution for R programmers that want to fuzz test their C/C++ code with existing tools such as AFL, and it will provide a framework for interfacing future coverage-driven fuzzers or symbolic execution tools. We also propose to use these new tools on a wide range of R packages in order to identify bugs in their C/C++ code.
One masters student will be recruited to implement this project during Jan-Dec 2020 at the School of Informatics, Computing, and Cyber Systems at Northern Arizona University. Interested students should apply by emailing a resume/CV along with a cover letter to project supervisors toby.hocking@nau.edu and alex.groce@nau.edu.",https://github.com/akhikolla/RcppDeepState
2019,2,Symbolic mathematics in R with SymPy,10000,Mikkel Meyer Andersen,"R's ability to do symbolic mathematics is largely restricted to finding derivatives. There are many tasks involving symbolic math that are of interest to R users, e.g. inversion of symbolic matrices, limits and solving non-linear equations. Users must resort to other software for such tasks and many R users (especially outside of academia) do not readily have access to such software.
The Python library SymPy is open source, has a stable group of developers and is powerful. As such, R users can just switch to Python and SymPy for symbolic math. However it is often very convenient to stay in the same environment to use familiar syntax and to utilise available libraries (e.g. to generate problems using symbolic math together with the exams package or to first handle symbolic computations and then afterwards move on to a numerical evaluations of the results). We will achieve this by making SymPy functionality available for R users via an R package.
Currently only few R packages for doing symbolic mathematics are available: Two of these are Ryacas and rSymPy. Ryacas is built around Yacas, and although Yacas can solve many problems and is extensible, the community is relatively small and Yacas is not as powerful as SymPy for certain routine tasks (e.g. integration and solving equations). rSymPy on the other hand is based on technology that requires much technical work to install and use.
The website of the project is:
https://github.com/r-cas/caracas/
Please contribute by testing, writing documentation, opening issues, submitting pull requests or something else!",https://github.com/r-cas/caracas/
2019,2,Tidy spatial networks in R,9000,"Lucas van der Meer, Robin Lovelace, Andrea Gilardi, Lorena Abad","R is currently lacking a generally applicable, modern and easy-to-use way of handling all kinds of spatial networks. ""Tidy spatial networks in R"" aims to address this issue by developing and publishing the sfnetworks package. The package, and documentation around it, will provide a bridge between network analysis and spatial analysis communities. For this, an sfnetwork class that will work with both tidygraph and sf frameworks and functions. R-users will be encouraged to contribute and engage with the package development during a hackathon organized next to the eRum 2020.",https://luukvdmeer.github.io/sfnetworks/
2019,2,d3po: R package for easy interactive D3 visualization with Shiny,4000,Mauricio Vargas Sepúlveda,"R already features excellent visualization libraries such as D3 (via the r2d3 package), plotly or highcharter. However, though those enable the creation of great looking visualisations they have very steep learning curves, require understanding of JavaScript or rely on non-free software that might be out of reach for governments and NGOs. Our intention is to solve those problems by releasing d3po. It shall be an intermediate layer between the user and D3 by providing “templates”, enabling high quality interactive visualizations oriented to and designed to be used with Shiny and Rmarkdown, and also proving easy internationalization. Please join us, this needs D3 and R skilled minds!",https://github.com/pachamaltese/d3po
2019,2,webchem: accessing chemical information from the web,6000,"Eric Scott, Tamas Stirling","webchem: accessing chemical information from the web
A vast amount of chemical information is freely available on the internet. The data are used by millions of professionals around the world, for purposes like pharmaceutical research, chemical process design, or environmental impact assessment, to name a few. webchem is an R project that aims to help these professionals by providing a single point programmable access to all major chemical databases around the world. The project started in 2016 and currently supports more than 10 databases. If you are interested, join us and help us build the tool that biologists and chemists will absolutely love.",https://github.com/ropensci/webchem
2019,1,Enhancing usability of sample size calculations and power analyses in R with a Task View page and accompanying tutorials,13912,Richard Webster,"Sample size calculation and power analysis are fundamental for study design, yet they are challenging to do in the R programming language due to limited inter-package documentation. It is difficult to find the required functionality within the sea of open source packages. Indeed, there is no systematic R resource that allows users to search for whether a particular study design and corresponding statistical test has a power analysis implemented in R.
Our aims are to improve usability of power analyses performed in R, to facilitate proper design and analysis of data, and promote reproducible research.
Our duel approach is to create a Task View page for sample size calculations & power analyses, as well as a series of tutorials to reduce the R users' learning curve. Addressing the usability of sample size calculation / power analyses will benefit a broad spectrum of R users, as this is a vital component for study design, result interpretability and reproducibility.",https://cheori.org/samplesize/
2019,1,Expanding the ‘metaverse'; an R ecosystem for meta-research,20171,Martin Westgate,"Evidence synthesis is the process of identifying, collating and summarizing primary scientific research to provide reliable, transparent summaries such as systematic reviews and meta-analyses. Despite their importance for linking research with policy, however, evidence synthesis projects are often time-consuming, expensive, and difficult to update. Open and reproducible workflows would help address these problems, but these workflows are poorly supported by the current package environment, preventing access by new users and hindering uptake of the well-developed suite of statistical tools for meta-analysis in R. The metaverse project will integrate and expand tools to support evidence synthesis and meta-research in R; suggest flexible workflows to complete these projects in a straightforward and open manner; and provide a collector package allowing easy access to these developments for new and experienced users.",https://rmetaverse.github.io
2019,1,R-global: analysing spatial data globally,10000,Edzer Pebesma,"Currently, a number of R spatial functions assume that coordinates are two-dimensional, taken from a ""flat"" space, and may or may not work for geographical (long/lat) coordinates, depicting points on a globe. This project will try to make such functions more robust and helpful for the the case of geographical coordinates. It will reconsider the concept of a bounding box, and build an interface to the S2 geometry library (http://s2geometry.io/), which powers several modern systems that assume geographic coordinates.",http://s2geometry.io/
