year,events,subject,country,state,era
1573,Professor Bartolome de Albornoz of the University of Mexico writes against the enslavement and sale of Africans.,Anti-Slavery Campaign,Mexico,NA,1492-1600
1598,"Isabel de Olvera, a free mulatto, accompanies the Juan Guerra de Resa Expedition which colonizes what is now New Mexico.",Africans in the New World,United States,NA,1492-1600
1603,"Mathieu Da Costa, a free black explorer, guides the French through parts of Canada and the Lake Champlain region of what is now New York state.",Exploration and Discovery,United States,New York,1601-1700
1607,Jamestown is founded in Virginia.,Colonial America,Colonial America,Virginia,1601-1700
1613,"Jan Rodriquez, a free sailor working for a Dutch fur trading company is assigned to live with and trade among the Native Americans on the island of Manhattan.",Africans in Colonial America,United States,New York,1601-1700
1619,Approximately 20 blacks from a Dutch slaver are purchased as indentured workers for the English settlement of Jamestown. These are the first Africans in the English North American colonies.,Africans in Colonial America,Colonial America,Virginia,1601-1700
1620,The Pilgrims reach New England.,Colonial America,Colonial America,Massachusetts,1601-1700
1624,"The first African American child born free in the English colonies, William Tucker, is baptized in Virginia.",17th Century Black Religion,Colonial America,Virginia,1601-1700
1625,"The first enslaved Africans arrive in the Dutch Colony of New Amsterdam (now New York City) with the Dutch West India Company. They quickly become the city's first municipal labor force, clearing land of timber, cutting lumber, cultivating crops, and constructing roads and fortifications.",Colonial Slavery,Colonial America,New York,1601-1700
1629,The first enslaved Africans arrive in what is now Connecticut.,Colonial Slavery,Colonial America,Connecticut,1601-1700
1634,Slavery is introduced in Maryland.,Colonial Slavery,Colonial America,Maryland,1601-1700
1636,Dutch minister Everadus Bogardus summons a teacher from Holland to Manhattan Island to provide religious training to Dutch and African children. This is the first example of educational efforts in Colonial North America which are directed toward persons of African descent.,Black Education,United States,New York,1601-1700
1641,"Massachusetts explicitly permits slavery of Indians, whites, and Negroes in its Body of Liberties. It is the first mainland British colony to legalize slavery.",Slave Laws,Colonial America,Massachusetts,1601-1700
1641,"Mathias De Sousa, an African indentured servant who came from England with Lord Baltimore, is elected to Maryland's General Assembly.",Black Politics,Colonial America,Maryland,1601-1700
1642,Virginia passes a fugitive slave law. Offenders helping runaway slaves are fined in pounds of tobacco. An enslaved person is to be branded with a large R after a second escape attempt.,Slave Laws,Colonial America,Virginia,1601-1700
1643,The New England Confederation reaches an agreement that makes the signature of a magistrate sufficient evidence to reenslave a suspected fugitive slave.,Slave Laws,Colonial America,New Hampshire,1601-1700
1645,Merchant ships from Barbados arrive in Boston where they trade their cargoes of enslaved Africans for sugar and tobacco. The profitability of this exchange encourages the slave trade in New England.,Colonial Slavery,Colonial America,Massachusetts,1601-1700
1645 (ca.),"Dutch colonists transfer some of their landholdings in New Amsterdam to their former enslaved Africans as compensation for their support in battles with Native Americans. A condition of the land transfer, however, is the guarantee of a specified amount of food from those lands to their former owners.",Emancipation,Colonial America,New York,1601-1700
1650,Connecticut legalizes slavery. Rhode Island by this date has large plantations worked by enslaved Africans.,Slave Laws,Colonial America,Connecticut,1601-1700
1650,"The Dutch West India Company introduces new rules concerning slavery in New Netherlands. After gaining freedom, former slaves, for example, are required to give fixed amounts of their crops to the company. After the English capture of the colony, greater restrictions are imposed on free blacks and enslaved people.",Racial Restrictions,Colonial America,New York,1601-1700
1651,"Anthony Johnson, a free African American, imports several enslaved Africans and is given a grant of land on Virginia's Puwgoteague River Other free African Americans follow this pattern.",Africans in Colonial America,Colonial America,Virginia,1601-1700
1652,Massachusetts enacts a law requiring all African American and Native American servants to undergo military training so as to be able to help defend the colony.,Racial Restrictions,Colonial America,Massachusetts,1601-1700
1652,Rhode Island enacts first anti-slavery law in the British colonies. The law limits slavery to ten years.,Gradual Emancipation,United States,Rhode Island,1601-1700
1653,Enslaved African and Indian workers bulid wall across Manhattan Island to protect the Dutch colony from British invasion. The site of the wall is now Wall Street.,Slave Labor,United States,New York,1601-1700
1655,"Anthony Johnson successfully sues for the return of his slave John Casor, whom the court had earlier treated as an indentured servant.",Africans in Colonial America,Colonial America,Virginia,1601-1700
1656,"Fearing the potential for slave uprisings, Massachusetts reverses its 1652 statute and prohibits blacks from arming or training as militia. New Hampshire, and New York soon follow.",Racial Restrictions,Colonial America,Massachusetts,1601-1700
1657,Virginia amends its fugitive slave law to include the fining of people who harbor runaway slaves. They are fined 30 pounds of tobacco for every night they provide shelter to a runaway slave.,Slave Laws,United States,Virginia,1601-1700
1660,A Connecticut law prohibits African Americans from serving in the militia.,Racial Restrictions,Colonial America,Connecticut,1601-1700
1662,"Virginia reverses the presumption of English law that the child follows the status of his father, and enacts a law that makes the free or enslaved status of children dependent on the status of the mother.",Slave Laws,Colonial America,Virginia,1601-1700
1663,"Black and white indentured servants plan a rebellion in Gloucester County, Virginia. Their plans are discovered and the leaders are executed.",Resistance to Enslavement,Colonial America,Virginia,1601-1700
1663,Maryland slave laws rules that all Africans arriving in the colony are presumed to be slaves. Free European American women who marry enslaved men lose their freedom. Children of European American women and enslaved men are enslaved. Other North American colonies develop similar laws.,Slave Laws,Colonial America,Maryland,1601-1700
1663,In South Carolina every new white settler is granted twenty acres for each black male slave and ten acres for each black female slave he or she brings into the colony.,Colonial Slavery,Colonial America,South Carolina,1601-1700
1663,"A planned revolt of enslaved Africans and indentured servants is uncovered in Gloucester County, Virginia.",Resistance to Enslavement,Colonial America,Virginia,1601-1700
1664,"In Virginia, the enslaved African's status is clearly differentiated from the indentured servant's when colonial laws decree that enslavement is for life and is transferred to the children through the mother. Black and slave become synonymous, and enslaved Africans are subject to harsher and more brutal control than other laborers.",Slave Laws,Colonial America,Virginia,1601-1700
1664,Maryland establishes slavery for life for persons of African ancestry.,Slave Laws,Colonial America,Maryland,1601-1700
1664,New Jersey and New York also recognize the legality of slavery.,Slave Laws,Colonial America,New Jersey,1601-1700
1664,Maryland enacts the first law in Colonial America banning marriage between white women and black men.,Racial Restrictions,United States,Maryland,1601-1700
1667,"England enacts strict laws regarding enslaved Africans in its colonies. An enslaved African is forbidden to leave the plantation without a pass, and never on Sunday. An enslaved African may not possess weapons or signaling mechanisms such as horns or whistles. Punishment for an owner who kills an enslaved African is a 15-pound fine.",Slave Laws,Colonial America,n. a.,1601-1700
1667,"Virginia declares that baptism does not free a slave from bondage, thereby abandoning the Christian tradition of not enslaving other Christians.",Slave Laws,Colonial America,Virginia,1601-1700
1670,"The Massachusetts legislature passes a law that enables its citizens to sell the children of enslaved Africans into bondage, thus separating them from their parents.",Slave Laws,Colonial America,Massachusetts,1601-1700
1670,The Virginia Assembly enact law that allows all non-Christians who arrive by ship to be enslaved.,Slave Laws,United States,Virginia,1601-1700
1670,Massachusetts permits the separate sale of children of enslaved parents.,Slave Laws,United States,Massachusetts,1601-1700
1671,A Maryland law states that the conversion of enslaved African Americans to Christianity does not affect their status as enslaved people.,Slave Laws,Colonial America,Maryland,1601-1700
1672,"King Charles II of England charters the Royal African Company, which dominates the slave trade to North America for the next half century.",The Slave Trade,Colonial America,n. a.,1601-1700
1672,Virginia law now bans prosecution for the killing of a slave if the death comes during the course of his his or her apprehension.,Slave Laws,United States,Virginia,1601-1700
1673,The Massachusetts legislature passes a law that forbids European Americans from engaging in any trade or commerce with an African American.,Racial Restrictions,Colonial America,Massachusetts,1601-1700
1675,"An estimated 100,000 Africans are enslaved in the West Indies and another 5,000 are in British North America.",Black Population,Colonial America,n. a.,1601-1700
1676,Nathaniel Bacon leads an unsuccessful rebellion of whites and blacks against the English colonial government in Virginia.,Africans in Colonial America,Colonial America,Virginia,1601-1700
1680,Virginia enacts a law that forbids all blacks from carrying arms and requires enslaved blacks to carry certificates at all times when leaving the slaveowner's plantation.,Racial Restrictions,United States,Virginia,1601-1700
1681,Maryland laws mandate that children of European servant women and African men are free.,Emancipation,Colonial America,Maryland,1601-1700
1682,"A new slave code in Virginia prohibits weapons for slaves, requires passes beyond the limits of the plantation and forbids self-defense by any African Americans against any European American.",Slave Laws,Colonial America,Virginia,1601-1700
1682,New York enacts its first slave codes. They restrict the freedom of movement and the ability to trade of all enslaved people in the colony.,Slave Laws,United States,New York,1601-1700
1685,New York law forbids enslaved Africans and Native Americans from having meetings or carrying firearms.,Slave Laws,Colonial America,New York,1601-1700
1688,"Quakers in Germantown, Pennsylvania denounce slavery in the first recorded formal protest in North America against the enslavement of Africans.",The Abolition Movement,Colonial America,Pennsylvania,1601-1700
1690,"By this year, all English colonies in America have enslaved Africans.",Colonial Slavery,Colonial America,n.a.,1601-1700
1690,Enslaved Africans and Native Americans in Massachusetts plan a rebellion.,Resistance to Enslavement,Colonial America,Massachusetts,1601-1700
1690,South Carolina enacts its first laws regulating slave movement and behavior.,Slave Laws,United States,South Carolina,1601-1700
1691,Virginia enacts a new law which punishes white men and women for marrying black or Indians. Children of such interracial liaisons become the property of the church for 30 years.,Racial Restrictions,United States,Virginia,1601-1700
1694,The success of rice cultivation in South Carolina encourages the importation of larger numbers of enslaved laborers especially from Senegal and other rice producing regions of West Africa.,Agricultural Development,United States,South Carolina,1601-1700
1695,"Rev. Samuel Thomas, a white cleric in Charleston, South Carolina, establishes the first school for African Americans in the British North American colonies.",Black Education,United States,South Carolina,1601-1700
1696,Quaker religious leaders warn that members who own slaves may be expelled from the demonination.,Anti-Slavery Campaign,United States,Pennsylvania,1601-1700
1700,"The publication of Samuel Sewall's The Selling of Joseph, is considered the first major condemnation of slavery in print in British North America.",Anti-Slavery Campaign,United States,Massachusetts,1601-1700
1702,The New York Assembly enacts a law which prohibits enslaved Africans from testifying against whites or gathering in groups larger than three on public streets.,Slave Laws,United States,New York,1701-1800
1704,French colonist Elias Neau opens a school for enslaved African Americans in New York City.,Black Education,Colonial America,New York,1701-1800
1705,The Colonial Virginia Assembly defined as slaves all servants brought into the colony who were not Christians in their original countries as well as Indians sold to the colonists by other Native Americans.,Slave Laws,United States,Virginia,1701-1800
1708,"Africans in South Carolina outnumber Europeans, making it the first English colony with a black majority.",Black Population,Colonial America,South Carolina,1701-1800
1711,Great Britain's Queen Anne overrules a Pennsylvania colonial law prohibiting slavery.,Colonial Slavery,Colonial America,Pennsylvania,1701-1800
1711,A public slave market opens in New York City at the east end of Wall Street.,The Slave Trade,United States,New York,1701-1800
1712,The New York City slave revolt begins on April 6. Nine whites are killed and an unknown number of blacks die in the uprising. Colonial authorities execute 21 slaves and six commit suicide.,Resistance to Enslavement,Colonial America,New York,1701-1800
1712,New York City enacts an ordinance that prevents free blacks from inheriting land.,Racial Restrictions,United States,New York,1701-1800
1713,England secures the exclusive right to transport slaves to the Spanish colonies in America.,Colonial Slavery,Colonial America,n. a.,1701-1800
1716,The first enslaved Africans arrive in Louisiana.,Colonial Slavery,United States,Louisiana,1701-1800
1718,New Orleans is founded by the French. By 1721 the city has more enslaved black men than free white men.,Colonial Slavery,United States,Louisiana,1701-1800
1721,South Carolina limits the vote to free white Christian men.,Racial Restrictions,Colonial America,South Carolina,1701-1800
1724,Boston imposes a curfew on non-whites.,Racial Restrictions,Colonial America,Massachusetts,1701-1800
1724,"The French colonial government in Louisiana enacts the Code Noir, the first body of laws that govern both slaves and free blacks in North America.",Racial Restrictions,United States,Louisiana,1701-1800
1727,Enslaved Africans and Native Americans revolt in Middlesex and Gloucester Counties in Virginia.,Resistance to Enslavement,Colonial America,Virginia,1701-1800
1735,South Carolina passes laws requiring enslaved people to wear clothing identifying them as slaves. Freed slaves are required to leave the colony within six months or risk reenslavement.,Racial Restrictions,Colonial America,South Carolina,1701-1800
1737,An indentured black servant petitions a Massachusetts Court and wins his freedom after the death of his master.,Emancipation,Colonial America,Massachusetts,1701-1800
1738,"The first permanent black settlement in what will become the United States is established by fugitive slaves at Gracia Real de Santa Teresa de Mose (Fort Mose), Florida.",Free Blacks in Colonial America,United States,Florida,1701-1800
1739,The first major South Carolina slave revolt takes place in Stono on September 9. A score of whites and more than twice as many black slaves are killed as the armed slaves try to flee to Florida.,Resistance to Enslavement,Colonial America,South Carolina,1701-1800
1739,"Nineteen white citizens of Darien, Georgia petition the colonial governor to continue the ban on the importation of Africans into the colony, calling African enslavement morally wrong.",Resistance to Enslavement,Colonial America,Georgia,1701-1800
1741,"During the New York Slave Conspiracy Trials, New York City officials execute 34 people for planning to burn down the town. Thirteen African American men are burned at the stake and another 17 black men, two white men and two white women are hanged. Seventy blacks and seven whites are permanently expelled from the city.",Resistance to Enslavement,Colonial America,New York,1701-1800
1741,"South Carolina's colonial legislature enacts the most extensive slave restrictions in British North America. The laws ban the teaching of enslaved people to read and write, prohibits their assembling in groups or earning money for their activities. The law also permits slaveowners to kill rebellious slaves.",Racial Restrictions,Colonial America,South Carolina,1701-1800
1746,"Lucy Terry, a slave, composes Bars Fight, the first known poem by an African American. A description of an Indian raid on Terry's hometown in Massachusetts, the poem will be passed down orally and published in 1855",Enslaved People in Colonial America,Colonial America,Massachusetts,1701-1800
1750,Anthony Benezet persuades fellow Philadelphia Quakers to open the first free school for black children in the colonies.,Black Education,United States,Pennsylvania,1701-1800
1752,"Twenty-one year old Benjamin Banneker of Maryland constructs one of the first clocks in Colonial America, the first of a long line of inventions and innovations until his death in 1806.",Free Blacks in Colonial America,Colonial America,Maryland,1701-1800
1758,"The African Baptist or Bluestone Church is founded on the William Byrd plantation near the Bluestone River, in Mecklenburg, Virginia, becoming the first known black church in North America",18th Century Black Religion,Colonial America,Virginia,1701-1800
1758,A school for free black children is opened in Philadelphia.,Black Education,Colonial America,Pennsylvania,1701-1800
1760,Briton Hammon publishes A Narrative of the Uncommon Sufferings and Surprising Deliverance of Briton Hammon in Boston. This is believed to be the first autobiographical work written by an enslaved African living in British North America.,Art and Literature,United States,Massachusetts,1701-1800
1761,"Jupiter Hammon, a Long Island enslaved person, publishes a book of poetry. This is believed to be the first volume of poetry written and published by an African American.",Art and Literature,Colonial America,New York,1701-1800
1762,Virginia restricts voting rights to white men.,Racial Restrictions,Colonial America,Virginia,1701-1800
1770,"On March 5, Crispus Attucks, an escaped slave of African and Native American ancestry, becomes the first Colonial resident to die for American independence when he is killed by the British in the Boston Massacre.",American Revolution,Colonial America,Massachusetts,1701-1800
1773,"Poems on Various Subjects, Religious and Moral, written by Phillis Wheatley, an enslaved Bostonian, is published in that city. It is the first book written by an African American woman published in the United States and only the second book in the nation's history authored by a woman to be published.",Art and Literature,Colonial America,Massachusetts,1701-1800
1773,"The Silver Bluff Baptist Church, the oldest continuously operating black church, is founded in Silver Bluff, South Carolina near Savannah, Georgia.",18th Century Black Religion,Colonial America,Georgia,1701-1800
1774,A group of enslaved blacks petition the Massachusetts General Court (legislature) insisting they too have a natural right to their freedom.,Emancipation,Colonial America,Massachusetts,1701-1800
1774,"First African Baptist Church, one of the earliest black churches in the United States, is founded in Petersburg, Virginia.",Africans in Colonial America,United States,Virginia,1701-1800
1775,"African Americans participate on the Patriot side in the earliest battles of the Revolution, Concord, Lexington and Bunker Hill. Two of the first of these Patriot soldiers were Peter Salem at the Battle of Concord and Salem Poor at the Battle of Bunker Hill.",African Americans in the Military,Colonial America,Massachusetts,1701-1800
1775,"General George Washington reverses his earlier policy of rejecting the services of slaves and free blacks in the army. Five thousand African-Americans serve during the Revolutionary War including two predominantly black units in Massachusetts, one in Connecticut, one in Rhode Island.",African Americans in the Military,Colonial America,Connecticut,1701-1800
1775,The Society for the Relief of Free Negroes Unlawfully held in Bondage holds the first of four meetings in Philadelphia on April 14. This is the first abolitionist meeting in North America. In 1784 the organization becomes the Pennsylvania Abolition Society with Benjamin Franklin as its first president.,The Abolition Movement,Colonial America,Pennsylvania,1701-1800
1775,"On Nov. 7, Lord Dunmore, British Governor of Virginia declares all slaves free who come to the defense of the British Crown against the Patriot forces. Dunmore eventually organizes the first regiment of black soldiers to fight under the British flag.",African Americans in the American Revolution,Colonial America,Virginia,1701-1800
1775-1781,"The American War of Independence. Approximately 450,000 enslaved Africans comprise 20% of the population of the colonies at the time of the Declaration of Independence.",African Americans in the American Revolution,Unied States,n. a.,1701-1800
1776,"A passage in the Declaration of Independence authored by Thomas Jefferson at the Continental Congress meeting in Philadelphia, condemned the slave trade.  The controversial passage is removed from the Declaration due to pressure from the southern colonies.",African Americans in the American Revolution,United States,Pennsylvania,1701-1800
1776,"Approximately 100,000 enslaved people flee their masters during the Revolution.",African Americans in the American Revolution,The United States,n. a.,1701-1800
1777,"On July 8, Vermont becomes the first political jurisdiction in the United States to abolish slavery.",Emancipation,United States,Vermont,1701-1800
1778,"Boston businessman Paul Cuffe and his brother, John, refuse to pay taxes, claiming as blacks not allowed to vote they suffer taxation without representation.",African Americans in the American Revolution,United States,Massachusetts,1701-1800
1778,The 1st Rhode Island Regiment comprised of enslaved and free black men is formed. It is the first and only all-black military unit to fight on the Patriot side in the American Revolution,African Americans in the American Revolution,United States,Rhode Island,1701-1800
1780,Massachusetts abolishes slavery and grants African American men the right to vote.,Emancipation,United States,Massachusetts,1701-1800
1780,"The Free African Union Society is created in Newport, Rhode Island. It is the first cultural organization established by blacks in North America.",Black Organizations,United States,Rhode Island,1701-1800
1780,"Pennsylvania adopts first gradual emancipation law. All children of enslaved people born after Nov. 1, 1780 will be free on their 28th birthday.",Gradual Emancipation,United States,Pennsylvania,1701-1800
1780,"Paul Cuffee, a Boston merchant and shipowner, leads six other free blacks in petitioning the Massacusetts to end their taxation without representation.",Free Blacks in Colonial America,United States,Massachusetts,1701-1800
1781-1783,"Twenty thousand black loyalists depart with British Troops from the newly independent United States. Approximately 5,000 African Americans served with Patriot forces. Three times that many served with the British although not all of them leave the new nation.",African Americans and the Military,United States,n. a.,1701-1800
1784,Connecticut and Rhode Island adopt gradual emancipation laws.,Gradual Emancipation,United States,Connecticut,1701-1800
1784,Congress rejects Thomas Jefferson's proposal to exclude slavery from all western territories after 1800.,The Slavery Controversy,United States,New Jersey,1701-1800
1784,Prince Hall establishes the first black Masonic lodge in the United States. African Lodge #459 is granted a Masonic charter by the Grand Lodge of England.,Free Blacks in Antebellum America,United States,Massachusetts,1701-1800
1784,"The New York African Society, a spiritual and benevolent association, is created by free blacks in New York City.",Free Blacks in Antebellum America,United States,New York,1701-1800
1785,New York frees all slaves who served in the Revolutionary Army.,Emancipation,United States,New York,1701-1800
1785,The New York Society for the Promoting of the Manumission of Slaves is founded by prominent New Yorkers including John Jay and Alexander Hamilton.,Anti-Slavery Campaign,United States,New York,1701-1800
1787,"On July 13, Congress enacts the Northwest Ordinance, which establishes formal procedures for transforming territories into states. It provides for the eventual establishment of three to five states in the area north of the Ohio River, to be considered equal with the original 13. The Ordinance includes a Bill of Rights that guarantees freedom of religion, the right to trial by jury, public education and a ban on slavery in the region.",Emancipation,United States,New York,1701-1800
1787,The U.S. Constitution is drafted. It provides for the continuation of the slave trade for another 20 years and required states to aid slaveholders in the recovery of fugitive slaves. It also stipulates that a slave counts as three-fifths of a man for purposes of determining representation in the House of Representatives.,The Slavery Controversy,United States,New York,1701-1800
1787,"Free blacks in New York City found the African Free School, where future leaders Henry Highland Garnett and Alexander Crummell are educated.",Black Education,United States,New York,1701-1800
1787,Richard Allen and Absalom Jones form the Free African Society in Philadelphia.,Black Organizations,United States,Pennsylvania,1701-1800
1788,"In Massachusetts, following an incident in which free blacks were kidnapped and transported to the state from the island of Martinique, the Massachusetts legislature declares the slave trade illegal and provides monetary damages to victims of kidnappings.",Emancipation,United States,Massachusetts,1701-1800
1790,Free African Americans in Charleston form the Brown Fellowship Society.,Black Organizations,United States,South Carolina,1701-1800
1790,"Census of 1790 (First Census of the U.S. Population): Total population, 3,929,214, Black Population: 757,208 (19.3%) including 59,150 free African Americans.",Black Population,United States,New York,1701-1800
1791,In February Major Andrew Ellicott hires Benjamin Banneker to assist in a survey of the boundaries of the 100-square-mile federal district that would later become the District of Columbia.,Free Blacks in Antebellum America,United States,District of Columbia,1701-1800
1792,Benjamin Banneker's Almanac is published in Philadelphia. It is the first book of science published by an African American.,Exploration and Discovery,United States,Pennsylvania,1701-1800
1793,The United States Congress enacts the first Fugitive Slave Law. Providing assistance to fugitive slaves is now a criminal offense.,Racial Restrictions,United States,Pennsylvania,1701-1800
1793,Eli Whitney invents the cotton gin in Georgia which he patents on March 13.  The development of the cotton gin provides a major boost to the slave-based cotton economy of the South.,Antebellum Slavery,United States,Georgia,1701-1800
1794,Mother Bethel AME Church is established in Philadelphia by Richard Allen.,18th Century Black Religion,United States,Pennsylvania,1701-1800
1794,New York adopts a gradual emancipation law.,Gradual Emancipation,United States,New York,1701-1800
1795,Bowdoin College is founded in Maine. It later becomes a center for Abolitionist activity; Gen. Oliver O. Howard (Howard University) graduated from the college; Harriet Beecher Stowe taught there and began to write Uncle Tom's Cabin while there (in 1850),The Abolition Movement,United States,Maine,1701-1800
1796,"On August 23, The African Methodist Episcopal Church is organized in Philadelphia.",18th Century Black Religion,United States,Pennsylvania,1701-1800
1798,"Joshua Johnston of Baltimore, Maryland becomes the first black portrait painter to gain widespread recognition in the United States",Art and Literature,United States,Maryland,1701-1800
1798,"Venture Smith's A Narrative of the Life and Adventures of Venture, A Native of Africa But Resident Above Sixty Years in the United States of America appears as the first slave narrative written by the person in bondage. Earlier narratives were written by white authors as dictated by enslaved people.",Art and Literature,United States,Connecticut,1701-1800
1800,"On August 30, Gabriel Prosser attempts a slave rebellion in Richmond, Virginia.",Resistance to Enslavement,United States,Virginia,1701-1800
1800,The United States Congress rejects 85 to 1 an antislavery petition offered by free Philadelphia African Americans.,Free Blacks in Antebellum America,United States,Pennsylvania,1701-1800
1800,"Census of 1800, U.S. Population: 5,308,483, Black Population: 1,002,037 (18.9%) including 108,435 free African Americans.",Black Population,United States,District of Columbia,1701-1800
1802,The Ohio Constitution outlaws slavery. It also prohibits free blacks from voting. ,Antebellum Slavery,United States,Ohio,1801-1900
1802,"James Callender claims that Thomas Jefferson has for many years past kept, as his concubine, one of his own slaves, Sally Hemings. His charge is published in the Richmond Recorder that month, and the story is soon picked up by the Federalist press around the country.",Black Women,United States,Virginia,1801-1900
1803,"On April 30, Louisiana is purchased from the French. The new territory nearly doubles the size of the United States.",U.S. Expansion,United States,District of Columbia,1801-1900
1804,Lemuel Haynes is the first African American to receive an honorary degree in U.S. history when Middlebury College awards him a Master's Degree at its second commencement.,Humanitarian Honors,United States,Vermont,1801-1900
1804,In 1804 the Ohio legislature passes the Ohio Black Codes and in doing so becomes the first non-slaveholding state to place restrictions exclusively on its African American residents. ,Racial Restrictions,United States,Ohio,1801-1900
1804-1806,"The Lewis and Clark Expedition explores newly purchased Louisiana and the Pacific Northwest. An African American, York, is prominent in the expedition.",Exploration and Discovery,United States,Oregon,1801-1900
1807,New Jersey disfranchises black voters.,Black Politics,United States,New Jersey,1801-1900
1808,"The United States government abolishes the importation of enslaved Africans when it enacts the Slave Importation Ban.  The ban, however, is widely ignored. Between 1808 and 1860, approximately 250,000 blacks are illegally imported into the United States. Slave trading within the states (the domestic trade) continues until the end of the Civil War.",The Slave Trade,United States,District of Columbia,1801-1900
1809,New York recognizes marriage within the African American community.,Family and Interpersonal Relationships,United States,New York,1801-1900
1810,"Census of 1810, U.S. Population: 7,239,881, Black Population: 1,377,808 (19 percent) including 186,446 free African Americans.",Black Population,United States,District of Columbia,1801-1900
1810,The U.S. Congress prohibits African Americans from carrying mail for the U.S. Postal Service.,Free Blacks in Antebellum America,United States,District of Columbia,1801-1900
1810,"By 1810, 75 percent of the African Americans in Delaware are free. This is the largest percentage of free blacks in a slave state.",Emancipation,United States,Delaware,1801-1900
1810,The African Insurance Company of Philadephia is the first black-owned insurance company in the United States.,Black Business,United States,Pennsylvania,1801-1900
1811,"Andry's Rebellion on January 8-11. A slave insurrection led by Charles Deslondes, begins on the Louisiana plantation of Manual Andry.",Resistance to Enslavement,United States,Louisiana,1801-1900
1812,Previously independent African American schools become part of the Boston public school system.,Black Education,United States,Massachusetts,1801-1900
1812,Two African American regiments are formed in New York to fight in the War of 1812.,African Americans and the Military,United States,New York,1801-1900
1814,"Six hundred African American troops are among the U.S. Army of 3,000 led by General Andrew Jackson which defeats British forces at the Battle of New Orleans. The black troops were led by Major Joseph Savary, the highest ranking black officer in the history of the U.S. Army.",African Americans and the Military,United States,Louisiana,1801-1900
1815,"Richard Allen officially creates the African Methodist Episcopal Church, the first wholly African American church denomination in the United States.",19th Century Black Religion,United States,Pennsylvania,1801-1900
1815,Abolitionist Levi Coffin establishes the Underground Railroad in Indiana.  Eventually it will spread across the North with routes originating in the South and stretching to British Canada.,Resistance to Enslavement,United States,Indiana,1801-1900
1816,The American Colonization Society is founded by Bushrod Washington (the nephew of George Washington) and other prominent white Americans who believe enslaved African Americans should be freed and settled in Africa.,Gradual Emancipation,United States,District of Columbia,1801-1900
1817,Francis Johnson of Philadelphia becomes the first black bandleader and composer to publish sheet music. In 1837 he becomes the first American to perform before Queen Victoria in England.,19th Century Black Music,United States,Pennsylvania,1801-1900
1817-1818,"Escaped slaves from Georgia, South Carolina and Alabama join the military campaign of the Florida Seminoles to keep their homelands.",Resistance to Enslavement,United States,Florida,1801-1900
1818,Connecticut disfranchises black voters.,Black Politics,United States,Connecticut,1801-1900
