"","name","team","game_year","game_week","rush_att","rush_yds","rush_avg","rush_tds","rush_fumbles","rec","rec_yds","rec_avg","rec_tds","rec_fumbles","pass_att","pass_yds","pass_tds","int","sck","pass_fumbles","rate","position"
"44","Larry Centers","WAS",2000,1,4,26,6.5,0,0,7,56,8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"45","Jeff Blake","NO",2000,1,5,22,4.4,0,1,NA,NA,NA,NA,NA,34,169,0,1,5,0,54.7,"QB"
"46","Jeff Garcia","SF",2000,1,2,22,11,0,0,NA,NA,NA,NA,NA,36,253,3,1,1,0,100.8,"QB"
"47","Kevin Faulk","NE",2000,1,10,21,2.1,0,0,11,62,5.6,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"48","Shaun King","TB",2000,1,4,21,5.3,0,0,NA,NA,NA,NA,NA,24,167,1,0,1,0,86.6,"QB"
"49","Rob Konrad","MIA",2000,1,7,19,2.7,0,0,2,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"50","Jake Plummer","ARI",2000,1,4,18,4.5,0,1,NA,NA,NA,NA,NA,49,318,2,3,1,0,64.8,"QB"
"51","Stoney Case","DET",2000,1,3,17,5.7,0,0,NA,NA,NA,NA,NA,25,100,0,1,2,0,45.4,"QB"
"52","Rich Gannon","OAK",2000,1,6,17,2.8,0,1,NA,NA,NA,NA,NA,35,176,1,0,4,0,80.2,"QB"
"53","Shawn Bryson","BUF",2000,1,10,16,1.6,0,0,1,23,23,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"54","Thomas Jones","ARI",2000,1,12,16,1.3,0,0,4,18,4.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"55","Jamal Lewis","BAL",2000,1,5,16,3.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"56","Steve McNair","TEN",2000,1,2,15,7.5,0,0,NA,NA,NA,NA,NA,31,152,0,1,4,1,54.8,"QB"
"57","Frank Moreau","KC",2000,1,3,15,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"58","Brett Favre","GB",2000,1,2,13,6.5,0,0,NA,NA,NA,NA,NA,34,152,1,1,1,1,52.6,"QB"
"59","Chris Chandler","ATL",2000,1,4,12,3,0,0,1,-4,-4,0,0,31,264,2,0,0,0,102.1,"QB"
"60","Curtis Enis","CHI",2000,1,4,11,2.8,0,0,1,15,15,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"61","Sammy Morris","BUF",2000,1,2,11,5.5,0,0,1,14,14,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"62","Fred Beasley","SF",2000,1,5,10,2,1,0,3,25,8.3,2,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"63","Steve Beuerlein","CAR",2000,1,2,10,5,0,0,NA,NA,NA,NA,NA,26,183,1,0,6,1,98.7,"QB"
"64","Jay Fiedler","MIA",2000,1,3,9,3,0,0,NA,NA,NA,NA,NA,24,134,1,0,2,0,91.3,"QB"
"65","Michael Pittman","ARI",2000,1,4,9,2.3,0,0,6,71,11.8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"66","Vinny Testaverde","NYJ",2000,1,3,9,3,0,0,NA,NA,NA,NA,NA,44,261,1,1,0,0,68.5,"QB"
"67","Thurman Thomas","MIA",2000,1,3,9,3,0,0,3,22,7.3,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"68","Jerome Bettis","PIT",2000,1,9,8,0.9,0,0,1,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"69","Terrell Fletcher","SD",2000,1,3,8,2.7,0,0,1,12,12,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"70","Charles Johnson","PHI",2000,1,1,8,8,0,0,1,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"71","Basil Mitchell","GB",2000,1,2,8,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"72","Rod Smith","DEN",2000,1,1,8,8,0,0,3,88,29.3,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"73","Chris Hetherington","CAR",2000,1,2,7,3.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"74","Brad Hoover","CAR",2000,1,1,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"75","Jacquez Green","TB",2000,1,1,6,6,0,0,2,67,33.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"76","Shaun Alexander","SEA",2000,1,2,5,2.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"77","Tony Banks","BAL",2000,1,2,5,2.5,0,0,NA,NA,NA,NA,NA,32,199,1,0,1,0,85.3,"QB"
"78","Mark Brunell","JAC",2000,1,1,5,5,0,0,NA,NA,NA,NA,NA,34,301,1,0,4,0,107.6,"QB"
"79","Bob Christian","ATL",2000,1,3,5,1.7,0,0,1,12,12,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"80","Mike Cloud","KC",2000,1,2,5,2.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"81","Randall Cunningham","DAL",2000,1,1,5,5,0,0,NA,NA,NA,NA,NA,26,135,1,1,1,0,62.2,"QB"
"82","Jon Kitna","SEA",2000,1,2,5,2.5,0,2,NA,NA,NA,NA,NA,15,54,0,4,1,0,10.8,"QB"
"83","Jimmy Kleinsasser","MIN",2000,1,2,5,2.5,0,0,2,32,16,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"84","Tony Carter","NE",2000,1,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"85","Brock Huard","SEA",2000,1,1,4,4,0,0,NA,NA,NA,NA,NA,9,30,0,0,3,0,53,"QB"
"86","James Thrash","WAS",2000,1,1,4,4,0,0,3,22,7.3,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"87","Reggie Brown","SEA",2000,1,2,3,1.5,0,0,2,9,4.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"88","Tim Brown","OAK",2000,1,1,3,3,0,0,5,39,7.8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"89","Sedrick Irvin","DET",2000,1,3,3,1,0,1,1,14,14,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"90","Keyshawn Johnson","TB",2000,1,1,3,3,0,0,4,64,16,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"91","Kerry Collins","NYG",2000,1,5,1,0.2,0,1,NA,NA,NA,NA,NA,25,172,0,1,0,0,70.8,"QB"
"92","Bobby Engram","CHI",2000,1,1,1,1,0,0,8,61,7.6,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"93","Robert Holcombe","STL",2000,1,1,1,1,1,0,2,19,9.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"94","Shawn Jefferson","ATL",2000,1,1,1,1,0,0,7,148,21.1,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"95","Rodney Thomas","TEN",2000,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"96","Kurt Warner","STL",2000,1,3,1,0.3,0,0,NA,NA,NA,NA,NA,35,441,3,3,2,0,106.5,"QB"
"97","Obafemi Ayanbadejo","BAL",2000,1,2,0,0,0,0,2,10,5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"98","Zack Crockett","OAK",2000,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"99","Howard Griffith","DEN",2000,1,1,0,0,0,0,2,22,11,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"100","Terry Jackson","SF",2000,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"101","John Jett","DET",2000,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"102","Brad Johnson","WAS",2000,1,2,0,0,1,0,NA,NA,NA,NA,NA,36,234,0,0,0,0,87,"QB"
"103","Napoleon Kaufman","OAK",2000,1,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"104","Kordell Stewart","PIT",2000,1,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,39.6,"WR/TE"
"105","Chris Warren","DAL",2000,1,3,0,0,0,0,1,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"106","Bert Emanuel","MIA",2000,1,1,-1,-1,0,0,1,16,16,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"107","Adrian Murrell","WAS",2000,1,1,-1,-1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"108","Bernie Parmalee","NYJ",2000,1,1,-1,-1,0,0,2,10,5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"109","Moe Williams","MIN",2000,1,1,-1,-1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"110","Jerry Rice","SF",2000,1,1,-2,-2,0,1,5,59,11.8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"111","Abdul-Karim al-Jabbar","IND",2000,1,1,-2,-2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"112","Peyton Manning","IND",2000,1,3,-3,-1,0,0,NA,NA,NA,NA,NA,32,273,1,1,1,0,92.3,"QB"
"113","Donnell Bennett","KC",2000,1,6,-4,-0.7,0,0,2,17,8.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"114","Jamie Martin","JAC",2000,1,3,-5,-1.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"115","James Williams","SEA",2000,1,1,-5,-5,0,0,1,9,9,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"116","Marty Booker","CHI",2000,1,1,-6,-6,0,0,6,59,9.8,0,1,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"117","Ryan Leaf","SD",2000,1,2,-6,-3,0,1,NA,NA,NA,NA,NA,39,180,0,3,2,1,25.6,"QB"
"118","Troy Edwards","PIT",2000,1,1,-9,-9,0,0,2,7,3.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"119","Mike Anderson","DEN",2000,2,31,131,4.2,2,0,1,18,18,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"120","Tiki Barber","NYG",2000,2,11,96,8.7,1,0,3,29,9.7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"121","Edgerrin James","IND",2000,2,18,91,5.1,1,0,6,36,6,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"122","Kevin Faulk","NE",2000,2,21,82,3.9,0,0,4,23,5.8,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"123","Eddie George","TEN",2000,2,21,80,3.8,0,0,3,17,5.7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"124","Tim Biakabutuka","CAR",2000,2,22,75,3.4,1,0,1,16,16,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"125","Charlie Garner","SF",2000,2,11,73,6.6,0,0,4,22,5.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"126","Robert Smith","MIN",2000,2,18,72,4,0,0,1,11,11,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"127","Mike Alstott","TB",2000,2,15,71,4.7,1,0,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"128","Thomas Jones","ARI",2000,2,23,70,3,0,1,2,30,15,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"129","Marshall Faulk","STL",2000,2,15,68,4.5,1,0,9,85,9.4,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"130","Napoleon Kaufman","OAK",2000,2,8,66,8.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"131","James Stewart","DET",2000,2,21,65,3.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"132","Robert Chancey","SD",2000,2,15,59,3.9,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,39.6,"RB"
"133","Stephen Davis","WAS",2000,2,17,59,3.5,0,0,3,28,9.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"134","Emmitt Smith","DAL",2000,2,16,59,3.7,0,1,1,-1,-1,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"135","Ricky Watters","SEA",2000,2,16,59,3.7,2,0,5,44,8.8,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"136","Priest Holmes","BAL",2000,2,10,54,5.4,0,0,4,18,4.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"137","Warrick Dunn","TB",2000,2,14,53,3.8,0,0,2,5,2.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"138","Errict Rhett","CLE",2000,2,20,53,2.7,0,0,2,11,5.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"139","Ron Dayne","NYG",2000,2,21,50,2.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"140","Ricky Williams","NO",2000,2,24,50,2.1,0,0,4,27,6.8,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"141","Cade McNown","CHI",2000,2,5,49,9.8,0,0,NA,NA,NA,NA,NA,29,96,0,2,5,1,30.2,"QB"
"142","Tyrone Wheatley","OAK",2000,2,20,49,2.5,2,0,2,26,13,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"143","James Allen","CHI",2000,2,6,47,7.8,0,0,3,14,4.7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"144","Curtis Martin","NYJ",2000,2,11,47,4.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"145","Ahman Green","GB",2000,2,11,46,4.2,0,0,4,18,4.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"146","Travis Prentice","CLE",2000,2,8,46,5.8,1,0,1,10,10,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"147","Donovan McNabb","PHI",2000,2,5,45,9,1,0,NA,NA,NA,NA,NA,33,214,1,0,3,0,87.2,"QB"
"148","Brad Johnson","WAS",2000,2,5,44,8.8,0,0,NA,NA,NA,NA,NA,35,245,1,4,1,1,56,"QB"
"149","Steve McNair","TEN",2000,2,7,42,6,0,1,NA,NA,NA,NA,NA,18,93,0,2,2,0,35,"QB"
"150","Corey Dillon","CIN",2000,2,12,41,3.4,0,0,2,46,23,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"151","Jamal Anderson","ATL",2000,2,7,38,5.4,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"152","Daunte Culpepper","MIN",2000,2,8,37,4.6,0,1,NA,NA,NA,NA,NA,37,355,1,3,3,1,69.1,"QB"
"153","Rich Gannon","OAK",2000,2,10,37,3.7,3,0,NA,NA,NA,NA,NA,22,207,0,0,0,0,98.1,"QB"
"154","Stacey Mack","JAC",2000,2,11,36,3.3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"155","Randall Cunningham","DAL",2000,2,5,34,6.8,0,0,NA,NA,NA,NA,NA,34,243,3,0,1,0,120.1,"QB"
"156","Shawn Bryson","BUF",2000,2,12,31,2.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"157","Rob Johnson","BUF",2000,2,7,31,4.4,0,0,NA,NA,NA,NA,NA,26,259,3,1,5,0,123.7,"QB"
"158","Michael Pittman","ARI",2000,2,9,28,3.1,1,1,2,12,6,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"159","Tony Richardson","KC",2000,2,14,28,2,0,0,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"160","Lamar Smith","MIA",2000,2,11,27,2.5,0,0,1,12,12,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"161","Akili Smith","CIN",2000,2,2,26,13,0,0,NA,NA,NA,NA,NA,43,250,1,2,7,0,43.8,"QB"
"162","Aaron Stecker","TB",2000,2,5,26,5.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"163","Jon Kitna","SEA",2000,2,3,24,8,0,0,NA,NA,NA,NA,NA,31,245,1,2,3,1,72.6,"QB"
"164","Jermaine Lewis","BAL",2000,2,1,23,23,0,0,3,27,9,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"165","Jay Fiedler","MIA",2000,2,4,22,5.5,0,0,NA,NA,NA,NA,NA,31,175,1,1,3,0,55.2,"QB"
"166","Daniel Pope","CIN",2000,2,1,22,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"167","KaRon Coleman","DEN",2000,2,7,21,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"168","Curtis Enis","CHI",2000,2,11,20,1.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"169","Peyton Manning","IND",2000,2,2,20,10,0,0,NA,NA,NA,NA,NA,48,367,3,2,2,0,94.7,"QB"
"170","Greg Comella","NYG",2000,2,2,19,9.5,0,0,2,12,6,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"171","Elvis Grbac","KC",2000,2,3,19,6.3,0,0,NA,NA,NA,NA,NA,21,144,1,0,3,1,98.1,"QB"
"172","Shaun Alexander","SEA",2000,2,3,18,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"173","Robert Holcombe","STL",2000,2,4,17,4.3,1,0,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"174","Antowain Smith","BUF",2000,2,12,17,1.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"175","Jeff Garcia","SF",2000,2,3,14,4.7,0,0,NA,NA,NA,NA,NA,20,181,0,1,0,0,69,"QB"
"176","Jeff Blake","NO",2000,2,6,13,2.2,0,1,NA,NA,NA,NA,NA,46,259,3,2,0,1,88.9,"QB"
"177","Jeff Lewis","CAR",2000,2,4,11,2.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"178","Duce Staley","PHI",2000,2,7,11,1.6,0,0,7,58,8.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"179","Kurt Warner","STL",2000,2,2,11,5.5,0,1,NA,NA,NA,NA,NA,47,386,1,1,1,0,96.6,"QB"
"180","Richie Anderson","NYJ",2000,2,2,10,5,0,0,6,88,14.7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"181","Drew Bledsoe","NE",2000,2,3,10,3.3,0,0,NA,NA,NA,NA,NA,43,229,1,0,6,0,80.5,"QB"
"182","Mike Cloud","KC",2000,2,7,10,1.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"183","Kenny Bynum","SD",2000,2,3,9,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"184","Curtis Conway","SD",2000,2,1,9,9,0,0,3,31,10.3,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"185","Nicolas Luchey","CIN",2000,2,1,9,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"186","Randy Moss","MIN",2000,2,1,9,9,0,0,6,87,14.5,1,1,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"187","Peter Warrick","CIN",2000,2,1,8,8,0,0,3,80,26.7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"188","Tony Carter","NE",2000,2,2,7,3.5,0,0,2,11,5.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"189","Tim Couch","CLE",2000,2,4,7,1.8,0,0,NA,NA,NA,NA,NA,31,259,2,1,1,1,96,"QB"
"190","Chris Howard","JAC",2000,2,8,7,0.9,0,2,2,13,6.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"191","Jimmy Kleinsasser","MIN",2000,2,1,7,7,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"192","Jamal Lewis","BAL",2000,2,5,7,1.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"193","Brad Hoover","CAR",2000,2,3,6,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"194","Shaun King","TB",2000,2,2,6,3,1,0,NA,NA,NA,NA,NA,21,167,2,0,2,0,106.6,"QB"
"195","Sammy Morris","BUF",2000,2,2,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"196","Tony Banks","BAL",2000,2,2,5,2.5,0,0,NA,NA,NA,NA,NA,40,262,5,2,3,1,96,"QB"
"197","Brandon Bennett","CIN",2000,2,2,5,2.5,0,0,2,30,15,0,1,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
